No.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_10s,Glass (kPa)_60s,Steel (kPa)_10s,Steel (kPa)_60s,Q,Phase Seperation,Modulus (kPa),Tanδ,Slope,Log_Slope,G'',XlogP3,feature_sum,is_holdout
G-011,0.5069656195679517,0.3052583981925558,0.10062452884908858,0.08715145339040398,0.0,0.0,44.217975937721164,,,,0.5927039999999999,1.0,8089.0,0.1195,24.268089363121042,0.08745025769855591,966.6355,0.10939806694177331,1.0,False
G-012,0.3078800999942429,0.2213090350308787,0.38635015696330094,0.08446070801157755,0.0,0.0,103.60934182590233,,90.02123142250531,,0.4052239999999998,1.0,11698.0,0.1218,32.86428809603201,0.08108691793647417,1424.8164000000002,0.10160614399312812,1.0,False
G-013,0.2123454146473781,0.5079801849379997,0.19680715250970285,0.08286724790491946,0.0,0.0,104.74168435951876,,91.15357395612173,,0.3528936296296296,1.0,11690.0,0.1836,84.20806935645216,0.1626104832729187,2146.284,0.5320530341862546,1.0,False
G-014,0.2306518816149881,0.49923541836127544,0.18200348810610692,0.0,0.0881092119176296,0.0,21.231422505307854,,44.72753007784855,,0.23072237037037033,0.0,5951.0,0.186,37.48249416472158,0.15375506872702258,1106.886,0.8820719444495364,1.0,False
G-015,0.23410077528009438,0.5044048392812583,0.09694436553100166,0.16455001990764564,0.0,0.0,67.37438075017693,,35.44232130219391,,1.1910160000000003,1.0,7873.0,0.0766,20.186728909636546,0.0754947674532499,603.0718,0.2910084605099207,0.9999999999999999,False
G-016,0.19063616336722153,0.4043636547955581,0.2266512161027418,0.09572775390463152,0.08262121182984702,0.0,58.881811748053785,,50.332625619249825,,0.427525037037037,1.0,25301.0,0.1206,137.55251750583528,0.12375996696622726,3051.3006,0.5021882708147938,1.0,False
G-017,0.40952353647686185,0.4153046351705805,0.17517182835255768,0.0,0.0,0.0,10.021231422505307,,60.01415428167021,,0.2788717037037037,0.0,23559.0,0.0499,58.21607202400801,0.07163834789540309,1175.5941,0.5431888577403657,1.0,False
G-018,0.5536943211729035,0.27425453442042697,0.07774562228952112,0.0943055221171485,0.0,0.0,69.63906581740977,,,,0.9032962962962963,1.0,11649.0,0.0513,16.99899966655552,0.04700777966858038,597.5937,0.02598642603794532,1.0000000000000002,False
G-019,0.5426729399285165,0.21999155422362437,0.14905080160391457,0.08828470424394456,0.0,0.0,50.389242745930645,,,,0.6661010370370372,1.0,10248.0,0.0569,10.996998999666557,0.03489589699016908,583.1111999999999,-0.02397317564392537,1.0,False
G-020,0.5705274908941438,0.2536266502916755,0.08758241174812822,0.08826344706605237,0.0,0.0,44.78414720452937,,,,0.5513679999999999,1.0,10144.0,0.0629,45.09169723241081,0.3871804131755653,638.0576,0.00722912545103252,0.9999999999999999,False
G-021,0.5722976613136135,0.2490081824570476,0.09012862139866443,0.0885655348306745,0.0,0.0,51.238499646142955,,,,0.7129197037037038,1.0,11819.0,0.0444,54.25808602867623,0.39702172958720927,524.7636,-0.0005812691147299154,1.0,False
G-022,0.42835735362010097,0.30310247640275706,0.08805903089758042,0.1804811390795615,0.0,0.0,60.01415428167021,,,,2.032296296296296,1.0,6499.0,0.016,5.841947315771924,0.030034044183948876,103.98400000000001,-0.11354855473787917,1.0,False
G-023,0.1939385653003168,0.35217163011179914,0.4538898045878841,0.0,0.0,0.0,6.510969568294409,,90.58740268931352,,0.216,0.0,18061.0,0.0361,28.772924308102702,0.04737563273747423,652.0021,0.5635077757512599,1.0,False
G-024,0.5108891068589234,0.22671781141562042,0.17758739409884444,0.08480568762661166,0.0,0.0,60.58032554847841,,,,0.5927039999999999,1.0,16605.0,0.0398,19.413137712570858,0.03852236249086769,660.879,0.009891782783809755,1.0,False
G-025,0.508476553543306,0.23241162171545077,0.17283840647653145,0.08627341826471183,0.0,0.0,66.58174097664543,,,,0.636056,1.0,16319.0,0.0391,18.91630543514505,0.03784751912770002,638.0729,0.014544680815507,1.0000000000000002,False
G-026,0.5535924602587167,0.21312607537615638,0.17154571305862507,0.061735751306501885,0.0,0.0,70.20523708421797,,,,0.5380290370370371,1.0,25325.0,0.038,30.273424474824942,0.03901971856482705,962.35,0.03505409753079772,1.0,False
G-027,0.5116229155075326,0.2263794860021154,0.19085958768639252,0.07113801080395929,0.0,0.0,67.94055201698514,,,,0.43897600000000025,1.0,27585.0,0.0348,33.62120706902301,0.039941719804000825,959.958,0.04687353684294768,0.9999999999999999,False
G-028,0.524952922968346,0.20933004917372855,0.08369119470838728,0.18202583314953832,0.0,0.0,19.532908704883226,,,,2.000376,1.0,4829.0,0.0128,2.1373791263754587,0.015779497044063843,61.8112,-0.288702495518916,1.0,False
G-029,0.2300126235532236,0.4999971467399693,0.1805403311111953,0.08944989859561164,0.0,0.0,69.01627742392074,,,,0.416274962962963,1.0,23567.0,0.1183,109.91997332444149,0.11875807860873726,2787.9761,0.49475207861620085,0.9999999999999998,False
G-030,0.5227726109319161,0.22690265202872884,0.08653985934856558,0.16378487769078956,0.0,0.0,47.388535031847134,,,,1.8457789629629626,1.0,4668.0,0.169,1.033677892630877,0.007883581417515481,788.892,-0.21393289228946025,1.0,False
G-031,0.5071156852634597,0.30342887399438934,0.09979554928519888,0.08965989145695206,0.0,0.0,38.55626326963907,,,,0.5513679999999999,1.0,13917.0,0.082,28.252750916972325,0.062128700973765286,1141.194,0.09996625513283383,1.0,False
G-032,0.3128754814998835,0.4487101338189882,0.15128892521424933,0.0,0.08712545946687908,0.0,21.45789101203114,,,,0.28749600000000003,0.0,27490.0,0.0724,81.30043347782595,0.06545132402422331,1990.276,0.7738631408216053,1.0,False
G-033,0.5057071166218131,0.23479371043905878,0.0883194749973266,0.17117969794180132,0.0,0.0,39.518754423213025,,,,1.906624,1.0,6615.0,0.0114,2.717572524174725,0.014565756792227135,75.411,-0.2156846873972939,0.9999999999999999,False
G-034,0.4965817485747678,0.3575734349454584,0.0,0.14584481647977382,0.0,0.0,79.03750884642605,,8.039631988676575,,1.728,1.0,7182.0,0.0233,9.339779926642215,0.04401463315122319,167.3406,0.021488800005907915,1.0,False
G-035,0.21046771513593646,0.5095246553249995,0.08843370264625793,0.1915739268928061,0.0,0.0,96.41896673743807,,,,1.306946370370371,1.0,3995.0,0.0457,7.51250416805602,0.05860411367223103,182.5715,0.23448734715398978,1.0,False
G-036,0.4188853124496205,0.40333860718702447,0.17777608036335496,0.0,0.0,0.0,16.022646850672327,,86.96390658174097,,0.26214400000000004,0.0,24616.0,0.0596,54.36478826275425,0.06333808209887902,1467.1136,0.5228129374791817,1.0,False
G-037,0.507843741003072,0.3066106278269983,0.09948653793907768,0.08605909323085224,0.0,0.0,44.16135881104034,,,,0.5249069629629629,1.0,15026.0,0.0816,33.4111370456819,0.06778048160638675,1226.1216000000002,0.11378654735995133,1.0000000000000002,False
G-038,0.5942339690361933,0.09104206399141367,0.24980890749941392,0.06491505947297914,0.0,0.0,66.24203821656052,,,,0.6069282962962964,1.0,17356.0,0.0169,9.276425475158387,0.01879542698442216,293.3164,-0.1551514950509658,1.0,False
G-039,0.5236197264079707,0.22160494778735654,0.08613499080519735,0.1686403349994755,0.0,0.0,24.57183297947629,,,,2.2309736296296294,1.0,5929.0,0.0128,3.87462487495832,0.023292504394598602,75.8912,-0.23478602567780077,1.0,False
G-040,0.2907703431335454,0.08835411115546692,0.0,0.2228370531533274,0.39803849255766033,0.0,107.5725406935598,,,,1.2831842962962963,1.0,7377.0,0.1019,25.43181060353451,0.09547836484064846,751.7163,0.1896770455657144,1.0,False
G-041,0.12457265137375594,0.6201755264247695,0.0921295619726014,0.07596144603593272,0.08716081419294035,0.0,123.99150743099787,,,,0.43897600000000025,0.0,18447.0,0.2438,233.8012670890297,0.21740257856221318,4497.3786,0.882022551048468,0.9999999999999998,False
G-042,0.14094187214901174,0.591213469724186,0.07622518060868366,0.09585094387023263,0.0957685336478861,0.0,146.63835810332625,,,,0.3732480000000001,1.0,5855.0,0.3099,72.21740580193398,0.22099131343205342,1814.4645,0.7945647355979923,1.0000000000000002,False
G-043,0.4579286235543928,0.3797911322864173,0.08135668592343984,0.08092355823574997,0.0,0.0,53.61641896673744,,,,0.43897600000000025,1.0,10215.0,0.1034,31.24708236078693,0.08821910392363215,1056.231,0.24905640842018834,0.9999999999999998,False
G-044,0.5233049315668445,0.22171094565137311,0.08657872904738335,0.16840539373439903,0.0,0.0,41.84005661712668,,,,2.7049863703703703,1.0,4383.0,0.0122,2.207402467489163,0.017453887900703596,53.4726,-0.23384418838755244,1.0,False
G-045,0.4035182343333867,0.31396141710723074,0.08738461599301106,0.19513573256637146,0.0,0.0,56.617126680820945,,,,2.032296296296296,1.0,6419.0,0.0169,4.968322774258087,0.026439674909274128,108.48109999999998,-0.12768634053439593,1.0,False
G-046,0.5754787353907006,0.184678411389549,0.08524606744360373,0.15459678577614663,0.0,0.0,28.931351733899504,,,,2.515456000000001,1.0,5432.0,0.0108,1.9539846615538514,0.012398753909129952,58.665600000000005,-0.2699218422355975,1.0,False
G-047,0.5044751788031535,0.2281446122057628,0.08304079363112797,0.1843394153599557,0.0,0.0,34.47983014861996,,,,2.064554370370371,1.0,4771.0,0.0103,3.3511170390130047,0.025330321817413987,49.1413,-0.2602831014076571,0.9999999999999999,False
G-048,0.4300821605833393,0.4001397606227585,0.0,0.1697780787939022,0.0,0.0,67.94055201698514,,,,1.728,1.0,10283.0,0.0204,11.017005668556186,0.03538875414433246,209.7732,0.04382210563825867,1.0,False
G-049,0.3807630807099782,0.40530471623213665,0.2139322030578851,0.0,0.0,0.0,13.81457891012031,,91.15357395612173,,0.26214400000000004,0.0,9594.0,0.0427,20.0,0.0605692145704785,409.66380000000004,0.5438086214375498,0.9999999999999999,False
G-050,0.5298512804675678,0.2890317924994711,0.08759982955685314,0.09351709747610815,0.0,0.0,33.57395612172682,,,,0.7453202962962965,1.0,11057.0,0.0774,24.42814271423808,0.06871169050480036,855.8118,0.05925358811024781,1.0000000000000002,False
G-051,0.5726949622942966,0.1859485796070933,0.15143167820171521,0.08992477989689476,0.0,0.0,88.88888888888889,,,,0.5649256296296296,1.0,8234.0,0.0128,8.712904301433811,0.034264648037827035,105.3952,-0.08811037074127484,0.9999999999999999,False
G-052,0.22675711882224517,0.4504857591581371,0.22768802819183223,0.0,0.09506909382778546,0.0,51.068648266100496,,,,0.3237709629629629,0.0,16227.0,0.048,49.59986662220741,0.07774317226475656,778.8960000000001,0.8305032614159782,1.0,False
G-053,0.4505051665122059,0.3916595603371927,0.08691852734168357,0.07091674580891781,0.0,0.0,69.80891719745223,,,,0.30527437037037036,1.0,4299.0,0.1271,13.567855951983995,0.08649782049459785,546.4028999999999,0.29603167597140034,1.0,False
G-054,0.41679500029575783,0.39185196609339223,0.09012275152663067,0.10123028208421918,0.0,0.0,64.3170559094126,,,,0.5119999999999999,1.0,6887.0,0.0944,15.941980660220075,0.06903954676091409,650.1328,0.22874667166816925,0.9999999999999998,False
G-055,0.5569704150956345,0.2129951231361723,0.15068075399837474,0.07935370776981843,0.0,0.0,52.08775654635527,,,,0.5927039999999999,1.0,13019.0,0.0431,17.7459153051017,0.045627763939541384,561.1188999999999,-0.015453623974654357,1.0,False
G-056,0.3437046228426227,0.4849985665669715,0.08294304548967303,0.0883537651007328,0.0,0.0,19.1932059447983,,,,0.427525037037037,1.0,13050.0,0.1499,63.57452484161388,0.12723796933747292,1956.1950000000002,0.4230591770171521,1.0,False
G-057,0.2428511021683609,0.5040798563280073,0.18679935636457445,0.0,0.06626968513905737,0.0,7.19037508846426,,21.51450813871196,,0.19511199999999998,0.0,16056.0,0.07,58.20606868956319,0.09200994935448502,1123.92,0.8475706577661497,1.0,False
G-058,0.3742481335670098,0.1988845785427616,0.4268672878902285,0.0,0.0,0.0,9.171974522292993,,,,0.216,1.0,15920.0,0.0261,1.5905301767255753,0.0034566984103081024,415.512,0.2733600520949718,0.9999999999999998,False
G-059,0.5183817041192231,0.2109833677872132,0.19446589802064393,0.07616903007291961,0.0,0.0,95.6829440905874,,,,0.636056,1.0,13287.0,0.0452,13.017672557519173,0.03143610924648857,600.5724,0.009298793302492642,0.9999999999999999,False
G-060,0.4098362030923597,0.32764769570536023,0.17951878378109073,0.08299731742118932,0.0,0.0,90.30431705590941,,,,0.26214400000000004,1.0,20274.0,0.0475,34.7949316438813,0.052355377842550524,963.015,0.19741139231741445,1.0,False
G-061,0.5096517710549328,0.21835499019625648,0.18898413985742674,0.08300909889138396,0.0,0.0,87.19037508846426,,,,0.3943703703703705,1.0,9551.0,0.0579,12.464154718239413,0.041576058528148135,553.0029,0.004371145922589276,0.9999999999999999,False
G-062,0.5589341747767282,0.2817354392186882,0.08087111747857177,0.07845926852601164,0.0,0.0,41.50035385704175,,,,0.5649256296296296,1.0,13457.0,0.0922,29.043014338112705,0.0663579584698483,1240.7354,0.07718084867682168,0.9999999999999998,False
G-063,0.4571355312045974,0.27920171933647336,0.1812631622282353,0.08239958723069381,0.0,0.0,87.75654635527248,,,,0.3528936296296296,1.0,13497.0,0.0737,25.89529843281094,0.058868243460333605,994.7289000000001,0.11203630702458867,0.9999999999999999,False
G-064,0.4477508507251353,0.4006142559332463,0.15163489334161834,0.0,0.0,0.0,8.492569002123142,,28.421797593772116,,0.18196296296296308,0.0,14329.0,0.077,33.831277092364125,0.06467114054484542,1103.333,0.5052776080751858,1.0,False
G-065,0.4966725444662729,0.07918374671032816,0.25748397147899976,0.16665973734439918,0.0,0.0,8.152866242038217,,,,2.064554370370371,1.0,1459.0,0.0118,1.0403467822607537,0.023193411211135967,17.2162,-0.4050781162889674,1.0,False
G-066,0.49049038632698505,0.09949844710503009,0.22859847836757155,0.18141268820041323,0.0,0.0,10.700636942675159,,,,1.968791703703703,1.0,3764.0,0.00594125,1.4538179393131045,0.014017434187406662,22.362865000000003,-0.4159549830859568,0.9999999999999999,False
G-067,0.4444433647189736,0.39303200616969086,0.0789246062816794,0.08360002282965615,0.0,0.0,37.65038924274593,,,,0.7129197037037038,1.0,13184.0,0.1259,44.78159386462154,0.09621934392159999,1659.8656,0.2657120894782282,1.0,False
G-068,0.39335822265531895,0.4362951525852957,0.09189883710876065,0.07844778765062471,0.0,0.0,48.35102618542109,,,,0.45062962962962955,1.0,12097.0,0.13822,55.551850616872294,0.12897039950520375,1672.04734,0.36193976067910205,1.0,False
G-069,0.4417529062274012,0.18810523115467645,0.0,0.0,0.3701418626179222,0.0,3.340410474168436,,,,0.33329303703703705,0.0,4984.0,0.2045,49.433144381460494,0.18938173123044338,1019.228,0.8203316616062424,0.9999999999999998,False
G-070,0.47358519647598446,0.3706960444829867,0.0,0.15571875904102897,0.0,0.0,49.9929228591649,,,,1.3799890370370376,1.0,9087.0,0.015,7.695898632877626,0.02868974693178667,136.305,0.022678529208811138,1.0000000000000002,False
G-071,0.513202781935495,0.22062304100833166,0.08686027705291874,0.17931390000325462,0.0,0.0,21.06157112526539,,,,1.9375416296296302,1.0,3791.0,0.0107,2.534178059353118,0.022652187359722884,40.5637,-0.2605693886150079,1.0,False
G-072,0.22587184516636166,0.4958855976162014,0.20716263484570568,0.07107992237173136,0.0,0.0,72.80962491153574,,,,0.4052239999999998,1.0,24397.0,0.1086,95.28509503167723,0.10097041921114178,2649.5142,0.5420836759492607,1.0,False
G-073,0.20667941213278254,0.5171093498812204,0.1968444839443768,0.07936675404162025,0.0,0.0,87.53007784854918,,,,0.3943703703703705,1.0,22005.0,0.13,120.76692230743582,0.13069613982318487,2860.65,0.5565632239268166,1.0,False
G-074,0.5532939832112999,0.20109334402789553,0.17248319354111652,0.07312947921968825,0.0,0.0,104.74168435951876,,,,0.2232802962962962,1.0,12727.0,0.123,67.83927975991998,0.14098260299255452,1565.421,-0.012248069461321842,1.0000000000000002,False
G-075,0.22401678887303422,0.5067747226184462,0.20228778006733528,0.06692070844118418,0.0,0.0,73.60226468506723,,,,0.34299999999999975,1.0,18118.0,0.0508,22.310770256752253,0.03982029192400793,920.3944,0.5689091970426825,0.9999999999999999,False
G-076,0.2413982495267024,0.4912548842322395,0.1801368302525322,0.08721003598852597,0.0,0.0,88.88888888888889,,,,0.23072237037037033,1.0,11875.0,0.1177,53.98799599866623,0.11053185682312568,1397.6875,0.4838647621311465,1.0,False
G-077,0.2914859983924214,0.38703204911263317,0.0,0.04535806215127884,0.2761238903436666,0.0,42.1797593772116,,,,0.4868242962962964,0.0,12152.0,0.2558,179.39313104368125,0.2338520711656676,3108.4816000000005,0.8802526267305139,0.9999999999999999,False
G-078,0.2691347579815879,0.0,0.0,0.3599359944079682,0.3709292476104439,0.0,1.7551309271054494,,,,3.6050370370370364,1.0,7879.0,0.0718,15.865288429476493,0.06290546369520958,565.7122,-0.33949187184971097,1.0,False
G-079,0.16851877576964064,0.5414032568127677,0.056558356816402304,0.1504031681454657,0.08311644245572355,0.0,91.66312809624912,,,,0.7129197037037038,1.0,7715.0,0.1779,40.250083361120375,0.13266385672566489,1372.4985,0.5441360038583769,0.9999999999999999,False
G-080,0.5241611938768385,0.2054293967489563,0.0,0.17937014761920717,0.09103926175499823,0.0,23.21302193913659,,,,1.6710376296296292,1.0,7856.0,0.00637018,4.5715238412804275,0.019591213803892688,50.04413408,-0.1400937229348747,1.0000000000000002,False
G-081,0.34649267432488273,0.4771066025959439,0.08483410318086682,0.09156661989830668,0.0,0.0,103.4961075725407,,,,0.7453202962962965,1.0,15579.0,0.1333,69.05635211737247,0.11664253701057237,2076.6807,0.40237225593644,1.0000000000000002,False
G-082,0.3543430106171633,0.3997853657501841,0.16031657770077695,0.08555504593187573,0.0,0.0,51.52158527954706,,,,0.3237709629629629,1.0,12193.0,0.0926,48.98632877625876,0.10535254909776672,1129.0718,0.31272192779912705,1.0,False
G-083,0.4180970139520085,0.38635598554315326,0.19554700050483825,0.0,0.0,0.0,9.4550601556971,,,,0.18846103703703704,0.0,17925.0,0.0715,47.20906968989664,0.06706519720550919,1281.6374999999998,0.5006842682384414,1.0,False
G-084,0.43394697972110363,0.3236309305969088,0.15872654083993437,0.0836955488420533,0.0,0.0,81.8683651804671,,,,0.34299999999999975,1.0,20602.0,0.0826,50.940313437812605,0.07573893852670746,1701.7252,0.17852648035641783,1.0,False
G-085,0.5388219292009537,0.30658595106325465,0.07859144199276212,0.07600067774302961,0.0,0.0,66.4685067232838,,,,0.427525037037037,1.0,12585.0,0.0993,37.445815271757255,0.08809778930088052,1249.6905,0.12661666135767236,1.0000000000000002,False
G-086,0.21374070198265824,0.08354786395648549,0.0,0.4838704830025248,0.2188409510583316,0.0,1.1889596602972399,,,,3.511808000000002,1.0,3465.0,0.0412,6.362120706902301,0.05668541483399874,142.758,-0.7886475882261067,1.0,False
G-087,0.18345672863964677,0.11035370351902216,0.0,0.518383711635602,0.18780585620572912,0.0,8.096249115357395,,,,4.1474136296296304,1.0,2734.0,0.0357,5.458486162054019,0.05951027167978397,97.6038,-0.883711562957424,1.0000000000000002,False
G-088,0.4181424545885479,0.3637589098339749,0.21809863557747733,0.0,0.0,0.0,11.889596602972398,,27.062986553432413,,0.33329303703703705,0.0,22859.0,0.0633,41.847282427475825,0.05708379203935596,1446.9747,0.4707119580140791,1.0,False
G-089,0.34848450611431053,0.19179583904762582,0.45971965483806376,0.0,0.0,0.0,3.6234961075725405,,21.06157112526539,,0.254037037037037,0.0,12502.0,0.0355,11.82060686895632,0.031210272683858887,443.82099999999997,0.2763926821276315,1.0,False
G-090,0.4169362380890351,0.39469599916737685,0.18836776274358796,0.0,0.0,0.0,4.7558386411889595,,10.417551309271055,,0.30527437037037036,0.0,14885.0,0.0644,41.57719239746582,0.08234758078112812,958.5939999999999,0.5122981523646634,1.0,False
G-091,0.449147875117309,0.28302432379461984,0.1843485858418549,0.08347921524621614,0.0,0.0,22.533616418966737,,,,0.3629757037037036,1.0,14983.0,0.0669,28.89629876625542,0.061457147208104274,1002.3627,0.1179713697667763,0.9999999999999999,False
G-092,0.4122866879712421,0.3041081777443921,0.08725510313229543,0.19635003115207023,0.0,0.0,22.929936305732483,,,,2.6663442962962964,1.0,6145.0,0.0106,3.6345448482827614,0.020533956149847227,65.137,-0.14833265316583938,1.0,False
G-093,0.5176079541122226,0.2007162125269858,0.09522633400181664,0.18644949935897495,0.0,0.0,11.889596602972398,,,,2.0971520000000003,1.0,3284.0,0.0188,2.354118039346449,0.02430159891548725,61.739200000000004,-0.3088054022216954,1.0,False
G-094,0.358555631943661,0.3954265408546047,0.24601782720173435,0.0,0.0,0.0,5.152158527954707,,,,0.23072237037037033,0.0,10223.0,0.0389,26.73891297099033,0.08447169748372498,397.6747,0.5414286402207991,1.0,False
G-095,0.24418524182146395,0.3695582317714596,0.38625652640707653,0.0,0.0,0.0,9.228591648973815,,19.249823071479124,,0.24609896296296288,0.0,14222.0,0.0341,31.34711570523508,0.06430059780214442,484.9702,0.5623136571699542,1.0,False
G-096,0.5476479302305517,0.21765412662013084,0.1762466216905773,0.058451321458740234,0.0,0.0,87.69992922859164,,,,0.3629757037037036,1.0,13898.0,0.0629,28.56285428476159,0.062262688405936344,874.1841999999999,0.053002977240199006,1.0000000000000002,False
G-097,0.12872299071024548,0.6289206218140555,0.1173978677014844,0.0671955638870217,0.057762955887193025,0.0,82.4345364472753,,32.32837933474876,,0.26214400000000004,0.0,6957.0,0.2093,78.46282094031345,0.21208990679424283,1456.1001,0.8686812212192021,1.0000000000000002,False
G-098,0.20808733658546233,0.5495224707418892,0.17887232592251667,0.06351786675013178,0.0,0.0,85.49186128803963,,,,0.20887970370370365,1.0,8936.0,0.1293,26.618872957652552,0.08854449479663339,1155.4248,0.6426588201984744,1.0,False
G-099,0.40852844999245186,0.21903378203896726,0.09181042172616684,0.28062734624241414,0.0,0.0,1.4154281670205238,,,,3.1981810370370374,1.0,3636.0,0.00215142,0.9903301100366789,0.00993043825654792,7.822563119999999,-0.4922619663532826,1.0,False
G-100,0.548229643012718,0.12178779631727611,0.16982687124531542,0.16015568942469044,0.0,0.0,3.5102618542108988,,,,3.0696983703703693,1.0,4290.0,0.00664378,3.561187062354118,0.02880770798303653,28.5018162,-0.35550053623368655,1.0,False
G-101,0.545599273454816,0.20920377557390862,0.17453595267264727,0.07066099829862814,0.0,0.0,49.37013446567587,,,,0.416274962962963,1.0,9668.0,0.0395,17.669223074358122,0.05744655880972845,381.886,0.009037519474971084,1.0,False
G-102,0.5484979641624895,0.2870444259110734,0.07564531645912276,0.0888122934673143,0.0,0.0,27.912243453644727,,,,0.6213783703703706,1.0,8162.0,0.0758,17.69256418806269,0.06707946840503509,618.6796,0.06063092244699678,1.0,False
G-103,0.0861850092371505,0.48793246216480907,0.20803928603920735,0.217843242558833,0.0,0.0,66.24203821656052,,,,1.0201336296296295,1.0,6807.0,0.0743,15.808602867622541,0.06968810174086991,505.7601,0.1932003124504823,1.0,False
G-104,0.12391808779078436,0.5832265544377092,0.10850785268196853,0.12053533256941358,0.06381217252012436,0.0,97.38145789101203,,,,0.4624877037037039,1.0,7967.0,0.2158,68.30610203401135,0.1789396836994231,1719.2785999999999,0.6726832461088303,1.0,False
G-105,0.11330040464902852,0.40477118914103344,0.19584913797893386,0.21088763697617752,0.0751916312548266,0.0,83.79334748761501,,,,1.1686850370370374,1.0,5367.0,0.0772,14.868289429809938,0.08044890276842702,414.3324,0.2097567219949302,1.0,False
G-106,0.5103293592484149,0.1119201390128269,0.1900169751755539,0.18773352656320413,0.0,0.0,2.264685067232838,,,,3.699901629629631,1.0,4052.0,0.005998,0.6902300766922308,0.0061902365760032945,24.303895999999998,-0.42653516500756417,1.0,False
G-107,0.13153840151429808,0.585805341416514,0.09346979529372941,0.09231488999068535,0.09687157178477324,0.0,137.0134465675867,,,,0.3528936296296296,1.0,7930.0,0.2874,99.54318106035346,0.24200751971848658,2279.082,0.8034778891600595,1.0,False
G-108,0.12131765133120861,0.5865106499216102,0.09573166757103267,0.10734914199275752,0.08909088918339114,0.0,107.5725406935598,,,,0.45062962962962955,1.0,17441.0,0.281,175.31177059019674,0.2112055416755229,4900.921,0.7552984335651876,1.0,False
G-109,0.12012142141492373,0.3980324902961269,0.192678325577721,0.19769337376653343,0.09147438894469508,0.0,77.11252653927814,,,,1.2136296296296296,1.0,6684.0,0.0786,18.552850950316774,0.07772311818570128,525.3624,0.26013279257106436,1.0000000000000002,False
G-110,0.2345760655408179,0.4938766423590441,0.1785339376587476,0.09301335444139049,0.0,0.0,71.3375796178344,,,,0.33329303703703705,1.0,4374.0,0.1316,24.108036012004003,0.13042010864380355,575.6184,0.4745874040731859,1.0,False
G-111,0.22261017068782285,0.49919322346473005,0.19244834769944247,0.08574825814800462,0.0,0.0,76.20665251238499,,,,0.30527437037037036,1.0,11315.0,0.1504,60.37345781927309,0.12601468929714332,1701.776,0.5074905679067118,0.9999999999999999,False
