Country,mean_cri,mean_slr,high_risk_pct,very_high_pct,n_points
Côte d'Ivoire,2.0,12.516666666666667,0.0,0.0,274
Congo,2.0,13.050183150183152,0.0,0.0,91
"Congo, The Democratic Republic of the",2.0,13.047488584474888,0.0,0.0,73
Cameroon,2.0,12.53419262441819,0.0,0.0,931
Angola,2.0,13.080827067669174,0.0,0.0,266
Benin,2.0,12.6,0.0,0.0,45
Bermuda,2.0,10.366666666666665,0.0,0.0,14
Ecuador,2.0,11.156882989183876,0.0,0.0,678
Guinea-Bissau,2.0,12.014578214578213,0.0,0.0,1221
Gambia,2.0,11.921348314606742,0.0,0.0,267
Nigeria,2.0,12.645695711439657,0.0,0.0,3179
New Zealand,2.0,13.04832713754647,0.0,0.0,269
Liberia,2.0,12.443984962406017,0.0,0.0,266
Kiribati,2.0,12.23076923076923,0.0,0.0,13
Mauritania,2.0,11.833333333333334,0.0,0.0,13
Pakistan,2.0,11.370531400966186,0.0,0.0,69
Peru,2.0,11.190972222222223,0.0,0.0,48
South Africa,2.0,12.55952380952381,0.0,0.0,112
Somalia,2.0,12.42578616352201,0.0,0.0,53
Singapore,2.0,12.299999999999999,0.0,0.0,2
Sao Tome and Principe,2.0,13.4,0.0,0.0,3
Senegal,2.0,12.037429378531073,0.0,0.0,708
Sierra Leone,2.0,12.293498301795244,0.0,0.0,687
Togo,2.0,12.564583333333333,0.0,0.0,32
