cell,reference_pseudotime,trajectory_bin,embedding_1,embedding_2,annotated_age,phase,state,batch
39,0.08617037310274775,Q1,14.712676,2.1140215,8.266666667,G0,arrested,1
40,0.09572976484342265,Q1,13.022997,1.0508057,7.2,S,cycling,1
41,0.18301963995737192,Q6,10.558012,2.5185065,18.4,G2,cycling,1
42,0.2207616941055749,Q7,9.920811,4.3671026,9.6,S,cycling,1
43,0.12537889734743238,Q2,12.542467,0.9385992,5.066666667,G1,cycling,1
44,0.20837832627112157,Q7,10.147436,0.99271226,3.2,G1,cycling,1
45,0.12617432668823197,Q2,11.276173,3.2707121,1.333333333,G1,cycling,1
46,0.1110438513377004,Q1,13.753802,2.9522095,4.266666667,G1,cycling,1
47,0.17252186064795616,Q5,10.977008,4.184563,5.8666666670000005,S,cycling,1
48,0.22487969202501776,Q7,10.700766,5.186938,2.133333333,G1,cycling,1
49,0.17354477956482275,Q5,11.05507,0.9146886,14.13333333,S,cycling,1
50,0.1883174979810437,Q6,10.82244,1.2399813,17.33333333,G2,cycling,1
51,0.11763439554195214,Q1,14.206664,2.0351985,9.866666667,G1,cycling,1
52,0.23230109766713253,Q8,12.994051,1.7054883,5.8666666670000005,S,cycling,1
53,0.7517277130485795,Q8,8.373792,5.0479727,9.066666667,S,cycling,1
54,0.1335947400369173,Q2,12.050862,2.3180032,16.26666667,G2,cycling,1
55,0.16008077087814418,Q4,12.861328,3.1218014,4.266666667,G1,cycling,1
56,0.1247988335040506,Q2,11.296662,1.2034338,7.2,S,cycling,1
57,0.353126186053407,Q8,9.1480665,2.7408843,20.0,G2,cycling,1
58,0.12330334201188994,Q2,12.465756,2.4257724,4.266666667,G1,cycling,1
59,0.13484311152553247,Q3,12.547501,0.8934295,4.266666667,G1,cycling,1
60,0.1424947195547646,Q3,11.153836,1.0168278,18.93333333,S,cycling,1
61,0.1582890583789098,Q4,13.968278,3.585929,2.666666667,G1,cycling,1
62,0.12487865935354141,Q2,14.566323,2.0991955,1.333333333,G1,cycling,1
63,0.13108197059156862,Q2,13.136258,2.931207,4.266666667,G1,cycling,1
64,0.13210346785595303,Q2,15.097141,2.059836,1.8666666669999998,G1,cycling,1
65,0.22940134489446704,Q8,10.291526,3.8361652,8.266666667,S,cycling,1
66,0.11544563009145851,Q1,13.641791,1.9667917,5.8666666670000005,G1,cycling,1
67,0.11508657703347007,Q1,14.48579,2.9125783,8.266666667,G0,arrested,1
68,0.12810208630583597,Q2,12.040336,0.75416225,5.333333333,S,cycling,1
69,0.1341375594342463,Q2,12.694222,2.310454,3.4666666669999997,G1,nan,1
70,0.1212303321490895,Q2,13.701038,3.0861988,5.333333333,G1,cycling,1
71,0.14956215014588284,Q3,12.820436,2.7260866,5.066666667,G1,cycling,1
72,0.11804677106982421,Q2,14.464268,2.0745828,3.2,G1,nan,1
73,0.1138810080108431,Q1,14.265845,3.2720616,2.133333333,G1,cycling,1
74,0.12513784806220452,Q2,14.813004,2.1507611,2.933333333,G1,cycling,1
75,0.2723055573894372,Q8,8.991085,5.623198,2.4,G1,cycling,1
76,0.13926545012816513,Q3,14.34489,3.7905326,5.8666666670000005,S,cycling,1
77,0.27153396190412427,Q8,9.699013,2.9095583,12.53333333,G2,cycling,1
78,0.2774827375288092,Q8,9.805936,2.5012088,15.2,G2,cycling,1
79,0.1308106670516171,Q2,12.210751,3.3003035,5.066666667,S,cycling,1
80,0.2690277516023661,Q8,9.429089,4.478432,5.6,S,cycling,1
81,0.218266077775617,Q7,11.272569,4.616934,10.93333333,S,cycling,1
82,0.1743498235650559,Q6,11.2522545,4.430494,6.4,S,cycling,1
83,0.15161965647745823,Q4,13.593169,2.6754289,7.733333332999999,S,cycling,1
84,0.14599042372462442,Q3,11.36152,3.5571663,4.8,G1,cycling,1
85,0.16266604642643195,Q5,11.418232,4.2360325,1.6,G1,cycling,1
86,0.13491109522774108,Q3,11.647826,3.4179506,4.8,S,cycling,1
87,0.22147252709785126,Q7,9.966728,3.883929,4.533333333,G0,arrested,1
88,0.14725246206880271,Q3,11.636623,1.2721695,17.86666667,G2,cycling,1
89,0.1227785975178642,Q2,13.866803,2.2135267,14.13333333,G2,cycling,1
90,0.16878331278578215,Q5,12.176951,3.687904,9.333333332999999,S,cycling,1
91,0.15901969398419416,Q4,11.931624,4.3763523,4.266666667,G1,cycling,1
92,0.12704289019674836,Q2,11.8863945,2.6245685,6.1333333329999995,S,cycling,1
93,0.04242043162966544,Q1,13.178269,0.614686,4.533333333,G1,cycling,1
94,0.23757741409527475,Q8,9.624091,3.3489296,16.26666667,G2,cycling,1
95,0.12577197718526978,Q2,14.312839,2.9396322,4.533333333,S,cycling,1
96,0.12126005442433464,Q2,13.645691,2.2973056,5.8666666670000005,S,cycling,1
97,0.14178466405127485,Q3,13.857518,2.7879758,5.333333333,S,cycling,1
98,0.118779809558556,Q2,12.043941,0.6507708,13.6,S,cycling,1
99,0.15683588986156852,Q4,13.153173,4.954942,9.866666667,S,cycling,1
100,0.15741794401154047,Q4,13.226111,3.2395039,9.6,S,cycling,1
101,0.12141892892275166,Q2,14.907982,2.7146504,5.333333333,G1,cycling,1
102,0.13080370906160232,Q2,13.127145,3.1956024,6.4,S,cycling,1
103,0.12699493932591405,Q2,13.674859,3.315728,1.6,G0,arrested,1
104,0.081836871278655,Q1,12.942376,1.5984703,1.8666666669999998,G1,cycling,1
105,0.0,Q1,13.7063055,1.1577123,0.0,G1,cycling,1
106,0.13499137597990454,Q3,11.102214,1.3714228,15.46666667,G2,cycling,1
107,0.1630501094849992,Q5,13.395485,3.2263765,20.0,S,cycling,1
108,0.1334705877210697,Q2,12.099288,4.9991374,2.4,G1,cycling,1
109,0.07783055117658923,Q1,12.774659,1.0472476,4.266666667,G1,cycling,1
110,0.27499755981003005,Q8,9.995816,4.2905374,5.8666666670000005,G0,arrested,1
111,0.1316507927992203,Q2,13.0171175,2.9358084,5.066666667,G1,cycling,1
112,0.22309815611019188,Q7,9.604473,5.7236547,3.4666666669999997,G1,cycling,1
113,0.07232624376864077,Q1,14.347953,1.1820045,0.0,G1,cycling,1
114,0.10919955492655364,Q1,12.904395,1.9045447,3.2,G0,arrested,1
115,0.18514567765004747,Q6,11.633087,2.5227063,16.53333333,G2,cycling,1
116,0.11563397734965701,Q1,12.080537,0.7302853,7.2,S,cycling,1
117,0.17468536974444937,Q6,10.838793,0.85806054,6.666666667,S,cycling,1
118,0.08540462727230562,Q1,15.150124,2.3351038,5.333333333,S,cycling,1
119,0.13280735536843405,Q2,12.403501,4.862269,5.066666667,G1,cycling,1
120,0.14948054701552982,Q3,13.796727,3.0571394,9.866666667,S,cycling,1
121,0.36792072504181356,Q8,8.644186,5.250569,13.86666667,G2,cycling,1
122,0.15855069978979003,Q4,12.10215,4.6184106,3.4666666669999997,G1,cycling,1
123,0.15286055744796637,Q4,10.739611,1.219949,15.46666667,G2,cycling,1
124,0.12234749115503894,Q2,13.780218,2.8786294,5.333333333,S,cycling,1
125,0.13572358245463204,Q3,13.628664,3.7174902,1.6,G1,cycling,1
126,0.3993228321907526,Q8,8.513727,5.8634763,3.2,G0,arrested,1
127,0.0935605633685192,Q1,14.173212,0.87170637,1.333333333,G1,nan,1
128,0.16935017670787253,Q5,10.212402,6.376799,2.666666667,G1,cycling,1
129,0.09633370257737377,Q1,16.051311,3.1117547,3.2,G1,cycling,1
130,0.11806357208559506,Q2,14.502229,2.7126777,2.4,G0,arrested,1
131,0.27795865591809094,Q8,9.296716,5.942418,0.533333333,G1,cycling,1
132,0.08156448338953916,Q1,15.373486,2.2553992,2.933333333,G1,cycling,1
133,0.05354796114248611,Q1,12.910662,1.6545627,2.133333333,G1,cycling,1
134,0.11755017054608352,Q1,14.638493,2.7716162,5.8666666670000005,G1,cycling,1
135,0.33870747961072234,Q8,8.589275,5.1450596,7.466666667,S,cycling,1
136,0.12738445881542845,Q2,12.034271,4.96934,2.4,G1,cycling,1
137,0.16785858016382332,Q5,10.3208885,6.296377,0.533333333,G1,cycling,1
138,0.19884369092821527,Q7,10.524503,0.8878432,10.66666667,S,cycling,1
139,0.13695204644628398,Q3,13.475403,2.3364484,10.93333333,S,cycling,1
140,0.1542581453896943,Q4,12.104859,3.4669194,5.8666666670000005,S,cycling,1
141,0.29546429695217846,Q8,8.923111,5.594577,8.0,S,cycling,1
142,0.3024260929414949,Q8,9.731003,1.8368613,17.33333333,G2,cycling,1
143,0.1855781832377439,Q6,11.05195,6.0358267,5.066666667,G1,cycling,1
144,0.2533085846382442,Q8,9.834525,1.6322383,17.86666667,G2,cycling,1
145,0.05714901205966148,Q1,13.73572,0.7908439,0.8,G0,arrested,1
146,0.1359238199603584,Q3,12.340288,3.5911236,11.2,S,cycling,1
147,0.169751706039858,Q5,15.090134,7.71896,5.8666666670000005,G0,arrested,1
148,0.1593361584138756,Q4,11.316293,0.7747555,1.8666666669999998,G1,nan,1
149,0.0878386108339991,Q1,13.741845,3.374767,4.8,G1,cycling,1
150,0.1510747734462564,Q4,13.360041,2.5596678,6.4,S,cycling,1
151,0.2775117825906256,Q8,9.063717,4.9488845,2.4,G0,arrested,1
152,0.08736062058073935,Q1,13.14703,2.2648785,6.666666667,S,cycling,1
153,0.16168888797947253,Q5,13.092271,1.4275023,0.0,G1,cycling,1
154,0.16235527190802065,Q5,10.965445,1.62269,16.8,G2,nan,1
155,0.06606733375802738,Q1,14.967809,1.5447499,0.8,G0,arrested,1
156,0.17391813178607388,Q6,12.512681,5.1357036,4.266666667,G1,nan,1
157,0.22487040549403958,Q7,9.999856,6.1510625,1.066666667,G1,cycling,1
158,0.16863703714816375,Q5,12.03736,4.1573296,9.066666667,S,cycling,1
159,0.22124428397277046,Q7,10.354417,2.3453147,15.2,G2,cycling,1
160,0.10371322262065559,Q1,15.53777,2.2854574,1.8666666669999998,G0,arrested,1
161,0.16447391889735716,Q5,15.847234,3.5284789,8.533333333,S,cycling,1
162,0.0962079218217363,Q1,16.187569,3.2260177,1.333333333,G0,arrested,1
163,0.04644847154339756,Q1,15.342219,2.052223,1.333333333,G1,cycling,1
164,0.12832259895423662,Q2,13.290527,2.9695222,6.1333333329999995,S,cycling,1
165,0.15500798858331247,Q4,13.053315,1.3951561,0.0,G1,cycling,1
166,0.32366224200896127,Q8,8.610503,6.2307014,0.533333333,G0,arrested,1
167,0.1374446170490762,Q3,12.856777,4.6414094,18.93333333,S,cycling,1
168,0.21064037182411977,Q7,10.138694,6.131923,1.066666667,G1,nan,1
169,0.23562144001264104,Q8,9.446819,3.0885398,3.733333333,G1,nan,1
170,0.12690881639468277,Q2,13.476039,3.6943429,8.266666667,S,cycling,1
171,0.15148885149617702,Q4,13.010871,3.9706445,9.866666667,S,cycling,1
172,0.16496273781785148,Q5,11.212325,6.6866984,0.0,G1,cycling,1
173,0.08349388235568284,Q1,15.23577,1.9195974,0.26666666699999997,G1,cycling,1
174,0.1452940149256337,Q3,13.713554,5.180231,4.266666667,G1,cycling,1
175,0.11219306548416268,Q1,13.007215,2.1617334,6.666666667,S,cycling,1
176,0.15290431318596442,Q4,13.110659,4.1299825,5.6,S,cycling,1
177,0.09227317025042553,Q1,16.18114,3.1487837,1.333333333,G0,arrested,1
178,0.1412641734075794,Q3,11.992386,1.9546132,8.0,S,cycling,1
179,0.13480215210158328,Q3,12.802548,2.1851606,18.13333333,S,cycling,1
180,0.16034993118364566,Q4,11.130478,6.70765,1.066666667,G0,arrested,1
181,0.27015754505487544,Q8,9.084046,6.734615,0.0,G1,cycling,1
182,0.18249997171600485,Q6,12.110693,5.619765,2.4,G1,nan,1
183,0.08810595295010219,Q1,15.039115,1.823153,0.26666666699999997,G1,cycling,1
184,0.15207940169759102,Q4,14.347506,3.1935303,15.73333333,G2,cycling,1
185,0.14233031735873086,Q3,11.771923,1.9646223,14.93333333,G1,cycling,1
186,0.2947052353472116,Q8,8.836896,6.0426116,0.533333333,G0,arrested,1
187,0.11877906937089266,Q2,14.072732,4.610396,4.0,G1,nan,1
188,0.21594277032360895,Q7,10.663002,5.0898013,6.1333333329999995,G1,cycling,1
189,0.12561795021294542,Q2,13.989908,4.50852,3.2,G1,nan,1
190,0.20071344935839144,Q7,9.291437,6.766884,1.066666667,G0,arrested,1
191,0.10718322277893506,Q1,13.811916,1.0331775,10.93333333,S,cycling,1
192,0.0449339556807961,Q1,14.067974,0.889548,3.2,G1,cycling,1
193,0.16155308810510902,Q5,11.6172695,5.1087823,7.466666667,S,cycling,1
194,0.16719969596353648,Q5,11.245024,1.4799858,13.33333333,S,cycling,1
195,0.12857778707691195,Q2,13.162441,4.418111,4.266666667,G1,cycling,1
196,0.11869960962297339,Q2,13.880153,1.3347139,6.666666667,S,cycling,1
197,0.2350738335570301,Q8,10.034814,2.4854748,15.73333333,G2,cycling,1
198,0.16201253165024135,Q5,14.111849,2.9739351,14.13333333,S,nan,1
199,0.12901152390403473,Q2,12.965575,3.8204215,5.6,G1,cycling,1
200,0.12576964973669102,Q2,15.560533,3.521107,6.666666667,S,cycling,1
201,0.1807355149223703,Q6,12.895889,4.7155704,8.266666667,S,nan,1
202,0.12124632534124585,Q2,12.294097,0.00085878436,5.8666666670000005,G1,cycling,1
203,0.11594620252585523,Q1,14.719065,2.838466,3.2,G0,arrested,1
204,0.13276660087453562,Q2,11.343164,1.2576023,12.0,S,cycling,1
205,0.20745518736673893,Q7,10.492517,1.3088477,14.93333333,G2,cycling,1
206,0.18382851270192657,Q6,11.270168,4.955828,9.866666667,S,cycling,1
207,0.16933709540286326,Q5,11.261254,2.362851,5.6,S,cycling,1
208,0.15801790129133525,Q4,12.525419,4.1551847,6.666666667,S,cycling,1
209,0.12347785438537862,Q2,15.739064,3.4308853,6.666666667,G1,cycling,1
210,0.13128040293587695,Q2,13.593759,4.398486,5.8666666670000005,G1,cycling,1
211,0.24549213823572055,Q8,9.277689,3.5532763,9.066666667,S,cycling,1
212,0.09448473953303613,Q1,15.300553,2.168708,0.26666666699999997,G1,cycling,1
213,0.11813207455488862,Q2,11.6689005,1.7236162,3.733333333,G1,cycling,1
214,0.2246709828650491,Q7,9.654729,5.617405,2.4,G1,cycling,1
215,0.14983922188184595,Q3,13.559881,5.1654916,4.533333333,S,nan,1
216,0.29908432141576496,Q8,9.734606,1.9705954,17.33333333,G2,cycling,1
217,0.2362973532541344,Q8,9.608266,3.4955902,13.6,G2,cycling,1
218,0.1295263838633699,Q2,12.2343,1.6398935,2.933333333,G1,cycling,1
219,0.21268494280933847,Q7,9.864083,6.2670646,0.8,G1,nan,1
220,0.2396587812193869,Q8,9.717106,3.5157287,16.26666667,G2,cycling,1
221,0.22455490068495085,Q7,10.550951,2.6049058,18.66666667,G2,cycling,1
222,0.5095384123224369,Q8,8.503722,5.3051076,2.666666667,G0,arrested,1
223,0.20856418079082595,Q7,10.627863,4.2548566,8.266666667,S,cycling,1
224,0.14308908551849278,Q3,11.716393,3.9705029,7.466666667,S,cycling,1
225,0.14987722720353952,Q3,13.513353,4.5098515,9.066666667,S,cycling,1
226,0.12452749766523578,Q2,13.543585,3.3877547,7.733333332999999,S,cycling,1
227,0.13021376824529823,Q2,13.331937,3.0212495,10.93333333,S,cycling,1
228,0.1880468997681683,Q6,11.361232,4.1733003,14.13333333,G2,nan,1
229,0.18630012320521716,Q6,10.601764,1.6602194,10.93333333,S,cycling,1
230,0.18501754978350374,Q6,10.462354,1.9443986,16.26666667,G2,cycling,1
231,0.13824563396226094,Q3,13.510444,3.2297418,7.2,S,cycling,1
232,0.2718130433353737,Q8,8.892858,6.6085367,16.53333333,G2,cycling,1
233,0.050464082375096746,Q1,15.183906,2.1516378,0.26666666699999997,G1,cycling,1
234,0.2683407138367631,Q8,9.436859,5.3194222,6.666666667,G0,arrested,1
235,0.12231809235274071,Q2,13.826344,3.7892728,5.8666666670000005,S,cycling,1
236,0.24330938778967331,Q8,9.5170355,5.697421,0.8,G0,arrested,1
237,0.168154517320734,Q5,12.735328,3.3497412,16.53333333,G2,nan,1
238,0.14528446558110938,Q3,12.928819,4.496555,3.733333333,G1,cycling,1
239,0.24454836785525297,Q8,9.807011,2.35946,16.26666667,G2,cycling,1
240,0.12533231261334887,Q2,12.157993,2.100805,3.2,G1,cycling,1
241,0.20179006028408172,Q7,10.197158,6.095141,6.933333332999999,S,cycling,1
242,0.1594441232762405,Q4,12.766596,2.21009,5.6,S,cycling,1
243,0.6194639123666574,Q8,8.200112,5.7863617,12.53333333,G2,cycling,1
244,0.19517565546826887,Q7,11.257329,4.0679297,9.6,S,cycling,1
245,0.17604801042813908,Q6,11.256478,5.716442,2.133333333,G0,arrested,1
246,0.18964274056033079,Q6,11.538041,5.023285,6.933333332999999,S,cycling,1
247,0.27386223229280643,Q8,9.280929,5.814505,6.4,G1,cycling,1
248,0.14775812357810125,Q3,11.341105,1.3980064,15.73333333,G2,cycling,1
249,0.2845536545817956,Q8,9.209325,6.2804875,1.066666667,G1,cycling,1
250,0.188712241191622,Q6,10.453562,2.2301888,20.0,G2,cycling,1
251,0.11713834155262257,Q1,13.668168,4.103657,3.733333333,G1,cycling,1
252,0.0868387712632448,Q1,13.870805,2.3747058,6.666666667,S,cycling,1
253,0.13888964104647977,Q3,11.586963,2.1771169,6.4,S,cycling,1
254,0.20462945505031815,Q7,10.423161,4.1216006,21.6,S,cycling,1
255,0.1218358006072953,Q2,12.205903,1.7786436,2.4,G1,cycling,1
256,0.33697270852479067,Q8,8.701594,5.454768,1.066666667,G0,arrested,1
257,0.15389495496758349,Q4,12.063627,2.3333845,9.066666667,S,cycling,1
258,0.2057153721623404,Q7,10.123255,6.4957466,1.066666667,G1,nan,1
259,0.08353085668120222,Q1,14.237588,1.1460252,4.533333333,G1,cycling,1
260,0.1505166236963845,Q4,12.366167,2.3416252,12.53333333,S,cycling,1
261,0.22718066272592288,Q8,9.697776,5.679253,1.8666666669999998,G1,cycling,1
262,0.28252894426571107,Q8,9.345389,4.331636,18.93333333,S,cycling,1
263,0.1108031868496149,Q1,14.180345,4.638354,2.4,G1,cycling,1
264,0.19966711771555673,Q7,9.996127,2.4930964,16.8,G2,cycling,1
265,0.195977322258941,Q7,10.733658,4.648485,16.26666667,G2,cycling,1
266,0.2261882183334685,Q8,9.607999,6.1784673,3.733333333,G1,cycling,1
267,0.1198086627307442,Q2,11.195602,2.5387256,18.93333333,G0,arrested,1
268,0.14729640559978552,Q3,13.126906,1.781365,8.8,S,cycling,1
269,0.27442856497440515,Q8,9.097701,5.9318423,3.733333333,G1,nan,1
270,0.16704679263512523,Q5,11.511381,4.6289773,6.1333333329999995,S,cycling,1
271,0.15296113228421382,Q4,12.690379,1.6287602,3.2,G1,cycling,1
272,0.1729529676165318,Q5,12.207556,2.9668486,9.066666667,S,cycling,1
273,0.3155084444735621,Q8,9.238608,3.2678466,13.33333333,G2,cycling,1
274,0.17742451467400197,Q6,11.202171,5.9771514,2.4,G1,nan,1
275,0.27128456404453577,Q8,9.207538,5.74801,1.066666667,G0,arrested,1
276,0.1450035309203244,Q3,13.257304,3.4925773,7.2,S,cycling,1
277,0.15384671708210346,Q4,14.211817,4.888098,6.933333332999999,S,cycling,1
278,0.22155417303568048,Q7,10.468878,3.9764683,12.53333333,G2,cycling,1
279,0.15946837475354214,Q4,10.429221,6.427821,0.533333333,G1,cycling,1
280,0.12806304241315047,Q2,13.053398,2.3342094,10.93333333,S,cycling,1
281,0.21558193161414893,Q7,10.250681,6.402071,0.533333333,G1,cycling,1
282,0.2471114726039854,Q8,10.099272,6.3757763,5.8666666670000005,G0,arrested,1
283,0.20029345183090566,Q7,10.155293,6.4578195,2.4,G1,cycling,1
284,0.18852379529112706,Q6,11.354149,4.749507,8.8,S,cycling,1
285,0.1821087962636288,Q6,12.370955,3.778864,17.33333333,G2,cycling,1
286,0.1139424011728445,Q1,13.067495,4.337762,1.333333333,G1,cycling,1
287,0.11828404550606708,Q2,14.923232,2.4890924,1.6,G1,cycling,1
288,0.15600360658144966,Q4,13.734376,4.5626206,8.266666667,S,cycling,1
289,0.17950858997993982,Q6,11.819938,2.6181264,11.73333333,S,cycling,1
290,0.19137759091014186,Q6,12.194043,2.0346093,10.13333333,S,cycling,1
291,0.19484280786445096,Q7,11.13998,6.1920147,2.133333333,G0,arrested,1
292,0.12089953805666627,Q2,12.757348,3.8581746,5.8666666670000005,S,cycling,1
293,0.22972244714296158,Q8,10.072494,5.104476,9.6,S,cycling,1
294,0.20597175762150344,Q7,9.984287,6.121944,1.333333333,G1,cycling,1
295,0.15456246709382299,Q4,12.402423,2.3710074,5.8666666670000005,S,cycling,1
296,0.13831461089273905,Q3,14.393657,4.8899517,1.6,G1,cycling,1
297,0.14790589716546526,Q3,12.233527,3.9215436,4.533333333,G1,cycling,1
298,0.18538728334582036,Q6,11.340888,5.3356724,5.6,G1,cycling,1
299,0.15242440589571624,Q4,13.083738,3.3006582,15.2,S,cycling,1
300,0.14651877961987766,Q3,13.024759,4.2824087,2.4,G1,nan,1
301,0.1227000680264299,Q2,14.087443,1.8750485,4.533333333,G1,cycling,1
302,0.1976384664831187,Q7,10.594419,4.2165,12.8,G2,cycling,1
303,0.0965796312647164,Q1,12.532558,0.62257475,1.333333333,G1,cycling,1
304,0.12793115691051532,Q2,12.599835,1.2672969,1.8666666669999998,G1,cycling,1
305,0.1672535960652774,Q5,12.278564,4.309949,8.266666667,S,cycling,1
306,0.20106820003588294,Q7,10.499985,6.4403973,3.4666666669999997,G0,arrested,1
307,0.1366637426800308,Q3,14.375036,4.909028,6.666666667,G1,cycling,1
308,0.21753493551606926,Q7,10.642163,5.3835993,1.066666667,G0,arrested,1
309,0.12099005398759735,Q2,13.590619,4.629255,5.6,S,cycling,1
310,0.19303395249059,Q7,11.352832,4.4231534,17.33333333,G2,cycling,1
311,0.11377916312148298,Q1,14.7552185,4.6945906,2.4,G0,arrested,1
312,0.16796027990174123,Q5,12.478833,2.7144768,15.2,S,cycling,1
313,0.21058652302545836,Q7,9.797694,6.271535,0.8,G0,arrested,1
314,0.15064554424732474,Q4,14.3620825,5.2132483,5.8666666670000005,G1,cycling,1
315,0.11951537072590993,Q2,13.408573,2.9486299,14.13333333,S,cycling,1
316,0.16012769983771347,Q4,12.46546,4.3583493,8.533333333,S,cycling,1
317,0.1131100720426484,Q1,14.473282,1.7896752,2.4,G1,cycling,1
318,0.1589818478832288,Q4,11.891579,1.8389844,2.933333333,G1,cycling,1
319,0.1869067190010018,Q6,13.085023,4.464789,10.93333333,S,cycling,1
320,0.12595644367116374,Q2,12.503011,1.5704703,7.733333332999999,S,cycling,1
321,0.12324640689592836,Q2,12.532939,1.7921684,4.8,G1,cycling,1
322,0.3020063271517262,Q8,9.450354,1.7167746,4.533333333,G1,cycling,1
323,0.15565541023400295,Q4,12.015583,2.328998,14.93333333,S,cycling,1
324,0.18492369265049438,Q6,12.262634,5.052187,8.8,S,cycling,1
325,0.14578141102550166,Q3,14.565568,5.2809243,3.4666666669999997,G0,arrested,1
326,0.10060235331546613,Q1,13.980418,2.3615525,2.133333333,G1,cycling,1
327,0.10612338575640645,Q1,11.739314,2.203878,2.4,G1,cycling,1
328,0.20271925333745616,Q7,9.703085,5.976575,1.066666667,G0,arrested,1
329,0.11425550351907547,Q1,14.977491,4.5272813,1.6,G1,cycling,1
330,0.18622370031809796,Q6,10.792638,3.7019725,16.26666667,G2,cycling,1
331,0.11984634090438277,Q2,15.014206,2.2627487,4.533333333,G1,cycling,1
332,0.12167752383270855,Q2,13.684643,4.821337,7.733333332999999,S,cycling,1
333,0.14624025910137864,Q3,13.556004,4.679305,6.666666667,S,cycling,1
334,0.17540833823264093,Q6,11.059544,3.5858307,2.4,G1,nan,1
335,0.15541573992338095,Q4,11.636336,2.4067392,17.06666667,S,cycling,1
336,0.0917950654070727,Q1,12.356972,0.9997268,2.133333333,G1,cycling,1
337,0.19180469104668296,Q6,11.367643,4.0300775,20.0,G2,cycling,1
338,0.13928079029117965,Q3,14.749989,3.289647,1.066666667,G1,cycling,1
339,0.19547308437753833,Q7,9.940297,2.3858929,15.46666667,G2,cycling,1
340,0.14411768052307425,Q3,11.477199,0.789566,10.93333333,S,cycling,1
341,0.14328508090736344,Q3,11.600689,2.4781613,3.2,G1,cycling,1
342,0.1987402430657189,Q7,10.534131,4.1324315,13.06666667,S,cycling,1
343,0.17439095053427417,Q6,12.561668,2.3315299,16.8,S,cycling,1
344,0.11616041481511871,Q1,15.238697,4.291501,1.333333333,G0,arrested,1
345,0.1826411392512947,Q6,12.687028,4.8994007,10.13333333,S,cycling,1
