level,rmse_persistence,rmse_linear,mae_persistence,mae_linear,skill_linear_vs_persistence,x0_mean,x1_mean,y6_mean
T100,14.154258728027344,24.451099395751953,11.282365798950195,19.494089126586914,-0.7274729723100049,0.09767625480890274,0.026884449645876884,-0.029391199350357056
T150,14.09613037109375,24.453075408935547,11.247848510742188,19.529869079589844,-0.7347367515185974,0.019067658111453056,0.07246468961238861,0.013643152080476284
T200,14.179564476013184,24.573453903198242,11.315585136413574,19.592012405395508,-0.7330189474272018,0.028084591031074524,0.021573904901742935,-0.0012886833865195513
T250,14.066537857055664,24.44793701171875,11.228915214538574,19.527225494384766,-0.7380209160318807,0.00949170719832182,-0.06316360831260681,0.014840743504464626
T300,14.150906562805176,24.5014705657959,11.296106338500977,19.547420501708984,-0.7314417600773959,0.04494457319378853,-0.03880703076720238,-0.010510185733437538
T400,14.123083114624023,24.505657196044922,11.26722526550293,19.52515983581543,-0.7351492586394484,0.06341513246297836,0.013421761803328991,-0.005811785347759724
T500,14.187372207641602,24.56910514831543,11.322574615478516,19.60727310180664,-0.7317586927817603,0.03238441050052643,0.003018793649971485,0.0240204818546772
T600,14.114294052124023,24.535547256469727,11.27365779876709,19.572877883911133,-0.738347462923638,-0.06757178157567978,-0.015707582235336304,0.009114592336118221
T700,14.141253471374512,24.50510597229004,11.27552604675293,19.553062438964844,-0.7328807535974702,0.0030173968989402056,0.008990117348730564,-0.011845552362501621
T850,14.139183044433594,24.465211868286133,11.29112434387207,19.53215980529785,-0.7303129743352483,-0.01330592855811119,0.009794902056455612,-0.03626975789666176
T925,14.217310905456543,24.643430709838867,11.341204643249512,19.668542861938477,-0.7333397907461594,0.05585744231939316,-0.002447879407554865,0.00529315322637558
T1000,14.137422561645508,24.49161720275879,11.270355224609375,19.56608772277832,-0.7323962055998972,0.001258785487152636,-0.009321823716163635,-0.031131891533732414
U50,14.108295440673828,24.48035430908203,11.27285099029541,19.527484893798828,-0.7351744873802477,0.02450251579284668,-0.004118442535400391,0.06054572016000748
U100,14.077665328979492,24.37436866760254,11.223628997802734,19.464405059814453,-0.7314212334217876,-0.014188429340720177,-0.0003739916137419641,0.030703913420438766
U150,14.09692096710205,24.37533950805664,11.261068344116211,19.466777801513672,-0.7291250738327597,0.00948780495673418,-0.025938469916582108,-0.00964371394366026
U200,14.140169143676758,24.48818016052246,11.262768745422363,19.48300552368164,-0.7318166361165082,-0.01411652471870184,-0.016106413677334785,0.02741609886288643
U250,14.18238639831543,24.504688262939453,11.317877769470215,19.569808959960938,-0.727825457205733,-0.024057256057858467,-0.010291333310306072,0.0190920177847147
U300,14.100247383117676,24.43902015686035,11.230523109436035,19.48023223876953,-0.7332334315013243,0.04604354873299599,-0.01636972278356552,-0.0945720449090004
U400,14.110922813415527,24.456058502197266,11.277091979980469,19.516338348388672,-0.7331296347921827,-0.04393734782934189,-0.009937080554664135,-0.022150101140141487
U500,14.032429695129395,24.375274658203125,11.219832420349121,19.4644832611084,-0.7370672925346604,0.08730683475732803,-0.009011893533170223,0.05102070793509483
U600,14.185696601867676,24.530019760131836,11.32021427154541,19.55354118347168,-0.7292079795997122,-0.023531347513198853,-0.024348096922039986,-0.011352526023983955
U700,14.199082374572754,24.56178092956543,11.328323364257812,19.607484817504883,-0.7298146655975546,-0.013593514449894428,0.012368623167276382,0.02010262757539749
U850,14.145496368408203,24.49618911743164,11.290140151977539,19.52722930908203,-0.7317306144263973,-0.02970990538597107,0.046961139887571335,-0.019658269360661507
U925,14.13830280303955,24.498292922973633,11.263254165649414,19.527206420898438,-0.7327605204285967,0.028615333139896393,-0.0824323371052742,-0.056273315101861954
U1000,14.13017749786377,24.444595336914062,11.28103256225586,19.48736000061035,-0.729956707239376,0.0033472669310867786,0.041592348366975784,0.0047109294682741165
V50,14.10171890258789,24.388662338256836,11.240388870239258,19.457263946533203,-0.7294815268073027,0.06420332938432693,0.012066826224327087,-0.015613283030688763
V100,14.114679336547852,24.49410057067871,11.255406379699707,19.544448852539062,-0.735363587556195,0.023501340299844742,-0.07613283395767212,0.04025449603796005
V150,14.138004302978516,24.503469467163086,11.253388404846191,19.54188346862793,-0.733163248648828,-0.018856177106499672,-0.06318622082471848,0.01111222431063652
V200,14.167688369750977,24.53922462463379,11.311269760131836,19.57796287536621,-0.7320556455084832,0.0032473213504999876,-0.017624439671635628,-0.0040975878946483135
V250,14.116281509399414,24.4725341796875,11.2492094039917,19.484777450561523,-0.7336388597372883,-0.0065027866512537,-0.0511493943631649,0.06349650770425797
V300,14.135151863098145,24.574752807617188,11.264005661010742,19.570476531982422,-0.7385559805530912,0.037939172238111496,0.02728315256536007,-0.012124791741371155
V400,14.114891052246094,24.37848663330078,11.254225730895996,19.442392349243164,-0.7271466384729708,-0.004240591544657946,-0.005663309246301651,0.06876176595687866
V500,14.172801971435547,24.54690170288086,11.297774314880371,19.574735641479492,-0.7319723899587374,-0.02760101854801178,-0.033250078558921814,-0.041843898594379425
V600,14.167917251586914,24.57684326171875,11.31615161895752,19.628293991088867,-0.734682863069674,0.1273217350244522,0.05795693024992943,-0.00011849166185129434
V700,14.122930526733398,24.478364944458008,11.25394344329834,19.51835060119629,-0.7332355277200435,0.05395987257361412,-0.015078555792570114,-0.03340739756822586
V850,14.097461700439453,24.448984146118164,11.264208793640137,19.540708541870117,-0.7342827145509672,-0.05331902951002121,0.03764306381344795,0.016654685139656067
V925,14.116617202758789,24.457008361816406,11.250944137573242,19.517301559448242,-0.7324978081175906,0.011131326667964458,-0.03887864574790001,-0.0306768286973238
V1000,14.129853248596191,24.506866455078125,11.282293319702148,19.543724060058594,-0.7344034664699126,0.014285847544670105,0.03349544480443001,0.04392887279391289
R50,14.183943748474121,24.59202766418457,11.329816818237305,19.608890533447266,-0.7337933723001684,0.0038654569070786238,-0.09148338437080383,0.05021030083298683
R100,14.204972267150879,24.607254028320312,11.341794967651367,19.630516052246094,-0.7322986321643914,0.01667853444814682,0.020153384655714035,0.003722110530361533
R150,14.182371139526367,24.64765167236328,11.311640739440918,19.672258377075195,-0.7379076763594463,0.01995742879807949,-0.051441553980112076,-0.06493566930294037
R200,14.037714958190918,24.32793426513672,11.196457862854004,19.431119918823242,-0.7330409071271098,-0.0075386702083051205,-0.0195559561252594,-0.005072466097772121
R250,14.137591361999512,24.450597763061523,11.272507667541504,19.482959747314453,-0.729474076381968,0.06144772097468376,0.03105621598660946,0.04492010921239853
R300,14.122604370117188,24.457979202270508,11.26905632019043,19.495887756347656,-0.7318320729865371,-0.026487769559025764,-0.004349313210695982,-0.025566667318344116
R400,14.073877334594727,24.431081771850586,11.245453834533691,19.500715255737305,-0.7359169183459684,-0.09805852174758911,0.030682696029543877,-0.014879454858601093
R500,14.14581298828125,24.516162872314453,11.303132057189941,19.554668426513672,-0.7331038444112423,0.034998390823602676,0.0203084759414196,0.018357329070568085
R600,14.109368324279785,24.496795654296875,11.263365745544434,19.533668518066406,-0.7362078224395336,-0.010010573081672192,-0.03578978404402733,0.029222775250673294
R700,14.186049461364746,24.564960479736328,11.321209907531738,19.606685638427734,-0.7316280016248697,0.025719959288835526,-0.047025591135025024,-0.042219266295433044
R850,14.154077529907227,24.54582977294922,11.307823181152344,19.61795997619629,-0.734187884804413,0.011090060696005821,0.07338117808103561,-0.050005439668893814
R925,14.072803497314453,24.338266372680664,11.218399047851562,19.388216018676758,-0.7294540051897593,-0.01192527823150158,-0.02583896927535534,-0.021136539056897163
R1000,14.130646705627441,24.495161056518555,11.250226020812988,19.504436492919922,-0.733477707482544,0.050165124237537384,-0.05781950801610947,0.03124673292040825
T2M,14.174742698669434,24.551780700683594,11.330135345458984,19.619129180908203,-0.7320794615190094,-0.06707994639873505,0.026625068858265877,0.03913299739360809
U10,14.185840606689453,24.557788848876953,11.329686164855957,19.600980758666992,-0.7311479474325115,0.050369005650281906,-0.0358545146882534,-0.026647767052054405
V10,14.10985279083252,24.38063621520996,11.270472526550293,19.462732315063477,-0.7279157037732431,-0.01923409476876259,-0.01453864760696888,-0.07164433598518372
MSL,14.16651439666748,24.544588088989258,11.302837371826172,19.545944213867188,-0.7325777817838786,-0.05037602782249451,-0.015547452494502068,-0.014391899108886719
TP,8.520357131958008,14.747627258300781,6.611654281616211,11.573447227478027,-0.7308696137846036,7.974716663360596,7.9850172996521,7.982635974884033
