region,method,file,first_year_covered,last_year_covered,n_years_covered
central_asia,altimetry,central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2011,2019,9
central_asia,altimetry,central_asia_altimetry_Ke_Ke_et_al.csv,2000,2020,21
central_asia,altimetry,central_asia_altimetry_Treichler_ICESat_Treichler_et_al.csv,2004,2008,5
central_asia,altimetry,central_asia_altimetry_Treichler_snowfall_Treichler_et_al.csv,2004,2008,5
central_asia,combined,central_asia_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
central_asia,combined,central_asia_combined_Huss_Huss_et_al.csv,2000,2021,22
central_asia,combined,central_asia_combined_Miles2021_Miles_et_al.csv,2000,2016,17
central_asia,demdiff,central_asia_demdiff_Brun_et_al_2017_Brun_et_al.csv,2000,2016,17
central_asia,demdiff,central_asia_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
central_asia,glaciological,central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
central_asia,glaciological,central_asia_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
central_asia,gravimetry,central_asia_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
central_asia,gravimetry,central_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
central_asia,gravimetry,central_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
central_asia,gravimetry,central_asia_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
south_asia_west,altimetry,south_asia_west_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2011,2019,9
south_asia_west,altimetry,south_asia_west_altimetry_Ke_Ke_et_al.csv,2000,2020,21
south_asia_west,altimetry,south_asia_west_altimetry_Treichler_ICESat_Treichler_et_al.csv,2004,2008,5
south_asia_west,altimetry,south_asia_west_altimetry_Treichler_snowfall_Treichler_et_al.csv,2004,2008,5
south_asia_west,combined,south_asia_west_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
south_asia_west,combined,south_asia_west_combined_Huss_Huss_et_al.csv,2000,2021,22
south_asia_west,combined,south_asia_west_combined_Miles2021_Miles_et_al.csv,2000,2016,17
south_asia_west,demdiff,south_asia_west_demdiff_Brun_et_al_2017_Brun_et_al.csv,2000,2016,17
south_asia_west,demdiff,south_asia_west_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
south_asia_west,glaciological,south_asia_west_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
south_asia_west,glaciological,south_asia_west_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
south_asia_west,gravimetry,south_asia_west_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
south_asia_west,gravimetry,south_asia_west_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
south_asia_west,gravimetry,south_asia_west_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
south_asia_east,altimetry,south_asia_east_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2011,2019,9
south_asia_east,altimetry,south_asia_east_altimetry_Ke_Ke_et_al.csv,2000,2020,21
south_asia_east,altimetry,south_asia_east_altimetry_Treichler_ICESat_Treichler_et_al.csv,2004,2008,5
south_asia_east,altimetry,south_asia_east_altimetry_Treichler_snowfall_Treichler_et_al.csv,2004,2008,5
south_asia_east,combined,south_asia_east_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
south_asia_east,combined,south_asia_east_combined_Huss_Huss_et_al.csv,2000,2021,22
south_asia_east,combined,south_asia_east_combined_Miles2021_Miles_et_al.csv,2000,2016,17
south_asia_east,demdiff,south_asia_east_demdiff_Brun_et_al_2017_Brun_et_al.csv,2000,2016,17
south_asia_east,demdiff,south_asia_east_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
south_asia_east,demdiff,south_asia_east_demdiff_MountCryo_King_et_al.csv,2000,2015,16
south_asia_east,glaciological,south_asia_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
south_asia_east,glaciological,south_asia_east_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
south_asia_east,gravimetry,south_asia_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
south_asia_east,gravimetry,south_asia_east_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
south_asia_east,gravimetry,south_asia_east_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
low_latitudes,combined,low_latitudes_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
low_latitudes,combined,low_latitudes_combined_Huss_Huss_et_al.csv,2000,2021,22
low_latitudes,demdiff,low_latitudes_demdiff_Dussaillant2019_Dussaillant_et_al.csv,2000,2018,19
low_latitudes,demdiff,low_latitudes_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
low_latitudes,demdiff,low_latitudes_demdiff_FAU-GLACIER_Braun_et_al.csv,2000,2012,13
low_latitudes,demdiff,low_latitudes_demdiff_Seehaus_Seehaus_et_al.csv,2000,2016,17
low_latitudes,glaciological,low_latitudes_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
low_latitudes,gravimetry,low_latitudes_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
low_latitudes,gravimetry,low_latitudes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
low_latitudes,gravimetry,low_latitudes_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
southern_andes,altimetry,southern_andes_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
southern_andes,combined,southern_andes_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
southern_andes,combined,southern_andes_combined_Huss_Huss_et_al.csv,2000,2021,22
southern_andes,demdiff,southern_andes_demdiff_DLR-IMF_Krieger_et_al.csv,2000,2015,16
southern_andes,demdiff,southern_andes_demdiff_Dussaillant2019_Dussaillant_et_al.csv,2000,2018,19
southern_andes,demdiff,southern_andes_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
southern_andes,demdiff,southern_andes_demdiff_FAU-GLACIER_Braun_et_al.csv,2000,2012,13
southern_andes,glaciological,southern_andes_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
southern_andes,glaciological,southern_andes_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
southern_andes,gravimetry,southern_andes_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
southern_andes,gravimetry,southern_andes_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
southern_andes,gravimetry,southern_andes_gravimetry_Richter_Richter_et_al.csv,2002,2017,16
southern_andes,gravimetry,southern_andes_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
southern_andes,gravimetry,southern_andes_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
southern_andes,gravimetry,southern_andes_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
new_zealand,combined,new_zealand_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
new_zealand,combined,new_zealand_combined_Huss_Huss_et_al.csv,2000,2021,22
new_zealand,demdiff,new_zealand_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
new_zealand,glaciological,new_zealand_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
new_zealand,glaciological,new_zealand_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
new_zealand,gravimetry,new_zealand_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
new_zealand,gravimetry,new_zealand_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
new_zealand,gravimetry,new_zealand_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
new_zealand,gravimetry,new_zealand_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
antarctic_and_subantarctic,altimetry,antarctic_and_subantarctic_altimetry_Gardner2013_icesat_Gardner_et_al.csv,2003,2009,7
antarctic_and_subantarctic,altimetry,antarctic_and_subantarctic_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
antarctic_and_subantarctic,altimetry,antarctic_and_subantarctic_altimetry_Khan_Khan_et_al.csv,2003,2023,21
antarctic_and_subantarctic,combined,antarctic_and_subantarctic_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
antarctic_and_subantarctic,combined,antarctic_and_subantarctic_combined_Huss_Huss_et_al.csv,2000,2021,22
antarctic_and_subantarctic,demdiff,antarctic_and_subantarctic_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
antarctic_and_subantarctic,glaciological,antarctic_and_subantarctic_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
antarctic_and_subantarctic,glaciological,antarctic_and_subantarctic_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
alaska,altimetry,alaska_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
alaska,combined,alaska_combined_ArcticInSituvGRACE_Box_et_al.csv,2000,2022,23
alaska,combined,alaska_combined_Box2018_Box_et_al.csv,2002,2015,14
alaska,combined,alaska_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
alaska,combined,alaska_combined_Huss_Huss_et_al.csv,2000,2021,22
alaska,demdiff,alaska_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
alaska,glaciological,alaska_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
alaska,glaciological,alaska_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
alaska,gravimetry,alaska_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
alaska,gravimetry,alaska_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
alaska,gravimetry,alaska_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
alaska,gravimetry,alaska_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
alaska,gravimetry,alaska_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
western_canada_us,altimetry,western_canada_us_altimetry_Menounos_WNA_alt1_Menounos_et_al.csv,2013,2020,8
western_canada_us,altimetry,western_canada_us_altimetry_Menounos_WNA_is2gedi_Menounos_et_al.csv,2019,2022,4
western_canada_us,combined,western_canada_us_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
western_canada_us,combined,western_canada_us_combined_Huss_Huss_et_al.csv,2000,2021,22
western_canada_us,demdiff,western_canada_us_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
western_canada_us,glaciological,western_canada_us_glaciological_Menounos_WNA_glac_Menounos_et_al.csv,2015,2016,2
western_canada_us,glaciological,western_canada_us_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
western_canada_us,glaciological,western_canada_us_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
western_canada_us,gravimetry,western_canada_us_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
western_canada_us,gravimetry,western_canada_us_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
western_canada_us,gravimetry,western_canada_us_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
western_canada_us,gravimetry,western_canada_us_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
arctic_canada_north,altimetry,arctic_canada_north_altimetry_Gardner2013_icesat_Gardner_et_al.csv,2003,2009,7
arctic_canada_north,altimetry,arctic_canada_north_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
arctic_canada_north,altimetry,arctic_canada_north_altimetry_Khan_Khan_et_al.csv,2003,2023,21
arctic_canada_north,altimetry,arctic_canada_north_altimetry_Tepes_Tepes_et_al.csv,2010,2017,8
arctic_canada_north,combined,arctic_canada_north_combined_ArcticInSituvGRACE_Box_et_al.csv,2000,2022,23
arctic_canada_north,combined,arctic_canada_north_combined_Box2018_Box_et_al.csv,2002,2015,14
arctic_canada_north,combined,arctic_canada_north_combined_Colgan2015_Colgan_et_al.csv,2003,2009,7
arctic_canada_north,combined,arctic_canada_north_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
arctic_canada_north,combined,arctic_canada_north_combined_Huss_Huss_et_al.csv,2000,2021,22
arctic_canada_north,demdiff,arctic_canada_north_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
arctic_canada_north,demdiff,arctic_canada_north_demdiff_Zheng et al._Zheng_et_al.csv,2012,2021,10
arctic_canada_north,glaciological,arctic_canada_north_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
arctic_canada_north,glaciological,arctic_canada_north_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_LEGOS-MAGELLIUM-bis_Pfeffer_et_al.csv,2002,2022,21
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_LEGOS-MAGELLIUM_Pfeffer_et_al.csv,2002,2022,21
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
arctic_canada_north,gravimetry,arctic_canada_north_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
arctic_canada_south,altimetry,arctic_canada_south_altimetry_Gardner2013_icesat_Gardner_et_al.csv,2003,2009,7
arctic_canada_south,altimetry,arctic_canada_south_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
arctic_canada_south,altimetry,arctic_canada_south_altimetry_Khan_Khan_et_al.csv,2003,2023,21
arctic_canada_south,altimetry,arctic_canada_south_altimetry_Tepes_Tepes_et_al.csv,2010,2017,8
arctic_canada_south,combined,arctic_canada_south_combined_ArcticInSituvGRACE_Box_et_al.csv,2000,2022,23
arctic_canada_south,combined,arctic_canada_south_combined_Box2018_Box_et_al.csv,2002,2015,14
arctic_canada_south,combined,arctic_canada_south_combined_Colgan2015_Colgan_et_al.csv,2003,2009,7
arctic_canada_south,combined,arctic_canada_south_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
arctic_canada_south,combined,arctic_canada_south_combined_Huss_Huss_et_al.csv,2000,2021,22
arctic_canada_south,demdiff,arctic_canada_south_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
arctic_canada_south,demdiff,arctic_canada_south_demdiff_Zheng et al._Zheng_et_al.csv,2012,2021,10
arctic_canada_south,glaciological,arctic_canada_south_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
arctic_canada_south,glaciological,arctic_canada_south_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_LEGOS-MAGELLIUM-bis_Pfeffer_et_al.csv,2002,2022,21
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_LEGOS-MAGELLIUM_Pfeffer_et_al.csv,2002,2022,21
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
arctic_canada_south,gravimetry,arctic_canada_south_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
greenland_periphery,altimetry,greenland_periphery_altimetry_Bolch_2013_Bolch_et_al.csv,2003,2007,5
greenland_periphery,altimetry,greenland_periphery_altimetry_Gardner2013_icesat_Gardner_et_al.csv,2003,2009,7
greenland_periphery,altimetry,greenland_periphery_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
greenland_periphery,altimetry,greenland_periphery_altimetry_Khan_Khan_et_al.csv,2003,2021,19
greenland_periphery,altimetry,greenland_periphery_altimetry_Nilsson_Gardner_Nilsson_et_al.csv,2000,2021,22
greenland_periphery,combined,greenland_periphery_combined_Colgan2015_Colgan_et_al.csv,2003,2009,7
greenland_periphery,combined,greenland_periphery_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
greenland_periphery,combined,greenland_periphery_combined_Huss_Huss_et_al.csv,2000,2021,22
greenland_periphery,demdiff,greenland_periphery_demdiff_DLR_Abdullahi_et_al.csv,2011,2017,7
greenland_periphery,demdiff,greenland_periphery_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
greenland_periphery,demdiff,greenland_periphery_demdiff_Zheng et al._Zheng_et_al.csv,2012,2021,10
greenland_periphery,glaciological,greenland_periphery_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
greenland_periphery,glaciological,greenland_periphery_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
iceland,altimetry,iceland_altimetry_Foresta_Foresta_et_al.csv,2010,2015,6
iceland,altimetry,iceland_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
iceland,altimetry,iceland_altimetry_Tepes_Tepes_et_al.csv,2010,2017,8
iceland,combined,iceland_combined_ArcticInSituvGRACE_Box_et_al.csv,2000,2022,23
iceland,combined,iceland_combined_Box2018_Box_et_al.csv,2002,2015,14
iceland,combined,iceland_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
iceland,combined,iceland_combined_Huss_Huss_et_al.csv,2000,2021,22
iceland,combined,iceland_combined_Iceland-mb-group_smb_Palsson_et_al.csv,2000,2022,23
iceland,combined,iceland_combined_Iceland-mb-group_tot_Palsson_et_al.csv,2000,2022,23
iceland,demdiff,iceland_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
iceland,demdiff,iceland_demdiff_UIO_ASTER_Piermattei_et_al.csv,2003,2019,17
iceland,demdiff,iceland_demdiff_UIO_SPOT5ArticDEM_Piermattei_et_al.csv,2003,2021,19
iceland,demdiff,iceland_demdiff_Zheng et al._Zheng_et_al.csv,2012,2021,10
iceland,glaciological,iceland_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
iceland,glaciological,iceland_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
iceland,gravimetry,iceland_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
iceland,gravimetry,iceland_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
iceland,gravimetry,iceland_gravimetry_LEGOS-MAGELLIUM-bis_Pfeffer_et_al.csv,2002,2022,21
iceland,gravimetry,iceland_gravimetry_LEGOS-MAGELLIUM_Pfeffer_et_al.csv,2002,2022,21
iceland,gravimetry,iceland_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
iceland,gravimetry,iceland_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
iceland,gravimetry,iceland_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
svalbard,altimetry,svalbard_altimetry_Gardner2013_icesat_Gardner_et_al.csv,2003,2009,7
svalbard,altimetry,svalbard_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
svalbard,altimetry,svalbard_altimetry_Tepes_Tepes_et_al.csv,2010,2017,8
svalbard,combined,svalbard_combined_ArcticInSituvGRACE_Box_et_al.csv,2000,2022,23
svalbard,combined,svalbard_combined_Box2018_Box_et_al.csv,2002,2015,14
svalbard,combined,svalbard_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
svalbard,combined,svalbard_combined_Huss_Huss_et_al.csv,2000,2021,22
svalbard,demdiff,svalbard_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
svalbard,demdiff,svalbard_demdiff_Zheng et al._Zheng_et_al.csv,2012,2021,10
svalbard,glaciological,svalbard_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
svalbard,glaciological,svalbard_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
svalbard,gravimetry,svalbard_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
svalbard,gravimetry,svalbard_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
svalbard,gravimetry,svalbard_gravimetry_LEGOS-MAGELLIUM-bis_Pfeffer_et_al.csv,2002,2022,21
svalbard,gravimetry,svalbard_gravimetry_LEGOS-MAGELLIUM_Pfeffer_et_al.csv,2002,2022,21
svalbard,gravimetry,svalbard_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
svalbard,gravimetry,svalbard_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
svalbard,gravimetry,svalbard_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
scandinavia,combined,scandinavia_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
scandinavia,combined,scandinavia_combined_Huss_Huss_et_al.csv,2000,2021,22
scandinavia,demdiff,scandinavia_demdiff_Andreassen_Andreassen_et_al.csv,2010,2019,10
scandinavia,demdiff,scandinavia_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
scandinavia,demdiff,scandinavia_demdiff_Zheng et al._Zheng_et_al.csv,2013,2020,8
scandinavia,glaciological,scandinavia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
scandinavia,glaciological,scandinavia_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
scandinavia,gravimetry,scandinavia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
scandinavia,gravimetry,scandinavia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
scandinavia,gravimetry,scandinavia_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
russian_arctic,altimetry,russian_arctic_altimetry_Gardner2013_icesat_Gardner_et_al.csv,2003,2009,7
russian_arctic,altimetry,russian_arctic_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,2010,2020,11
russian_arctic,altimetry,russian_arctic_altimetry_Tepes_Tepes_et_al.csv,2010,2017,8
russian_arctic,combined,russian_arctic_combined_ArcticInSituvGRACE_Box_et_al.csv,2000,2022,23
russian_arctic,combined,russian_arctic_combined_Box2018_Box_et_al.csv,2002,2015,14
russian_arctic,combined,russian_arctic_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
russian_arctic,combined,russian_arctic_combined_Huss_Huss_et_al.csv,2000,2021,22
russian_arctic,demdiff,russian_arctic_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
russian_arctic,demdiff,russian_arctic_demdiff_FAU-GLACIER_Braun_et_al.csv,2011,2016,6
russian_arctic,demdiff,russian_arctic_demdiff_Zheng et al._Zheng_et_al.csv,2012,2021,10
russian_arctic,glaciological,russian_arctic_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
russian_arctic,glaciological,russian_arctic_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
russian_arctic,gravimetry,russian_arctic_gravimetry_Harig_Group_Harig_et_al.csv,2002,2022,21
russian_arctic,gravimetry,russian_arctic_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
russian_arctic,gravimetry,russian_arctic_gravimetry_LEGOS-MAGELLIUM-bis_Pfeffer_et_al.csv,2002,2022,21
russian_arctic,gravimetry,russian_arctic_gravimetry_LEGOS-MAGELLIUM_Pfeffer_et_al.csv,2002,2022,21
russian_arctic,gravimetry,russian_arctic_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
russian_arctic,gravimetry,russian_arctic_gravimetry_Velicogna_Sutterley_et_al.csv,2002,2022,21
russian_arctic,gravimetry,russian_arctic_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
