hour,total_demand_mw,total_curtailment_mw,total_load_shedding_mw,total_storage_charge_mw,total_storage_discharge_mw,gen_onshore wind_mw,gen_gas_mw,gen_nuclear_mw
30,100933.81604945927,12698.904924759736,76656.74986468362,194.44444444444443,0.0,26723.058972002535,8047.356581977324,2400.0
31,94271.85215084272,13306.96919518691,70351.43908921613,550.0,0.0,27330.025674836164,8047.356581977324,2400.0
32,102795.33945361416,15821.305916045825,78727.49174966953,0.0,418.75,29023.047038013112,8047.356581977324,2400.0
33,118910.26848501833,13727.16661728968,94061.76451410563,0.0,0.0,28128.314006225057,8047.356581977324,2400.0
34,129164.62931452514,12082.345556376798,104108.03731745962,0.0,0.0,26691.580971465017,8047.356581977324,2400.0
35,124498.03395960807,8359.702259757216,99623.95328630744,0.0,0.0,22786.426351080518,8047.356581977324,2400.0
36,107147.77093531284,7757.065752135901,82518.40947076806,0.0,0.0,21939.07063470335,8047.356581977324,2400.0
37,88952.68630676813,11521.398108337955,65187.2259818357,0.0,0.0,24839.50185129304,8047.356581977324,2400.0
38,82346.34665525361,14142.565477073655,59188.245551219414,0.0,0.0,26853.30999913052,8047.356581977324,2400.0
39,90897.631231448,14545.983251440422,67294.33291953964,0.0,0.0,27701.92498137146,8047.356581977324,2400.0
40,106601.50580198779,17991.148852431885,82094.09004070956,0.0,0.0,32051.20803173278,8047.356581977324,2400.0
41,115982.85213231116,12018.222623708625,91684.77617640665,0.0,0.0,25868.941997635793,8047.356581977324,2400.0
42,110365.58823440973,13712.173299803811,85734.61508656679,0.0,0.0,27895.78986566943,8047.356581977324,2400.0
43,92487.68307308482,14581.250006239212,68559.38966088681,0.0,0.0,28062.186836459885,8047.356581977324,2400.0
44,74425.06130097854,13115.114167701366,51531.10078624151,0.0,0.0,25561.718100461065,8047.356581977324,2400.0
45,68405.17651583963,8719.588835702762,45222.65638348692,0.0,0.0,21454.75238607814,8047.356581977324,2400.0
46,77505.14232967069,12036.140852473345,54003.964575271355,0.0,0.0,25089.962024895358,8047.356581977324,2400.0
47,93317.21351106753,13523.18823953443,69714.67900158161,300.0,0.0,26978.366167043027,8047.356581977324,2400.0
48,102359.1715221246,11062.580790709719,78118.42954042107,0.0,168.75,24687.216190435913,8047.356581977324,2400.0
49,96348.42516060165,12453.067398659794,72108.70688440076,0.0,0.0,26245.42909288333,8047.356581977324,2400.0
50,78516.64012689084,11275.59355080214,55162.35512232788,0.0,0.0,24182.52197338776,8047.356581977324,2400.0
51,61156.62351454551,9512.422347879203,38390.98826341194,0.0,0.0,21830.701017035455,8047.356581977324,2400.0
52,56269.327285917825,13158.214255484185,33947.62432845097,0.0,0.0,25032.560630973727,8047.356581977324,2400.0
53,66432.70145556775,10469.800750542352,43560.11427918543,0.0,0.0,22895.031344947343,8047.356581977324,2400.0
54,82845.20399878778,10161.870569655212,59128.06156779011,300.0,0.0,23731.656418675557,8047.356581977324,2400.0
55,92033.6861581989,13545.64688351497,67711.5811014856,0.0,168.75,27251.645358250968,8047.356581977324,2400.0
56,86117.94812314054,12157.434686029654,62242.67924785961,0.0,0.0,25585.346979333237,8047.356581977324,2400.0
57,68816.06177926637,10715.75429678222,45713.57032349258,0.0,0.0,23370.889170578703,8047.356581977324,2400.0
58,52617.72243935958,10776.296699665152,29988.307843395727,0.0,0.0,22958.35471365169,8047.356581977324,2400.0
59,49277.935345286154,6777.873280255915,27212.774520574192,0.0,0.0,18395.67752299056,8047.356581977324,2400.0
60,60869.52900018201,12885.643194882563,38174.610058488135,0.0,0.0,25133.20555459911,8047.356581977324,2400.0
61,78207.47610465092,11573.467920379175,54914.132809870025,0.0,0.0,24419.454633182744,8047.356581977324,2400.0
62,87844.79651734792,12020.547668502055,63651.47552119574,0.0,0.0,25766.512082676916,8047.356581977324,2400.0
63,82313.05079525964,5202.605158386206,58571.601792773516,0.0,0.0,18496.69757889501,8047.356581977324,2400.0
64,65809.8663629549,8976.360256380356,42971.12120655153,0.0,0.0,21367.7488308064,8047.356581977324,2400.0
65,51002.76627633094,9067.49397322669,29001.522479354833,0.0,0.0,20621.381188225474,8047.356581977324,2400.0
66,49383.00170011338,13009.822237095055,27232.83778632951,550.0,0.0,25262.629568901597,8047.356581977324,2400.0
67,62514.39617427728,16544.233387879227,39655.048676969454,0.0,309.375,28646.849303209732,8047.356581977324,2400.0
68,80840.71314971327,8010.970615244125,57194.39014554144,0.0,0.0,21209.937037438634,8047.356581977324,2400.0
69,90959.67878398545,11237.865827242382,66936.82585009752,250.0,0.0,25063.36217915298,8047.356581977324,2400.0
70,85824.92187058723,13356.591219111178,62409.591105139276,0.0,140.625,26183.940402581808,8047.356581977324,2400.0
71,70107.65485829388,11181.2596010507,47040.50600771786,0.0,0.0,23801.051869649407,8047.356581977324,2400.0
72,56635.50363631498,12399.374913879345,34378.77398566576,0.0,0.0,24208.747982551235,8047.356581977324,2400.0
73,56620.13790111875,13131.47844173067,34247.70287326347,0.0,0.0,25056.55688760861,8047.356581977324,2400.0
74,71114.83016513872,11520.587853819803,48143.01146210472,0.0,0.0,24045.04997487646,8047.356581977324,2400.0
75,90206.55415287826,12205.163464019934,66244.69079757963,0.0,0.0,25719.670237341255,8047.356581977324,2400.0
76,100557.82680782868,11444.297116820193,76532.97466014673,0.0,0.0,25021.79268252482,8047.356581977324,2400.0
77,95555.64859477608,11459.80975397841,71660.31275869951,0.0,0.0,24907.78900807765,8047.356581977324,2400.0
78,80339.74298166155,12744.98725365274,57079.85127957789,0.0,0.0,25557.522373759075,8047.356581977324,2400.0
79,67881.41898237847,16689.66037563556,44927.10902171265,0.0,0.0,29196.613754324066,8047.356581977324,2400.0
80,69098.82128232636,18059.494641799392,46218.73394570689,0.0,0.0,30492.22539644154,8047.356581977324,2400.0
81,84535.28396292054,10157.314477993848,61258.607034381595,0.0,0.0,22986.634824555455,8047.356581977324,2400.0
82,103937.29134829603,15913.692350169411,79673.3198310735,0.0,0.0,29730.307285414598,8047.356581977324,2400.0
83,114053.45174477737,14200.631373681474,89469.23397247137,0.0,0.0,28337.49256401013,8047.356581977324,2400.0
84,108716.05971383513,12173.012918650384,84492.72897729138,0.0,0.0,25948.987073216835,8047.356581977324,2400.0
85,93528.76260335391,14168.33027987034,70022.76686325738,0.0,0.0,27226.969437989537,8047.356581977324,2400.0
86,81590.99056926268,14517.360902161083,58358.86901548491,0.0,0.0,27302.125873961522,8047.356581977324,2400.0
87,83514.80138557771,15384.423068242932,60091.09113618748,0.0,0.0,28360.776735655843,8047.356581977324,2400.0
88,99335.7908797986,12608.457917124171,75134.9268624621,0.0,50.00000000000006,26311.965352483334,8047.356581977324,2400.0
89,118477.49677507051,12211.784450589534,93006.39933257282,0.0,0.0,27235.525311109912,8047.356581977324,2400.0
90,127796.4484380248,10046.206048648186,102445.86835581632,0.0,0.0,24949.42954887936,8047.356581977324,2400.0
91,121582.06440183186,9122.374232119557,96580.24073090457,0.0,0.0,23676.841321069525,8047.356581977324,2400.0
92,105897.09353348776,15297.062222274788,81533.29973250425,0.0,0.0,29213.499441280943,8047.356581977324,2400.0
93,93953.64653007101,9430.219523227304,70171.16084893889,0.0,0.0,22765.348622382116,8047.356581977324,2400.0
94,96045.74790747778,10838.555324903407,72144.50926657826,0.0,0.0,24292.437383825578,8047.356581977324,2400.0
95,111704.23495190933,12362.192912612798,86993.89014988733,0.0,0.0,26625.181132657508,8047.356581977324,2400.0
96,130047.63779090693,9452.152430539682,104562.72967939918,0.0,0.0,24489.703960070077,8047.356581977324,2400.0
97,138061.90147690583,9525.989125338667,112382.43774154161,300.0,0.0,25058.096278725574,8047.356581977324,2400.0
98,130504.44865901557,7830.555478320026,105013.26255072135,0.0,168.75,22705.63500463692,8047.356581977324,2400.0
99,113891.23614488583,5776.0431045702335,89116.05464891013,0.0,0.0,20103.868018568588,8047.356581977324,2400.0
100,101530.91737152977,8692.17125490976,77422.2115160504,0.0,0.0,22353.5205284118,8047.356581977324,2400.0
101,103387.33641723628,8973.985871237364,79030.95108518525,0.0,0.0,22883.014621311057,8047.356581977324,2400.0
102,118489.50562010828,4749.46224362932,93732.28160171263,0.0,0.0,19059.329680047627,8047.356581977324,2400.0
103,135668.45240185832,7797.996891564316,110089.96939857844,0.0,0.0,22929.12331286689,8047.356581977324,2400.0
104,142059.8827621259,7074.258191047273,116282.80155418333,0.0,0.0,22403.982817012504,8047.356581977324,2400.0
105,132898.38010933058,6253.228454790101,107325.156563939,0.0,0.0,21379.095418204364,8047.356581977324,2400.0
106,115145.42415738238,9389.665841205098,90196.40680262407,0.0,0.0,23891.326613986093,8047.356581977324,2400.0
107,102188.70425681712,11027.643412709673,77997.86410882806,0.0,0.0,24771.126978721415,8047.356581977324,2400.0
108,103648.896408315,12155.028208624866,79121.77841962618,0.0,0.0,26234.789615336358,8047.356581977324,2400.0
109,118055.45606544595,9310.897707174194,93203.28748183453,0.0,0.0,23715.709708808296,8047.356581977324,2400.0
110,133968.38372878337,6896.592683295668,108557.77360204021,0.0,0.0,21859.846228061488,8047.356581977324,2400.0
111,138691.79150469476,7932.160523955031,113227.83127007268,0.0,0.0,22948.764176599816,8047.356581977324,2400.0
112,127944.3730277552,6388.567988253006,102941.25322044716,0.0,0.0,20944.331213583715,8047.356581977324,2400.0
113,109123.24847957573,8462.48292439192,84749.55091807111,0.0,0.0,22388.823903919183,8047.356581977324,2400.0
114,95675.93147498724,10200.194091615485,71780.60768044212,0.0,0.0,23648.16130418327,8047.356581977324,2400.0
115,96865.81793219053,14295.272075759529,72630.49892578025,0.0,0.0,28083.23450019248,8047.356581977324,2400.0
116,110724.16345752699,13792.485956362492,86446.12752356008,300.0,0.0,27923.165308352072,8047.356581977324,2400.0
117,125555.1840756704,15949.542478201958,100416.04674890696,0.0,168.75,30472.57322298809,8047.356581977324,2400.0
118,128848.19814809348,11293.814106648857,103416.38885185817,0.0,0.0,26278.266820906858,8047.356581977324,2400.0
119,116810.68653688178,11705.59725194986,92286.62579272322,0.0,0.0,25782.30141413105,8047.356581977324,2400.0
120,97263.35196354463,10077.060118468595,73313.9256001079,0.0,0.0,23579.12989992799,8047.356581977324,2400.0
121,83692.71428987774,16155.202684566697,60355.267142140736,0.0,0.0,29045.29325032638,8047.356581977324,2400.0
122,84989.80715061747,12701.449491398493,61384.470360575826,0.0,0.0,25859.429699462835,8047.356581977324,2400.0
123,98688.32676251653,13462.694583762606,74500.8972000403,0.0,0.0,27202.767564261514,8047.356581977324,2400.0
124,112850.94963468135,13509.938632523688,88346.94859877168,0.0,0.0,27566.583086456085,8047.356581977324,2400.0
125,115167.44877496787,14546.270993319165,90432.50504647473,0.0,0.0,28833.85813983498,8047.356581977324,2400.0
126,102336.86503184249,11961.202493531531,78045.03784864566,0.0,0.0,25805.673094751044,8047.356581977324,2400.0
127,82589.69784764646,15689.50205883619,59169.17608146283,0.0,0.0,28662.667243042502,8047.356581977324,2400.0
128,69429.56219455296,12811.15821313643,46450.07823729752,0.0,0.0,25343.285588414532,8047.356581977324,2400.0
129,71359.63267112595,14846.152014513564,48491.20597791015,0.0,0.0,27267.222125752032,8047.356581977324,2400.0
130,85416.5508632944,10170.570851867982,61710.696408657124,0.0,0.0,23429.068724527962,8047.356581977324,2400.0
131,99435.30706257217,7265.846893262059,75342.23691276553,0.0,0.0,20911.560461091372,8047.356581977324,2400.0
132,101320.4706143007,11721.42259033978,77001.80107667088,0.0,0.0,25592.735545992284,8047.356581977324,2400.0
133,88264.21046624168,13033.83294150171,64422.34825626744,0.0,0.0,26428.33856949862,8047.356581977324,2400.0
134,68892.06500471015,12564.402823668352,45982.66649796536,0.0,0.0,25026.44474843582,8047.356581977324,2400.0
135,56702.53622268753,9717.040011128784,34527.034775449865,0.0,0.0,21445.184876389125,8047.356581977324,2400.0
136,59795.83986745346,13418.939134881624,37514.27386688526,0.0,0.0,25253.14855347251,8047.356581977324,2400.0
137,74712.7407283401,9875.273847521672,51303.02246593595,0.0,0.0,22837.63552794849,8047.356581977324,2400.0
138,89074.80974788018,9625.316046779237,65624.25108423391,0.0,0.0,22628.51812844818,8047.356581977324,2400.0
139,91015.66282535729,11026.68877809844,67203.05317960402,0.0,0.0,24391.941841874388,8047.356581977324,2400.0
140,78221.79973499007,8475.963985163055,54836.81977847546,0.0,0.0,21413.58735970033,8047.356581977324,2400.0
141,59698.93163280251,7012.681885276117,37183.94363455641,0.0,0.0,19080.313301544906,8047.356581977324,2400.0
142,48918.81301906227,7286.101022413688,26734.164597603776,0.0,0.0,19023.392861894863,8047.356581977324,2400.0
143,53564.85005496858,9679.178190036451,31004.924568128852,0.0,0.0,21791.74709489885,8047.356581977324,2400.0
144,69684.59771934318,10580.636640197863,46827.06317317036,0.0,0.0,22990.814604393363,8047.356581977324,2400.0
145,84701.66794013423,13783.485658438,61207.24862368971,0.0,0.0,26830.548392905184,8047.356581977324,2400.0
146,86993.63964775876,7602.260370887045,63175.345157471296,0.0,0.0,20973.198279197175,8047.356581977324,2400.0
147,74742.93040102781,10761.174028166672,51339.46068288886,0.0,0.0,23717.287164328318,8047.356581977324,2400.0
148,57321.191076417315,13999.328968469836,34618.61207062007,250.0,0.0,26504.55139228975,8047.356581977324,2400.0
149,48153.08393059395,13903.004728482989,26018.761987654423,0.0,140.625,25449.345089445193,8047.356581977324,2400.0
150,54493.270258090415,12423.560706110604,32444.59391705408,0.0,0.0,24024.880465169626,8047.356581977324,2400.0
151,71900.8519040033,14291.973417065215,48529.379683259336,0.0,0.0,27216.089055831868,8047.356581977324,2400.0
152,87618.67213695297,13732.447385639716,63805.13958078493,0.0,0.0,27098.623359830442,8047.356581977324,2400.0
153,90284.3439445648,13457.867681888489,66236.96224191773,0.0,0.0,27057.89280255823,8047.356581977324,2400.0
154,78578.62909424721,13052.842332487824,55385.22010289004,250.0,0.0,26048.89474186769,8047.356581977324,2400.0
155,62225.94137619687,14622.185068425002,39766.413294254584,0.0,140.625,26493.73156838995,8047.356581977324,2400.0
156,54585.170793725876,11566.336508828972,32195.98899334254,0.0,0.0,23508.161727234972,8047.356581977324,2400.0
157,62472.51827543611,13392.777042051164,39688.330026100724,0.0,0.0,25729.608709409225,8047.356581977324,2400.0
158,80965.69922625553,13855.116173828308,57677.083116905604,0.0,0.0,26696.375701200912,8047.356581977324,2400.0
159,97145.84969868607,12533.649599239427,72585.27080064411,0.0,0.0,26646.87191530411,8047.356581977324,2400.0
160,99927.92236730369,12765.783970448934,76249.72853708579,0.0,0.0,25996.621218689514,8047.356581977324,2400.0
161,88494.32528680332,16541.323042075877,64822.75351951294,0.0,0.0,29765.5382273889,8047.356581977324,2400.0
162,72910.10946770178,18517.616635750215,49544.55405280159,0.0,0.0,31435.81546867308,8047.356581977324,2400.0
163,66451.31678324127,12957.108074784337,43637.400602443304,0.0,0.0,25323.667673604978,8047.356581977324,2400.0
164,75488.0560063963,16112.90509763004,52115.43083123544,0.0,0.0,29038.173690813568,8047.356581977324,2400.0
165,94625.81105969734,13212.714350202456,70896.42070275992,0.0,0.0,26494.748125162565,8047.356581977324,2400.0
166,110804.64385184164,10837.408068005569,86369.84935895143,0.0,0.0,24824.845978918464,8047.356581977324,2400.0
167,113235.03081712824,17185.293816880097,88577.31318984012,0.0,0.0,31395.65486219088,8047.356581977324,2400.0
