COUNTRY,n_mangrove_cells,mean_slr_rate,mean_slr_risk,mean_tc_risk,mean_composite_risk,std_composite_risk,n_high_risk,n_medium_risk,n_low_risk,pct_high_risk,pct_medium_risk,pct_low_risk
Kenya,199,9.9125,0.9867857142857143,0.044645391163611575,0.515715552724663,0.03689661362879323,0,4,0,0.0,2.0100502512562812,0.0
Kiribati,11,9.64761904761905,0.964761904761905,0.006883906892320833,0.4858229058271129,0.011073026939323183,0,3,0,0.0,27.27272727272727,0.0
Liberia,341,10.078571428571427,0.9976530612244898,0.0,0.4988265306122449,0.0022084628287756362,0,7,0,0.0,2.0527859237536656,0.0
Madagascar,765,9.969875776397517,0.9907142857142858,0.25339757202478375,0.6220559288695348,0.08239514236291771,7,16,0,0.9150326797385622,2.091503267973856,0.0
Malaysia,1708,9.68422619047619,0.9684226190476192,0.04442947106759585,0.5064260450576075,0.0288286617287038,0,24,0,0.0,1.405152224824356,0.0
Martinique,76,8.742857142857144,0.8742857142857143,0.1708422039006505,0.5225639590931824,,0,1,0,0.0,1.3157894736842104,0.0
Mauritius,38,9.473214285714285,0.9410714285714286,0.1998154448297219,0.5704434367005753,0.04579120312401125,0,4,0,0.0,10.526315789473683,0.0
Mayotte,64,10.457142857142856,1.0,0.4945444820666707,0.7472722410333353,,1,0,0,1.5625,0.0,0.0
Mexico,3561,11.293137254901962,0.9984593837535014,0.23576839254913404,0.6171138881513177,0.09611486243069854,20,31,0,0.5616399887672002,0.8705419825891604,0.0
"Micronesia, Federated States of",127,10.638095238095238,1.0,0.3723786034142222,0.6861893017071111,0.0999549871154768,2,1,0,1.574803149606299,0.7874015748031495,0.0
Mozambique,1087,10.145767195767197,0.9992063492063492,0.2200911201905028,0.6096487346984261,0.07653261631863043,9,18,0,0.8279668813247469,1.6559337626494939,0.0
Myanmar,1298,9.647619047619049,0.9553333333333334,0.03406347113090279,0.49469840223211814,0.02293671854044847,0,15,0,0.0,1.155624036979969,0.0
New Caledonia,473,10.278571428571428,1.0,0.09598060417213006,0.547990302086065,0.04257939765344958,0,8,0,0.0,1.6913319238900635,0.0
New Zealand,354,10.42232142857143,1.0,0.0,0.5,0.0,0,8,0,0.0,2.2598870056497176,0.0
Nicaragua,387,10.102380952380953,0.9896428571428572,0.17624309681474615,0.5829429769788016,0.09868206270072967,1,5,0,0.2583979328165375,1.2919896640826873,0.0
Nigeria,3474,10.285,1.0,0.0,0.5,0.0,0,10,0,0.0,0.28785261945883706,0.0
Oman,46,9.4,0.9400000000000001,0.0034419534461604165,0.4717209767230803,0.006276901625836065,0,6,0,0.0,13.043478260869565,0.0
Pakistan,60,8.87857142857143,0.887857142857143,0.005162930169240625,0.4465100365131918,0.018798423749474,0,4,0,0.0,6.666666666666667,0.0
Palau,42,10.435714285714289,1.0,0.4900649579582169,0.7450324789791085,0.0015960497754143657,2,0,0,4.761904761904762,0.0,0.0
Panama,595,10.258163265306123,0.9937755102040817,0.052888284911024756,0.5233318975575532,0.04024093356188535,0,7,0,0.0,1.1764705882352942,0.0
Papua New Guinea,2054,9.581467181467183,0.9541505791505792,0.2277252919665165,0.5909379355585479,0.09096310040176929,10,27,0,0.4868549172346641,1.3145082765335931,0.0
Peru,25,9.01517857142857,0.9015178571428571,0.0,0.4507589285714286,0.022005364357256772,0,8,0,0.0,32.0,0.0
Philippines,2494,11.455984555984557,0.9941119691119692,0.22337996022716494,0.6087459646695671,0.06855331834699922,9,28,0,0.36086607858861264,1.1226944667201284,0.0
Puerto Rico,111,10.039285714285715,0.9985714285714287,0.201785471616572,0.6001784500940003,0.014059354576985286,0,2,0,0.0,1.8018018018018018,0.0
Qatar,74,9.407142857142858,0.9407142857142858,0.03875028213961135,0.48973228392694856,0.015828073173617032,0,2,0,0.0,2.7027027027027026,0.0
Saint Kitts and Nevis,5,9.007142857142858,0.9007142857142858,0.2520304303129617,0.5763723580136237,,0,1,0,0.0,20.0,0.0
Saint Martin (French part),39,9.392857142857142,0.9392857142857144,0.1607622903934876,0.550024002339601,,0,1,0,0.0,2.564102564102564,0.0
Samoa,12,11.72857142857143,1.0,0.6775035504599245,0.8387517752299622,,1,0,0,8.333333333333332,0.0,0.0
Sao Tome and Principe,4,10.95,1.0,0.0,0.5,,0,1,0,0.0,25.0,0.0
Saudi Arabia,205,9.332539682539682,0.9332539682539684,0.06100429724273737,0.4971291327483528,0.03932656676483827,0,9,0,0.0,4.390243902439024,0.0
Senegal,1044,9.717460317460318,0.9717460317460319,0.006684109465955067,0.48921507060599345,0.012519777110707864,0,9,0,0.0,0.8620689655172413,0.0
Seychelles,9,10.70714285714286,1.0,0.1885583013175122,0.594279150658756,0.026572308454702116,0,3,0,0.0,33.33333333333333,0.0
Sierra Leone,921,9.932857142857141,0.9902857142857144,0.0,0.4951428571428571,0.005616348221659614,0,5,0,0.0,0.5428881650380022,0.0
Solomon Islands,448,9.803896103896106,0.974935064935065,0.49937947316418274,0.737157269049624,0.04371023665148382,11,0,0,2.455357142857143,0.0,0.0
Somalia,71,9.97857142857143,0.9908928571428572,0.0,0.4954464285714286,0.006568419342053396,0,4,0,0.0,5.633802816901409,0.0
South Africa,157,10.168452380952383,0.9976190476190476,0.0,0.4988095238095238,0.003372145715788298,0,12,0,0.0,7.643312101910828,0.0
Sri Lanka,356,10.151785714285715,0.999375,0.03528886283375757,0.5173319314168788,0.014301332023549058,0,8,0,0.0,2.247191011235955,0.0
Sudan,52,9.59761904761905,0.9597619047619049,0.16171525049603855,0.5607385776289718,0.05837108427968233,0,3,0,0.0,5.769230769230769,0.0
Suriname,441,10.071428571428571,1.0,0.013168421505544368,0.5065842107527722,0.011404187551542757,0,3,0,0.0,0.6802721088435374,0.0
"Taiwan, Province of China",57,10.36607142857143,1.0,0.20745686959952495,0.6037284347997625,0.08927147821499545,1,3,0,1.7543859649122806,5.263157894736842,0.0
"Tanzania, United Republic of",417,10.153061224489798,0.9998979591836735,0.20626872163741078,0.6030833404105421,0.0430905995251131,0,7,0,0.0,1.6786570743405276,0.0
Thailand,949,12.014285714285712,0.988961038961039,0.09397494659592324,0.5414679927784811,0.05620358704328087,1,10,0,0.10537407797681769,1.053740779768177,0.0
Timor-Leste,39,10.214285714285714,1.0,0.2070393268259481,0.603519663412974,,0,1,0,0.0,2.564102564102564,0.0
Tonga,9,10.821428571428571,1.0,0.442289713001193,0.7211448565005965,,1,0,0,11.11111111111111,0.0,0.0
United Arab Emirates,242,9.180357142857142,0.9180357142857143,0.10364772438593531,0.5108417193358248,0.057526627834092105,0,4,0,0.0,1.6528925619834711,0.0
United States,1368,12.786071428571429,1.0,0.17573889249935837,0.5878694462496792,0.06471293612436035,3,17,0,0.21929824561403508,1.2426900584795322,0.0
Vanuatu,11,10.367857142857144,1.0,0.3997597615254146,0.6998798807627072,0.03007321709205774,2,0,0,18.181818181818183,0.0,0.0
"Venezuela, Bolivarian Republic of",883,10.259243697478993,0.9992857142857144,0.08914028883688549,0.5442130015612999,0.050851804373757366,0,17,0,0.0,1.9252548131370328,0.0
Viet Nam,935,9.842857142857145,0.9828021978021979,0.16905646405260807,0.5759293309274031,0.049981135922952905,0,13,0,0.0,1.3903743315508021,0.0
"Virgin Islands, British",1,10.007142857142858,1.0,0.2070393268259481,0.603519663412974,,0,1,0,0.0,100.0,0.0
Wallis and Futuna,11,10.842857142857143,1.0,0.6379982859432913,0.8189991429716457,,1,0,0,9.090909090909092,0.0,0.0
Yemen,20,10.738095238095239,1.0,0.013168421505544368,0.5065842107527722,0.011404187551542757,0,3,0,0.0,15.0,0.0
