year,region_id,region_name,glacier_area,mass_change_gt,mass_change_gt_err,mass_change_mwe,mass_change_mwe_err,cumulative_gt,cumulative_gt_err,cumulative_mwe,cumulative_mwe_err
2018,0,Global,663093.1514499999,-243.81282612823085,66.54077158950466,-0.3687965484035694,0.0924649491234518,-4498.426255056209,37.60224323488477,-6.616933573443889,1.4092255310557513
2019,0,Global,660815.9545499999,-412.9645781490086,69.99144862252744,-0.6268117422048606,0.0969733224466875,-4911.390833205218,38.521684087250975,-7.2437453156487495,1.4432220618553653
2020,0,Global,658538.75765,-405.0394156368366,76.20680182507151,-0.6169085501621713,0.1065416966938755,-5316.430248842054,39.49844233312292,-7.860653865810921,1.4796728072516327
2021,0,Global,656261.5607500002,-217.7163545547422,81.6846283807594,-0.3327506622695744,0.1151000186974428,-5534.146603396796,40.519274118915256,-8.193404528080496,1.5180683895060099
2022,0,Global,653984.3638500002,-460.2989143829609,100.8285184125692,-0.7059556646949124,0.138700930079604,-5994.445517779757,41.74494093343964,-8.899360192775408,1.563084311640602
2023,0,Global,651707.1669499998,-548.025110248126,120.16099017378784,-0.8434372990227316,0.1662574332317422,-6542.470628027883,43.16017937532411,-9.74279749179814,1.6153915929361267
2000,10,North Asia,2487.7225,-0.9197019532932548,1.0265275291265996,-0.3708087865014635,0.4267978293382843,-0.9197019532932548,1.0131769485764073,-0.3708087865014635,0.6532976575331373
2001,10,North Asia,2477.3595,-1.5411560324271425,0.5757372429047373,-0.6239681453842844,0.2374580820623789,-2.460857985720397,1.265805977245856,-0.9947769318857478,0.8150189638288566
2002,10,North Asia,2466.9965,-2.008519104670919,0.5971520843045376,-0.8166054524398674,0.2449868095663878,-4.469377090391316,1.48304310670185,-1.8113823843256152,0.9535421967417337
2003,10,North Asia,2456.6335,-1.3367036448471714,0.5605964144603081,-0.5457573636092294,0.2316484965833838,-5.8060807352384876,1.6613287666191128,-2.357139747934845,1.0681250945233123
2004,10,North Asia,2446.2705,-0.6073020718796399,0.5800062732919948,-0.2490033135176266,0.2410596415169421,-6.413382807118127,1.827572035266511,-2.6061430614524714,1.1755640599590382
2005,10,North Asia,2435.9075,-0.4421699496148141,0.543997009186656,-0.1820678539590347,0.2262170617791567,-6.8555527567329415,1.9707908446293416,-2.788210915411506,1.2681356082243467
2006,10,North Asia,2425.5445,-1.4369095884292484,0.5547031793605927,-0.5941895884796716,0.2289152797255827,-8.292462345162189,2.1068269346663064,-3.3824005038911777,1.355390423668441
2007,10,North Asia,2415.1815,-1.5576011706781698,0.555112921025605,-0.6468615442700755,0.2287454249490515,-9.85006351584036,2.234688491414638,-4.029262048161253,1.4372990730954947
2008,10,North Asia,2404.8185,-1.7288465569663265,0.5495905128318924,-0.7210725895012671,0.2258850833242974,-11.578910072806686,2.3544475289317712,-4.75033463766252,1.5138407144892971
2009,10,North Asia,2394.4555,0.4721992168201645,0.5558080553432801,0.1977986548721905,0.2311109134930584,-11.10671085598652,2.4696621675517085,-4.552535982790329,1.588340209885314
2010,10,North Asia,2384.0925,-1.278298719425217,0.549382943810827,-0.5377916984722222,0.2270930475136839,-12.385009575411738,2.5784906758891006,-5.090327681262551,1.6582875715183443
2011,10,North Asia,2373.7295,-2.1266620946428576,0.5504841757070587,-0.8986117746265077,0.2247891996692553,-14.511671670054596,2.6831135535705695,-5.988939455889058,1.724733854692214
2012,10,North Asia,2363.3665,-2.082237426114749,0.5503336578162555,-0.8836982900957205,0.2249054279600158,-16.593909096169345,2.7837801635851824,-6.872637745984779,1.788746012568995
2013,10,North Asia,2353.0035,-0.9064403927766193,0.5632256664521381,-0.3863861215956616,0.2336466676687554,-17.500349488945965,2.8831679912246675,-7.25902386758044,1.8529055467428
2014,10,North Asia,2342.6405,-0.7676348462089759,0.5665440381989155,-0.3286653160182816,0.2352461601417673,-18.267984335154942,2.9797989368112408,-7.587689183598722,1.9153342072056254
2015,10,North Asia,2332.2775,-1.9092539350345967,0.578671943989981,-0.8210853690566785,0.2375356175403869,-20.177238270189537,3.0753656120551556,-8.4087745526554,1.9763705985549342
2016,10,North Asia,2321.9145,-1.0968359067228153,0.5699045112972384,-0.4738056959762406,0.2360857122049479,-21.274074176912354,3.1666667268767994,-8.88258024863164,2.0352214756722025
2017,10,North Asia,2311.5515,-2.229459832807573,0.5802175682894745,-0.9673884998110736,0.2369800852580313,-23.503534009719928,3.256991821819345,-9.849968748442715,2.0926314869788634
2018,10,North Asia,2301.1885,-1.4296283286683342,0.5770101437116635,-0.6231258843095254,0.2382938770019798,-24.93316233838826,3.3443991793907855,-10.47309463275224,2.1488137232662465
2019,10,North Asia,2290.8255,-0.8149763258916679,0.551439985831076,-0.356827096488514,0.2288743209514384,-25.748138664279928,3.425849654748561,-10.829921729240754,2.2014256149706233
2020,10,North Asia,2280.4625,-1.0545339240245566,0.6479196117270417,-0.4638125139790883,0.2687609048907057,-26.802672588304485,3.519142717860115,-11.293734243219841,2.261644455510081
2021,10,North Asia,2270.0995,-1.2541491015757211,0.6493331246844912,-0.5541267553189984,0.2689804421564722,-28.056821689880206,3.6102214050321577,-11.84786099853884,2.320348268104589
2022,10,North Asia,2259.7365,-2.084194149188092,1.143432150387618,-0.9250926140395432,0.4739003462856356,-30.1410158390683,3.7652530783122646,-12.772953612578384,2.4203132920309303
2023,10,North Asia,2249.3735,-2.383431710308152,1.1452951255418866,-1.0627863806836724,0.4740687462418848,-32.524447549376454,3.914387036214211,-13.835739993262056,2.5163436128286385
2000,11,Central Europe,2140.639,-0.5934003711822097,0.6009122609745883,-0.2780412432778796,0.2877558756683069,-0.5934003711822097,0.7751853075069136,-0.2780412432778796,0.5364288169629843
2001,11,Central Europe,2121.1834,0.4019665729881813,0.43422767182019,0.1900713070317529,0.2079672547923675,-0.1914337981940284,1.0174182683610407,-0.0879699362461267,0.7040760828636877
2002,11,Central Europe,2101.7278,-0.7554326466468112,0.4131614181633634,-0.3605156499993134,0.1972606323468862,-0.9468664448408396,1.2034539255651384,-0.4484855862454401,0.8324564630102649
2003,11,Central Europe,2082.2722,-4.0975870621061805,0.4666085336252875,-1.9737653955826773,0.2009964215508334,-5.04445350694702,1.3838026899032352,-2.4222509818281175,0.9455052534800608
2004,11,Central Europe,2062.8166,-1.4388937785429576,0.4052201289287214,-0.6996373060453491,0.1911960977374946,-6.483347285489978,1.523197299601122,-3.1218882878734666,1.0417179474770935
2005,11,Central Europe,2043.361,-1.8171159119364328,0.3967507632924834,-0.8919538265265944,0.185167216048449,-8.30046319742641,1.6482963255448437,-4.013842114400061,1.127095159311909
2006,11,Central Europe,2023.9054,-2.3588428656706264,0.4113774504090245,-1.1689976654708405,0.188954974992967,-10.659306063097036,1.768688278700817,-5.182839779870902,1.2080142685983906
2007,11,Central Europe,2004.4498,-1.5790536047853114,0.3998663881665397,-0.7901445173856915,0.1879416409450789,-12.238359667882348,1.8783302732427538,-5.972984297256593,1.2834485241264582
2008,11,Central Europe,1984.9942,-1.5093602965005972,0.4222234187900853,-0.7626732624750852,0.1991750171850177,-13.747719964382945,1.987548247004405,-6.735657559731678,1.3588285878900992
2009,11,Central Europe,1965.5386,-1.5827261116565263,0.4393865775364854,-0.8076608505112504,0.2072188617200432,-15.330446076039472,2.0951693515577134,-7.543318410242928,1.4330505898213937
2010,11,Central Europe,1946.083,-1.034331703816414,0.398186173317034,-0.5330934168399737,0.1892932158400928,-16.364777779855885,2.1881318024798695,-8.076411827082902,1.4976405472701175
2011,11,Central Europe,1926.6274,-2.494022407325491,0.4078106827608884,-1.2983968712841736,0.186159434025528,-18.858800187181377,2.279414720445731,-9.374808698367076,1.5585527398368864
2012,11,Central Europe,1907.1718,-2.7965827240695345,0.4694817685252441,-1.4707629995479157,0.2148774843126121,-21.65538291125091,2.3801708418325638,-10.845571697914991,1.6260270991486203
2013,11,Central Europe,1887.7162,-0.5687006031528772,0.4564944870767174,-0.3021703361283248,0.2184411828692258,-22.224083514403787,2.474208504428568,-11.147742034043317,1.6918644478902272
2014,11,Central Europe,1868.2606,-0.3477905848183993,0.451926949278947,-0.186717578964476,0.2165158298651822,-22.571874099222185,2.5639100359929947,-11.334459613007793,1.754685481760217
2015,11,Central Europe,1848.805,-2.9636622375676023,0.4827475994928006,-1.607838564640458,0.2202794156836196,-25.53553633678979,2.6563851889660883,-12.94229817764825,1.816370159296751
2016,11,Central Europe,1829.3494,-1.3798379610635585,0.4567721102063791,-0.7565476178887021,0.2164867944346277,-26.915374297853347,2.7410133860243695,-13.698845795536952,1.875016626597837
2017,11,Central Europe,1809.8938,-2.5871083005234867,0.4748642787961008,-1.4337266526145749,0.2190635878951354,-29.502482598376833,2.826308309643674,-15.132572448151528,1.9325503713780574
2018,11,Central Europe,1790.4382,-2.4371975090104008,0.4971035872454163,-1.3653255958889576,0.2310640492610557,-31.939680107387233,2.9129233166024635,-16.497898044040486,1.9914354087377586
2019,11,Central Europe,1770.9826,-1.919024957544504,0.4848397371601196,-1.0868539056291902,0.2278587125306085,-33.85870506493173,2.9949894800426957,-17.584751949669677,2.0478461123104763
2020,11,Central Europe,1751.527,-1.275594599025034,0.4984105265630102,-0.7304671282362125,0.2369982104164882,-35.13429966395677,3.077072068075336,-18.31521907790589,2.1049161289993528
2021,11,Central Europe,1732.0714,-1.582979860184506,0.4776207527388756,-0.9166730017324138,0.225829019772788,-36.717279524141276,3.153726884951882,-19.231892079638303,2.1578927058346546
2022,11,Central Europe,1712.6158,-6.237435177272426,0.7282044209005228,-3.653010668614841,0.3154975406797529,-42.9547147014137,3.2671390674057363,-22.884902748253143,2.2297978541953443
2023,11,Central Europe,1693.1602,-4.375191438019658,0.7192057205016613,-2.5918141163147377,0.3284847569957036,-47.329906139433355,3.375411590646463,-25.47671686456788,2.3022778345738084
2000,12,Caucasus & Middle East,1282.75515,-1.5256898932375544,0.5341164210035886,-1.1929640161209925,0.4056858681162848,-1.5256898932375544,0.7308326901580064,-1.1929640161209925,0.6369347440015224
2001,12,Caucasus & Middle East,1275.82805,-0.7523721686565512,0.2997816663979696,-0.5914872908517828,0.2282378760579874,-2.2780620618941056,0.9131802053272717,-1.7844513069727752,0.7961932831758078
2002,12,Caucasus & Middle East,1268.90095,0.3736522375370595,0.310850456310781,0.2953552578227448,0.2381195007360484,-1.9044098243570462,1.0699292236930158,-1.4890960491500305,0.9338325572126518
2003,12,Caucasus & Middle East,1261.97385,0.3913096299000091,0.3083443211841409,0.311010478682684,0.2361506457964048,-1.513100194457037,1.2054430160304053,-1.1780855704673465,1.0527078847936522
2004,12,Caucasus & Middle East,1255.04675,0.6360925487896292,0.3221332080012991,0.5083528310759058,0.2460014374442763,-0.8770076456674079,1.3323761003927455,-0.6697327393914407,1.163698985198063
2005,12,Caucasus & Middle East,1248.11965,0.2166234935187321,0.2961202263031932,0.1740821238389793,0.2270945002864954,-0.6603841521486757,1.4392172522593565,-0.4956506155524614,1.257493470534737
2006,12,Caucasus & Middle East,1241.19255,-1.0808310207835916,0.2704380588544544,-0.8734207038185797,0.2033518293413582,-1.7412151729322674,1.530288978610062,-1.369071319371041,1.335904808651745
2007,12,Caucasus & Middle East,1234.26545,-1.5967452192637428,0.3109973504342477,-1.2975732804238778,0.2306652590398946,-3.33796039219601,1.6287362304835227,-2.666644599794919,1.4196150593800947
2008,12,Caucasus & Middle East,1227.33835,-0.5404262217384886,0.2846319554419407,-0.4416486935938358,0.2174437842698564,-3.8783866139344987,1.71388846309543,-3.108293293388755,1.4942391713138183
2009,12,Caucasus & Middle East,1220.41125,-0.4336528707431656,0.2690367155284728,-0.3564026011519403,0.2057907085417107,-4.312039484677665,1.7906564102194726,-3.464695894540695,1.5615829819866496
2010,12,Caucasus & Middle East,1213.48415,-0.8591613718604939,0.2778774221375575,-0.7101424536081338,0.2106831749917226,-5.171200856538158,1.8666354227855115,-4.174838348148829,1.6276438752448397
2011,12,Caucasus & Middle East,1206.55705,-0.7173569958488278,0.2980699256326609,-0.5963377715759539,0.2270806307108563,-5.888557852386986,1.9448387406749965,-4.7711761197247835,1.6959673391114864
2012,12,Caucasus & Middle East,1199.62995,-1.8119059633143595,0.3142384285775557,-1.5149321984055495,0.230911402262183,-7.700463815701346,2.0240148605699178,-6.286108318130333,1.762729876525351
2013,12,Caucasus & Middle East,1192.70285,-0.2524468555698191,0.2793540268735304,-0.2122963611555078,0.2141610117065099,-7.952910671271165,2.0918867518776905,-6.498404679285841,1.822464712772675
2014,12,Caucasus & Middle East,1185.77575,-1.3141644056080215,0.2920850704691671,-1.111608802839578,0.2184043865861738,-9.267075076879186,2.1605728992909636,-7.610013482125419,1.8814308427066253
2015,12,Caucasus & Middle East,1178.84865,-1.5419156322181675,0.3044411268041288,-1.3119201503199795,0.2260167187025248,-10.808990709097353,2.2299139848780465,-8.921933632445398,1.9405666014312126
2016,12,Caucasus & Middle East,1171.92155,-0.7850001980956869,0.2834659727622445,-0.6718557952539899,0.2154400867179049,-11.59399090719304,2.292592932187686,-9.593789427699388,1.9953041926754407
2017,12,Caucasus & Middle East,1164.99445,-0.835159306231931,0.3310436165272817,-0.7190354625307749,0.2520180075719367,-12.429150213424972,2.363689059340127,-10.312824890230162,2.057487989972269
2018,12,Caucasus & Middle East,1158.06735,-0.7279796066933246,0.3574528230998834,-0.6305074718188524,0.2728881075487028,-13.157129820118296,2.4381301836333718,-10.943332362049015,2.1227682248490605
2019,12,Caucasus & Middle East,1151.14025,-0.9227565189113288,0.3001090948682106,-0.8040142096205283,0.2275697374597438,-14.079886339029626,2.4989173430132317,-11.747346571669542,2.175710153924133
2020,12,Caucasus & Middle East,1144.21315,-1.5198827979446523,0.3347845918920333,-1.3323183415991893,0.2502115501631488,-15.599769136974277,2.5650287482023164,-13.079664913268731,2.232470878657037
2021,12,Caucasus & Middle East,1137.28605,-0.4267280863623179,0.3368468015773312,-0.3763451795882921,0.2579815819120272,-16.026497223336595,2.6298705824967272,-13.456010092857023,2.289521304981404
2022,12,Caucasus & Middle East,1130.35895,-0.9122480213138148,0.4835624946461259,-0.8094711864003545,0.3694376748924867,-16.93874524465041,2.720253990958896,-14.265481279257378,2.36882787066858
2023,12,Caucasus & Middle East,1123.43185,-0.7397455813287596,0.4807692861578052,-0.6604508282511381,0.367855205728308,-17.678490825979168,2.807231921570714,-14.925932107508515,2.4452404148845046
2000,13,Central Asia,49702.3543,2.9975381821101768,13.602258608119822,0.0604912563604096,0.2767044591854465,2.9975381821101768,3.688123995762591,0.0604912563604096,0.5260270517620235
2001,13,Central Asia,49613.6089,-14.36815509049936,12.801266303535042,-0.2904725049798621,0.2600156281964412,-11.370616908389184,5.138436037517142,-0.22998124861945252,0.732611825854516
2002,13,Central Asia,49524.8635,-10.731484657993787,12.798345532189735,-0.2173408511454381,0.2601377052145498,-22.10210156638297,6.261139708059915,-0.4473220997648906,0.892668915442023
2003,13,Central Asia,49436.1181,12.160601523846324,12.850242776470784,0.2467263525522605,0.2611296101843573,-9.941500042536646,7.214715047755898,-0.20059574721263013,1.0285851461015731
2004,13,Central Asia,49347.3727,8.206079680365974,12.529275712212222,0.1667925067944912,0.254756026597588,-1.7354203621706716,8.036254658267595,-0.033803240418138925,1.145750160104018
2005,13,Central Asia,49258.6273,3.2325794931738434,12.859307764986244,0.0658221024443991,0.2615861694868336,1.4971591310031718,8.80003958499698,0.03201886202626017,1.2547229171674583
2006,13,Central Asia,49169.8819,-25.270664773678984,12.778722011017765,-0.5154924907058607,0.2586934650789088,-23.77350564267581,9.498390321972014,-0.48347362867960053,1.353891821359493
2007,13,Central Asia,49081.1365,-21.34492309243656,12.567643553393616,-0.436199160630047,0.2547497309987812,-45.118428735112374,10.13839544809361,-0.9196727893096475,1.4449127291787924
2008,13,Central Asia,48992.3911,-31.48646052430057,12.485617654744583,-0.6446144682395528,0.2519772786017513,-76.60488925941294,10.736511533858184,-1.5642872575492004,1.5296241608789583
2009,13,Central Asia,48903.6457,23.07038904132115,12.982794977448638,0.4731714401963555,0.2630744478198715,-53.53450021809179,11.324993372806823,-1.0911158173528448,1.6133271588132796
2010,13,Central Asia,48814.9003,-10.75649385006233,12.954730567358318,-0.2210157219425151,0.2633208769516786,-64.29099406815412,11.88319003725333,-1.3121315392953599,1.6929694026520998
2011,13,Central Asia,48726.1549,4.677905826930605,12.832668637676116,0.0962928797044756,0.2610215269130811,-59.613088241223515,12.411400972458866,-1.2158386595908843,1.7683797457642656
2012,13,Central Asia,48637.4095,-12.448555179098824,12.38624788468882,-0.2567162467555985,0.2516646552314548,-72.06164342032234,12.900741140874105,-1.472554906346483,1.8381598353953725
2013,13,Central Asia,48548.6641,-9.558388235951202,12.600793882425195,-0.1974750461775573,0.256163241022585,-81.62003165627354,13.380206121964898,-1.67002995252404,1.9065662384200892
2014,13,Central Asia,48459.9187,-2.956071807406667,12.431821317438994,-0.0611838976842785,0.2528922722986518,-84.57610346368021,13.836969942285265,-1.7312138502083185,1.971772576587366
2015,13,Central Asia,48371.1733,-19.779397061203014,12.763411416052037,-0.4101391892970858,0.2588752950892952,-104.35550052488323,14.290736461070086,-2.1413530395054043,2.036360083303362
2016,13,Central Asia,48282.4279,-1.7738837045089502,12.98186721589857,-0.036850287899768,0.264093992338661,-106.12938422939217,14.737944762267787,-2.178203327405172,2.1002038903901536
2017,13,Central Asia,48193.6825,-11.729947005651477,12.7270330392278,-0.2441241698816651,0.2586408015457544,-117.85933123504365,15.163576387346236,-2.422327497286837,2.1609019373298017
2018,13,Central Asia,48104.9371,-25.09731281921282,13.502632894589192,-0.523289974599141,0.2735056689341798,-142.9566440542565,15.60245755480442,-2.9456174718859782,2.2232864978877265
2019,13,Central Asia,48016.1917,-20.872552300354226,12.931279821236304,-0.4360062227817344,0.2622128741092664,-163.8291963546107,16.01149467010216,-3.3816236946677125,2.281494187106147
2020,13,Central Asia,47927.4463,4.568755389673656,12.875546575333429,0.0956133333223047,0.2618959640611981,-159.26044096493703,16.408641264469257,-3.286010361345408,2.3381855550533914
2021,13,Central Asia,47838.7009,-11.633133913436737,17.499856769876416,-0.2439058358380714,0.3558164017008777,-170.89357487837378,16.933498307081138,-3.5299161971834794,2.413074406553021
2022,13,Central Asia,47749.9555,-40.61362594960092,18.95295451369369,-0.8531072547271961,0.3833550749370691,-211.5072008279747,17.48417339852283,-4.383023451910676,2.4912412903005365
2023,13,Central Asia,47661.2101,-40.1200731250466,18.813340791317803,-0.8443091442107833,0.3805524099644328,-251.6272739530213,18.01415166531389,-5.2273325961214585,2.5664831143926734
2000,14,South Asia West,33507.5776,6.851964677244642,9.262411269403446,0.2051053199536034,0.276570688173286,6.851964677244642,3.043420981297764,0.2051053199536034,0.5258998841731057
2001,14,South Asia West,33386.7328,-4.64241326904263,7.977766708936824,-0.1394680469090855,0.2382740783384383,2.209551408202012,4.152129330637507,0.06563727304451789,0.7175268402726996
2002,14,South Asia West,33265.888,-2.352745468347903,7.767363942734289,-0.0709382819775451,0.2320615647961203,-0.1431940601458912,5.000754135235461,-0.005301008933027221,0.8642374276249811
2003,14,South Asia West,33145.0432,-13.091190343162353,7.948071287325642,-0.3961552262943089,0.2366809815458294,-13.234384403308244,5.7406979722330105,-0.4014562352273361,0.9917597051976219
2004,14,South Asia West,33024.1984,-11.446097131719313,7.656436904146613,-0.3476401942874471,0.2281336850467191,-24.680481535027557,6.372758438270417,-0.7490964295147832,1.1007819938118506
2005,14,South Asia West,32903.3536,4.807317498760151,7.162216286356067,0.1465438114886275,0.2138858717126563,-19.873164036267404,6.911893112520106,-0.6025526180261557,1.1939878012831828
2006,14,South Asia West,32782.5088,-23.39682475507553,7.153717839152524,-0.715845958512445,0.2108750617770052,-43.26998879134294,7.411341595018772,-1.3183985765386006,1.2792505350360635
2007,14,South Asia West,32661.664,-20.770993357775385,6.947664078299761,-0.6378576988390201,0.2052631736287435,-64.04098214911832,7.866107570860899,-1.9562562753776207,1.3571090984216407
2008,14,South Asia West,32540.8192,-15.082436168591911,7.219169733217031,-0.4648874859141326,0.2145280433070819,-79.12341831771023,8.312329279424162,-2.4211437612917535,1.4339711113986502
2009,14,South Asia West,32419.9744,9.726773430882623,7.774406202181495,0.3009268741294648,0.2318436332203859,-69.3966448868276,8.7675095809331,-2.1202168871622886,1.512652234172239
2010,14,South Asia West,32299.1296,8.545261399182058,7.461524248546874,0.2653623929899493,0.2225838979918782,-60.85138348764554,9.183177472982898,-1.8548544941723393,1.584519068846489
2011,14,South Asia West,32178.2848,7.573331993465979,7.420272297090443,0.2360635565799196,0.2214282283926683,-53.278051494179564,9.57867531537587,-1.6187909375924197,1.6529152754847456
2012,14,South Asia West,32057.44,-7.838206686315059,6.961496332973971,-0.2452407947266708,0.2076790404320982,-61.116258180494626,9.935417310327987,-1.8640317323190905,1.714586815638949
2013,14,South Asia West,31936.5952,-12.28292520262717,7.145590003205553,-0.3857607481338138,0.2127195721543782,-73.3991833831218,10.288736906616407,-2.2497924804529044,1.775535840392215
2014,14,South Asia West,31815.7504,-0.6933992166120448,6.993684942578593,-0.0218597916091566,0.2089681522803515,-74.09258259973384,10.623172411109081,-2.271652272062061,1.8334382107934917
2015,14,South Asia West,31694.9056,-0.9024996256509292,7.083757272243927,-0.0285602766226672,0.2116577790781218,-74.99508222538478,10.95150899869023,-2.300212548684728,1.890278670428189
2016,14,South Asia West,31574.0608,-10.96446277745992,7.477681157988901,-0.3483066436259154,0.2228311992339319,-85.95954500284469,11.287746918955172,-2.6485191923106433,1.9483286814882375
2017,14,South Asia West,31453.216,-2.3260157023337524,7.304017322445805,-0.074174124088725,0.2182157573670954,-88.28556070517844,11.606775944629403,-2.722693316399368,2.0035469568933966
2018,14,South Asia West,31332.3712,-3.924469396591872,7.358358141701729,-0.1256297586339628,0.2197889353135883,-92.21003010177031,11.91954722170811,-2.848323075033331,2.057665994225102
2019,14,South Asia West,31211.5264,4.378411912846257,8.15168415770309,0.1407040019953926,0.2434837871452853,-87.83161818892405,12.256724282133158,-2.707619073037938,2.1160040479487896
2020,14,South Asia West,31090.6816,5.577242329699477,8.046897458142928,0.1799260780087948,0.2402962007209694,-82.25437585922458,12.580706958926255,-2.5276929950291436,2.1720426634061845
2021,14,South Asia West,30969.8368,-9.815571924051932,10.792231609503926,-0.3178934170485942,0.32213736997399,-92.06994778327652,13.002554333509991,-2.8455864120777377,2.2449736527698096
2022,14,South Asia West,30848.992,-34.3384991492528,13.96238444044143,-1.1164651546190605,0.4140286390696801,-126.40844693252932,13.528813829612737,-3.962051566696798,2.3353662112611593
2023,14,South Asia West,30728.1472,-8.254232398376997,13.74011743408555,-0.2694295088250096,0.4103683109101171,-134.66267933090631,14.02743458621021,-4.231481075521808,2.4216324352821217
2000,15,South Asia East,14907.1245,-2.327916651477616,5.478577160246203,-0.1566312413721902,0.3728669767408168,-2.327916651477616,2.340636058904973,-0.1566312413721902,0.6106283458379711
2001,15,South Asia East,14837.8747,-8.137158352811356,5.297867355594772,-0.5500547381397778,0.3595843599372022,-10.465075004288973,3.2827495359592964,-0.706685979511968,0.8558337085427397
2002,15,South Asia East,14768.6249,-6.998749077267797,5.2984576149315705,-0.4753190327676427,0.3599021000268251,-17.46382408155677,4.009351834246098,-1.1820050122796106,1.045157134934668
2003,15,South Asia East,14699.3751,-8.198889903697747,5.3297633827095385,-0.5594496724866971,0.3617459092622265,-25.662713985254516,4.626517644350023,-1.7414546847663077,1.205860417281814
2004,15,South Asia East,14630.1253,-8.98001140526133,5.390556783969636,-0.6156497171469637,0.3656840434382815,-34.64272539051585,5.176410174768971,-2.357104401913271,1.3489934727067259
2005,15,South Asia East,14560.8755,-5.8649778560322,5.331118780068185,-0.4040021998149696,0.3623635463025686,-40.50770324654805,5.668010327929891,-2.761106601728241,1.4772091712780286
2006,15,South Asia East,14491.6257,-10.705225792838034,5.330634260539739,-0.740940894378711,0.3610459971910599,-51.21292903938608,6.120210399819572,-3.502047496106952,1.5947391425869561
2007,15,South Asia East,14422.3759,-5.000839525910631,5.339591824794993,-0.3477850821703412,0.363091047201434,-56.21376856529671,6.54190852602317,-3.8498325782772933,1.7047826782614885
2008,15,South Asia East,14353.1261,-5.511233648377613,5.325547088289289,-0.3851298359091711,0.362048073552001,-61.72500221367432,6.937010469297559,-4.234962414186464,1.8078528849584015
2009,15,South Asia East,14283.8763,-6.207572947749696,5.2792950995509615,-0.4358937008477362,0.3587635010514385,-67.93257516142401,7.30762679333687,-4.6708561150342005,1.9044935165822576
