acid,epoxide,predicted_tg,prediction_std,source_tg
COc1ccc(OC)c(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1,COc1ccc(OCC2CO2)c(CNC(=O)c2c(OCC3CO3)nc3ccccc3c2C)c1,435.5451757641764,23.88677289689482,437.2799
COC(=O)CCNC(=O)c1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1cccc(N2CCN(C(=O)C=Cc3ccc(OCC4CO4)c(OCC4CO4)c3)CC2)c1C,417.1968445661606,22.71349031773896,421.7134
O=C(O)CCC(CCC(=O)O)C(=O)OCCCO,Cc1ccc(C)c(OCCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,377.0426184356032,22.80934509687381,383.9522
O=C(O)COCc1ccc(CNC(=O)c2cc(COCC(=O)O)on2)cc1,COc1cc(CNC(=O)N2CCN(C(=O)c3ccccc3OCC3CO3)CC2)ccc1OCC1CO1,449.91663339328375,25.426960831582484,434.0598
O=C(O)CCN(CCC(=O)O)C(=O)NC1CCN(Cc2ccncc2)CC1,CC(C)N(C)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,461.2492595409219,20.745506436797708,456.388
Cc1ncncc1C(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccncc1N1CCCC1,475.96246579375526,29.86886936600517,481.7387
O=C(O)CCN(CCC(=O)O)C(=O)NCCNC(=O)c1cccnc1,Cc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C)c(OCC4CO4)c3)n2)cc1OCC1CO1,467.42486999541063,20.055221171236024,477.5787
CC(C)Oc1ccccc1C(=O)N(CCC(=O)O)CCC(=O)O,COc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)nn2)c1,440.496344332613,28.15461428454834,431.3212
CC(C)C(CNC(=O)Nc1cccc(OCC(=O)O)c1)C(=O)O,O=C(C=Cc1ccc(N2CCOCC2)cc1)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,456.5653928374392,27.71270346685946,441.1004
Cc1ccc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)o1,O=C(NCc1ccoc1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,465.76640178674296,20.740446517340903,451.7972
CCCOc1ccc(NC(=O)N(CCC(=O)O)CCC(=O)O)cc1OC,CCCn1c(CN(CC2CO2)CC2CO2)nc2ccccc21,381.78233715166044,28.631034258755935,394.3706
Cc1cccc(C(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O)c1,N#Cc1ccc(C(=O)NCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,420.5972143622318,26.23298126827558,425.2354
COc1cc(C=Cc2cc(C(=O)O)c3ccccc3n2)ccc1OCC(=O)O,CCCN1CCN(C(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,426.05868643232066,23.109823217156624,433.2463
O=C(O)CCN(CCC(=O)O)C(=O)COC(=O)C1CCN(C(=O)C=Cc2ccccc2)CC1,O=C(Nc1cccc(CNC(=O)N(CC2CO2)CC2CO2)c1)c1ccccn1,431.4648153500428,23.25183322026747,434.2497
Cc1occc1C(=O)N1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,CCc1ccc(OCC2CO2)c(NC(=O)c2cc(C(C)C)c(OCC3CO3)cc2C)c1,451.50298733591296,28.872127425763267,439.3151
CC(C)n1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n1,O=C(c1cccc(OCC2CO2)c1OCC1CO1)N1CCC(CCCO)CC1,460.25170042856234,24.72214925161949,439.9081
O=C(O)CN(CC(=O)O)c1ccccc1,Cc1ccc(C(=O)NCCNC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,466.9394403757145,27.607850486168974,461.5149
O=C(O)CCN(CC(=O)O)C(=O)c1ccc2c(c1)CCCN2,O=C(Cc1ccc2ccccc2c1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,433.52520368092314,25.61277197569496,443.202
COc1ccc(CN(CCC(=O)O)CCC(=O)O)c(O)c1OC,CC(C)CC1CCN(C(=O)c2c(OCC3CO3)cccc2OCC2CO2)CC1,389.1228094133507,25.22732829381994,389.6602
COc1ccc(O)c(CNc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1,O=C(c1cccc(OCC2CO2)c1)c1ccccc1OCC1CO1,464.5564548372101,24.275410183585496,441.0868
CC(C)c1nc(C=Cc2ccc(CC(=O)O)cc2)ncc1C(=O)O,CCOc1cc(OCC2CO2)ccc1NC(=O)c1ccc(CC)cc1OCC1CO1,421.60600602357255,23.143559810763268,420.3003
O=C(O)CCN(CCC(=O)O)C(=O)C1CCN(Cc2ccccc2)CC1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cnn(C2CCC2)c1,458.94388974301194,25.08570691164703,463.429
O=C(O)CCC(=O)Nc1cccc(Oc2cccc(NC(=O)CCC(=O)O)c2)c1,CC(C)(C)OC(=O)CCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,444.7640216824373,24.103829230356297,448.0591
CCCN(CC)C(=O)c1ccc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)cc1,COc1cccc(C(C)NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,460.8382885726762,27.555511385430485,455.4816
O=C(O)CN(CCO)CC(=O)O,Cc1ccc(OCC2CO2)cc1NC(=O)Cn1c(C)cc(OCC2CO2)cc1=O,400.7077959566022,29.29697652342573,412.8352
O=C(O)CCCCN1CCC(C(=O)O)CC1,CCC(=O)CCCOC(=O)c1cccc(OCC2CO2)c1OCC1CO1,361.52864434623194,28.08120379564417,369.055
Cn1c(=O)cc(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)c2ccccc21,c1ccc(OCC2CO2)c(CCNc2ccnc3c(OCC4CO4)cccc23)c1,459.2993317655311,28.036720768991145,445.5683
CC(C)(C)NCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1oc2ccccc2c1CC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,434.5781666448953,21.86570058886036,429.6469
O=C(O)CCN(CCC(=O)O)C(=O)CNCCCNC(=O)CC1CCC1,Cc1ccc(N)c(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1,399.17016324022063,28.074401551640626,397.714
COc1ccccc1CN(CC(=O)NCCC(=O)O)CC(=O)NCCC(=O)O,CCN(Cc1cccc(C)c1OCC1CO1)c1cccc(OCC2CO2)c1,385.8561748579933,28.96091299923493,371.3265
CCOc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)nc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)Nc1ccc2c(c1)OCCO2,534.6379035918396,22.279351625419416,545.1687
O=C(O)CCNC(=O)CNC(=O)c1ccc(C(=O)NCC(=O)NCCC(=O)O)nc1,O=C(Nc1ccc(Oc2ccccc2)cc1)N(CC1CO1)CC1CO1,454.55536780103347,24.271077886262564,459.4703
Cc1cccc(C(=O)NC(CCC(=O)O)(CCC(=O)O)c2ccccc2)c1,O=C(COC(=O)c1cc(OCC2CO2)cc(OCC2CO2)c1)NOCc1ccccc1,447.59630415596865,20.069521305311905,443.1545
O=C(O)CCOC(=O)OCCOCCOC(=O)OCCC(=O)O,CCOc1ccc(CCNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1OCC,371.25432908269835,25.107473025775658,367.3385
COc1cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc1OCC(=O)NC(C)C,O=C(COc1ccc2c(c1)CCC2)NCc1ccc(OCC2CO2)cc1OCC1CO1,394.6026388692438,21.19865367333683,415.8332
O=C(O)CCN(CC(=O)O)C(=O)CCC1CC1,CON(Cc1ccccc1)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,383.6396201585196,23.37615171403628,389.9493
NC(=O)CN1CCCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC1,CC(C)(C)NC(=O)c1cccc(NCC(=O)N(CC2CO2)CC2CO2)c1,440.93381432500985,25.18790621743366,443.3531
O=C(O)COCCCN(CCOCCOCC(=O)O)C1CCC1,Cc1c(NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cnn1C,412.0988628522181,27.030189588951778,406.0381
CCC(=O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1ccc(OC2CCCC2)cc1,457.8361558608415,29.62447294942111,453.9729
O=C(O)COCC(COCC(=O)O)NC(=O)NCCc1ccc(O)cc1,N#Cc1ccc(N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,429.6092112635075,22.517822958253642,430.7259
CCN(C)c1ccc(CN(CCC(=O)O)CCC(=O)O)cn1,COC(=O)CNC(=O)c1ccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1,397.5512317705144,22.848404943774675,426.3328
O=C(O)C1CCC(NC(=O)C2(C(=O)O)CC2)CC1,CCOC(=O)c1cc(NC(=O)c2cc(C#N)cc(OCC3CO3)c2)ccc1OCC1CO1,493.76219186826177,20.368869473545328,494.1599
Cn1cc(C(=O)NCCCNCC(=O)N(CCC(=O)O)CCC(=O)O)cn1,Cc1nonc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,458.7390531491154,20.514787512499893,457.8356
O=C(O)COCCCN(CCOCC(=O)O)Cc1ccc2c(c1)CCCO2,Cc1cccc(C)c1OCCNC(=O)COC(=O)c1cc(OCC2CO2)ccc1OCC1CO1,431.89963168727934,22.786464642366113,394.951
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,O=C(NCCCCCO)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,453.33488552828317,21.44894872091223,456.2203
CC(C)(CNC(=O)N(CCC(=O)O)C1CC1)CC(=O)O,COCCOCc1ccc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)cc1,388.5301101350042,24.894527602775632,384.0069
Cc1cccc(CN(C)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1,O=C(NCc1ccc(OCC2CO2)cc1)c1cc2ccccc2nc1OCC1CO1,472.02714221772527,22.376375439923997,454.8848
CCN1CCc2ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc21,O=C(NCC(=O)N1CCc2ccccc21)c1cccc(OCC2CO2)c1OCC1CO1,470.7169954903016,27.282163486118595,459.438
O=C(O)CCOc1ccccc1CNC(=O)CC(=O)O,CC(=O)Nc1ccc(OC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,463.6471146640415,26.335297107608948,442.6052
Cc1ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1C(=O)N1CCCCC1,COc1ccc(CNc2ccnc3c(OCC4CO4)cccc23)cc1OCC1CO1,409.87983405811576,25.357746840747584,430.9076
COc1ccc(NC(=O)NC(=O)CN(CCOCC(=O)O)CCOCC(=O)O)cc1,CN(C)C(=O)c1cccc(NC(=O)COC(=O)c2cc(OCC3CO3)cc(OCC3CO3)c2)c1,420.7397551230397,20.40775141554764,435.5978
CN(C)CC1CN(C(=O)C(CCC(=O)O)CCC(=O)O)C1,N#Cc1ccc(OCc2cccc(C(=O)NCc3ccc(OCC4CO4)c(OCC4CO4)c3)c2)cc1,390.45503405595844,25.90892943188242,398.9495
Cc1nc2ccccc2cc1C(=O)N(CCOCCOCC(=O)O)CCOCC(=O)O,c1ccc(OCCN(CC2CO2)CC2CO2)cc1,340.665448534008,26.451727904094497,363.9254
Cc1ccc(CNC(CCCC(=O)O)C(=O)O)cc1,CC1CCN(CCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,383.33564462209046,21.743664290049914,382.3072
CCN(CC1CCC1)C(=O)C(CCC(=O)O)CCC(=O)O,CCN(CC)C(=O)Cc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,419.8450364864929,29.367299887367345,433.6364
COc1cc(CNCCCC(C(=O)O)C(=O)O)ccc1OCc1ccccc1,CC(C)c1ccccc1OCCNC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,390.1951160752631,21.375209441459933,366.9461
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2cnccn2)c1,N#Cc1ccc(C(=O)N2CCN(c3ccccc3OCC3CO3)CC2)cc1OCC1CO1,434.48870061495643,29.24693618278563,446.2375
CC1CCN(C(=O)C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)CC1,CCc1cccc(C(=O)Nc2cc(C)ccc2OCC2CO2)c1OCC1CO1,427.2357772569149,28.77339353380981,432.0667
O=C(O)COCc1cccc(C(=O)N2CCC(O)(COCC(=O)O)CC2)c1,CCCn1c(=O)c(C(=O)Nc2ccccc2OCC2CO2)c(OCC2CO2)c2ccccc21,455.44855826054504,28.17222200201216,443.2458
O=C(O)CCN(CCC(=O)O)C(=O)c1cc(CN2CCCC2)on1,COc1ccc2nc(C)c(C(=O)NCCc3ccc(OCC4CO4)c(OCC4CO4)c3)cc2c1,400.8519352534907,25.552008115994624,419.3149
O=C(O)CCC(CCC(=O)O)C(=O)NCCN(CCO)C(=O)C1CCC1,CC(=O)NC(=Cc1ccccc1)C(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,416.0251514815816,20.931027678058992,440.1374
Cc1ccncc1C=CC(=O)N(CCC(=O)O)CCC(=O)O,CNC(=O)c1ccc(OC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,464.80090787798457,28.972157579533267,462.0314
COc1cccc(C(=O)CCCC(=O)N(CCC(=O)O)CCC(=O)O)c1,CN1C(=O)COc2ccc(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)cc21,487.54834191372635,23.390297910487007,483.6501
Cc1cc(C)cc(OCCNC(=O)C(CCC(=O)O)CCC(=O)O)c1,Cc1ccc(C(=O)NCc2cccnc2OCC2CO2)cc1OCC1CO1,448.6931430766597,23.49209574612661,436.9658
O=C(O)CC=CCCNC(=O)COCCC(=O)O,COc1cc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)cc(OC)c1,381.37272348425347,28.870864242651173,373.5436
CCOCc1cccc(NC(=O)C(CCC(=O)O)CCC(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)NC1CCCC1,477.90487009849784,27.798755458576238,473.4501
CCCCNC(=O)CNCCNC(=O)C(CCC(=O)O)CCC(=O)O,CC(C)c1ccc(OCCC(=O)N(CC2CO2)CC2CO2)cc1,354.75742917632266,21.616287140946138,364.9578
CN(CCC(=O)O)Cc1cccc(OCCC(=O)O)c1,O=C(CCC(=O)NC1CCCC1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,424.841005457415,28.98554188527079,421.3572
CN(CC(=O)N(CCC(=O)O)CCC(=O)O)Cc1ccc(C(=O)NC2CC2)cc1,COc1cc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)ccc1C(=O)O,431.9371870994802,20.050615838462186,427.5411
CN(Cc1ccccc1NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)c1ccccc1,Cc1cc(CNC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc(C)c1O,443.48672872960447,21.608080514174986,454.202
CCOc1cc(NC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)ccc1C,O=C(NCCOc1cccnc1)N(CC1CO1)CC1CO1,490.27031766717135,26.519612595026004,462.2837
O=C(O)Cc1ccc(NN=Cc2ccccc2C(=O)O)cc1,Cc1cccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)n1,441.4051938136768,22.2426930946056,434.2977
O=C(O)C=Cc1ccc(OCCN2CCN(C(=O)C(=O)O)CC2)cc1,CCCCOc1ccc(C(=O)NCc2ccccc2OCC2CO2)c(OCC2CO2)c1,379.49447494659023,23.253996981592678,394.1147
O=C(O)CCN(C(=O)NCc1cn(CCC(=O)O)nn1)C1CC1,CCc1ccc(CNc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cn1,401.48276905613676,27.46491405118024,389.6765
