row_id,apparatus
196,ground
197,ground
198,ground
199,airborne
200,ground
201,ground
202,ground
202,airborne
203,ground
203,airborne
204,ground
204,airborne
205,ground
205,airborne
206,ground
206,airborne
207,ground
207,airborne
208,ground
208,airborne
209,ground
210,ground
210,airborne
211,ground
212,ground
213,ground
214,ground
215,ground
216,ground
217,ground
218,ground
219,ground
220,ground
221,ground
222,ground
223,ground
224,ground
225,ground
226,ground
227,ground
228,ground
229,ground
230,ground
231,ground
232,ground
233,ground
234,ground
235,ground
236,ground
237,ground
238,ground
239,ground
239,airborne
240,ground
240,airborne
241,ground
242,ground
243,ground
244,ground
245,airborne
246,airborne
247,airborne
248,ground
249,ground
250,ground
251,ground
252,ground
253,ground
254,ground
255,ground
256,ground
257,ground
258,ground
259,ground
260,ground
261,ground
262,ground
263,ground
264,ground
265,ground
266,ground
267,ground
268,ground
269,ground
270,ground
271,ground
272,ground
273,ground
274,ground
275,ground
276,ground
277,ground
278,ground
279,ground
280,ground
281,ground
282,ground
283,ground
284,ground
285,ground
286,ground
287,ground
288,ground
289,airborne
290,airborne
291,airborne
292,airborne
293,airborne
294,airborne
295,airborne
296,airborne
297,airborne
298,airborne
299,airborne
300,ground
301,ground
302,ground
303,ground
304,ground
305,ground
305,airborne
306,ground
307,ground
308,ground
309,ground
310,ground
311,ground
312,ground
313,ground
314,ground
315,ground
316,ground
317,ground
318,ground
319,ground
320,ground
321,ground
322,ground
323,ground
324,airborne
325,airborne
326,airborne
327,airborne
328,ground
329,ground
330,ground
331,ground
332,ground
333,ground
334,ground
335,ground
336,ground
337,ground
338,ground
339,ground
340,ground
341,ground
342,ground
343,ground
344,airborne
345,airborne
346,airborne
347,ground
348,ground
349,ground
350,airborne
351,airborne
352,airborne
353,ground
353,airborne
354,ground
354,airborne
355,ground
355,airborne
356,ground
356,airborne
357,ground
357,airborne
358,ground
358,airborne
359,ground
359,airborne
360,ground
360,airborne
361,airborne
362,airborne
363,ground
363,airborne
364,ground
364,airborne
365,ground
365,airborne
366,ground
366,airborne
367,ground
367,airborne
368,ground
368,airborne
369,ground
369,airborne
370,ground
370,airborne
371,airborne
372,airborne
373,ground
373,airborne
374,ground
374,airborne
375,ground
375,airborne
376,ground
376,airborne
377,ground
377,airborne
378,ground
378,airborne
379,ground
379,airborne
380,ground
380,airborne
381,ground
381,airborne
382,ground
382,airborne
383,ground
383,airborne
384,ground
384,airborne
385,ground
385,airborne
386,ground
386,airborne
387,ground
387,airborne
388,ground
388,airborne
389,ground
389,airborne
390,ground
390,airborne
391,ground
391,airborne
392,ground
393,ground
394,ground
395,ground
396,ground
397,ground
398,ground
399,ground
400,ground
401,ground
402,ground
403,ground
404,ground
405,ground
406,ground
407,ground
408,ground
409,ground
410,ground
411,ground
412,ground
413,ground
414,ground
415,ground
416,ground
417,ground
418,ground
419,ground
420,ground
421,ground
422,ground
423,ground
424,ground
425,ground
426,ground
427,ground
428,airborne
429,ground
430,ground
431,ground
432,ground
433,ground
434,ground
435,ground
436,ground
437,ground
438,airborne
439,airborne
440,airborne
441,airborne
442,airborne
443,ground
444,airborne
445,airborne
446,airborne
447,airborne
448,airborne
449,(missing)
450,airborne
451,airborne
452,airborne
453,airborne
454,airborne
455,airborne
456,airborne
457,airborne
458,airborne
459,airborne
460,airborne
461,airborne
462,airborne
463,airborne
464,airborne
465,airborne
466,airborne
467,airborne
468,airborne
469,airborne
470,airborne
471,airborne
472,airborne
473,airborne
474,airborne
475,airborne
476,airborne
477,airborne
478,airborne
479,airborne
480,airborne
481,airborne
482,airborne
483,airborne
484,airborne
485,ground
486,ground
487,ground
488,ground
489,ground
490,ground
491,ground
492,ground
493,ground
494,ground
495,ground
496,ground
497,ground
498,ground
499,ground
500,ground
501,ground
502,ground
503,ground
504,ground
505,airborne
506,airborne
507,airborne
508,airborne
509,(missing)
510,airborne
511,airborne
512,airborne
513,airborne
514,airborne
515,airborne
516,airborne
517,airborne
518,airborne
519,airborne
520,airborne
521,airborne
522,airborne
523,airborne
524,airborne
525,ground
526,airborne
527,airborne
528,ground
529,ground
530,ground
531,ground
532,ground
533,ground
534,ground
535,ground
536,ground
537,ground
538,ground
539,ground
540,ground
541,ground
542,ground
543,ground
544,ground
545,ground
546,ground
547,ground
548,ground
549,ground
550,ground
551,airborne
552,airborne
553,airborne
554,airborne
555,airborne
556,airborne
557,airborne
558,ground
559,ground
560,ground
561,ground
562,ground
563,ground
564,ground
565,ground
566,ground
567,ground
568,ground
569,ground
570,ground
571,ground
572,ground
573,ground
573,airborne
574,ground
574,airborne
575,ground
575,airborne
576,ground
576,airborne
577,ground
577,airborne
578,ground
578,airborne
579,ground
579,airborne
580,ground
580,airborne
581,ground
581,airborne
582,ground
582,airborne
583,ground
583,airborne
584,ground
584,airborne
585,ground
585,airborne
586,ground
587,ground
588,ground
588,airborne
589,ground
589,airborne
590,ground
590,airborne
591,ground
592,ground
593,ground
594,ground
594,airborne
595,ground
595,airborne
596,ground
596,airborne
597,ground
597,airborne
598,ground
599,ground
600,ground
600,airborne
601,ground
602,airborne
603,airborne
604,airborne
605,airborne
606,airborne
607,airborne
608,airborne
609,ground
610,ground
611,ground
612,ground
613,ground
614,ground
615,ground
616,ground
617,ground
618,ground
619,ground
620,ground
621,ground
622,airborne
623,airborne
624,airborne
625,airborne
626,airborne
627,airborne
628,airborne
629,airborne
630,airborne
631,airborne
632,airborne
633,airborne
634,airborne
635,airborne
636,airborne
637,airborne
638,airborne
639,airborne
640,airborne
641,airborne
642,ground
643,ground
644,ground
645,ground
646,ground
647,ground
648,ground
649,ground
650,ground
651,ground
652,ground
653,ground
654,ground
655,ground
656,ground
657,ground
658,ground
659,ground
660,ground
661,ground
662,ground
663,ground
664,ground
665,ground
666,ground
667,airborne
668,airborne
669,ground
670,ground
671,ground
672,ground
673,ground
674,ground
675,ground
676,ground
677,ground
677,airborne
678,ground
678,airborne
679,ground
679,airborne
680,ground
680,airborne
681,ground
681,airborne
682,ground
682,airborne
683,ground
684,airborne
685,airborne
686,airborne
687,airborne
688,ground
688,airborne
689,ground
689,airborne
690,airborne
691,ground
691,airborne
692,airborne
693,airborne
694,airborne
695,ground
696,ground
697,ground
698,ground
699,ground
700,ground
701,ground
702,ground
703,ground
703,airborne
704,airborne
705,airborne
706,airborne
707,airborne
708,airborne
709,airborne
710,airborne
711,ground
712,ground
713,ground
713,airborne
714,ground
714,airborne
715,ground
715,airborne
716,ground
716,airborne
717,ground
717,airborne
718,ground
718,airborne
719,ground
719,airborne
720,ground
720,airborne
721,ground
721,airborne
722,ground
722,airborne
723,airborne
724,ground
725,airborne
726,airborne
727,airborne
728,airborne
729,airborne
730,airborne
731,ground
731,airborne
732,ground
732,airborne
733,ground
733,airborne
734,ground
734,airborne
735,ground
735,airborne
736,airborne
737,ground
738,ground
739,ground
740,ground
741,ground
742,ground
743,ground
744,ground
745,ground
746,ground
747,ground
748,ground
748,airborne
749,ground
749,airborne
750,ground
750,airborne
751,ground
751,airborne
752,ground
752,airborne
753,airborne
754,airborne
755,airborne
756,airborne
757,airborne
758,airborne
759,airborne
760,airborne
761,airborne
762,airborne
763,airborne
764,airborne
765,airborne
766,airborne
767,airborne
768,airborne
769,(missing)
770,airborne
771,airborne
772,airborne
773,airborne
774,airborne
775,(missing)
776,airborne
777,airborne
778,airborne
779,airborne
780,ground
781,ground
782,ground
783,ground
784,ground
785,ground
786,ground
787,ground
788,ground
789,ground
790,ground
791,ground
792,ground
793,ground
794,ground
795,ground
796,ground
797,ground
798,ground
799,ground
800,ground
801,ground
802,ground
803,ground
804,ground
805,ground
806,ground
807,ground
808,ground
809,ground
810,ground
811,ground
812,ground
813,ground
814,ground
815,ground
815,airborne
816,airborne
817,ground
818,ground
818,airborne
819,ground
820,ground
821,ground
822,ground
823,ground
824,ground
825,ground
826,ground
827,ground
828,ground
829,ground
830,ground
831,ground
