row_id,agent
131,silver iodide
132,silver iodide
133,silver iodide
134,silver iodide
135,silver iodide
136,water
137,silver iodide
138,water
139,ionized air
140,silver iodide
141,silver iodide
142,silver iodide
143,silver iodide
143,calcium chloride
144,silver iodide
145,silver iodide
146,silver iodide
147,silver iodide
148,silver iodide
149,silver iodide
149,ammonium iodide
150,silver iodide
151,silver iodide
151,sodium iodide
152,silver iodide
153,silver iodide
153,sodium iodide
154,silver iodide
155,silver iodide
155,sodium iodide
156,silver iodide
157,silver iodide
158,water
159,silver iodide
160,silver iodide
161,silver iodide
162,silver iodide
163,silver iodide
164,silver iodide
165,silver iodide
166,silver iodide
167,silver iodide
168,silver iodide
169,silver iodide
170,silver iodide
171,silver iodide
172,silver iodide
173,silver iodide
174,silver iodide
175,silver iodide
176,silver iodide
177,silver iodide
178,silver iodide
179,silver iodide
180,silver iodide
181,silver iodide
182,silver iodide
183,silver iodide
184,silver iodide
185,ionized air
186,ionized air
187,ionized air
188,ionized air
189,ionized air
190,silver iodide
191,silver iodide
192,silver iodide
193,silver iodide
194,silver iodide
195,silver iodide
196,silver iodide
197,silver iodide
198,silver iodide
199,silver iodide
199,sodium chloride
200,silver iodide
201,silver iodide
202,silver iodide
203,silver iodide
204,silver iodide
205,silver iodide
206,silver iodide
207,silver iodide
208,silver iodide
209,silver iodide
210,silver iodide
211,silver iodide
212,silver iodide
213,silver iodide
214,silver iodide
214,sodium iodide
215,silver iodide
215,sodium iodide
216,silver iodide
217,silver iodide
217,sodium iodide
218,silver iodide
218,sodium iodide
219,silver iodide
220,silver iodide
220,sodium iodide
221,silver iodide
221,sodium iodide
222,silver iodide
222,sodium iodide
223,silver iodide
223,sodium iodide
224,silver iodide
224,sodium iodide
225,silver iodide
225,sodium iodide
226,silver iodide
226,sodium iodide
227,silver iodide
227,sodium iodide
228,silver iodide
228,sodium iodide
229,silver iodide
229,sodium iodide
230,silver iodide
230,sodium iodide
231,silver iodide
231,sodium iodide
232,silver iodide
232,sodium iodide
233,silver iodide
233,sodium iodide
234,silver iodide
234,sodium iodide
235,silver iodide
235,sodium iodide
236,silver iodide
236,sodium iodide
237,silver iodide
238,silver iodide
238,ammonium iodide
239,silver iodide
240,silver iodide
241,silver iodide
241,ammonium iodide
241,ammonium perchlorate
241,sodium perchlorate
241,acetone
242,silver iodide
242,ammonium iodide
242,ammonium perchlorate
242,sodium precipitate
242,acetone
243,silver iodide
243,ammonium
243,sodium perchlorate
243,acetone
244,silver iodide
244,ammonium iodide
244,ammonium sodium perchlorate
244,acetone
245,silver iodide
246,silver iodide
247,silver iodide
248,silver iodide
249,silver iodide
250,silver iodide
250,sodium iodide
251,silver iodide
251,sodium iodide
252,silver iodide
252,sodium iodide
253,silver iodide
253,sodium iodide
254,silver iodide
254,sodium iodide
255,silver iodide
255,sodium iodide
256,silver iodide
256,sodium iodide
257,silver iodide
257,sodium iodide
258,silver iodide
258,sodium iodide
259,silver iodide
259,sodium iodide
260,silver iodide
260,sodium iodide
261,silver iodide
261,sodium iodide
262,silver iodide
262,sodium iodide
263,silver iodide
263,sodium iodide
264,silver iodide
264,sodium iodide
265,silver iodide
265,ammonium iodide
266,silver iodide
266,ammonium iodide
266,acetone
267,silver iodide
267,ammonium iodide
267,acetone
268,silver iodide
268,ammonium iodide
268,acetone
269,silver iodide
269,ammonium iodide
269,acetone
270,silver iodide
270,ammonium iodide
270,acetone
271,silver iodide
271,ammonium iodide
271,acetone
272,silver iodide
272,ammonium iodide
272,ammonium perchlorate
272,sodium perchlorate
272,acetone
273,silver iodide
273,sodium iodide
274,silver iodide
274,sodium iodide
275,silver iodide
275,sodium iodide
276,silver iodide
276,sodium iodide
277,silver iodide
277,sodium iodide
278,silver iodide
278,sodium iodide
279,silver iodide
279,sodium iodide
280,silver iodide
280,sodium iodide
281,silver iodide
281,sodium iodide
282,silver iodide
282,sodium iodide
283,silver iodide
283,sodium iodide
284,silver iodide
284,sodium iodide
285,silver iodide
285,sodium iodide
286,silver iodide
286,sodium iodide
287,silver iodide
287,sodium iodide
288,silver iodide
288,sodium iodide
289,silver iodide
290,silver iodide
291,silver iodide
292,silver iodide
292,hygroscopic materials
293,silver iodide
293,hygroscopic
294,silver iodide
294,hygroscopic agents
295,silver iodide
295,hygroscopic agents
296,silver iodide
296,hygroscopic agents
297,silver iodide
298,dry ice
299,dry ice
300,silver iodide
301,silver iodide
302,ionized air
303,silver iodide
304,silver iodide
305,silver iodide
306,silver iodide
307,silver iodide
308,silver iodide
309,silver iodide
310,silver iodide
311,silver iodide
312,silver iodide
313,silver iodide
314,silver iodide
315,silver iodide
316,silver iodide
317,silver iodide
318,silver iodide
319,silver iodide
320,silver iodide
321,silver iodide
322,silver iodide
323,silver iodide
324,silver iodide
324,calcium chloride
325,silver iodide
326,silver iodide
327,silver iodide
327,calcium chloride
328,silver iodide
329,silver iodide
330,silver iodide
331,silver iodide
332,silver iodide
333,silver iodide
334,silver iodide
335,silver iodide
336,silver iodide
337,silver iodide
338,silver iodide
339,silver iodide
340,silver iodide
341,silver iodide
342,silver iodide
343,silver iodide
344,carbon dioxide
345,carbon dioxide
346,carbon dioxide
347,silver iodide
348,silver iodide
349,silver iodide
350,silver iodide
350,potassium chloride
351,silver iodide
351,potassium chloride
352,silver iodide
352,hygroscopic aerosols
353,silver iodide
354,silver iodide
355,silver iodide
356,silver iodide
356,hygroscopic agents
357,silver iodide
358,silver iodide
359,silver iodide
360,silver iodide
361,silver iodide
361,hygroscopic aerosols
362,silver iodide
362,hygroscopic aerosols
363,silver iodide
364,silver iodide
365,silver iodide
366,silver iodide
366,hygroscopic
367,silver iodide
368,silver iodide
369,silver iodide
370,silver iodide
371,silver iodide
372,silver iodide
373,silver iodide
374,silver iodide
375,silver iodide
376,silver iodide
376,hygroscopic
377,silver iodide
378,silver iodide
379,silver iodide
380,silver iodide
381,silver iodide
382,silver iodide
383,silver iodide
384,silver iodide
385,silver iodide
386,silver iodide
387,silver iodide
388,silver iodide
389,silver iodide
390,silver iodide
391,silver iodide
392,silver iodide
392,ammonium iodide
393,silver iodide
393,ammonium iodide
394,silver iodide
394,ammonium iodide
395,silver iodide
395,ammonium iodide
396,silver iodide
396,ammonium iodide
397,silver iodide
397,ammonium iodide
398,silver iodide
398,ammonium iodide
399,silver iodide
399,ammonium iodide
400,silver iodide
400,ammonium iodide
401,silver iodide
401,ammonium iodide
402,silver iodide
402,ammonium iodide
403,silver iodide
403,ammonium iodide
404,silver iodide
404,ammonium iodide
405,silver iodide
405,ammonium iodide
406,silver iodide
406,ammonium iodide
407,silver iodide
407,ammonium iodide
408,carbon dioxide
409,silver iodide
409,ammonium iodide
410,silver iodide
410,ammonium iodide
411,silver iodide
411,ammonium iodide
412,silver iodide
412,ammonium iodide
413,silver iodide
413,ammonium iodide
414,silver iodide
414,ammonium iodide
415,silver iodide
415,ammonium iodide
416,silver iodide
416,ammonium iodide
417,silver iodide
417,ammonium iodide
418,silver iodide
418,ammonium iodide
419,silver iodide
419,ammonium iodide
420,silver iodide
420,ammonium iodide
421,silver iodide
421,ammonium iodide
422,silver iodide
422,ammonium iodide
423,silver iodide
423,ammonium iodide
424,silver iodide
424,ammonium iodide
425,silver iodide
425,ammonium iodide
426,silver iodide
426,ammonium iodide
427,silver iodide
427,ammonium iodide
428,silver iodide
429,silver iodide
429,ammonium iodide
430,silver iodide
430,ammonium iodide
430,acetone
431,silver iodide
431,ammonium iodide
431,acetone
432,silver iodide
432,acetone
433,silver iodide
433,acetone
434,silver iodide
434,acetone
435,silver iodide
436,silver iodide
437,silver iodide
438,silver iodide
439,silver iodide
440,silver iodide
441,silver iodide
442,silver iodide
443,silver iodide
444,silver iodide
444,dry ice
445,silver iodide
446,silver iodide
447,silver iodide
447,dry ice
448,silver iodide
448,dry ice
449,ionized air
450,silver iodide
451,silver iodide
452,silver iodide
453,silver iodide
454,ionized air
455,silver iodide
456,silver iodide
457,ionized air
458,silver iodide
459,silver iodide
459,calcium chloride
460,silver iodide
461,silver iodide
462,silver iodide
462,calcium chloride
463,ionized air
464,silver iodide
465,silver iodide
466,silver iodide
467,silver iodide
468,silver iodide
469,silver iodide
469,dry ice
470,silver iodide
471,silver iodide
472,silver iodide
473,silver iodide
474,silver iodide
475,silver iodide
476,silver iodide
477,silver iodide
478,silver iodide
479,silver iodide
480,silver iodide
481,silver iodide
482,silver iodide
483,silver iodide
484,silver iodide
485,silver iodide
486,silver iodide
487,silver iodide
488,silver iodide
489,silver iodide
489,ammonium iodide
490,silver iodide
491,silver iodide
492,silver iodide
493,silver iodide
494,silver iodide
495,silver iodide
496,silver iodide
497,silver iodide
498,silver iodide
499,silver iodide
500,silver iodide
501,silver iodide
502,silver iodide
503,silver iodide
504,silver iodide
505,silver iodide
506,silver iodide
507,silver iodide
508,silver iodide
509,ionized air
510,silver iodide
511,silver iodide
512,silver iodide
513,silver iodide
514,silver iodide
515,silver iodide
516,silver iodide
517,silver iodide
518,silver iodide
519,silver iodide
520,silver iodide
521,silver iodide
521,calcium chloride
522,silver iodide
522,calcium chloride
523,ionized air
524,silver iodide
525,silver iodide
525,silver chloride
525,potassium iodide
526,calcium chloride
527,calcium chloride
528,ionized air
529,ionized air
530,ionized air
531,ionized air
532,ionized air
533,silver iodide
533,sodium iodide
534,silver iodide
534,sodium iodide
535,silver iodide
535,sodium iodide
536,silver iodide
536,sodium iodide
537,silver iodide
537,sodium iodide
538,silver iodide
538,sodium iodide
539,silver iodide
539,sodium iodide
540,silver iodide
540,sodium iodide
541,silver iodide
541,sodium iodide
542,silver iodide
542,sodium iodide
543,silver iodide
543,sodium iodide
544,silver iodide
544,sodium iodide
545,silver iodide
545,sodium iodide
546,silver iodide
546,sodium iodide
547,silver iodide
547,sodium iodide
548,silver iodide
548,sodium iodide
549,silver iodide
549,sodium iodide
550,silver iodide
550,sodium iodide
551,silver iodide
552,silver iodide
553,silver iodide
554,silver iodide
555,silver iodide
556,silver iodide
557,silver iodide
558,silver iodide
558,ammonium iodide
559,silver iodide
560,silver iodide
561,silver iodide
562,silver iodide
563,silver iodide
564,silver iodide
565,silver iodide
566,silver iodide
567,silver iodide
568,silver iodide
569,silver iodide
570,silver iodide
571,silver iodide
572,silver iodide
573,silver iodide
574,silver iodide
575,silver iodide
576,silver iodide
576,hygroscopic
577,silver iodide
578,silver iodide
579,silver iodide
580,silver iodide
581,silver iodide
582,silver iodide
583,silver iodide
584,silver iodide
585,silver iodide
586,silver iodide
587,silver iodide
588,silver iodide
589,silver iodide
590,silver iodide
591,silver iodide
592,silver iodide
593,silver iodide
594,silver iodide
595,silver iodide
596,silver iodide
597,silver iodide
598,silver iodide
598,ammonium iodide
599,silver iodide
599,ammonium iodide
600,silver iodide
600,dry ice
601,silver iodide
601,ammonium iodide
602,calcium chloride
603,silver iodide
604,silver iodide
604,calcium chloride
605,silver iodide
606,silver iodide
606,hygroscopic
607,calcium chloride
608,silver iodide
608,calcium chloride
609,silver iodide
610,silver iodide
611,silver iodide
612,silver iodide
613,silver iodide
614,silver iodide
615,silver iodide
616,silver iodide
617,silver iodide
618,silver iodide
619,silver iodide
620,silver iodide
621,silver iodide
622,silver iodide
623,silver iodide
624,silver iodide
625,silver iodide
626,silver iodide
627,silver iodide
628,silver iodide
629,silver iodide
629,calcium chloride
630,silver iodide
631,silver iodide
632,silver iodide
633,silver iodide
634,silver iodide
635,silver iodide
636,silver iodide
637,silver iodide
638,silver iodide
639,silver iodide
640,silver iodide
641,silver iodide
642,silver iodide
643,silver iodide
644,silver iodide
645,silver iodide
646,silver iodide
647,silver iodide
648,silver iodide
649,silver iodide
650,silver iodide
650,sodium iodide
651,silver iodide
651,sodium iodide
652,silver iodide
652,sodium iodide
653,silver iodide
653,sodium iodide
654,silver iodide
654,sodium iodide
655,silver iodide
655,sodium iodide
656,silver iodide
656,sodium iodide
657,silver iodide
657,sodium iodide
658,silver iodide
658,sodium iodide
659,silver iodide
660,silver iodide
660,sodium iodide
661,silver iodide
661,sodium iodide
662,silver iodide
662,sodium iodide
663,silver iodide
663,sodium iodide
664,silver iodide
664,sodium iodide
665,silver iodide
666,silver iodide
666,sodium iodide
667,silver iodide
667,sodium chloride
668,silver iodide
668,hygroscopic agents
669,silver iodide
670,silver iodide
671,silver iodide
672,silver iodide
673,silver iodide
674,silver iodide
675,silver iodide
676,silver iodide
677,silver iodide
677,dry ice
678,silver iodide
678,dry ice
679,silver iodide
679,dry ice
680,silver iodide
680,dry ice
681,silver iodide
681,dry ice
682,silver iodide
682,dry ice
683,silver iodide
684,silver iodide
684,hygroscopic materials
685,silver iodide
685,hygroscopic
686,silver iodide
686,hygroscopic materials
687,silver iodide
687,hygroscopic agents
688,silver iodide
688,hygroscopic
689,silver iodide
690,silver iodide
690,hygroscopic materials
691,silver iodide
691,hygroscopic
692,silver iodide
693,silver iodide
694,silver iodide
695,silver iodide
696,silver iodide
697,silver iodide
698,silver iodide
699,silver iodide
700,silver iodide
701,silver iodide
702,silver iodide
703,silver iodide
704,silver iodide
705,silver iodide
706,silver iodide
707,silver iodide
708,silver iodide
709,silver iodide
710,silver iodide
711,silver iodide
712,silver iodide
713,silver iodide
714,silver iodide
714,cesium iodide
715,silver iodide
715,cesium iodide
716,silver iodide
717,silver iodide
718,silver iodide
719,silver iodide
720,silver iodide
721,silver iodide
722,silver iodide
723,silver iodide
723,hygroscopic aerosols
724,silver iodide
725,silver iodide
726,silver iodide
727,silver iodide
728,silver iodide
729,silver iodide
730,silver iodide
731,silver iodide
732,silver iodide
733,silver iodide
734,silver iodide
735,silver iodide
736,silver iodide
737,silver iodide
738,silver iodide
738,ammonium iodide
738,acetone
739,silver iodide
739,ammonium iodide
739,acetone
740,silver iodide
740,ammonium iodide
740,acetone
741,silver iodide
741,ammonium iodide
741,acetone
742,silver iodide
742,ammonium iodide
742,acetone
743,silver iodide
743,acetone
744,silver iodide
744,acetone
745,silver iodide
745,acetone
746,silver iodide
746,ammonium iodide
746,acetone
747,silver iodide
747,ammonium iodide
747,acetone
748,silver iodide
749,silver iodide
750,silver iodide
751,silver iodide
752,silver iodide
752,propane
753,silver iodide
754,silver iodide
755,silver iodide
756,calcium chloride
757,silver iodide
758,silver iodide
758,sodium chloride
759,silver iodide
759,sodium chloride
760,silver iodide
761,silver iodide
761,calcium chloride
762,silver iodide
763,silver iodide
763,calcium chloride
764,silver iodide
764,sodium chloride
765,ionized air
766,silver iodide
767,silver iodide
768,silver iodide
769,ionized air
770,silver iodide
771,silver iodide
772,silver iodide
773,silver iodide
773,dry ice
774,silver iodide
775,ionized air
776,silver iodide
777,silver iodide
778,silver iodide
779,silver iodide
780,silver iodide
781,silver iodide
782,silver iodide
783,silver iodide
784,silver iodide
785,silver iodide
786,silver iodide
787,silver iodide
788,silver iodide
789,silver iodide
790,silver iodide
791,silver iodide
792,silver iodide
793,silver iodide
794,silver iodide
795,silver iodide
796,silver iodide
797,silver iodide
798,silver iodide
799,silver iodide
800,silver iodide
800,ammonium iodide
801,silver iodide
801,ammonium iodide
802,silver iodide
802,ammonium iodide
803,silver iodide
803,ammonium iodide
804,silver iodide
804,ammonium iodide
805,silver iodide
805,ammonium iodide
806,silver iodide
806,ammonium iodide
807,silver iodide
807,ammonium iodide
808,silver iodide
808,ammonium iodide
809,ammonium iodide
810,silver iodide
810,ammonium iodide
811,silver iodide
811,ammonium iodide
812,silver iodide
813,silver iodide
814,silver iodide
815,silver iodide
816,silver iodide
817,silver iodide
818,silver iodide
819,silver iodide
820,silver iodide
821,silver iodide
822,silver iodide
823,silver iodide
824,silver iodide
825,silver iodide
826,silver iodide
827,silver iodide
828,silver iodide
829,silver iodide
830,silver iodide
831,silver iodide
