feature,variance
Int_MeanEdge_Cdt1_cell,0.004623093
Int_Med_pERK_nuc,0.004616043
Int_Med_p21_cyto,0.004562818
Int_Med_p21_ring,0.004562818
Int_Med_bCat_nuc,0.00442289
Int_Med_pS6_cyto,0.0042417953
Int_Med_pS6_ring,0.0042417953
Int_Med_pp21_cell,0.0042251567
Int_Med_cycA_ring,0.0041985647
Int_Med_cycA_cyto,0.0041985647
Int_Med_Bcl2_nuc,0.0041758595
Int_Med_CDK6_nuc,0.004171435
Int_Med_p38_nuc,0.004142753
Int_Med_cMyc_cyto,0.0040392163
Int_Med_cMyc_ring,0.0040392163
Int_Med_cycD1_cell,0.003825398
Int_Med_pCHK1_cell,0.0037384254
Int_MeanEdge_Bcl2_cell,0.0036452273
Int_Med_CDK6_cell,0.0034764097
Int_Med_pCHK1_cyto,0.0034302005
Int_Med_pCHK1_ring,0.0034302005
Int_MeanEdge_DNA_cell,0.0033320284
Int_Med_cFos_cell,0.003304616
Int_MeanEdge_p21_cell,0.003259176
Int_Med_cycD1_cyto,0.0032522397
Int_Med_cycD1_ring,0.0032522397
Int_MeanEdge_GSK3b_cell,0.0032325017
Int_MeanEdge_Fra1_cell,0.0031830303
Int_Med_PCNA_cyto,0.0030177366
Int_Med_PCNA_ring,0.0030177366
Int_MeanEdge_STAT3_cell,0.003017001
Int_MeanEdge_cJun_cell,0.0029906982
Int_MeanEdge_pp21_cell,0.0029782937
Int_MeanEdge_pRSK_cell,0.0029728748
Int_Med_CDK6_cyto,0.0029507794
Int_Med_CDK6_ring,0.0029507794
Int_Med_Cdh1_cell,0.0029070103
Int_Med_Cdt1_cell,0.0029060226
Int_Med_STAT3_ring,0.002901611
Int_Med_STAT3_cyto,0.002901611
Int_Med_pS6_cell,0.0028945727
Int_MeanEdge_cMyc_cell,0.002871842
Int_MeanEdge_pSTAT3_cell,0.002791598
Int_Med_cFos_ring,0.0026805112
Int_Med_cFos_cyto,0.0026805112
Int_Med_pp53_nuc,0.002665842
Int_Med_pp65_cell,0.0025820748
Int_MeanEdge_cycA_cell,0.002532339
Int_MeanEdge_Skp2_cell,0.002479093
Int_MeanEdge_p53_cell,0.002472249
Int_Med_p21_cell,0.0024339939
Int_Med_DNA_cyto,0.0023605567
Int_Med_DNA_ring,0.0023605567
Int_Med_pS6_nuc,0.0022821287
Int_Med_pp38_cell,0.002262856
Int_Med_pp53_cell,0.0022200875
Int_Med_Cdh1_ring,0.0022131135
Int_Med_Cdh1_cyto,0.0022131135
Int_Med_STAT3_cell,0.002181344
Int_Med_cJun_cyto,0.0021635897
Int_Med_cJun_ring,0.0021635897
Int_Med_pp53_cyto,0.0021244558
Int_Med_pp53_ring,0.0021244558
Int_Med_BP1_cell,0.0021089632
Int_Med_pp38_cyto,0.0020132216
Int_Med_pp38_ring,0.0020132216
Int_MeanEdge_CDK6_cell,0.0018715028
Int_MeanEdge_E2F1_cell,0.001831811
Int_Med_pp21_nuc,0.0018224826
Int_Med_pp65_ring,0.0017437667
Int_Med_pp65_cyto,0.0017437667
Int_Med_pSTAT3_nuc,0.0016745758
Int_Med_RB_cell,0.0016238986
Int_MeanEdge_pp27_cell,0.0016143377
Int_Med_p53_cell,0.0015723608
Int_MeanEdge_BP1_cell,0.0015397753
Int_Med_p53_ring,0.0015378683
Int_Med_p53_cyto,0.0015378683
Int_Med_cycE_nuc,0.0015232954
Int_Med_RSK1_nuc,0.0015062366
Int_Med_BP1_cyto,0.0014814256
Int_Med_BP1_ring,0.0014814256
Int_Med_E2F1_cell,0.0014343453
Int_Med_E2F1_ring,0.0014078658
Int_Med_E2F1_cyto,0.0014078658
Int_Med_cMyc_cell,0.0014068572
Int_Med_PCNA_cell,0.0013938992
Int_Med_DNA_cell,0.0013890185
Int_Med_p27_ring,0.0012719365
Int_Med_p27_cyto,0.0012719365
Int_MeanEdge_p27_cell,0.00118899
Int_Med_RB_cyto,0.0011878404
Int_Med_RB_ring,0.0011878404
Int_MeanEdge_pCHK1_cell,0.0011836957
Int_Med_pRB_cell,0.0011773119
Int_Med_Skp2_cell,0.0011707441
Int_MeanEdge_cycE_cell,0.0011013461
Int_Med_cycE_cell,0.0010834554
Int_Med_pSTAT3_cell,0.0009922805
Int_Med_cycE_cyto,0.0009724699
Int_Med_cycE_ring,0.0009724699
Int_Med_pSTAT3_ring,0.0009507202
Int_Med_pSTAT3_cyto,0.0009507202
Int_Med_Skp2_cyto,0.00089741737
Int_Med_Skp2_ring,0.00089741737
Int_Med_pRSK_cell,0.0008737385
Int_Med_Fra1_cell,0.0008619117
Int_Med_RSK1_cyto,0.0008467314
Int_Med_RSK1_ring,0.0008467314
Int_Med_RSK1_cell,0.000832669
Int_Med_pRSK_ring,0.00080017967
Int_Med_pRSK_cyto,0.00080017967
Int_Med_cycA_cell,0.00065534405
Int_Med_pRB_cyto,0.0005521056
Int_Med_pRB_ring,0.0005521056
Int_Med_p27_cell,0.0005342423
Int_Med_cJun_cell,0.0004944567
Int_Med_pp27_nuc,0.0004638799
