hour,demand_mw,generation_mw,load_shed_mw,wind_dispatch_mw,gas_dispatch_mw,nuclear_dispatch_mw,wind_curtailment_mw,storage_charge_mw,storage_discharge_mw,transfer_volume_mw
14,136081.209903101,48546.34578209939,87534.8641210016,34335.763366623934,10610.582415475463,3600.0,0.0,0.0,0.0,29155.066454485925
15,122546.12188226433,51353.80379835101,71192.31808391331,37143.22138287556,10610.582415475463,3600.0,0.0,0.0,0.0,32348.491678188875
16,106357.49615029007,43898.18621225432,62459.30993803577,29687.60379677885,10610.582415475463,3600.0,0.0,0.0,0.0,25719.21138720122
17,100447.87932489335,49316.66252564583,51131.21679924751,35106.08011017038,10610.582415475463,3600.0,0.0,0.0,0.0,31292.99391703585
18,109814.82762275719,43436.92554004458,66377.9020827126,29226.343124569128,10610.582415475463,3600.0,0.0,0.0,0.0,25073.02364798287
19,127712.73677207026,46295.50758457236,81417.22918749793,32084.925169096896,10610.582415475463,3600.0,0.0,0.0,0.0,27024.086631705402
20,140787.0447698484,47775.06035133416,93011.98441851423,33564.47793585871,10610.582415475463,3600.0,0.0,0.0,0.0,27889.20019428042
21,139241.418137539,44044.50721515682,95196.9109223822,29833.92479968135,10610.582415475463,3600.0,0.0,0.0,0.0,24961.412087494642
22,124296.19964579133,52000.029943661764,72296.16970212958,37789.4475281863,10610.582415475463,3600.0,0.0,0.0,0.0,32989.94585369098
23,107258.94126429211,52079.77071185697,55179.170552435135,37869.18829638152,10610.582415475463,3600.0,0.0,0.0,0.0,33825.720728551
24,100914.75972337114,48353.7518598616,52561.00786350955,34143.16944438613,10610.582415475463,3600.0,0.0,0.0,0.0,31200.175214883377
25,109792.26415792527,52472.8492522688,57319.41490565644,38262.266836793344,10610.582415475463,3600.0,0.0,0.0,0.0,34524.49380437269
26,126716.98915249383,57337.47923832625,69379.5099141676,43126.896822850795,10610.582415475463,3600.0,0.0,0.0,0.0,38226.22294795558
27,138276.68711117023,52651.11243005734,85625.57468111288,38440.530014581884,10610.582415475463,3600.0,0.0,0.0,0.0,33685.870015871435
28,135036.95912951572,48873.85781417623,86163.10131533952,34663.27539870077,10610.582415475463,3600.0,0.0,0.0,0.0,29488.56477514514
29,118728.58895188865,52770.03955425079,65958.54939763785,38559.45713877534,10610.582415475463,3600.0,0.0,0.0,0.0,34710.083683720884
30,100933.81604945927,54295.170873479256,46638.645175980026,40084.58845800379,10610.582415475463,3600.0,0.0,0.0,0.0,36336.136060102435
31,94271.85215084272,55205.6209277297,39066.231223113005,40995.03851225424,10610.582415475463,3600.0,0.0,0.0,0.0,37650.688788622734
32,102795.33945361416,57745.152972495125,45050.186481119024,43534.57055701968,10610.582415475463,3600.0,0.0,0.0,0.0,40136.51627037799
33,118910.26848501833,56403.05342481305,62507.215060205286,42192.4710093376,10610.582415475463,3600.0,0.0,0.0,0.0,37940.01670597831
34,129164.62931452514,54247.953872672995,74916.67544185219,40037.371457197536,10610.582415475463,3600.0,0.0,0.0,0.0,35674.23623471473
35,124498.03395960807,48390.221942096236,76107.81201751182,34179.63952662078,10610.582415475463,3600.0,0.0,0.0,0.0,29998.594111952567
36,107147.77093531284,47119.18836753049,60028.58256778234,32908.60595205502,10610.582415475463,3600.0,0.0,0.0,0.0,28753.786324331377
37,88952.68630676813,51469.835192415034,37482.851114353085,37259.25277693957,10610.582415475463,3600.0,0.0,0.0,0.0,34042.834965873524
38,82346.34665525361,54490.54741417125,27855.799241082364,40279.964998695796,10610.582415475463,3600.0,0.0,0.0,0.0,37844.80176964901
39,90897.631231448,55763.46988753264,35134.16134391535,41552.88747205719,10610.582415475463,3600.0,0.0,0.0,0.0,38617.92192049207
40,106601.50580198779,62287.39446307463,44314.11133891315,48076.81204759917,10610.582415475463,3600.0,0.0,0.0,0.0,44094.179372405124
41,115982.85213231116,53013.99541192915,62968.856720381984,38803.412996453684,10610.582415475463,3600.0,0.0,0.0,0.0,35319.09042188156
42,110365.58823440973,56054.26721397962,54311.32102043012,41843.684798504146,10610.582415475463,3600.0,0.0,0.0,0.0,37749.66298513878
43,92487.68307308482,56303.86267016529,36183.82040291952,42093.280254689824,10610.582415475463,3600.0,0.0,0.0,0.0,38702.05927262523
44,74425.06130097854,52553.15956616706,21871.90173481148,38342.57715069161,10610.582415475463,3600.0,0.0,0.0,0.0,36148.00790914745
45,68405.17651583963,46392.71099459268,22012.465521246948,32182.128579117223,10610.582415475463,3600.0,0.0,0.0,0.0,29436.456807964772
46,77505.14232967069,51845.5254528185,25659.61687685219,37634.943037343015,10610.582415475463,3600.0,0.0,0.0,0.0,34590.057390142945
47,93317.21351106753,54678.131666040004,38639.08184502752,40467.54925056455,10610.582415475463,3600.0,0.0,0.0,0.0,37581.26308791309
48,102359.1715221246,51241.40670112933,51117.76482099527,37030.82428565387,10610.582415475463,3600.0,0.0,0.0,0.0,33364.85988464477
49,96348.42516060165,53578.72605480044,42769.69910580117,39368.14363932498,10610.582415475463,3600.0,0.0,0.0,0.0,35585.63122146142
50,78516.64012689084,50484.365375557085,28032.27475133374,36273.78296008161,10610.582415475463,3600.0,0.0,0.0,0.0,33469.107726312475
51,61156.62351454551,46956.63394102864,14199.989573516874,32746.05152555317,10610.582415475463,3600.0,0.0,0.0,0.0,30483.30628250519
52,56269.327285917825,51759.42336193605,4509.903923981778,37548.840946460594,10610.582415475463,3600.0,0.0,0.0,0.0,36169.594591700064
53,66432.70145556775,48553.12943289647,17879.572022671273,34342.54701742101,10610.582415475463,3600.0,0.0,0.0,0.0,32023.02459946544
54,82845.20399878778,49808.06704348881,33037.13695529898,35597.48462801335,10610.582415475463,3600.0,0.0,0.0,0.0,32333.559665436318
55,92033.6861581989,55088.05045285191,36945.63570534701,40877.468037376435,10610.582415475463,3600.0,0.0,0.0,0.0,36886.61063312576
56,86117.94812314054,52588.60288447533,33529.34523866519,38378.020468999865,10610.582415475463,3600.0,0.0,0.0,0.0,34941.20023929132
57,68816.06177926637,49266.91617134352,19549.145607922866,35056.33375586805,10610.582415475463,3600.0,0.0,0.0,0.0,32438.777008939636
58,52617.72243935958,48648.11448595299,3969.607953406596,34437.53207047752,10610.582415475463,3600.0,0.0,0.0,0.0,32456.432299599655
59,49277.935345286154,41804.09869996131,7473.8366453248545,27593.516284485846,10610.582415475463,3600.0,0.0,0.0,0.0,26148.120984825047
60,60869.52900018201,51910.39074737413,8959.138252807881,37699.80833189865,10610.582415475463,3600.0,0.0,0.0,0.0,35537.49746364178
61,78207.47610465092,50839.76436524959,27367.711739401344,36629.181949774116,10610.582415475463,3600.0,0.0,0.0,0.0,33909.84562678462
62,87844.79651734792,52860.350539490835,34984.44597785709,38649.768124015376,10610.582415475463,3600.0,0.0,0.0,0.0,34769.79435726101
63,82313.05079525964,41955.62878381797,40357.42201144167,27745.046368342508,10610.582415475463,3600.0,0.0,0.0,0.0,24434.20718080565
64,65809.8663629549,46262.20566168506,19547.660701269837,32051.623246209594,10610.582415475463,3600.0,0.0,0.0,0.0,29770.628007628326
65,51002.76627633094,45142.65419781367,5860.112078517272,30932.0717823382,10610.582415475463,3600.0,0.0,0.0,0.0,29616.43703465184
66,49383.00170011338,49383.00170011338,0.0,37893.9443533524,7889.0573467609765,3600.0,0.0,0.0,0.0,36433.11638930544
67,62514.39617427728,57180.85637029007,5333.539803987214,42970.2739548146,10610.582415475463,3600.0,0.0,0.0,0.0,41020.16034641763
68,80840.71314971327,46025.48797163342,34815.225178079854,31814.905556157963,10610.582415475463,3600.0,0.0,0.0,0.0,28617.830689771825
69,90959.67878398545,51805.62568420494,39154.053099780496,37595.043268729474,10610.582415475463,3600.0,0.0,0.0,0.0,34031.9647337879
70,85824.92187058723,53486.49301934817,32338.428851239063,39275.91060387271,10610.582415475463,3600.0,0.0,0.0,0.0,36523.240918117954
71,70107.65485829388,49912.16021994958,20195.494638344317,35701.57780447411,10610.582415475463,3600.0,0.0,0.0,0.0,33162.40884059572
72,56635.50363631498,50523.70438930232,6111.79924701265,36313.121973826856,10610.582415475463,3600.0,0.0,0.0,0.0,34724.91587901907
73,56620.13790111875,51795.417746888386,4824.72015423035,37584.835331412934,10610.582415475463,3600.0,0.0,0.0,0.0,36165.8094236315
74,71114.83016513872,50278.15737779015,20836.672787348547,36067.5749623147,10610.582415475463,3600.0,0.0,0.0,0.0,33691.1875913312
75,90206.55415287826,52790.08777148734,37416.46638139093,38579.50535601188,10610.582415475463,3600.0,0.0,0.0,0.0,35093.11574699171
76,100557.82680782868,51743.27143926269,48814.55536856599,37532.68902378725,10610.582415475463,3600.0,0.0,0.0,0.0,34155.17121881722
77,95555.64859477608,51572.265927591936,43983.38266718414,37361.683512116484,10610.582415475463,3600.0,0.0,0.0,0.0,34080.170333972346
78,80339.74298166155,52546.86597611408,27792.87700554747,38336.28356063861,10610.582415475463,3600.0,0.0,0.0,0.0,35709.01388316644
79,67881.41898237847,58005.50304696157,9875.915935416913,43794.92063148609,10610.582415475463,3600.0,0.0,0.0,0.0,41381.27468651531
80,69098.82128232636,59948.92051013777,9149.900772188586,45738.338094662315,10610.582415475463,3600.0,0.0,0.0,0.0,43459.942452760566
81,84535.28396292054,48690.53465230865,35844.749310611885,34479.95223683318,10610.582415475463,3600.0,0.0,0.0,0.0,31909.927841331093
82,103937.29134829603,58806.04334359736,45131.248004698675,44595.4609281219,10610.582415475463,3600.0,0.0,0.0,0.0,40925.65503443646
83,114053.45174477737,56716.821261490644,57336.63048328669,42506.238846015185,10610.582415475463,3600.0,0.0,0.0,0.0,38554.799685677426
84,108716.05971383513,53134.06302530071,55581.99668853444,38923.48060982524,10610.582415475463,3600.0,0.0,0.0,0.0,35408.51674974603
85,93528.76260335391,55051.036572459765,38477.726030894126,40840.4541569843,10610.582415475463,3600.0,0.0,0.0,0.0,38103.1321170148
86,81590.99056926268,55163.77122641775,26427.219342844925,40953.18881094229,10610.582415475463,3600.0,0.0,0.0,0.0,38392.15562747212
87,83514.80138557771,56751.74751895922,26763.05386661848,42541.16510348377,10610.582415475463,3600.0,0.0,0.0,0.0,39730.54292834144
88,99335.7908797986,53678.53044420047,45657.260435598124,39467.948028725026,10610.582415475463,3600.0,0.0,0.0,0.0,35877.40502275142
89,118477.49677507051,55063.87038214033,63413.6263929302,40853.287966664866,10610.582415475463,3600.0,0.0,0.0,0.0,35658.44147836278
90,127796.4484380248,51634.7267387945,76161.72169923031,37424.14432331905,10610.582415475463,3600.0,0.0,0.0,0.0,32593.148499206094
91,121582.06440183186,49725.84439707976,71856.22000475209,35515.2619816043,10610.582415475463,3600.0,0.0,0.0,0.0,31085.316653747534
92,105897.09353348776,58030.83157739687,47866.26195609088,43820.24916192141,10610.582415475463,3600.0,0.0,0.0,0.0,40039.21095952972
93,93953.64653007101,48358.60534904862,45595.04118102239,34148.02293357317,10610.582415475463,3600.0,0.0,0.0,0.0,31004.313000882055
94,96045.74790747778,50649.23849121384,45396.50941626394,36438.656075738385,10610.582415475463,3600.0,0.0,0.0,0.0,33157.91689217059
95,111704.23495190933,54148.35411446173,57555.88083744762,39937.77169898626,10610.582415475463,3600.0,0.0,0.0,0.0,35750.990667613114
96,130047.63779090693,50945.13835558058,79102.49943532632,36734.55594010513,10610.582415475463,3600.0,0.0,0.0,0.0,31746.293609280456
97,138061.90147690583,51797.72683356382,86264.17464334202,37587.14441808835,10610.582415475463,3600.0,0.0,0.0,0.0,32464.492145345623
98,130504.44865901557,48269.034922430845,82235.41373658474,34058.452506955386,10610.582415475463,3600.0,0.0,0.0,0.0,29069.747417628132
99,113891.23614488583,44366.38444332835,69524.85170155743,30155.802027852897,10610.582415475463,3600.0,0.0,0.0,0.0,25914.730490084665
100,101530.91737152977,47740.86320809316,53790.054163436595,33530.2807926177,10610.582415475463,3600.0,0.0,0.0,0.0,30046.09918878849
101,103387.33641723628,48535.10434744206,54852.23206979422,34324.52193196659,10610.582415475463,3600.0,0.0,0.0,0.0,30505.291226079815
102,118489.50562010828,42799.5769355469,75689.92868456135,28588.994520071432,10610.582415475463,3600.0,0.0,0.0,0.0,24465.19408660371
103,135668.45240185832,48604.2673847758,87064.1850170825,34393.68496930033,10610.582415475463,3600.0,0.0,0.0,0.0,29375.483506915705
104,142059.8827621259,47816.556640994226,94243.32612113167,33605.97422551877,10610.582415475463,3600.0,0.0,0.0,0.0,28415.437724384967
105,132898.38010933058,46279.225542782006,86619.15456654859,32068.643127306535,10610.582415475463,3600.0,0.0,0.0,0.0,27003.91164656142
106,115145.42415738238,50047.5723364546,65097.85182092779,35836.98992097914,10610.582415475463,3600.0,0.0,0.0,0.0,31359.803632432013
107,102188.70425681712,51367.27288355758,50821.43137325953,37156.690468082124,10610.582415475463,3600.0,0.0,0.0,0.0,33562.22991837068
108,103648.896408315,53562.766838480005,50086.129569835,39352.18442300453,10610.582415475463,3600.0,0.0,0.0,0.0,35281.9931853571
109,118055.45606544595,49784.14697868792,68271.30908675805,35573.56456321245,10610.582415475463,3600.0,0.0,0.0,0.0,31298.820200572714
110,133968.38372878337,47000.35175756769,86968.03197121566,32789.76934209223,10610.582415475463,3600.0,0.0,0.0,0.0,27989.97864884598
111,138691.79150469476,48633.72868037518,90058.0628243196,34423.14626489971,10610.582415475463,3600.0,0.0,0.0,0.0,29636.1236909565
112,127944.3730277552,45627.07923585103,82317.29379190414,31416.49682037557,10610.582415475463,3600.0,0.0,0.0,0.0,27109.597447789027
113,109123.24847957573,47793.81827135424,61329.43020822147,33583.23585587877,10610.582415475463,3600.0,0.0,0.0,0.0,29850.721148502358
114,95675.93147498724,49682.824371750365,45993.107103236885,35472.2419562749,10610.582415475463,3600.0,0.0,0.0,0.0,32193.10984689427
115,96865.81793219053,56335.434165764185,40530.38376642635,42124.85175028871,10610.582415475463,3600.0,0.0,0.0,0.0,38359.10263010481
116,110724.16345752699,56095.330378003564,54628.83307952342,41884.7479625281,10610.582415475463,3600.0,0.0,0.0,0.0,38327.17632715715
117,125555.1840756704,59919.4422499576,65635.7418257128,45708.85983448213,10610.582415475463,3600.0,0.0,0.0,0.0,41150.997586805206
118,128848.19814809348,53627.98264683575,75220.21550125774,39417.400231360276,10610.582415475463,3600.0,0.0,0.0,0.0,34485.22264020412
119,116810.68653688178,52884.034536672036,63926.652000209724,38673.45212119658,10610.582415475463,3600.0,0.0,0.0,0.0,34866.41551031713
120,97263.35196354463,49579.27726536743,47684.0746981772,35368.694849891974,10610.582415475463,3600.0,0.0,0.0,0.0,32039.5944130995
121,83692.71428987774,57778.52229096502,25914.191998912716,43567.93987548957,10610.582415475463,3600.0,0.0,0.0,0.0,40890.20752472991
122,84989.80715061747,52999.72696466972,31990.08018594778,38789.14454919426,10610.582415475463,3600.0,0.0,0.0,0.0,35735.059655696175
123,98688.32676251653,55014.73376186772,43673.5930006488,40804.15134639224,10610.582415475463,3600.0,0.0,0.0,0.0,37146.04032483387
124,112850.94963468135,55560.45704515957,57290.49258952179,41349.87462968412,10610.582415475463,3600.0,0.0,0.0,0.0,37495.13692727607
125,115167.44877496787,57461.36962522795,57706.079149739926,43250.787209752474,10610.582415475463,3600.0,0.0,0.0,0.0,39095.144043239925
126,102336.86503184249,52919.09205760203,49417.77297424047,38708.50964212658,10610.582415475463,3600.0,0.0,0.0,0.0,34965.47921873606
127,82589.69784764646,57204.58328003921,25385.114567607256,42994.000864563735,10610.582415475463,3600.0,0.0,0.0,0.0,40169.987376177814
128,69429.56219455296,52225.51079809727,17204.051396455692,38014.9283826218,10610.582415475463,3600.0,0.0,0.0,0.0,35593.93535050421
129,71359.63267112595,55111.41560410352,16248.217067022437,40900.83318862804,10610.582415475463,3600.0,0.0,0.0,0.0,38684.34307790706
130,85416.5508632944,49354.1855022674,36062.36536102702,35143.60308679193,10610.582415475463,3600.0,0.0,0.0,0.0,31947.125251489426
131,99435.30706257217,45577.923107112525,53857.383955459634,31367.34069163706,10610.582415475463,3600.0,0.0,0.0,0.0,27865.4435231445
132,101320.4706143007,52599.68573446388,48720.78487983683,38389.10331898844,10610.582415475463,3600.0,0.0,0.0,0.0,34585.84187915953
133,88264.21046624168,53853.09026972339,34411.12019651828,39642.50785424792,10610.582415475463,3600.0,0.0,0.0,0.0,36297.96182563671
134,68892.06500471015,51750.249538129196,17141.815466580956,37539.66712265373,10610.582415475463,3600.0,0.0,0.0,0.0,35213.24291377416
135,56702.53622268753,46378.35973005915,10324.176492628383,32167.77731458368,10610.582415475463,3600.0,0.0,0.0,0.0,30702.730407518375
136,59795.83986745346,52090.30524568423,7705.534621769246,37879.72283020876,10610.582415475463,3600.0,0.0,0.0,0.0,36316.348310695765
137,74712.7407283401,48467.03570739819,26245.7050209419,34256.45329192273,10610.582415475463,3600.0,0.0,0.0,0.0,31293.899009101864
138,89074.80974788018,48153.35960814773,40921.45013973244,33942.77719267228,10610.582415475463,3600.0,0.0,0.0,0.0,31201.11103857481
139,91015.66282535729,50798.49517828704,40217.16764707024,36587.91276281159,10610.582415475463,3600.0,0.0,0.0,0.0,33341.29898950358
140,78221.79973499007,46330.963455025965,31890.836279964107,32120.381039550506,10610.582415475463,3600.0,0.0,0.0,0.0,29263.871117547395
141,59698.93163280251,42831.052367792814,16867.879265009702,28620.469952317337,10610.582415475463,3600.0,0.0,0.0,0.0,26705.058634310717
142,48918.81301906227,42745.671708317765,6173.141310744517,28535.08929284229,10610.582415475463,3600.0,0.0,0.0,0.0,26903.40749281667
143,53564.85005496858,46898.20305782373,6666.646997144837,32687.620642348276,10610.582415475463,3600.0,0.0,0.0,0.0,30584.296545483092
144,69684.59771934318,48696.8043220655,20987.79339727767,34486.22190659004,10610.582415475463,3600.0,0.0,0.0,0.0,32253.163268478835
145,84701.66794013423,54456.40500483324,30245.26293530098,40245.822589357784,10610.582415475463,3600.0,0.0,0.0,0.0,37352.45329340366
146,86993.63964775876,45670.379834271225,41323.25981348752,31459.797418795766,10610.582415475463,3600.0,0.0,0.0,0.0,28125.64208538338
147,74742.93040102781,49786.51316196793,24956.41723905989,35575.93074649248,10610.582415475463,3600.0,0.0,0.0,0.0,32623.342368559188
148,57321.191076417315,53967.40950391008,3353.781572507224,39756.82708843463,10610.582415475463,3600.0,0.0,0.0,0.0,39021.24812792088
149,48153.08393059395,48153.08393059395,0.0,38174.01763416778,6379.066296426162,3600.0,0.0,0.0,0.0,35871.11451096072
150,54493.270258090415,50247.9031132299,4245.367144860527,36037.320697754425,10610.582415475463,3600.0,0.0,0.0,0.0,35240.45356472388
151,71900.8519040033,55034.71599922326,16866.135904780047,40824.1335837478,10610.582415475463,3600.0,0.0,0.0,0.0,37863.70765532297
152,87618.67213695297,54858.517455221125,32760.154681731867,40647.935039745666,10610.582415475463,3600.0,0.0,0.0,0.0,37333.201626862705
153,90284.3439445648,54797.4216193128,35486.922325251995,40586.83920383734,10610.582415475463,3600.0,0.0,0.0,0.0,36973.70028612571
154,78578.62909424721,53283.924528277,25294.704565970227,39073.34211280153,10610.582415475463,3600.0,0.0,0.0,0.0,36511.19869750401
155,62225.94137619687,53951.17976806039,8274.761608136474,39740.59735258494,10610.582415475463,3600.0,0.0,0.0,0.0,37958.0200508571
156,54585.170793725876,49472.82500632793,5112.34578739795,35262.24259085246,10610.582415475463,3600.0,0.0,0.0,0.0,33435.07864264981
157,62472.51827543611,52804.9954795893,9667.522795846802,38594.41306411385,10610.582415475463,3600.0,0.0,0.0,0.0,36329.68961551404
158,80965.69922625553,54255.14596727683,26710.5532589787,40044.563551801366,10610.582415475463,3600.0,0.0,0.0,0.0,37386.50443033342
159,97145.84969868607,54180.89028843162,42964.95941025447,39970.30787295616,10610.582415475463,3600.0,0.0,0.0,0.0,35722.17025411736
160,99927.92236730369,53205.51424350974,46722.40812379396,38994.931828034285,10610.582415475463,3600.0,0.0,0.0,0.0,36125.02676842989
161,88494.32528680332,58858.88975655881,29635.435530244482,44648.30734108334,10610.582415475463,3600.0,0.0,0.0,0.0,41563.71767643488
162,72910.10946770178,61364.3056184851,11545.803849216696,47153.72320300964,10610.582415475463,3600.0,0.0,0.0,0.0,44221.99976172137
163,66451.31678324127,52196.08392588292,14255.23285735835,37985.50151040746,10610.582415475463,3600.0,0.0,0.0,0.0,35754.35129156799
164,75488.0560063963,57767.84295169581,17720.213054700485,43557.260536220354,10610.582415475463,3600.0,0.0,0.0,0.0,40665.57727057862
165,94625.81105969734,53952.70460321932,40673.10645647804,39742.122187743844,10610.582415475463,3600.0,0.0,0.0,0.0,36691.26018894122
166,110804.64385184164,51447.85138385315,59356.79246798848,37237.26896837769,10610.582415475463,3600.0,0.0,0.0,0.0,33446.14056494401
167,113235.03081712824,61304.06470876178,51930.96610836644,47093.48229328632,10610.582415475463,3600.0,0.0,0.0,0.0,43015.715136012834
