snapshot,Bus1_Bus2,Bus2_Bus3,Bus3_Bus4,Bus4_Bus5,Bus6_Bus7,Bus7_Bus8,Bus8_Bus9,Bus9_Bus10,Bus10_Bus11,Bus11_Bus12,Bus12_Bus13,Bus13_Bus14,Bus14_Bus15,Bus15_Bus16,Bus16_Bus17,Bus17_Bus18,Bus18_Bus19,Bus19_Bus20,Bus1_Bus6,Bus2_Bus7,Bus3_Bus8,Bus4_Bus9,Bus5_Bus10
12,-2330.3946,-354.84162,-441.08427,163.62785,5000.0,65.607875,5000.0,-932.37344,-5000.0,5000.0,5000.0,-3555.0573,5000.0,-2262.8771,5000.0,5000.0,-1335.2623,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
13,-2429.6439,481.73978,1004.7083,-1376.1532,-5000.0,5000.0,5000.0,-0.32522836,-5000.0,-5000.0,5000.0,2855.3748,-5000.0,5000.0,1272.7204,-5000.0,1320.8322,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
14,-2430.5682,-2760.528,-2165.0049,-2157.966,-5000.0,5000.0,-140.97127,-15.485295,-5000.0,5000.0,4626.2539,-5000.0,5000.0,5000.0,1289.2732,-5000.0,1329.0532,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
15,-2338.0108,-714.69726,210.45442,1026.3567,4466.1661,-622.31932,-5000.0,5000.0,3480.3933,-5000.0,5000.0,1935.5519,-5000.0,5000.0,5000.0,-656.41054,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
16,-2227.3077,-2668.2524,-1552.6608,-2646.9828,-4958.3595,5000.0,3170.6491,-1649.2428,-5000.0,-5000.0,5000.0,-2367.4274,-5000.0,1941.1467,-5000.0,5000.0,-449.56335,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
17,-2186.8957,-3090.151,-3840.9124,-2043.3653,-4530.3973,5000.0,2531.7329,-1947.9658,-5000.0,5000.0,-1530.6526,-5000.0,-5000.0,1653.6931,-5000.0,4665.221,-518.39097,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
18,-2093.5961,-2292.3504,-3536.8236,-2400.202,-5000.0,5000.0,1425.8499,-3644.7286,2468.9945,-5000.0,5000.0,-2606.4741,-5000.0,5000.0,-35.56434,-5000.0,23.842426,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
19,-2373.3418,-2097.581,-624.47612,-159.39904,369.82477,-5000.0,1185.5962,-5000.0,5000.0,5000.0,4026.2436,-5000.0,5000.0,3539.7557,-5000.0,5000.0,-1615.2449,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
20,-2462.7483,-4534.1361,-4024.6793,-2361.706,-5000.0,434.42529,-5000.0,-5000.0,5000.0,-4722.5672,-5000.0,5000.0,-3240.0207,5000.0,-4456.0479,-5000.0,1499.387,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
21,-2452.1788,-2979.7001,-3431.5297,179.88427,5000.0,449.97556,-5000.0,5000.0,5000.0,4237.3201,-5000.0,5000.0,5000.0,-3416.7212,5000.0,-1540.1519,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
22,-2349.9784,-4895.4885,-2800.7357,-825.97611,5000.0,-231.76612,1038.7221,-5000.0,3491.2363,-5000.0,3694.2433,-5000.0,5000.0,3394.9316,-5000.0,-5000.0,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
23,-2233.472,-4635.6742,-3678.5686,-1165.2856,5000.0,756.93269,-2582.0917,-5000.0,5000.0,-2258.3194,5000.0,5000.0,-806.2887,-5000.0,-5000.0,500.14615,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
24,-2190.0884,-4538.9269,-2256.428,-95.186298,-4503.6589,-5000.0,-5000.0,5000.0,1775.8488,-5000.0,2082.3733,-5000.0,-5000.0,5000.0,-1615.0344,-5000.0,-414.43952,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
25,-2250.7957,-4674.3068,-3312.16,-1355.07,-5000.0,5000.0,1483.1012,-1342.12,-5000.0,5000.0,5000.0,5000.0,-1040.6335,-5000.0,5000.0,626.60982,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
26,-2366.5326,-4932.405,-1415.1617,2305.8552,5000.0,-368.2543,5000.0,-1121.3294,-5000.0,5000.0,-3316.4181,-5000.0,2494.5597,-5000.0,5000.0,-940.81314,843.87654,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
27,-2445.5816,-5000.0,-1575.2291,570.9842,1088.8342,-5000.0,5000.0,5000.0,4658.6817,-5000.0,5000.0,-4858.2792,-5000.0,-5000.0,5000.0,5000.0,1565.3553,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
28,-2423.4273,-5000.0,-3261.0065,42.993781,-5000.0,5000.0,1623.009,-5000.0,-5000.0,-5000.0,5000.0,2883.0051,-5000.0,-5000.0,5000.0,5000.0,1370.957,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
29,-2311.9053,-4810.5837,-1444.8577,1636.5378,-5000.0,5000.0,901.6221,5000.0,5000.0,5000.0,3325.8429,-5000.0,-5000.0,5000.0,5000.0,-523.85216,492.92055,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
30,-2190.2187,-4539.2175,-1087.5403,2248.4058,-4428.4898,5000.0,2100.8104,-2296.3673,-5000.0,5000.0,-1449.6259,425.79201,-5000.0,1597.438,-5000.0,4632.4191,-416.41878,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
31,-2144.662,-4437.6241,67.057604,2199.0086,5000.0,5000.0,5000.0,957.90238,-1786.8159,-5000.0,1503.3281,-5000.0,5000.0,1097.434,-5000.0,-254.72293,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
32,-2202.9485,-4567.6053,-2181.8229,2262.2087,-988.16511,-5000.0,2899.0111,-1674.9205,-5000.0,5000.0,5000.0,566.23366,-5000.0,5000.0,-1769.6585,-5000.0,-332.46102,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
33,-2313.1477,-4813.3543,-887.8504,2381.698,-5000.0,5000.0,934.59681,-4660.0857,-5000.0,5000.0,3404.8173,-5000.0,1901.2561,-5000.0,5000.0,-472.4835,519.37718,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
34,-2383.2704,-4969.7309,-891.71268,2457.7322,556.61967,-5000.0,5000.0,-1288.394,3898.61,-5000.0,5000.0,5000.0,2635.3712,-5000.0,985.53277,-5000.0,1083.2201,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
35,-2351.3586,-2266.5966,-165.08008,2423.1302,4677.5296,-707.09014,-5000.0,5000.0,443.42552,-5000.0,5000.0,-3837.0276,5000.0,-2292.6837,-5000.0,5000.0,-1435.1301,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
36,-2232.7118,-4633.9789,-1697.5822,1460.1818,-4951.5294,-5000.0,-150.0613,-5000.0,5000.0,5000.0,2609.7353,-5000.0,-5000.0,-5000.0,-94.137226,-5000.0,-97.490529,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
37,-2108.2878,-4356.508,-2052.2006,1932.608,-3784.2227,5000.0,2960.5682,5000.0,2533.5666,663.43193,-5000.0,5000.0,5000.0,8.8761549,-5000.0,5000.0,5000.0,4765.0123,1500.0,1500.0,1500.0,1500.0,1500.0
38,-2063.1115,-4255.7629,-76.091371,2110.5832,5000.0,5000.0,3304.5276,40.379698,5000.0,-338.56081,5000.0,5000.0,963.95228,-3627.3915,-5000.0,2709.081,-1287.177,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
39,-2121.588,-4386.168,743.13951,2173.9894,4404.8388,995.72631,-1199.4509,-5000.0,-5000.0,5000.0,5000.0,-1430.9844,156.77461,-5000.0,5000.0,1028.7042,-3395.4884,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
40,-2228.9763,-4625.6485,1159.685,2290.4307,-4969.0169,-5000.0,3403.0015,-1470.0758,-5000.0,-5000.0,5000.0,-2510.4723,-5000.0,5000.0,5000.0,5000.0,-427.05271,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
41,-2293.129,-4768.7119,-1321.0132,2359.9917,-5000.0,4325.1137,562.53065,-5000.0,5000.0,5000.0,-2586.0681,1432.8772,-5000.0,5000.0,-2759.9028,5000.0,-821.63898,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
42,-2254.7163,-4683.0499,1017.6329,2318.3407,5000.0,497.75943,5000.0,-126.75485,2454.9075,-5000.0,-5000.0,-5000.0,5000.0,2380.9789,-5000.0,-5000.0,162.15752,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
43,-2132.4613,-4410.4159,-5000.0,-1555.3956,5000.0,1680.2051,-569.84142,-4607.8211,5000.0,960.32849,-5000.0,-5000.0,5000.0,-303.70317,3624.2464,-364.75923,-5000.0,4880.0567,1500.0,1500.0,1500.0,1500.0,1500.0
44,-2008.9431,-4134.9651,-2286.794,-1208.0499,-2818.011,703.41862,-406.69203,-3284.5247,-5000.0,4995.471,206.15701,-5000.0,5000.0,941.89168,1580.7096,-1425.92,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
45,-1967.7772,-3067.8791,648.39467,1027.79,-2456.2404,-4430.7207,5000.0,5000.0,3796.1256,-393.29067,-4618.5577,-2109.4267,-5000.0,-769.23859,-5000.0,5000.0,1637.0571,-1276.8863,1500.0,1500.0,1500.0,1500.0,1500.0
46,-2030.0057,-3027.1731,817.86308,296.52861,5000.0,2537.3031,1220.1719,-1783.7039,-3624.3991,-18.07782,-5000.0,5000.0,5000.0,654.40727,2074.63,-1134.3841,-5000.0,3906.508,1500.0,1500.0,1500.0,1500.0,1500.0
47,-2138.1339,-4423.0661,-1370.815,969.37018,-4188.5065,-5000.0,1845.2924,-2244.0726,-5000.0,5000.0,-1087.7479,5000.0,370.36032,1169.5352,-5000.0,5000.0,255.71268,4961.7261,1500.0,1500.0,1500.0,1500.0,1500.0
48,-2199.9658,-2069.4887,-1399.7818,-218.44507,5000.0,1069.8981,5000.0,5000.0,5000.0,1726.804,-5000.0,5000.0,-277.73263,5000.0,-1714.9911,253.31669,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
49,-2158.8623,-3776.0702,-1387.4915,-1047.9763,5000.0,1442.263,-1057.2372,5000.0,2193.9557,5000.0,-1212.214,-5000.0,559.15049,-5000.0,5000.0,777.80593,-4178.117,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
50,-2036.9227,-2557.0871,-1569.1224,-869.09051,-1136.6214,-3540.4065,-5000.0,-3138.4144,-5000.0,5000.0,5000.0,-376.11804,-3999.1455,-5000.0,-1788.9062,-5000.0,5000.0,4018.5151,1500.0,1500.0,1500.0,1500.0,1500.0
51,-1918.2092,-1789.0033,989.30072,344.33977,3409.0734,1905.6192,1514.9691,-381.89132,-1351.5576,-5000.0,-5000.0,5000.0,2597.0004,1146.9149,-2584.4151,-5000.0,5000.0,2517.3941,1500.0,1500.0,1500.0,1500.0,1500.0
52,-1884.7882,-3858.0943,-1636.1438,1266.8232,-1644.4734,-2842.2036,-2957.5087,-4639.2251,5000.0,1548.129,-1874.6836,3315.8543,1261.8213,-1679.954,-5000.0,5000.0,5000.0,2718.7658,1500.0,1500.0,1500.0,1500.0,1500.0
53,-1954.2887,-3042.3823,-2459.9014,-2005.0922,-2292.7328,-4036.6968,5000.0,2582.6902,1377.2411,-2749.0579,-5000.0,5000.0,2739.0181,-948.15942,-5000.0,-1700.2872,-5000.0,3382.5388,1500.0,1500.0,1500.0,1500.0,1500.0
54,-2066.5228,-3038.1758,-2379.4091,-2094.3244,-3470.4119,-5000.0,5000.0,1624.7144,-353.88316,-5000.0,5000.0,3628.6835,-327.73743,-5000.0,-1517.3019,-5000.0,5000.0,4246.9837,1500.0,1500.0,1500.0,1500.0,1500.0
55,-2129.3567,-3537.5275,-3697.9087,-2828.149,-3945.4914,-5000.0,5000.0,5000.0,2479.3452,-3564.4417,5000.0,-1297.6442,5000.0,-274.34416,-5000.0,-5000.0,5000.0,4796.2371,1500.0,1500.0,1500.0,1500.0,1500.0
56,-2088.9029,-4313.2789,-3709.1662,-2919.0103,-3613.4541,495.4011,-1455.4548,-5000.0,5000.0,-633.56604,5000.0,-865.07968,-34.384916,-5000.0,5000.0,3191.7292,-1229.9364,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
57,-1970.5869,-4049.4291,-2367.7909,-1512.8972,-2377.6047,-574.46012,-1327.0014,-3778.6768,-5000.0,3899.1416,-405.71356,-5000.0,5000.0,1215.5616,1243.5683,-1587.0297,-5000.0,3482.8188,1500.0,1500.0,1500.0,1500.0,1500.0
58,-1859.8173,-2796.6125,-3051.9315,-2862.9903,-1314.325,-2217.5758,-2071.3845,-3510.1409,-3896.331,-1835.908,-5000.0,-5000.0,-5000.0,5000.0,5000.0,3059.4956,4469.7708,2470.1082,1500.0,1500.0,1500.0,1500.0,1500.0
59,-1836.9788,-3751.4772,-2552.6799,-1589.2168,-1072.4263,-1923.591,-1530.0257,5000.0,4836.5037,1888.583,-1055.134,-4162.3042,5000.0,3756.3307,1045.1288,-814.24568,-3032.0995,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
60,-1916.2459,-3928.2463,-3851.091,-609.85195,-1836.2475,5000.0,4610.3788,2658.2842,5000.0,2777.6702,-984.00098,-5000.0,-5000.0,5000.0,1336.8728,-1061.2963,-3971.0102,3124.4519,1500.0,1500.0,1500.0,1500.0,1500.0
61,-2034.8085,-4192.6461,-4457.4298,-1659.6414,3989.2598,1453.1581,-55.698238,-3145.5036,-5000.0,5000.0,34.28069,5000.0,1299.7096,-2955.244,2268.5012,-1094.1238,-5000.0,4073.9767,1500.0,1500.0,1500.0,1500.0,1500.0
62,-2100.7117,-4339.613,-3903.6204,-669.66517,-3628.0958,-5000.0,-5000.0,5000.0,5000.0,-732.71419,-5000.0,4362.9305,35.575368,-5000.0,-5000.0,5000.0,625.11345,-3195.51,1500.0,1500.0,1500.0,1500.0,1500.0
63,-2062.8838,-3843.974,-4180.4369,-2697.849,5000.0,2260.2144,474.92124,-2785.3598,-4786.1396,-5000.0,524.2062,-5000.0,5000.0,308.98426,5000.0,1414.8142,-1469.1018,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
64,-1950.0296,-4003.5854,-3591.742,-2119.2212,-2148.2176,-3933.5697,5000.0,4406.064,3240.6287,-975.38105,-5000.0,5000.0,2203.1602,-1307.9483,-5000.0,-5000.0,-5000.0,3417.5441,1500.0,1500.0,1500.0,1500.0,1500.0
65,-1848.7737,-3777.7805,-3718.0554,-933.57454,-1117.9653,-2043.2612,-1800.4848,-3033.7099,4631.5784,1511.5464,-1639.5404,-5000.0,5000.0,2494.0992,-428.23176,-2379.4374,4489.0564,2517.1087,1500.0,1500.0,1500.0,1500.0,1500.0
66,-1837.6973,-3753.0794,-292.01677,1866.166,-1042.7946,-1824.9603,-1525.1359,5000.0,4691.5839,1693.2231,-227.75592,-3394.7869,-5000.0,-5000.0,5000.0,3247.1526,1000.526,2453.7279,1500.0,1500.0,1500.0,1500.0,1500.0
67,-1927.4941,-3953.3302,-2251.6465,1963.5329,-1846.1732,-3465.4872,5000.0,3043.363,5000.0,1015.2535,-841.26697,-5000.0,5000.0,1796.0791,-1997.5453,-4551.5452,5000.0,3279.6857,1500.0,1500.0,1500.0,1500.0,1500.0
68,-2052.8155,-4232.8023,-3108.6246,-1384.4557,5000.0,5000.0,3330.3786,236.61118,-1681.5629,5000.0,-71.702775,3490.2109,-462.28472,-5000.0,-5000.0,5000.0,1051.756,-2400.8909,1500.0,1500.0,1500.0,1500.0,1500.0
69,-2122.0123,-4387.1142,-2123.891,2174.4494,-3739.73,5000.0,2663.9581,3680.5752,1035.3877,-5000.0,5000.0,-414.35684,-5000.0,5000.0,-945.52001,-478.15855,-5000.0,4797.7235,1500.0,1500.0,1500.0,1500.0,1500.0
70,-2086.8991,-4308.8104,-2039.6901,1578.4018,3387.1199,409.61509,-1525.6786,-5000.0,5000.0,-735.75394,938.24764,-5000.0,5000.0,188.8011,-5000.0,-5000.0,5000.0,4604.5211,1500.0,1500.0,1500.0,1500.0,1500.0
71,-1979.4193,-4069.1256,-1506.5533,2019.8355,-2499.511,-4687.9807,-2546.672,-5000.0,-564.56856,-5000.0,5000.0,5000.0,1885.2746,5000.0,689.59575,-1593.1548,-5000.0,3735.9963,1500.0,1500.0,1500.0,1500.0,1500.0
72,-1887.2923,-3863.6784,-83.758163,1919.9419,-1517.9876,5000.0,5000.0,3373.9256,5000.0,1516.5852,-1874.2471,-5000.0,5000.0,2249.3077,5000.0,2794.9694,186.37479,-2145.0211,1500.0,1500.0,1500.0,1500.0,1500.0
73,-1887.1872,-3863.4441,342.95023,1919.828,5000.0,3681.7235,3612.1089,2056.3614,1344.2293,-2096.6697,-5000.0,5000.0,2883.7123,0.032909306,5000.0,5000.0,2409.8169,2881.3985,1500.0,1500.0,1500.0,1500.0,1500.0
74,-1986.3067,-4084.4848,-995.25653,2027.3035,-2469.5906,-1540.5014,-2468.0951,-5000.0,5000.0,554.15564,3028.9758,-1852.2579,-5000.0,-562.08954,-5000.0,-5000.0,5000.0,3687.6376,1500.0,1500.0,1500.0,1500.0,1500.0
75,-2116.8622,-4375.6292,-1215.0217,2168.8652,-3838.092,5000.0,2836.0679,3488.8515,904.67618,-5000.0,5000.0,-1379.599,-5000.0,5000.0,3266.5065,-669.16756,-5000.0,4836.472,1500.0,1500.0,1500.0,1500.0,1500.0
76,-2187.6476,-4533.4838,-928.71219,1670.303,-4534.0416,-5000.0,5000.0,5000.0,1807.738,-4921.4987,-5000.0,-5000.0,-5000.0,5000.0,-1692.7512,-51.54723,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
77,-2153.4411,-4457.2017,-4586.1371,-2051.777,-4279.3273,-5000.0,5000.0,5000.0,2139.1573,1053.4867,-5000.0,2.700859,-5000.0,5000.0,-688.45609,-5000.0,-667.76876,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
78,-2049.3897,-4225.1626,-1416.7845,2080.3857,-3193.3603,-3541.99,-5000.0,-5000.0,5000.0,-282.53074,5000.0,-589.27982,-4389.5349,5000.0,-236.63686,5000.0,1101.6172,4309.9658,1500.0,1500.0,1500.0,1500.0,1500.0
79,-1964.1955,-4035.1761,1831.3842,2003.3283,5000.0,2980.8217,2284.1194,-91.9779,-1345.5587,3799.5717,-344.06927,-5000.0,5000.0,1307.7111,3807.466,1135.2162,-2088.2505,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
80,-1972.5205,-4053.7412,2134.7349,2012.3552,-2515.2436,-4205.9169,-5000.0,-5000.0,-5000.0,5000.0,2764.2554,-2045.866,-5000.0,5000.0,646.14506,-2102.005,-5000.0,3527.563,1500.0,1500.0,1500.0,1500.0,1500.0
81,-2078.0802,-4289.1437,-87.826931,1540.3634,-1952.2211,-5000.0,-1527.8503,-5000.0,5000.0,5000.0,-332.09251,3754.1732,-259.15317,-5000.0,-5000.0,5000.0,855.41201,-2989.1455,1500.0,1500.0,1500.0,1500.0,1500.0
82,-2210.7575,-4585.0198,-4910.4936,-2493.7111,-4765.1525,5000.0,1942.3783,-2759.706,5000.0,-1917.9733,2367.6316,-5000.0,5000.0,-1015.4752,-5000.0,-5000.0,-127.07002,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
83,-2279.9351,-4739.289,-289.811,1709.2665,3397.3949,-1338.708,-5000.0,5000.0,1062.5513,2430.3804,-5000.0,-5000.0,5000.0,2734.6744,-5000.0,5000.0,-866.1642,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
84,-2243.4363,-4657.895,2138.8417,1470.2726,-578.29787,-5000.0,-5000.0,5000.0,5000.0,5000.0,-2048.5585,896.97447,-5000.0,-5000.0,5000.0,53.014541,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
85,-2139.5805,-4426.2922,674.42368,2193.4987,-4133.9919,-5000.0,-5000.0,5000.0,2215.8469,-3932.5093,-5000.0,-5000.0,5000.0,1215.2341,-5000.0,3967.8456,-723.8103,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
86,-2057.9461,-4244.2439,-514.37331,960.94061,-2203.2678,-5000.0,-5000.0,-5000.0,5000.0,-209.35565,-5000.0,5000.0,1188.9777,257.3743,-5000.0,-872.92962,-5000.0,4312.5454,1500.0,1500.0,1500.0,1500.0,1500.0
87,-2071.1018,-4273.5815,-3401.2834,-1304.7526,5000.0,2191.1942,514.4289,-2869.9511,-5000.0,5000.0,-316.06473,5000.0,1058.596,4005.9257,-1477.1288,-5000.0,-5000.0,4356.6285,1500.0,1500.0,1500.0,1500.0,1500.0
88,-2179.2909,-4514.848,-3166.1461,-346.96326,-4464.9155,-2279.6467,-5000.0,-5000.0,5000.0,-1607.6253,-5000.0,5000.0,5000.0,-714.28241,-5000.0,4681.6706,-378.85801,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
89,-2310.1882,-4806.7546,-1752.22,-96.180015,-162.30407,-5000.0,584.61787,-5000.0,2924.0954,-5000.0,5000.0,-3322.2168,2004.7021,-5000.0,5000.0,5000.0,-1019.8122,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
90,-2373.9143,-1295.8793,446.372,394.62461,5000.0,-456.88074,5000.0,-456.04759,-5000.0,-5000.0,5000.0,-3982.133,-5000.0,5000.0,5000.0,-745.53088,1097.6366,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
91,-2331.4183,1032.3514,-668.30308,-1678.6776,5000.0,63.502635,-4193.4797,-5000.0,3238.8094,-5000.0,-5000.0,5000.0,-1794.7168,5000.0,-3161.5607,-5000.0,662.47273,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
92,-2224.1593,-4614.9064,-3220.8768,-538.43154,5000.0,926.21629,-167.50519,-5000.0,5000.0,1964.5691,-5000.0,5000.0,-589.21542,-5000.0,5000.0,423.94172,-69.994203,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
93,-2142.486,-1360.0337,-617.63912,-433.3691,-1567.2374,-5000.0,1777.3824,-2261.6653,-5000.0,5000.0,1574.1485,-5000.0,-5000.0,5000.0,-1099.4521,-5000.0,5000.0,710.98711,1500.0,1500.0,1500.0,1500.0,1500.0
94,-2156.7925,-3821.6208,-605.14299,-549.34306,-4322.1742,5000.0,2377.644,-1790.877,-4540.6542,5000.0,1668.0257,-5000.0,633.19047,-5000.0,5000.0,838.58185,-4019.4327,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
95,-2263.8704,1190.5529,3238.365,2328.2665,2869.3606,-1458.6994,-5000.0,5000.0,5000.0,-2521.05,-5000.0,5000.0,1652.9635,-5000.0,5000.0,-86.246434,172.45191,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
96,-2389.3087,-786.4842,16.304118,-78.132675,-5000.0,-324.70072,-5000.0,-5000.0,5000.0,-3955.0058,4116.6009,-5000.0,5000.0,3814.063,-5000.0,-5000.0,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
97,-2444.1128,1706.3407,1946.6245,-955.72854,-5000.0,5000.0,-212.70563,-5000.0,-5000.0,5000.0,5000.0,-4758.0079,3280.7348,-5000.0,1478.7937,-5000.0,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
98,-2050.759,-1235.6675,-727.91443,-1410.4874,484.79517,-5000.0,-5000.0,5000.0,5000.0,3736.7776,-5000.0,5000.0,-2456.6917,5000.0,5000.0,-1020.4636,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
99,-1633.9614,-1185.9917,-1641.5612,-1972.6808,-556.17654,-5000.0,5000.0,-414.20364,5000.0,5000.0,2938.1979,-5000.0,5000.0,-1805.9017,219.27915,-5000.0,-5000.0,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
