rep,cell_ids,num_presented_peptides,num_mutations
2,15,28,3
2,16,28,2
2,17,22,5
2,18,38,4
2,19,24,4
2,20,34,6
2,21,21,1
2,22,28,4
2,23,35,3
2,24,25,5
2,25,25,4
2,26,31,2
2,27,22,4
2,28,32,5
2,29,27,4
2,30,35,3
2,31,24,7
2,32,29,4
2,33,20,1
2,34,29,5
2,35,41,3
2,36,28,5
2,37,29,4
2,38,30,3
2,39,28,2
2,40,32,7
2,41,25,2
2,42,20,4
2,43,26,2
2,44,30,3
2,45,38,5
2,46,26,4
2,47,25,3
2,48,30,3
2,49,29,6
2,50,33,5
2,51,39,2
2,52,22,3
2,53,23,2
2,54,30,3
2,55,31,4
2,56,27,3
2,57,31,4
2,58,28,4
2,59,29,2
2,60,33,4
2,61,2,1
2,62,29,6
2,63,27,4
2,64,24,4
2,65,28,3
2,66,28,2
2,67,16,3
2,68,24,4
2,69,22,4
2,70,24,5
2,71,31,6
2,72,28,2
2,73,19,2
2,74,19,7
2,75,26,5
2,76,29,6
2,77,30,4
2,78,24,5
2,79,24,2
2,80,30,3
2,81,18,4
2,82,24,2
2,83,39,4
2,84,29,3
2,85,36,3
2,86,27,4
2,87,27,3
2,88,23,2
2,89,28,4
2,90,25,6
2,91,32,4
2,92,31,2
2,93,29,3
2,94,24,2
2,95,34,5
2,96,20,2
2,97,27,6
2,98,25,2
2,99,34,2
3,0,34,4
3,1,38,4
3,2,28,3
3,3,36,2
3,4,26,5
3,5,24,5
3,6,22,2
3,7,41,5
3,8,27,5
3,9,36,4
3,10,26,3
3,11,32,4
3,12,32,5
3,13,27,2
3,14,34,4
3,15,26,4
3,16,33,3
3,17,21,4
3,18,30,4
3,19,23,2
3,20,23,4
3,21,25,5
3,22,24,3
3,23,35,5
3,24,22,5
3,25,29,2
3,26,26,5
3,27,29,3
3,28,22,4
3,29,26,5
3,30,26,3
3,31,18,5
3,32,34,3
3,33,33,4
3,34,35,7
3,35,21,3
3,36,19,5
3,37,31,5
3,38,24,3
3,39,13,4
3,40,31,3
3,41,19,4
3,42,34,2
3,43,26,2
3,44,36,4
3,45,28,6
3,46,26,3
3,47,19,3
3,48,30,4
3,49,34,4
3,50,22,3
3,51,37,5
3,52,31,4
3,53,32,2
3,54,33,3
3,55,32,3
3,56,27,8
3,57,31,3
3,58,27,3
3,59,25,4
3,60,28,4
3,61,27,4
3,62,23,2
3,63,28,6
3,64,29,4
3,65,30,7
3,66,28,5
3,67,24,4
3,68,24,5
3,69,31,3
3,70,2,1
3,71,31,5
3,72,31,6
3,73,23,4
3,74,21,4
3,75,25,4
3,76,29,3
3,77,24,6
3,78,14,5
3,79,34,5
3,80,28,5
3,81,23,3
3,82,34,2
3,83,30,3
3,84,38,4
3,85,18,3
3,86,24,3
3,87,22,4
3,88,37,5
3,89,31,4
3,90,26,3
3,91,42,5
3,92,30,5
3,93,27,6
3,94,27,4
3,95,21,4
3,96,29,4
3,97,33,5
3,98,31,4
3,99,33,5
4,0,30,5
4,1,24,3
4,2,27,3
4,3,35,3
4,4,14,2
4,5,24,5
4,6,34,4
4,7,32,4
4,8,27,4
4,9,24,4
4,10,28,4
4,11,25,3
4,12,32,2
4,13,26,4
4,14,28,4
4,15,31,3
4,16,42,7
4,17,23,5
4,18,19,5
4,19,22,3
4,20,31,6
4,21,26,2
4,22,20,5
4,23,20,4
4,24,27,3
4,25,27,2
4,26,31,2
4,27,31,6
4,28,19,4
4,29,36,4
4,30,27,6
4,31,31,5
4,32,34,5
4,33,30,3
4,34,32,5
4,35,27,5
4,36,24,4
4,37,30,4
4,38,24,4
4,39,24,3
4,40,13,2
4,41,31,6
4,42,24,3
4,43,36,4
4,44,27,3
4,45,26,5
4,46,32,3
4,47,23,2
4,48,26,4
4,49,29,2
4,50,26,2
4,51,26,5
4,52,35,3
4,53,31,5
4,54,27,5
4,55,21,3
4,56,34,5
4,57,24,3
4,58,27,4
4,59,22,5
4,60,26,5
4,61,25,5
4,62,35,3
4,63,29,3
4,64,32,4
4,65,30,4
4,66,24,4
4,67,27,4
4,68,35,3
4,69,15,5
4,70,18,2
4,71,28,5
4,72,30,4
4,73,20,3
4,74,24,4
4,75,18,1
4,76,24,4
4,77,36,5
4,78,23,4
4,79,23,3
4,80,34,3
4,81,26,8
4,82,29,4
4,83,25,4
4,84,26,5
4,85,30,5
4,86,35,2
4,87,28,5
4,88,20,5
4,89,28,3
4,90,29,5
4,91,31,4
4,92,20,3
4,93,29,4
4,94,32,4
4,95,35,3
4,96,32,5
4,97,28,6
4,98,19,4
4,99,26,5
5,0,27,2
5,1,29,3
5,2,37,6
5,3,37,6
5,4,38,5
5,5,33,3
5,6,26,4
5,7,29,3
5,8,37,5
5,9,28,4
5,10,32,4
5,11,28,5
5,13,27,4
5,14,33,5
5,15,27,3
5,16,28,3
5,17,30,6
5,18,22,4
5,19,22,3
5,20,39,4
5,21,25,2
5,22,30,4
5,23,31,4
5,24,25,5
5,25,23,2
5,26,24,4
5,27,30,3
5,28,31,2
5,29,28,3
5,30,28,6
5,31,39,5
5,32,35,3
5,33,22,4
5,34,28,4
5,35,29,4
5,36,34,4
5,37,21,4
5,38,34,4
5,39,22,4
5,40,24,4
5,41,25,5
5,42,37,3
5,43,36,4
5,44,31,3
5,45,22,4
5,46,41,5
5,47,30,3
5,48,24,5
5,49,35,5
5,50,30,4
5,51,36,2
5,52,30,2
5,53,31,6
5,54,26,3
5,55,27,3
5,56,27,3
5,57,31,3
5,58,29,5
5,59,36,5
5,60,30,4
5,61,27,3
5,62,33,3
5,63,29,2
5,64,18,2
5,65,30,5
5,66,23,5
5,67,28,2
5,68,29,4
5,69,23,3
5,70,29,3
5,72,21,4
5,73,30,4
5,74,28,4
5,75,29,4
5,76,29,5
5,77,16,3
5,78,25,3
5,79,12,4
5,80,24,4
5,81,32,5
5,82,24,4
5,83,25,3
5,84,26,5
5,85,27,6
5,86,33,6
5,87,40,5
5,88,30,5
5,89,35,6
5,90,32,3
5,91,25,4
5,92,37,3
5,93,25,5
5,94,34,4
5,95,21,5
5,96,29,3
5,97,24,4
5,98,24,5
5,99,36,5
6,0,22,2
6,1,21,6
6,2,30,3
6,3,25,4
6,4,31,7
6,5,33,4
6,6,33,6
6,7,36,1
6,8,32,5
6,9,21,3
6,10,21,4
6,11,27,2
6,12,28,6
6,13,39,5
6,14,27,6
6,15,35,4
6,16,31,6
6,17,28,3
6,18,21,3
6,19,26,5
6,20,30,5
6,21,20,4
6,22,7,2
6,23,26,5
6,24,23,5
6,25,33,5
6,26,26,3
6,27,36,6
6,28,30,4
6,29,28,3
6,30,23,3
6,31,26,7
6,32,25,2
6,33,32,2
6,34,34,3
6,35,31,6
6,36,24,1
6,37,28,3
6,38,26,2
6,39,23,3
6,40,24,3
6,41,31,3
6,42,24,4
6,43,31,6
6,44,28,4
6,45,35,6
6,46,31,5
6,47,34,4
6,48,34,2
6,49,27,4
6,50,36,7
6,51,35,3
6,52,31,2
6,53,21,3
6,54,25,4
6,55,31,5
6,56,29,5
6,57,41,5
6,58,45,5
6,59,35,5
6,60,28,4
6,61,33,2
6,62,30,4
6,63,26,6
6,64,23,5
6,65,29,5
6,66,24,2
6,67,30,6
6,68,23,5
6,69,32,4
6,70,24,4
6,71,29,5
6,72,36,4
6,73,38,3
6,74,28,4
6,75,32,3
6,76,26,2
6,77,27,6
6,78,28,6
6,79,28,4
6,80,28,3
6,81,22,4
6,82,37,6
6,83,24,4
6,84,23,4
6,85,28,4
6,86,18,1
6,87,30,3
6,88,19,4
6,89,29,3
6,90,27,3
6,91,33,3
6,92,34,5
6,93,19,4
6,94,29,4
6,95,30,4
6,96,31,6
6,97,25,5
6,98,29,4
6,99,25,4
7,0,23,5
7,1,29,4
7,2,33,4
7,3,28,4
7,4,33,3
7,5,21,4
7,6,35,5
7,7,27,5
7,8,22,4
7,9,32,4
7,10,36,3
7,11,24,4
7,12,28,3
7,13,35,4
7,14,26,5
7,15,34,7
7,16,27,6
7,17,28,1
7,18,31,4
7,19,29,4
7,20,21,4
7,21,29,5
7,22,29,6
7,23,24,2
7,24,30,2
7,25,22,4
7,26,22,3
7,27,28,5
7,28,32,5
7,29,23,4
7,30,28,4
7,31,20,4
7,32,28,4
7,33,27,3
7,34,29,3
7,35,24,3
7,36,18,2
7,37,35,5
7,38,26,4
7,39,36,4
7,40,31,6
7,41,25,3
7,42,37,6
7,43,21,3
7,44,28,5
7,45,33,4
7,46,37,2
7,47,27,5
7,48,19,2
7,49,30,3
7,50,39,4
7,51,25,5
7,52,34,7
7,53,30,5
7,54,28,5
7,55,37,2
7,56,25,4
7,57,29,6
7,58,38,5
7,59,36,4
7,60,32,3
7,61,27,4
7,62,23,4
7,63,26,4
7,64,30,6
7,65,30,4
7,66,32,6
7,67,24,7
7,68,32,4
7,69,28,3
7,70,38,5
7,71,33,3
7,72,35,2
7,73,33,4
7,74,30,3
7,75,33,4
7,76,28,3
7,77,35,6
7,78,25,3
7,79,30,4
7,80,29,4
7,81,37,6
7,82,25,2
7,83,28,5
7,84,38,4
7,85,25,4
7,86,36,4
7,87,38,5
7,88,26,4
7,89,26,3
7,90,28,3
7,91,31,3
7,92,23,4
7,93,25,4
7,94,32,5
7,95,37,4
7,96,23,4
7,97,21,5
7,98,30,3
7,99,35,4
8,0,23,3
8,1,31,7
8,2,21,5
8,3,26,1
8,4,25,4
8,5,33,2
8,6,27,4
8,7,22,5
8,8,20,3
8,9,33,7
8,10,26,4
8,11,21,4
8,12,35,2
8,13,34,4
8,14,20,5
8,15,26,4
8,16,27,6
8,17,33,2
8,18,33,2
8,19,20,4
8,20,34,3
8,21,24,3
8,22,39,3
8,23,28,3
8,24,32,5
8,25,37,3
8,26,37,5
8,27,31,4
8,28,20,4
8,29,22,1
8,30,21,5
8,31,24,3
8,32,35,6
8,33,19,5
8,34,29,5
8,35,27,3
8,36,27,3
8,38,27,3
8,39,2,1
8,40,24,3
8,41,26,3
8,42,30,2
8,43,23,4
8,44,35,5
8,45,33,4
8,46,26,4
8,47,46,5
8,48,25,5
8,49,32,3
8,50,23,3
8,51,29,7
8,52,24,4
8,53,15,2
8,54,25,2
8,55,29,4
8,56,20,4
8,57,27,3
8,58,29,5
8,59,28,4
8,60,25,4
8,61,29,3
8,62,22,5
8,63,28,3
8,64,28,4
8,65,33,2
8,66,32,1
8,67,24,4
8,68,42,3
8,69,30,6
8,70,37,4
8,71,29,5
8,72,24,4
8,73,24,2
8,74,24,4
8,75,20,6
8,76,24,2
8,77,22,3
8,78,33,5
8,79,19,1
8,80,33,7
8,81,29,3
8,82,35,6
8,83,32,4
8,84,29,5
8,85,25,4
8,86,31,3
8,87,37,4
8,88,37,5
8,89,20,2
8,90,27,4
8,91,38,3
8,92,19,4
8,93,33,4
8,94,15,4
8,95,36,2
8,96,24,5
8,97,28,2
8,98,34,6
8,99,24,3
9,0,31,4
9,1,39,3
9,2,23,4
9,3,31,4
9,4,34,4
9,5,26,2
9,6,31,4
9,7,26,4
9,8,20,4
9,9,25,2
9,10,34,7
9,11,24,1
9,12,24,5
9,13,30,6
9,14,18,3
9,15,21,5
9,16,25,6
9,17,41,4
9,18,26,4
9,19,28,6
9,20,22,3
9,21,27,6
9,22,32,5
9,23,27,2
9,24,32,4
9,25,31,5
9,26,31,4
9,27,25,5
9,28,21,3
9,29,44,6
9,30,30,5
9,31,27,4
9,32,35,4
9,33,34,4
9,34,30,4
9,35,27,3
9,36,32,5
9,37,22,2
9,38,32,6
9,39,30,2
9,40,22,4
9,41,20,2
9,42,27,3
9,43,22,2
9,44,35,5
9,45,6,1
9,46,23,3
9,47,22,3
9,48,34,5
9,49,27,4
9,50,30,5
9,51,31,5
9,52,25,2
9,53,25,4
9,54,28,4
9,55,35,3
9,56,31,6
9,57,26,4
9,58,33,3
9,59,34,3
9,60,34,4
9,61,39,5
9,62,29,4
9,63,33,3
9,64,26,3
9,65,35,4
9,66,35,4
9,67,22,3
9,68,32,5
9,69,32,4
9,70,25,5
9,71,29,3
9,72,29,5
9,73,22,5
9,74,31,4
9,75,24,5
9,76,28,4
9,77,25,4
9,78,31,5
9,79,25,6
9,80,27,4
9,81,24,7
9,82,28,2
9,83,28,4
9,84,37,3
9,85,27,4
9,86,23,3
9,87,24,3
9,88,34,7
9,89,32,6
9,90,21,5
9,91,32,2
9,92,25,5
9,93,26,2
9,94,36,4
9,95,28,4
9,96,29,5
9,97,31,6
9,98,28,5
9,99,33,3
