ISO3,composite_risk_SSP245,composite_risk_SSP370,composite_risk_SSP585,n_points
QAT,0.36561217421327136,0.49406920547916333,0.5107508607655954,121
MYS,0.45404610069151435,0.505561004749016,0.5102634459254649,2405
IND,0.39372563667032223,0.48918445025477936,0.5100455063586988,2440
BHR,0.361349723484246,0.4925057157823273,0.5097412777906642,47
MMR,0.43663724176662455,0.5026967907131522,0.5096936323244354,2167
GUY,0.4610139543941341,0.5042298524737103,0.5081362134284441,198
KHM,0.4574848099884563,0.5038858917723772,0.5080913161149945,311
IRN,0.3595313859333768,0.4898160402625017,0.5075676375702828,214
YEM,0.4012363436074929,0.497233037431778,0.5063623837116545,71
PAN,0.442163045644349,0.5043361420382685,0.5062868573469292,793
GNB,0.438534321837161,0.49783757019190433,0.504806090167116,1221
DJI,0.4094857115042456,0.4962398815588228,0.5046264081272933,31
OMN,0.37924023735357865,0.49005306980399954,0.504101131303385,102
LKA,0.43971607396071866,0.4976439449596851,0.5031113438296412,402
COL,0.42541976244099844,0.5005630393285183,0.5026240114284847,970
SLV,0.43452277634520403,0.5006523468655301,0.5017757486504377,148
SEN,0.43929307378330357,0.4947236199206324,0.5014097307315769,708
KEN,0.44064881284302715,0.4991323517862197,0.5013548396045631,194
CRI,0.44085928867772783,0.4995153570024241,0.5006050330933886,222
AGO,0.445722827478847,0.49687053423980204,0.49945281708321243,266
COD,0.4431044414827542,0.4966932237295131,0.4994414454840395,73
COG,0.4447938814578667,0.49665614275598813,0.4994355723787922,91
NZL,0.4521473517940136,0.4972880969731875,0.4993596263364795,269
GAB,0.4427251597765574,0.496110542530945,0.49934630143595937,764
GNQ,0.43943325375828785,0.49559268530041034,0.4992367047608829,86
GHA,0.4506758256620685,0.4947895117195592,0.4992281464876499,188
NGA,0.4404179202148996,0.49497776541807686,0.499173111453241,3179
CMR,0.43322149827636414,0.49497603615012653,0.49912885379233857,931
BRN,0.4553730060480054,0.49623546277063374,0.49910410123307725,54
BEN,0.4444720166442962,0.49482313123445415,0.4991016452347108,45
TGO,0.4423079816398888,0.4943517272234525,0.4991016452347108,32
ZAF,0.45002686693990485,0.4965651430807892,0.4990836311531656,112
KIR,0.4578657866202486,0.4966113973967313,0.49906618826975424,13
SUR,0.4484217821722489,0.4948231312344541,0.49906163031671075,265
CIV,0.4461045561245687,0.4937288220790024,0.49905558089365976,274
GUF,0.45176139547460203,0.49482666513293194,0.4989727715085534,261
LBR,0.44559296266850534,0.4936228998595155,0.49896831299820016,266
SOM,0.4333936380702854,0.4954402040173747,0.4987931432062293,53
SLE,0.44492891799264955,0.4929611695964707,0.49878984968470547,687
GIN,0.43510886726768616,0.491775724385596,0.4985431554491393,882
PAK,0.33615759435263437,0.47252109553249194,0.49843379552267486,69
GMB,0.43050053182826403,0.49102388271770236,0.49830557842014217,267
MRT,0.4314743537122702,0.49027245771590344,0.49829902714854135,13
PER,0.36259183881078066,0.4952739179587009,0.49651787341785525,48
ECU,0.35940333292089044,0.4949637588929261,0.4964507632234703,678
BMU,0.4314743537122702,0.486701503211567,0.49393578250786285,14
