task_index,task,field,Haining,Will,Yasaman,LLM,human
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_Fourier_Transformation,0,2,0,"$\hat{\mathcal{H}}_0=\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)} c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger c_{\bm{k}_{\beta},l_{\beta},\tau}$","$c_{\tau,l}^\dagger(k)= \frac{1}{\sqrt{V}} \int dr \psi_{\tau,l}^\dagger(r) e^{i k \cdot r}$"
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_variable,2,2,2,$\bm{r}$,
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),entire_real|first_Brillouin_Zone,2,(?),2,entire real space,
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),second_nonint_symbol,2,2,2,$\hat{\mathcal{H}}_0$,
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),definition_of_variables,2,2,2,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent. $h^{(\tau)}$ is the Hamiltonian $H_{\tau}$ expanded in the plane-wave basis, and the momentum $\bm{k}$ is defined in the extended Brillouin zone that spans the full momentum space, i.e., $\bm{k} \in \mathbb{R}^2$. The subscripts $\alpha,\beta$ are index for momenta. Due to Bloch's theorem, $h_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}^{(\tau)}$ is nonzero only when $\bm{k}_{\alpha}-\bm{k}_{\beta}$ is equal to the linear combination of any multiples of one of the moir\'e reciprocal lattice vectors (including the zero vector).",
9,Particle-hole transformation,hole_op,2,2,2,"$b_{\bm{k},l,\tau}$",
9,Particle-hole transformation,particle_op,2,2,2,"$c_{\bm{k},l,\tau}^\dagger$",
9,Particle-hole transformation,particle_creation_op,2,2,2,"$c_{\bm{k},l,\tau}^\dagger$",
9,Particle-hole transformation,hole_creation_op,2,2,0,"$b_{\bm{k},l,\tau}$",
9,Particle-hole transformation,particle_annihilation_op,2,2,2,"$c_{\bm{k},l,\tau}$",
9,Particle-hole transformation,hole_annihilation_op,2,2,0,"$b_{\bm{k},l,\tau}^\dagger$",
9,Particle-hole transformation,second_nonint_symbol,2,2,2,$\hat{\mathcal{H}}_0$,
9,Particle-hole transformation,definition_of_variables,2,2,1,"The hole operator is defined as $b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$. The Hamiltonian in the hole basis is represented as $\hat{\mathcal{H}}_0$.",
10,Simplify the Hamiltonian in the particle-hole basis,second_nonint_symbol,2,2,2,$\hat{\mathcal{H}}_0$,
10,Simplify the Hamiltonian in the particle-hole basis,hole_op,2,2,2,"$b_{\bm{k},l,\tau}$",
10,Simplify the Hamiltonian in the particle-hole basis,index_1,2,2,2,$\bm{k}_{\alpha}$,
10,Simplify the Hamiltonian in the particle-hole basis,index_2,2,2,2,$\bm{k}_{\beta}$,
10,Simplify the Hamiltonian in the particle-hole basis,op,2,1,2,"$b_{\bm{k},l,\tau}$",
10,Simplify the Hamiltonian in the particle-hole basis,Ham_op,2,2,2,"$[h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}}$",
10,Simplify the Hamiltonian in the particle-hole basis,definition_of_variables,1,2,2,"$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$, and $\hat{\mathcal{H}}_0$ is defined as $\hat{\mathcal{H}}_0 = \sum_\tau\Tr h^{(\tau)}-\sum_{\bm{k}_{\alpha},\bm{k}_{\beta}}\sum_{l_{\alpha},l_{\beta}}\sum_{\tau} [h^{(\tau)}]^{\intercal}_{\bm{k}_{\alpha}l_{\alpha},\bm{k}_{\beta}l_{\beta}} b_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger b_{\bm{k}_{\beta},l_{\beta},\tau}$","$b_{\bm{k},l,\tau}=c_{\bm{k},l,\tau}^\dagger$"
11,Construct interaction Hamiltonian (momentum space),second_int_symbol,2,2,2,$\hat{\mathcal{H}}_{\text{int}}$,
11,Construct interaction Hamiltonian (momentum space),index_of_operator,0,0,0,,the valley index and layer index
11,Construct interaction Hamiltonian (momentum space),momentum,0,0,0,,momentum
11,Construct interaction Hamiltonian (momentum space),"For each operator, the total momentum is the sum of moire reciprocal lattice $b_i$ and momentum with in the first BZ $k_i$",2,(?),2,False,
11,Construct interaction Hamiltonian (momentum space),interaction,2,2,2,dual-gate screened Coulomb,
11,Construct interaction Hamiltonian (momentum space),int_form,2,2,2,2\pi e^2\tanh(|\bm{k}|d)/(\epsilon |\bm{k}|),
11,Construct interaction Hamiltonian (momentum space),normalization_factor,2,2,2,$\frac{1}{2A}$,
11,Construct interaction Hamiltonian (momentum space),op,2,(?),2,"$b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$, $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger$, $b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$, $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",
11,Construct interaction Hamiltonian (momentum space),definition_of_variables,2,2,2,"$\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momenta, $l_{\alpha},l_{\beta}$ are the indices of operators, $\tau_{\alpha},\tau_{\beta}$ are the spin indices, $V(\bm{k})$ is the dual-gate screened Coulomb interaction, $d$ is the sample-to-gate distance, and $\epsilon$ is the dielectric constant.",
12,Wick's theorem,second_int_symbol,2,2,2,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,
12,Wick's theorem,Hartree_Fock_symbol,2,2,2,$\hat{\mathcal{H}}^{\text{HF}}$,
12,Wick's theorem,definition_of_variables,2,2,2,"$\hat{\mathcal{H}}^{\text{HF}}$ is the Hartree-Fock Hamiltonian, $\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$ is the interaction term in the Hartree-Fock Hamiltonian, $\bm{k}_{\alpha},\bm{k}_{\beta},\bm{k}_{\gamma},\bm{k}_{\delta}$ are the momentum vectors, $l_{\alpha},l_{\beta}$ are the orbital quantum numbers, $\tau_{\alpha},\tau_{\beta}$ are the spin quantum numbers, $V(\bm{k}_{\alpha}-\bm{k}_{\delta})$ is the interaction potential, $b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger$ and $b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$ are the creation and annihilation operators, and $\langle{...}\rangle$ denotes the expectation value.",
13,Extract quadratic term,Hartree_Fock_term_symbol,2,2,2,"Hartree-Fock term symbol, denoted as $\hat{\mathcal{H}}^{\text{HF}}$",
13,Extract quadratic term,bilinear_op,2,2,2,"$b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$ and $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$",
13,Extract quadratic term,Hartree_Fock_second_quantized_symbol,2,2,2,$\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$,
13,Extract quadratic term,definition_of_variables,2,2,2,"$\hat{\mathcal{H}}^{\text{HF}}$ is the Hartree-Fock term symbol, $\hat{\mathcal{H}}_{\text{int}}^{\text{HF}}$ is the Hartree-Fock second quantized symbol, and $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$ and $b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$ are the bilinear operators.",
14,Swap the index to combine Hartree and Fock terms,Hartree_Fock_second_quantized_symbol,2,2,2,$\hat{\mathcal{H}}^{\text{HF}}$,
14,Swap the index to combine Hartree and Fock terms,expected_value,2,(?),2,"$\langle{b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}}\rangle$ and $\langle{b_{\bm{k}_{\alpha},l_{\alpha},\tau_{\alpha}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}}\rangle$",
14,Swap the index to combine Hartree and Fock terms,expression_Hartree_1,1,(?),1,"$b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\gamma},l_{\beta},\tau_{\beta}}$","$`\langle b_{\tau_1,l_1}^\dagger(k_1) b_{\tau_1,l_1}(k_4) \rangle b_{\tau_2,l_2}^\dagger(k_2) b_{\tau_2,l_2}(k_3)`$"
14,Swap the index to combine Hartree and Fock terms,expression_Hartree_2,1,(?),1,"$b_{\bm{k}_{\beta},l_{\beta},\tau_{\beta}}^\dagger b_{\bm{k}_{\delta},l_{\alpha},\tau_{\alpha}}$","$`\langle b_{\tau_2,l_2}^\dagger(k_2) b_{\tau_2,l_2}(k_3) \rangle b_{\tau_1,l_1}^\dagger(k_1) b_{\tau_1,l_1}(k_4)`$"
