feature,age_spearman_corr,age_spearman_pval,kw_statistic,kw_pval,coefficient_of_variation,age_r_squared,dynamic_score
Int_Med_cJun_cell,-0.07105082382683355,0.00018767163276952082,23.62525749206543,2.9909226213931106e-05,2.0272307,0.0026200319397801097,0.1564309117664683
Int_MeanEdge_pAKT_cell,-0.25311296386772736,1.37255383351572e-41,99.4228515625,2.068184781775025e-21,0.40329573,0.058034390225695676,0.15060521554418999
Int_Med_pAKT_cyto,-0.24997320120585825,1.4204275216977602e-40,90.13806915283203,2.0459807095843658e-19,0.42811438,0.05963144881693361,0.15002462005385753
Int_Med_pAKT_ring,-0.24997320120585825,1.4204275216977602e-40,90.13806915283203,2.0459807095843658e-19,0.42811438,0.05963144881693361,0.15002462005385753
Int_MeanEdge_p27_cell,-0.17931421544369522,2.2784303609846284e-21,87.04296875,9.45306346723816e-19,1.0325358,0.018499515778577225,0.14819456930066163
Int_Med_pp27_nuc,0.18297683057954195,3.370410837510124e-22,128.94625854492188,9.123256294973694e-28,0.84859324,0.029982799967022356,0.1479808413823969
Int_Med_p38_nuc,0.20726432061059424,3.756530156649978e-28,140.97886657714844,2.3248428860958454e-30,0.5020445,0.06161247337555076,0.14688648625012035
Int_Med_pAKT_cell,-0.24059667631057924,1.2560310139658882e-37,73.99150085449219,5.959854048196898e-16,0.43864095,0.05560802106432461,0.14284277277473853
Int_MeanEdge_pERK_cell,-0.23287717648141512,2.698264884874973e-35,83.9658203125,4.326413511184064e-18,0.4869842,0.05002993444283388,0.14278115523818155
Int_Med_pS6_cell,0.13543170062563092,9.103661005754568e-13,208.77194213867188,5.605193857299268e-45,0.7837821,0.042116232896511896,0.14165401944765657
Int_MeanEdge_RB_cell,-0.15739859654985608,9.122479691904218e-17,41.12109375,6.163691779192959e-09,1.1375288,0.012925693966939433,0.1368819412564049
Int_MeanEdge_pCHK1_cell,-0.1702349070120387,2.185732921677202e-19,44.783203125,1.028822915749572e-09,1.0508536,0.009049307794997019,0.13543825418762712
Int_Med_pp38_nuc,0.20999956954906698,7.158267966600066e-29,138.23391723632812,9.08326490134629e-30,0.40446898,0.035187239530334646,0.13177728937220817
Int_Med_pRB_ring,-0.07797778424554547,4.1267982000424e-05,58.65334701538086,1.1399813384938007e-12,1.4683553,0.0010905659753559505,0.1261393152016755
Int_Med_pRB_cyto,-0.07797778424554547,4.1267982000424e-05,58.65334701538086,1.1399813384938007e-12,1.4683553,0.0010905659753559505,0.1261393152016755
Int_Med_pS6_cyto,0.10846889436826473,1.1183070223076454e-08,182.57522583007812,2.4508345803440326e-39,0.80907965,0.035509445063284684,0.12574830263346454
Int_Med_pS6_ring,0.10846889436826473,1.1183070223076454e-08,182.57522583007812,2.4508345803440326e-39,0.80907965,0.035509445063284684,0.12574830263346454
Int_MeanEdge_AKT_cell,-0.18263115063609164,4.0435753290747314e-22,69.2783203125,6.09229675510429e-15,0.61560094,0.0367808617460178,0.12414201213660125
Int_Med_pS6_nuc,0.1538910972520072,4.360330783079632e-16,66.92620849609375,1.941986678345893e-14,0.9057003,0.012746604189365351,0.12375840959698331
Int_MeanEdge_pGSK3b_cell,-0.18913191256818476,1.2394763731728688e-23,57.5830078125,1.9295264171159676e-12,0.59694296,0.03492305161999609,0.12291443641464062
Int_MeanEdge_pp21_cell,-0.12393793844722409,6.479504542911227e-11,10.556640625,0.014381553046405315,1.2042632,0.008851174185432353,0.12131339591227383
Int_Med_bCat_nuc,0.18944362607729187,1.0453545347704205e-23,115.74832916259766,6.352895564085311e-25,0.47804376,0.025195879715715463,0.12126910160596883
Int_Med_pGSK3b_nuc,0.17471514653448733,2.3712392048981983e-20,125.89949035644531,4.136513104926883e-27,0.5735282,0.0163158218038445,0.12049166915147107
Int_MeanEdge_Cdt1_cell,-0.16461699705960914,3.2547168589194577e-18,99.044921875,2.4937041795514185e-21,0.7183074,0.012091128426841902,0.12039191046827663
Int_MeanEdge_CDK6_cell,-0.10719738920254983,1.6576918229722453e-08,13.4365234375,0.0037816918920725584,1.2852329,0.003673369198003651,0.11876677412732284
Int_MeanEdge_cycA_cell,0.03378840063731623,0.07598409485079195,133.70703125,8.592443159651972e-29,1.3943717,0.00035577867909908356,0.11534350456062323
Int_MeanEdge_CDK2_cell,-0.1908493565087633,4.831293052266356e-24,79.482421875,3.96324995484613e-17,0.42699653,0.03413589016296703,0.11531793390545854
Int_Med_cMyc_nuc,-0.005860143167957815,0.7583303197540866,415.7434997558594,0.0,0.762837,0.02170950313622899,0.11504060419125173
Int_Med_RB_cell,-0.06324483684459589,0.0008878957597955434,11.240882873535156,0.010492154397070408,1.4993398,0.0008634376709577563,0.11424474056361125
Int_Med_AKT_nuc,0.16672144984083065,1.1964776962832722e-18,128.4308319091797,1.178193999047708e-27,0.4865,0.02196040975115543,0.11359977428452783
Int_Med_cJun_nuc,0.1653456250167014,2.3050612757618242e-18,170.93858337402344,7.980628378809805e-37,0.291245,0.02076897287397117,0.10631295069048396
Int_MeanEdge_pH2AX_cell,-0.14883763862002602,3.898919270150772e-15,32.9306640625,3.3309754599031294e-07,0.75838226,0.010803452754382548,0.10520086626762538
Int_Med_cycD1_cell,0.015994824819345235,0.4010092554909147,408.13995361328125,0.0,0.53971183,0.026872882178884394,0.10431459620951379
Int_MeanEdge_BP1_cell,-0.08976532499241018,2.3304425180175434e-06,17.0576171875,0.0006877181003801525,1.1158499,0.008323527560681776,0.10220016058350992
Int_Med_pRSK_nuc,0.118745420387973,3.9355028099047915e-10,54.02641677856445,1.1075981277974822e-11,0.8551266,0.00775014720478262,0.10207265148644465
Int_MeanEdge_pp53_cell,-0.11851613260173162,4.2543630560530483e-10,27.4072265625,4.836449988943059e-06,0.94203866,0.0032076323742691315,0.10194627379913053
Int_MeanEdge_cMyc_cell,-0.11962012879982781,2.919682104734227e-10,44.423828125,1.2265971571778778e-09,0.83169216,0.011933971198164639,0.10064150361750279
Int_Med_Fra1_cyto,-0.14575576650308933,1.430019530462118e-14,144.74356079101562,3.5854590146408377e-31,0.47897834,0.0020663037401991158,0.10044985240586454
Int_Med_Fra1_ring,-0.14575576650308933,1.430019530462118e-14,144.74356079101562,3.5854590146408377e-31,0.47897834,0.0020663037401991158,0.10044985240586454
Int_MeanEdge_p38_cell,-0.15884155318255996,4.743116680445079e-17,40.9697265625,6.636597937870192e-09,0.5169931,0.027717118312789002,0.09980873422721256
Int_Med_cycD1_cyto,0.01653630703430416,0.38525482754398366,390.0729064941406,0.0,0.46884495,0.03590830184330729,0.0997275334783931
Int_Med_cycD1_ring,0.01653630703430416,0.38525482754398366,390.0729064941406,0.0,0.46884495,0.03590830184330729,0.0997275334783931
Int_MeanEdge_p53_cell,-0.1401330627363786,1.4265944425584387e-13,29.6953125,1.5994763771232101e-06,0.73166424,0.011283361962328486,0.0994346861605147
Int_MeanEdge_pp38_cell,-0.15027399494425017,2.107680447404252e-15,36.34765625,6.322301970840272e-08,0.63283837,0.013915342718417878,0.09878538911407839
Int_Med_p27_cell,-0.024158415798324062,0.2045982211526246,164.84393310546875,1.650753805412098e-35,1.1178818,0.0003199938374767175,0.09759157956699539
Int_MeanEdge_Cdh1_cell,-0.1571476446738223,1.0215095179989813e-16,59.8984375,6.179373961308354e-13,0.5021231,0.016929601842286313,0.0975700193749744
Int_Med_RSK1_nuc,0.08812780653742924,3.5531606752094605e-06,29.01304817199707,2.2253354927670443e-06,1.033505,0.0034019654636514574,0.09618235148205327
Int_Med_pAKT_nuc,-0.14149436584683492,8.242897824715963e-14,22.639680862426758,4.800421083928086e-05,0.6269273,0.023158853680321778,0.09566800988852142
Int_MeanEdge_p21_cell,-0.10938292525994235,8.403692333558267e-09,32.3681640625,4.3770958768618584e-07,0.86100763,0.008652443632380158,0.09534080166291761
Int_MeanEdge_GSK3b_cell,-0.14003489423084062,1.4838495645287551e-13,23.4033203125,3.327392914798111e-05,0.6753238,0.011695322509302164,0.09460493354562878
Int_Med_CDK2_cyto,-0.1475608326528131,6.702298534484519e-15,103.36123657226562,2.942076309772213e-22,0.38352987,0.01898686815592321,0.09348247715595198
Int_Med_CDK2_ring,-0.1475608326528131,6.702298534484519e-15,103.36123657226562,2.942076309772213e-22,0.38352987,0.01898686815592321,0.09348247715595198
Int_MeanEdge_S6_cell,-0.14149742010444838,8.232710248141318e-14,40.302734375,9.191373884220866e-09,0.5726896,0.0166681127863334,0.09267193330330473
Int_MeanEdge_RSK1_cell,-0.10157582083547603,8.951975438605064e-08,18.96484375,0.0002780132635962218,0.90168756,0.00677833556980123,0.09206957451245533
Int_Med_CDK2_cell,-0.13665014731929784,5.665683027846727e-13,108.64889526367188,2.1433265597877127e-23,0.43073672,0.015519502534489638,0.09197916956130477
Int_Med_STAT3_nuc,0.11089699144424732,5.2082524773151165e-09,19.512779235839844,0.0002141448057955131,0.77047133,0.018561028388494827,0.09096870373191682
Int_MeanEdge_pS6_cell,-0.09196464653274017,1.3074423854399204e-06,42.416015625,3.2740357092109207e-09,0.834044,0.00567222731944661,0.08704340356937354
Int_MeanEdge_pSTAT3_cell,-0.0851007512885164,7.601401955993951e-06,8.529296875,0.03625018522143364,0.9705729,0.0003450167387454295,0.0861396763673788
Int_Med_pp65_nuc,0.08693845415683658,4.804768037432005e-06,223.16236877441406,0.0,0.27704096,0.03093690835790408,0.08558608023756908
Int_Med_cFos_cell,0.11223505652981729,3.3943290406122444e-09,77.3493423461914,1.1362706112422064e-16,0.5462141,0.01716169878687568,0.08528887171565276
Int_MeanEdge_YAP_cell,-0.12364819655305123,7.180091492577285e-11,28.3310546875,3.094927933489089e-06,0.53597105,0.02357527173102114,0.08322616219379372
Int_MeanEdge_STAT3_cell,-0.0901483593492867,2.1092766805510864e-06,19.4140625,0.00022446105140261352,0.8384707,0.00646929673542318,0.08302807373388474
Int_MeanEdge_Bcl2_cell,-0.10733214947020463,1.5902997126229475e-08,30.9267578125,8.807740528027352e-07,0.6785251,0.01154446486089189,0.0826959307634079
Int_MeanEdge_p14ARF_cell,-0.12968895943101802,8.037684770353624e-12,34.1240234375,1.865271883616515e-07,0.5524163,0.0063341996166369485,0.08188680225150526
Int_Med_Skp2_cell,0.11302957756603871,2.6261451264084596e-09,128.9837646484375,8.955043647700968e-28,0.43077818,0.0030744286283554967,0.08149173910738101
Int_Med_Bcl2_nuc,0.06187786949951481,0.001146557842737721,101.40052795410156,7.768490148805201e-22,0.73070884,0.014946169307466617,0.08071616244276877
Int_Med_cFos_ring,0.10522462487500346,3.0259517899730344e-08,64.95674133300781,5.124045176878311e-14,0.5148251,0.017675891130184196,0.07837036541624753
Int_Med_cFos_cyto,0.10522462487500346,3.0259517899730344e-08,64.95674133300781,5.124045176878311e-14,0.5148251,0.017675891130184196,0.07837036541624753
Int_Med_S6_cell,0.09848727986970829,2.1785098675067505e-07,78.42636108398438,6.676341483526977e-17,0.53862417,0.013370144031312092,0.0780414290383756
Int_Med_p14ARF_ring,-0.10633435157098928,2.1598291089939116e-08,49.547080993652344,9.975881926083119e-11,0.54867566,0.0040559400924587985,0.0739070123833866
Int_Med_p14ARF_cyto,-0.10633435157098928,2.1598291089939116e-08,49.547080993652344,9.975881926083119e-11,0.54867566,0.0040559400924587985,0.0739070123833866
Int_MeanEdge_pp65_cell,-0.0974407377625937,2.9271609229876525e-07,7.013671875,0.07146327942609787,0.6971713,0.002887804560416374,0.07297533633418482
Int_Med_YAP_nuc,0.13119370681931283,4.583840437098754e-12,50.33596420288086,6.77560160755597e-11,0.36916354,0.006665622336154309,0.07271848608590496
Int_Med_pGSK3b_cyto,-0.1159699814494251,1.0005458806290186e-09,51.270751953125,4.2835932717588676e-11,0.42610836,0.012063689625829599,0.07243359073081104
Int_Med_pGSK3b_ring,-0.1159699814494251,1.0005458806290186e-09,51.270751953125,4.2835932717588676e-11,0.42610836,0.012063689625829599,0.07243359073081104
Int_Med_pERK_cyto,-0.12473731716753018,4.8751820721460336e-11,38.688079833984375,2.0208698714441198e-08,0.42281637,0.008396514955062884,0.07241953710048227
Int_Med_pERK_ring,-0.12473731716753018,4.8751820721460336e-11,38.688079833984375,2.0208698714441198e-08,0.42281637,0.008396514955062884,0.07241953710048227
Int_MeanEdge_bCat_cell,-0.12662570985310673,2.471726094281822e-11,23.2451171875,3.590021515265107e-05,0.41631177,0.01183448342127158,0.07133329666832094
Int_Med_RB_nuc,0.0758886216652919,6.604878017822603e-05,229.3703155517578,0.0,0.25895998,0.002032542910277657,0.07097544135193508
Int_MeanEdge_cycD1_cell,-0.0728479788376462,0.00012825714112397465,109.83203125,1.1925690720517315e-23,0.569241,0.000831430973232683,0.07065669986826656
Int_Med_p14ARF_nuc,0.1009676982165501,1.068739859163563e-07,51.94145584106445,3.082374633311957e-11,0.49152878,0.008651670420117386,0.06976066637608398
Int_Med_Cdh1_cell,-0.07070545787489889,0.0002017163551326661,177.69775390625,2.7709441186777723e-38,0.40440613,7.882973339379262e-05,0.06954759331885393
Int_Med_Cdh1_cyto,-0.0944384466312921,6.717682317148336e-07,142.9220428466797,8.858696579774238e-31,0.3412365,0.00035698386170790464,0.0691512165695808
Int_Med_Cdh1_ring,-0.0944384466312921,6.717682317148336e-07,142.9220428466797,8.858696579774238e-31,0.3412365,0.00035698386170790464,0.0691512165695808
Int_Med_cMyc_cell,0.0445129865216665,0.019377045235237693,70.1126708984375,4.037681969234477e-15,0.76851743,0.004998434298841614,0.06758898017079663
Int_MeanEdge_cycE_cell,-0.06677828053949578,0.00044821292876627864,18.1904296875,0.000401809171307832,0.7603769,0.0008571888022352869,0.06599568702637261
Int_Med_AKT_ring,-0.0935730414438983,8.496070585320264e-07,56.18931198120117,3.8277670963426935e-12,0.4537239,0.010562143815575853,0.06550897047205813
Int_Med_AKT_cyto,-0.0935730414438983,8.496070585320264e-07,56.18931198120117,3.8277670963426935e-12,0.4537239,0.010562143815575853,0.06550897047205813
Int_Med_RB_cyto,-0.07580263457210897,6.732288880990034e-05,10.808724403381348,0.012806441634893417,0.7119193,0.0010760244442314937,0.06518031547408537
Int_Med_RB_ring,-0.07580263457210897,6.732288880990034e-05,10.808724403381348,0.012806441634893417,0.7119193,0.0010760244442314937,0.06518031547408537
Int_Med_cJun_cyto,-0.1071843575033122,1.664353919354822e-08,20.45709228515625,0.0001364632771583274,0.45367628,0.005846461424368177,0.06345776185831674
Int_Med_cJun_ring,-0.1071843575033122,1.664353919354822e-08,20.45709228515625,0.0001364632771583274,0.45367628,0.005846461424368177,0.06345776185831674
Int_Med_ERK_cell,0.08446699430615631,8.885377468927933e-06,94.8037109375,2.0346938624378224e-20,0.3833718,0.010578049768704578,0.0634261135605276
Int_Med_p27_ring,-0.025685647733713974,0.17740758050231206,173.4545440673828,2.284755488949184e-37,0.5710724,0.0018884900738356247,0.06256489956377692
Int_Med_p27_cyto,-0.025685647733713974,0.17740758050231206,173.4545440673828,2.284755488949184e-37,0.5710724,0.0018884900738356247,0.06256489956377692
Int_Med_S6_cyto,0.07586815438434266,6.634996797722405e-05,64.30644226074219,7.058353332150755e-14,0.49093902,0.010133018014079953,0.06206153404988562
Int_Med_S6_ring,0.07586815438434266,6.634996797722405e-05,64.30644226074219,7.058353332150755e-14,0.49093902,0.010133018014079953,0.06206153404988562
Int_MeanEdge_p16_cell,-0.055480953598460246,0.003555431921395588,4.283203125,0.2324625700712204,0.79609895,0.0014172391060521816,0.06170910648362136
Int_Med_Skp2_ring,0.10010103323701743,1.373331524270088e-07,102.99449157714844,3.528046481573705e-22,0.24077176,0.009667527132346865,0.061049188204995115
Int_Med_Skp2_cyto,0.10010103323701743,1.373331524270088e-07,102.99449157714844,3.528046481573705e-22,0.24077176,0.009667527132346865,0.061049188204995115
Int_Med_p14ARF_cell,-0.07950769083552546,2.902771157899545e-05,43.49332809448242,1.9335566481260003e-09,0.54559237,0.0019350383973325558,0.061013537111210395
Int_Med_pp65_cell,0.051860092169872266,0.0064377136507965,77.27019500732422,1.181548757437685e-16,0.5991915,0.0061150865719838965,0.06051437934952243
Int_Med_pERK_cell,-0.10596157112035923,2.4197925251635825e-08,21.190690994262695,9.609949484001845e-05,0.42075947,0.0048297411068632945,0.06046852159538399
Int_MeanEdge_ERK_cell,-0.09640514762218497,3.909340732224784e-07,38.0,2.8264748763717762e-08,0.38759673,0.01444538349208746,0.060397243878072285
Int_Med_STAT3_cyto,-0.07173629666069929,0.00016247378804710836,33.42897415161133,2.6148410370296915e-07,0.5752035,0.004861951022227418,0.059198660603072016
Int_Med_STAT3_ring,-0.07173629666069929,0.00016247378804710836,33.42897415161133,2.6148410370296915e-07,0.5752035,0.004861951022227418,0.059198660603072016
Int_Med_pCHK1_cell,0.050714029650198375,0.007714373512174269,25.69037628173828,1.107245589082595e-05,0.7264126,0.0007172762140562616,0.05831484177622927
Int_Med_pGSK3b_cell,-0.0889384021762424,2.88626425412239e-06,32.18080139160156,4.793827770299686e-07,0.44508594,0.007409034454952224,0.05792368179167346
Int_Med_ERK_ring,0.07848939123929342,3.671301330137678e-05,81.52349090576172,1.4461482843978825e-17,0.37189746,0.00900881089707195,0.05743706634677336
Int_Med_ERK_cyto,0.07848939123929342,3.671301330137678e-05,81.52349090576172,1.4461482843978825e-17,0.37189746,0.00900881089707195,0.05743706634677336
Int_Med_CDK6_cyto,-0.0484252437261092,0.010961208785247534,41.38623046875,5.415014214804614e-09,0.6619023,0.004457747263914125,0.0568517785577259
Int_Med_CDK6_ring,-0.0484252437261092,0.010961208785247534,41.38623046875,5.415014214804614e-09,0.6619023,0.004457747263914125,0.0568517785577259
Int_Med_AKT_cell,-0.07227270445232711,0.00014501271577595774,41.67726516723633,4.697377153917159e-09,0.5036223,0.0077197281227494585,0.0568516763373115
Int_Med_BP1_cell,-0.04571271175415493,0.01633776338537264,8.811563491821289,0.031904056668281555,0.74859124,0.0038960688582354575,0.056063292744061216
Int_Med_CDK4_cell,0.09828133808582998,2.309445448733295e-07,60.34616470336914,4.957783315828745e-13,0.2737334,0.010561046004469499,0.055738922267919475
Int_MeanEdge_pp27_cell,-0.09699049977798928,3.320741577072604e-07,10.57421875,0.014265788719058037,0.41951483,0.004763691768829625,0.05492349686306443
Int_Med_STAT3_cell,-0.056873499520277905,0.0028043024130417716,24.895280838012695,1.6238833268289454e-05,0.6166126,0.004020411398333978,0.05426916901239839
Int_Med_pH2AX_cell,0.0657626283914205,0.0005473682304016669,21.877180099487305,6.918425060575828e-05,0.56849766,0.0027340955626632413,0.05363750648256008
Int_Med_p21_cell,-0.037143232133353896,0.05108307171127235,70.05880737304688,4.146351637685994e-15,0.62887615,0.0003289815975412447,0.053365573754120994
Int_Med_Cdt1_cell,-0.021134028369449515,0.26712368961205135,89.4991455078125,2.8062776950048577e-19,0.66152984,0.0006514612711067125,0.05244955154458848
Int_Med_S6_nuc,0.07103784385741135,0.0001881824299562512,10.19534683227539,0.016976557672023773,0.5287969,0.0014468829049386622,0.05065971956723106
Int_Med_pp65_cyto,0.04625381596583965,0.01510982894117735,61.484397888183594,2.8317433575959783e-13,0.50883645,0.00897911942167462,0.050347325928560054
Int_Med_pp65_ring,0.04625381596583965,0.01510982894117735,61.484397888183594,2.8317433575959783e-13,0.50883645,0.00897911942167462,0.050347325928560054
Int_Med_CDK6_cell,-0.024208970597518368,0.20365220723628358,38.25495529174805,2.4961090971942212e-08,0.72285295,0.002592161776247326,0.05000631505292676
Int_Med_BP1_cyto,-0.06471022969012238,0.0006713836010972673,16.531179428100586,0.0008822905947454274,0.51969343,0.0047459583667410765,0.04964355963158365
Int_Med_BP1_ring,-0.06471022969012238,0.0006713836010972673,16.531179428100586,0.0008822905947454274,0.51969343,0.0047459583667410765,0.04964355963158365
Int_Med_ERK_nuc,-0.042191771674500625,0.026680868190100418,89.43205261230469,2.9009508425570246e-19,0.49418417,0.00029153013104921133,0.04938738353142343
Int_Med_pp38_cell,0.04607951551245458,0.015496193638031529,17.309776306152344,0.0006102712359279394,0.61130553,0.001326054461227577,0.04730855802522419
Int_Med_p21_ring,-0.04899299173364124,0.010059004507090534,64.41011047363281,6.707049466595644e-14,0.47786212,3.2454372528190056e-05,0.04675880948285278
Int_Med_p21_cyto,-0.04899299173364124,0.010059004507090534,64.41011047363281,6.707049466595644e-14,0.47786212,3.2454372528190056e-05,0.04675880948285278
Int_Med_CDK4_cyto,0.08634106449394835,5.583038355410678e-06,44.2669563293457,1.3244347840668524e-09,0.23941828,0.009559372708446201,0.04547188038158129
Int_Med_CDK4_ring,0.08634106449394835,5.583038355410678e-06,44.2669563293457,1.3244347840668524e-09,0.23941828,0.009559372708446201,0.04547188038158129
Int_Med_DNA_ring,-0.04945690942483249,0.009371512448478685,28.713274002075195,2.572630137365195e-06,0.5344568,0.0014194283612583014,0.04533939253945002
Int_Med_DNA_cyto,-0.04945690942483249,0.009371512448478685,28.713274002075195,2.572630137365195e-06,0.5344568,0.0014194283612583014,0.04533939253945002
Int_Med_Cdt1_cyto,-0.03169742840929819,0.09599084290325623,75.83965301513672,2.3940549809107385e-16,0.51804924,0.0011293406620423996,0.04476021200613928
