rank,candidate_id,dataset_index,predicted_probability,predicted_label_at_threshold,hidden_true_label,metallicity_proxy,anisotropy_proxy,n_atoms,n_edges,edge_density
72,CAND_0218,218,0.057043095944993114,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
73,CAND_0006,6,0.057043095944993114,1,1,insulator-like (graph proxy),d-wave-like high-confidence,6.0,5.0,0.16666666666666666
74,CAND_0571,571,0.057043095944993114,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
75,CAND_0014,14,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
76,CAND_0035,35,0.057043095944993114,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
77,CAND_0691,691,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
78,CAND_0867,867,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
79,CAND_0076,76,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
80,CAND_0068,68,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
81,CAND_0466,466,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,20.0,56.0,0.14736842105263157
82,CAND_0007,7,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
83,CAND_0591,591,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,20.0,46.0,0.12105263157894737
84,CAND_0495,495,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,18.0,20.0,0.06535947712418301
85,CAND_0355,355,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
86,CAND_0550,550,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,20.0,40.0,0.10526315789473684
87,CAND_0909,909,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
88,CAND_0070,70,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,12.0,0.13333333333333333
89,CAND_0941,941,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
90,CAND_0808,808,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,14.0,0.15555555555555556
91,CAND_0825,825,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,14.0,10.0,0.054945054945054944
92,CAND_0998,998,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
93,CAND_0878,878,0.056829950259686395,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
94,CAND_0297,297,0.056829950259686395,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
95,CAND_0345,345,0.056617553188801746,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
96,CAND_0660,660,0.056617553188801746,1,1,metal-like (graph proxy),d-wave-like high-confidence,12.0,8.0,0.06060606060606061
97,CAND_0797,797,0.056617553188801746,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
98,CAND_0762,762,0.056617553188801746,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
99,CAND_0823,823,0.056617553188801746,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
100,CAND_0161,161,0.056617553188801746,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
101,CAND_0963,963,0.056617553188801746,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,16.0,0.17777777777777778
102,CAND_0596,596,0.056617553188801746,1,1,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
103,CAND_0842,842,0.056617553188801746,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
104,CAND_0712,712,0.056617553188801746,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
105,CAND_0356,356,0.056617553188801746,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
106,CAND_0296,296,0.056617553188801746,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
107,CAND_0937,937,0.056405902459939455,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
108,CAND_0608,608,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,10.0,0.07575757575757576
109,CAND_0316,316,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,4.0,0.044444444444444446
110,CAND_0177,177,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
111,CAND_0789,789,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,18.0,0.2
112,CAND_0229,229,0.056405902459939455,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
113,CAND_0819,819,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,16.0,0.12121212121212122
114,CAND_0976,976,0.056405902459939455,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
115,CAND_0921,921,0.056405902459939455,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
116,CAND_0871,871,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,8.0,0.06060606060606061
117,CAND_0112,112,0.056405902459939455,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,2.0,0.03571428571428571
118,CAND_0325,325,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,8.0,0.08888888888888889
119,CAND_0628,628,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,6.0,0.06666666666666667
120,CAND_0883,883,0.056405902459939455,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,16.0,0.17777777777777778
121,CAND_0952,952,0.056405902459939455,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
122,CAND_0331,331,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
123,CAND_0428,428,0.056194995804922404,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,10.0,0.3333333333333333
124,CAND_0413,413,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
125,CAND_0995,995,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
126,CAND_0502,502,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
127,CAND_0456,456,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
128,CAND_0604,604,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
129,CAND_0247,247,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
130,CAND_0248,248,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,8.0,0.08888888888888889
131,CAND_0812,812,0.056194995804922404,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,20.0,0.08333333333333333
132,CAND_0748,748,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
133,CAND_0153,153,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
134,CAND_0151,151,0.056194995804922404,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
135,CAND_0586,586,0.056194995804922404,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
136,CAND_0964,964,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
137,CAND_0969,969,0.056194995804922404,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,8.0,0.08888888888888889
138,CAND_0956,956,0.056194995804922404,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
139,CAND_0036,36,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,10.0,0.07575757575757576
140,CAND_0965,965,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
141,CAND_0813,813,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
142,CAND_0200,200,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
143,CAND_0217,217,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,14.0,0.25
144,CAND_0835,835,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,14.0,0.10606060606060606
145,CAND_0474,474,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
146,CAND_0480,480,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,12.0,0.13333333333333333
147,CAND_0421,421,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
148,CAND_0147,147,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
149,CAND_0444,444,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,10.0,0.1111111111111111
150,CAND_0681,681,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,10.0,0.1111111111111111
151,CAND_0861,861,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
152,CAND_0866,866,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
153,CAND_0415,415,0.05598483095980979,1,1,metal-like (graph proxy),d-wave-like high-confidence,14.0,20.0,0.10989010989010989
154,CAND_0298,298,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,5.0,0.16666666666666666
155,CAND_0056,56,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,10.0,0.07575757575757576
156,CAND_0795,795,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
157,CAND_0869,869,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
158,CAND_0120,120,0.05598483095980979,1,1,insulator-like (graph proxy),d-wave-like high-confidence,12.0,12.0,0.09090909090909091
159,CAND_0337,337,0.05598483095980979,1,0,insulator-like (graph proxy),d-wave-like high-confidence,18.0,30.0,0.09803921568627451
160,CAND_0619,619,0.05598483095980979,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,14.0,0.25
161,CAND_0711,711,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
162,CAND_0284,284,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,14.0,16.0,0.08791208791208792
163,CAND_0758,758,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,10.0,0.3333333333333333
164,CAND_0727,727,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,18.0,0.075
165,CAND_0003,3,0.05577540566491032,1,1,metal-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
166,CAND_0988,988,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
167,CAND_0182,182,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,16.0,0.06666666666666667
168,CAND_0425,425,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,12.0,16.0,0.12121212121212122
169,CAND_0786,786,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
170,CAND_0463,463,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,12.0,18.0,0.13636363636363635
171,CAND_0324,324,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
172,CAND_0899,899,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,18.0,0.2
173,CAND_0581,581,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
174,CAND_0546,546,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,12.0,6.0,0.045454545454545456
175,CAND_0613,613,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
176,CAND_0332,332,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
177,CAND_0294,294,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
178,CAND_0346,346,0.05577540566491032,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,8.0,0.08888888888888889
179,CAND_0957,957,0.05577540566491032,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
180,CAND_0684,684,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
181,CAND_0734,734,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
182,CAND_0309,309,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,20.0,0.35714285714285715
183,CAND_0330,330,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,10.0,12.0,0.13333333333333333
184,CAND_0960,960,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,8.0,0.06060606060606061
185,CAND_0654,654,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,1.0,0.08333333333333333
186,CAND_0410,410,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,8.0,0.14285714285714285
187,CAND_0236,236,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
188,CAND_0853,853,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
189,CAND_0733,733,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,4.0,0.07142857142857142
190,CAND_0154,154,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
191,CAND_0255,255,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,8.0,14.0,0.25
192,CAND_0611,611,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,3.0,0.25
193,CAND_0452,452,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,14.0,0.25
194,CAND_0599,599,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
195,CAND_0185,185,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,16.0,0.12121212121212122
196,CAND_0554,554,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
197,CAND_0156,156,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,6.0,0.06666666666666667
198,CAND_0512,512,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,12.0,14.0,0.10606060606060606
199,CAND_0634,634,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
200,CAND_0031,31,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,12.0,12.0,0.09090909090909091
201,CAND_0508,508,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,16.0,20.0,0.08333333333333333
202,CAND_0558,558,0.05556671766479556,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
203,CAND_0872,872,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,14.0,10.0,0.054945054945054944
204,CAND_0916,916,0.05556671766479556,1,0,metal-like (graph proxy),d-wave-like high-confidence,8.0,6.0,0.10714285714285714
205,CAND_0968,968,0.05535876470831267,1,0,insulator-like (graph proxy),d-wave-like high-confidence,14.0,26.0,0.14285714285714285
206,CAND_0920,920,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
207,CAND_0303,303,0.05535876470831267,1,0,insulator-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
208,CAND_0328,328,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
209,CAND_0038,38,0.05535876470831267,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,2.0,0.06666666666666667
210,CAND_0503,503,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,2.0,0.16666666666666666
211,CAND_0240,240,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
212,CAND_0763,763,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,14.0,18.0,0.0989010989010989
213,CAND_0283,283,0.05535876470831267,1,0,insulator-like (graph proxy),d-wave-like high-confidence,6.0,6.0,0.2
214,CAND_0846,846,0.05535876470831267,1,1,insulator-like (graph proxy),d-wave-like high-confidence,10.0,10.0,0.1111111111111111
215,CAND_0561,561,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,4.0,4.0,0.3333333333333333
216,CAND_0522,522,0.05535876470831267,1,0,insulator-like (graph proxy),d-wave-like high-confidence,10.0,10.0,0.1111111111111111
217,CAND_0002,2,0.05535876470831267,1,0,metal-like (graph proxy),d-wave-like high-confidence,6.0,4.0,0.13333333333333333
