acid,epoxide,generated_status,proxy_md_tg_K,calibrated_tg_mean_K,gp_model_std_K,total_pred_std_K,acid_valid,epoxide_valid,target_Tg_K,abs_target_error_K,score
O=C(O)C=CC(=O)O,COc1ccc(CN(CC2CO2)CC2CO2)cc1,new_recombined_pair,395.28291893177595,347.6675265021971,79.1388548993619,82.53019015696472,True,True,350,2.33247349780288,22.96502103704406
Cc1cc(CNCCCC(=O)O)ccc1C(=O)O,COc1ccc(CN(CC2CO2)C(=O)CCCOCC2CO2)cc1,new_recombined_pair,335.3005009166259,348.4641700277364,82.60949252850448,85.86385845266643,True,True,350,1.5358299722636275,23.001794585430236
CCOCCNCCCCCCNC(=O)C(CCC(=O)O)CCC(=O)O,COC(=O)c1cc2cccc(OCC3CO3)c2nc1OCC1CO1,new_recombined_pair,349.97997727467896,348.8744149523936,84.34378078821155,87.53369231451614,True,True,350,1.125585047606421,23.009008126235457
O=C(O)CCCNCc1ccc(OCC(=O)O)cc1,Cc1ccc(OCC2CO2)c(CN(C)Cc2cc(C)ccc2OCC2CO2)c1,new_recombined_pair,374.4519920020192,351.6999557848834,82.5386655874085,85.79571813040877,True,True,350,1.6999557848834002,23.148885317485593
CC(NCCCCCC(=O)O)C(=O)O,COc1ccc(CN(CC2CO2)CC2CO2)cc1,new_recombined_pair,399.72646958773083,352.6045897097842,79.12900918005191,82.52074906579095,True,True,350,2.604589709784193,23.23477697623193
CCOc1cccc(CNC(COCC(=O)O)COCC(=O)O)c1,CCc1cccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1O,new_recombined_pair,369.89885875150264,351.53270054914844,84.20643316434766,87.40135764863295,True,True,350,1.5327005491484442,23.383039961306682
COc1cc(C(C)=O)ccc1OCC(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O,CCc1ccc(O)c(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1,observed_library_pair,379.7995161711792,349.78710621132603,89.79584881397761,92.79853660907173,True,True,350,0.21289378867396636,23.4125279409419
O=C(O)CCN(CCCCN1C(=O)c2ccccc2C1=O)CCC(=O)O,Cc1cccc(OCCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,new_recombined_pair,352.7486339034881,348.4759542707236,84.5280458356901,87.71125620673224,True,True,350,1.524045729276395,23.451859780959456
O=C(O)COCCCOc1ccc2cc(OCCCOCC(=O)O)ccc2c1,COc1cccc(CNC(=O)c2ccc(OCC3CO3)c(C)c2)c1OCC1CO1,observed_library_pair,361.3786883185282,350.7893937443622,87.81789374230301,90.88595267640056,True,True,350,0.7893937443622008,23.51088191346234
C=Cc1ccc(CNCCCC(C(=O)O)C(=O)O)cc1,COc1cc(CC2CO2)ccc1OCC1CO1,new_recombined_pair,409.6280960790242,400.14977219140974,79.07032171473459,82.46447543417788,True,True,400,0.1497721914097383,20.76589104995421
Cc1ccc(C(C)(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(COCC2CO2)cc1NCCOCC1CO1,new_recombined_pair,414.00891701906914,400.0377791422958,79.63810283055301,83.00904381458827,True,True,400,0.037779142295789825,20.790040095942857
O=C(O)CNCCCCCCNCC(=O)O,N#Cc1cccc(CN(CCC2CO2)CC2CO2)c1,new_recombined_pair,443.04061266518386,400.22158114229416,79.15556463182561,82.54621338829311,True,True,400,0.2215811422941556,20.858134489367433
O=C(O)CCCC(O)C(=O)O,COc1cc(CC2CO2)ccc1OCC1CO1,new_recombined_pair,439.8705590022299,400.20522608772865,79.29853063980823,82.68331690368441,True,True,400,0.20522608772864714,20.87605531364975
O=C(O)CCCC(=O)CCC(=O)O,O=C(CCC1CO1)NCCNCCCC1CO1,new_recombined_pair,390.93238157567407,399.64774582615667,78.80593787268505,82.21100763617969,True,True,400,0.3522541738433347,20.905006082888256
O=Cc1cc(C(=O)O)ccc1C(=O)O,O=C(COCCC1CO1)NCCCNCCCCCC1CO1,new_recombined_pair,378.5860375028185,400.1388068017785,80.38576332740206,83.72660794688626,True,True,400,0.13880680177851445,21.07045878850008
O=C(O)C(CCc1ccccc1)C(=O)O,O=C(COCCC1CO1)NCCCNCCCCCC1CO1,new_recombined_pair,392.163567179652,400.296328457173,79.74240532860169,83.10911586675377,True,True,400,0.29632845717299006,21.073607423861432
O=C(O)CCCCCCCC(=O)O,O=C(OCC1CO1)C(CC1CO1)c1ccccc1,new_recombined_pair,466.264522858944,400.788641742247,78.02895902479771,81.4665107823826,True,True,400,0.7886417422470231,21.155269437842673
NC(CCCCCCC(=O)O)C(=O)O,COc1cc(CC2CO2)ccc1OCC1CO1,new_recombined_pair,422.50582440743034,399.6551612140902,79.9251443385063,83.28446812037383,True,True,400,0.34483878590981476,21.165955816003272
O=C(O)CC(C(=O)O)N1C(=O)c2ccccc2C1=O,Cc1ccc(CN(CC2CO2)CC2CO2)cc1C,new_recombined_pair,443.42391789523043,399.6297585237131,79.88428646504181,83.24525906375307,True,True,400,0.3702414762868784,21.181556242225145
O=C(O)CNCCCCCCNCC(=O)O,NN=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,new_recombined_pair,399.07529950843013,399.8027660625837,80.75135769061119,84.07767659396595,True,True,400,0.1972339374162857,21.216653085907772
O=C(O)CCC(=O)OCCNCCOC(=O)CCC(=O)O,Cc1ccc(CCCNCCNC(=O)C(CC2CO2)CC2CO2)cc1,new_recombined_pair,407.79867843158667,399.81471042499055,80.88364325212777,84.2047366737761,True,True,400,0.18528957500944898,21.236473743453473
O=C(O)C(CCc1ccccc1)C(=O)O,O=C(COCC1CO1)NCCOCC1CO1,new_recombined_pair,449.58298303430104,399.60238679220726,80.10098458625761,83.45323040032889,True,True,400,0.39761320779274456,21.260920807874967
CC(C)(CCC(=O)O)C(=O)NCCCC(=O)O,CC(=O)Cc1ccc(OCC2CO2)c(OCC2CO2)c1,new_recombined_pair,391.62820376894535,399.84028536734644,81.21344951284323,84.52158490195055,True,True,400,0.15971463265356078,21.290110858141198
CCC(CCCC(=O)O)C(=O)O,O=C(NCCCCCCNCC1CO1)c1ccccc1OCC1CO1,new_recombined_pair,377.5203474415753,400.44497658055053,80.03962768079656,83.39433992689813,True,True,400,0.4449765805505308,21.293561562275062
Cc1cc(CNCCCC(=O)O)ccc1C(=O)O,O=C(COC(=O)CCCC1CO1)NCC1CO1,new_recombined_pair,361.9021928680681,400.4917275522788,80.11159650436167,83.46341609975087,True,True,400,0.49172755227880316,21.35758157721652
CCC(CCCC(=O)O)C(=O)O,Cc1ccc(C(C)NCc2cccc(OCC3CO3)c2)c(OCC2CO2)c1,new_recombined_pair,375.72843659096384,399.37586342700007,79.6113393003924,82.98336747664982,True,True,400,0.6241365729999302,21.369978442162385
O=C(O)CCCNCc1ccc(OCC(=O)O)cc1,OCc1ccc(OCC2CO2)c(OCC2CO2)c1,new_recombined_pair,390.0418725860522,400.51701000903495,80.22413388478782,83.57144003860925,True,True,400,0.5170100090349479,21.40987001868726
O=C(O)CCCNCc1ccc(OCC(=O)O)cc1,c1ccc(CC(COCC2CO2)NCc2ccc(COCC3CO3)cc2)cc1,new_recombined_pair,396.9216292503237,400.4023686131023,80.74282554164758,84.06948203130216,True,True,400,0.4023686131022828,21.419739120927822
O=C(O)CCc1ccccc1C(=O)O,O=C(COCCC1CO1)NCCCNCCCCCC1CO1,new_recombined_pair,401.22125195155115,399.4794505705152,80.28071581160573,83.62575717915087,True,True,400,0.5205494294847881,21.426988724272505
Cc1ccc(C(C)(CCC(=O)O)CCC(=O)O)cc1,c1cc(COCC2CO2)ccc1CNc1ccc(COCCOCC2CO2)cc1,new_recombined_pair,400.85243356045675,400.4486028835813,80.61005195756661,83.94197048654557,True,True,400,0.44860288358131584,21.43409550521771
COc1ccc(CNC(CCC(=O)O)C(=O)O)cc1C,COC(=O)Cc1cccc(NCC(=O)N(CC2CO2)CC2CO2)c1,new_recombined_pair,402.8319541585655,400.1411734217752,81.90145760781913,85.18287792067073,True,True,400,0.14117342177519276,21.436892901942876
O=C(O)c1cccc(C=Cc2cccc(C(=O)O)c2)c1,CCOc1cccc(CN(CC)c2cccc(OCC3CO3)c2)c1OCC1CO1,new_recombined_pair,423.97773627890166,399.9260237701555,82.24375266282505,85.51203882861431,True,True,400,0.07397622984450436,21.45198593699808
O=C(O)CCC(CCC(=O)O)C(=O)OCCO,COC(=O)Cc1cccc(NCC(=O)N(CC2CO2)CC2CO2)c1,new_recombined_pair,430.9257474870784,400.42824709654735,80.79044577764205,84.11521896489731,True,True,400,0.42824709654735216,21.45705183777168
NCCCCCN(CCC(=O)O)CCC(=O)O,O=C(OCC1CO1)C(CC1CO1)c1ccccc1,new_recombined_pair,464.57827869816424,399.08469640505194,78.8410810207231,82.24469581121159,True,True,400,0.9153035949480568,21.476477547750953
NC(CCCC(=O)O)C(=O)O,Cc1ccc(OCC2CO2)c(OCC2CO2)c1C,new_recombined_pair,399.64124041354034,400.64041538980734,80.01094951200474,83.36681578646909,True,True,400,0.6404153898073446,21.482119336424617
CC(=CC(=O)O)C(=Cc1ccccc1)C(=O)O,O=C(OCCOC(c1ccccc1)c1ccccc1)c1ccc(OCC2CO2)cc1OCC1CO1,new_recombined_pair,425.70867116508737,400.1229980917633,82.31199200873864,85.57767209388881,True,True,400,0.1229980917632929,21.517416115235495
O=C(O)CCC(NCc1ccc2ccccc2c1)C(=O)O,CCC(=O)CCCOC(=O)c1cccc(OCC2CO2)c1OCC1CO1,new_recombined_pair,390.14124598765426,399.51935436180656,80.91634069862313,84.23614500093267,True,True,400,0.48064563819343675,21.539681888426603
Cc1cc(CNCC(C(=O)O)c2ccccc2)ccc1C(=O)O,c1cc(OCC2CO2)ccc1OCCC1CO1,new_recombined_pair,356.84177863488753,400.669518351498,80.27669384092175,83.62189609541022,True,True,400,0.6695183514980272,21.574992375350583
O=C(O)CNc1ccc(NCC(=O)O)cc1,c1ccc(Cn2cc(CN(CCOCC3CO3)Cc3ccc(COCC4CO4)cc3)cn2)cc1,new_recombined_pair,403.47977601344996,399.94195024533843,82.90371492463328,86.14696675372478,True,True,400,0.058049754661567476,21.594791443092763
O=C(O)CCCCCCCCCCCCCC(=O)O,Cc1cccc(CNC(=O)C(CC2CO2)CC2CO2)c1,new_recombined_pair,450.1612511579408,449.9588911437844,79.4238297178034,82.80349424755654,True,True,450,0.04110885621560101,20.741982418104737
O=C(O)CCNCCCCNCCC(=O)O,CC(=O)c1ccc(NC(=O)COC(=O)C(CC2CO2)CC2CO2)cc1,new_recombined_pair,427.63919601394525,450.0403870968843,79.64639347103247,83.0169978107196,True,True,450,0.04038709688427389,20.794636549564174
O=C(O)CCCC(O)C(=O)O,O=C(CCC1CO1)NCCCNCCCC1CO1,new_recombined_pair,434.5536566594475,449.63215527636214,78.76321044368581,82.1700508212015,True,True,450,0.3678447236378588,20.910357428938234
O=C(O)CC(=O)O,O=C(CCC1CO1)Nc1cccc(OCC2CO2)c1,new_recombined_pair,450.06470706959504,450.3151294971699,79.09076889377224,82.48408123250564,True,True,450,0.3151294971698917,20.936149805296303
O=C(O)CNCCCCCCNCC(=O)O,Cc1cccc(C(=O)NC(C)Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,new_recombined_pair,421.9555575182844,450.0694686179317,80.61116713748412,83.94304140207156,True,True,450,0.06946861793170456,21.055228968449594
O=C(O)CCCC=NNc1ccc(C(=O)O)cn1,O=C(CCC1CO1)NCCCNCCCC1CO1,new_recombined_pair,439.18627924671705,450.1258718834411,80.63337606793164,83.9643690423205,True,True,450,0.125871883441107,21.11696414402123
O=C(O)CCCCCCCC(=O)O,O=C(CNc1ccc2ccccc2c1)N(CC1CO1)CC1CO1,new_recombined_pair,427.21586434072094,449.535209118949,79.37837142667796,82.75989235683033,True,True,450,0.46479088105098754,21.15476397025857
O=C(O)C(=O)c1ccccc1C(=O)O,Cc1cc(C)c2c(OCC3CO3)ccc(OCC3CO3)c2n1,new_recombined_pair,459.50624136027017,450.088664615089,81.1397520761838,84.45077441650297,True,True,450,0.08866461508898738,21.20135821921473
Cn1cc(CNCCc2ccc(CC(=O)O)cc2)cc1C(=O)O,Cc1cccc(OCC2CO2)c1CNCCc1ccc(OCC2CO2)cc1,new_recombined_pair,471.23948654995104,449.93688127281445,81.50274136542549,84.79959187780292,True,True,450,0.06311872718555378,21.263016696636285
Cn1cc(CNCCc2ccc(CC(=O)O)cc2)cc1C(=O)O,COc1cc(C=CC(=O)NCC2CO2)ccc1OCC1CO1,new_recombined_pair,453.26294958246945,450.03522049186785,82.07055191757655,85.34547102581442,True,True,450,0.035220491867846704,21.37158824832145
O=C(O)CC(NCc1cccc2cccnc12)C(=O)O,C(CCCCC1CO1)CCCC1CO1,new_recombined_pair,426.9053874976322,451.14820669678,78.16850550975674,81.60017883676095,True,True,450,1.1482066967799938,21.54825140597023
Cc1c(C(=O)O)cc(CNCCc2ccc(C(=O)O)cc2)n1C,Cc1cccc(OCC2CO2)c1CNCCc1ccc(OCC2CO2)cc1,new_recombined_pair,443.7631888268023,449.5624446955245,81.28371864840628,84.58910597633582,True,True,450,0.4375553044754952,21.58483179855945
Cc1cccc2cc(C(=O)O)c(C(=O)O)nc12,Cc1ccccc1N(CC1CO1)CC1CO1,new_recombined_pair,441.07566799148924,449.15114980986857,79.63674871962728,83.0077446940679,True,True,450,0.8488501901314294,21.600786363648403
O=C(O)CCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCC(=O)O)C3=O,c1cc(COCC2CO2)ccc1CNc1ccc(COCCOCC2CO2)cc1,new_recombined_pair,447.7572368627822,449.7729298511268,82.27603222544397,85.5430851169444,True,True,450,0.2270701488732243,21.612841428109324
CC(C)(CCC(=O)O)C(=O)NCCCC(=O)O,O=C(CCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1,new_recombined_pair,373.1032126345755,449.8797107355679,82.91637237500564,86.15914774644128,True,True,450,0.1202892644320741,21.660076201042394
CC(C)(CCNCc1ccc(C(=O)O)cc1)C(=O)O,Cc1ccccc1N(CC1CO1)CC1CO1,new_recombined_pair,495.139688049661,451.23024636456915,78.41478153401604,81.83612830278547,True,True,450,1.2302463645691546,21.68927844026552
CC(NC(Cc1ccccc1)C(=O)O)C(=O)O,Cc1cccc(OCCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,new_recombined_pair,424.2417182884044,449.48556353469854,81.4493660307011,84.74829295841673,True,True,450,0.5144364653014577,21.70150970490564
CC(C)(CCNc1cccc(CCC(=O)O)c1)C(=O)O,Cc1ccccc1N(CC1CO1)CC1CO1,new_recombined_pair,492.27011424410915,451.2480731375837,78.41782382626975,81.83904340967324,True,True,450,1.248073137583674,21.707833990001983
Cc1cc(CNCC(C(=O)O)c2ccccc2)ccc1C(=O)O,O=C(NCCCc1ccccn1)c1cccc(OCC2CO2)c1OCC1CO1,new_recombined_pair,389.4745454761018,449.93727991923686,83.53936708692223,86.75885998470729,True,True,450,0.0627200807631425,21.752435076939964
CCc1cccc(CNC(CC(=O)O)C(=O)O)c1,c1cc(OCC2CO2)c2nc3ccc(OCC4CO4)cc3nc2c1,new_recombined_pair,377.401879575286,450.5232722016247,81.68828549600615,84.97793784176872,True,True,450,0.5232722016247067,21.767756662066887
O=C(O)C1CCC(C(=O)O)CC1,CC(C)CNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,new_recombined_pair,441.6220307745851,450.40739526924125,82.32428198731309,85.58949314775232,True,True,450,0.407395269241249,21.80476855617933
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(O)cc1O,c1cc(OCC2CO2)ccc1OCCC1CO1,new_recombined_pair,413.39926264129474,450.4155783764919,82.42485428491732,85.68623306256585,True,True,450,0.4155783764919079,21.83713664213337
CC(C)CC(NC(=O)c1cccc(OCC(=O)O)c1)C(=O)O,O=C(COCCC1CO1)NCCCNCCCCCC1CO1,new_recombined_pair,436.11704063931427,450.53777705094734,81.93933217514348,85.21929411741804,True,True,450,0.5377770509473407,21.842600580301852
NC(CCCCCC(=O)O)C(=O)O,COC(=O)c1cc(C(=O)N(CC2CO2)CC2CO2)ccc1C,new_recombined_pair,485.5098830010569,449.10553585287414,80.62321091348176,83.95460720271558,True,True,450,0.8944641471258592,21.883115947804754
O=C(O)c1c(C(=O)O)c2ccc3ccccc3c2c2ccccc12,c1ccc(OCCOCC2CO2)c(OCCOCCOCC2CO2)c1,new_recombined_pair,434.9287360772631,449.809754325261,83.64314017984846,86.85878672712553,True,True,450,0.19024567473900333,21.904942356520387
O=C(O)COc1ccccc1C(=O)O,O=C(CCCCC(=O)NCCCC1CO1)NCCCC1CO1,new_recombined_pair,429.4306375035857,449.35886767144785,81.79469046952111,85.08022873480812,True,True,450,0.6411323285521462,21.911189512254175
NC(CCCCCCC(=O)O)C(=O)O,O=C(CCC1CO1)NCCCNCCCC1CO1,new_recombined_pair,417.18892206464795,451.23947074500313,79.38440896133157,82.76568321896727,True,True,450,1.239470745003132,21.93089154974495
CCc1cc(C(=O)O)ccc1NC(=O)CC(C)CC(=O)O,COc1ccc(CN(CC2CO2)CC2CO2)cc1,new_recombined_pair,473.6430645011418,449.0014367216958,80.40144994074471,83.74166875060813,True,True,450,0.9985632783041751,21.933980465956207
CC(=NNc1ccc(C(=O)O)cc1)c1ccc(C(=O)O)cc1,O=C(COCC1CO1)N(CCc1ccccc1)CC1CO1,observed_library_pair,442.34738131901514,450.8665323033555,81.05094477791097,84.36545253807671,True,True,450,0.8665323033554841,21.95789543787466
O=C(O)CCC(CCC(=O)O)C(=O)NCC1=CCCC1,O=C(COCC1CO1)N(CCc1ccccc1)CC1CO1,new_recombined_pair,442.0175320563826,450.3362775028805,83.43821574789132,86.6614665220602,True,True,450,0.33627750288047764,22.001644133395526
O=C(O)CCC(NCc1ccc2ccccc2c1)C(=O)O,OCc1ccc(CN(CC2CO2)CC2CO2)cc1,new_recombined_pair,473.8794615788525,499.374163096852,78.75427260501122,82.16148359241647,True,True,500,0.6258369031480129,21.16620780125213
CC(NC(Cc1ccccc1)C(=O)O)C(=O)O,CN(CC(=O)Nc1ccccc1)C(=O)C(CC1CO1)CC1CO1,new_recombined_pair,458.74756770219324,500.01563217322575,81.49353348778304,84.79074202344803,True,True,500,0.01563217322575383,21.213317679087762
COc1ccc(NC(=O)C(CCC(=O)O)CCC(=O)O)c(OCc2ccccc2)c1,c1cc(CC2CO2)ccc1Cc1ccc(CC2CO2)cc1,new_recombined_pair,453.91415914507905,500.16185136740023,81.16446905041884,84.47452260178153,True,True,500,0.16185136740023154,21.280482017845614
CCC(CC)(CNCc1ccc(C(=O)O)cc1)C(=O)O,COc1cc(CO)ccc1C(=O)N(CC1CO1)CC1CO1,new_recombined_pair,524.4115118175353,499.3904978398596,80.19002651835925,83.53869932897962,True,True,500,0.6095021601403801,21.494176992385285
O=C(O)CC1(NCc2ccc(C(=O)O)cc2)CCCC1,Cc1cccc(OCCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,new_recombined_pair,442.4390412744198,500.3035066642512,82.40301938241394,85.665229445213,True,True,500,0.3035066642511879,21.719814025554438
CC(=NNc1ccc(C(=O)O)cc1)c1ccc(OCC(=O)O)cc1,O=C(NCCCNCCCc1ccccc1)C(CC1CO1)CC1CO1,new_recombined_pair,438.3045879114617,499.2432907037622,80.61042985533888,83.94233338444322,True,True,500,0.7567092962377728,21.742292642348577
O=C(O)CNCCCNCC(=O)O,O=C(Nc1cccc(OCC(=O)N(CC2CO2)CC2CO2)c1)C1CC1,observed_library_pair,471.04505992124143,500.4207652471333,82.13025599334871,85.40288567780068,True,True,500,0.42076524713331764,21.77148666658349
CCC(CC)(CNCc1ccc(C(=O)O)cc1)C(=O)O,O=C(NCCCCCCNCC1CO1)c1ccccc1OCC1CO1,new_recombined_pair,497.59456934763034,499.0319203951352,80.03691549131565,83.39173684440506,True,True,500,0.9680796048647835,21.81601381596605
CCCCN1C(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2C1=O,O=C(COCC1CO1)NCCOCC1CO1,new_recombined_pair,492.13361547093,499.7171497065539,82.89475382335702,86.13834305347105,True,True,500,0.2828502934460744,21.817436056813836
CCCCCCCOc1cccc(CNC(CCC(=O)O)C(=O)O)c1,CCOCc1cccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,new_recombined_pair,491.02747456803564,499.9744298331404,84.17594345681782,87.37198286297439,True,True,500,0.02557016685960889,21.868565882603207
O=C(O)CCc1cccc(CCC(=O)O)c1O,O=C(NCCCCCCNCC1CO1)c1ccccc1OCC1CO1,new_recombined_pair,491.1781689280185,500.684344776211,81.46311193591069,84.76150387319242,True,True,500,0.6843447762109918,21.874720744509098
O=C(CC1(C(=O)O)CCCCC1)NCc1ccc(C(=O)O)cc1,O=C(OCCCCCCO)c1ccc(OCC2CO2)cc1OCC1CO1,observed_library_pair,495.44051570231386,500.3233997576425,83.1806727251736,86.41353046586477,True,True,500,0.3233997576425054,21.926782374108697
O=C(O)c1ccc2c(c1)C(=O)c1ccc(C(=O)O)cc1C2=O,O=C(COCC1CO1)NCCOCC1CO1,new_recombined_pair,502.85593379577966,500.5164495709211,82.55131308803877,85.80788556491706,True,True,500,0.516449570921111,21.968420962150375
CCCCC(NCc1cccc(C(=O)O)c1)C(=O)O,c1cc(CC2CO2)ccc1Cc1ccc(CC2CO2)cc1,new_recombined_pair,480.05954342744434,498.4420428324065,78.30546775338173,81.73139061975152,True,True,500,1.5579571675934858,21.990804822531366
O=C(O)CNc1ccc(NCC(=O)O)cc1,O=C(NCc1ccccc1CN1CCCCCC1)C(CC1CO1)CC1CO1,new_recombined_pair,446.6489234809209,500.4231263490282,83.23349170953396,86.46437459857995,True,True,500,0.4231263490282231,22.03921999867321
O=C(O)CCCNCc1ccc(OCC(=O)O)cc1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1ccc2c(c1)CCC2,new_recombined_pair,449.7923422071525,500.78907368309,81.73745405578887,85.02520407552514,True,True,500,0.7890736830900096,22.045374701971294
CC(C)(C)C(NC(=O)CCC(=O)O)C(=O)O,c1cc(CNc2ccnc3c(OCC4CO4)cccc23)cc(OCC2CO2)c1,new_recombined_pair,428.89259643106936,500.7370565946343,82.1885347551842,85.45893269732908,True,True,500,0.7370565946342822,22.10178976896655
