feature,importance_mean,importance_std
Mouse_1_Nose_to_centroid,-0.0006857142857142895,0.0020571428571428685
Movement_mouse_1_right_ear,-0.0006857142857142895,0.0020571428571428685
Mouse_1_Nose_to_lateral_right,-0.0006857142857142895,0.0020571428571428685
Mouse_1_Nose_to_lateral_left,-0.0006857142857142895,0.0020571428571428685
Centroid_distance_sum_2,-0.0006857142857142895,0.0020571428571428685
Mouse_1_poly_area_mean_5,-0.0006857142857142895,0.0020571428571428685
Mouse_1_poly_area_mean_15,-0.0006857142857142895,0.0020571428571428685
Centroid_distance_median_15,-0.0009087557603687068,0.00640276995208427
M1_Nose_to_M2_lat_right,-0.001371428571428579,0.0027428571428571575
M2_Nose_to_M1_lat_right,-0.001371428571428579,0.0027428571428571575
Movement_mouse_2_lateral_left,-0.001371428571428579,0.0027428571428571575
Mouse_2_Centroid_to_lateral_right,-0.001371428571428579,0.0027428571428571575
Mouse_1_Centroid_to_lateral_left,-0.001371428571428579,0.0027428571428571575
Centroid_distance,-0.001371428571428579,0.0027428571428571575
M1_Nose_to_M2_lat_left,-0.001371428571428579,0.0027428571428571575
Nose_to_nose_distance,-0.001371428571428579,0.0027428571428571575
Total_movement_centroids_median_5,-0.001371428571428579,0.0027428571428571575
Mouse_2_poly_area_mean_15,-0.001371428571428579,0.0027428571428571575
Mouse_1_nose_to_tail_sum_2,-0.001371428571428579,0.0027428571428571575
Mouse_2_poly_area_sum_5,-0.001371428571428579,0.0027428571428571575
Centroid_distance_mean_2,-0.001371428571428579,0.0027428571428571575
Centroid_distance_mean_5,-0.001371428571428579,0.0027428571428571575
Centroid_distance_median_2,-0.001371428571428579,0.0027428571428571575
Mouse_1_width_sum_5,-0.001371428571428579,0.0027428571428571575
Mouse_1_width_median_5,-0.001371428571428579,0.0027428571428571575
Mouse_1_width_mean_5,-0.001371428571428579,0.0027428571428571575
Mouse_1_nose_to_tail_median_5,-0.001371428571428579,0.0027428571428571575
Mouse_2_width_sum_5,-0.001371428571428579,0.0027428571428571575
M2_Nose_to_M1_lat_left,-0.0013822272215973208,0.004092759644530033
Mouse_2_width_median_2,-0.0020571428571428685,0.0031423376193983076
Nose_to_nose_distance_median_5,-0.0020571428571428685,0.0031423376193983076
Mouse_2_Nose_to_lateral_right,-0.0020571428571428685,0.0031423376193983076
Movement_mouse_1_tail_end,-0.0020571428571428685,0.0031423376193983076
Movement_mouse_1_tail_base,-0.002742857142857158,0.0033593002186740914
Nose_to_nose_distance_mean_2,-0.002742857142857158,0.0033593002186740914
Centroid_distance_sum_5,-0.002742857142857158,0.0033593002186740914
Centroid_distance_median_5,-0.002742857142857158,0.0033593002186740914
Total_movement_tail_ends,-0.002742857142857158,0.0033593002186740914
Nose_to_nose_distance_median_2,-0.002742857142857158,0.0033593002186740914
Total_movement_centroids_sum_5,-0.002742857142857158,0.0033593002186740914
Mouse_2_poly_area_median_15,-0.002742857142857158,0.0033593002186740914
Nose_to_nose_distance_sum_2,-0.002742857142857158,0.0033593002186740914
Mouse_2_width_sum_15,-0.002742857142857158,0.0033593002186740914
Mouse_2_width_mean_5,-0.002742857142857158,0.0033593002186740914
Mouse_1_width_sum_15,-0.002761350267880591,0.007012312639328063
Mouse_2_width_mean_15,-0.003200000000000025,0.005131415844718558
Centroid_distance_mean_15,-0.0034285714285714475,0.0034285714285714475
Total_movement_centroids_median_15,-0.0036552995391705423,0.005333213311029604
Mouse_2_nose_to_tail_median_15,-0.003664576074332204,0.005029972172416046
Mouse_1_poly_area_median_5,-0.004114285714285737,0.0033593002186740914
Total_movement_centroids_mean_15,-0.004114285714285737,0.0033593002186740914
Total_movement_centroids_sum_15,-0.004114285714285737,0.0033593002186740914
M2_Nose_to_M1_tail_base,-0.0041253456221198356,0.004571917619151
Mouse_2_nose_to_tail_mean_15,-0.004580645161290353,0.004708667273780216
Mouse_1_poly_area_sum_15,-0.005656692913385863,0.00380786675858377
