,season,hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
83,Winter,11,625.4676314596642,141.1691580119684,290.7755361309767,74.46985834322649,376.0047411880047
84,Winter,12,602.7080239308884,141.16875100673298,294.3730595233022,75.68745671429255,364.7355208149783
85,Winter,13,581.271310725242,141.85436035993666,297.11617979670723,76.24527977028127,354.49255954480276
86,Winter,14,560.0706568008161,143.92640731781995,300.75948864827564,77.1814711399619,344.7744127554282
87,Winter,15,544.5680609713654,145.88363267988282,300.6171230649249,78.23801626042905,337.05353677241794
88,Winter,16,531.8776682762452,149.315777468265,301.12969844856394,79.2321588549729,331.3434276408284
89,Winter,17,528.142016262492,152.2314667737447,298.8595343845824,79.68630909709928,329.66920049173626
90,Winter,18,525.2602730552873,156.192406503712,296.73435392707466,80.6250805928687,328.5221889677378
91,Winter,19,529.6639528229432,159.9157910498598,292.6771052970887,0.0,371.34213478584724
92,Winter,20,543.5237355998628,162.99946048285088,289.59519848818496,0.0,378.5807456424236
93,Winter,21,555.3153002340031,165.4628393559175,283.77349892023074,0.0,384.05120170782294
94,Winter,22,574.2717484319224,167.1713658126479,278.92356543450865,0.0,393.0719970466573
95,Winter,23,596.9901858941804,168.5085338796168,274.6054502558534,0.0,403.9687431621459
