country,n_points,mangrove_ha,risk_pop,risk_stock_usd,ben_pop,ben_stock_usd,composite_mean_ssp245,composite_high_pct_ssp245,composite_extreme_pct_ssp245,mangrove_ha_at_risk_ssp245,risk_pop_at_risk_ssp245,risk_stock_at_risk_usd_ssp245,composite_mean_ssp370,composite_high_pct_ssp370,composite_extreme_pct_ssp370,mangrove_ha_at_risk_ssp370,risk_pop_at_risk_ssp370,risk_stock_at_risk_usd_ssp370,composite_mean_ssp585,composite_high_pct_ssp585,composite_extreme_pct_ssp585,mangrove_ha_at_risk_ssp585,risk_pop_at_risk_ssp585,risk_stock_at_risk_usd_ssp585
Costa Rica,222,37034,4394,36007873.0,2729.0,16020972.0,0.1285231073515743,0.0,0.0,0.0,0.0,0.0,0.13995690225263374,0.0,0.0,0.0,0.0,0.0,0.14620619399765497,0.0,0.0,0.0,0.0,0.0
Fiji,319,48811,5564,27088891.0,3911.0,18594698.0,0.8474946956625996,79.62382445141067,79.62382445141067,38865.18495297806,4430.269592476489,21569211.015673984,0.8744764515098948,95.92476489028213,79.62382445141067,46821.83699059561,5337.2539184952975,25984955.0031348,0.8909846608029278,95.92476489028213,79.62382445141067,46821.83699059561,5337.2539184952975,25984955.0031348
Ecuador,678,162785,30509,143295722.0,16398.0,145772481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,1080,342417,29447,287496675.522528,9227.0,90084960.269174,0.5675030158058882,48.51851851851852,20.555555555555554,166135.65555555554,14287.248148148148,139489127.75352284,0.620481041260598,48.51851851851852,34.44444444444444,166135.65555555554,14287.248148148148,139489127.75352284,0.6487059719099197,65.18518518518519,41.48148148148148,223205.15555555557,19195.081481481484,187405240.34061086
Madagascar,884,275833,103671,31719761.0,20020.0,13838664.0,0.3505316393891077,20.701357466063346,8.257918552036198,57101.17533936651,21461.30429864253,6566421.11199095,0.38313063586037693,22.963800904977376,8.710407239819004,63341.74095022624,23806.802036199093,7284062.76357466,0.39977801061191626,22.963800904977376,8.710407239819004,63341.74095022624,23806.802036199093,7284062.76357466
United States,1190,231525,329242,21150953450.0,64247.0,2352552635.0,0.4795022087946161,31.76470588235294,16.554621848739494,73543.23529411764,104582.75294117647,6718538154.705882,0.5297294349475905,32.52100840336134,28.739495798319325,75294.26470588235,107072.81848739496,6878503348.865546,0.5618820343913101,80.0,30.92436974789916,185220.0,263393.60000000003,16920762760.0
Colombia,970,289936,71822,242069107.0,15055.0,85285326.0,0.0275875313860022,1.958762886597938,1.0309278350515463,5679.158762886598,1406.822680412371,4741559.827835051,0.02939682111272498,1.958762886597938,1.0309278350515463,5679.158762886598,1406.822680412371,4741559.827835051,0.029974256809164986,1.958762886597938,1.0309278350515463,5679.158762886598,1406.822680412371,4741559.827835051
Malaysia,2405,579537,106284,342518762.0,22448.0,106584340.0,0.1357059872875942,1.0810810810810811,0.0,6265.264864864866,1149.0162162162162,3702905.5351351355,0.1503150664702604,1.9126819126819128,0.9147609147609148,11084.699376299377,2032.874844074844,6551294.408316009,0.15922347622251282,1.9126819126819128,1.0810810810810811,11084.699376299377,2032.874844074844,6551294.408316009
Honduras,286,85226,6683,22392815.0,2721.0,8215556.0,0.5066338258924167,47.2027972027972,23.776223776223777,40229.055944055945,3154.562937062937,10570035.052447552,0.5372380048806221,47.2027972027972,23.776223776223777,40229.055944055945,3154.562937062937,10570035.052447552,0.558297094870468,64.6853146853147,23.776223776223777,55128.706293706295,4322.919580419581,14484862.84965035
Vanuatu,7,1532,5656,50318275.816529,1607.0,14296582.25551,0.5140397329922352,14.285714285714285,14.285714285714285,218.85714285714283,808.0,7188325.1166469995,0.5614374311439094,100.0,14.285714285714285,1532.0,5656.0,50318275.816529,0.5882104308374309,100.0,14.285714285714285,1532.0,5656.0,50318275.816529
Guatemala,130,29554,1684,7753412.0,996.0,4470789.0,0.2614788649910711,0.0,0.0,0.0,0.0,0.0,0.2881673187062332,0.0,0.0,0.0,0.0,0.0,0.3048569084419313,0.0,0.0,0.0,0.0,0.0
India,2440,492571,1210902,1698438651.0,1144050.0,1587476843.0,0.10750629852215966,0.0,0.0,0.0,0.0,0.0,0.12987894059029717,0.0,0.0,0.0,0.0,0.0,0.14071179434054745,0.5327868852459016,0.0,2624.35368852459,6451.527049180328,9049058.386475408
Liberia,266,19726,11220,7794388.0,5823.0,5240208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,1221,297832,2443,1774430.0,2711.0,1585206.0,0.028607249585730223,0.0,0.0,0.0,0.0,0.0,0.029350418787656173,0.0,0.0,0.0,0.0,0.0,0.028607249585730223,0.0,0.0,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",1269,300542,128871,578987661.0,19847.0,123343160.0,0.18566599947329152,0.0,0.0,0.0,0.0,0.0,0.2037910695970458,0.07880220646178093,0.0,236.83372734436566,101.55319148936171,456255.05200945627,0.21473496079717688,0.07880220646178093,0.0,236.83372734436566,101.55319148936171,456255.05200945627
Nigeria,3179,887472,133742,192628973.0,94983.0,86226425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,764,194197,2162,5069257.0,1557.0,3320704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,142,19270,42807,211021863.0,6554.0,15004277.0,0.2862896038413645,14.084507042253522,0.0,2714.084507042254,6029.154929577465,29721389.15492958,0.3133267995827073,14.084507042253522,0.0,2714.084507042254,6029.154929577465,29721389.15492958,0.3290856273184106,14.084507042253522,0.0,2714.084507042254,6029.154929577465,29721389.15492958
New Caledonia,421,33481,5427,0.0,1384.0,0.0,0.13842368352720422,0.0,0.0,0.0,0.0,0.0,0.14740503932499302,0.0,0.0,0.0,0.0,0.0,0.14992124682710037,0.0,0.0,0.0,0.0,0.0
Peru,48,11845,8188,66437364.0,659.0,5598405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,93,1016,33178,1273881731.0,2485.0,392369031.0,0.41456194627456167,54.83870967741935,0.0,557.1612903225806,18194.387096774193,698580304.0967741,0.4532691843547592,54.83870967741935,0.0,557.1612903225806,18194.387096774193,698580304.0967741,0.47594636660739575,54.83870967741935,0.0,557.1612903225806,18194.387096774193,698580304.0967741
"Micronesia, Federated States of",100,8711,2962,0.0,420.0,0.0,0.9152251364551569,100.0,82.0,8711.0,2962.0,0.0,0.9257233150957666,100.0,82.0,8711.0,2962.0,0.0,0.9327838354924458,100.0,82.0,8711.0,2962.0,0.0
Kenya,194,56260,15358,16215720.0,34183.0,28889528.0,0.04999522929650657,0.0,0.0,0.0,0.0,0.0,0.05402481483269558,0.0,0.0,0.0,0.0,0.0,0.05595276091474099,0.0,0.0,0.0,0.0,0.0
Gambia,267,74425,2784,1684971.0,1687.0,1323843.0,0.02020882303157997,0.0,0.0,0.0,0.0,0.0,0.020733814951520907,0.0,0.0,0.0,0.0,0.0,0.02020882303157997,0.0,0.0,0.0,0.0,0.0
Angola,266,51756,11775,41409776.0,6739.0,41700883.0,0.001919491164574855,0.0,0.0,0.0,0.0,0.0,0.0019693563818725265,0.0,0.0,0.0,0.0,0.0,0.001919491164574855,0.0,0.0,0.0,0.0,0.0
"Congo, The Democratic Republic of the",73,36328,0,0.0,0.004043,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,100,3415,2631,0.0,1016.0,0.0,0.24647911306928408,0.0,0.0,0.0,0.0,0.0,0.36711219050710225,7.000000000000001,0.0,239.05,184.17000000000002,0.0,0.38564169607347554,7.000000000000001,0.0,239.05,184.17000000000002,0.0
Guinea,882,253417,7795,9351624.0,21210.0,30338541.0,0.01804828535025986,0.0,0.0,0.0,0.0,0.0,0.018517150061622217,0.0,0.0,0.0,0.0,0.0,0.01804828535025986,0.0,0.0,0.0,0.0,0.0
Eritrea,169,7175,4570,4847504.23871,6838.0,7253224.066586,0.2196533450457972,1.7751479289940828,0.0,127.36686390532545,81.12426035502959,86050.37110136096,0.27692226011688637,13.017751479289942,0.0,934.0236686390532,594.9112426035502,631036.0547433136,0.29480409534079016,13.017751479289942,1.7751479289940828,934.0236686390532,594.9112426035502,631036.0547433136
Senegal,708,232995,30551,34984208.0,32980.0,43091067.0,0.026699169299298924,0.0,0.0,0.0,0.0,0.0,0.02739276971973723,0.0,0.0,0.0,0.0,0.0,0.026699169299298924,0.0,0.0,0.0,0.0,0.0
Ghana,188,18391,59157,249967863.0,18397.0,109352669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,269,29676,23126,1361281995.0,1186.0,230904478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,148,51920,2324,15254762.0,1222.0,2186078.0,0.10852881874058594,0.0,0.0,0.0,0.0,0.0,0.11674643843186164,0.0,0.0,0.0,0.0,0.0,0.11980097510696187,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,495,6127,82993,535581663.0,17490.0,112569887.0,0.15223548353386995,0.0,0.0,0.0,0.0,0.0,0.2379939504667497,17.575757575757574,0.0,1076.8666666666666,14586.648484848485,94132534.7090909,0.2525319645149444,23.434343434343436,6.4646464646464645,1435.8222222222223,19448.864646464648,125510046.27878788
Panama,793,152860,8837,29974273.0,4742.0,14958912.0,0.10594500352973375,0.0,0.0,0.0,0.0,0.0,0.1148848537896881,0.0,0.0,0.0,0.0,0.0,0.11933120576367998,0.0,0.0,0.0,0.0,0.0
Bangladesh,2527,531711,657059,1352366845.0,621358.0,1286290673.0,0.1401727037963686,0.0,0.0,0.0,0.0,0.0,0.15550159767420493,4.115552037989711,0.0,21882.842896715472,27041.605065294814,55657361.25049465,0.16298230617721537,4.115552037989711,0.0,21882.842896715472,27041.605065294814,55657361.25049465
Cameroon,931,211303,9922,13652327.0,159861.0,88430743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,10,1039,896,11031140.544791,1404.0,17285403.264382,0.46328723435245944,50.0,20.0,519.5,448.0,5515570.2723955,0.5099554098652879,50.0,20.0,519.5,448.0,5515570.2723955,0.538814049008707,50.0,20.0,519.5,448.0,5515570.2723955
Nicaragua,382,86057,5268,19362943.0,8175.0,16184777.0,0.6621813141872868,59.16230366492147,59.16230366492147,50913.30366492147,3116.670157068063,11455563.136125654,0.6707304899042243,59.16230366492147,59.16230366492147,50913.30366492147,3116.670157068063,11455563.136125654,0.6761944940805117,59.16230366492147,59.16230366492147,50913.30366492147,3116.670157068063,11455563.136125654
Suriname,265,85438,4230,50073326.0,69710.0,595114322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,221,7393,249755,570497070.0,111891.0,352075128.0,0.37279952822183277,0.0,0.0,0.0,0.0,0.0,0.5871721449258256,88.23529411764706,56.56108597285068,6523.235294117647,220372.0588235294,503379767.6470588,0.6283194225215896,88.23529411764706,56.56108597285068,6523.235294117647,220372.0588235294,503379767.6470588
China,338,24926,16077932,124137014007.0,764842.0,7632534942.0,0.3668336275494202,26.035502958579883,0.0,6489.609467455622,4185970.4615384615,32319695954.485207,0.402589758978007,53.25443786982249,0.0,13274.201183431955,8562212.307692308,66108468997.81066,0.42395116586301657,53.25443786982249,0.0,13274.201183431955,8562212.307692308,66108468997.81066
Somalia,53,5886,21804,11893090.909091,2039.0,1112181.818182,0.001215002526029521,0.0,0.0,0.0,0.0,0.0,0.0012465662894350679,0.0,0.0,0.0,0.0,0.0,0.001215002526029521,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,54,18707,4636,56058429.0,1602.0,9281843.0,0.18707538539526936,0.0,0.0,0.0,0.0,0.0,0.20900429588629205,0.0,0.0,0.0,0.0,0.0,0.22439185036217457,0.0,0.0,0.0,0.0,0.0
Jamaica,58,9767,9981,163076058.0,2804.0,40149921.0,0.7849229178696774,100.0,62.06896551724138,9767.0,9981.0,163076058.0,0.8699383424857885,100.0,100.0,9767.0,9981.0,163076058.0,0.9019692340274161,100.0,100.0,9767.0,9981.0,163076058.0
Pakistan,69,82083,42299,23958274.0,21578.0,18389322.0,0.005979923283263172,0.0,0.0,0.0,0.0,0.0,0.008890211915015735,0.0,0.0,0.0,0.0,0.0,0.008867285661744087,0.0,0.0,0.0,0.0,0.0
Yemen,71,1566,50926,369260678.0,6239.0,35634167.0,0.07302021176637807,0.0,0.0,0.0,0.0,0.0,0.10754411377884598,0.0,0.0,0.0,0.0,0.0,0.1137672716004377,0.0,0.0,0.0,0.0,0.0
Puerto Rico,87,8200,14668,753682843.679039,17258.0,886764283.897794,0.31149665151803463,0.0,0.0,0.0,0.0,0.0,0.3403924273102829,43.67816091954023,0.0,3581.609195402299,6406.712643678161,329194805.28509754,0.3564918340654256,43.67816091954023,0.0,3581.609195402299,6406.712643678161,329194805.28509754
Sierra Leone,687,172741,10778,6624940.0,6660.0,3760047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Guiana,261,83100,3484,0.0,6074.0,0.0,0.001900369796651887,0.0,0.0,0.0,0.0,0.0,0.0019497382723213054,0.0,0.0,0.0,0.0,0.0,0.001900369796651887,0.0,0.0,0.0,0.0,0.0
Martinique,73,1944,2384,0.0,620.0,0.0,0.49117833868592514,0.0,0.0,0.0,0.0,0.0,0.5454273915256945,100.0,0.0,1944.0,2384.0,0.0,0.5819184068733901,100.0,0.0,1944.0,2384.0,0.0
Hong Kong,15,546,57102,243074683.0,18509.0,54590872.0,0.14577711046309536,0.0,0.0,0.0,0.0,0.0,0.15258168658375937,0.0,0.0,0.0,0.0,0.0,0.15160220016778175,0.0,0.0,0.0,0.0,0.0
South Africa,112,2654,8866,86491602.0,1603.0,22566767.0,0.010530283664881259,0.0,0.0,0.0,0.0,0.0,0.01080384308148409,0.0,0.0,0.0,0.0,0.0,0.010530283664881259,0.0,0.0,0.0,0.0,0.0
Cayman Islands,35,4432,0,0.0,0.0,0.0,0.8331982417383287,100.0,100.0,4432.0,0.0,0.0,0.9216628264128904,100.0,100.0,4432.0,0.0,0.0,0.9790148017669872,100.0,100.0,4432.0,0.0,0.0
Benin,45,2970,70975,102402912.0,7469.0,6886351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,86,33795,3803,8258813.0,1290.0,13360149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,74,11169,3000,16320282.0,567.0,6924440.0,0.4534657213001499,0.0,0.0,0.0,0.0,0.0,0.5017889144803226,100.0,0.0,11169.0,3000.0,16320282.0,0.5334152322870453,100.0,0.0,11169.0,3000.0,16320282.0
Côte d'Ivoire,274,6453,82261,98886688.0,32548.0,12765872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palau,31,5687,584,0.0,253.0,0.0,0.8859153402799662,100.0,100.0,5687.0,584.0,0.0,0.980202780571156,100.0,100.0,5687.0,584.0,0.0,1.0,100.0,100.0,5687.0,584.0,0.0
"Iran, Islamic Republic of",214,10286,60448,331228543.0,2788.0,26222184.0,0.1317420879805862,0.0,0.0,0.0,0.0,0.0,0.2065241819197909,0.0,0.0,0.0,0.0,0.0,0.2199295722525311,0.0,0.0,0.0,0.0,0.0
Congo,91,2500,1001,9054302.0,1510.0,2081811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samoa,10,231,543,0.0,2568.0,0.0,1.0,100.0,100.0,231.0,543.0,0.0,1.0,100.0,100.0,231.0,543.0,0.0,1.0,100.0,100.0,231.0,543.0,0.0
Bermuda,14,21,0,0.0,0.0,0.0,0.0206307353272579,0.0,0.0,0.0,0.0,0.0,0.021166687833365002,0.0,0.0,0.0,0.0,0.0,0.0206307353272579,0.0,0.0,0.0,0.0,0.0
"Virgin Islands, U.S.",11,274,1395,0.0,257.0,0.0,0.21428383995015335,0.0,0.0,0.0,0.0,0.0,0.23043249310741654,0.0,0.0,0.0,0.0,0.0,0.23659680940872774,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,4,35,0,0.0,0.0,0.0,0.4569719517599964,0.0,0.0,0.0,0.0,0.0,0.505347745701929,100.0,0.0,35.0,0.0,0.0,0.5367957168020819,100.0,0.0,35.0,0.0,0.0
Antigua and Barbuda,72,869,1050,37536879.0,452.0,13802800.0,0.3261679455032869,0.0,0.0,0.0,0.0,0.0,0.35670736377200785,0.0,0.0,0.0,0.0,0.0,0.3742645117175589,0.0,0.0,0.0,0.0,0.0
Dominica,9,1,0,0.0,0.0,0.0,0.3473155340567603,0.0,0.0,0.0,0.0,0.0,0.5454273915256945,100.0,0.0,1.0,0.0,0.0,0.5819184068733902,100.0,0.0,1.0,0.0,0.0
Saint Lucia,16,162,1108,24666533.0,1933.0,31297014.0,0.511756090917191,37.5,0.0,60.75,415.5,9249949.875,0.5674937222802456,100.0,0.0,162.0,1108.0,24666533.0,0.6045771963918314,100.0,0.0,162.0,1108.0,24666533.0
Barbados,4,11,0,0.0,0.0,0.0,0.5629299432147324,100.0,0.0,11.0,0.0,0.0,0.6223510171362027,100.0,0.0,11.0,0.0,0.0,0.6607313071249566,100.0,0.0,11.0,0.0,0.0
Grenada,45,209,1594,36869182.0,623.0,18227371.0,0.5460523446359674,100.0,0.0,209.0,1594.0,36869182.0,0.6042709402044973,100.0,0.0,209.0,1594.0,36869182.0,0.6423418455892331,100.0,0.0,209.0,1594.0,36869182.0
ANT,31,228,458,0.0,6468.0,0.0,0.49313499536730687,0.0,0.0,0.0,0.0,0.0,0.5462482007056805,100.0,0.0,228.0,458.0,0.0,0.5812597553811947,100.0,0.0,228.0,458.0,0.0
Aruba,12,43,0,0.0,0.0,0.0,0.5335552545791399,41.66666666666667,0.0,17.916666666666668,0.0,0.0,0.5910502702975508,100.0,0.0,43.0,0.0,0.0,0.6288613875026333,100.0,0.0,43.0,0.0,0.0
"Taiwan, Province of China",57,167,389704,4891052614.0,70762.0,263254022.0,0.31200045749831806,1.7543859649122806,1.7543859649122806,2.9298245614035086,6836.912280701754,85807940.59649122,0.33940340467797075,1.7543859649122806,1.7543859649122806,2.9298245614035086,6836.912280701754,85807940.59649122,0.3540780739929233,1.7543859649122806,1.7543859649122806,2.9298245614035086,6836.912280701754,85807940.59649122
Qatar,121,460,3051,53392981.0,6533.0,70418287.0,0.08386514418511569,0.0,0.0,0.0,0.0,0.0,0.12821970597874155,0.0,0.0,0.0,0.0,0.0,0.13225139302104394,10.743801652892563,0.0,49.421487603305785,327.7933884297521,5736435.975206612
Timor-Leste,31,1344,2188,0.0,3698.0,0.0,0.3934577964480012,67.74193548387096,0.0,910.4516129032257,1482.1935483870966,0.0,0.43199186154767616,67.74193548387096,0.0,910.4516129032257,1482.1935483870966,0.0,0.4551414529272562,67.74193548387096,0.0,910.4516129032257,1482.1935483870966,0.0
Mayotte,41,675,2167,0.0,1335.0,0.0,0.8312163971702744,100.0,100.0,675.0,2167.0,0.0,0.9171552949885033,100.0,100.0,675.0,2167.0,0.0,0.9717054438120896,100.0,100.0,675.0,2167.0,0.0
French Polynesia,26,126,1753,0.0,122.0,0.0,0.8825661535465384,80.76923076923077,80.76923076923077,101.76923076923077,1415.8846153846155,0.0,0.8909825901817761,96.15384615384616,80.76923076923077,121.15384615384616,1685.576923076923,0.0,0.8967304403630671,96.15384615384616,80.76923076923077,121.15384615384616,1685.576923076923,0.0
Bahamas,780,145902,6953,358419473.0,2378.0,149169432.0,0.46338922867123505,30.76923076923077,0.0,44892.92307692308,2139.3846153846157,110282914.76923077,0.5119264362185298,71.66666666666667,0.0,104563.1,4982.983333333334,256867288.98333335,0.5431518291631485,71.66666666666667,0.0,104563.1,4982.983333333334,256867288.98333335
Turks and Caicos Islands,26,15037,827,44163526.0,1641.0,66776159.0,0.1911523227129454,0.0,0.0,0.0,0.0,0.0,0.20725866207725013,0.0,0.0,0.0,0.0,0.0,0.2153589006494912,0.0,0.0,0.0,0.0,0.0
Seychelles,30,227,5287,33278197.0,652.0,13548792.0,0.5232717152401958,80.0,0.0,181.60000000000002,4229.6,26622557.6,0.5733933537354858,80.0,0.0,181.60000000000002,4229.6,26622557.6,0.6032978238682324,80.0,0.0,181.60000000000002,4229.6,26622557.6
Cambodia,311,69351,92456,115114355.0,71430.0,109160155.0,0.34997555424598836,0.0,0.0,0.0,0.0,0.0,0.3886982785117513,0.0,0.0,0.0,0.0,0.0,0.4146075755878394,0.0,0.0,0.0,0.0,0.0
Egypt,88,266,19801,23473652.0,4174.0,2127151.0,0.1578163656478723,0.0,0.0,0.0,0.0,0.0,0.2486081853209379,0.0,0.0,0.0,0.0,0.0,0.2660671177837574,0.0,0.0,0.0,0.0,0.0
