hour,demand,wind_gen,nuclear_gen,gas_gen,storage_discharge,storage_charge,wind_curtail,load_shed
52,56269.327285917825,25032.560630973727,3600.0,10610.582415475463,0.0,0.0,0.0,17026.184239468635
53,66432.70145556775,22895.031344947343,3600.0,10610.582415475463,0.0,0.0,0.0,29327.087695144935
54,82845.20399878778,23731.65641867556,3600.0,10610.582415475463,0.0,0.0,0.0,44902.96516463676
55,92033.6861581989,27251.645358250964,3600.0,10610.582415475463,0.0,0.0,0.0,50571.458384472484
56,86117.94812314054,25585.346979333244,3600.0,10610.582415475463,0.0,0.0,0.0,46322.01872833182
57,68816.06177926637,23370.8891705787,3600.0,10610.582415475463,0.0,0.0,0.0,31234.59019321221
58,52617.72243935958,22958.354713651686,3600.0,10610.582415475463,0.0,0.0,0.0,15448.785310232433
59,49277.935345286154,18395.67752299056,3600.0,10610.582415475463,0.0,0.0,0.0,16671.67540682013
60,60869.52900018201,25133.20555459911,3600.0,10610.582415475463,0.0,0.0,0.0,21525.741030107438
61,78207.47610465092,24419.454633182748,3600.0,10610.582415475463,0.0,0.0,0.0,39577.43905599271
62,87844.79651734792,25766.512082676916,3600.0,10610.582415475463,0.0,0.0,0.0,47867.70201919554
63,82313.05079525964,18496.697578895008,3600.0,10610.582415475463,0.0,0.0,0.0,49605.770800889164
64,65809.8663629549,21367.7488308064,3600.0,10610.582415475463,0.0,0.0,0.0,30231.535116673036
65,51002.76627633094,20621.38118822547,3600.0,10610.582415475463,0.0,0.0,0.0,16170.802672630009
66,49383.00170011338,25262.629568901604,3600.0,10610.582415475463,0.0,0.0,0.0,9909.789715736315
67,62514.39617427728,28646.84930320973,3600.0,10610.582415475463,0.0,0.0,0.0,19656.96445559209
68,80840.71314971327,21209.937037438638,3600.0,10610.582415475463,0.0,0.0,0.0,45420.193696799164
69,90959.67878398545,25063.362179152988,3600.0,10610.582415475463,0.0,0.0,0.0,51685.734189357
70,85824.92187058723,26183.940402581804,3600.0,10610.582415475463,0.0,0.0,0.0,45430.39905252996
71,70107.65485829388,23801.051869649407,3600.0,10610.582415475463,0.0,0.0,0.0,32096.02057316901
72,56635.50363631498,24208.747982551242,3600.0,10610.582415475463,0.0,0.0,0.0,18216.173238288273
73,56620.13790111875,25056.556887608614,3600.0,10610.582415475463,0.0,0.0,0.0,17352.998598034676
74,71114.83016513872,24045.049974876467,3600.0,10610.582415475463,0.0,0.0,0.0,32859.19777478678
75,90206.55415287826,25719.670237341263,3600.0,10610.582415475463,0.0,0.0,0.0,50276.30150006154
76,100557.82680782868,25021.792682524818,3600.0,10610.582415475463,0.0,0.0,0.0,61325.4517098284
77,95555.64859477608,24907.789008077656,3600.0,10610.582415475463,0.0,0.0,0.0,56437.27717122296
78,80339.74298166155,25557.522373759075,3600.0,10610.582415475463,0.0,0.0,0.0,40571.63819242701
79,67881.41898237847,29196.613754324066,3600.0,10610.582415475463,0.0,0.0,0.0,24474.222812578944
80,69098.82128232636,30492.225396441536,3600.0,10610.582415475463,0.0,0.0,0.0,24396.01347040936
81,84535.28396292054,22986.634824555455,3600.0,10610.582415475463,0.0,0.0,0.0,47338.06672288962
82,103937.29134829603,29730.3072854146,3600.0,10610.582415475463,0.0,0.0,0.0,59996.40164740596
83,114053.45174477737,28337.49256401013,3600.0,10610.582415475463,0.0,0.0,0.0,71505.37676529177
84,108716.05971383513,25948.98707321683,3600.0,10610.582415475463,0.0,0.0,0.0,68556.49022514283
85,93528.76260335391,27226.969437989537,3600.0,10610.582415475463,0.0,0.0,0.0,52091.21074988891
86,81590.99056926268,27302.12587396153,3600.0,10610.582415475463,0.0,0.0,0.0,40078.28227982568
87,83514.80138557771,28360.776735655843,3600.0,10610.582415475463,0.0,0.0,0.0,40943.4422344464
88,99335.7908797986,26311.965352483337,3600.0,10610.582415475463,0.0,0.0,0.0,58813.243111839794
89,118477.49677507051,27235.52531110991,3600.0,10610.582415475463,0.0,0.0,0.0,77031.38904848513
90,127796.4484380248,24949.42954887936,3600.0,10610.582415475463,0.0,0.0,0.0,88636.43647366998
91,121582.06440183186,23676.84132106953,3600.0,10610.582415475463,0.0,0.0,0.0,83694.64066528686
92,105897.09353348776,29213.499441280946,3600.0,10610.582415475463,0.0,0.0,0.0,62473.011676731345
93,93953.64653007101,22765.34862238211,3600.0,10610.582415475463,0.0,0.0,0.0,56977.715492213436
94,96045.74790747778,24292.437383825574,3600.0,10610.582415475463,0.0,0.0,0.0,57542.72810817674
95,111704.23495190933,26625.18113265751,3600.0,10610.582415475463,0.0,0.0,0.0,70868.47140377635
96,130047.63779090693,24489.703960070085,3600.0,10610.582415475463,0.0,0.0,0.0,91347.35141536138
97,138061.90147690583,25058.096278725574,3600.0,10610.582415475463,0.0,0.0,0.0,98793.22278270479
98,130504.44865901557,22705.635004636926,3600.0,10610.582415475463,0.0,0.0,0.0,93588.23123890317
99,113891.23614488583,20103.86801856859,3600.0,10610.582415475463,0.0,0.0,0.0,79576.78571084177
100,101530.91737152977,22353.520528411802,3600.0,10610.582415475463,0.0,0.0,0.0,64966.8144276425
101,103387.33641723628,22883.014621311057,3600.0,10610.582415475463,0.0,0.0,0.0,66293.73938044976
102,118489.50562010828,19059.329680047624,3600.0,10610.582415475463,0.0,0.0,0.0,85219.59352458519
103,135668.45240185832,22929.123312866894,3600.0,10610.582415475463,0.0,0.0,0.0,98528.74667351595
104,142059.8827621259,22403.982817012504,3600.0,10610.582415475463,0.0,0.0,0.0,105445.31752963793
105,132898.38010933058,21379.09541820436,3600.0,10610.582415475463,0.0,0.0,0.0,97308.70227565075
106,115145.42415738238,23891.32661398609,3600.0,10610.582415475463,0.0,0.0,0.0,77043.51512792082
107,102188.70425681712,24771.126978721415,3600.0,10610.582415475463,0.0,0.0,0.0,63206.99486262024
108,103648.896408315,26234.789615336358,3600.0,10610.582415475463,0.0,0.0,0.0,63203.524377503185
109,118055.45606544595,23715.7097088083,3600.0,10610.582415475463,0.0,0.0,0.0,80129.16394116219
110,133968.38372878337,21859.846228061488,3600.0,10610.582415475463,0.0,0.0,0.0,97897.95508524642
111,138691.79150469476,22948.764176599812,3600.0,10610.582415475463,0.0,0.0,0.0,101532.44491261948
112,127944.3730277552,20944.33121358371,3600.0,10610.582415475463,0.0,0.0,0.0,92789.45939869601
113,109123.24847957573,22388.823903919183,3600.0,10610.582415475463,0.0,0.0,0.0,72523.84216018108
114,95675.93147498724,23648.161304183268,3600.0,10610.582415475463,0.0,0.0,0.0,57817.1877553285
115,96865.81793219053,28083.234500192477,3600.0,10610.582415475463,0.0,0.0,0.0,54572.0010165226
116,110724.16345752699,27923.165308352065,3600.0,10610.582415475463,0.0,0.0,0.0,68590.41573369945
117,125555.1840756704,30472.573222988096,3600.0,10610.582415475463,0.0,0.0,0.0,80872.02843720684
118,128848.19814809348,26278.266820906858,3600.0,10610.582415475463,0.0,0.0,0.0,88359.34891171115
119,116810.68653688178,25782.30141413105,3600.0,10610.582415475463,0.0,0.0,0.0,76817.80270727527
120,97263.35196354463,23579.12989992798,3600.0,10610.582415475463,0.0,0.0,0.0,59473.63964814118
121,83692.71428987774,29045.293250326376,3600.0,10610.582415475463,0.0,0.0,0.0,40436.8386240759
122,84989.80715061747,25859.429699462835,3600.0,10610.582415475463,0.0,0.0,0.0,44919.79503567917
123,98688.32676251653,27202.767564261507,3600.0,10610.582415475463,0.0,0.0,0.0,57274.97678277956
124,112850.94963468135,27566.58308645608,3600.0,10610.582415475463,0.0,0.0,0.0,71073.7841327498
125,115167.44877496787,28833.85813983499,3600.0,10610.582415475463,0.0,0.0,0.0,72123.00821965741
126,102336.86503184249,25805.673094751044,3600.0,10610.582415475463,0.0,0.0,0.0,62320.609521615974
127,82589.69784764646,28662.667243042502,3600.0,10610.582415475463,0.0,0.0,0.0,39716.448189128496
128,69429.56219455296,25343.285588414536,3600.0,10610.582415475463,0.0,0.0,0.0,29875.694190662954
129,71359.63267112595,27267.222125752032,3600.0,10610.582415475463,0.0,0.0,0.0,29881.828129898455
130,85416.5508632944,23429.06872452796,3600.0,10610.582415475463,0.0,0.0,0.0,47776.899723290975
131,99435.30706257217,20911.560461091376,3600.0,10610.582415475463,0.0,0.0,0.0,64313.164186005335
132,101320.4706143007,25592.73554599228,3600.0,10610.582415475463,0.0,0.0,0.0,61517.152652832956
133,88264.21046624168,26428.338569498617,3600.0,10610.582415475463,0.0,0.0,0.0,47625.289481267595
134,68892.06500471015,25026.444748435824,3600.0,10610.582415475463,0.0,0.0,0.0,29655.037840798865
135,56702.53622268753,21445.184876389125,3600.0,10610.582415475463,0.0,0.0,0.0,21046.768930822942
136,59795.83986745346,25253.148553472507,3600.0,10610.582415475463,0.0,0.0,0.0,20332.108898505492
137,74712.7407283401,22837.63552794849,3600.0,10610.582415475463,0.0,0.0,0.0,37664.522784916146
138,89074.80974788018,22628.518128448184,3600.0,10610.582415475463,0.0,0.0,0.0,52235.70920395653
139,91015.66282535729,24391.941841874388,3600.0,10610.582415475463,0.0,0.0,0.0,52413.13856800743
140,78221.79973499007,21413.587359700334,3600.0,10610.582415475463,0.0,0.0,0.0,42597.629959814265
141,59698.93163280251,19080.3133015449,3600.0,10610.582415475463,0.0,0.0,0.0,26408.035915782148
142,48918.81301906227,19023.392861894867,3600.0,10610.582415475463,0.0,0.0,0.0,15684.83774169194
143,53564.85005496858,21791.747094898845,3600.0,10610.582415475463,0.0,0.0,0.0,17562.52054459427
144,69684.59771934318,22990.81460439336,3600.0,10610.582415475463,0.0,0.0,0.0,32483.200699474353
145,84701.66794013423,26830.548392905184,3600.0,10610.582415475463,0.0,0.0,0.0,43660.537131753576
146,86993.63964775876,20973.198279197175,3600.0,10610.582415475463,0.0,0.0,0.0,51809.85895308612
147,74742.93040102781,23717.287164328314,3600.0,10610.582415475463,0.0,0.0,0.0,36815.06082122403
148,57321.191076417315,26504.551392289748,3600.0,10610.582415475463,0.0,0.0,0.0,16606.057268652105
149,48153.08393059395,25449.345089445193,3600.0,10610.582415475463,0.0,0.0,0.0,8493.156425673296
150,54493.270258090415,24024.88046516962,3600.0,10610.582415475463,0.0,0.0,0.0,16257.807377445333
151,71900.8519040033,27216.089055831868,3600.0,10610.582415475463,0.0,0.0,0.0,30474.180432695972
152,87618.67213695297,27098.62335983044,3600.0,10610.582415475463,0.0,0.0,0.0,46309.466361647064
153,90284.3439445648,27057.892802558228,3600.0,10610.582415475463,0.0,0.0,0.0,49015.8687265311
154,78578.62909424721,26048.894741867687,3600.0,10610.582415475463,0.0,0.0,0.0,38319.15193690406
155,62225.94137619687,26493.73156838995,3600.0,10610.582415475463,0.0,0.0,0.0,21521.627392331455
156,54585.170793725876,23508.161727234976,3600.0,10610.582415475463,0.0,0.0,0.0,16866.426651015438
157,62472.51827543611,25729.60870940923,3600.0,10610.582415475463,0.0,0.0,0.0,22532.327150551417
158,80965.69922625553,26696.375701200916,3600.0,10610.582415475463,0.0,0.0,0.0,40058.74110957915
159,97145.84969868607,26646.87191530411,3600.0,10610.582415475463,0.0,0.0,0.0,56288.3953679065
160,99927.92236730369,25996.62121868952,3600.0,10610.582415475463,0.0,0.0,0.0,59720.71873313871
161,88494.32528680332,29765.538227388894,3600.0,10610.582415475463,0.0,0.0,0.0,44518.20464393895
162,72910.10946770178,31435.81546867309,3600.0,10610.582415475463,0.0,0.0,0.0,27263.711583553235
163,66451.31678324127,25323.667673604974,3600.0,10610.582415475463,0.0,0.0,0.0,26917.06669416084
164,75488.0560063963,29038.173690813568,3600.0,10610.582415475463,0.0,0.0,0.0,32239.29990010728
165,94625.81105969734,26494.74812516256,3600.0,10610.582415475463,0.0,0.0,0.0,53920.48051905932
166,110804.64385184164,24824.84597891846,3600.0,10610.582415475463,0.0,0.0,0.0,71769.21545744772
167,113235.03081712824,31395.654862190888,3600.0,10610.582415475463,0.0,0.0,0.0,67628.79353946188
