,mean,std,variance,cv,norm_var
Int_MeanEdge_pp65_cell,0.11412996,0.07956813,0.0063310876,0.6971713,0.4860478
Int_Med_AKT_cell,0.19740514,0.099417634,0.009883866,0.5036223,0.25363544
Int_Med_BP1_cell,0.061346494,0.04592345,0.0021089632,0.74859124,0.56038886
Int_Med_Bcl2_cell,0.13859506,0.07655548,0.005860742,0.55236804,0.30511045
Int_Med_CDK2_cell,0.2182623,0.09401359,0.008838555,0.43073672,0.18553413
Int_Med_CDK4_cell,0.29182187,0.07988139,0.0063810367,0.2737334,0.074929975
Int_Med_CDK6_cell,0.08156719,0.058961086,0.0034764097,0.72285295,0.5225164
Int_Med_Cdh1_cell,0.13332315,0.053916696,0.0029070103,0.40440613,0.16354431
Int_Med_Cdt1_cell,0.0814892,0.053907536,0.0029060224,0.66152984,0.4376217
Int_Med_DNA_cell,0.011847569,0.03726954,0.0013890186,3.1457543,9.895763
Int_Med_E2F1_cell,0.07015168,0.03787275,0.0014343453,0.5398695,0.29145908
Int_Med_ERK_cell,0.26726994,0.10246376,0.010498822,0.3833718,0.14697394
Int_Med_Fra1_cell,0.01480162,0.029358333,0.00086191174,1.9834541,3.9340885
Int_Med_GSK3b_cell,0.17504463,0.09796608,0.009597354,0.5596635,0.3132232
Int_Med_RB_cell,0.026876913,0.040297627,0.0016238987,1.4993398,2.2480195
Int_Med_RSK1_cell,0.040735286,0.028856004,0.000832669,0.70837855,0.5018002
Int_Med_S6_cell,0.21414128,0.11534167,0.013303701,0.53862417,0.290116
Int_Med_STAT3_cell,0.07574425,0.04670486,0.0021813437,0.6166126,0.3802111
Int_Med_Skp2_cell,0.079428665,0.034216136,0.001170744,0.43077818,0.18556984
Int_Med_YAP_cell,0.21191485,0.10493461,0.011011273,0.49517345,0.24519676
Int_Med_bCat_cell,0.2434173,0.08383556,0.0070284004,0.34441084,0.11861883
Int_Med_cFos_cell,0.10524406,0.05748579,0.0033046158,0.5462141,0.29834983
Int_Med_cJun_cell,0.010968846,0.022236383,0.00049445673,2.0272307,4.109661
Int_Med_cMyc_cell,0.04880578,0.037508093,0.001406857,0.76851743,0.590619
Int_Med_cycA_cell,0.019382134,0.025599688,0.00065534405,1.3207879,1.7444803
Int_Med_cycB1_cell,0.10365694,0.10739274,0.011533202,1.0360401,1.073379
Int_Med_cycD1_cell,0.11459783,0.061849803,0.0038253982,0.53971183,0.29128888
Int_Med_cycE_cell,0.045759004,0.032915883,0.0010834553,0.71933126,0.51743746
Int_Med_p14ARF_cell,0.16719845,0.0912222,0.008321489,0.54559237,0.29767102
Int_Med_p16_cell,0.17595322,0.076767325,0.005893222,0.43629393,0.1903524
Int_Med_p21_cell,0.0784503,0.049335524,0.002433994,0.62887615,0.39548525
Int_Med_p27_cell,0.020676322,0.023113683,0.0005342423,1.1178818,1.2496593
Int_Med_p38_cell,0.24574608,0.108441934,0.011759653,0.44127637,0.19472481
Int_Med_p53_cell,0.088537686,0.039653003,0.0015723606,0.4478658,0.2005838
Int_Med_pAKT_cell,0.25734657,0.11288275,0.012742515,0.43864095,0.1924059
Int_Med_pCHK1_cell,0.084170714,0.061142664,0.0037384254,0.7264126,0.5276752
Int_Med_pERK_cell,0.30625832,0.12886108,0.01660518,0.42075947,0.17703852
Int_Med_pGSK3b_cell,0.21371818,0.095122956,0.009048377,0.44508594,0.1981015
Int_Med_pH2AX_cell,0.16776708,0.09537519,0.009096427,0.56849766,0.3231896
Int_Med_pRB_cell,0.012493815,0.03431198,0.001177312,2.7463171,7.542253
Int_Med_pRSK_cell,0.051650863,0.029559068,0.00087373855,0.57228607,0.32751134
Int_Med_pS6_cell,0.0686431,0.053801235,0.002894573,0.7837821,0.61431444
Int_Med_pSTAT3_cell,0.06417263,0.031500485,0.0009922805,0.490871,0.24095434
Int_Med_pp21_cell,0.15347351,0.065001205,0.0042251567,0.4235337,0.1793808
Int_Med_pp27_cell,0.32480338,0.089637466,0.008034876,0.27597454,0.07616196
Int_Med_pp38_cell,0.077816226,0.047569487,0.002262856,0.61130553,0.37369442
Int_Med_pp53_cell,0.08102764,0.047117803,0.0022200875,0.58150285,0.33814555
Int_Med_pp65_cell,0.084804475,0.050814122,0.002582075,0.5991915,0.3590305
Int_MeanEdge_PCNA_cell,0.054580435,0.07289158,0.0053131822,1.3354892,1.7835313
Int_Med_PCNA_cell,0.038055018,0.03733496,0.0013938992,0.9810785,0.96251494
Int_Med_AKT_cyto,0.25758833,0.11687398,0.0136595275,0.4537239,0.20586537
Int_Med_BP1_cyto,0.074061535,0.038489293,0.0014814257,0.51969343,0.27008128
Int_Med_Bcl2_cyto,0.1497246,0.07633399,0.0058268784,0.50982934,0.25992593
Int_Med_CDK2_cyto,0.24128346,0.092539415,0.008563544,0.38352987,0.14709517
Int_Med_CDK4_cyto,0.40103862,0.096015975,0.009219067,0.23941828,0.05732111
Int_Med_CDK6_cyto,0.082068115,0.054321077,0.0029507794,0.6619023,0.4381147
Int_Med_Cdh1_cyto,0.13786256,0.04704374,0.0022131135,0.3412365,0.11644235
Int_Med_Cdt1_cyto,0.14271192,0.073931806,0.0054659117,0.51804924,0.268375
Int_Med_DNA_cyto,0.090906434,0.04858556,0.0023605567,0.5344568,0.28564405
Int_Med_E2F1_cyto,0.0673214,0.037521537,0.0014078658,0.5573494,0.3106383
Int_Med_ERK_cyto,0.2696821,0.10029409,0.010058905,0.37189746,0.13830772
Int_Med_Fra1_cyto,0.14705007,0.070433795,0.0049609197,0.47897834,0.22942024
Int_Med_GSK3b_cyto,0.13276085,0.069203034,0.00478906,0.52126086,0.27171287
Int_Med_RB_cyto,0.04841147,0.03446506,0.0011878404,0.7119193,0.5068291
Int_Med_RSK1_cyto,0.042875167,0.02909865,0.0008467315,0.6786831,0.46061072
Int_Med_S6_cyto,0.24867079,0.122082196,0.014904062,0.49093902,0.24102114
Int_Med_STAT3_cyto,0.093647905,0.053866602,0.002901611,0.5752035,0.33085907
Int_Med_Skp2_cyto,0.124420434,0.029956926,0.00089741737,0.24077176,0.057971034
Int_Med_YAP_cyto,0.2948852,0.13298072,0.017683871,0.4509576,0.20336275
Int_Med_bCat_cyto,0.24640796,0.079832524,0.0063732318,0.32398516,0.10496639
Int_Med_cFos_cyto,0.100565515,0.051773652,0.002680511,0.5148251,0.2650449
Int_Med_cJun_cyto,0.10252774,0.046514403,0.0021635897,0.45367628,0.20582218
Int_Med_cMyc_cyto,0.13407108,0.06355483,0.0040392163,0.47403833,0.22471233
Int_Med_cycA_cyto,0.081213124,0.064796336,0.004198565,0.7978555,0.6365734
Int_Med_cycB1_cyto,0.11032962,0.113178164,0.012809297,1.0258185,1.0523036
Int_Med_cycD1_cyto,0.12163597,0.057028413,0.00325224,0.46884495,0.2198156
Int_Med_cycE_cyto,0.044788543,0.03118445,0.0009724699,0.6962595,0.48477733
Int_Med_p14ARF_cyto,0.1505825,0.082620956,0.0068262224,0.54867566,0.30104497
Int_Med_p16_cyto,0.16856442,0.07186975,0.005165261,0.4263637,0.18178602
Int_Med_p21_cyto,0.1413559,0.06754863,0.004562818,0.47786212,0.22835223
Int_Med_p27_cyto,0.06245131,0.03566422,0.0012719366,0.5710724,0.32612368
Int_Med_p38_cyto,0.32214168,0.13138577,0.017262222,0.4078509,0.16634236
Int_Med_p53_cyto,0.1022175,0.039215665,0.0015378684,0.38364923,0.14718673
Int_Med_pAKT_cyto,0.26193944,0.11214004,0.012575388,0.42811438,0.18328191
Int_Med_pCHK1_cyto,0.09136183,0.058567915,0.0034302007,0.6410546,0.41095096
Int_Med_pERK_cyto,0.3072068,0.12989207,0.01687195,0.42281637,0.17877369
Int_Med_pGSK3b_cyto,0.24796303,0.10565912,0.011163849,0.42610836,0.18156834
Int_Med_pH2AX_cyto,0.16966961,0.08587656,0.007374784,0.5061399,0.2561776
Int_Med_pRB_cyto,0.016002208,0.023496928,0.0005521056,1.4683553,2.1560667
Int_Med_pRSK_cyto,0.049693245,0.028287448,0.0008001797,0.5692413,0.32403567
Int_Med_pS6_cyto,0.08049772,0.065129064,0.004241795,0.80907965,0.6546098
Int_Med_pSTAT3_cyto,0.068301976,0.030833751,0.0009507202,0.4514328,0.20379156
Int_Med_pp21_cyto,0.15708606,0.06953088,0.0048345434,0.44262922,0.19592063
Int_Med_pp27_cyto,0.4041446,0.11674415,0.013629197,0.2888673,0.08344431
Int_Med_pp38_cyto,0.08521983,0.04486894,0.0020132216,0.5265082,0.27721086
Int_Med_pp53_cyto,0.087269865,0.046091817,0.0021244555,0.5281527,0.2789453
Int_Med_pp65_cyto,0.08206651,0.041758433,0.0017437667,0.50883645,0.25891453
Int_Med_PCNA_cyto,0.08711016,0.054933928,0.0030177364,0.63062596,0.39768907
Int_Med_AKT_nuc,0.29919282,0.1455573,0.021186927,0.4865,0.23668224
Int_Med_BP1_nuc,0.14842594,0.1164354,0.013557202,0.784468,0.61539006
Int_Med_Bcl2_nuc,0.088435896,0.06462089,0.0041758595,0.73070884,0.53393537
Int_Med_CDK2_nuc,0.28899935,0.124095455,0.015399682,0.42939702,0.1843818
Int_Med_CDK4_nuc,0.06862356,0.08892992,0.0079085305,1.2959095,1.6793815
Int_Med_CDK6_nuc,0.12851776,0.06458665,0.004171435,0.50255036,0.25255683
Int_Med_Cdh1_nuc,0.25393975,0.13353755,0.017832275,0.5258631,0.27653202
Int_Med_Cdt1_nuc,0.089902416,0.088080406,0.007758158,0.97973347,0.9598776
Int_Med_E2F1_nuc,0.09032036,0.07438002,0.005532387,0.82351327,0.6781741
Int_Med_ERK_nuc,0.15363424,0.07592361,0.005764394,0.49418417,0.24421799
Int_Med_Fra1_nuc,0.45927268,0.14635438,0.021419603,0.31866553,0.101547725
Int_Med_GSK3b_nuc,0.14386567,0.079815164,0.0063704606,0.5547895,0.30779138
Int_Med_RB_nuc,0.41568786,0.10764652,0.0115877725,0.25895998,0.06706027
Int_Med_RSK1_nuc,0.03755208,0.038810264,0.0015062366,1.033505,1.0681325
Int_Med_S6_nuc,0.1615439,0.08542392,0.0072972453,0.5287969,0.27962616
Int_Med_STAT3_nuc,0.09940362,0.07658764,0.0058656665,0.77047133,0.5936261
Int_Med_Skp2_nuc,0.238318,0.17669664,0.031221705,0.74143225,0.5497218
Int_Med_YAP_nuc,0.34382036,0.12692595,0.016110195,0.36916354,0.13628173
Int_Med_bCat_nuc,0.13911867,0.066504814,0.00442289,0.47804376,0.22852583
Int_Med_cFos_nuc,0.2055434,0.098210186,0.00964524,0.47780755,0.22830003
Int_Med_cJun_nuc,0.351378,0.10233709,0.010472881,0.291245,0.08482367
Int_Med_cMyc_nuc,0.11015704,0.084031865,0.0070613544,0.762837,0.5819202
Int_Med_cycA_nuc,0.14740227,0.156539,0.024504457,1.0619849,1.127812
Int_Med_cycB1_nuc,0.18178567,0.09725909,0.009459331,0.53502065,0.2862471
Int_Med_cycD1_nuc,0.15912777,0.11016263,0.012135806,0.6922904,0.47926605
Int_Med_cycE_nuc,0.077585384,0.039029416,0.0015232953,0.50305116,0.25306046
Int_Med_p14ARF_nuc,0.20108554,0.09883933,0.009769212,0.49152878,0.24160053
Int_Med_p16_nuc,0.24347362,0.115723826,0.013392004,0.47530335,0.22591327
Int_Med_p21_nuc,0.1100306,0.108658604,0.011806692,0.98753077,0.97521704
Int_Med_p27_nuc,0.23392005,0.12931561,0.016722528,0.5528197,0.3056096
Int_Med_p38_nuc,0.12820421,0.06436422,0.0041427524,0.5020445,0.25204867
Int_Med_p53_nuc,0.12701282,0.09544084,0.009108954,0.7514269,0.5646423
Int_Med_pAKT_nuc,0.13642819,0.085530564,0.0073154774,0.6269273,0.39303792
Int_Med_pCHK1_nuc,0.16798171,0.083648324,0.0069970423,0.4979609,0.24796507
Int_Med_pERK_nuc,0.13084441,0.067941464,0.0046160426,0.51925385,0.26962456
Int_Med_pGSK3b_nuc,0.17554905,0.10068232,0.010136929,0.5735282,0.32893452
Int_Med_pH2AX_nuc,0.16586283,0.12450649,0.015501866,0.7506594,0.56348956
Int_Med_pRB_nuc,0.44435555,0.16394609,0.026878322,0.3689525,0.13612595
Int_Med_pRSK_nuc,0.106924534,0.09143402,0.008360179,0.8551266,0.7312415
Int_Med_pS6_nuc,0.052745514,0.04777163,0.0022821284,0.9057003,0.82029307
Int_Med_pSTAT3_nuc,0.045843694,0.04092158,0.0016745757,0.89263266,0.7967931
Int_Med_pp21_nuc,0.028469717,0.042690545,0.0018224827,1.4995072,2.2485216
Int_Med_pp27_nuc,0.025380678,0.021537872,0.00046387993,0.84859324,0.72011036
Int_Med_pp38_nuc,0.16951977,0.06856549,0.004701226,0.40446898,0.16359515
Int_Med_pp53_nuc,0.10903329,0.051631793,0.0026658422,0.47354156,0.22424163
Int_Med_pp65_nuc,0.330223,0.0914853,0.00836956,0.27704096,0.0767517
Int_Std_PCNA_nuc,0.28660303,0.15319923,0.023470003,0.5345346,0.28572717
Int_Med_AKT_ring,0.25758833,0.11687398,0.0136595275,0.4537239,0.20586537
Int_Med_BP1_ring,0.074061535,0.038489293,0.0014814257,0.51969343,0.27008128
Int_Med_Bcl2_ring,0.1497246,0.07633399,0.0058268784,0.50982934,0.25992593
Int_Med_CDK2_ring,0.24128346,0.092539415,0.008563544,0.38352987,0.14709517
Int_Med_CDK4_ring,0.40103862,0.096015975,0.009219067,0.23941828,0.05732111
Int_Med_CDK6_ring,0.082068115,0.054321077,0.0029507794,0.6619023,0.4381147
Int_Med_Cdh1_ring,0.13786256,0.04704374,0.0022131135,0.3412365,0.11644235
Int_Med_Cdt1_ring,0.14271192,0.073931806,0.0054659117,0.51804924,0.268375
Int_Med_DNA_ring,0.090906434,0.04858556,0.0023605567,0.5344568,0.28564405
Int_Med_E2F1_ring,0.0673214,0.037521537,0.0014078658,0.5573494,0.3106383
Int_Med_ERK_ring,0.2696821,0.10029409,0.010058905,0.37189746,0.13830772
Int_Med_Fra1_ring,0.14705007,0.070433795,0.0049609197,0.47897834,0.22942024
Int_Med_GSK3b_ring,0.13276085,0.069203034,0.00478906,0.52126086,0.27171287
Int_Med_RB_ring,0.04841147,0.03446506,0.0011878404,0.7119193,0.5068291
Int_Med_RSK1_ring,0.042875167,0.02909865,0.0008467315,0.6786831,0.46061072
Int_Med_S6_ring,0.24867079,0.122082196,0.014904062,0.49093902,0.24102114
Int_Med_STAT3_ring,0.093647905,0.053866602,0.002901611,0.5752035,0.33085907
Int_Med_Skp2_ring,0.124420434,0.029956926,0.00089741737,0.24077176,0.057971034
Int_Med_YAP_ring,0.2948852,0.13298072,0.017683871,0.4509576,0.20336275
Int_Med_bCat_ring,0.24640796,0.079832524,0.0063732318,0.32398516,0.10496639
Int_Med_cFos_ring,0.100565515,0.051773652,0.002680511,0.5148251,0.2650449
Int_Med_cJun_ring,0.10252774,0.046514403,0.0021635897,0.45367628,0.20582218
Int_Med_cMyc_ring,0.13407108,0.06355483,0.0040392163,0.47403833,0.22471233
Int_Med_cycA_ring,0.081213124,0.064796336,0.004198565,0.7978555,0.6365734
Int_Med_cycB1_ring,0.11032962,0.113178164,0.012809297,1.0258185,1.0523036
Int_Med_cycD1_ring,0.12163597,0.057028413,0.00325224,0.46884495,0.2198156
Int_Med_cycE_ring,0.044788543,0.03118445,0.0009724699,0.6962595,0.48477733
Int_Med_p14ARF_ring,0.1505825,0.082620956,0.0068262224,0.54867566,0.30104497
Int_Med_p16_ring,0.16856442,0.07186975,0.005165261,0.4263637,0.18178602
Int_Med_p21_ring,0.1413559,0.06754863,0.004562818,0.47786212,0.22835223
Int_Med_p27_ring,0.06245131,0.03566422,0.0012719366,0.5710724,0.32612368
Int_Med_p38_ring,0.32214168,0.13138577,0.017262222,0.4078509,0.16634236
Int_Med_p53_ring,0.1022175,0.039215665,0.0015378684,0.38364923,0.14718673
Int_Med_pAKT_ring,0.26193944,0.11214004,0.012575388,0.42811438,0.18328191
Int_Med_pCHK1_ring,0.09136183,0.058567915,0.0034302007,0.6410546,0.41095096
Int_Med_pERK_ring,0.3072068,0.12989207,0.01687195,0.42281637,0.17877369
Int_Med_pGSK3b_ring,0.24796303,0.10565912,0.011163849,0.42610836,0.18156834
Int_Med_pH2AX_ring,0.16966961,0.08587656,0.007374784,0.5061399,0.2561776
Int_Med_pRB_ring,0.016002208,0.023496928,0.0005521056,1.4683553,2.1560667
Int_Med_pRSK_ring,0.049693245,0.028287448,0.0008001797,0.5692413,0.32403567
Int_Med_pS6_ring,0.08049772,0.065129064,0.004241795,0.80907965,0.6546098
Int_Med_pSTAT3_ring,0.068301976,0.030833751,0.0009507202,0.4514328,0.20379156
Int_Med_pp21_ring,0.15708606,0.06953088,0.0048345434,0.44262922,0.19592063
Int_Med_pp27_ring,0.4041446,0.11674415,0.013629197,0.2888673,0.08344431
Int_Med_pp38_ring,0.08521983,0.04486894,0.0020132216,0.5265082,0.27721086
Int_Med_pp53_ring,0.087269865,0.046091817,0.0021244555,0.5281527,0.2789453
Int_Med_pp65_ring,0.08206651,0.041758433,0.0017437667,0.50883645,0.25891453
Int_Med_PCNA_ring,0.08711016,0.054933928,0.0030177364,0.63062596,0.39768907
Int_Intg_DNA_nuc,0.25123143,0.11689021,0.013663321,0.46526903,0.21647528
AreaShape_Area_nuc,0.22300754,0.08669176,0.007515461,0.38873914,0.15111811
