group,estimator,N,d,n_instances,fidelity_mean,fidelity_sem,fidelity_std,fidelity_p25,fidelity_p75,fidelity_min,fidelity_max,avg_per_instance_std,total_shots
N_scan_depth12,MB,56,12,50,0.387,0.014970038103369228,0.10585415457513384,0.35,0.45,0.1,0.6,0.10634036821345566,1000
N40_verification,Transport_1QRB,40,4,10,0.95,0.02236067977499789,0.07071067811865474,0.9,1.0,0.8,1.0,0.041289421440897686,100
N40_verification,Transport_1QRB,40,16,10,0.71,0.043333333333333335,0.1370320319406298,0.6,0.8,0.5,0.9,0.13493694078054758,100
N40_verification,Transport_1QRB,40,32,10,0.6,0.05962847939999439,0.18856180831641267,0.5,0.6749999999999999,0.4,1.0,0.1350879975954201,100
N40_verification,Transport_1QRB,40,48,10,0.44000000000000006,0.0541602560309064,0.17126976771553507,0.325,0.5,0.2,0.8,0.1491010381811408,100
N40_verification,Transport_1QRB,40,64,10,0.38,0.06289320754704403,0.19888578520235067,0.225,0.475,0.1,0.8,0.14056537473875547,100
N40_verification,Transport_1QRB,40,96,10,0.29,0.04333333333333333,0.13703203194062977,0.3,0.4,0.0,0.4,0.12904541317065327,100
N56_depths,Transport_1QRB,56,4,10,0.85,0.034156502553198666,0.10801234497346435,0.8,0.9,0.7,1.0,0.09707301544010849,100
N56_depths,Transport_1QRB,56,16,10,0.6599999999999999,0.061824123303304696,0.19550504398153576,0.55,0.8,0.3,0.9,0.13654894705035744,100
N56_depths,Transport_1QRB,56,32,10,0.52,0.02905932629027115,0.09189365834726813,0.5,0.575,0.4,0.7,0.15588154212251376,100
N56_depths,Transport_1QRB,56,48,10,0.35,0.06191391873668903,0.19578900207451216,0.2,0.5,0.1,0.6,0.13681591576554858,100
N56_depths,Transport_1QRB,56,64,10,0.27,0.0334995854037363,0.10593499054713804,0.225,0.3,0.1,0.4,0.13420337621953166,100
N56_depths,Transport_1QRB,56,96,10,0.2,0.03944053188733077,0.12472191289246472,0.125,0.2,0.0,0.4,0.1132011251101301,100
N_scan_depth12,Transport_1QRB,16,4,10,0.97,0.021343747458109488,0.06749485577105527,1.0,1.0,0.8,1.0,0.02241063344500486,100
N_scan_depth12,Transport_1QRB,16,16,10,0.99,0.009999999999999997,0.031622776601683784,1.0,1.0,0.9,1.0,0.009627371722660668,100
N_scan_depth12,Transport_1QRB,16,32,10,0.9,0.03333333333333333,0.10540925533894598,0.8250000000000001,1.0,0.7,1.0,0.06801661798939873,100
N_scan_depth12,Transport_1QRB,16,48,10,0.93,0.0334995854037363,0.10593499054713802,0.9,1.0,0.7,1.0,0.04735554214546388,100
N_scan_depth12,Transport_1QRB,16,64,10,0.8300000000000001,0.0334995854037363,0.10593499054713804,0.725,0.9,0.7,1.0,0.10583102821614757,100
N_scan_depth12,Transport_1QRB,16,96,10,0.8300000000000001,0.0334995854037363,0.10593499054713804,0.8,0.875,0.7,1.0,0.10186477246190147,100
N_scan_depth12,Transport_1QRB,24,4,10,0.95,0.026874192494328493,0.08498365855987973,0.925,1.0,0.8,1.0,0.0351903642764948,100
N_scan_depth12,Transport_1QRB,24,16,10,0.89,0.009999999999999997,0.031622776601683784,0.9,0.9,0.8,0.9,0.09795724131556952,100
N_scan_depth12,Transport_1QRB,24,32,10,0.82,0.029059326290271165,0.09189365834726818,0.725,0.9,0.7,0.9,0.11630350879835245,100
N_scan_depth12,Transport_1QRB,24,48,10,0.8099999999999999,0.045825756949558406,0.1449137674618944,0.725,0.9,0.5,1.0,0.10851308321972522,100
N_scan_depth12,Transport_1QRB,24,64,10,0.78,0.05120763831912405,0.16193277068654827,0.7,0.875,0.5,1.0,0.10731442616469056,100
N_scan_depth12,Transport_1QRB,24,96,10,0.5599999999999999,0.04988876515698588,0.1577621275493231,0.42500000000000004,0.6749999999999999,0.3,0.8,0.14993461604216998,100
N_scan_depth12,Transport_1QRB,32,4,10,0.96,0.02211083193570266,0.06992058987801009,0.925,1.0,0.8,1.0,0.03192015811924472,100
N_scan_depth12,Transport_1QRB,32,16,10,0.8800000000000001,0.02905932629027115,0.09189365834726813,0.8,0.975,0.8,1.0,0.08278954992827635,100
N_scan_depth12,Transport_1QRB,32,32,10,0.6799999999999999,0.03590109871423003,0.11352924243950935,0.6,0.7,0.5,0.9,0.14129197054293446,100
N_scan_depth12,Transport_1QRB,32,48,10,0.5599999999999999,0.03711842908553347,0.11737877907772672,0.5,0.6,0.4,0.8,0.15352671161900044,100
N_scan_depth12,Transport_1QRB,32,64,10,0.55,0.05217491947499509,0.1649915822768611,0.42500000000000004,0.7,0.3,0.8,0.14966574548292533,100
N_scan_depth12,Transport_1QRB,32,96,10,0.39,0.05859465277082314,0.18529256146249726,0.225,0.55,0.2,0.7,0.14114945554825103,100
N_scan_depth12,Transport_1QRB,40,4,10,0.9099999999999999,0.0348010216963685,0.11005049346146119,0.8250000000000001,1.0,0.7,1.0,0.058212067075210185,100
N_scan_depth12,Transport_1QRB,40,16,10,0.76,0.042687494916219,0.13498971154211062,0.7,0.875,0.5,0.9,0.12547397040830077,100
N_scan_depth12,Transport_1QRB,40,32,10,0.67,0.05385164807134504,0.17029386365926402,0.55,0.8,0.4,0.8,0.13880979327663343,100
N_scan_depth12,Transport_1QRB,40,48,10,0.55,0.05217491947499509,0.1649915822768611,0.5,0.6499999999999999,0.3,0.8,0.1497762437585457,100
N_scan_depth12,Transport_1QRB,40,64,10,0.42000000000000004,0.06110100926607786,0.19321835661585918,0.25,0.6,0.1,0.6,0.142541834962391,100
N_scan_depth12,Transport_1QRB,40,96,10,0.29,0.0458257569495584,0.14491376746189438,0.225,0.3,0.1,0.6,0.13591907764573716,100
N_scan_depth12,Transport_1QRB,48,4,10,0.8700000000000001,0.030000000000000002,0.09486832980505139,0.8,0.9,0.7,1.0,0.09040416562423592,100
N_scan_depth12,Transport_1QRB,48,16,10,0.76,0.04521553322083511,0.1429840705968481,0.725,0.8,0.4,0.9,0.12529751877312187,100
N_scan_depth12,Transport_1QRB,48,32,10,0.54,0.05416025603090639,0.17126976771553504,0.42500000000000004,0.6,0.2,0.8,0.14741924453511498,100
N_scan_depth12,Transport_1QRB,48,48,10,0.37,0.042295258468165065,0.13374935098492585,0.225,0.5,0.2,0.5,0.14581928907128403,100
N_scan_depth12,Transport_1QRB,48,64,10,0.32,0.024944382578492946,0.07888106377466156,0.3,0.4,0.2,0.4,0.14300308585452376,100
N_scan_depth12,Transport_1QRB,48,96,10,0.21000000000000002,0.06574360974438673,0.20789954839350233,0.025,0.275,0.0,0.6,0.09363145399641144,100
N_scan_depth12,Transport_1QRB,56,4,10,0.85,0.034156502553198666,0.10801234497346435,0.8,0.9,0.7,1.0,0.09433038220499476,100
N_scan_depth12,Transport_1QRB,56,16,10,0.6599999999999999,0.061824123303304696,0.19550504398153576,0.55,0.8,0.3,0.9,0.13732256165145623,100
N_scan_depth12,Transport_1QRB,56,32,10,0.52,0.02905932629027115,0.09189365834726813,0.5,0.575,0.4,0.7,0.1546044599429733,100
N_scan_depth12,Transport_1QRB,56,48,10,0.35,0.06191391873668903,0.19578900207451216,0.2,0.5,0.1,0.6,0.13735709942223365,100
N_scan_depth12,Transport_1QRB,56,64,10,0.27,0.0334995854037363,0.10593499054713804,0.225,0.3,0.1,0.4,0.1358758610727707,100
N_scan_depth12,Transport_1QRB,56,96,10,0.2,0.03944053188733077,0.12472191289246472,0.125,0.2,0.0,0.4,0.11307386403849606,100
N40_verification,XEB,40,8,50,0.6317206938771033,0.04876339793826935,0.3448092935584837,0.36705974632889,0.8666816982131843,-0.20238658504805374,1.4198548036449155,0.31416725292079284,1000
N40_verification,XEB,40,10,50,0.4502297443654115,0.04558330224974619,0.3223226212967154,0.22335193349464116,0.601592521307868,-0.07578474682702274,1.6770076080299674,0.27382010669175266,1000
N40_verification,XEB,40,12,50,0.4568927431440281,0.04013867022572868,0.2838232590442332,0.2682458229714326,0.6581888503653797,-0.09829521054014623,1.047710856439985,0.2807799710224899,1000
N40_verification,XEB,40,14,50,0.39718262457389214,0.03676622196941783,0.2599764487318517,0.19590593377052795,0.5776916710361519,-0.12781543255523342,0.9922154394616514,0.2749811556876831,1000
N40_verification,XEB,40,16,50,0.36805386674716034,0.03919695483364711,0.27716432564734694,0.20513860730791222,0.5416543047717306,-0.20298389684150753,1.2515988877289428,0.2856614230647105,1000
N40_verification,XEB,40,18,50,0.2661268834768434,0.04123747336201982,0.29159297053283834,0.08314529118683617,0.49516005833430743,-0.375933952597056,0.8103805469133221,0.2541806600797626,1000
N40_verification,XEB,40,20,50,0.3019997346749341,0.047562856660051014,0.3363201847692582,0.1038183854191011,0.4973017621714249,-0.29174492488891646,1.48435962993217,0.2655228257334758,1000
N_scan_depth12,XEB,16,12,50,0.7996194809368217,0.04521518792084141,0.31971965991451035,0.5808721644808307,1.0447127447185731,0.05198542430441,1.4410118468811168,0.2923783163746147,1000
N_scan_depth12,XEB,24,12,50,0.6632842885855501,0.04100443532912788,0.2899451427995157,0.4873432010652529,0.8378313415156311,0.06295044787099435,1.759660436951818,0.29642238078790867,1000
N_scan_depth12,XEB,32,12,50,0.5644693601236068,0.0444048753042426,0.31398988445373,0.3069070943567283,0.7902153821449689,0.026455053689460994,1.3588350064777543,0.27978146744271143,1000
N_scan_depth12,XEB,40,12,50,0.4260097944481408,0.03903146480066377,0.27599413440193393,0.2353320047643227,0.5654304633228938,-0.07895782179008193,1.1831695387811427,0.26973366265556586,1000
