,measurement,protein,compartment
Int_Med_CDK4_nuc,Int_Med,CDK4,nuc
Int_Med_CDK6_nuc,Int_Med,CDK6,nuc
Int_Med_Cdh1_nuc,Int_Med,Cdh1,nuc
Int_Med_Cdt1_nuc,Int_Med,Cdt1,nuc
Int_Med_E2F1_nuc,Int_Med,E2F1,nuc
Int_Med_ERK_nuc,Int_Med,ERK,nuc
Int_Med_Fra1_nuc,Int_Med,Fra1,nuc
Int_Med_GSK3b_nuc,Int_Med,GSK3b,nuc
Int_Med_RB_nuc,Int_Med,RB,nuc
Int_Med_RSK1_nuc,Int_Med,RSK1,nuc
Int_Med_S6_nuc,Int_Med,S6,nuc
Int_Med_STAT3_nuc,Int_Med,STAT3,nuc
Int_Med_Skp2_nuc,Int_Med,Skp2,nuc
Int_Med_YAP_nuc,Int_Med,YAP,nuc
Int_Med_bCat_nuc,Int_Med,bCat,nuc
Int_Med_cFos_nuc,Int_Med,cFos,nuc
Int_Med_cJun_nuc,Int_Med,cJun,nuc
Int_Med_cMyc_nuc,Int_Med,cMyc,nuc
Int_Med_cycA_nuc,Int_Med,cycA,nuc
Int_Med_cycB1_nuc,Int_Med,cycB1,nuc
Int_Med_cycD1_nuc,Int_Med,cycD1,nuc
Int_Med_cycE_nuc,Int_Med,cycE,nuc
Int_Med_p14ARF_nuc,Int_Med,p14ARF,nuc
Int_Med_p16_nuc,Int_Med,p16,nuc
Int_Med_p21_nuc,Int_Med,p21,nuc
Int_Med_p27_nuc,Int_Med,p27,nuc
Int_Med_p38_nuc,Int_Med,p38,nuc
Int_Med_p53_nuc,Int_Med,p53,nuc
Int_Med_pAKT_nuc,Int_Med,pAKT,nuc
Int_Med_pCHK1_nuc,Int_Med,pCHK1,nuc
Int_Med_pERK_nuc,Int_Med,pERK,nuc
Int_Med_pGSK3b_nuc,Int_Med,pGSK3b,nuc
Int_Med_pH2AX_nuc,Int_Med,pH2AX,nuc
Int_Med_pRB_nuc,Int_Med,pRB,nuc
Int_Med_pRSK_nuc,Int_Med,pRSK,nuc
Int_Med_pS6_nuc,Int_Med,pS6,nuc
Int_Med_pSTAT3_nuc,Int_Med,pSTAT3,nuc
Int_Med_pp21_nuc,Int_Med,pp21,nuc
Int_Med_pp27_nuc,Int_Med,pp27,nuc
Int_Med_pp38_nuc,Int_Med,pp38,nuc
Int_Med_pp53_nuc,Int_Med,pp53,nuc
Int_Med_pp65_nuc,Int_Med,pp65,nuc
Int_Std_PCNA_nuc,Int_Std,PCNA,nuc
Int_Med_AKT_ring,Int_Med,AKT,ring
Int_Med_BP1_ring,Int_Med,BP1,ring
Int_Med_Bcl2_ring,Int_Med,Bcl2,ring
Int_Med_CDK2_ring,Int_Med,CDK2,ring
Int_Med_CDK4_ring,Int_Med,CDK4,ring
Int_Med_CDK6_ring,Int_Med,CDK6,ring
Int_Med_Cdh1_ring,Int_Med,Cdh1,ring
Int_Med_Cdt1_ring,Int_Med,Cdt1,ring
Int_Med_DNA_ring,Int_Med,DNA,ring
Int_Med_E2F1_ring,Int_Med,E2F1,ring
Int_Med_ERK_ring,Int_Med,ERK,ring
Int_Med_Fra1_ring,Int_Med,Fra1,ring
Int_Med_GSK3b_ring,Int_Med,GSK3b,ring
Int_Med_RB_ring,Int_Med,RB,ring
Int_Med_RSK1_ring,Int_Med,RSK1,ring
Int_Med_S6_ring,Int_Med,S6,ring
Int_Med_STAT3_ring,Int_Med,STAT3,ring
Int_Med_Skp2_ring,Int_Med,Skp2,ring
Int_Med_YAP_ring,Int_Med,YAP,ring
Int_Med_bCat_ring,Int_Med,bCat,ring
Int_Med_cFos_ring,Int_Med,cFos,ring
Int_Med_cJun_ring,Int_Med,cJun,ring
Int_Med_cMyc_ring,Int_Med,cMyc,ring
Int_Med_cycA_ring,Int_Med,cycA,ring
Int_Med_cycB1_ring,Int_Med,cycB1,ring
Int_Med_cycD1_ring,Int_Med,cycD1,ring
Int_Med_cycE_ring,Int_Med,cycE,ring
Int_Med_p14ARF_ring,Int_Med,p14ARF,ring
Int_Med_p16_ring,Int_Med,p16,ring
Int_Med_p21_ring,Int_Med,p21,ring
Int_Med_p27_ring,Int_Med,p27,ring
Int_Med_p38_ring,Int_Med,p38,ring
Int_Med_p53_ring,Int_Med,p53,ring
Int_Med_pAKT_ring,Int_Med,pAKT,ring
Int_Med_pCHK1_ring,Int_Med,pCHK1,ring
Int_Med_pERK_ring,Int_Med,pERK,ring
Int_Med_pGSK3b_ring,Int_Med,pGSK3b,ring
Int_Med_pH2AX_ring,Int_Med,pH2AX,ring
Int_Med_pRB_ring,Int_Med,pRB,ring
Int_Med_pRSK_ring,Int_Med,pRSK,ring
Int_Med_pS6_ring,Int_Med,pS6,ring
Int_Med_pSTAT3_ring,Int_Med,pSTAT3,ring
Int_Med_pp21_ring,Int_Med,pp21,ring
Int_Med_pp27_ring,Int_Med,pp27,ring
Int_Med_pp38_ring,Int_Med,pp38,ring
Int_Med_pp53_ring,Int_Med,pp53,ring
Int_Med_pp65_ring,Int_Med,pp65,ring
Int_Med_PCNA_ring,Int_Med,PCNA,ring
Int_Intg_DNA_nuc,Int_Intg,DNA,nuc
AreaShape_Area_nuc,AreaShape_Area,Area,nuc
