target_Tg,decoder,anchor_idx,acid_decoded,epoxide_decoded,acid_canonical,epoxide_canonical,valid,novel_pair,novel_monomer,pred_tg
350.0,greedy,5,O=C(O)CCC(CCC(=O)O)C(=O)C(=O)Nc1ccc(C(=O)NCCC(=O)Nc2ccccc2)cc1,CC1CCN(CC2CO2)CC1)c1cc(OCC2CO2)ccc1,O=C(O)CCC(CCC(=O)O)C(=O)C(=O)Nc1ccc(C(=O)NCCC(=O)Nc2ccccc2)cc1,,False,False,False,349.9998779296875
350.0,sample,5,O=C(O)CCC(=O)Nc1ccc(CCNC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2),CC1CCN(c2cccc(OCC3CO3)c2OCC2CO2)CC2,,,False,False,False,349.9998779296875
350.0,greedy,6,CC(C)(CC(=O)O)C(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1cccc(CNC(=O)c2cccc(OCC3CO3)c2)c1OCC1CO1,CC(C)(CC(=O)O)C(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,COc1cccc(CNC(=O)c2cccc(OCC3CO3)c2)c1OCC1CO1,True,True,True,349.9996337890625
350.0,sample,6,CC(C)c1ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)CC2CC(CC(=O)O)cc1,Cc1cccc(CNC(=O)c2ccc2cccc(OCC3CO3)c3c2)c1OCC1CO1,,,False,False,False,349.9996337890625
350.0,greedy,7,Cc1cc(C(=O)O)cc(N2CCC(c3ccc(C(=O)O)cc3)CC2)c1=O,O=C(NCC1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,,,False,False,False,349.9998474121094
350.0,sample,7,Cc1cc(N2CC(=O)Nc3ccc(C(=O)N(CC3CO3)CC3CO3)cc2)ccc1OC1,O=C(CCN1CCCCCCCCC1)NCC1CO1)N1CCCCCC1,,,False,False,False,349.9998474121094
350.0,greedy,8,CC(CCCCC1CC1)CCCN1CCC(CCCCCCCCC2CO2)CC1,COc1ccc(C(=O)NC(C)C(=O)C(CC2CO2)CC2CO2)cc1OCC1CO1,CC(CCCCC1CC1)CCCN1CCC(CCCCCCCCC2CO2)CC1,COc1ccc(C(=O)NC(C)C(=O)C(CC2CO2)CC2CO2)cc1OCC1CO1,True,True,True,350.00030517578125
350.0,sample,8,CC(C)(CCC1CO1)NCCN(CCNCCCCC1CO1)CC1,COC(=O)CN1CCCCCNC(=O)C=Cc2ccc(OCC3CO3)c2OCC2CO2)cc1,,,False,False,False,350.00030517578125
350.0,greedy,9,COCc1ccc(COCC(=O)O)cc1NC(=O)COCCOCCOCC(=O)O,O=C(OCC1CCN(C(=O)c2ccccc2OCC2CO2)CC1)C1CCCC1,COCc1ccc(COCC(=O)O)cc1NC(=O)COCCOCCOCC(=O)O,O=C(OCC1CCN(C(=O)c2ccccc2OCC2CO2)CC1)C1CCCC1,True,True,True,350.0004577636719
350.0,sample,9,COCc1cc(COCC(=O)O)cc(C(=O)NCCOCC(=O)O)c1,O=C1CC1)c1c(OCC2CO2)cccc1OCC1CO1)NCC1CCC1,COCc1cc(COCC(=O)O)cc(C(=O)NCCOCC(=O)O)c1,,False,False,False,350.0004577636719
350.0,greedy,10,O=C(O)CCN(CCC(=O)O)C(=O)CCN(CCOCC(=O)O)C(=O)CCC1CCN(Cc2ccccc2)CC1,COc1cc(C)cc(C)cc(CC2CO2)c1OCC1CO1,O=C(O)CCN(CCC(=O)O)C(=O)CCN(CCOCC(=O)O)C(=O)CCC1CCN(Cc2ccccc2)CC1,COC1=CC(C)=CC(C)=CC(CC2CO2)=C1OCC1CO1,True,True,True,350.00048828125
350.0,sample,10,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)CCCCC(=O)O)cc1,CCOc1ccc(OCC2CO2)c(C(=O)NCc2ccc(OCC3CO3)cc2)c1OCC(=O)O,O=C(O)CCCCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CCOc1ccc(OCC2CO2)c(C(=O)NCc2ccc(OCC3CO3)cc2)c1OCC(=O)O,True,True,True,350.00048828125
350.0,greedy,11,Cc1ccc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)c1,Cc1ccc(C(=O)NCc2ccc(OCC3CO3)cc2)ccc1OCC1CO1,,,False,False,False,350.0
350.0,sample,11,CCOc1cc(C=Cc2ccc(C(=O)Nc3ccc(COCC(=O)O)c(COCC(=O)O)c2)cn1,COc1ccc(C=NN(C(=O)c2c(OCC3CO3)ccnc2OCC2CO2)cc1,,,False,False,False,350.0
350.0,greedy,12,COc1ccc(C(=O)NC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,CC(C)N1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,COc1ccc(C(=O)NC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,CC(C)N1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,True,True,True,349.9997863769531
350.0,sample,12,COC(=O)c1cc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)ccc1OC1CCCC1,CN(CCCCC1)CCN1CCCCCC1)N(CC1CO1)CC1CO1,COC(=O)c1cc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)ccc1OC1CCCC1,,False,False,False,349.9997863769531
350.0,greedy,13,O=C(O)CCN(CCC(=O)O)C(=O)Cn1cc(C(=O)NCCc2cccnc2)cc1,CCOc1ccc(CN(CCCOCC2CO2)CC2CO2)cc1C(=O)NCCc1ccccc1OCC1CO1,O=C(O)CCN(CCC(=O)O)C(=O)Cn1ccc(C(=O)NCCc2cccnc2)c1,CCOc1ccc(CN(CCCOCC2CO2)CC2CO2)cc1C(=O)NCCc1ccccc1OCC1CO1,True,True,True,350.000244140625
350.0,sample,13,O=C(O)CCN(CCC(=O)O)C(=O)Nc1ccc2ccccn2cccc1C(=O)O,COc1cccc(CN(CCCOC)C(=O)C(CC2CO2)CC2CO2)c1,O=C(O)CCN(CCC(=O)O)C(=O)Nc1ccc2ccccn2cccc1C(=O)O,COCCCN(Cc1cccc(OC)c1)C(=O)C(CC1CO1)CC1CO1,True,True,True,350.000244140625
350.0,greedy,14,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(C(=O)Nc2ccccc2)cc1)C(=O)O,COc1ccc(CN(CCC(=O)O)CCC(=O)O)cc1OC,,COc1ccc(CN(CCC(=O)O)CCC(=O)O)cc1OC,False,False,False,349.9997253417969
350.0,sample,14,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(Cn2cnn3Cc3ccccc2)nc2ccccc12,COc1cc(CN(CCC(=O)O)CCC(C)C)c(OCCC(=O)O)c1,,,False,False,False,349.9997253417969
350.0,greedy,15,O=C(O)CCN(CCC(=O)O)Cc1ccccc1,Cc1cc(C)c(C)c(C)c(C)c1NC(=O)c1ccc(C)c(OCC2CO2)c(C)c1OCC1CO1,O=C(O)CCN(CCC(=O)O)Cc1ccccc1,,False,False,False,349.9994812011719
350.0,sample,15,O=C(O)c1cccc(CN2CCC(C(=O)O)c1,Cc1cccc(OCC2CO2)n1C(=O)Nc1ccc(NC(=O)c2c(OCC3CO3)nc2ccccc21,,,False,False,False,349.9994812011719
350.0,greedy,16,CN(C)C(=O)CN(CCC(=O)O)C(=O)CNC(=O)CCC1CCCCC1=O,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(NC(=O)CCC2CO2)cc1,CN(C)C(=O)CN(CCC(=O)O)C(=O)CNC(=O)CCC1CCCCC1=O,O=C(CCC1CO1)Nc1ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,True,True,True,349.9999694824219
350.0,sample,16,CN(C)C(=O)c1ccc(CN(CCC(=O)O)CCC(=O)O)cc1NC(=O)CCC(=O)O,O=C(NCCc1ccc(OCC2CO2)nc1)NCCc1ccc(OCC2CO2)cc1,CN(C)C(=O)c1ccc(CN(CCC(=O)O)CCC(=O)O)cc1NC(=O)CCC(=O)O,O=C(NCCc1ccc(OCC2CO2)cc1)NCCc1ccc(OCC2CO2)nc1,True,True,True,349.9999694824219
350.0,greedy,17,CC(C)(C)CN(CCC(=O)O)C(=O)CCCCC(=O)O,COc1cc(CN(C)C(=O)C(CC3CO3)CC2)ccc1OCC1CO1,CC(C)(C)CN(CCC(=O)O)C(=O)CCCCC(=O)O,,False,False,False,349.9998474121094
350.0,sample,17,C#CCN(CCC(=O)O)C(=O)CCCCC(=O)O,COc1cc(OCC2CO2)ccc(C(=O)N(CC2CO2)CC2CO2)c1,C#CCN(CCC(=O)O)C(=O)CCCCC(=O)O,,False,False,False,349.9998474121094
350.0,greedy,18,Cc1ccc(CN(C)C(=O)N(CC2CO2)CC2CO2)cc1C,CC(C)c1ccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,Cc1ccc(CN(C)C(=O)N(CC2CO2)CC2CO2)cc1C,CC(C)c1ccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,True,True,True,350.000244140625
350.0,sample,18,Cc1ccc(C)nc1CNC(=O)CN(CC1CO1)CC1CO1,CC(C)c1ccc(CCNC(=O)Cc2cccc(OCC3CO3)c2OCC2CO2)cc1,Cc1ccc(C)c(CNC(=O)CN(CC2CO2)CC2CO2)n1,CC(C)c1ccc(CCNC(=O)Cc2cccc(OCC3CO3)c2OCC2CO2)cc1,True,True,True,350.000244140625
350.0,greedy,19,CCCc1ccc(CN(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(CN(C)C(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,CCCc1ccc(CN(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(CN(C)C(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,True,True,True,349.9999084472656
350.0,sample,19,Cc1cccc(OCCCCCC(=O)OCC(=O)O)c1COCC(=O)O,Cc1ccc(CC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc(C)c1,Cc1cccc(OCCCCCC(=O)OCC(=O)O)c1COCC(=O)O,,False,False,False,349.9999084472656
350.0,greedy,20,CCN(CCNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)C(=O)CCC1CCN(C)c1,CCc1ccc(C(C)c2ccc(C)c(C)c(OCC3CO3)c2)c1OCC1CO1,CCN(CCNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)C(=O)CCC1CCN(C)C1,,False,False,False,350.0004577636719
350.0,sample,20,CCN(CCNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)C(=O)CCC(=O)CC1CCN(C)c1,CCc1ccc(C(C)c2ccc(C)c(OCC3CO3)c2)c(C)c1OCC1CO1,CCN(CCNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)C(=O)CCC(=O)CC1CCN(C)C1,CCc1ccc(C(C)c2ccc(C)c(OCC3CO3)c2)c(C)c1OCC1CO1,True,True,True,350.0004577636719
350.0,greedy,21,COc1cc(C(=O)O)ccc1C(=O)O,CCCCCCCCC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,COc1cc(C(=O)O)ccc1C(=O)O,CCCCCCCCC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,True,True,True,350.0004577636719
350.0,sample,21,COc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)nn1,CCCCCCC(C)C)c1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,,,False,False,False,350.0004577636719
350.0,greedy,22,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)Nc2ccccc2)cc1,CN(Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(C2CC2)cc1,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)Nc2ccccc2)cc1,CN(Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(C2CC2)cc1,True,True,True,350.0001525878906
350.0,sample,22,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCc2cccc(NC(=O)CC(=O)O)cc2)n,CN(Cn1cccc1OCC1CO1)CC1CCN(c2ccc(OCC3CO3)cc21,,,False,False,False,350.0001525878906
350.0,greedy,23,CC(C)(CC(=O)O)C(=O)Nc1cccc(C(=O)CC(=O)O)c1,O=C(Cc1ccc2ccccc2c1OCC1CO1)Nc1ccc(OCC2CO2)cc1,CC(C)(CC(=O)O)C(=O)Nc1cccc(C(=O)CC(=O)O)c1,O=C(Cc1ccc2ccccc2c1OCC1CO1)Nc1ccc(OCC2CO2)cc1,True,True,True,349.9997253417969
350.0,sample,23,CC(C)(CCC(=O)O)c1cccc(CC(=O)NCCC(=O)O)c1,O=C(Cc1cccc2cnccc12)c1ccccc1OCC1CO1)c1ccc(OCC2CO2)c1,CC(C)(CCC(=O)O)c1cccc(CC(=O)NCCC(=O)O)c1,,False,False,False,349.9997253417969
350.0,greedy,24,COc1cc(C(=O)NC(COCC(=O)O)CCOCC(=O)O)cc(OC)c1OC,O=C(CCCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,COc1cc(C(=O)NC(CCOCC(=O)O)COCC(=O)O)cc(OC)c1OC,O=C(CCCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,True,True,True,349.99969482421875
350.0,sample,24,COc1cc(C(=O)N(C)C)ccc1OCC(=O)CC(C)C(=O)O)C(=O)COCC(=O)O,CN(Cc1ccccc1)c1cc(OCC2CO2)cc(OCC2CO2)c1,,CN(Cc1ccccc1)c1cc(OCC2CO2)cc(OCC2CO2)c1,False,False,False,349.99969482421875
350.0,greedy,25,O=C(O)CCN(CCC(=O)O)C(=O)Cc1ccc(OCc2ccccc2)cc1,O=C(c1ccc2ccccc2c1)N1CCN(Cc2ccccc2)c1OCC1CO1)C1CCCC1,O=C(O)CCN(CCC(=O)O)C(=O)Cc1ccc(OCc2ccccc2)cc1,,False,False,False,349.9996643066406
350.0,sample,25,O=C(O)CCC(CCC(=O)O)C(=O)c1ccc(OCc2ccccc2)nc1,O=C(c1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc2ccccc2c1OCC1CO1,O=C(O)CCC(CCC(=O)O)C(=O)c1ccc(OCc2ccccc2)nc1,O=C(c1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccc2ccccc2c1OCC1CO1,True,True,True,349.9996643066406
350.0,greedy,26,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1cccc(NC(=O)CCC(=O)O)c1,O=C(Cc1ccc(OCC2CO2)cc1)C1CCC(C(=O)O)C1,O=C(O)CCC(=O)Nc1cccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)c1,O=C(O)C1CCC(C(=O)Cc2ccc(OCC3CO3)cc2)C1,True,True,True,349.9994812011719
350.0,sample,26,N#Cc1cccc2c(NC(=O)C(CCC(=O)O)CCC(=O)O)ccc1,O=C(OCC1CCC(CCCC2)c1)c1cc(OCC2CO2)ccc1OCC1CO1,,,False,False,False,349.9994812011719
350.0,greedy,27,Cc1ccc(C(=O)N2CCN(CCC(=O)N(CCC(=O)O)CCC(=O)O)CC2)cc1C,O=C(O)CCN(CCC(=O)O)Cc1ccccc1,Cc1ccc(C(=O)N2CCN(CCC(=O)N(CCC(=O)O)CCC(=O)O)CC2)cc1C,O=C(O)CCN(CCC(=O)O)Cc1ccccc1,True,True,True,350.0010070800781
350.0,sample,27,Cc1cc(C)cc(NC(=O)CN(CCC(=O)O)CCC(=O)O)cc1CNC(=O)CC1,O=C(CCC1CO1)NCCNC(=O)c1cccc(CNCC2CO2)c1,,O=C(CCC1CO1)NCCNC(=O)c1cccc(CNCC2CO2)c1,False,False,False,350.0010070800781
350.0,greedy,28,O=C(O)CCN(CCC(=O)O)C(=O)CN1CCC(NC(=O)CCC2=O)cc1NC(=O)NCC1CCCCC1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)N1CCCCC1,,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)N1CCCCC1,False,False,False,350.0005187988281
350.0,sample,28,O=C(O)CCN(CCC(=O)O)C(=O)CN1C(=O)CN(CCC(=O)O)CCCC1,O=C(NCCc1ccc(OCC2CO2)cc1OCC1CO1)N1CCCCC1)c1ccc(OC2CCC2)cc1,O=C(O)CCN1CCCCN(CC(=O)N(CCC(=O)O)CCC(=O)O)C(=O)C1,,False,False,False,350.0005187988281
350.0,greedy,29,CCCCCCCCCCCC(=O)Nc1ccc(C(C)(C)CCC(=O)O)c(C(C)CC(=O)O)c1,COc1cc(CNC(=O)N(CC2CO2)CC2CO2)ccc1OCCCC(=O)O,CCCCCCCCCCCC(=O)Nc1ccc(C(C)(C)CCC(=O)O)c(C(C)CC(=O)O)c1,COc1cc(CNC(=O)N(CC2CO2)CC2CO2)ccc1OCCCC(=O)O,True,True,True,350.0003967285156
350.0,sample,29,CCCCCCCCCC(C)(C)C(=O)C(CCC(=O)O)CC(=O)Nc1cc(COCC(=O)O)ccc1C(C)C(=O)O,COc1cc(C(C)CNC(=O)N(C)C(C)C)cc2OCC2CO2)c1OCC(COCC1CO1,CCCCCCCCCC(C)(C)C(=O)C(CCC(=O)O)CC(=O)Nc1cc(COCC(=O)O)ccc1C(C)C(=O)O,,False,False,False,350.0003967285156
350.0,greedy,30,O=C(O)CCN(CCC(=O)O)C(=O)c1cccc(NC(=O)CCC2CC2)c1,CC(C)(CNC(=O)C=Cc1ccc(OCC2CO2)cc1)C(=O)CCCc1cccc(OCC2CO2)c1,O=C(O)CCN(CCC(=O)O)C(=O)c1cccc(NC(=O)CCC2CC2)c1,CC(C)(CNC(=O)C=Cc1ccc(OCC2CO2)cc1)C(=O)CCCc1cccc(OCC2CO2)c1,True,True,True,350.0005187988281
350.0,sample,30,O=C(O)CCN(CCC(=O)O)C(=O)c1ccccc1NC(=O)CCc1ccccc1,CN(CCCCCCCCc1ccccc1)C(=O)CNCC1CO1)c1cccc(OCC2CO2)c1,O=C(O)CCN(CCC(=O)O)C(=O)c1ccccc1NC(=O)CCc1ccccc1,,False,False,False,350.0005187988281
350.0,greedy,31,O=C(O)CC(C(=O)O)C(=O)c1ccccc1C(=O)O,CCCCCC(=O)NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,O=C(O)CC(C(=O)O)C(=O)c1ccccc1C(=O)O,CCCCCC(=O)NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,True,True,True,350.00030517578125
350.0,sample,31,O=C(O)CCN(CCC(=O)O)c1ccnc2ccccc2n1,CCCC(=O)CCC(=O)c1cc(OCC2CO2)ccc1OCC1CO1,,CCCC(=O)CCC(=O)c1cc(OCC2CO2)ccc1OCC1CO1,False,False,False,350.00030517578125
350.0,greedy,32,O=C(O)CCN(CCC(=O)O)C(=O)CCCC(=O)NCC1CCCCC1,CCCOc1ccc(CNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c(C)c1,O=C(O)CCN(CCC(=O)O)C(=O)CCCC(=O)NCC1CCCCC1,CCCOc1ccc(CNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c(C)c1,True,True,True,350.0001220703125
350.0,sample,32,O=C(O)CCNC(=O)CNC(=O)C(=O)NCC1CCCCC1=O,COc1cc(CN(C)Cc2cccc(OCC3CO3)c2)c(OCC2CO2)c1C,O=C(O)CCNC(=O)CNC(=O)C(=O)NCC1CCCCC1=O,,False,False,False,350.0001220703125
350.0,greedy,33,O=C(O)CCC(CCC(=O)O)C(=O)CN1CCC(NC(=O)CCCC(=O)O)CC1,O=C(NCc1ccc(OCC2CO2)cc1)N1CCC(C(=O)c2ccccc2OCC2CO2)CC1,O=C(O)CCCC(=O)NC1CCN(CC(=O)C(CCC(=O)O)CCC(=O)O)CC1,O=C(c1ccccc1OCC1CO1)C1CCN(C(=O)NCc2ccc(OCC3CO3)cc2)CC1,True,True,True,349.9996032714844
350.0,sample,33,O=C(O)CCCCCNC(=O)CN1CCCCCC1=N(CCC(=O)O)CC1,O=C(c1ccc(OCC2CO2)c(OCC2CO2)c1)N1CCN(Cc2ccccc2)C1,,O=C(c1ccc(OCC2CO2)c(OCC2CO2)c1)N1CCN(Cc2ccccc2)C1,False,False,False,349.9996032714844
350.0,greedy,34,O=C(O)CCNC(=O)CCNC(=O)C(=O)NCCc1ccc(OCCC(=O)O)cc1,O=C(NCc1ccc(OCC2CO2)cc1)N1CCN(Cc2ccccc2)CC1)c1ccc(OCC2CO2)cc1,O=C(O)CCNC(=O)CCNC(=O)C(=O)NCCc1ccc(OCCC(=O)O)cc1,,False,False,False,350.0001220703125
350.0,sample,34,O=C(O)CCC(=O)NCCCCNC(=O)c1ccc(OCCC(=O)O)cc1,N#Cc1cccc(NC2CCN(C(=O)C=CC2)c1OCC1CO1)C1CC1)Nc1ccc(OC2CCCC2)cc1,O=C(O)CCOc1ccc(C(=O)NCCCCNC(=O)CCC(=O)O)cc1,,False,False,False,350.0001220703125
350.0,greedy,35,O=C(O)CCCCCC(=O)N(CCC(=O)O)C(=O)CCCC1CC1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(C(=O)Nc2ccccc2)cc1,O=C(O)CCCCCC(=O)N(CCC(=O)O)C(=O)CCCC1CC1,O=C(Nc1ccccc1)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,True,True,True,349.9999084472656
350.0,sample,35,O=C(O)CCCCCCNC1(CCC(=O)O)CCCCCCC1,O=C(Nc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)C3CC3)cc2)cc1)c1ccc(OCC2CO2)cc1,O=C(O)CCCCCCNC1(CCC(=O)O)CCCCCCC1,,False,False,False,349.9999084472656
350.0,greedy,36,CN(C)CCN(CCC(=O)O)C(=O)NCCc1ccc(C(=O)N(CCC(=O)O)cc1,CCOc1ccc(C(=O)Nc2ccc(C(=O)O)c(OCC3CO3)c2)ccc1OCC1CO1,,,False,False,False,349.9997253417969
350.0,sample,36,CN(C)C1CCN(CCC(=O)O)C(=O)NCCc1ccc(CNC(=O)CCCC(=O)O)cc1,CCOC(=O)c1cc(C=CC(=O)c2cccc(OCC3CO3)c2)cc(CC2CO2)c1,,CCOC(=O)c1cc(C=CC(=O)c2cccc(OCC3CO3)c2)cc(CC2CO2)c1,False,False,False,349.9997253417969
350.0,greedy,37,CC(C)c1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(CN2CCN(Cc3ccc(OCC4CO4)cc3)CC2)c(OCC2CO2)c1,CC(C)c1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(CN2CCN(Cc3ccc(OCC4CO4)cc3)CC2)c(OCC2CO2)c1,True,True,True,349.999755859375
350.0,sample,37,CC(C)c1cc(CC(=O)O)ccc1NC(=O)C(CCC(=O)O)Cc1ccccc1,Cc1ccc(CN2CCN(Cc3ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,CC(C)c1cc(CC(=O)O)ccc1NC(=O)C(CCC(=O)O)Cc1ccccc1,,False,False,False,349.999755859375
350.0,greedy,38,O=C(COCC1CO1)NCCN(CCOCC1CO1)CCOCC1CO1,Cc1cc(C)c(C)c(C)c(C)c1OCC1CO1)c1cc(C)cc(C)cc1OCC1CO1,O=C(COCC1CO1)NCCN(CCOCC1CO1)CCOCC1CO1,,False,False,False,350.00006103515625
350.0,sample,38,O=C(COCC1CO1)NCc1ccc(NC(=O)C=CC2)cc1OCC1CO1,Cc1cc(C(=O)NCc2ccc(OCC3CO3)cc2Oc2ccc(C)c(OCC3CO3)cc2)c1,,,False,False,False,350.00006103515625
