target_Tg,decoder,anchor_idx,acid_decoded,epoxide_decoded,acid_canonical,epoxide_canonical,valid,novel_pair,novel_monomer,pred_tg,pred_tg_reencoded,abs_err_reencoded
400.0,sample,60,CCOCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c2ccccc2c1,O=C(NCCC1CCN(c2ccccc2)CC1)N(CC1CO1)CC1CO1,CCOCC(=O)NC1=CC(COCC(=O)O)=CC(COCC(=O)O)=c2ccccc2=C1,O=C(NCCC1CCN(c2ccccc2)CC1)N(CC1CO1)CC1CO1,True,True,True,399.9999084472656,399.96613,0.03387451171875
400.0,greedy,154,O=C(O)C1CCC(NC(=O)c2ccc(C(=O)O)cc2)C1,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccccc1OC1CC1,O=C(O)c1ccc(C(=O)NC2CCC(C(=O)O)C2)cc1,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccccc1OC1CC1,True,True,True,400.00030517578125,399.50104,0.49896240234375
400.0,greedy,3,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NCc2ccccc2)nn1,CN(C(=O)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccccc1,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NCc2ccccc2)nn1,CN(C(=O)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccccc1,True,True,True,400.0003967285156,400.5003,0.50030517578125
400.0,greedy,182,COc1cc(C(=O)OCC(=O)OCC(=O)OCC(=O)O)ccc1OCC(=O)O,CCCCc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,COc1cc(C(=O)OCC(=O)OCC(=O)OCC(=O)O)ccc1OCC(=O)O,CCCCc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,True,True,True,399.99932861328125,398.30316,1.69683837890625
400.0,sample,88,O=C(O)CCN1CCC(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,CN1CCN(c2ccc(CNC(=O)c3cccc(OCC4CO4)c3OCC3CO3)CC2)cc1,O=C(O)CCN1CCC(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)C1,CN1C=CN(C2=CC=C(CNC(=O)c3cccc(OCC4CO4)c3OCC3CO3)CC2)CC1,True,True,True,399.999755859375,398.24295,1.757049560546875
400.0,sample,57,CC1CCN(C(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CN(CC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)C1CCCCC1,CC1CCN(C(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CN(CC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C(=O)C1CCCCC1,True,True,True,399.9994812011719,401.8808,1.88079833984375
400.0,greedy,119,CC(C)(C(=O)O)C(=O)Nc1cccc(C(=O)O)c1,Cc1ccc(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)cc1C,CC(C)(C(=O)O)C(=O)Nc1cccc(C(=O)O)c1,Cc1ccc(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)cc1C,True,True,True,399.9999694824219,398.05615,1.94384765625
400.0,greedy,44,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)Nc2ccccc2)cc1C(=O)O,O=C(CCCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)Nc2ccccc2)cc1C(=O)O,O=C(CCCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,True,True,True,400.0002136230469,396.96198,3.03802490234375
400.0,greedy,48,Cn1cc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1C(=O)O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C1CCCCC1,Cn1cc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1C(=O)O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C1CCCCC1,True,True,True,399.9997253417969,403.28607,3.28607177734375
400.0,greedy,117,CC(=O)Oc1ccc(C(=O)O)cc1,O=C(C(=O)N1CCC(C(=O)N2CCCCC2)c1)c1c(OCC2CO2)cccc1OCC1CO1,CC(=O)Oc1ccc(C(=O)O)cc1,O=C(C(=O)N1CCC(C(=O)N2CCCCC2)C1)c1c(OCC2CO2)cccc1OCC1CO1,True,True,True,400.0000305175781,403.5026,3.502593994140625
450.0,sample,178,COC(=O)C(=O)NC(=O)C(=O)C(=O)c1ccc(OC(=O)C(=O)O)cc1OCCC(=O)O,CC(C)N1CCN(c2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,COC(=O)C(=O)NC(=O)C(=O)C(=O)c1ccc(OC(=O)C(=O)O)cc1OCCC(=O)O,CC(C)N1C=CN(c2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,True,True,True,450.0000915527344,450.4727,0.472686767578125
450.0,greedy,53,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(C(=O)Nc2ccccc2)cc1C(=O)O,CCOc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,O=C(Nc1ccccc1)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c(C(=O)O)c1,CCOc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,True,True,True,449.9998474121094,445.93088,4.069122314453125
450.0,greedy,55,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)Nc2ccccc2)cc1NC(=O)Nc1ccccc1,CN(C)C(=O)c1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)Nc2ccccc2)cc1NC(=O)Nc1ccccc1,CN(C)C(=O)c1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,True,True,True,449.9997253417969,443.17215,6.827850341796875
450.0,sample,51,COc1ccc(C(=O)O)cc1NC(=O)C(=O)O,O=C(c1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(C(=O)Nc2ccc(O)cc2)cc1,COc1ccc(C(=O)O)cc1NC(=O)C(=O)O,O=C(Nc1ccc(O)cc1)c1ccc(C(=O)c2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,True,True,True,449.99993896484375,435.7402,14.259796142578125
450.0,greedy,88,COc1cc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)cc(C)c1,CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,COc1cc(C)cc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)c1,CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,True,True,True,449.99993896484375,432.9913,17.008697509765625
450.0,sample,2,CC(C)Oc1ccc(C(=O)O)cc1CNC(=O)C(=O)O,CN1CCN(C(=O)C=Cc2ccc(C(=O)N(CC3CO3)CC2CO2)cc2)CC1,CC(C)Oc1ccc(C(=O)O)cc1CNC(=O)C(=O)O,CN1CCN(C(=O)C=CC2=CC=C3C=COCC2CN(CC2CO2)C3=O)CC1,True,True,True,450.0000305175781,424.31088,25.689117431640625
450.0,greedy,108,O=C(O)c1ccc(C(=O)O)cc1C(=O)O,CCOc1ccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)cc1C(=O)O,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,CCOc1ccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)cc1C(=O)O,True,True,True,450.0004577636719,422.67612,27.323883056640625
450.0,greedy,65,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)C(=O)c1ccc(C2CCCC2)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(NC(=O)c2ccccc2)cc1,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)C(=O)c1ccc(C2CCCC2)cc1,O=C(Nc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1)c1ccccc1,True,True,True,450.0000305175781,422.36618,27.633819580078125
450.0,greedy,183,O=C(O)c1cc(C(=O)O)ccc1C(=O)O,CCCCN(CC)C(=O)c1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,CCCCN(CC)C(=O)c1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,True,True,True,450.0002136230469,420.81656,29.183441162109375
450.0,sample,114,Cc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1C(=O)O,Cc1cc(C(=O)NCc2ccc(C3CO3)cc2)ccc1NC(=O)c1ccc(OCC2CO2)nc1C,Cc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1C(=O)O,Cc1cc(C(=O)NCc2ccc(C3CO3)cc2)ccc1NC(=O)c1ccc(OCC2CO2)nc1C,True,True,True,450.0002136230469,419.9155,30.084503173828125
