,mean,std,pseudotime_correlation,pseudotime_pvalue,abs_correlation,rf_importance,mutual_info,rank_corr,rank_rf,rank_mi,composite_rank,composite_score
Int_Med_cycE_nuc,0.07758536872678633,0.039036523611973614,0.28558147108667203,6.191734638234952e-53,0.28558147108667203,0.004583223821641701,0.10572082861393106,26.0,14.0,23.0,21.0,0.047619047619047616
Int_Med_pp21_nuc,0.0284697331439387,0.042698253469784946,0.3775899774538052,3.2746659700231655e-94,0.3775899774538052,0.001007504227405469,0.19798464509146907,14.0,35.0,16.0,21.666666666666668,0.04615384615384615
Int_Med_pp53_nuc,0.10903330674667037,0.05164115313667762,0.34523277481934145,4.629367743553863e-78,0.34523277481934145,0.0008990317349295309,0.10870043242239014,16.0,39.0,21.0,25.333333333333332,0.03947368421052632
Int_Med_CDK4_nuc,0.06862351125308412,0.08894600853472574,0.293717372958578,5.007524152732316e-56,0.293717372958578,0.08532157744714457,0.060625207592815755,25.0,3.0,51.0,26.333333333333332,0.0379746835443038
Int_Med_CDK6_nuc,0.12851764826739837,0.0645983622019394,0.2765570510518121,1.2684805141125358e-49,0.2765570510518121,0.0012976241759750588,0.09155825907926207,27.0,29.0,30.0,28.666666666666668,0.03488372093023256
Int_Med_pRB_nuc,0.44435503459785225,0.16397586220647908,0.19366004227182554,1.0138882878939441e-24,0.19366004227182554,0.0019599637811347557,0.09375464506515918,41.0,25.0,25.0,30.333333333333332,0.03296703296703297
Int_Med_cMyc_nuc,0.11015697532902345,0.08404710804625981,0.1473415499017397,7.352323669672024e-15,0.1473415499017397,0.0029480172156247098,0.15049610297585136,61.0,18.0,18.0,32.333333333333336,0.03092783505154639
Int_Med_p16_nuc,0.2434738582481494,0.1157448961562272,0.31997642036195584,1.0231992862642404e-66,0.31997642036195584,0.0009191559346126804,0.07445571391978678,20.0,37.0,41.0,32.666666666666664,0.030612244897959186
Int_Med_cycD1_nuc,0.15912793526328403,0.1101825639427865,0.11246143755516105,3.155593534996254e-09,0.11246143755516105,0.04108961810453257,0.25535112854299413,84.0,5.0,14.0,34.333333333333336,0.029126213592233007
Int_Med_pCHK1_nuc,0.16798181047007976,0.08366346016775013,0.3422439896818051,1.1593326808986391e-76,0.3422439896818051,0.0006031277366757748,0.1059648544192946,17.0,68.0,22.0,35.666666666666664,0.028037383177570097
Int_Med_p53_nuc,0.12701258701123783,0.09545803077222122,0.29925387906767376,3.4410766687752805e-58,0.29925387906767376,0.0008986552467633145,0.05792181683406916,24.0,40.0,56.0,40.0,0.025
Int_Med_pp65_nuc,0.3302221810482321,0.09150193605669918,0.17588874617134875,1.312159708455747e-20,0.17588874617134875,0.000739528928532009,0.09164682321027051,50.0,51.0,29.0,43.333333333333336,0.023076923076923075
Int_Med_cycA_cell,0.01938211015403175,0.025604378413645115,0.3096626980038174,2.18621596015175e-62,0.3096626980038174,0.0005876025674120368,0.08367529071198998,23.0,72.0,36.0,43.666666666666664,0.022900763358778626
Int_MeanEdge_pAKT_cell,0.24083094774965155,0.09714378932226088,-0.2409032633385762,1.0107391391479303e-37,0.2409032633385762,0.0006891346644336346,0.06812848508801483,33.0,56.0,46.0,45.0,0.022222222222222223
Int_Med_pAKT_cell,0.25734658010620265,0.11290323848428745,-0.23581349830015383,3.580315501947263e-36,0.23581349830015383,0.0005474617396841581,0.09242978067637342,34.0,80.0,27.0,47.0,0.02127659574468085
Int_Med_cycD1_cyto,0.12163601976905583,0.05703871836272026,0.1910271907275224,4.3799768763150684e-24,0.1910271907275224,0.0008038788717643724,0.05946234225567437,43.5,45.0,53.0,47.166666666666664,0.02120141342756184
Int_Med_cycD1_ring,0.12163601976905583,0.05703871836272026,0.1910271907275224,4.3799768763150684e-24,0.1910271907275224,0.000777425283214073,0.05983681034598742,43.5,48.0,52.0,47.833333333333336,0.020905923344947733
Int_Med_cycD1_cell,0.11459781860881399,0.06186104712767976,0.16560941783147293,2.033618337004444e-18,0.16560941783147293,0.0007079532676127808,0.07641671891300383,52.0,55.0,39.0,48.666666666666664,0.020547945205479454
Int_MeanEdge_AKT_cell,0.15850244875542951,0.09759194548345461,-0.1920645155824981,2.467147928741528e-24,0.1920645155824981,0.0007920602846298055,0.049698051707847135,42.0,47.0,67.0,52.0,0.019230769230769232
Int_Med_bCat_nuc,0.13911890347537845,0.06651695916132362,0.161095833973803,1.6864929130214586e-17,0.161095833973803,0.0006823575479833703,0.06359104939621307,53.0,57.0,48.0,52.666666666666664,0.0189873417721519
Int_Med_cJun_nuc,0.3513783952103498,0.10235570578258446,0.14411443314535644,2.825197999491954e-14,0.14411443314535644,0.0009028906669145327,0.05557039965776589,62.0,38.0,59.0,53.0,0.018867924528301886
Int_Med_GSK3b_nuc,0.1438656472065967,0.07982964046919112,0.27427231204539354,8.358504406332978e-49,0.27427231204539354,0.00048138446636342293,0.0796652476643942,28.0,94.0,37.0,53.0,0.018867924528301886
Int_MeanEdge_pERK_cell,0.2383264263706358,0.11608213543530747,-0.22367366695758917,1.2655213692267647e-32,0.22367366695758917,0.00103071297155263,0.03282608427298239,36.0,34.0,97.0,55.666666666666664,0.017964071856287425
Int_Med_cFos_nuc,0.2055431554528162,0.09822793702797132,0.3104273880497951,1.0581843592645355e-62,0.3104273880497951,0.0004601385166733727,0.056816079998863955,21.0,97.0,57.0,58.333333333333336,0.017142857142857144
Int_Med_pGSK3b_nuc,0.17554910731052534,0.10070059882693744,0.12773340716684486,1.651655608434453e-11,0.12773340716684486,0.000597939631831245,0.08416824251054855,73.0,69.0,34.0,58.666666666666664,0.017045454545454548
Int_Med_p38_nuc,0.12820406084828997,0.06437593116060131,0.2543528145979587,5.405498584209203e-42,0.2543528145979587,0.0005619739751724931,0.048861379231475155,30.0,79.0,70.0,59.666666666666664,0.01675977653631285
Int_MeanEdge_PCNA_cell,0.05458039341219289,0.0729048101635417,-0.11855225565539756,4.202506538519545e-10,0.11855225565539756,0.0008679602197087879,0.05537232030012085,79.0,42.0,61.0,60.666666666666664,0.016483516483516484
Int_Med_p21_nuc,0.11003079650577276,0.10867824414759655,0.04354895793972294,0.0221661189677823,0.04354895793972294,0.02235521214254572,0.27630485332938726,168.0,6.0,9.0,61.0,0.01639344262295082
Int_Med_cycA_cyto,0.08121328811817687,0.06480794901560674,0.39436527873664823,2.4297465597030235e-103,0.39436527873664823,0.0002961007889240384,0.09181018404990038,11.5,148.0,28.0,62.5,0.016
Int_Med_pSTAT3_nuc,0.04584371918785674,0.04092902670611609,0.15610977246334345,1.6277129606830257e-16,0.15610977246334345,0.0004021406893400736,0.10299829385804404,55.0,110.0,24.0,63.0,0.015873015873015872
Int_Med_PCNA_cyto,0.08711026360965379,0.05494367273221599,-0.1989088106774059,5.147226133714172e-26,0.1989088106774059,0.000353973645445445,0.09020745462786195,39.5,131.0,32.0,67.5,0.014814814814814815
Int_Med_pAKT_nuc,0.13642802743690818,0.08554608418616748,-0.15285980893888718,6.859750679181958e-16,0.15285980893888718,0.0004261486572185503,0.07415075184492714,57.0,104.0,42.0,67.66666666666667,0.014778325123152709
Int_MeanEdge_p38_cell,0.16568497269461285,0.08567364196477477,-0.16648469393394932,1.3399342975488964e-18,0.16648469393394932,0.0003685679213902118,0.07145281005449,51.0,121.0,43.0,71.66666666666667,0.013953488372093023
Int_Med_AKT_nuc,0.2991931914419308,0.1455837994756085,0.14819057859267498,5.133767657084688e-15,0.14819057859267498,0.0003695970623129601,0.08390640902500035,60.0,120.0,35.0,71.66666666666667,0.013953488372093023
Int_Med_Bcl2_nuc,0.08843583845780144,0.06463263704879217,0.12202311249356926,1.271458651279928e-10,0.12202311249356926,0.0004955122437491817,0.06298141670801449,75.0,91.0,50.0,72.0,0.013888888888888888
Int_Med_pAKT_cyto,0.26193903518128675,0.11216038182413929,-0.24419545511493118,9.614819753022302e-39,0.24419545511493118,0.0002967928550177291,0.0771381287250863,31.5,147.0,38.0,72.16666666666667,0.013856812933025403
Int_Med_pp27_nuc,0.025380589247769977,0.021541653772799985,0.20415854233033537,2.3989433747992694e-27,0.20415854233033537,0.00039180019640620877,0.048873247587465585,38.0,112.0,69.0,73.0,0.0136986301369863
Int_Med_CDK2_cell,0.2182622792792259,0.09403054661998263,-0.12457714270678569,5.161906707325841e-11,0.12457714270678569,0.002001354074196302,0.02298722130170372,74.0,24.0,122.0,73.33333333333333,0.013636363636363637
Int_Med_CDK2_cyto,0.24128355562452147,0.09255618669947233,-0.13779266912277438,3.6177841690778193e-13,0.13779266912277438,0.006881447960432302,0.0182479867117884,65.5,13.0,142.0,73.5,0.013605442176870748
Int_MeanEdge_Fra1_cell,0.03488724596915579,0.05642857463178204,-0.1487828232857512,3.9910523061037225e-15,0.1487828232857512,0.0007953384158860717,0.0242940330587329,59.0,46.0,118.0,74.33333333333333,0.013452914798206279
Int_MeanEdge_GSK3b_cell,0.08418945475307946,0.05686544041279484,-0.1126182347957608,2.999902504929583e-09,0.1126182347957608,0.0011502227845960299,0.02844281730398901,83.0,30.0,110.0,74.33333333333333,0.013452914798206279
Int_Med_CDK2_ring,0.24128355562452147,0.09255618669947233,-0.13779266912277438,3.6177841690778193e-13,0.13779266912277438,0.004341104803509855,0.017844956811246426,65.5,15.0,143.0,74.5,0.013422818791946308
Int_Med_pS6_cell,0.06864293893174198,0.05381090270913785,0.2086297682176935,1.6467921573124701e-28,0.2086297682176935,0.0005052082924452803,0.03006484859535341,37.0,89.0,106.0,77.33333333333333,0.012931034482758622
Int_Med_pAKT_ring,0.26193903518128675,0.11216038182413929,-0.24419545511493118,9.614819753022302e-39,0.24419545511493118,0.00026736044519532956,0.07626262999909272,31.5,164.0,40.0,78.5,0.012738853503184714
Int_Med_STAT3_nuc,0.09940367653311424,0.07660150767814479,0.13735502893206245,4.2978995634257926e-13,0.13735502893206245,0.0005221348229024301,0.038402190284570814,67.0,86.0,87.0,80.0,0.0125
Int_Med_RB_nuc,0.41568839822630166,0.10766607638137653,0.045083741853880394,0.01787448717418226,0.045083741853880394,0.011162244743342152,0.05062595736914677,164.0,11.0,66.0,80.33333333333333,0.012448132780082988
Int_Med_YAP_nuc,0.34382051175737693,0.12694894245357718,0.08164344458939274,1.757638903873771e-05,0.08164344458939274,0.0006401165663878505,0.058522878966568825,124.0,63.0,55.0,80.66666666666667,0.012396694214876032
Int_Med_pS6_nuc,0.05274558574636142,0.04778034766899889,0.12004908886678835,2.520028882033471e-10,0.12004908886678835,0.0006507845760917505,0.02905653794194496,78.0,61.0,109.0,82.66666666666667,0.012096774193548387
Int_MeanEdge_pRB_cell,0.04946117482984189,0.07725351506580577,-0.14042355245875882,1.2695826631012043e-13,0.14042355245875882,0.0006793351833198456,0.021605330009020207,63.0,58.0,128.0,83.0,0.012048192771084338
Int_Med_PCNA_cell,0.038055068458322114,0.03734172694847802,-0.16063360336752952,2.0873515701690345e-17,0.16063360336752952,0.0002870881379389326,0.0695220427094414,54.0,152.0,45.0,83.66666666666667,0.01195219123505976
Int_MeanEdge_pGSK3b_cell,0.14416324227913976,0.08607277517851679,-0.18715690551185737,3.622055326790788e-23,0.18715690551185737,0.0003169579005508951,0.05298358061031827,48.0,140.0,64.0,84.0,0.011904761904761904
Int_MeanEdge_Cdh1_cell,0.13922591809718052,0.06992124929156687,-0.13011367086997533,6.863950435067942e-12,0.13011367086997533,0.0006220864064713097,0.02565952297876617,71.0,64.0,117.0,84.0,0.011904761904761904
Int_MeanEdge_YAP_cell,0.24525236629495473,0.13147188850699687,-0.15354229689820928,5.084262592153169e-16,0.15354229689820928,0.000740617253058996,0.016801145276023277,56.0,50.0,147.0,84.33333333333333,0.011857707509881424
Int_Med_PCNA_ring,0.08711026360965379,0.05494367273221599,-0.1989088106774059,5.147226133714172e-26,0.1989088106774059,0.00022990716907636294,0.08603032904887442,39.5,181.0,33.0,84.5,0.011834319526627219
Int_Med_pp38_nuc,0.16951960702840874,0.0685779654550139,0.18782117697552386,2.5286654983414764e-23,0.18782117697552386,0.00030048803638348207,0.05340540550843276,47.0,145.0,63.0,85.0,0.011764705882352941
Int_MeanEdge_DNA_cell,0.03288288756284871,0.05773421815563246,-0.14029222209216732,1.3383453181065512e-13,0.14029222209216732,0.0008506835610677964,0.015299748521277579,64.0,43.0,153.0,86.66666666666667,0.011538461538461537
Int_Med_cFos_cyto,0.10056549320950188,0.05178315592405855,0.13280304850899535,2.4961517710499475e-12,0.13280304850899535,0.00035035197244531334,0.055687472937146154,68.5,134.0,58.0,86.83333333333333,0.011516314779270634
Int_Med_cycA_ring,0.08121328811817687,0.06480794901560674,0.39436527873664823,2.4297465597030235e-103,0.39436527873664823,0.00015207857313430953,0.09045155790269366,11.5,223.0,31.0,88.5,0.011299435028248588
Int_Med_cFos_ring,0.10056549320950188,0.05178315592405855,0.13280304850899535,2.4961517710499475e-12,0.13280304850899535,0.0003013941749410018,0.058795469275037426,68.5,144.0,54.0,88.83333333333333,0.01125703564727955
Int_MeanEdge_cJun_cell,0.027193530083655357,0.05469718132233787,-0.12178317173441178,1.3825149996177337e-10,0.12178317173441178,0.0005885079535184512,0.023652327375659254,76.0,71.0,120.0,89.0,0.011235955056179775
Int_Med_cMyc_ring,0.13407166365496262,0.06356622850749752,0.1014103482786153,9.395114173565422e-08,0.1014103482786153,0.0004956880215124294,0.04176467308517218,98.5,90.0,81.0,89.83333333333333,0.011131725417439703
Int_MeanEdge_bCat_cell,0.20527587016830412,0.08547414842727497,-0.10878649483761958,1.0128787358705585e-08,0.10878649483761958,0.000492553706535286,0.03547858073231769,90.0,92.0,91.0,91.0,0.01098901098901099
Int_Med_cFos_cell,0.10524406795831814,0.0574962637919099,0.13060066725720984,5.723855318965262e-12,0.13060066725720984,0.00038363927303057175,0.03654526494073007,70.0,115.0,89.0,91.33333333333333,0.010948905109489052
Int_Med_Skp2_cyto,0.12442150623438021,0.029962298136961364,0.09386778239473757,7.844753495009419e-07,0.09386778239473757,0.000434192028624217,0.0479288178279722,107.5,102.0,72.0,93.83333333333333,0.010657193605683837
Int_MeanEdge_RB_cell,0.06416981497707926,0.07300830164225508,-0.1172474813611158,6.529491760451844e-10,0.1172474813611158,0.0005156423485432155,0.026997428531823076,81.0,87.0,115.0,94.33333333333333,0.01060070671378092
Int_Med_ERK_nuc,0.15363445654059124,0.07593735050895735,-0.01697813338086035,0.3726842204661763,0.01697813338086035,0.0020444592834036523,0.06314158485362498,219.0,23.0,49.0,97.0,0.010309278350515464
Int_MeanEdge_pH2AX_cell,0.09230500423451045,0.07001515181361483,-0.10418678139988931,4.135005157805281e-08,0.10418678139988931,0.00048171001897419124,0.02937797352674032,93.0,93.0,107.0,97.66666666666667,0.010238907849829351
Int_Med_cJun_cyto,0.10252810311805823,0.04652289844255764,-0.09095584907766838,1.707149871617024e-06,0.09095584907766838,0.0004140753924190304,0.04643934866720656,114.5,106.0,74.0,98.16666666666667,0.010186757215619693
Int_Med_p14ARF_nuc,0.20108546145895742,0.09885725956994242,0.09301434490327261,9.876301018176035e-07,0.09301434490327261,0.0005788866805688617,0.028082604710915504,109.0,77.0,112.0,99.33333333333333,0.010067114093959733
Int_Med_Skp2_ring,0.12442150623438021,0.029962298136961364,0.09386778239473757,7.844753495009419e-07,0.09386778239473757,0.00036456973583861565,0.04965406802669303,107.5,124.0,68.0,99.83333333333333,0.01001669449081803
Int_MeanEdge_CDK2_cell,0.2585527356227083,0.11042121970385575,-0.18475899763714349,1.3106260279526576e-22,0.18475899763714349,0.001637789774822097,0.0,49.0,26.0,225.5,100.16666666666667,0.009983361064891847
Int_MeanEdge_Skp2_cell,0.10895656388429854,0.049799512194091275,-0.06632126051730741,0.0004905534383959855,0.06632126051730741,0.0010828423564337639,0.020057020019533134,141.0,33.0,133.0,102.33333333333333,0.00977198697068404
Int_Med_Fra1_cell,0.014801599434176079,0.02936363289679598,-0.041652825286333975,0.028682572841702052,0.041652825286333975,0.0006178775833917673,0.04837564027307373,170.0,66.0,71.0,102.33333333333333,0.00977198697068404
Int_MeanEdge_pp38_cell,0.12799713796969395,0.08101611567749063,-0.11813896416662006,4.834491251917635e-10,0.11813896416662006,0.0003836007656034807,0.027451212470201547,80.0,116.0,113.0,103.0,0.009708737864077669
Int_Med_cMyc_cyto,0.13407166365496262,0.06356622850749752,0.1014103482786153,9.395114173565422e-08,0.1014103482786153,0.0003546891353059069,0.0414358795684544,98.5,130.0,82.0,103.5,0.00966183574879227
Int_MeanEdge_pp27_cell,0.0957746140702063,0.0401861077477606,-0.08302974088349083,1.2607970230448893e-05,0.08302974088349083,0.0006513292919904548,0.020143434744427147,122.0,60.0,132.0,104.66666666666667,0.009554140127388535
Int_Med_pS6_ring,0.08049770815177452,0.06514095281473943,0.18862314586107337,1.6356892807351796e-23,0.18862314586107337,0.0005076902207085055,0.007553497250761154,45.5,88.0,184.0,105.83333333333333,0.009448818897637795
Int_Med_pERK_nuc,0.13084458018894954,0.06795385704360685,-0.03337297231675906,0.0796623268382485,0.03337297231675906,0.0010915491956463217,0.03108814468721466,183.0,32.0,103.0,106.0,0.009433962264150943
Int_MeanEdge_pCHK1_cell,0.0327398709125317,0.034411118706949524,-0.10476334577058086,3.477739441893584e-08,0.10476334577058086,0.0005390767183035576,0.016309259067255333,92.0,82.0,150.0,108.0,0.009259259259259259
Int_Med_pERK_cyto,0.30720676599618035,0.1299154828875283,-0.09163256877377424,1.4278784560195102e-06,0.09163256877377424,0.0005731037534027341,0.019685958580590857,112.5,78.0,136.0,108.83333333333333,0.009188361408882083
Int_MeanEdge_S6_cell,0.18491001639767654,0.10591523307873446,-0.12910489575904543,9.978060900102697e-12,0.12910489575904543,0.0003857268334599668,0.01726609890229369,72.0,114.0,144.0,110.0,0.00909090909090909
Int_MeanEdge_pp21_cell,0.04531717176787777,0.054583626456020835,-0.0956723341645732,4.789045363614793e-07,0.0956723341645732,0.0005804631473619449,0.016055975013329338,104.0,76.0,151.0,110.33333333333333,0.00906344410876133
Int_Med_pp27_cell,0.3248002916255823,0.08965359689856746,0.07542340472411294,7.322456021086003e-05,0.07542340472411294,0.00027008260072874745,0.06586454903112138,127.0,161.0,47.0,111.66666666666667,0.008955223880597014
Int_Med_pS6_cyto,0.08049770815177452,0.06514095281473943,0.18862314586107337,1.6356892807351796e-23,0.18862314586107337,0.00044925063744120355,0.006316732124654223,45.5,101.0,191.0,112.5,0.008888888888888889
Int_Med_Fra1_nuc,0.45927321587038744,0.14638081727527383,-0.06587335006149062,0.0005356423439090277,0.06587335006149062,0.0020617444608090115,0.010324724583408162,142.0,22.0,175.0,113.0,0.008849557522123894
Int_MeanEdge_p27_cell,0.033395244886877104,0.03448798660850411,-0.15044926109853718,1.9544726850396453e-15,0.15044926109853718,0.0003631757484267924,0.013772140101034225,58.0,125.0,160.0,114.33333333333333,0.008746355685131196
Int_Med_RSK1_nuc,0.037552057614359785,0.03881734320413333,0.06788157932856885,0.00035963340718772743,0.06788157932856885,0.00040674420448242167,0.032381796043543964,140.0,108.0,99.0,115.66666666666667,0.008645533141210374
Int_MeanEdge_p14ARF_cell,0.1392138002507592,0.07691801536171565,-0.07965258834284862,2.8067222276867767e-05,0.07965258834284862,0.0007200201624089828,0.011970316905822287,126.0,54.0,167.0,115.66666666666667,0.008645533141210374
Int_Med_pERK_ring,0.30720676599618035,0.1299154828875283,-0.09163256877377424,1.4278784560195102e-06,0.09163256877377424,0.0004015278891357539,0.022278243723228286,112.5,111.0,125.0,116.16666666666667,0.00860832137733142
Int_Med_p16_ring,0.16856528147491354,0.07188300155616081,-0.052608624431006105,0.005709891858780153,0.052608624431006105,0.00032946560628453427,0.05549480666120665,151.5,138.0,60.0,116.5,0.008583690987124463
Int_MeanEdge_cycD1_cell,0.13853607295981793,0.07887468212937426,-0.02789332365555254,0.14298889331564307,0.02789332365555254,0.0007244602945998956,0.03230891366444322,197.0,53.0,100.0,116.66666666666667,0.008571428571428572
Int_Med_pRSK_nuc,0.10692449696832279,0.09145056350272654,0.08825191847841163,3.442250105384849e-06,0.08825191847841163,0.0007713610316718578,0.007134460124974318,116.0,49.0,185.0,116.66666666666667,0.008571428571428572
Int_MeanEdge_cMyc_cell,0.06443435107583265,0.05359928706292591,-0.11074269315362356,5.470081030356025e-09,0.11074269315362356,0.000581539365131194,0.006818737575258638,86.0,75.0,189.0,116.66666666666667,0.008571428571428572
Int_Med_CDK4_cyto,0.4010391696482821,0.09603334619939423,0.09777204002492663,2.666714565573622e-07,0.09777204002492663,0.0002714202049042815,0.03458992227636948,102.5,158.0,94.0,118.16666666666667,0.008462623413258109
Int_MeanEdge_ERK_cell,0.2306563181666932,0.08941793846038769,-0.12018872595328621,2.4018513288715465e-10,0.12018872595328621,0.0004624489892945381,0.007887552771727258,77.0,96.0,182.0,118.33333333333333,0.008450704225352114
Int_MeanEdge_pp65_cell,0.11412985018814328,0.0795825405611896,-0.054282382245332515,0.004343728957325555,0.054282382245332515,0.0005839110922629131,0.0193843593156382,150.0,74.0,138.0,120.66666666666667,0.008287292817679558
Int_MeanEdge_RSK1_cell,0.08677771381600223,0.07826059520099324,-0.08276189352232341,1.344925231279494e-05,0.08276189352232341,0.0008921103082020515,0.0037966174218446724,123.0,41.0,201.0,121.66666666666667,0.00821917808219178
Int_Med_cJun_cell,0.01096882240853673,0.022240502910864345,-0.0721926669412383,0.00014750093461804808,0.0721926669412383,0.00026888049862542495,0.046305224311957716,131.0,162.0,75.0,122.66666666666667,0.008152173913043478
Int_MeanEdge_cycA_cell,0.036089638972232316,0.050331482469836895,0.019811249165094767,0.2982284850053311,0.019811249165094767,0.0006752747601371943,0.03266371995705164,213.0,59.0,98.0,123.33333333333333,0.008108108108108109
Int_Med_cJun_ring,0.10252810311805823,0.04652289844255764,-0.09095584907766838,1.707149871617024e-06,0.09095584907766838,0.0002327859590335635,0.04054926978364559,114.5,176.0,84.0,124.83333333333333,0.00801068090787717
Int_Med_pERK_cell,0.30625809958571215,0.12888444927382628,-0.06949680420053973,0.00025902756412289515,0.06949680420053973,0.000526915629323294,0.014772975847625602,137.0,85.0,155.0,125.66666666666667,0.007957559681697613
Int_MeanEdge_p21_cell,0.0663050690720863,0.05709954990137178,-0.09291473968822736,1.0144034541799132e-06,0.09291473968822736,0.0005975480804416756,0.003243596310319674,110.0,70.0,204.0,128.0,0.0078125
Int_Med_Fra1_ring,0.14705072384683437,0.07044679696187343,-0.045935541625430024,0.015821860920855406,0.045935541625430024,0.00034226821093955,0.03955802383619744,162.5,136.0,86.0,128.16666666666666,0.007802340702210663
Int_MeanEdge_pS6_cell,0.09117194868107072,0.07605518045089883,-0.07503680022320802,7.974226559275811e-05,0.07503680022320802,0.00036549833917462774,0.019254471214708246,128.0,122.0,139.0,129.66666666666666,0.007712082262210798
Int_Med_cMyc_cell,0.04880577119461157,0.03751494144304366,0.0834692168750079,1.1335333178786758e-05,0.0834692168750079,0.0004570733315532588,0.007968057737967271,121.0,98.0,181.0,133.33333333333334,0.0075
Int_MeanEdge_Cdt1_cell,0.09465768791469092,0.06800566610095643,-0.11156281172046852,4.2115391595345935e-09,0.11156281172046852,0.00041317833284429346,0.0013754482455379247,85.0,107.0,209.0,133.66666666666666,0.007481296758104739
Int_MeanEdge_STAT3_cell,0.06550879887396742,0.05493720695740673,-0.08029536901335577,2.4158902106330776e-05,0.08029536901335577,0.0005863142364124009,0.0028919040083090763,125.0,73.0,205.0,134.33333333333334,0.007444168734491314
Int_MeanEdge_BP1_cell,0.03516601040575434,0.03924708441017847,-0.09270587696704712,1.072830087071758e-06,0.09270587696704712,0.0006079086101352408,0.0,111.0,67.0,225.5,134.5,0.007434944237918215
Int_Med_S6_nuc,0.16154410150634607,0.0854394176342339,0.038037798158108926,0.045738569540410945,0.038037798158108926,0.0006194393727369924,0.012856482947315229,177.0,65.0,162.0,134.66666666666666,0.007425742574257426
Int_Med_pp65_cell,0.08480440105094522,0.0508232743073251,0.0700345811333106,0.00023186288310539304,0.0700345811333106,0.00024549956066695117,0.032008674600778164,135.0,172.0,102.0,136.33333333333334,0.007334963325183373
