tool,threshold,precision,recall,f1,positives_called
Uncalled4,0.48,0.8952042628774423,0.984375,0.9376744186046512,1126
Uncalled4,0.49,0.9171220400728597,0.9833984375,0.9491046182846371,1098
Uncalled4,0.5,0.9295644114921223,0.9794921875,0.9538754160722777,1079
Uncalled4,0.51,0.9407894736842105,0.9775390625,0.9588122605363983,1064
Uncalled4,0.52,0.9504761904761905,0.974609375,0.9623915139826422,1050
Uncalled4,0.53,0.9556840077071291,0.96875,0.962172647914646,1038
Uncalled4,0.54,0.9619883040935673,0.9638671875,0.9629268292682926,1026
Uncalled4,0.55,0.9672943508424182,0.953125,0.9601574028529267,1009
Uncalled4,0.56,0.9718592964824121,0.9443359375,0.95789995047053,995
Uncalled4,0.5700000000000001,0.9744897959183674,0.9326171875,0.9530938123752495,980
Uncalled4,0.58,0.9793174767321613,0.9248046875,0.9512807634354596,967
Uncalled4,0.59,0.9800420168067226,0.9111328125,0.944331983805668,952
Uncalled4,0.6,0.9839400428265525,0.8974609375,0.9387129724208375,934
Uncalled4,0.61,0.985792349726776,0.880859375,0.9303764827230532,915
Uncalled4,0.62,0.988950276243094,0.8740234375,0.9279419388284086,905
Uncalled4,0.63,0.9910614525139665,0.8662109375,0.9244398124022929,895
Uncalled4,0.64,0.9920724801812004,0.85546875,0.9187205034084951,883
Uncalled4,0.65,0.9919908466819222,0.8466796875,0.9135932560590094,874
Uncalled4,0.66,0.9941176470588236,0.8251953125,0.9018143009605122,850
Uncalled4,0.67,0.9951515151515151,0.8017578125,0.8880475932936722,825
Uncalled4,0.68,0.9975216852540273,0.7861328125,0.8793009284543966,807
Uncalled4,0.6900000000000001,0.9987277353689568,0.7666015625,0.8674033149171271,786
Uncalled4,0.7000000000000001,1.0,0.7392578125,0.8500842223469961,757
Uncalled4,0.71,1.0,0.716796875,0.8350398179749715,734
Uncalled4,0.72,1.0,0.7001953125,0.8236645605973578,717
Uncalled4,0.73,1.0,0.6787109375,0.8086096567771961,695
Uncalled4,0.74,1.0,0.6552734375,0.791740412979351,671
Uncalled4,0.75,1.0,0.62890625,0.7721822541966427,644
Uncalled4,0.76,1.0,0.6064453125,0.7550151975683891,621
Uncalled4,0.77,1.0,0.578125,0.7326732673267327,592
Uncalled4,0.78,1.0,0.5546875,0.7135678391959799,568
Uncalled4,0.79,1.0,0.5380859375,0.6996825396825397,551
Uncalled4,0.8,1.0,0.5087890625,0.6744336569579288,521
Uncalled4,0.81,1.0,0.478515625,0.6472919418758256,490
Uncalled4,0.8200000000000001,1.0,0.455078125,0.625503355704698,466
Uncalled4,0.8300000000000001,1.0,0.4287109375,0.6001367053998633,439
Uncalled4,0.84,1.0,0.4052734375,0.5767894371091036,415
Uncalled4,0.85,1.0,0.37109375,0.5413105413105413,380
Uncalled4,0.86,1.0,0.3447265625,0.5127087872185911,353
Uncalled4,0.87,1.0,0.3203125,0.48520710059171596,328
Uncalled4,0.88,1.0,0.2998046875,0.4613072877535687,307
Uncalled4,0.89,1.0,0.2744140625,0.4306513409961686,281
Uncalled4,0.9,1.0,0.25390625,0.40498442367601245,260
Uncalled4,0.91,1.0,0.2333984375,0.3784639746634996,239
Uncalled4,0.92,1.0,0.2060546875,0.3417004048582996,211
Uncalled4,0.93,1.0,0.1787109375,0.3032311516155758,183
Uncalled4,0.9400000000000001,1.0,0.16015625,0.2760942760942761,164
Uncalled4,0.9500000000000001,1.0,0.1357421875,0.23903697334479793,139
Uncalled4,0.96,1.0,0.123046875,0.21913043478260869,126
Uncalled4,0.97,1.0,0.1142578125,0.20508326029798424,117
Uncalled4,0.98,1.0,0.1044921875,0.1892130857648099,107
Uncalled4,0.99,1.0,0.0947265625,0.17305976806422838,97
Uncalled4,1.0,1.0,0.08203125,0.15162454873646208,84
Nanopolish,0.0,0.2048,1.0,0.3399734395750332,5000
Nanopolish,0.01,0.21964324091983667,0.998046875,0.36004932182490756,4653
Nanopolish,0.02,0.22183633601041894,0.998046875,0.3629905878174392,4607
Nanopolish,0.03,0.22373029772329248,0.998046875,0.3655221745350501,4568
Nanopolish,0.04,0.22540802823114248,0.998046875,0.36775818639798485,4534
Nanopolish,0.05,0.22756624359830774,0.998046875,0.3706255666364461,4491
Nanopolish,0.06,0.2295413669064748,0.9970703125,0.37317251461988304,4448
Nanopolish,0.07,0.23197634750966567,0.99609375,0.37631433314886553,4397
Nanopolish,0.08,0.23463043978816486,0.9951171875,0.3797279672070058,4343
Nanopolish,0.09,0.23769535805924888,0.9951171875,0.3837318772359254,4287
Nanopolish,0.1,0.24101229895931883,0.9951171875,0.3880426504188881,4228
Nanopolish,0.11,0.2445939452186449,0.994140625,0.39259544928654067,4162
Nanopolish,0.12,0.2485958485958486,0.994140625,0.39773393240867355,4095
Nanopolish,0.13,0.25292506845904905,0.9921875,0.40309462408252333,4017
Nanopolish,0.14,0.25748351090816846,0.9912109375,0.40877970197341934,3942
Nanopolish,0.15,0.26298026998961577,0.9892578125,0.4155045118949959,3852
Nanopolish,0.16,0.2668428005284016,0.986328125,0.4200457475566646,3785
Nanopolish,0.17,0.2720886246960281,0.9833984375,0.42624338624338626,3701
Nanopolish,0.18,0.2773944245100745,0.9814453125,0.43253712072304706,3623
Nanopolish,0.19,0.28312570781426954,0.9765625,0.4389815627743635,3532
Nanopolish,0.2,0.28898550724637684,0.9736328125,0.44568618685739836,3450
Nanopolish,0.21,0.2961859356376639,0.970703125,0.45388127853881277,3356
Nanopolish,0.22,0.3033742331288344,0.9658203125,0.46171802054155003,3260
Nanopolish,0.23,0.30957613814756674,0.962890625,0.468519838441435,3185
Nanopolish,0.24,0.31658615136876006,0.9599609375,0.47614434487769436,3105
Nanopolish,0.25,0.3238692637834269,0.9580078125,0.4840858623242043,3029
Nanopolish,0.26,0.3321976149914821,0.9521484375,0.49254862338974487,2935
Nanopolish,0.27,0.3419286471211586,0.9453125,0.5022049286640726,2831
Nanopolish,0.28,0.35253118121790167,0.9384765625,0.5125333333333333,2726
Nanopolish,0.29,0.3584054155697631,0.9306640625,0.5175128970947597,2659
Nanopolish,0.3,0.37089201877934275,0.92578125,0.529608938547486,2556
Nanopolish,0.31,0.38480392156862747,0.919921875,0.5426267281105991,2448
Nanopolish,0.32,0.39702127659574465,0.9111328125,0.5530527563722585,2350
Nanopolish,0.33,0.40719613865730586,0.90625,0.5619134120496518,2279
Nanopolish,0.34,0.41868987631699495,0.892578125,0.5700031181789834,2183
Nanopolish,0.35000000000000003,0.4300666032350143,0.8828125,0.5783749200255919,2102
Nanopolish,0.36,0.4462686567164179,0.8759765625,0.5912986156888596,2010
Nanopolish,0.37,0.45950155763239875,0.8642578125,0.6,1926
Nanopolish,0.38,0.4719222462203024,0.853515625,0.6077885952712101,1852
Nanopolish,0.39,0.48896434634974534,0.84375,0.6191329272662128,1767
Nanopolish,0.4,0.5089392133492253,0.833984375,0.6321243523316062,1678
Nanopolish,0.41000000000000003,0.5293746051800379,0.818359375,0.6428845416187188,1583
Nanopolish,0.42,0.548472775564409,0.806640625,0.6529644268774704,1506
Nanopolish,0.43,0.5652777777777778,0.794921875,0.6607142857142857,1440
Nanopolish,0.44,0.5845481049562682,0.783203125,0.669449081803005,1372
Nanopolish,0.45,0.6118012422360248,0.76953125,0.6816608996539792,1288
Nanopolish,0.46,0.6302040816326531,0.75390625,0.6865273454868831,1225
Nanopolish,0.47000000000000003,0.6421861656703672,0.734375,0.6851936218678815,1171
Nanopolish,0.48,0.6678733031674208,0.720703125,0.6932832315641146,1105
Nanopolish,0.49,0.6881516587677725,0.708984375,0.6984126984126985,1055
Nanopolish,0.5,0.7047047047047047,0.6875,0.6959960454770143,999
Nanopolish,0.51,0.7230443974630021,0.66796875,0.6944162436548224,946
Nanopolish,0.52,0.7392739273927392,0.65625,0.6952922917744438,909
Nanopolish,0.53,0.7557603686635944,0.640625,0.693446088794926,868
Nanopolish,0.54,0.7704326923076923,0.6259765625,0.6907327586206897,832
Nanopolish,0.55,0.7818411097099621,0.60546875,0.6824435883324161,793
Nanopolish,0.56,0.8018494055482166,0.5927734375,0.6816395283548567,757
Nanopolish,0.5700000000000001,0.8146611341632088,0.5751953125,0.6742987979393246,723
Nanopolish,0.58,0.8263386396526773,0.5576171875,0.6658892128279883,691
Nanopolish,0.59,0.8363636363636363,0.5390625,0.6555819477434679,660
Nanopolish,0.6,0.8487261146496815,0.5205078125,0.6452784503631961,628
Nanopolish,0.61,0.8614357262103506,0.50390625,0.6358595194085027,599
Nanopolish,0.62,0.8685612788632326,0.4775390625,0.6162570888468809,563
Nanopolish,0.63,0.8870056497175142,0.4599609375,0.6057877813504823,531
Nanopolish,0.64,0.894,0.4365234375,0.5866141732283464,500
Nanopolish,0.65,0.904862579281184,0.41796875,0.5718102872411489,473
Nanopolish,0.66,0.9175946547884187,0.40234375,0.5594025797691785,449
Nanopolish,0.67,0.9304556354916067,0.37890625,0.5385149201943096,417
Nanopolish,0.68,0.9351620947630923,0.3662109375,0.5263157894736843,401
Nanopolish,0.6900000000000001,0.9393139841688655,0.34765625,0.5074839629365645,379
Nanopolish,0.7000000000000001,0.9548022598870056,0.330078125,0.49056603773584906,354
Nanopolish,0.71,0.9552238805970149,0.3125,0.47093451066960995,335
Nanopolish,0.72,0.9716088328075709,0.30078125,0.459358687546607,317
Nanopolish,0.73,0.9733333333333334,0.28515625,0.4410876132930514,300
Nanopolish,0.74,0.9717314487632509,0.2685546875,0.42081101759755163,283
Nanopolish,0.75,0.9730769230769231,0.2470703125,0.39408099688473514,260
Nanopolish,0.76,0.9745762711864406,0.224609375,0.36507936507936506,236
Nanopolish,0.77,0.9722222222222222,0.205078125,0.3387096774193548,216
Nanopolish,0.78,0.97,0.189453125,0.3169934640522876,200
Nanopolish,0.79,0.9719101123595506,0.1689453125,0.2878535773710483,178
Nanopolish,0.8,0.9695121951219512,0.1552734375,0.2676767676767677,164
Nanopolish,0.81,0.9681528662420382,0.1484375,0.25740897544453856,157
Nanopolish,0.8200000000000001,0.9662162162162162,0.1396484375,0.24402730375426623,148
Nanopolish,0.8300000000000001,0.9696969696969697,0.125,0.22145328719723184,132
Nanopolish,0.84,0.975609756097561,0.1171875,0.2092414995640802,123
Nanopolish,0.85,0.972972972972973,0.10546875,0.19030837004405285,111
Nanopolish,0.86,0.9702970297029703,0.095703125,0.17422222222222222,101
Nanopolish,0.87,0.9782608695652174,0.087890625,0.16129032258064518,92
Nanopolish,0.88,0.9764705882352941,0.0810546875,0.14968440036068528,85
Nanopolish,0.89,0.9871794871794872,0.0751953125,0.13974591651542648,78
Nanopolish,0.9,0.9866666666666667,0.072265625,0.1346678798908098,75
Nanopolish,0.91,0.9836065573770492,0.05859375,0.11059907834101382,61
Nanopolish,0.92,1.0,0.0546875,0.1037037037037037,56
Nanopolish,0.93,1.0,0.0517578125,0.09842154131847725,53
Nanopolish,0.9400000000000001,1.0,0.046875,0.08955223880597014,48
Nanopolish,0.9500000000000001,1.0,0.044921875,0.08598130841121496,46
Nanopolish,0.96,1.0,0.041015625,0.07879924953095685,42
Nanopolish,0.97,1.0,0.0361328125,0.06974552309142319,37
Nanopolish,0.98,1.0,0.0341796875,0.06610009442870633,35
Nanopolish,0.99,1.0,0.03125,0.06060606060606061,32
Nanopolish,1.0,1.0,0.0263671875,0.05137963843958135,27
