feature,protein,compartment,measurement,spearman_corr,spearman_pval,pearson_corr,pearson_pval,mi_score,f_statistic,dynamic_range,dynamics_score
Int_Med_CDK6_nuc,CDK6,nuc,Int_Med,0.2602163261912233,6.147057319093139e-44,0.27652316148429645,1.3046291825059638e-49,0.0673792420621222,11.619176,2.9224396,0.22205153449086754
Int_Med_pp27_nuc,pp27,nuc,Int_Med,0.18297683057954195,3.370410837510124e-22,0.17315509456625736,5.173884770125366e-20,0.034220926414692876,3.0720644,7.0211387,0.21339181638580706
Int_Med_CDK4_nuc,CDK4,nuc,Int_Med,0.163320444142171,5.990220224493859e-18,0.29332458982509885,7.099965456043405e-56,0.057063176233566715,13.987175,4.480807,0.2120481872271457
Int_Med_pAKT_ring,pAKT,ring,Int_Med,-0.24997320120585825,1.4204275216977602e-40,-0.24419545604977574,9.614813281530523e-39,0.0801457530659695,39.484417,0.97657526,0.21043849414210314
Int_Med_pAKT_cyto,pAKT,cyto,Int_Med,-0.24997320120585825,1.4204275216977602e-40,-0.24419545604977574,9.614813281530523e-39,0.0795013772200086,39.484417,0.97657526,0.21014015235872072
Int_Med_cycA_cell,cycA,cell,Int_Med,0.28653325024829934,2.7247838640312147e-53,0.2668754297096373,3.3083156425796096e-46,0.07655685964555126,17.22029,0.9452849,0.20874906995425346
Int_Med_pAKT_cell,pAKT,cell,Int_Med,-0.24059667631057924,1.2560310139658882e-37,-0.23581349859861797,3.580314761831016e-36,0.08061027813641974,39.896255,0.96593606,0.20596905229124463
Int_Med_p38_nuc,p38,nuc,Int_Med,0.20726432061059424,3.756530156649978e-28,0.24821854999920687,5.168894620185545e-40,0.07042188750949663,22.775557,2.7231526,0.20524954600396278
Int_Med_pRB_nuc,pRB,nuc,Int_Med,0.2582264626136358,2.844909310318927e-43,0.19366004309547719,1.0138878204157069e-24,0.09630658933500236,19.434025,1.4670031,0.20310185392199104
Int_MeanEdge_pAKT_cell,pAKT,cell,Int_MeanEdge,-0.25311296386772736,1.37255383351572e-41,-0.2409032627458239,1.0107395640367107e-37,0.0542648112035371,34.513504,0.9083015,0.19420918364412215
Int_Med_PCNA_ring,PCNA,ring,Int_Med,-0.2745114406756147,6.867407576079879e-49,-0.1891612636640561,1.2197708343056195e-23,0.07309993040476392,23.029284,0.7788117,0.18966178268512987
Int_Med_PCNA_cyto,PCNA,cyto,Int_Med,-0.2745114406756147,6.867407576079879e-49,-0.1891612636640561,1.2197708343056195e-23,0.07115511415478437,23.029284,0.7788117,0.18876134553807203
Int_MeanEdge_pERK_cell,pERK,cell,Int_MeanEdge,-0.23287717648141512,2.698264884874973e-35,-0.22367366689237644,1.265521423163259e-32,0.038314424522310375,30.984655,0.8133619,0.1725718971105587
Int_Med_pSTAT3_nuc,pSTAT3,nuc,Int_Med,0.20884752910319032,1.4430714778384837e-28,0.12566144326515544,3.500897767587007e-11,0.08974513401382822,8.994565,1.0904508,0.15672663348741808
Int_Med_PCNA_cell,PCNA,cell,Int_Med,-0.25491389892986577,3.5396656178991146e-42,-0.12238071151350562,1.1219415103709561e-10,0.05936580575714423,10.481456,0.52863204,0.15060541472241523
Int_Med_cMyc_nuc,cMyc,nuc,Int_Med,-0.005860143167957815,0.7583303197540866,0.14734155003025878,7.352323271095574e-15,0.13095328873741874,45.367607,1.957323,0.15056336375379534
Int_Med_pGSK3b_nuc,pGSK3b,nuc,Int_Med,0.17471514653448733,2.3712392048981983e-20,0.12773340507758119,1.6516568697368914e-11,0.0953494296284747,13.847108,0.81771326,0.1477503094031526
Int_MeanEdge_PCNA_cell,PCNA,cell,Int_MeanEdge,-0.25977044219430495,8.67505620944536e-44,-0.11682125757501252,7.532570140576246e-10,0.045218764493628605,5.521885,0.57067734,0.14155864391821846
Int_Med_cycD1_ring,cycD1,ring,Int_Med,0.01653630703430416,0.38525482754398366,0.18949494057201577,1.0164207650246996e-23,0.08443630982599792,27.373446,2.8441703,0.14053094798913873
Int_Med_cycD1_cyto,cycD1,cyto,Int_Med,0.01653630703430416,0.38525482754398366,0.18949494057201577,1.0164207650246996e-23,0.08434422487853332,27.373446,2.8441703,0.14048831326342473
Int_Med_pAKT_nuc,pAKT,nuc,Int_Med,-0.14149436584683492,8.242897824715963e-14,-0.15218044990841006,9.230090015141165e-16,0.07596162650508553,27.209719,0.6690526,0.14000418140634197
Int_MeanEdge_pGSK3b_cell,pGSK3b,cell,Int_MeanEdge,-0.18913191256818476,1.2394763731728688e-23,-0.1868771635951968,4.2121451517277034e-23,0.0332660176564481,20.199589,0.7712151,0.139550133352182
Int_Med_pp38_nuc,pp38,nuc,Int_Med,0.20999956954906698,7.158267966600066e-29,0.18758261926985273,2.87743194976093e-23,0.029120366416125698,13.728002,0.6560724,0.13840453583059611
Int_MeanEdge_Fra1_cell,Fra1,cell,Int_MeanEdge,-0.23031404301665187,1.537702245531253e-34,-0.1445131292227067,2.396238418504105e-14,0.033021797054018975,12.227944,0.54168725,0.13587837631285474
Int_MeanEdge_AKT_cell,AKT,cell,Int_MeanEdge,-0.18263115063609164,4.0435753290747314e-22,-0.19178323068718586,2.883573540834428e-24,0.03135669380428663,19.002724,0.7049929,0.13557375452662135
Int_Med_bCat_nuc,bCat,nuc,Int_Med,0.18944362607729187,1.0453545347704205e-23,0.15873206405748133,4.985515541228873e-17,0.042699959191980774,11.749308,0.7317462,0.13167232545155433
Int_MeanEdge_CDK2_cell,CDK2,cell,Int_MeanEdge,-0.1908493565087633,4.831293052266356e-24,-0.18475899727812126,1.3106262786050326e-22,0.013777401034494652,13.198257,0.97272444,0.12844855185257886
Int_MeanEdge_pRB_cell,pRB,cell,Int_MeanEdge,-0.2102144011146283,6.278116550746982e-29,-0.13957251677120464,1.785333544239393e-13,0.03946320635820655,8.8416195,0.5265999,0.12833608805686356
Int_Med_pp65_nuc,pp65,nuc,Int_Med,0.08693845415683658,4.804768037432005e-06,0.17588874547440927,1.3121601711590977e-20,0.07234287061913314,25.312534,1.0185504,0.12812467711623046
Int_Med_AKT_nuc,AKT,nuc,Int_Med,0.16672144984083065,1.1964776962832722e-18,0.14819057888176398,5.133767027409354e-15,0.06289190969317637,9.247098,0.60627615,0.12755325060667347
Int_Med_cycD1_cell,cycD1,cell,Int_Med,0.015994824819345235,0.4010092554909147,0.16392933954260552,4.500840008614637e-18,0.07551492596010245,25.94305,2.5474467,0.12582103734023364
Int_Med_pS6_cell,pS6,cell,Int_Med,0.13543170062563092,9.103661005754568e-13,0.2052223126149829,1.2755102898153372e-27,0.03135551974980544,14.47641,1.165846,0.12552633563186463
Int_MeanEdge_cJun_cell,cJun,cell,Int_MeanEdge,-0.21672360168731614,1.1005280984452785e-30,-0.11695127748939742,7.211640421645654e-10,0.031107191319599714,8.634003,0.4783853,0.12137907531719773
Int_Med_cJun_nuc,cJun,nuc,Int_Med,0.16534512740977753,2.30560567554066e-18,0.14411443410021718,2.825196886795746e-14,0.032901967772671625,11.23142,0.8036226,0.11673447069657744
Int_MeanEdge_p27_cell,p27,cell,Int_MeanEdge,-0.17931421544369522,2.2784303609846284e-21,-0.1360129878509642,7.264186226538752e-13,0.028556738897305145,14.905315,0.516462,0.11641937903435164
Int_MeanEdge_p38_cell,p38,cell,Int_MeanEdge,-0.15884155318255996,4.743116680445079e-17,-0.16648469438551838,1.33993400835926e-18,0.024122422966774693,14.650982,0.71126986,0.11604122648608504
Int_MeanEdge_DNA_cell,DNA,cell,Int_MeanEdge,-0.19907460787389275,4.678274810833912e-26,-0.13647728471137544,6.061570227079448e-13,0.01602285458548458,11.830153,0.51707757,0.11515945072294871
Int_Med_pS6_ring,pS6,ring,Int_Med,0.10846889436826473,1.1183070223076454e-08,0.18843948651546719,1.8076005167789264e-23,0.03550987123349181,13.6737,1.1928533,0.11478652753298048
Int_Med_pS6_cyto,pS6,cyto,Int_Med,0.10846889436826473,1.1183070223076454e-08,0.18843948651546719,1.8076005167789264e-23,0.03511807989726634,13.6737,1.1928533,0.11460513071822402
Int_Med_STAT3_nuc,STAT3,nuc,Int_Med,0.11089699144424732,5.2082524773151165e-09,0.13623860841001872,6.65310990496085e-13,0.03888258791027255,9.100376,1.7378902,0.11145547534578087
Int_MeanEdge_Cdh1_cell,Cdh1,cell,Int_MeanEdge,-0.1571476446738223,1.0215095179989813e-16,-0.13011367023296977,6.863952062848979e-12,0.029827363862636957,16.266102,0.6357442,0.11105410431674238
Int_Med_pS6_nuc,pS6,nuc,Int_Med,0.1538910972520072,4.360330783079632e-16,0.11290050151774444,2.7382581653254476e-09,0.04515630069097476,7.238886,0.84099364,0.10997233473454426
Int_Med_cFos_cyto,cFos,cyto,Int_Med,0.10522462487500346,3.0259517899730344e-08,0.13295059289137953,2.359992226931853e-12,0.037024380660492184,8.312636,1.6388011,0.10599841143017082
Int_Med_cFos_ring,cFos,ring,Int_Med,0.10522462487500346,3.0259517899730344e-08,0.13295059289137953,2.359992226931853e-12,0.03648787369657569,8.312636,1.6388011,0.10575001223051855
Int_Med_CDK2_cyto,CDK2,cyto,Int_Med,-0.1475608326528131,6.702298534484519e-15,-0.1377926688249082,3.617784593927817e-13,0.02328558612965992,7.510326,0.930291,0.10408608601181321
Int_Med_CDK2_ring,CDK2,ring,Int_Med,-0.1475608326528131,6.702298534484519e-15,-0.1377926688249082,3.617784593927817e-13,0.023237043874003938,7.510326,0.930291,0.10406361126634814
Int_MeanEdge_RB_cell,RB,cell,Int_MeanEdge,-0.15739859654985608,9.122479691904218e-17,-0.11369133303442093,2.1179664710290343e-09,0.0335792217022437,5.29223,0.60126275,0.10103619432529401
Int_MeanEdge_Cdt1_cell,Cdt1,cell,Int_MeanEdge,-0.16461699705960914,3.2547168589194577e-18,-0.10995966461661441,7.008910209068692e-09,0.02637665007157519,8.587996,0.5391568,0.10095457852413885
Int_Med_cFos_cell,cFos,cell,Int_Med,0.11223505652981729,3.3943290406122444e-09,0.13100263291907907,4.924426039389772e-12,0.024196323553533183,8.223671,1.5436313,0.10060972890943337
Int_Med_pERK_ring,pERK,ring,Int_Med,-0.12473731716753018,4.8751820721460336e-11,-0.09163256802107772,1.4278787407196029e-06,0.024895645274990663,13.2732725,1.5028898,0.10058460901491748
Int_Med_pERK_cyto,pERK,cyto,Int_Med,-0.12473731716753018,4.8751820721460336e-11,-0.09163256802107772,1.4278787407196029e-06,0.024477962256394648,13.2732725,1.5028898,0.10039122452132172
Int_MeanEdge_pCHK1_cell,pCHK1,cell,Int_MeanEdge,-0.1702349070120387,2.185732921677202e-19,-0.09512755383963577,5.563681549145504e-07,0.02596519651050322,8.134261,0.55598426,0.09966740703000378
Int_MeanEdge_pp38_cell,pp38,cell,Int_MeanEdge,-0.15027399494425017,2.107680447404252e-15,-0.11796314536441134,5.130628112075612e-10,0.02107259563974484,9.537274,0.6399753,0.09736431309179822
Int_MeanEdge_S6_cell,S6,cell,Int_MeanEdge,-0.14149742010444838,8.232710248141318e-14,-0.1291048967867983,9.978057111753427e-12,0.02125712398085966,10.971288,0.5677568,0.0966669513428458
Int_Med_YAP_nuc,YAP,nuc,Int_Med,0.13119370681931283,4.583840437098754e-12,0.08164344519598343,1.7576386503602495e-05,0.040858220434482284,14.741405,0.5473999,0.09540239767745658
Int_Med_CDK2_cell,CDK2,cell,Int_Med,-0.13665014731929784,5.665683027846727e-13,-0.12457714309500946,5.161905992782858e-11,0.021005000313957467,6.5674634,0.8785058,0.09527481177575353
Int_Med_Bcl2_nuc,Bcl2,nuc,Int_Med,0.06187786949951481,0.001146557842737721,0.12225452511247478,1.1726282073779803e-10,0.07539403496346875,10.839975,0.68025,0.09486341666206714
Int_MeanEdge_YAP_cell,YAP,cell,Int_MeanEdge,-0.12364819655305123,7.180091492577285e-11,-0.1535422977740568,5.0842606334263e-16,0.015272547520202906,11.112709,0.7128787,0.09484691079983362
Int_Med_Fra1_cyto,Fra1,cyto,Int_Med,-0.14575576650308933,1.430019530462118e-14,-0.0454565726193411,0.016948982943788906,0.04358935184245105,8.662426,0.72412014,0.09257911128129383
Int_Med_Fra1_ring,Fra1,ring,Int_Med,-0.14575576650308933,1.430019530462118e-14,-0.0454565726193411,0.016948982943788906,0.0406688622321445,8.662426,0.72412014,0.09122694377819722
Int_MeanEdge_GSK3b_cell,GSK3b,cell,Int_MeanEdge,-0.14003489423084062,1.4838495645287551e-13,-0.10814492276491554,1.2368062260810555e-08,0.02300133233091639,6.798431,0.6474999,0.09093255497471239
Int_MeanEdge_pH2AX_cell,pH2AX,cell,Int_MeanEdge,-0.14883763862002602,3.898919270150772e-15,-0.10394001232514587,4.451745703080704e-08,0.02251119558868364,7.5562596,0.43781367,0.09038309850962102
Int_Med_pERK_cell,pERK,cell,Int_Med,-0.10596157112035923,2.4197925251635825e-08,-0.06949680301233699,0.0002590276273092557,0.01758625848043671,12.284798,1.468677,0.08524038061502945
Int_MeanEdge_cMyc_cell,cMyc,cell,Int_MeanEdge,-0.11962012879982781,2.919682104734227e-10,-0.1092427711816363,8.781392449463853e-09,0.011799637071240099,11.158814,0.84584427,0.08512972653547646
Int_MeanEdge_p53_cell,p53,cell,Int_MeanEdge,-0.1401330627363786,1.4265944425584387e-13,-0.10622302206412088,2.2344865655646583e-08,0.013892597004577567,5.79759,0.42179438,0.08235028835400875
Int_MeanEdge_ERK_cell,ERK,cell,Int_MeanEdge,-0.09640514762218497,3.909340732224784e-07,-0.12018872448257562,2.4018525446052747e-10,0.02388854505157134,11.832733,0.62585664,0.08228858170617946
Int_Med_ERK_nuc,ERK,nuc,Int_Med,-0.042191771674500625,0.026680868190100418,-0.017075275602185438,0.36995482349466036,0.06696095097930677,23.158682,1.3170418,0.08195685506159771
Int_Med_Cdh1_cyto,Cdh1,cyto,Int_Med,-0.0944384466312921,6.717682317148336e-07,-0.018895119929544187,0.3211354027446786,0.042701781264826266,20.139881,0.9625126,0.0814550392797867
Int_MeanEdge_bCat_cell,bCat,cell,Int_MeanEdge,-0.12662570985310673,2.471726094281822e-11,-0.10878649565167198,1.012878478437321e-08,0.013710284663305039,9.403559,0.4547485,0.0813233348417701
Int_Med_Cdh1_ring,Cdh1,ring,Int_Med,-0.0944384466312921,6.717682317148336e-07,-0.018895119929544187,0.3211354027446786,0.042319793638952774,20.139881,0.9625126,0.08127818151851668
Int_Med_pERK_nuc,pERK,nuc,Int_Med,-0.05677977697738273,0.0028499021065904544,-0.03331812946917817,0.08015854205564393,0.04900840137943785,19.831102,1.4216063,0.08085588303260752
Int_MeanEdge_pp21_cell,pp21,cell,Int_MeanEdge,-0.12393793844722409,6.479504542911227e-11,-0.09408069161735805,7.404458751473224e-07,0.02209734505909644,6.09504,0.4919961,0.07949852836335346
Int_Med_Cdh1_cell,Cdh1,cell,Int_Med,-0.07070545787489889,0.0002017163551326661,-0.008880955364216346,0.641014735019284,0.06257555222665889,18.494282,0.9542246,0.07928525264447546
Int_Med_p14ARF_nuc,p14ARF,nuc,Int_Med,0.1009676982165501,1.068739859163563e-07,0.09301434706504169,9.87629528191336e-07,0.04003060207754139,5.3806934,0.45616657,0.078736215760743
Int_Med_pGSK3b_ring,pGSK3b,ring,Int_Med,-0.1159699814494251,1.0005458806290186e-09,-0.10983459441534793,7.290835782510672e-09,0.0166129252194116,6.646067,0.51347667,0.07806717313681591
Int_Med_pGSK3b_cyto,pGSK3b,cyto,Int_Med,-0.1159699814494251,1.0005458806290186e-09,-0.10983459441534793,7.290835782510672e-09,0.016395247089292297,6.646067,0.51347667,0.07796638959263091
Int_MeanEdge_Bcl2_cell,Bcl2,cell,Int_MeanEdge,-0.10733214947020463,1.5902997126229475e-08,-0.10744540307772368,1.53572630428005e-08,0.011743410219906103,7.5101204,0.67601895,0.0754086438949478
Int_Med_CDK4_cyto,CDK4,cyto,Int_Med,0.08634106449394835,5.583038355410678e-06,0.09777204050580493,2.6667142042970443e-07,0.025514840340885137,4.2713003,0.96585274,0.0745682388873162
Int_Med_CDK4_ring,CDK4,ring,Int_Med,0.08634106449394835,5.583038355410678e-06,0.09777204050580493,2.6667142042970443e-07,0.025491031416150278,4.2713003,0.96585274,0.07455721551157932
Int_Med_pRSK_nuc,pRSK,nuc,Int_Med,0.118745420387973,3.9355028099047915e-10,0.08803480179851991,3.638508963967801e-06,0.01854772599243848,3.3366199,0.5562087,0.07379650137803752
Int_Med_Skp2_cyto,Skp2,cyto,Int_Med,0.10010103323701743,1.373331524270088e-07,0.09832331149500204,2.2821572172322352e-07,0.030155714477169582,2.5273757,0.5195881,0.07372601444505196
Int_Med_S6_cell,S6,cell,Int_Med,0.09848727986970829,2.1785098675067505e-07,0.11562947858586001,1.1202271717328993e-09,0.00618381197453477,6.0812564,0.8740437,0.0732594008304652
Int_Med_cMyc_ring,cMyc,ring,Int_Med,0.03383750528771295,0.07555862120251128,0.10448078074506946,3.786091288943502e-08,0.01796391188765245,6.20796,2.1345906,0.07296657504856376
Int_Med_Skp2_ring,Skp2,ring,Int_Med,0.10010103323701743,1.373331524270088e-07,0.09832331149500204,2.2821572172322352e-07,0.027183244537288154,2.5273757,0.5195881,0.07234978039085263
Int_Med_cMyc_cyto,cMyc,cyto,Int_Med,0.03383750528771295,0.07555862120251128,0.10448078074506946,3.786091288943502e-08,0.016380620504771848,6.20796,2.1345906,0.07223352153989562
Int_MeanEdge_p14ARF_cell,p14ARF,cell,Int_MeanEdge,-0.12968895943101802,8.037684770353624e-12,-0.07958764038646014,2.849395083466652e-05,0.010933151696514543,3.180378,0.51924664,0.0716773246750337
Int_Med_CDK4_cell,CDK4,cell,Int_Med,0.09828133808582998,2.309445448733295e-07,0.10276708279027201,6.307942928440005e-08,0.00907572959146119,4.527578,0.8996583,0.07122418087858128
Int_Med_RB_nuc,RB,nuc,Int_Med,0.0758886216652919,6.604878017822603e-05,0.045083742929816956,0.017874484440688905,0.02924043074224958,3.8940566,1.5576346,0.07070803978726646
Int_MeanEdge_pS6_cell,pS6,cell,Int_MeanEdge,-0.09196464653274017,1.3074423854399204e-06,-0.07531410035233725,7.501434756172845e-05,0.01594377396492508,12.599443,0.7532683,0.0706996448500844
Int_Med_Fra1_cell,Fra1,cell,Int_Med,-0.11327101455998687,2.428310200619214e-09,-0.032735886732202533,0.0855829212487324,0.03228835069455194,3.3441343,0.7065179,0.06961915204717575
Int_MeanEdge_p21_cell,p21,cell,Int_MeanEdge,-0.10938292525994235,8.403692333558267e-09,-0.09301840001234837,9.865546405684694e-07,0.009039660919928139,7.0315003,0.5056843,0.06918845537931069
Int_Med_pp27_cell,pp27,cell,Int_Med,0.061198213968419166,0.00129960679974929,0.07542340357581344,7.32245787996847e-05,0.03598254994107908,5.7581215,0.9203394,0.06691419583465358
Int_MeanEdge_RSK1_cell,RSK1,cell,Int_MeanEdge,-0.10157582083547603,8.951975438605064e-08,-0.08233085513831305,1.491647541264065e-05,0.017519347960408993,4.3844247,0.5313875,0.06677751153511452
Int_Med_Fra1_nuc,Fra1,nuc,Int_Med,-0.0616491710298524,0.0011960932040313806,-0.06587334936532603,0.0005356424168947153,0.026873532585992344,6.522505,1.1878873,0.06542701816816726
Int_Med_ERK_cell,ERK,cell,Int_Med,0.08446699430615631,8.885377468927933e-06,0.1028495885021334,6.155950365188746e-08,0.0019718296295376803,6.8293715,0.90690506,0.06506295482317355
Int_Med_cJun_cyto,cJun,cyto,Int_Med,-0.1071843575033122,1.664353919354822e-08,-0.0764619534233841,5.8118895935974954e-05,0.015803232333708728,4.3404007,0.34450185,0.06398650700579027
Int_Med_Skp2_cell,Skp2,cell,Int_Med,0.11302957756603871,2.6261451264084596e-09,0.05544727777804196,0.0035756738789684737,0.02437883325860568,1.8020716,0.34683236,0.0639708153450053
Int_Med_cJun_ring,cJun,ring,Int_Med,-0.1071843575033122,1.664353919354822e-08,-0.0764619534233841,5.8118895935974954e-05,0.01574138385283419,4.3404007,0.34450185,0.0639578715654657
Int_Med_AKT_cyto,AKT,cyto,Int_Med,-0.0935730414438983,8.496070585320264e-07,-0.10277242043247962,6.298000922573365e-08,0.0010225640275773884,5.038679,0.73679113,0.06390681664512435
Int_Med_AKT_ring,AKT,ring,Int_Med,-0.0935730414438983,8.496070585320264e-07,-0.10277242043247962,6.298000922573365e-08,0.0007858794219490761,5.038679,0.73679113,0.0637972332276438
Int_Med_RSK1_nuc,RSK1,nuc,Int_Med,0.08812780653742924,3.5531606752094605e-06,0.058326766735584935,0.0021774021917389387,0.03946310651384799,2.0888333,0.29312396,0.06248860432241767
Int_Med_S6_ring,S6,ring,Int_Med,0.07586815438434266,6.634996797722405e-05,0.10066266149343918,1.1676292827344752e-07,0.0033451052337030163,5.419943,0.9221463,0.06152622499586963
Int_Med_S6_cyto,S6,cyto,Int_Med,0.07586815438434266,6.634996797722405e-05,0.10066266149343918,1.1676292827344752e-07,0.002941168509148717,5.419943,0.9221463,0.061339204946107395
Int_MeanEdge_pp65_cell,pp65,cell,Int_MeanEdge,-0.0974407377625937,2.9271609229876525e-07,-0.05373814807354388,0.004751415119810138,0.018504746290529894,3.457715,0.62532365,0.06088892713194526
Int_MeanEdge_cycD1_cell,cycD1,cell,Int_MeanEdge,-0.0728479788376462,0.00012825714112397465,-0.02883520878426623,0.12996701524604154,0.019407454005763825,13.168107,0.95835525,0.06007214038626341
Int_Med_p14ARF_ring,p14ARF,ring,Int_Med,-0.10633435157098928,2.1598291089939116e-08,-0.06368687289627777,0.000816586240657519,0.013989020711919764,2.5628762,0.3985138,0.059817970739018386
Int_Med_p14ARF_cyto,p14ARF,cyto,Int_Med,-0.10633435157098928,2.1598291089939116e-08,-0.06368687289627777,0.000816586240657519,0.01392454110410224,2.5628762,0.3985138,0.05978811710420469
Int_MeanEdge_pp27_cell,pp27,cell,Int_MeanEdge,-0.09699049977798928,3.320741577072604e-07,-0.06901926222725738,0.00028562259000338336,0.012890236490807006,5.953078,0.35771155,0.05909437726320692
Int_Med_ERK_ring,ERK,ring,Int_Med,0.07848939123929342,3.671301330137678e-05,0.0949147428974209,5.897960395940465e-07,0.0,5.709424,0.85555476,0.05898458642969988
