target,tg_predicted,in_range,nearest_acid,nearest_epoxide,nearest_tg_cal,nearest_tg_md,nn_dist
High Tg (>480 K),515.2208729635558,True,O=C(O)CC(NCc1cccc2cccnc12)C(=O)O,CC(=O)c1ccc(NC(=O)COC(=O)C(CC2CO2)CC2CO2)cc1,525.2900790892954,414.69,1.3961447717610718
High Tg (>480 K),515.058023232233,True,COc1cc(C=Nc2ccc(C(=O)O)cc2C)ccc1OCc1ccc(C(=O)O)o1,CC(C)(C)NC(=O)c1ccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1,526.2760373352802,505.7201,1.7751859569587345
High Tg (>480 K),513.7582934001223,True,O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccccc1OCC(=O)Nc1cccnc1,COC(=O)c1cccc(CCNC(=O)c2cc(OCC3CO3)cc(OCC3CO3)n2)c1,490.6901595674816,429.6512,1.6011203382947081
High Tg (>480 K),513.6840109496188,True,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NCc2ccc(Oc3cnccn3)cc2)cc1,COCc1cccc(C(=O)N(CC2CO2)CC2CO2)c1,493.58794876096056,453.9728,1.9753768152521474
High Tg (>480 K),513.3306485817552,True,O=C(O)CC(NCc1cccc2cccnc12)C(=O)O,CC(=O)c1ccc(NC(=O)COC(=O)C(CC2CO2)CC2CO2)cc1,525.2900790892954,414.69,1.5952378899827164
High Tg (>480 K),513.19804811524,True,O=C(O)CCC(CCC(=O)O)C(=O)Nc1cccc(NC(=O)CN2CCCCCC2)c1,COc1ccc(CCNC(=O)NC(COCC2CO2)COCC2CO2)cc1,489.0679302639428,409.2489,1.7698552646744645
High Tg (>480 K),513.0227545028529,True,CN(Cc1ccc2c(c1)OCCO2)C(=O)C(CCC(=O)O)CCC(=O)O,COc1cc(CCNC(=O)c2ccc3c(C)cc(OCC4CO4)nc3c2)ccc1OCC1CO1,501.5109025914133,457.0406,4.364899392116314
High Tg (>480 K),511.132623905424,True,CCCn1c(CN(CCC(=O)O)CCC(=O)O)nc2ccccc21,Cc1cc(OCC2CO2)nc(N2CCN(Cc3cccc(OCC4CO4)c3)CC2)n1,485.5773959789367,385.7092,1.6904895523279304
High Tg (>480 K),510.0369826059738,True,O=C(O)CCN(CCC(=O)O)C(=O)CN1CCN(Cc2ccccn2)CC1,CNC(=O)c1cccc(OCC(=O)N(CC2CO2)CC2CO2)c1,493.75373742605086,402.0952,1.4851206278957776
High Tg (>480 K),509.969292750311,True,Cc1cccc(NC(=O)CN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1C,CC(=O)Nc1c(C)ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,489.463882825625,427.6831,1.535931381583334
Medium-High (420-480 K),449.86270639648205,True,CCOc1cc(NC(=O)N(CCC(=O)O)CCC(=O)O)ccc1OC,Nc1cc(OCC2CO2)c(OCC2CO2)cc1C(=O)O,404.7763194112523,437.7599,7.14917183456059
Medium-High (420-480 K),450.23374324248965,True,CN1CCN(C(=O)CN(C)C(=O)C(CCC(=O)O)CCC(=O)O)CC1,COc1ccc(C(=O)NNC(=O)c2cc3ccccc3cc2OCC2CO2)c(OCC2CO2)c1,458.0345287536639,393.096,6.775417898182868
Medium-High (420-480 K),449.6355193105593,True,CC(C(=O)OCCC(=O)O)C(=O)OCCC(=O)O,CN(Cc1cc2ccccc2nc1OCC1CO1)c1cccc(OCC2CO2)c1,430.08285629329424,402.9962,1.612513295276151
Medium-High (420-480 K),449.5431244301445,True,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc2oc(O)nc2c1,CCCN1C(=O)CCc2cc(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)ccc21,442.2576183476858,458.5322,7.238311752455214
Medium-High (420-480 K),450.4770796768087,True,COc1cc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)cc2c1OCCO2,CCN(Cc1ccccc1NC(=O)CCC1CO1)C(=O)CCC1CO1,453.51647926369634,457.4396,1.0938724367061996
Medium-High (420-480 K),449.0029532573005,True,CN(Cc1ccccc1)C(=O)COC(=O)C(CCC(=O)O)CCC(=O)O,COCCN(C(=O)c1ccc(OCC2CO2)cc1OCC1CO1)C1CC1,434.4587144939827,389.7493,7.212380405204702
Medium-High (420-480 K),451.0172200561745,True,COCCN(CCC(=O)O)Cc1cc(C(=O)O)nn1C,O=C(NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(OCC2CC2)cc1,446.11560336561456,407.5719,1.7013482391853358
Medium-High (420-480 K),451.03420031069294,True,COCCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC(C)C,CC(C)Oc1cccc(CN(C)C(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1,394.5783750142902,355.9994,7.302982706717478
Medium-High (420-480 K),448.8511179510879,True,COc1ccnc2c(NC(=O)N(CCC(=O)O)CCC(=O)O)cccc12,CC(C)(C)CC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,447.8235449609177,415.4439,7.730885821958326
Medium-High (420-480 K),451.23912958891094,True,O=C(O)COCCN(CCOCC(=O)O)C(=O)C(=O)Nc1cccc(COc2ccccc2)c1,c1ccc2oc(CN(CC3CO3)CC3CO3)nc2c1,444.3582982227941,387.7148,2.116707138178279
Medium-High (420-480 K),451.24492545039465,True,O=C(O)COCCc1ccc(CNC(=O)c2cccc(COCC(=O)O)c2)cc1,O=C(OCCCOCCc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,436.87917766832135,403.7641,1.9543127564833234
Medium-High (420-480 K),448.724646573066,True,O=C(O)CCN(CCC(=O)O)C(=O)COC(=O)Cc1coc2ccc3ccccc3c12,COc1cccc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)c1O,412.5565397364791,411.3338,6.667244539424804
Medium-High (420-480 K),448.6368706423019,True,CC(CC(=O)O)C(=O)O,CCN(CCNC(=O)c1ccnc(OCC2CO2)c1)C(=O)c1ccccc1OCC1CO1,443.239296269407,422.1395,4.896198135356768
Medium-High (420-480 K),448.5373831787182,True,O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc(N2CCCCC2)cn1,CCOc1cccc(CNCc2cc(C)ccc2OCC2CO2)c1OCC1CO1,471.44770111733766,387.6917,5.6783445473686855
Medium-High (420-480 K),448.13677463451046,True,COc1cc(NC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc(OC)c1C,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)NC1CCN(Cc2ccccc2)CC1,424.05490142460087,490.4731,1.6863381716345336
Medium-High (420-480 K),448.0688779678852,True,Cc1cccc(C(C)C)c1NC(=O)COC(=O)C(CCC(=O)O)CCC(=O)O,COc1ccc(OCC2CO2)c(CNC(=O)NCc2ccc(OCC3CO3)cc2)c1,426.1840930602099,418.6504,1.6256602397127622
Medium-High (420-480 K),452.1720568575196,True,COc1cc(C(=O)NC(COCC(=O)O)COCC(=O)O)cc(OC)c1OCc1ccccc1,NC(=O)Cc1ccccc1NC(=O)N(CC1CO1)CC1CO1,457.5179414587303,449.2271,1.7508298074663076
Medium-High (420-480 K),447.7770074444095,True,CN(C(=O)COCC(=O)O)c1ccc(NC(=O)COCC(=O)O)cc1,CNC(=O)COc1cccc(CNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1,425.1005894856799,434.678,7.187805836485687
Medium-High (420-480 K),447.64344505149177,True,CCNCc1cn(CC(=O)N(CCC(=O)O)CCC(=O)O)nn1,O=C(Nc1ccc(N2CCCCC2)cc1)C(=O)N(CC1CO1)CC1CO1,446.3292576703574,408.9406,1.6598140880485974
Medium-High (420-480 K),452.82887683141615,True,O=C(O)Cn1cc(C=CC(=O)c2ccc(C(=O)O)cc2O)nn1,Cc1cc(OCC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)no1,471.0729690295264,469.1912,3.084740690774947
Medium (360-420 K),390.0229251708827,True,CC(C)c1ccc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)cn1,NC(=O)CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,451.8687580548859,432.0157,6.648196308227078
Medium (360-420 K),389.9645277180094,True,CCOc1cc(C)ccc1NCC(=O)N(CCC(=O)O)CCC(=O)O,CC(OC(=O)c1ccc(OCC2CO2)cc1)C(=O)NC(=O)NCC1CO1,429.2832552243756,457.4544,6.1081599525257735
Medium (360-420 K),389.8282900488931,True,Cc1nn(C(C)(C)C)cc1C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(O)CCCNC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,403.1597137492179,460.0252,4.745684885223314
Medium (360-420 K),390.17229477896706,True,Cc1ccc(CNC(=O)N(CCC(=O)O)CCC(=O)O)c(=O)n1C,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCC(O)CC1,400.12654874611405,447.6672,3.1267936152903286
Medium (360-420 K),390.2405919171124,True,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)N1CCC(N2CCCC2)CC1,O=C(NCCN1Cc2ccccc2C1)c1c(OCC2CO2)cccc1OCC1CO1,401.957453540768,427.0235,5.594349288432942
Medium (360-420 K),390.4833132890001,True,COc1nc(NCCC(=O)O)ccc1C(=O)O,CCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12,433.4198541205943,441.1412,5.982480670656387
Medium (360-420 K),389.4882672975766,True,O=C(O)COCc1ccc(C(=O)NC2CC(COCC(=O)O)(c3ccccc3)C2)cc1,COc1ccc(CCCC(=O)NC(C)Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,462.0554388853437,399.5584,6.421328341756438
Medium (360-420 K),389.4424434330232,True,O=C(O)CCN(CCC(=O)O)C(=O)CCCC(=O)c1ccc2c(c1)OCCO2,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(C(C)C)cc2OCC2CO2)n1,431.37419106534,463.6621,6.283615315148345
Medium (360-420 K),390.73058003324206,True,CC(C)(CCNC(=O)Nc1ccc(CC(=O)NCC(=O)O)cc1)C(=O)O,O=C(Cc1ccccc1OCC1CO1)Nc1ncccc1OCC1CO1,410.5375772991976,449.0199,4.8967794127080815
Medium (360-420 K),390.9042893525938,True,CN(C(=O)CCCCC(=O)O)C(C)(C)CNC(=O)CCCCC(=O)O,CC(=O)c1ccc(OCC2CO2)c(NC(=O)C=Cc2cccc(OCC3CO3)c2)c1,376.41470864712267,380.9749,4.325107759513848
Medium (360-420 K),391.03660260513374,True,CC(C)(C(=O)O)n1cc(NC(=O)NCc2ccc(C(=O)O)cc2)cn1,O=C(NCc1ccc(C2CCC2)cc1)c1c(OCC2CO2)cccc1OCC1CO1,384.1161950089602,473.3896,4.7730902692271355
Medium (360-420 K),388.91038090150226,True,O=C(O)CCCNCc1ccoc1C(=O)O,Cc1ccccc1C(C)(C)NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,416.163353789005,424.874,5.110217074430988
Medium (360-420 K),388.88452586501,True,O=C(O)CCC(=O)OCCNCCOC(=O)CCC(=O)O,Cc1cccc(OCCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,380.6471857293933,360.5189,5.723068788260865
Medium (360-420 K),388.85720813174396,True,O=C(O)CCCC(=O)Nc1ccc(O)c(C(=O)O)c1,O=C(c1ccc(N2CCC(O)CC2)cc1)N(CC1CO1)CC1CO1,406.2326501005108,457.0204,6.424956537106475
Medium (360-420 K),391.3332977764014,True,CCn1c2ccccc2c2cc(NC(=O)CN(CCOCC(=O)O)CCOCC(=O)O)ccc21,CC(C)Nc1ncccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,409.0426680037402,438.7478,8.302530021213233
Medium (360-420 K),391.4007757704981,True,CC(C)(C)OC(=O)CCN(CCC(=O)O)CCC(=O)O,Cc1ccc(OCCCNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)cc1,440.8364434849824,384.8865,7.275183603120469
Medium (360-420 K),391.577117358873,True,Cc1cc(Oc2ccccc2)ccc1NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O,CC(C)(C)OC(=O)CCCOC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,389.301832812285,434.863,3.085652623688653
Medium (360-420 K),391.5961297926092,True,CCc1ccc(COc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)cc1,O=C(C=Cc1ccc(OCC2CO2)cc1)NCc1cccc(OCC2CO2)n1,462.212941585281,384.0349,6.780852862717198
Medium (360-420 K),391.77503862485173,True,O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCC1CCCCC1,CN(C(=O)c1cccc(OCC2CO2)c1OCC1CO1)C1CCCCCCC1,395.6885835928145,385.3507,6.887076283974989
Medium (360-420 K),391.79506895480614,True,COc1cc(NC(=O)N(CCC(=O)O)CCC(=O)O)ncn1,CCOc1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)cc1OCC,426.8113555594126,449.0386,5.830621334274816
