acid,epoxide,tg_predicted
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,479.0876713776563
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,477.9575408960463
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,475.37239379103397
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,474.6459839725625
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,472.01449091722793
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,470.87348822884644
O=C(O)CCN(CCn1cccn1)CC(=O)O,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,470.3391615226852
CCN(CCC(=O)O)CCC(=O)O,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,469.3181317074162
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,468.6069079540579
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,467.0235668578682
O=C(O)CCN(CCn1cccn1)CC(=O)O,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,465.1518886217224
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,464.19146521039914
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,463.436471360743
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,462.9803302333562
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,462.5735967524872
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,461.9062135298465
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,461.0984170646286
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,459.3698003929105
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,458.0335362990179
CCN(CCC(=O)O)CCC(=O)O,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,457.99102263407786
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,457.7631843592862
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,454.5275305374478
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,453.6645585804428
CCN(CCC(=O)O)CCC(=O)O,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,453.56678706187256
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,444.4815354088988
O=C(O)CCN(CCn1cccn1)CC(=O)O,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,442.88779398156623
O=C(O)CCN(CCn1cccn1)CC(=O)O,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,441.6134893105473
O=C(O)CCN(CCn1cccn1)CC(=O)O,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,441.37820681504047
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,CN(Cc1ccc2ccccc2c1)C(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,439.40783670990294
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,439.1868349902852
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,438.29007757544707
CCN(CCC(=O)O)CCC(=O)O,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,436.9647970740276
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,435.58791307171015
CCN(CCC(=O)O)CCC(=O)O,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,434.6899682202065
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,429.59356212850537
