year,purpose,count
2008,"increase precipitation, suppress hail",2
2008,research,1
2008,suppress fog,1
2008,"suppress hail, increase precipitation",1
2009,augment snowpack,17
2009,"augment snowpack, increase precipitation",5
2009,"augment snowpack, increase runoff",3
2009,"augment snowpack, suppress fog",1
2009,increase precipitation,9
2009,"increase precipitation, suppress hail",3
2009,suppress fog,1
2009,suppress hail,1
2010,augment snowpack,14
2010,"augment snowpack, increase precipitation",6
2010,"augment snowpack, increase runoff",3
2010,increase precipitation,7
2010,"increase precipitation, suppress hail",3
2010,"suppress hail, increase precipitation",1
2011,augment snowpack,15
2011,"augment snowpack, increase precipitation",4
2011,"augment snowpack, increase runoff",2
2011,increase precipitation,8
2011,"increase precipitation, suppress hail",3
2011,"suppress hail, increase precipitation",1
2012,augment snowpack,12
2012,"augment snowpack, increase precipitation",6
2012,"augment snowpack, increase runoff",2
2012,increase precipitation,4
2012,"increase precipitation, suppress hail",3
2012,"suppress hail, increase precipitation",1
2013,augment snowpack,13
2013,"augment snowpack, increase precipitation",6
2013,"augment snowpack, increase runoff",3
2013,increase precipitation,5
2013,"increase precipitation, suppress hail",3
2013,"suppress hail, increase precipitation",1
2014,augment snowpack,12
2014,"augment snowpack, increase precipitation",5
2014,"augment snowpack, increase runoff",3
2014,"augment snowpack, research",1
2014,increase precipitation,5
2014,"increase precipitation, augment snowpack",1
2014,"increase precipitation, suppress hail",3
2014,"research, augment snowpack",1
2014,"suppress hail, increase precipitation",1
2015,augment snowpack,10
2015,"augment snowpack, increase precipitation",5
2015,"augment snowpack, increase runoff",2
2015,increase precipitation,8
2015,"increase precipitation, augment snowpack",2
2015,"increase precipitation, suppress hail",2
2015,"research, augment snowpack",1
2015,"suppress hail, increase precipitation",1
2016,augment snowpack,12
2016,"augment snowpack, increase precipitation",5
2016,"augment snowpack, increase runoff",3
2016,increase precipitation,10
2016,"increase precipitation, augment snowpack",1
2016,"increase precipitation, suppress hail",2
2016,"suppress hail, increase precipitation",1
2017,augment snowpack,13
2017,"augment snowpack, increase precipitation",5
2017,"augment snowpack, increase runoff",2
2017,increase precipitation,8
2017,"increase precipitation, augment snowpack",1
2017,"increase precipitation, suppress hail",2
2018,augment snowpack,12
2018,"augment snowpack, increase precipitation",7
2018,"augment snowpack, increase runoff",1
2018,increase precipitation,4
2018,"increase precipitation, suppress hail",2
2019,augment snowpack,7
2019,"augment snowpack, increase precipitation",6
2019,"augment snowpack, increase runoff",1
2019,increase precipitation,5
2020,augment snowpack,2
2020,"augment snowpack, increase precipitation",4
2020,increase precipitation,4
2020,"increase precipitation, suppress hail",2
2021,augment snowpack,11
2021,"augment snowpack, increase precipitation",2
2021,"augment snowpack, increase runoff",1
2021,increase precipitation,5
2021,"increase precipitation, suppress hail",1
2022,augment snowpack,16
2022,"augment snowpack, increase precipitation",4
2022,"augment snowpack, increase runoff",1
2022,increase precipitation,8
2023,augment snowpack,17
2023,"augment snowpack, increase precipitation",5
2023,"augment snowpack, increase runoff",1
2023,increase precipitation,3
2023,"increase precipitation, suppress hail",1
2023,research,1
2024,augment snowpack,17
2024,"augment snowpack, increase precipitation",4
2024,"augment snowpack, increase runoff",2
2024,increase precipitation,4
2024,"increase precipitation, augment snowpack",2
2024,"increase precipitation, increase precipitation",1
2024,"increase precipitation, suppress hail",2
2024,"increase runoff, increase precipitation",1
2024,research,1
2025,augment snowpack,12
2025,"augment snowpack, increase precipitation",3
2025,"augment snowpack, increase runoff",2
2025,increase precipitation,3
2025,"increase precipitation, increase runoff",1
