# mu_eV,exclusion_probability
1.398713102647241590e-17,0.000000000000000000e+00
1.482020705798860004e-17,0.000000000000000000e+00
1.570290124729377531e-17,0.000000000000000000e+00
1.663816886076127345e-17,0.000000000000000000e+00
1.762914118095944202e-17,0.000000000000000000e+00
1.867913599020792389e-17,0.000000000000000000e+00
1.979166867853549308e-17,0.000000000000000000e+00
2.097046401323239297e-17,0.000000000000000000e+00
2.221946860939528475e-17,0.000000000000000000e+00
2.354286414322420273e-17,0.000000000000000000e+00
2.494508135230316627e-17,0.000000000000000000e+00
2.643081486974102858e-17,0.000000000000000000e+00
2.800503894183625266e-17,0.000000000000000000e+00
2.967302408188860586e-17,0.000000000000000000e+00
3.144035471591513030e-17,0.000000000000000000e+00
3.331294787934683897e-17,0.000000000000000000e+00
3.529707302730657665e-17,0.000000000000000000e+00
3.739937302478801339e-17,0.000000000000000000e+00
3.962688638701478157e-17,0.000000000000000000e+00
4.198707084443905547e-17,0.000000000000000000e+00
4.448782831127576494e-17,0.000000000000000000e+00
4.713753134116747874e-17,0.000000000000000000e+00
4.994505115855119521e-17,0.000000000000000000e+00
5.291978735958458322e-17,0.000000000000000000e+00
5.607169938205469106e-17,0.000000000000000000e+00
5.941133984965040186e-17,0.000000000000000000e+00
6.294988990221887881e-17,0.000000000000000000e+00
6.669919663030115349e-17,0.000000000000000000e+00
7.067181273927476702e-17,0.000000000000000000e+00
7.488103857589999445e-17,0.000000000000000000e+00
7.934096665797524071e-17,0.000000000000000000e+00
8.406652885618351248e-17,0.000000000000000000e+00
8.907354638610457631e-17,0.000000000000000000e+00
9.437878277775390850e-17,0.000000000000000000e+00
9.999999999999999791e-17,0.000000000000000000e+00
