# mu_eV,exclusion_probability
1.482020705798859999e-12,1.000000000000000000e+00
1.534368408930013226e-12,1.000000000000000000e+00
1.588565129428052692e-12,1.000000000000000000e+00
1.644676177994662640e-12,1.000000000000000000e+00
1.702769172225897902e-12,1.000000000000000000e+00
1.762914118095944253e-12,1.000000000000000000e+00
1.825183494319038769e-12,1.000000000000000000e+00
1.889652339691211406e-12,1.000000000000000000e+00
1.956398343517064725e-12,1.000000000000000000e+00
2.025501939230666325e-12,1.000000000000000000e+00
2.097046401323230665e-12,1.000000000000000000e+00
2.171117945694500850e-12,1.000000000000000000e+00
2.247805833548729781e-12,1.000000000000000000e+00
2.327202478960412166e-12,1.000000000000000000e+00
2.409403560239526876e-12,1.000000000000000000e+00
2.494508135230316743e-12,1.000000000000000000e+00
2.582618760682674751e-12,1.000000000000000000e+00
2.673841615839944042e-12,1.000000000000000000e+00
2.768286630392061017e-12,1.000000000000000000e+00
2.866067616948244482e-12,1.000000000000000000e+00
2.967302408188872646e-12,1.000000000000000000e+00
3.072112998861759126e-12,1.000000000000000000e+00
3.180625692794118977e-12,1.000000000000000000e+00
3.292971255097148092e-12,1.000000000000000000e+00
3.409285069746807656e-12,1.000000000000000000e+00
3.529707302730657264e-12,1.000000000000000000e+00
3.654383070957261569e-12,1.000000000000000000e+00
3.783462617131933155e-12,9.989118607181719511e-01
3.917101490809260835e-12,9.961915125136017179e-01
4.055460735840827344e-12,9.885745375408052649e-01
4.198707084443905621e-12,9.330794341675734405e-01
4.347013158125017386e-12,8.324265505984765889e-01
4.500557675700488118e-12,6.245919477693144817e-01
4.659525668664668082e-12,3.911860718171926155e-01
4.824108704165373984e-12,1.594124047878128503e-01
4.994505115855140183e-12,4.951033732317736830e-02
5.170920242896755002e-12,1.142546245919477677e-02
5.353566677410718816e-12,1.088139281828074019e-03
5.542664520663095602e-12,0.000000000000000000e+00
5.738441648302404528e-12,0.000000000000000000e+00
5.941133984965039611e-12,0.000000000000000000e+00
6.150985788580504088e-12,0.000000000000000000e+00
6.368249944718585906e-12,0.000000000000000000e+00
6.593188271333541639e-12,0.000000000000000000e+00
6.826071834272378473e-12,0.000000000000000000e+00
7.067181273927477246e-12,0.000000000000000000e+00
7.316807143427176578e-12,0.000000000000000000e+00
7.575250258771920211e-12,0.000000000000000000e+00
7.842822061337681060e-12,0.000000000000000000e+00
8.119844993184008651e-12,0.000000000000000000e+00
8.406652885618316356e-12,0.000000000000000000e+00
8.703591361485147589e-12,0.000000000000000000e+00
9.011018251665036528e-12,0.000000000000000000e+00
9.329304026284695241e-12,0.000000000000000000e+00
9.658832241158709141e-12,0.000000000000000000e+00
9.999999999999999395e-12,0.000000000000000000e+00
