Country,ISO3,n_points,mean_tc_risk,frac_intense_storm_exposed,mean_composite_risk_ssp245,frac_very_high_ssp245,frac_high_ssp245,frac_at_or_above_high_ssp245,mean_slr_rate_ssp245_2100,mean_composite_risk_ssp370,frac_very_high_ssp370,frac_high_ssp370,frac_at_or_above_high_ssp370,mean_slr_rate_ssp370_2100,mean_composite_risk_ssp585,frac_very_high_ssp585,frac_high_ssp585,frac_at_or_above_high_ssp585,mean_slr_rate_ssp585_2100,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020
Bangladesh,BGD,1064,0.11343927617970355,1.0,0.4067998385911049,0.0,0.16071428571428573,0.16071428571428573,8.70357142857143,0.48748216941817263,0.0,0.2274436090225564,0.2274436090225564,11.741635338345866,0.530130039092358,0.0,0.9323308270676691,0.9323308270676691,14.269172932330829,531711.0,657059.0,1352366845.0,621358.0,1286290673.0
Eritrea,ERI,3,0.14267067358771227,1.0,0.3724464479049672,0.0,0.0,0.0,7.033333333333334,0.4753353367938562,0.0,0.0,0.0,10.2,0.5286686701271895,0.0,1.0,1.0,12.866666666666667,7175.0,4570.0,4847504.23871,6838.0,7253224.066586
Kiribati,KIR,23,0.12685943705134967,0.782608695652174,0.4031398634532112,0.0,0.0,0.0,8.191304347826087,0.4920384141778488,0.0,0.5217391304347826,0.5217391304347826,11.430434782608694,0.5226471098300228,0.0,0.5217391304347826,0.5217391304347826,12.96086956521739,146.0,3919.0,20428878.52736,890.0,4639372.770949
Brunei Darussalam,BRN,132,0.08738233808810265,1.0,0.38886793672081904,0.0,0.0,0.0,8.35530303030303,0.4699032902561725,0.0,0.14393939393939395,0.14393939393939395,11.31060606060606,0.5137366235895059,0.0,0.5151515151515151,0.5151515151515151,13.502272727272729,18707.0,4636.0,56058429.0,1602.0,9281843.0
Thailand,THA,444,0.06883716427473831,0.8288288288288288,0.37218134490013194,0.0,0.01126126126126126,0.01126126126126126,8.21283783783784,0.4568645280833151,0.0,0.05855855855855856,0.05855855855855856,11.209009009009007,0.5062429064616936,0.0,0.6554054054054054,0.6554054054054054,13.704279279279278,264930.0,124711.0,814801338.0,23646.0,204952563.0
Myanmar,MMR,519,0.06334992004932677,0.7630057803468208,0.3554771437112402,0.0,0.0,0.0,7.714065510597301,0.4459678309302511,0.0,0.0,0.0,10.714643545279385,0.49869615462967304,0.0,0.6319845857418112,0.6319845857418112,13.351059730250483,546707.0,469825.0,172667784.0,63024.0,65783025.0
Costa Rica,CRI,71,0.0777270855805996,0.9577464788732394,0.37177434091236555,0.0,0.0,0.0,7.987323943661971,0.481708613212835,0.0,0.08450704225352113,0.08450704225352113,12.142253521126765,0.49759593715649686,0.0,0.2676056338028169,0.2676056338028169,12.936619718309858,37034.0,4394.0,36007873.0,2729.0,16020972.0
Bahrain,BHR,2,0.08013842090884266,1.0,0.3234025437877547,0.0,0.0,0.0,6.5,0.4200692104544213,0.0,0.0,0.0,9.4,0.4960692104544213,0.0,0.0,0.0,12.8,58.0,0.0,0.0,0.0,0.0
Malaysia,MYS,624,0.05385467672599995,0.5977564102564102,0.3676217828074444,0.0,0.0,0.0,8.220833333333335,0.4519476375082992,0.0,0.02564102564102564,0.02564102564102564,11.255608974358974,0.4956677229783847,0.0,0.391025641025641,0.391025641025641,13.437019230769232,579537.0,106284.0,342518762.0,22448.0,106584340.0
Guyana,GUY,28,0.057762108577152756,0.42857142857142855,0.37292867333619545,0.0,0.0,0.0,8.321428571428571,0.45516676857429067,0.0,0.0,0.0,11.314285714285715,0.49430962571714776,0.0,0.42857142857142855,0.42857142857142855,13.27142857142857,38703.0,56761.0,34969608.0,33613.0,14078963.0
United Arab Emirates,ARE,9,0.08620951340193672,0.7777777777777778,0.329771423367635,0.0,0.0,0.0,6.6000000000000005,0.42828994188615355,0.0,0.0,0.0,9.555555555555555,0.493771423367635,0.0,0.4444444444444444,0.4444444444444444,12.533333333333333,7393.0,249755.0,570497070.0,111891.0,352075128.0
India,IND,578,0.07463032246009077,0.8235294117647058,0.33635207011124496,0.0,0.0,0.0,7.000519031141869,0.4308561070201261,0.0,0.0,0.0,9.929065743944637,0.4887730620374272,0.0,0.4204152249134948,0.4204152249134948,12.635640138408304,492571.0,1210902.0,1698438651.0,1144050.0,1587476843.0
Sri Lanka,LKA,42,0.024414464811514262,0.16666666666666666,0.34363580383432857,0.0,0.0,0.0,7.942857142857143,0.43396913716766194,0.0,0.0,0.0,11.088095238095239,0.48535008954861425,0.0,0.023809523809523808,0.023809523809523808,13.65714285714286,18119.0,45376.0,164516359.0,3985.0,18904169.0
Angola,AGO,45,0.0005261613494014889,0.0,0.33796678437840444,0.0,0.0,0.0,8.131111111111112,0.4368853028969229,0.0,0.0,0.0,11.831111111111108,0.48159641400803427,0.0,0.0,0.0,14.06666666666667,51756.0,11775.0,41409776.0,6739.0,41700883.0
Singapore,SGP,308,0.021430168047051758,0.30194805194805197,0.3450549108633527,0.0,0.0,0.0,8.030194805194807,0.4325549108633527,0.0,0.04220779220779221,0.04220779220779221,11.092857142857143,0.48093586324430515,0.0,0.10064935064935066,0.10064935064935066,13.51103896103896,15222.0,5046.0,8616777.0,1192.0,5106714.0
"Congo, The Democratic Republic of the",COD,18,0.0,0.0,0.33518518518518514,0.0,0.0,0.0,8.055555555555555,0.4351111111111111,0.0,0.0,0.0,11.755555555555555,0.4796666666666667,0.0,0.0,0.0,13.983333333333334,36328.0,0.0,0.0,0.004043,5.0
Congo,COG,9,0.0,0.0,0.3362962962962963,0.0,0.0,0.0,8.08888888888889,0.43422222222222223,0.0,0.0,0.0,11.71111111111111,0.47888888888888886,0.0,0.0,0.0,13.944444444444443,2500.0,1001.0,9054302.0,1510.0,2081811.0
Panama,PAN,306,0.03829549911820357,0.4019607843137255,0.3513874009752238,0.0,0.0,0.0,7.969934640522877,0.4552784685133502,0.0,0.0718954248366013,0.0718954248366013,11.806535947712419,0.47821310903622605,0.0,0.15359477124183007,0.15359477124183007,12.960130718954249,152860.0,8837.0,29974273.0,4742.0,14958912.0
El Salvador,SLV,71,0.047611046481053736,1.0,0.34995575798231093,0.0,0.0,0.0,7.784507042253523,0.46377735422644245,0.0,0.0,0.0,11.998591549295774,0.47710129788841416,0.0,0.08450704225352113,0.08450704225352113,12.664788732394365,51920.0,2324.0,15254762.0,1222.0,2186078.0
New Zealand,NZL,30,0.0,0.0,0.34366666666666684,0.0,0.0,0.0,8.31,0.4398666666666666,0.0,0.0,0.0,11.993333333333334,0.47620000000000007,0.0,0.0,0.0,13.81,29676.0,23126.0,1361281995.0,1186.0,230904478.0
Gabon,GAB,256,0.0,0.0,0.3348697916666667,0.0,0.0,0.0,8.04609375,0.43114843750000004,0.0,0.0,0.0,11.557421875000001,0.47590625,0.0,0.0,0.0,13.795312499999998,194197.0,2162.0,5069257.0,1557.0,3320704.0
Brazil,BRA,1352,0.027656700195981352,0.14940828402366865,0.35406996745499264,0.0,0.0,0.0,8.20724852071006,0.4408890009855647,0.0,0.1227810650887574,0.1227810650887574,11.353032544378701,0.4753653323465114,0.0,0.14423076923076922,0.14423076923076922,13.076849112426036,1138408.0,348868.0,2319344780.0,265511.0,1002668479.0
Sao Tome and Principe,STP,70,0.0,0.0,0.3357142857142857,0.0,0.0,0.0,8.071428571428575,0.4289142857142857,0.0,0.0,0.0,11.445714285714288,0.4733142857142858,0.0,0.0,0.0,13.665714285714284,48.0,0.0,0.0,0.0,0.0
Ghana,GHA,12,0.0,0.0,0.3427777777777778,0.0,0.0,0.0,8.283333333333333,0.425,0.0,0.0,0.0,11.25,0.4729999999999999,0.0,0.0,0.0,13.65,18391.0,59157.0,249967863.0,18397.0,109352669.0
South Africa,ZAF,3,0.0,0.0,0.3466666666666667,0.0,0.0,0.0,8.4,0.438,0.0,0.0,0.0,11.9,0.472,0.0,0.0,0.0,13.6,2654.0,8866.0,86491602.0,1603.0,22566767.0
Suriname,SUR,107,0.00876620364657047,0.0,0.3445388650631607,0.0,0.0,0.0,8.204672897196264,0.4283831018232852,0.0,0.0,0.0,11.200000000000001,0.4712989896737526,0.0,0.0,0.0,13.345794392523368,85438.0,4230.0,50073326.0,69710.0,595114322.0
Equatorial Guinea,GNQ,79,0.0,0.0,0.3318143459915612,0.0,0.0,0.0,7.954430379746833,0.4268607594936708,0.0,0.0,0.0,11.343037974683549,0.4708860759493673,0.0,0.0,0.0,13.544303797468354,33795.0,3803.0,8258813.0,1290.0,13360149.0
"Iran, Islamic Republic of",IRN,11,0.03990363520460964,0.45454545454545453,0.3090427266932139,0.0,0.0,0.0,6.672727272727273,0.4060124236629108,0.0,0.0,0.0,9.58181818181818,0.47067909032957755,0.0,0.2727272727272727,0.2727272727272727,12.536363636363633,10286.0,60448.0,331228543.0,2788.0,26222184.0
Nigeria,NGA,1179,0.0,0.0,0.3337065309584394,0.0,0.0,0.0,8.011195928753182,0.4252298558100085,0.0,0.0,0.0,11.261492790500423,0.4705139949109415,0.0,0.0,0.0,13.525699745547074,887472.0,133742.0,192628973.0,94983.0,86226425.0
Saudi Arabia,SAU,5,0.034969492760222196,1.0,0.3094847463801111,0.0,0.0,0.0,6.760000000000001,0.4088180797134444,0.0,0.0,0.0,9.74,0.46948474638011106,0.0,0.0,0.0,12.6,6127.0,82993.0,535581663.0,17490.0,112569887.0
Kenya,KEN,72,0.023171336348642567,0.2916666666666667,0.3426041866928398,0.0,0.0,0.0,7.930555555555555,0.4447245570632103,0.0,0.0,0.0,11.656944444444443,0.4691967792854325,0.0,0.1388888888888889,0.1388888888888889,12.880555555555555,56260.0,15358.0,16215720.0,34183.0,28889528.0
Cameroon,CMR,332,0.0,0.0,0.3278212851405622,0.0,0.0,0.0,7.834638554216866,0.42469277108433734,0.0,0.0,0.0,11.234638554216868,0.4686987951807229,0.0,0.0,0.0,13.434939759036146,211303.0,9922.0,13652327.0,159861.0,88430743.0
