n_eff_m2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,D_s_exp_mean,ratio_exp_conv,ratio_exp_geom,electron_hole_asymmetry_frac
3346938780000000.0,2621604640.0,12143976300.0,158821246000.0,150880184000.0,154850715000.0,59.067150186307266,12.751236594557584,0.05128204929502586
3438775510000000.0,2634396400.0,12264240600.0,163023454000.0,154872282000.0,158947868000.0,60.335592623798,12.960269875984006,0.05128204676516957
3530612240000000.0,2646018000.0,12380073500.0,167471364000.0,159097796000.0,163284580000.0,61.70954997282709,13.189306186267796,0.05128205002578933
3622448980000000.0,2656470440.0,12491652500.0,171755524000.0,163167748000.0,167461636000.0,63.03914904470008,13.40588332888703,0.051282050057124724
3714285710000000.0,2665755220.0,12599150400.0,175901845000.0,167106753000.0,171504299000.0,64.33610172204783,13.612370164261234,0.05128204978698522
3806122450000000.0,2673874350.0,12702734600.0,180239352000.0,171247384000.0,175743368000.0,65.72611312120931,13.835081463482673,0.051165333305778
3897959180000000.0,2680830380.0,12802567900.0,184604118000.0,175373912000.0,179989015000.0,67.13927756966109,14.05882135567506,0.051282051851886626
3989795920000000.0,2686626400.0,12898808000.0,188613997000.0,179183298000.0,183898647500.0,68.44965399729564,14.257026501983749,0.0512820465414244
4081632650000000.0,2691266010.0,12991607900.0,192878937000.0,183234991000.0,188056964000.0,69.87676554500088,14.475264759183503,0.05128204664624916
4173469390000000.0,2694753310.0,13081116000.0,196996621000.0,187146790000.0,192071705500.0,71.27617388472565,14.68312837375649,0.05128205101505698
4265306120000000.0,2697092890.0,13167476100.0,201188574000.0,191129146000.0,196158860000.0,72.7297382775719,14.897225444745633,0.05128204762201412
4357142860000000.0,2698289810.0,13250827600.0,205285732000.0,195021445000.0,200153588500.0,74.17794328771527,15.104987744312664,0.051282053331759274
4448979590000000.0,2698349570.0,13331305400.0,209374636000.0,198905904000.0,204140270000.0,75.65375230459854,15.312849257807866,0.05128205228689078
4540816330000000.0,2697278100.0,13409040400.0,213632989000.0,202951340000.0,208292164500.0,77.22309557179143,15.53371145783109,0.051282049066228796
4632653060000000.0,2695081740.0,13484159300.0,217696229000.0,206811417000.0,212253823000.0,78.75598719317507,15.740975635017898,0.051282053939730454
4724489800000000.0,2691767220.0,13556784700.0,221767737000.0,210679350000.0,216223543500.0,80.3277274102476,15.949470931702558,0.051282051993565635
4816326530000000.0,2687341650.0,13627035600.0,225876875000.0,214583031000.0,220229953000.0,81.95085764402155,16.161251754563555,0.05128205244633549
4908163270000000.0,2681812480.0,13695026800.0,229888452000.0,218394030000.0,224141241000.0,83.5782675603031,16.36661572652052,0.0512820485365297
5000000000000000.0,2675187470.0,13760869700.0,233911617000.0,222216036000.0,228063826500.0,85.25153061516096,16.573358477480532,0.05128205195662627
