iteration,before_collisions,proposal_collisions,accepted,current_collisions,best_collisions,neighborhood_size,mode,family,group,map_id,method
3,3,3,1,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_5,PolicyLNS+PP
4,3,3,1,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_5,PolicyLNS+PP
5,3,3,1,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_5,PolicyLNS+PP
0,3,3,0,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_79,RandomLNS+PP
1,3,3,1,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_79,RandomLNS+PP
2,3,3,0,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_79,RandomLNS+PP
3,3,3,1,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_79,RandomLNS+PP
4,3,3,1,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_79,RandomLNS+PP
5,3,3,1,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_79,RandomLNS+PP
0,3,3,0,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_79,PolicyLNS+PP
1,3,3,0,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_79,PolicyLNS+PP
2,3,3,0,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_79,PolicyLNS+PP
3,3,3,0,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_79,PolicyLNS+PP
4,3,3,0,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_79,PolicyLNS+PP
5,3,3,0,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_79,PolicyLNS+PP
0,1,1,1,1,1,5,random,random_large,maps_1375_50_50_0.175,eval_map_42,RandomLNS+PP
1,1,1,1,1,1,5,random,random_large,maps_1375_50_50_0.175,eval_map_42,RandomLNS+PP
2,1,1,1,1,1,5,random,random_large,maps_1375_50_50_0.175,eval_map_42,RandomLNS+PP
3,1,1,1,1,1,5,random,random_large,maps_1375_50_50_0.175,eval_map_42,RandomLNS+PP
4,1,1,1,1,1,5,random,random_large,maps_1375_50_50_0.175,eval_map_42,RandomLNS+PP
5,1,1,1,1,1,5,random,random_large,maps_1375_50_50_0.175,eval_map_42,RandomLNS+PP
0,1,1,1,1,1,5,policy,random_large,maps_1375_50_50_0.175,eval_map_42,PolicyLNS+PP
1,1,1,1,1,1,5,policy,random_large,maps_1375_50_50_0.175,eval_map_42,PolicyLNS+PP
2,1,1,1,1,1,5,policy,random_large,maps_1375_50_50_0.175,eval_map_42,PolicyLNS+PP
3,1,1,1,1,1,5,policy,random_large,maps_1375_50_50_0.175,eval_map_42,PolicyLNS+PP
4,1,1,1,1,1,5,policy,random_large,maps_1375_50_50_0.175,eval_map_42,PolicyLNS+PP
5,1,1,1,1,1,5,policy,random_large,maps_1375_50_50_0.175,eval_map_42,PolicyLNS+PP
0,1,1,1,1,1,5,random,random_large,maps_1500_50_50_0.175,eval_map_98,RandomLNS+PP
1,1,1,1,1,1,5,random,random_large,maps_1500_50_50_0.175,eval_map_98,RandomLNS+PP
2,1,1,1,1,1,5,random,random_large,maps_1500_50_50_0.175,eval_map_98,RandomLNS+PP
3,1,1,1,1,1,5,random,random_large,maps_1500_50_50_0.175,eval_map_98,RandomLNS+PP
4,1,1,1,1,1,5,random,random_large,maps_1500_50_50_0.175,eval_map_98,RandomLNS+PP
5,1,1,1,1,1,5,random,random_large,maps_1500_50_50_0.175,eval_map_98,RandomLNS+PP
0,1,1,1,1,1,5,policy,random_large,maps_1500_50_50_0.175,eval_map_98,PolicyLNS+PP
1,1,1,1,1,1,5,policy,random_large,maps_1500_50_50_0.175,eval_map_98,PolicyLNS+PP
2,1,1,1,1,1,5,policy,random_large,maps_1500_50_50_0.175,eval_map_98,PolicyLNS+PP
3,1,1,1,1,1,5,policy,random_large,maps_1500_50_50_0.175,eval_map_98,PolicyLNS+PP
4,1,1,1,1,1,5,policy,random_large,maps_1500_50_50_0.175,eval_map_98,PolicyLNS+PP
5,1,1,1,1,1,5,policy,random_large,maps_1500_50_50_0.175,eval_map_98,PolicyLNS+PP
0,8,8,1,8,8,5,random,random_medium,maps_406_25_25_0.175,eval_map_33,RandomLNS+PP
1,8,8,1,8,8,5,random,random_medium,maps_406_25_25_0.175,eval_map_33,RandomLNS+PP
2,8,8,0,8,8,5,random,random_medium,maps_406_25_25_0.175,eval_map_33,RandomLNS+PP
3,8,8,0,8,8,5,random,random_medium,maps_406_25_25_0.175,eval_map_33,RandomLNS+PP
4,8,8,1,8,8,5,random,random_medium,maps_406_25_25_0.175,eval_map_33,RandomLNS+PP
5,8,8,1,8,8,5,random,random_medium,maps_406_25_25_0.175,eval_map_33,RandomLNS+PP
0,8,8,1,8,8,5,policy,random_medium,maps_406_25_25_0.175,eval_map_33,PolicyLNS+PP
1,8,8,1,8,8,5,policy,random_medium,maps_406_25_25_0.175,eval_map_33,PolicyLNS+PP
2,8,8,1,8,8,5,policy,random_medium,maps_406_25_25_0.175,eval_map_33,PolicyLNS+PP
3,8,8,1,8,8,5,policy,random_medium,maps_406_25_25_0.175,eval_map_33,PolicyLNS+PP
4,8,8,1,8,8,5,policy,random_medium,maps_406_25_25_0.175,eval_map_33,PolicyLNS+PP
5,8,8,1,8,8,5,policy,random_medium,maps_406_25_25_0.175,eval_map_33,PolicyLNS+PP
0,1,1,1,1,1,5,random,random_medium,maps_312_25_25_0.175,eval_map_82,RandomLNS+PP
1,1,1,1,1,1,5,random,random_medium,maps_312_25_25_0.175,eval_map_82,RandomLNS+PP
2,1,1,1,1,1,5,random,random_medium,maps_312_25_25_0.175,eval_map_82,RandomLNS+PP
3,1,1,1,1,1,5,random,random_medium,maps_312_25_25_0.175,eval_map_82,RandomLNS+PP
4,1,1,1,1,1,5,random,random_medium,maps_312_25_25_0.175,eval_map_82,RandomLNS+PP
5,1,1,1,1,1,5,random,random_medium,maps_312_25_25_0.175,eval_map_82,RandomLNS+PP
0,1,1,1,1,1,5,policy,random_medium,maps_312_25_25_0.175,eval_map_82,PolicyLNS+PP
1,1,1,1,1,1,5,policy,random_medium,maps_312_25_25_0.175,eval_map_82,PolicyLNS+PP
2,1,1,1,1,1,5,policy,random_medium,maps_312_25_25_0.175,eval_map_82,PolicyLNS+PP
3,1,1,1,1,1,5,policy,random_medium,maps_312_25_25_0.175,eval_map_82,PolicyLNS+PP
4,1,1,1,1,1,5,policy,random_medium,maps_312_25_25_0.175,eval_map_82,PolicyLNS+PP
5,1,1,1,1,1,5,policy,random_medium,maps_312_25_25_0.175,eval_map_82,PolicyLNS+PP
0,0,0,1,0,0,5,random,random_small,maps_65_10_10_0.175,eval_map_18,RandomLNS+PP
0,0,0,1,0,0,5,policy,random_small,maps_65_10_10_0.175,eval_map_18,PolicyLNS+PP
0,0,0,1,0,0,5,random,random_small,maps_65_10_10_0.175,eval_map_62,RandomLNS+PP
0,0,0,1,0,0,5,policy,random_small,maps_65_10_10_0.175,eval_map_62,PolicyLNS+PP
0,3,6,0,3,3,5,random,room,room_maps_344_25_25,eval_map_room_10,RandomLNS+PP
1,3,12,0,3,3,5,random,room,room_maps_344_25_25,eval_map_room_10,RandomLNS+PP
2,3,3,1,3,3,5,random,room,room_maps_344_25_25,eval_map_room_10,RandomLNS+PP
3,3,6,0,3,3,5,random,room,room_maps_344_25_25,eval_map_room_10,RandomLNS+PP
4,3,3,1,3,3,5,random,room,room_maps_344_25_25,eval_map_room_10,RandomLNS+PP
5,3,3,1,3,3,5,random,room,room_maps_344_25_25,eval_map_room_10,RandomLNS+PP
0,3,3,0,3,3,5,policy,room,room_maps_344_25_25,eval_map_room_10,PolicyLNS+PP
1,3,3,0,3,3,5,policy,room,room_maps_344_25_25,eval_map_room_10,PolicyLNS+PP
2,3,3,0,3,3,5,policy,room,room_maps_344_25_25,eval_map_room_10,PolicyLNS+PP
3,3,3,0,3,3,5,policy,room,room_maps_344_25_25,eval_map_room_10,PolicyLNS+PP
4,3,3,0,3,3,5,policy,room,room_maps_344_25_25,eval_map_room_10,PolicyLNS+PP
5,3,3,0,3,3,5,policy,room,room_maps_344_25_25,eval_map_room_10,PolicyLNS+PP
0,3,14,0,3,3,5,random,room,room_maps_281_25_25,eval_map_room_29,RandomLNS+PP
1,3,3,1,3,3,5,random,room,room_maps_281_25_25,eval_map_room_29,RandomLNS+PP
2,3,3,1,3,3,5,random,room,room_maps_281_25_25,eval_map_room_29,RandomLNS+PP
3,3,3,1,3,3,5,random,room,room_maps_281_25_25,eval_map_room_29,RandomLNS+PP
4,3,3,0,3,3,5,random,room,room_maps_281_25_25,eval_map_room_29,RandomLNS+PP
5,3,8,0,3,3,5,random,room,room_maps_281_25_25,eval_map_room_29,RandomLNS+PP
0,3,2,1,2,2,5,policy,room,room_maps_281_25_25,eval_map_room_29,PolicyLNS+PP
1,2,2,1,2,2,5,policy,room,room_maps_281_25_25,eval_map_room_29,PolicyLNS+PP
2,2,2,1,2,2,5,policy,room,room_maps_281_25_25,eval_map_room_29,PolicyLNS+PP
3,2,2,1,2,2,5,policy,room,room_maps_281_25_25,eval_map_room_29,PolicyLNS+PP
4,2,2,1,2,2,5,policy,room,room_maps_281_25_25,eval_map_room_29,PolicyLNS+PP
5,2,2,1,2,2,5,policy,room,room_maps_281_25_25,eval_map_room_29,PolicyLNS+PP
0,2,2,1,2,2,5,random,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,RandomLNS+PP
1,2,1,1,1,1,5,random,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,RandomLNS+PP
2,1,1,1,1,1,5,random,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,RandomLNS+PP
3,1,1,1,1,1,5,random,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,RandomLNS+PP
4,1,1,1,1,1,5,random,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,RandomLNS+PP
5,1,1,1,1,1,5,random,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,RandomLNS+PP
0,2,2,1,2,2,5,policy,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,PolicyLNS+PP
1,2,2,1,2,2,5,policy,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,PolicyLNS+PP
2,2,2,1,2,2,5,policy,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,PolicyLNS+PP
3,2,2,1,2,2,5,policy,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,PolicyLNS+PP
4,2,2,1,2,2,5,policy,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,PolicyLNS+PP
5,2,2,1,2,2,5,policy,warehouse,warehouse_maps_281_25_25,eval_map_warehouse_28,PolicyLNS+PP
0,0,0,1,0,0,5,random,warehouse,warehouse_maps_297_25_25,eval_map_warehouse_46,RandomLNS+PP
0,0,0,1,0,0,5,policy,warehouse,warehouse_maps_297_25_25,eval_map_warehouse_46,PolicyLNS+PP
