index,Electricity,Heat,Cooling Energy,PV Power Generation,Greenhouse Gas Emission,Building
min,34.69045951812957,5.4560126445747335,10.85066760169136,0.0,28.650616851139148,BN006
25%,52.27919128413336,12.676874805928929,22.486854318663333,0.0,36.59999557374671,BN006
50%,61.9422308782833,16.0078924527366,29.001801986339775,5.745917907340271,39.05624154368508,BN006
75%,71.7324597535174,19.32330049331154,35.52910549174376,9.765071878148408,41.62138672186579,BN006
max,90.30289435522236,25.050082200442663,46.92787914919211,13.39137492378552,50.44511602555245,BN006
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN007
mean,64.03640337168733,16.993921217865044,30.501313459706516,4.142707415986755,41.14528703515111,BN007
std,11.542111442538179,3.81691047405097,7.647341529822224,4.129449798717421,5.255482630906404,BN007
min,35.5306766957758,8.080390793035072,12.806107706239384,0.0,25.931282138753804,BN007
25%,54.09238165288303,13.756193425487801,23.919885854041674,0.0,37.165570366888524,BN007
50%,64.04665608034949,17.017946959519286,30.447770262223926,4.881812146248343,41.466303988591385,BN007
75%,73.80129182159408,20.247604511728458,37.056980231326726,7.468460061893858,45.29010235790028,BN007
max,90.48395285696392,26.366498694682264,49.15232036569629,13.200464370709728,55.11571637231566,BN007
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN008
mean,65.93124626220471,18.02099586240643,31.983656202933677,4.7794253297381255,42.37894046554195,BN008
std,11.442289818703422,3.830074475541411,7.6266825783875465,4.721365708460173,6.5746801996650435,BN008
min,39.895182847992665,9.120397244350666,12.711347433340716,0.0,25.64063831019801,BN008
25%,55.98542159340352,14.787202792056856,25.411853784653054,0.0,37.21957459173255,BN008
50%,66.02741859589361,18.020049454223695,31.951356507347466,5.582716912454542,42.665423577956446,BN008
75%,75.72775683965557,21.295339596756808,38.552520632377735,9.090119822184672,48.039659380495515,BN008
max,92.671884293349,26.744797125892894,49.38967034647015,13.762329546819087,58.76909112711531,BN008
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN009
mean,68.00788792057283,19.001314534318233,33.52606851082261,5.824812722853679,43.49714566131955,BN009
std,11.468685596347639,3.8291186227799647,7.641878566124858,5.536009347830521,3.797788405643324,BN009
min,40.60928061463419,9.75054477572328,15.034236269313212,0.0,31.93004792018025,BN009
25%,58.0904299110141,15.69747772600434,26.953212731498944,0.0,40.73151189991855,BN009
50%,67.85400211024191,19.1079015685961,33.51515113994108,7.633803880552961,43.46238914776535,BN009
75%,77.9228220428305,22.267820529272157,40.08170037133803,11.3480119056053,46.29416489966378,BN009
max,96.30704842288549,28.65097760578828,52.15068408757151,14.832720810868128,54.91059230868804,BN009
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN010
mean,70.04137110300552,20.006303328388555,34.95340655373632,4.466696027791938,45.779909846870616,BN010
std,11.457741646327488,3.8245460684726917,7.627977092955534,4.223259791380723,4.84130027919764,BN010
min,39.08803994953183,11.000584383441854,15.57090108019332,0.0,30.06080303621944,BN010
25%,60.24688371710699,16.707370964011552,28.442904174773624,0.0,42.37953250492143,BN010
50%,70.05650021221686,20.012661722370773,34.94252192254136,6.40185249374292,45.917315344710666,BN010
75%,79.86636328771014,23.25971594710942,41.47884145016691,8.285504902919978,49.327061759903785,BN010
max,95.96763786465472,29.15920886965828,53.187280094149685,12.130554818641498,58.66392943112483,BN010
