feature,mi_score
Int_Med_pERK_cell,0.021969619194441847
Int_MeanEdge_Fra1_cell,0.021528328629598192
Int_Med_Bcl2_cell,0.02067699056866168
Int_Med_S6_cell,0.020412377545138582
Int_MeanEdge_GSK3b_cell,0.02024384933590717
Int_Med_p21_cyto,0.020208605184375728
Int_Med_pERK_ring,0.020030234771626354
Int_Med_cJun_ring,0.019702277309976424
Int_MeanEdge_cFos_cell,0.019624876103973676
Int_Med_pp27_cyto,0.019590191386411604
Int_Med_pRB_cell,0.018927490665095803
Int_Med_CDK4_cell,0.018812450698711736
Int_Med_CDK6_cell,0.018502248707439328
Int_Med_GSK3b_cyto,0.018304049483365503
Int_MeanEdge_p14ARF_cell,0.018284520969277906
Int_Med_YAP_cell,0.018014112921990844
Int_Med_p53_cell,0.01771176714386602
Int_Med_p14ARF_nuc,0.017506040879374574
Int_Med_S6_nuc,0.017276612820277037
Int_MeanEdge_cJun_cell,0.017220005401493044
Int_Med_pSTAT3_cell,0.017104821334552156
Int_Med_Skp2_cyto,0.017054260243664743
Int_Med_pGSK3b_cell,0.01679564526629651
Int_MeanEdge_Skp2_cell,0.016724600409519397
Int_Med_Cdt1_cyto,0.01651818600410504
Int_Med_bCat_cyto,0.01640776461138227
Int_Med_p38_cell,0.015985088006334358
Int_MeanEdge_pp27_cell,0.01596121160301145
Int_MeanEdge_RB_cell,0.01518256170613963
Int_Med_pRSK_cell,0.014997133882606484
Int_Med_p14ARF_cell,0.014621311380675017
Int_MeanEdge_p16_cell,0.014368431870902754
Int_MeanEdge_Cdh1_cell,0.013440140088937902
Int_MeanEdge_CDK4_cell,0.01328484374718819
Int_MeanEdge_pp65_cell,0.013161607540251197
Int_MeanEdge_ERK_cell,0.012906770643977161
Int_MeanEdge_pH2AX_cell,0.012182729073713539
Int_Med_Fra1_nuc,0.011541410576957567
Int_Med_GSK3b_ring,0.011202416364845647
Int_MeanEdge_STAT3_cell,0.01089475362635195
Int_Med_p53_cyto,0.010729265086349749
Int_Med_pRSK_ring,0.010710700074304746
Int_Med_pRSK_cyto,0.01041705812560334
Int_Med_bCat_ring,0.010183391146939336
Int_Med_pH2AX_cell,0.010043486507103516
Int_Med_pp65_cell,0.00901349558330633
Int_MeanEdge_pCHK1_cell,0.008910726604586472
Int_Med_STAT3_ring,0.008719808163130338
Int_Med_BP1_cell,0.008553636111519936
Int_Med_Cdt1_cell,0.008482999650227363
Int_Med_p38_cyto,0.006602066640441606
Int_Med_pGSK3b_cyto,0.005770593186773532
Int_Med_RB_cell,0.005586942298897224
Int_Med_pGSK3b_ring,0.005574152692371825
Int_Med_CDK6_cyto,0.005260964067272944
Int_Med_pCHK1_cell,0.004996541084682171
Int_Med_BP1_ring,0.0049575353172599534
Int_Med_pH2AX_ring,0.0049060742366355825
Int_Med_pSTAT3_cyto,0.004803903302357249
Int_Med_pSTAT3_ring,0.004611161438473843
Int_Med_pp21_cyto,0.0044935044069465135
Int_MeanEdge_pp21_cell,0.004345923044536626
Int_Med_BP1_cyto,0.004174339774752234
Int_Med_RSK1_ring,0.003970758739335167
Int_Med_pp21_ring,0.003960152131936567
Int_Med_CDK6_ring,0.0036526233668805475
Int_Med_p38_ring,0.00351641699161398
Int_Med_STAT3_cyto,0.0028731532293138073
Int_Med_pH2AX_cyto,0.0028400402954495974
Int_MeanEdge_Bcl2_cell,0.002670082036506649
Int_MeanEdge_pp53_cell,0.0026579551585488304
Int_Med_STAT3_cell,0.0020899947734136504
Int_Med_pp21_cell,0.001762692481698025
Int_Med_Cdt1_ring,0.0013530533095380548
Int_Med_GSK3b_cell,0.0006739367863461965
Int_Med_DNA_cell,0.0005955601064222549
Int_Med_cycE_ring,0.00041961521748934416
Int_MeanEdge_Cdt1_cell,0.0
Int_MeanEdge_CDK2_cell,0.0
Int_Med_S6_cyto,0.0
Int_Med_RSK1_cyto,0.0
Int_Med_ERK_cyto,0.0
Int_Med_Bcl2_cyto,0.0
Int_Med_pp53_cell,0.0
Int_Med_pp38_cell,0.0
Int_Med_AKT_cyto,0.0
Int_Med_cycE_cell,0.0
Int_Med_RSK1_cell,0.0
Int_Med_bCat_cell,0.0
Int_Med_p21_cell,0.0
Int_Med_ERK_cell,0.0
Int_MeanEdge_p53_cell,0.0
Int_MeanEdge_pRSK_cell,0.0
Int_MeanEdge_pSTAT3_cell,0.0
Int_Med_AKT_cell,0.0
Int_MeanEdge_S6_cell,0.0
Int_MeanEdge_BP1_cell,0.0
Int_MeanEdge_cycE_cell,0.0
Int_MeanEdge_p21_cell,0.0
Int_MeanEdge_CDK6_cell,0.0
Int_Med_p14ARF_cyto,0.0
Int_Med_pp38_cyto,0.0
Int_Med_pp53_cyto,0.0
Int_Med_cycE_cyto,0.0
Int_Med_ERK_ring,0.0
Int_Med_Bcl2_ring,0.0
Int_Med_AKT_ring,0.0
Int_Med_S6_ring,0.0
Int_Med_p14ARF_ring,0.0
Int_Med_pp53_ring,0.0
Int_Med_pp38_ring,0.0
