type,host,method,anchor,observed,sigma,z,const,variant,model_value,residual,normalized_residual
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,ngc4258_anchor_only,31.57133071104841,-0.15133071104840923,-1.7446273609887042
primary_distance,M101,Cepheid,N4258,29.12,0.07889233169326408,,,ngc4258_anchor_only,29.21393367119516,-0.09393367119515972,-1.1906565464483525
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,ngc4258_anchor_only,31.31043960642383,0.07956039357616973,0.6841389894647675
primary_distance,NGC1365,TRGB,N4258,31.32,0.1338805437694365,,,ngc4258_anchor_only,31.329753027074602,-0.009753027074602016,-0.07284872618532438
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,ngc4258_anchor_only,30.8595503082439,-0.3295503082438991,-3.0566373919512957
primary_distance,M101,TRGB,N4258,29.13,0.09961927524329818,,,ngc4258_anchor_only,29.21393367119516,-0.08393367119516171,-0.8425444874013805
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,ngc4258_anchor_only,12.26503349364135,-0.16503349364135111,-3.3006698728270223
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,ngc4258_anchor_only,11.928139650207338,0.0018603497926612533,0.031005829877687557
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,ngc4258_anchor_only,11.901585492878983,-0.001585492878982464,-0.03170985757964928
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,ngc4258_anchor_only,12.169717334181147,0.050282665818853545,1.005653316377071
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,ngc4258_anchor_only,9.812320294327897,0.03767970567210277,0.9419926418025693
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,ngc4258_anchor_only,11.908826229556567,-0.02882622955656622,-0.4118032793795174
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,ngc4258_anchor_only,11.457936931376636,0.10206306862336412,1.7010511437227354
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,ngc4258_anchor_only,-29.65525655975927,-0.26624154009164513,-3.3185584489597733
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,ngc4258_anchor_only,-29.65525655975927,-0.16509340686987528,-2.500592057361314
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,ngc4258_anchor_only,-29.65525655975927,-0.08066040235158667,-1.3473409370357863
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,ngc4258_anchor_only,-29.65525655975927,0.12860848158845073,2.2702598172471964
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,ngc4258_anchor_only,-29.65525655975927,0.2520837832010514,3.9428239140849923
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,lmc_anchor_only,32.04589498153969,0.4641050184603088,3.9831838270560738
primary_distance,NGC1365,Cepheid,LMC,31.34,0.09785703858180055,,,lmc_anchor_only,31.667362231642276,-0.32736223164227596,-3.345311041357824
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,lmc_anchor_only,12.185464241761231,-0.08546424176123146,-1.7092848352246293
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,lmc_anchor_only,11.806931491863818,0.12306850813618198,2.0511418022697
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,lmc_anchor_only,11.899999999999995,5.329070518200751e-15,1.0658141036401503e-13
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,lmc_anchor_only,12.219999999999992,8.881784197001252e-15,1.7763568394002505e-13
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,lmc_anchor_only,9.850000000000023,-2.3092638912203256e-14,-5.773159728050814e-13
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,lmc_anchor_only,11.879999999999956,4.440892098500626e-14,6.344131569286608e-13
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,lmc_anchor_only,11.560000000000041,-4.085620730620576e-14,-6.809367884367627e-13
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,lmc_anchor_only,-29.65525655975926,-0.2662415400916558,-3.3185584489599065
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,lmc_anchor_only,-29.65525655975926,-0.16509340686988594,-2.5005920573614753
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,lmc_anchor_only,-29.65525655975926,-0.08066040235159733,-1.3473409370359644
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,lmc_anchor_only,-29.65525655975926,0.12860848158844007,2.270259817247008
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,lmc_anchor_only,-29.65525655975926,0.25208378320104075,3.9428239140848254
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,exclude_M101,31.870967825284104,0.6290321747158956,5.598534606130711
primary_distance,NGC1365,Cepheid,N4258,31.33,0.09499473669630334,,,exclude_M101,31.396037175322398,-0.06603717532239983,-0.6951666757445691
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,exclude_M101,31.406276215845295,-0.09627621584529678,-0.9296952439852275
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,exclude_M101,31.666736997634413,-0.24673699763441093,-2.8445258339101915
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,exclude_M101,31.40374150920717,-0.013741509207168434,-0.11816309347078027
primary_distance,NGC1365,TRGB,N4258,31.32,0.1338805437694365,,,exclude_M101,31.396037175322398,-0.07603717532239784,-0.5679479122324592
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,exclude_M101,30.95660043113111,-0.42660043113111,-3.9567944456384363
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,exclude_M101,31.870967825284104,0.6390321747158936,5.484497090208699
primary_distance,NGC1365,Cepheid,LMC,31.34,0.09785703858180055,,,exclude_M101,31.396037175322398,-0.05603717532239827,-0.5726432777296416
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,exclude_M101,12.342247508393179,-0.242247508393179,-4.84495016786358
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,exclude_M101,11.867316858431472,0.06268314156852739,1.0447190261421233
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,exclude_M101,11.87755589895437,0.02244410104563066,0.4488820209126132
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,exclude_M101,12.138016680743487,0.08198331925651381,1.6396663851302762
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,exclude_M101,11.875021192316243,0.00497880768375758,0.0711258240536797
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,exclude_M101,11.427880114240185,0.13211988575981515,2.2019980959969194
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,exclude_M101,-29.65525655975926,-0.2662415400916558,-3.3185584489599065
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,exclude_M101,-29.65525655975926,-0.16509340686988594,-2.5005920573614753
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,exclude_M101,-29.65525655975926,-0.08066040235159733,-1.3473409370359644
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,exclude_M101,-29.65525655975926,0.12860848158844007,2.270259817247008
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,exclude_M101,-29.65525655975926,0.25208378320104075,3.9428239140848254
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,exclude_NGC1365,31.834727454945583,0.6652725450544175,5.921082443323372
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,exclude_NGC1365,31.36565504393696,-0.0556550439369623,-0.5374352242419425
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,exclude_NGC1365,31.629138870449204,-0.20913887044920187,-2.4110730274387686
primary_distance,M101,Cepheid,N4258,29.12,0.07889233169326408,,,exclude_NGC1365,29.268235558788476,-0.14823555878847472,-1.8789602944531965
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,exclude_NGC1365,31.366972686805646,0.023027313194354804,0.19801162451254228
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,exclude_NGC1365,30.91835449373826,-0.3883544937382588,-3.6020566122916167
primary_distance,M101,TRGB,N4258,29.13,0.09961927524329818,,,exclude_NGC1365,29.268235558788476,-0.1382355587884767,-1.3876386718420382
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,exclude_NGC1365,31.834727454945583,0.6752725450544155,5.795530264333422
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,exclude_NGC1365,12.35609799755818,-0.2560979975581805,-5.1219599511636105
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,exclude_NGC1365,11.887025586549559,0.012974413450441702,0.25948826900883404
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,exclude_NGC1365,12.150509413061801,0.06949058693819943,1.3898117387639886
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,exclude_NGC1365,9.789606101401073,0.0603938985989263,1.5098474649731575
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,exclude_NGC1365,11.888343229418243,-0.008343229418242615,-0.1191889916891802
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,exclude_NGC1365,11.439725036350858,0.12027496364914292,2.0045827274857153
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,exclude_NGC1365,-29.655256559759273,-0.2662415400916416,-3.3185584489597293
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,exclude_NGC1365,-29.655256559759273,-0.16509340686987173,-2.5005920573612603
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,exclude_NGC1365,-29.655256559759273,-0.08066040235158312,-1.347340937035727
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,exclude_NGC1365,-29.655256559759273,0.12860848158845428,2.270259817247259
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,exclude_NGC1365,-29.655256559759273,0.25208378320105496,3.942823914085048
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,combined_with_planck_prior,32.248937504464045,0.2510624955359546,2.2345153810207163
primary_distance,NGC1365,Cepheid,N4258,31.33,0.09499473669630334,,,combined_with_planck_prior,31.66045853460136,-0.33045853460136243,-3.478703621842051
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,combined_with_planck_prior,31.82993555405537,-0.5199355540553725,-5.02077909419326
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,combined_with_planck_prior,32.05886742944885,-0.638867429448851,-7.3652306907118215
primary_distance,M101,Cepheid,N4258,29.12,0.07889233169326408,,,combined_with_planck_prior,29.67189954235607,-0.5518995423560682,-6.995604395391321
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,combined_with_planck_prior,31.78722268992114,-0.39722268992113996,-3.415713742227172
primary_distance,NGC1365,TRGB,N4258,31.32,0.1338805437694365,,,combined_with_planck_prior,31.66045853460136,-0.34045853460136044,-2.543002328909598
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,combined_with_planck_prior,31.355487212675715,-0.8254872126757142,-7.656539890033471
primary_distance,M101,TRGB,N4258,29.13,0.09961927524329818,,,combined_with_planck_prior,29.67189954235607,-0.5418995423560702,-5.439705729966412
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,combined_with_planck_prior,32.248937504464045,0.2610624955359526,2.2405702776485614
primary_distance,NGC1365,Cepheid,LMC,31.34,0.09785703858180055,,,combined_with_planck_prior,31.66045853460136,-0.32045853460136087,-3.274762237296641
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,combined_with_planck_prior,12.197793550078718,-0.09779355007871793,-1.9558710015743586
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,combined_with_planck_prior,11.609314580216033,0.3206854197839668,5.344756996399447
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,combined_with_planck_prior,11.778791599670043,0.12120840032995694,2.424168006599139
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,combined_with_planck_prior,12.007723475063525,0.21227652493647575,4.245530498729515
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,combined_with_planck_prior,9.620755587970741,0.22924441202925827,5.731110300731457
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,combined_with_planck_prior,11.736078735535813,0.14392126446418807,2.0560180637741152
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,combined_with_planck_prior,11.304343258290388,0.25565674170961294,4.260945695160216
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,combined_with_planck_prior,-29.305253224008876,-0.6162448758420389,-7.681162896856079
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,combined_with_planck_prior,-29.305253224008876,-0.515096742620269,-7.801927695296478
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,combined_with_planck_prior,-29.305253224008876,-0.43066373810198044,-7.193751426039628
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,combined_with_planck_prior,-29.305253224008876,-0.22139485416194304,-3.9081702461705996
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,combined_with_planck_prior,-29.305253224008876,-0.09791955254934237,-1.5315525201402123
external_h0_prior,external,H0,prior,67.4,0.5,,,combined_with_planck_prior,1.8508218539247094,-0.02216195738938964,-6.8788160581677325
