feature,cell_rank_bin,value
Int_Med_ERK_ring,18,1.3146556349182068
Int_Med_ERK_ring,19,0.357943680047178
Int_Med_S6_cell,0,-0.7159213213669089
Int_Med_S6_cell,1,-0.6346447724577547
Int_Med_S6_cell,2,-0.6407856696171291
Int_Med_S6_cell,3,-0.49149785255393436
Int_Med_S6_cell,4,-0.5156729724114
Int_Med_S6_cell,5,-0.4207719121685718
Int_Med_S6_cell,6,-0.2981936804800114
Int_Med_S6_cell,7,-0.3270713641416299
Int_Med_S6_cell,8,-0.25645809616267135
Int_Med_S6_cell,9,-0.11681711084279242
Int_Med_S6_cell,10,-0.1381841071953761
Int_Med_S6_cell,11,-0.05557322378855529
Int_Med_S6_cell,12,0.07715921852493708
Int_Med_S6_cell,13,0.07228622055957472
Int_Med_S6_cell,14,0.17529717822586507
Int_Med_S6_cell,15,0.30633823773197655
Int_Med_S6_cell,16,0.819822359813065
Int_Med_S6_cell,17,1.1505868276785898
Int_Med_S6_cell,18,1.614711131988511
Int_Med_S6_cell,19,0.3982769736909641
Int_Med_YAP_cell,0,-1.0003739666212255
Int_Med_YAP_cell,1,-0.7851879685550366
Int_Med_YAP_cell,2,-0.690458709741073
Int_Med_YAP_cell,3,-0.5763254137262357
Int_Med_YAP_cell,4,-0.4449063166902459
Int_Med_YAP_cell,5,-0.3734396249932585
Int_Med_YAP_cell,6,-0.23044893368222008
Int_Med_YAP_cell,7,-0.2889511255186809
Int_Med_YAP_cell,8,-0.20170280779825422
Int_Med_YAP_cell,9,-0.03643653648195173
Int_Med_YAP_cell,10,0.1373447517580235
Int_Med_YAP_cell,11,0.030309007542355035
Int_Med_YAP_cell,12,0.2087383366649205
Int_Med_YAP_cell,13,0.22421796375681016
Int_Med_YAP_cell,14,0.34091318250032454
Int_Med_YAP_cell,15,0.42929104337442336
Int_Med_YAP_cell,16,0.7447676091223644
Int_Med_YAP_cell,17,1.0374397708103287
Int_Med_YAP_cell,18,1.1572972814519824
Int_Med_YAP_cell,19,0.320232985708594
Int_Med_S6_ring,0,-0.6971911946517306
Int_Med_S6_ring,1,-0.6147044993243252
Int_Med_S6_ring,2,-0.6368011017919979
Int_Med_S6_ring,3,-0.5030837179529898
Int_Med_S6_ring,4,-0.5099290208154394
Int_Med_S6_ring,5,-0.4237487180500078
Int_Med_S6_ring,6,-0.29688485302771395
Int_Med_S6_ring,7,-0.3520523873050882
Int_Med_S6_ring,8,-0.2703366048106021
Int_Med_S6_ring,9,-0.08818418867937411
Int_Med_S6_ring,10,-0.15050900963399821
Int_Med_S6_ring,11,-0.055073183638984634
Int_Med_S6_ring,12,0.08159551332920933
Int_Med_S6_ring,13,0.06250524386336606
Int_Med_S6_ring,14,0.19551991640001543
Int_Med_S6_ring,15,0.34987386819670574
Int_Med_S6_ring,16,0.8243482306700408
Int_Med_S6_ring,17,1.2114128989494168
Int_Med_S6_ring,18,1.5928106492597736
Int_Med_S6_ring,19,0.28247910907951623
Int_Med_S6_cyto,0,-0.6971911946517306
Int_Med_S6_cyto,1,-0.6147044993243252
Int_Med_S6_cyto,2,-0.6368011017919979
Int_Med_S6_cyto,3,-0.5030837179529898
Int_Med_S6_cyto,4,-0.5099290208154394
Int_Med_S6_cyto,5,-0.4237487180500078
Int_Med_S6_cyto,6,-0.29688485302771395
Int_Med_S6_cyto,7,-0.3520523873050882
Int_Med_S6_cyto,8,-0.2703366048106021
Int_Med_S6_cyto,9,-0.08818418867937411
Int_Med_S6_cyto,10,-0.15050900963399821
Int_Med_S6_cyto,11,-0.055073183638984634
Int_Med_S6_cyto,12,0.08159551332920933
Int_Med_S6_cyto,13,0.06250524386336606
Int_Med_S6_cyto,14,0.19551991640001543
Int_Med_S6_cyto,15,0.34987386819670574
Int_Med_S6_cyto,16,0.8243482306700408
Int_Med_S6_cyto,17,1.2114128989494168
Int_Med_S6_cyto,18,1.5928106492597736
Int_Med_S6_cyto,19,0.28247910907951623
Int_Med_p38_cell,0,-0.8408726391214931
Int_Med_p38_cell,1,-0.7963580714068887
Int_Med_p38_cell,2,-0.7023664187833618
Int_Med_p38_cell,3,-0.5755493001403132
Int_Med_p38_cell,4,-0.48575464790557876
Int_Med_p38_cell,5,-0.32900554528986264
Int_Med_p38_cell,6,-0.2078709249327238
Int_Med_p38_cell,7,-0.29861090693300496
Int_Med_p38_cell,8,-0.1662777082107379
Int_Med_p38_cell,9,0.025368713128958945
Int_Med_p38_cell,10,-0.053336855197512675
Int_Med_p38_cell,11,-0.014018520886813398
Int_Med_p38_cell,12,0.2695935554679263
Int_Med_p38_cell,13,0.17741774134481522
Int_Med_p38_cell,14,0.34639073600849096
Int_Med_p38_cell,15,0.3980383639792625
Int_Med_p38_cell,16,0.7725278121238935
Int_Med_p38_cell,17,0.9485008082662733
Int_Med_p38_cell,18,1.2442829036648604
Int_Med_p38_cell,19,0.2900023712823757
Int_Med_pCHK1_cell,0,-0.5931440685382032
Int_Med_pCHK1_cell,1,-0.6029387536914653
Int_Med_pCHK1_cell,2,-0.5657571232917535
Int_Med_pCHK1_cell,3,-0.4859903242134922
Int_Med_pCHK1_cell,4,-0.4549709646150018
Int_Med_pCHK1_cell,5,-0.3397028432606941
Int_Med_pCHK1_cell,6,-0.23452012080428117
Int_Med_pCHK1_cell,7,-0.34203341234463647
Int_Med_pCHK1_cell,8,-0.24463658188307413
Int_Med_pCHK1_cell,9,-0.047635004124932365
Int_Med_pCHK1_cell,10,-0.1359890142075014
Int_Med_pCHK1_cell,11,-0.11488874593821635
Int_Med_pCHK1_cell,12,0.0406945074646631
Int_Med_pCHK1_cell,13,-0.06886304500405958
Int_Med_pCHK1_cell,14,0.33118291234209696
Int_Med_pCHK1_cell,15,0.3251734090628606
Int_Med_pCHK1_cell,16,0.7624742630904499
Int_Med_pCHK1_cell,17,0.9922144894928192
Int_Med_pCHK1_cell,18,1.1549238836181723
Int_Med_pCHK1_cell,19,0.6289642487940302
Int_Med_cycA_cell,0,-0.4620044823356841
Int_Med_cycA_cell,1,-0.41949809141644884
Int_Med_cycA_cell,2,-0.3971017903596326
Int_Med_cycA_cell,3,-0.31630835324386686
Int_Med_cycA_cell,4,-0.3111754954661939
Int_Med_cycA_cell,5,-0.31627705777072107
Int_Med_cycA_cell,6,-0.2586771599501983
Int_Med_cycA_cell,7,-0.24799718030712178
Int_Med_cycA_cell,8,-0.21722515407622556
Int_Med_cycA_cell,9,-0.21849559740358987
Int_Med_cycA_cell,10,-0.0870999092254689
Int_Med_cycA_cell,11,-0.06361711509407994
Int_Med_cycA_cell,12,-0.01701063763958733
Int_Med_cycA_cell,13,0.17787657001542018
Int_Med_cycA_cell,14,-0.006850805388958497
Int_Med_cycA_cell,15,0.24529222041397247
Int_Med_cycA_cell,16,0.4202013928190003
Int_Med_cycA_cell,17,0.5874504444698405
Int_Med_cycA_cell,18,1.4377446430384524
Int_Med_cycA_cell,19,0.47420986227087925
Int_MeanEdge_ERK_cell,0,-0.5525770452991086
Int_MeanEdge_ERK_cell,1,-0.7260192940031207
Int_MeanEdge_ERK_cell,2,-0.5709585914158933
Int_MeanEdge_ERK_cell,3,-0.5764256989756219
Int_MeanEdge_ERK_cell,4,-0.5078938160019598
Int_MeanEdge_ERK_cell,5,-0.41242115324763295
Int_MeanEdge_ERK_cell,6,-0.3180780783741392
Int_MeanEdge_ERK_cell,7,-0.2781450469052815
Int_MeanEdge_ERK_cell,8,-0.25637543767010773
Int_MeanEdge_ERK_cell,9,-0.10698151073490765
Int_MeanEdge_ERK_cell,10,-0.06676731666763584
Int_MeanEdge_ERK_cell,11,-0.016001355599348857
Int_MeanEdge_ERK_cell,12,0.22075032414847015
Int_MeanEdge_ERK_cell,13,0.30686570228291976
Int_MeanEdge_ERK_cell,14,0.21790006969475417
Int_MeanEdge_ERK_cell,15,0.3425942013283949
Int_MeanEdge_ERK_cell,16,0.7042592658861333
Int_MeanEdge_ERK_cell,17,0.8646797877461173
Int_MeanEdge_ERK_cell,18,1.0667043108973273
Int_MeanEdge_ERK_cell,19,0.6697438995742218
Int_Med_YAP_ring,0,-1.0008438743333306
Int_Med_YAP_ring,1,-0.7740746153713159
Int_Med_YAP_ring,2,-0.6693710132866293
Int_Med_YAP_ring,3,-0.5781578466384828
Int_Med_YAP_ring,4,-0.41363496730472465
Int_Med_YAP_ring,5,-0.35566884181388053
Int_Med_YAP_ring,6,-0.20772783950382068
Int_Med_YAP_ring,7,-0.27532640851008994
Int_Med_YAP_ring,8,-0.17289582475980542
Int_Med_YAP_ring,9,-0.003740470504607252
Int_Med_YAP_ring,10,0.16245982611968332
Int_Med_YAP_ring,11,0.04242063659753688
Int_Med_YAP_ring,12,0.22700037066345433
Int_Med_YAP_ring,13,0.22376441564681962
Int_Med_YAP_ring,14,0.39102312463988526
Int_Med_YAP_ring,15,0.47084453984827623
Int_Med_YAP_ring,16,0.7331710293665155
Int_Med_YAP_ring,17,1.0658321415082141
Int_Med_YAP_ring,18,1.004743242960915
Int_Med_YAP_ring,19,0.1311326109868871
Int_Med_YAP_cyto,0,-1.0008438743333306
Int_Med_YAP_cyto,1,-0.7740746153713159
Int_Med_YAP_cyto,2,-0.6693710132866293
Int_Med_YAP_cyto,3,-0.5781578466384828
Int_Med_YAP_cyto,4,-0.41363496730472465
Int_Med_YAP_cyto,5,-0.35566884181388053
Int_Med_YAP_cyto,6,-0.20772783950382068
Int_Med_YAP_cyto,7,-0.27532640851008994
Int_Med_YAP_cyto,8,-0.17289582475980542
Int_Med_YAP_cyto,9,-0.003740470504607252
Int_Med_YAP_cyto,10,0.16245982611968332
Int_Med_YAP_cyto,11,0.04242063659753688
Int_Med_YAP_cyto,12,0.22700037066345433
Int_Med_YAP_cyto,13,0.22376441564681962
Int_Med_YAP_cyto,14,0.39102312463988526
Int_Med_YAP_cyto,15,0.47084453984827623
Int_Med_YAP_cyto,16,0.7331710293665155
Int_Med_YAP_cyto,17,1.0658321415082141
Int_Med_YAP_cyto,18,1.004743242960915
Int_Med_YAP_cyto,19,0.1311326109868871
Int_Med_p38_cyto,0,-0.8255703774596107
Int_Med_p38_cyto,1,-0.7779280908728914
Int_Med_p38_cyto,2,-0.6888747573739984
Int_Med_p38_cyto,3,-0.5736070737252175
Int_Med_p38_cyto,4,-0.4587514665456543
Int_Med_p38_cyto,5,-0.303413843947396
Int_Med_p38_cyto,6,-0.17820402244394656
Int_Med_p38_cyto,7,-0.2848856584405504
Int_Med_p38_cyto,8,-0.1387208195187117
Int_Med_p38_cyto,9,0.06664233830912437
Int_Med_p38_cyto,10,-0.04029305988124182
Int_Med_p38_cyto,11,0.008923356015378338
Int_Med_p38_cyto,12,0.30027385682264707
Int_Med_p38_cyto,13,0.1817192374820936
Int_Med_p38_cyto,14,0.3879306286861936
Int_Med_p38_cyto,15,0.4316350016267482
Int_Med_p38_cyto,16,0.7552287157806779
Int_Med_p38_cyto,17,0.9404324440556486
Int_Med_p38_cyto,18,1.0747058747629117
Int_Med_p38_cyto,19,0.12365375839529734
Int_Med_p38_ring,0,-0.8255703774596107
Int_Med_p38_ring,1,-0.7779280908728914
Int_Med_p38_ring,2,-0.6888747573739984
Int_Med_p38_ring,3,-0.5736070737252175
Int_Med_p38_ring,4,-0.4587514665456543
Int_Med_p38_ring,5,-0.303413843947396
Int_Med_p38_ring,6,-0.17820402244394656
Int_Med_p38_ring,7,-0.2848856584405504
Int_Med_p38_ring,8,-0.1387208195187117
Int_Med_p38_ring,9,0.06664233830912437
Int_Med_p38_ring,10,-0.04029305988124182
Int_Med_p38_ring,11,0.008923356015378338
Int_Med_p38_ring,12,0.30027385682264707
Int_Med_p38_ring,13,0.1817192374820936
Int_Med_p38_ring,14,0.3879306286861936
Int_Med_p38_ring,15,0.4316350016267482
Int_Med_p38_ring,16,0.7552287157806779
Int_Med_p38_ring,17,0.9404324440556486
Int_Med_p38_ring,18,1.0747058747629117
Int_Med_p38_ring,19,0.12365375839529734
Int_Med_cycA_ring,0,-0.5153406775995661
Int_Med_cycA_ring,1,-0.5022919935761125
Int_Med_cycA_ring,2,-0.511120298209895
Int_Med_cycA_ring,3,-0.4001937440340715
Int_Med_cycA_ring,4,-0.4013748406404651
Int_Med_cycA_ring,5,-0.40238611329287377
Int_Med_cycA_ring,6,-0.31147279122537674
Int_Med_cycA_ring,7,-0.3061634137063048
Int_Med_cycA_ring,8,-0.2863660018547335
Int_Med_cycA_ring,9,-0.24775468860652436
Int_Med_cycA_ring,10,-0.06653857550354131
Int_Med_cycA_ring,11,-0.06967090963291755
Int_Med_cycA_ring,12,-0.02480864123903877
Int_Med_cycA_ring,13,0.2061413706990631
Int_Med_cycA_ring,14,0.04843344576871577
Int_Med_cycA_ring,15,0.38049227100654043
Int_Med_cycA_ring,16,0.6649240459171882
Int_Med_cycA_ring,17,0.9309440890663622
Int_Med_cycA_ring,18,1.5379221594087957
Int_Med_cycA_ring,19,0.27864447008143106
Int_Med_cycA_cyto,0,-0.5153406775995661
Int_Med_cycA_cyto,1,-0.5022919935761125
Int_Med_cycA_cyto,2,-0.511120298209895
Int_Med_cycA_cyto,3,-0.4001937440340715
Int_Med_cycA_cyto,4,-0.4013748406404651
Int_Med_cycA_cyto,5,-0.40238611329287377
Int_Med_cycA_cyto,6,-0.31147279122537674
Int_Med_cycA_cyto,7,-0.3061634137063048
Int_Med_cycA_cyto,8,-0.2863660018547335
Int_Med_cycA_cyto,9,-0.24775468860652436
Int_Med_cycA_cyto,10,-0.06653857550354131
Int_Med_cycA_cyto,11,-0.06967090963291755
Int_Med_cycA_cyto,12,-0.02480864123903877
Int_Med_cycA_cyto,13,0.2061413706990631
Int_Med_cycA_cyto,14,0.04843344576871577
Int_Med_cycA_cyto,15,0.38049227100654043
Int_Med_cycA_cyto,16,0.6649240459171882
Int_Med_cycA_cyto,17,0.9309440890663622
Int_Med_cycA_cyto,18,1.5379221594087957
Int_Med_cycA_cyto,19,0.27864447008143106
Int_Med_pCHK1_cyto,0,-0.557252920979388
Int_Med_pCHK1_cyto,1,-0.5675252213834365
Int_Med_pCHK1_cyto,2,-0.5424559209618216
Int_Med_pCHK1_cyto,3,-0.45926844526514116
Int_Med_pCHK1_cyto,4,-0.4285110166548513
Int_Med_pCHK1_cyto,5,-0.32012374076858996
Int_Med_pCHK1_cyto,6,-0.21349091859203764
Int_Med_pCHK1_cyto,7,-0.33836623220668116
Int_Med_pCHK1_cyto,8,-0.2171874886668041
Int_Med_pCHK1_cyto,9,-0.012119698941488583
Int_Med_pCHK1_cyto,10,-0.14320757523116492
Int_Med_pCHK1_cyto,11,-0.10816356176490227
Int_Med_pCHK1_cyto,12,0.03907511733272708
Int_Med_pCHK1_cyto,13,-0.11721931775159274
Int_Med_pCHK1_cyto,14,0.3575235791027172
Int_Med_pCHK1_cyto,15,0.3560866974136816
Int_Med_pCHK1_cyto,16,0.765015068658628
Int_Med_pCHK1_cyto,17,0.9736357549627308
Int_Med_pCHK1_cyto,18,1.005219186855665
Int_Med_pCHK1_cyto,19,0.5321931267749044
Int_Med_pCHK1_ring,0,-0.557252920979388
Int_Med_pCHK1_ring,1,-0.5675252213834365
Int_Med_pCHK1_ring,2,-0.5424559209618216
Int_Med_pCHK1_ring,3,-0.45926844526514116
Int_Med_pCHK1_ring,4,-0.4285110166548513
Int_Med_pCHK1_ring,5,-0.32012374076858996
Int_Med_pCHK1_ring,6,-0.21349091859203764
Int_Med_pCHK1_ring,7,-0.33836623220668116
Int_Med_pCHK1_ring,8,-0.2171874886668041
Int_Med_pCHK1_ring,9,-0.012119698941488583
Int_Med_pCHK1_ring,10,-0.14320757523116492
Int_Med_pCHK1_ring,11,-0.10816356176490227
Int_Med_pCHK1_ring,12,0.03907511733272708
Int_Med_pCHK1_ring,13,-0.11721931775159274
Int_Med_pCHK1_ring,14,0.3575235791027172
Int_Med_pCHK1_ring,15,0.3560866974136816
Int_Med_pCHK1_ring,16,0.765015068658628
Int_Med_pCHK1_ring,17,0.9736357549627308
Int_Med_pCHK1_ring,18,1.005219186855665
Int_Med_pCHK1_ring,19,0.5321931267749044
Int_Med_pH2AX_cell,0,-0.4650158422384961
Int_Med_pH2AX_cell,1,-0.4460359635585025
Int_Med_pH2AX_cell,2,-0.4889329395129426
Int_Med_pH2AX_cell,3,-0.3880853443002988
Int_Med_pH2AX_cell,4,-0.41698085072674734
Int_Med_pH2AX_cell,5,-0.3781171939935969
Int_Med_pH2AX_cell,6,-0.28673066850176854
Int_Med_pH2AX_cell,7,-0.29366444716959883
Int_Med_pH2AX_cell,8,-0.27415450208382497
Int_Med_pH2AX_cell,9,-0.18773430199169025
Int_Med_pH2AX_cell,10,-0.19645741689109877
Int_Med_pH2AX_cell,11,-0.09578453404781927
Int_Med_pH2AX_cell,12,-0.05795968715609561
Int_Med_pH2AX_cell,13,-0.08126111745562875
Int_Med_pH2AX_cell,14,0.06251496107029339
Int_Med_pH2AX_cell,15,0.18688980770060776
Int_Med_pH2AX_cell,16,0.5868694649044405
Int_Med_pH2AX_cell,17,1.111618635869034
Int_Med_pH2AX_cell,18,1.5448200191626893
Int_Med_pH2AX_cell,19,0.5683201831175462
