threshold,accuracy,precision,recall,f1
0.67,0.9586,0.9951515151515151,0.8017578125,0.8880475932936722
0.68,0.9558,0.9975216852540273,0.7861328125,0.8793009284543966
0.6900000000000001,0.952,0.9987277353689568,0.7666015625,0.8674033149171271
0.7000000000000001,0.9466,1.0,0.7392578125,0.8500842223469961
0.71,0.942,1.0,0.716796875,0.8350398179749715
0.72,0.9386,1.0,0.7001953125,0.8236645605973578
0.73,0.9342,1.0,0.6787109375,0.8086096567771961
0.74,0.9294,1.0,0.6552734375,0.791740412979351
0.75,0.924,1.0,0.62890625,0.7721822541966427
0.76,0.9194,1.0,0.6064453125,0.7550151975683891
0.77,0.9136,1.0,0.578125,0.7326732673267327
0.78,0.9088,1.0,0.5546875,0.7135678391959799
0.79,0.9054,1.0,0.5380859375,0.6996825396825397
0.8,0.8994,1.0,0.5087890625,0.6744336569579288
0.81,0.8932,1.0,0.478515625,0.6472919418758256
0.8200000000000001,0.8884,1.0,0.455078125,0.625503355704698
0.8300000000000001,0.883,1.0,0.4287109375,0.6001367053998633
0.84,0.8782,1.0,0.4052734375,0.5767894371091036
0.85,0.8712,1.0,0.37109375,0.5413105413105413
0.86,0.8658,1.0,0.3447265625,0.5127087872185911
0.87,0.8608,1.0,0.3203125,0.48520710059171596
0.88,0.8566,1.0,0.2998046875,0.4613072877535687
0.89,0.8514,1.0,0.2744140625,0.4306513409961686
0.9,0.8472,1.0,0.25390625,0.40498442367601245
0.91,0.843,1.0,0.2333984375,0.3784639746634996
0.92,0.8374,1.0,0.2060546875,0.3417004048582996
0.93,0.8318,1.0,0.1787109375,0.3032311516155758
0.9400000000000001,0.828,1.0,0.16015625,0.2760942760942761
0.9500000000000001,0.823,1.0,0.1357421875,0.23903697334479793
0.96,0.8204,1.0,0.123046875,0.21913043478260869
0.97,0.8186,1.0,0.1142578125,0.20508326029798424
0.98,0.8166,1.0,0.1044921875,0.1892130857648099
0.99,0.8146,1.0,0.0947265625,0.17305976806422838
1.0,0.812,1.0,0.08203125,0.15162454873646208
