snapshot,gas,load_shedding,nuclear,onshore wind
40,8047.356581977325,82094.09004070955,2400.0,14610.059179300892
41,8047.356581977325,91684.77617640665,2400.0,13832.007504616278
42,8047.356581977325,85734.61508656679,2400.0,14133.616565865626
43,8047.356581977325,68559.38966088681,2400.0,13530.93683022067
44,8047.356581977325,51531.10078624151,2400.0,12396.603932759703
45,8047.356581977325,45222.656383486916,2400.0,12985.16355037538
46,8047.356581977325,54003.96457527135,2400.0,12897.571172422015
47,8047.356581977325,69714.67900158161,2400.0,13310.665695172405
48,8047.356581977325,78118.42954042107,2400.0,13843.385399726194
49,8047.356581977325,72108.70688440077,2400.0,13742.361694223533
50,8047.356581977325,55162.35512232789,2400.0,12875.67842258561
51,8047.356581977325,38390.98826341194,2400.0,12551.61200248958
52,8047.356581977325,33947.62432845097,2400.0,12174.346375489542
53,8047.356581977325,43560.11427918543,2400.0,12375.23059440499
54,8047.356581977325,59128.06156779011,2400.0,13019.785849020353
55,8047.356581977325,67711.58110148562,2400.0,14224.748474735992
56,8047.356581977325,62242.67924785961,2400.0,13977.912293303592
57,8047.356581977325,45713.57032349258,2400.0,13205.13487379648
58,8198.866974871466,29988.307843395727,2400.0,12080.547621092392
59,8047.356581977325,27212.77452057419,2400.0,12167.804242734646
60,8047.356581977325,38174.610058488135,2400.0,12797.562359716541
61,8047.356581977325,54914.13280987003,2400.0,12795.986712803575
62,8047.356581977325,63651.47552119574,2400.0,13695.964414174861
63,8047.356581977325,58571.601792773516,2400.0,12942.76874343646
64,8047.356581977325,42971.12120655153,2400.0,12270.546245981364
65,8047.356581977325,29001.522479354833,2400.0,11527.749377955142
66,8047.356581977325,27232.837786329503,2400.0,11752.80733180655
67,8047.356581977325,39655.04867696945,2400.0,12795.324248663841
68,8047.356581977325,57194.39014554143,2400.0,13748.966422194513
69,8047.356581977325,66936.8258500975,2400.0,14125.496351910602
70,8047.356581977325,62409.59110513928,2400.0,13517.974183470624
71,8047.356581977325,47040.50600771785,2400.0,12569.792268598709
72,8047.356581977325,34378.77398566576,2400.0,11859.373068671897
73,8047.356581977325,34247.702873263464,2400.0,11975.078445877945
74,8047.356581977325,48143.01146210472,2400.0,12955.057630283985
75,8047.356581977325,66244.69079757963,2400.0,13564.506773321325
76,8047.356581977325,76532.97466014673,2400.0,13527.495565704625
77,8047.356581977325,71660.31275869953,2400.0,13997.97925409924
78,8047.356581977325,57079.85127957788,2400.0,12862.535120106339
79,8047.356581977325,44927.10902171265,2400.0,12269.453378688506
80,8047.356581977325,46218.73394570689,2400.0,12132.730754642143
81,8047.356581977325,61258.60703438161,2400.0,13129.320346561604
82,8047.356581977325,79673.31983107352,2400.0,14366.614935245192
83,8047.356581977325,89469.23397247137,2400.0,14436.861190328651
84,8047.356581977325,84492.72897729138,2400.0,13725.974154566446
85,8047.356581977325,70022.76686325738,2400.0,12897.528047008085
86,8047.356581977325,58358.86901548491,2400.0,13334.764971800447
87,8047.356581977325,60091.091136187475,2400.0,13526.353667412914
88,8047.356581977325,75184.9268624621,2400.0,14253.50743535917
89,8047.356581977325,93006.39933257282,2400.0,14973.740860520376
90,8047.356581977325,102445.86835581633,2400.0,14953.223500231174
91,8047.356581977325,96580.24073090457,2400.0,14098.217088949978
92,8047.356581977325,81533.29973250428,2400.0,14166.437219006155
93,8047.356581977325,70171.16084893889,2400.0,13885.129099154803
94,8047.356581977325,72144.50926657827,2400.0,13403.882058922174
95,8047.356581977325,86993.89014988732,2400.0,14812.988220044715
96,8047.356581977325,104562.72967939918,2400.0,14987.551529530403
97,8047.356581977325,112382.43774154161,2400.0,15328.982153386909
98,8047.356581977325,105013.26255072135,2400.0,15593.829526316898
99,8047.356581977325,89116.05464891011,2400.0,13777.82491399836
100,8047.356581977325,77422.2115160504,2400.0,14211.349273502039
101,8047.356581977325,79030.95108518525,2400.0,13959.028750073696
102,8047.356581977325,93732.28160171263,2400.0,14259.867436418303
103,8047.356581977325,110089.96939857844,2400.0,15681.126421302575
104,8047.356581977325,116282.80155418333,2400.0,15279.724625965233
105,8047.356581977325,107325.15656393902,2400.0,14575.86696341426
106,8047.356581977325,90196.40680262407,2400.0,14696.105217225435
107,8047.356581977325,77997.86410882806,2400.0,13693.483566011742
108,8047.356581977325,79121.77841962616,2400.0,13829.761406711492
109,8047.356581977325,93203.28748183452,2400.0,14454.812001634109
110,8047.356581977325,108557.77360204022,2400.0,14913.253544765816
111,8047.356581977325,113227.83127007268,2400.0,15191.603652644779
112,8047.356581977325,102941.25322044716,2400.0,14605.763225330707
113,8047.356581977325,84749.55091807112,2400.0,13876.340979527264
114,8047.356581977325,71780.60768044215,2400.0,13747.967212567783
115,8047.356581977325,72630.49892578025,2400.0,13487.962424432952
116,8047.356581977325,86446.12752356008,2400.0,14380.679351989578
117,8047.356581977325,100416.04674890694,2400.0,14641.780744786138
118,8047.356581977325,103416.38885185817,2400.0,15534.452714258005
119,8047.356581977325,92286.62579272325,2400.0,14282.954162181193
120,8047.356581977325,73313.92560010792,2400.0,13552.069781459386
121,8047.356581977325,60355.26714214074,2400.0,13440.090565759678
122,8047.356581977325,61384.470360575826,2400.0,13107.98020806434
123,8047.356581977325,74500.8972000403,2400.0,13190.072980498899
124,8047.356581977325,88346.94859877166,2400.0,14106.644453932391
125,8047.356581977325,90432.50504647472,2400.0,14237.587146515827
126,8047.356581977325,78045.03784864566,2400.0,14394.470601219513
127,8047.356581977325,59169.17608146283,2400.0,13523.165184206311
128,8047.356581977325,46450.07823729752,2400.0,12744.627375278109
129,8047.356581977325,48491.205977910155,2400.0,12371.07011123847
130,8047.356581977325,61710.69640865712,2400.0,13008.497872659977
131,8047.356581977325,75342.23691276553,2400.0,13395.713567829313
132,8047.356581977325,77001.80107667089,2400.0,14421.312955652502
133,8047.356581977325,64422.34825626743,2400.0,13944.505627996909
134,8047.356581977325,45982.66649796536,2400.0,12412.041924767469
135,8047.356581977325,34527.034775449865,2400.0,11940.644865260341
136,8047.356581977325,37514.27386688526,2400.0,12084.209418590885
137,8047.356581977325,51303.02246593595,2400.0,13512.361680426815
138,8047.356581977325,65624.25108423391,2400.0,12686.450338899365
139,8047.356581977325,67203.05317960402,2400.0,13915.253063775946
140,8047.356581977325,54836.81977847547,2400.0,12916.875117306856
141,8047.356581977325,37183.9436345564,2400.0,11817.63141626878
142,8282.423313167974,26734.16459760378,2400.0,11252.22510829053
143,8047.356581977325,31004.924568128852,2400.0,12256.231030819126
144,8047.356581977325,46827.063173170354,2400.0,12960.177964195494
145,8047.356581977325,61207.24862368971,2400.0,13297.062734467185
146,8047.356581977325,63175.345157471296,2400.0,13460.76870071103
147,8047.356581977325,51339.46068288886,2400.0,12924.191727448926
148,8047.356581977325,34618.61207062007,2400.0,12805.222423819912
149,8047.356581977325,26018.761987654423,2400.0,11636.965360962204
150,8728.021587389449,32444.593917054084,2400.0,10837.321420313558
151,8047.356581977325,48529.37968325933,2400.0,13474.11563876665
152,8047.356581977325,63805.13958078493,2400.0,13416.17597419072
153,8047.356581977325,66236.96224191773,2400.0,13650.02512066974
154,8047.356581977325,55385.22010289003,2400.0,12796.052409379861
155,8047.356581977325,39766.413294254584,2400.0,12562.171499964952
156,8047.356581977325,32195.988993342547,2400.0,12491.825218406006
157,8047.356581977325,39688.330026100724,2400.0,11786.831667358067
158,8047.356581977325,57677.083116905604,2400.0,13391.259527372611
159,8047.356581977325,72585.27080064408,2400.0,14063.222316064677
160,8047.356581977325,76249.72853708579,2400.0,13280.837248240587
161,8047.356581977325,64822.753519512946,2400.0,13274.215185313022
162,8047.356581977325,49544.5540528016,2400.0,13468.198832922875
163,8047.356581977325,43637.40060244331,2400.0,12916.559598820635
164,8047.356581977325,52115.43083123545,2400.0,12875.268593183526
165,8047.356581977325,70896.42070275992,2400.0,13423.098829109447
166,8047.356581977325,86369.84935895141,2400.0,13937.437910912891
167,8047.356581977325,88577.31318984012,2400.0,14160.361045310792
