snapshot,LoadShedding_Bus1,LoadShedding_Bus2,LoadShedding_Bus3,LoadShedding_Bus4,LoadShedding_Bus5,LoadShedding_Bus6,LoadShedding_Bus7,LoadShedding_Bus8,LoadShedding_Bus9,LoadShedding_Bus10,LoadShedding_Bus11,LoadShedding_Bus12,LoadShedding_Bus13,LoadShedding_Bus14,LoadShedding_Bus15,LoadShedding_Bus16,LoadShedding_Bus17,LoadShedding_Bus18,LoadShedding_Bus19,LoadShedding_Bus20
33,-0.0,-0.0,-0.0,-0.0,-0.0,7162.111267847627,7138.223385020977,1546.195415583247,6824.634915285581,6848.6702262754025,8023.68196992288,7720.566900915093,8404.817293023058,6736.428987836518,6901.256148404866,8060.8242061471565,5472.483501294714,6196.202332033871,5519.377175838312,1506.2907886763285
34,-0.0,-0.0,-0.0,-0.0,-0.0,3825.140589341285,3239.8900270453314,4699.588891520549,7490.674849928472,13584.594974704023,8898.610005454935,8433.637853876118,9223.75366213234,7388.555045907471,7635.371184735761,8781.892633215817,5985.532767069169,6623.048305489183,6083.220147968845,2214.5263790703293
35,-0.0,-0.0,-0.0,-0.0,-0.0,6662.5951176504,7246.199257122222,3087.5135904106214,3138.2556218950535,11243.842639888753,8495.95173330104,8146.3303553012,8837.027618120625,7127.254007148778,7292.683708409662,8436.318472867999,5805.357011188321,6435.130086458156,5880.45889992849,1789.035166616114
36,-0.0,-0.0,-0.0,-0.0,-0.0,2418.8175905619905,3340.866715054002,6370.603569524914,7364.780186238703,6251.857122864137,7228.483733592754,6902.065611771582,7609.735323694632,5754.769224577965,6154.907997315759,7131.675398071099,4905.862774148739,5330.351517114744,4902.509471300009,851.1232349370307
37,-0.0,-0.0,-0.0,-0.0,-0.0,1375.9349039044619,1692.3460290894395,4593.739205605541,1271.9952950562028,11291.543299974632,1543.488079555145,-0.0,15654.142035515459,-0.0,-0.0,5790.095005257803,3925.537147841279,14343.57440964213,3704.830570393602,-0.0
38,-0.0,-0.0,-0.0,-0.0,-0.0,2264.6258431239976,614.5734256014756,-0.0,7081.358454741452,8348.27335236712,-0.0,499.1102193207577,9778.553063836893,-0.0,14591.343780815316,-0.0,-0.0,6623.812371520747,-0.0,9386.595039891661
39,-0.0,-0.0,-0.0,-0.0,-0.0,1455.592863191185,5503.044066029627,2487.6138900128594,6009.758239444946,1433.5408905026848,-0.0,15820.391419254169,6187.0876563665115,-0.0,-0.0,15972.116493000687,3971.29583468176,-0.0,8453.8915670552,-0.0
40,-0.0,-0.0,-0.0,-0.0,-0.0,2440.040595160367,1841.1323957525767,6755.901469309007,8447.85011785217,6239.493462625124,7134.743246188901,6896.1034897770405,7510.47231729911,5645.9332721393275,6209.256510988543,7116.08206060451,4810.882479357389,5427.052711908956,4930.521995814717,688.6239159318142
41,-0.0,-0.0,-0.0,-0.0,-0.0,3127.2634768104444,2385.8936279116983,8237.172591758626,8447.93278343561,6731.542422989678,7846.148212225878,7586.068063012984,8267.940441935085,6432.8772388192665,6831.62257901567,7759.902798509161,5322.392470747499,5821.638977778029,5461.833858066867,1424.546633390158
42,-0.0,-0.0,-0.0,-0.0,-0.0,6524.001569188342,2073.906997493199,829.7297806445936,7561.519767640905,9918.7125308335,7454.907545916903,7145.254241846594,7831.639125708958,5988.098427869515,6434.985719814225,7380.978918012364,4974.003367044151,5559.706976976047,5162.157521885832,895.0125956916564
43,-0.0,-0.0,-0.0,-0.0,-0.0,1583.4044402826667,1041.8402162556044,5152.521924836694,4290.524637435323,9273.392378776196,2002.7350623805655,-0.0,11161.076681070579,-0.0,5303.703165673634,10041.422276287045,-0.0,14635.240770335613,-0.0,4073.5281075528865
44,-0.0,-0.0,-0.0,-0.0,-0.0,5930.715085159814,232.02535198396873,-0.0,1793.211327172766,-0.0,2678.4468046009088,4789.313966348032,15206.157010433553,-0.0,-0.0,5095.689763586132,-0.0,6920.2040599756,-0.0,8885.33741698074
45,-0.0,-0.0,-0.0,-0.0,-0.0,877.0584979866095,4956.563173900513,-0.0,2822.2605857333747,-0.0,8278.871940461255,-0.0,-0.0,2890.57329813714,13633.42050841364,-0.0,-0.0,333.81918368273307,11430.089195171655,-0.0
46,-0.0,-0.0,-0.0,-0.0,-0.0,5163.60533166672,310.7670195526764,5318.417379793424,716.6232865031933,-0.0,-0.0,13779.631707183837,-0.0,-0.0,14345.592726277737,-0.0,-0.0,2020.5734352556815,3442.245645942615,8906.508043095466
47,-0.0,-0.0,-0.0,-0.0,-0.0,5802.462600696578,1109.9499822405994,5397.796021395921,1641.502538140039,-0.0,13999.010448684783,-0.0,12543.154844855762,-0.0,-0.0,6169.535237748521,14067.008374966792,-0.0,-0.0,8984.258952852613
48,-0.0,-0.0,-0.0,-0.0,-0.0,5654.147291224913,6952.404231585722,3806.1156090098752,2122.293289702571,5969.124316562326,6803.133682088468,6726.804028986505,7173.499134358884,5277.732625112889,5944.444987890526,6714.99110666244,4498.558521568931,5253.316693572176,4722.336497965376,499.527524129476
49,-0.0,-0.0,-0.0,-0.0,-0.0,8966.888552540662,1247.3079734491034,126.24064137201117,3253.7827842744346,8854.02055866816,6380.099395867898,6212.213970288678,6727.548615632687,4879.05901382794,5559.1504876139525,6295.6256862367245,4222.194071712155,4955.922901823587,4400.044171681415,28.608059411364763
50,-0.0,-0.0,-0.0,-0.0,-0.0,1924.4663416351925,6509.066915505581,-0.0,836.1392472369856,-0.0,12725.399183497744,463.46180017604,-0.0,13061.052779187967,-0.0,-0.0,7071.763413439386,-0.0,12571.005441648995,-0.0
51,-0.0,-0.0,-0.0,-0.0,-0.0,86.54872142286412,4751.38186732284,-0.0,1251.8994555549637,5625.326515791216,-0.0,-0.0,3760.168035972354,-0.0,13245.761227635518,-0.0,-0.0,1608.1502659564158,-0.0,8061.75217375577
52,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1971.7685100367473,-0.0,4584.683346834357,-0.0,529.9512864536163,-0.0,8756.141367007256,-0.0,-0.0,8094.845234069411,-0.0,-0.0,10010.234584049578,-0.0
53,-0.0,-0.0,-0.0,-0.0,-0.0,7096.997059183168,-0.0,-0.0,345.95743804302447,-0.0,-0.0,14177.271066668482,818.0184065011313,-0.0,-0.0,4051.840575650308,12601.833524396327,-0.0,4468.196208742992,-0.0
54,-0.0,-0.0,-0.0,-0.0,-0.0,5005.6620322566205,500.03620144424224,2704.020687483715,1033.791832411051,-0.0,14456.82798248799,-0.0,963.5277165913806,13896.279126065747,-0.0,-0.0,13482.698096507083,4239.8708598233425,-0.0,2845.3470327189348
55,-0.0,-0.0,-0.0,-0.0,-0.0,8945.491395984172,953.5307789168794,95.32635654879005,1544.255604584873,-0.0,15618.750922129704,5965.040014647188,888.3085145054622,-0.0,15274.344160037062,-0.0,-0.0,14468.939488334405,3957.5938657970714,-0.0
56,-0.0,-0.0,-0.0,-0.0,-0.0,4079.519746628752,684.0154867665124,-0.0,4334.70114309383,10185.213150364189,5633.566042670033,5532.510324226206,5865.079678312067,4206.078666163554,-0.0,381.13085094675694,8087.974186821251,-0.0,3770.063617559477,9482.826354306982
57,-0.0,-0.0,-0.0,-0.0,-0.0,107.01777017521786,-0.0,1182.2457531605696,3306.5690706901673,9193.985023306972,3292.2900737127,-0.0,-0.0,13058.074091932263,3784.4384267756595,-0.0,403.90169157510445,-0.0,11385.048422163927,-0.0
58,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1627.6976968671493,-0.0,433.847431321852,13164.092010220018,-0.0,5108.913201396053,-0.0,-0.0,183.98667126039032,-0.0,1999.6626164959278,7470.108215834336
59,-0.0,-0.0,-0.0,-0.0,-0.0,601.4013184530883,606.6349502809177,-0.0,-0.0,6752.713040019624,-0.0,-0.0,3123.252989977959,-0.0,-0.0,12711.201899393222,-0.0,3417.5703224493777,-0.0,-0.0
60,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2661.0539198215074,-0.0,-0.0,-0.0,10315.993813374642,-0.0,-0.0,11703.569464974422,-0.0,-0.0,-0.0,12909.713931816048,584.2789285015149,-0.0
61,-0.0,-0.0,-0.0,-0.0,-0.0,7000.5132906868475,378.26419761688203,-0.0,795.4189633885899,8814.202747813815,5096.514778004841,283.1997370846326,-0.0,12826.440471096694,-0.0,-0.0,3362.6249571791673,3905.876204607557,12451.077462391004,-0.0
62,-0.0,-0.0,-0.0,-0.0,-0.0,7306.258120095247,834.6006125379101,-0.0,1293.6718894558285,10411.606456088144,-0.0,11366.003042886508,-0.0,10330.64533339188,548.3320644348705,-0.0,8169.540450170612,-0.0,3820.6234858214175,9570.194066313325
63,-0.0,-0.0,-0.0,-0.0,-0.0,4926.556340207625,2683.4997532220873,1500.1538433858768,924.192590494386,-0.0,8550.71392594552,-0.0,15524.206197721753,-0.0,-0.0,7357.038092426747,-0.0,4163.6547642932,12941.586285076322,-0.0
64,-0.0,-0.0,-0.0,-0.0,-0.0,69.03032360592147,2154.6175475473897,1367.3040874330252,-0.0,-0.0,12029.536681985248,-0.0,-0.0,10329.672653423913,-0.0,-0.0,12700.208032569557,-0.0,4320.751879986474,-0.0
65,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8393.760437062565,-0.0,6271.118892310335,-0.0,-0.0,2496.586185846371,-0.0,-0.0,11840.056964135563,-0.0,-0.0
66,-0.0,-0.0,-0.0,-0.0,-0.0,1180.0288190141252,-0.0,3411.238245635755,-0.0,-0.0,2455.015230580754,-0.0,-0.0,8624.7475115348,-0.0,-0.0,-0.0,11561.80797956407,-0.0,-0.0
67,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,871.501934345061,-0.0,-0.0,8743.702941581574,-0.0,-0.0,14158.733034246767,2102.0090107511714,-0.0,-0.0,-0.0,12914.361010061717,864.7407459831602,-0.0
68,-0.0,-0.0,-0.0,-0.0,-0.0,2021.0488599321382,3470.418631995968,-0.0,772.6341679755901,11337.763615604848,-0.0,9842.272872229278,-0.0,-0.0,13091.168604728884,-0.0,-0.0,13948.244037808498,2710.8393552662255,-0.0
69,-0.0,-0.0,-0.0,-0.0,-0.0,1317.7177512860662,1013.8669023394638,2023.1560825397935,8896.557868920449,-0.0,13615.632708885181,2078.917392443493,-0.0,9677.503296620393,-0.0,9949.466395408672,-0.0,14521.841446802331,-0.0,3842.166004851666
70,-0.0,-0.0,-0.0,-0.0,-0.0,1099.5038415005265,4438.859232860367,232.5984054775332,1102.5614037868688,12317.903234320715,-0.0,1087.451128291026,5938.247642546181,14284.238573566981,-0.0,10316.617808636978,-0.0,-0.0,11591.609834152105,-0.0
71,-0.0,-0.0,-0.0,-0.0,-0.0,2912.1911858641633,98.76338166233501,-0.0,1454.4694394792505,61.75601740061251,4435.431442270842,14253.05860768826,-0.0,-0.0,8697.346838550948,-0.0,-0.0,13406.84524996573,-0.0,1720.6438448357128
72,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4109.649582705261,-0.0,-0.0,3036.433137722861,-0.0,13859.04301496066,-0.0,-0.0,3093.887658668889,-0.0,-0.0,10279.760591608081,-0.0
73,-0.0,-0.0,-0.0,-0.0,-0.0,1900.1808426367231,-0.0,4526.008940050673,-0.0,3792.304096497907,-0.0,-0.0,600.6619564425341,2116.287731627471,12883.679359066477,-0.0,-0.0,-0.0,547.1814745976441,7881.398472344039
74,-0.0,-0.0,-0.0,-0.0,-0.0,1760.2579066218368,2960.8270649629912,-0.0,309.5615399994176,9716.55448390858,-0.0,6891.996942374776,-0.0,-0.0,13823.00491967597,-0.0,-0.0,880.4713463905896,3112.699704137275,8687.63755403328
75,-0.0,-0.0,-0.0,-0.0,-0.0,3882.7591135071593,4387.666630060904,5574.539670708311,1323.9898576232988,1319.9863480838428,-0.0,5780.291278299419,6379.598952196532,14608.590097957309,4775.669353676968,-0.0,-0.0,14330.83244247846,3880.7670529874254,-0.0
76,-0.0,-0.0,-0.0,-0.0,-0.0,4419.242622477484,6586.364793609795,437.30016751923847,6595.508883949206,5946.644035869986,6729.236717281551,6473.421069340675,7090.878371124519,5352.977263039408,5750.109731990016,6692.75121308469,4518.046670335415,4948.452769779916,4529.81055675041,462.2297939944281
77,-0.0,-0.0,-0.0,-0.0,-0.0,4216.115388554395,6486.060639699355,98.178701055423,1672.1605158739058,9912.61974231833,6373.3996481185,6053.486673506195,6633.582199043261,5002.700858970313,5407.020275561183,6256.2468425052675,4311.543908162314,4715.8519976635835,4332.231243722198,189.1141239452931
78,-0.0,-0.0,-0.0,-0.0,-0.0,843.9706755019326,5406.102059006977,4516.388167887358,1854.3403463877721,4916.1621030912565,270.41793261666373,-0.0,5589.279818605402,3800.2550913098235,14407.894930985221,-0.0,6165.07430713796,-0.0,-0.0,9309.965847047517
79,-0.0,-0.0,-0.0,-0.0,-0.0,3630.6988455737737,5199.915476507862,542.0735642724305,186.59704598307047,4250.252433592803,-0.0,-0.0,5924.060031248215,-0.0,13692.288931520165,-0.0,118.79755171759194,-0.0,11382.425141296735,-0.0
80,-0.0,-0.0,-0.0,-0.0,-0.0,5150.814661269622,60.32191170890251,-0.0,950.4820715505704,8069.539467969069,-0.0,-0.0,3359.070175570844,2954.134012850626,13684.215222507766,434.5898194356782,-0.0,-0.0,3028.0036125334273,8527.562990310382
81,-0.0,-0.0,-0.0,-0.0,-0.0,1070.7737216425214,5913.328667797205,-0.0,5100.3400093304435,-0.0,2515.911597449661,15332.0925082244,5938.5832265556855,-0.0,7851.070150288296,-0.0,-0.0,4144.5879921577925,13391.919160935602,-0.0
82,-0.0,-0.0,-0.0,-0.0,-0.0,2970.191631364748,8102.18814911699,635.2712317890935,7118.86677309548,6086.401617112637,6917.973349110028,6762.753991715281,7367.631578331602,5508.537848878627,6015.475172381401,6992.475660171005,4581.4016334486705,5220.688864832489,4872.929983717626,520.5323460078353
83,-0.0,-0.0,-0.0,-0.0,-0.0,2894.826044225456,8171.499672731622,4524.494486623062,2671.045203335996,9877.27372447729,7661.366268474235,7430.380366700283,8113.75225164155,6207.081017261793,6593.692180282051,7734.674428417557,5171.493927641963,5866.164202007553,5396.286337752115,1155.2038608988473
84,-0.0,-0.0,-0.0,-0.0,-0.0,6293.808682828055,8048.978213774332,881.4640727426533,4445.47809039906,6995.563108166662,7270.923177832136,7048.558486751861,7632.136205917537,5896.974467685483,6388.808753298066,7263.834795353102,4946.985459342603,5500.454309331264,5089.548654516067,789.2124993524959
85,-0.0,-0.0,-0.0,-0.0,-0.0,7426.706684460017,1286.96523148595,458.89966297855665,5990.425661246007,6837.2810918972555,6148.356142253704,5995.882002213622,6532.813442742969,4743.722302839925,5298.484369954578,6215.23408267081,4097.31556039074,4691.655928810408,4276.189697110823,22.835002202012546
86,-0.0,-0.0,-0.0,-0.0,-0.0,4846.277638756379,610.4344061034612,-0.0,4866.873858573789,-0.0,8221.822794621308,-0.0,15721.035348157076,-0.0,-0.0,11110.490397502801,-0.0,-0.0,3669.389186039074,9312.545385731019
87,-0.0,-0.0,-0.0,-0.0,-0.0,1157.0437424401603,8023.6416931611875,-0.0,1036.084912244548,-0.0,3775.3539712317443,15316.06473448546,4446.268419099985,-0.0,-0.0,15483.05452774428,1496.950600824387,-0.0,-0.0,9356.628534955718
88,-0.0,-0.0,-0.0,-0.0,-0.0,6026.910756173248,1362.2903458895807,327.7691158600924,7320.533142944688,8456.658694556525,6607.625334493131,6453.744805388655,6941.4916320012435,5155.915538670869,5714.282407667052,6535.470581795714,4352.916938193223,5060.528656702494,4621.141990279023,247.64692184656872
89,-0.0,-0.0,-0.0,-0.0,-0.0,8430.256719288025,6215.107775640645,1402.809892259368,2881.1918624813347,10249.326904425317,7924.095362970686,7769.680148639907,8322.216782910617,6547.011521833808,7004.702082451311,8045.379704808835,5364.361185198101,6019.812162983988,5527.142281700856,1303.304944980025
90,-0.0,-0.0,-0.0,-0.0,-0.0,7500.7706884738445,2881.9285194408076,6534.432028888385,6293.456888773398,9149.327803019356,8704.812803544432,8485.589022941067,8982.133035749921,7303.945039914825,7614.687033971726,8635.074722848209,5745.530883754222,6614.62920977035,6097.636606242618,1901.9140684831668
91,-0.0,-0.0,-0.0,-0.0,-0.0,10519.66156916703,2413.8170683911803,5323.9902801643175,3174.99325436009,8972.310073275547,8238.809372337364,8097.610052185432,8638.599597549752,6794.716827483628,7194.455448634583,8161.560748113837,5431.891604815295,6373.951643775261,5662.472733212245,1581.4004574390008
92,-0.0,-0.0,-0.0,-0.0,-0.0,9414.249981020288,4631.871222516406,780.1690294063255,2256.853269312084,8494.649068308958,7034.098886884679,6964.569092305511,7450.8748473337,5589.215417526207,6235.441505835074,7057.384465812481,4576.058284023024,5420.6067683471965,4930.005797369193,697.2520965031496
93,-0.0,-0.0,-0.0,-0.0,-0.0,8261.7843789932,1142.4770785742567,66.89957521860558,4223.317721713365,8171.70383073677,-0.0,12327.343949632985,-0.0,11311.389571893795,1569.3935238653905,-0.0,13213.978620364958,-0.0,-0.0,9882.87259794557
94,-0.0,-0.0,-0.0,-0.0,-0.0,8285.268490796227,1349.2811945857313,362.0018039074302,4224.320969641327,8299.120212384852,6300.8900353339395,6301.596358658433,6668.025695092864,4902.263746957615,5633.190474771702,6258.926201185571,4161.418149765245,4858.014551909473,4421.899957445666,118.29142414219984
95,-0.0,-0.0,-0.0,-0.0,-0.0,9534.460145790623,2716.905833184048,1068.7073201097817,2581.120272222265,11248.85828707835,7521.050027046083,7373.203080892642,7787.53179923757,6080.595326332302,6652.963527755812,7445.250694830421,5086.246434183027,5810.640213679157,5172.451909300171,913.9052782450581
