# mu_eV  p_excluded_IRAS  p_excluded_M33_X7
3.696913e-17 0.000000e+00 0.000000e+00
4.150405e-17 0.000000e+00 0.000000e+00
4.659526e-17 0.000000e+00 0.000000e+00
5.231099e-17 0.000000e+00 0.000000e+00
5.872787e-17 0.000000e+00 0.000000e+00
6.593188e-17 0.000000e+00 0.000000e+00
7.401960e-17 0.000000e+00 0.000000e+00
8.309942e-17 0.000000e+00 0.000000e+00
9.329304e-17 0.000000e+00 0.000000e+00
1.047371e-16 0.000000e+00 0.000000e+00
1.175850e-16 0.000000e+00 0.000000e+00
1.320088e-16 0.000000e+00 0.000000e+00
1.482021e-16 0.000000e+00 0.000000e+00
1.663817e-16 0.000000e+00 0.000000e+00
1.867914e-16 0.000000e+00 0.000000e+00
2.097046e-16 0.000000e+00 0.000000e+00
2.354286e-16 0.000000e+00 0.000000e+00
2.643081e-16 0.000000e+00 0.000000e+00
2.967302e-16 0.000000e+00 0.000000e+00
3.331295e-16 0.000000e+00 0.000000e+00
3.739937e-16 0.000000e+00 0.000000e+00
4.198707e-16 0.000000e+00 0.000000e+00
4.713753e-16 0.000000e+00 0.000000e+00
5.291979e-16 0.000000e+00 0.000000e+00
5.941134e-16 0.000000e+00 0.000000e+00
6.669920e-16 0.000000e+00 0.000000e+00
7.488104e-16 0.000000e+00 0.000000e+00
8.406653e-16 0.000000e+00 0.000000e+00
9.437878e-16 0.000000e+00 0.000000e+00
1.059560e-15 0.000000e+00 0.000000e+00
1.189534e-15 0.000000e+00 0.000000e+00
1.335452e-15 0.000000e+00 0.000000e+00
1.499268e-15 0.000000e+00 0.000000e+00
1.683180e-15 0.000000e+00 0.000000e+00
1.889652e-15 0.000000e+00 0.000000e+00
2.121452e-15 0.000000e+00 0.000000e+00
2.381686e-15 0.000000e+00 0.000000e+00
2.673842e-15 0.000000e+00 0.000000e+00
3.001836e-15 0.000000e+00 0.000000e+00
3.370064e-15 0.000000e+00 0.000000e+00
3.783463e-15 0.000000e+00 0.000000e+00
4.247572e-15 0.000000e+00 0.000000e+00
4.768612e-15 0.000000e+00 0.000000e+00
5.353567e-15 0.000000e+00 0.000000e+00
6.010277e-15 0.000000e+00 0.000000e+00
6.747544e-15 0.000000e+00 0.000000e+00
7.575250e-15 0.000000e+00 0.000000e+00
8.504489e-15 0.000000e+00 0.000000e+00
9.547716e-15 0.000000e+00 0.000000e+00
1.071891e-14 0.000000e+00 0.000000e+00
1.203378e-14 0.000000e+00 0.000000e+00
1.350994e-14 0.000000e+00 0.000000e+00
1.516717e-14 0.000000e+00 0.000000e+00
1.702769e-14 0.000000e+00 0.000000e+00
1.911644e-14 0.000000e+00 0.000000e+00
2.146141e-14 0.000000e+00 0.000000e+00
2.409404e-14 0.000000e+00 0.000000e+00
2.704960e-14 0.000000e+00 0.000000e+00
3.036771e-14 0.000000e+00 0.000000e+00
3.409285e-14 0.000000e+00 0.000000e+00
3.827494e-14 0.000000e+00 0.000000e+00
4.297005e-14 0.000000e+00 0.000000e+00
4.824109e-14 0.000000e+00 0.000000e+00
5.415871e-14 0.000000e+00 0.000000e+00
6.080224e-14 0.000000e+00 0.000000e+00
6.826072e-14 0.000000e+00 0.000000e+00
7.663411e-14 0.000000e+00 0.000000e+00
8.603464e-14 0.000000e+00 0.000000e+00
9.658832e-14 0.000000e+00 0.000000e+00
1.084366e-13 0.000000e+00 0.000000e+00
1.217383e-13 0.000000e+00 0.000000e+00
1.366716e-13 0.000000e+00 0.000000e+00
1.534368e-13 0.000000e+00 0.000000e+00
1.722586e-13 0.000000e+00 0.000000e+00
1.933892e-13 0.000000e+00 0.000000e+00
2.171118e-13 0.000000e+00 0.000000e+00
2.437444e-13 0.000000e+00 0.000000e+00
2.736440e-13 0.000000e+00 0.000000e+00
3.072113e-13 0.000000e+00 4.896627e-03
3.448962e-13 0.000000e+00 7.889010e-02
3.872039e-13 0.000000e+00 3.715996e-01
4.347013e-13 0.000000e+00 7.459195e-01
4.880252e-13 0.000000e+00 9.379761e-01
5.478901e-13 0.000000e+00 9.907508e-01
6.150986e-13 0.000000e+00 9.994559e-01
6.905514e-13 0.000000e+00 1.000000e+00
7.752597e-13 0.000000e+00 1.000000e+00
8.703591e-13 0.000000e+00 1.000000e+00
9.771242e-13 0.000000e+00 1.000000e+00
1.096986e-12 0.000000e+00 1.000000e+00
1.231551e-12 0.000000e+00 1.000000e+00
1.382622e-12 0.000000e+00 1.000000e+00
1.552225e-12 0.000000e+00 1.000000e+00
1.742633e-12 0.000000e+00 1.000000e+00
1.956398e-12 0.000000e+00 9.983678e-01
2.196385e-12 0.000000e+00 8.960827e-01
2.465811e-12 0.000000e+00 2.094668e-01
2.768287e-12 0.000000e+00 1.088139e-03
3.107866e-12 0.000000e+00 0.000000e+00
3.489101e-12 0.000000e+00 0.000000e+00
3.917101e-12 0.000000e+00 0.000000e+00
4.397604e-12 0.000000e+00 0.000000e+00
4.937048e-12 0.000000e+00 0.000000e+00
5.542665e-12 0.000000e+00 0.000000e+00
6.222571e-12 0.000000e+00 0.000000e+00
6.985880e-12 0.000000e+00 0.000000e+00
7.842822e-12 0.000000e+00 0.000000e+00
8.804884e-12 0.000000e+00 0.000000e+00
9.884959e-12 0.000000e+00 0.000000e+00
1.109752e-11 0.000000e+00 0.000000e+00
1.245883e-11 0.000000e+00 0.000000e+00
1.398713e-11 0.000000e+00 0.000000e+00
1.570290e-11 0.000000e+00 0.000000e+00
1.762914e-11 0.000000e+00 0.000000e+00
1.979167e-11 0.000000e+00 0.000000e+00
2.221947e-11 0.000000e+00 0.000000e+00
2.494508e-11 0.000000e+00 0.000000e+00
2.800504e-11 0.000000e+00 0.000000e+00
3.144035e-11 0.000000e+00 0.000000e+00
3.529707e-11 0.000000e+00 0.000000e+00
3.962689e-11 0.000000e+00 0.000000e+00
4.448783e-11 0.000000e+00 0.000000e+00
4.994505e-11 0.000000e+00 0.000000e+00
5.607170e-11 0.000000e+00 0.000000e+00
6.294989e-11 0.000000e+00 0.000000e+00
7.067181e-11 0.000000e+00 0.000000e+00
7.934097e-11 0.000000e+00 0.000000e+00
8.907355e-11 0.000000e+00 0.000000e+00
1.000000e-10 0.000000e+00 0.000000e+00
