re_tech,re_cf,lcoe_re,electricity_cost,electrolyzer_capex,electrolyzer_om,water_cost,infrastructure,ammonia_conversion,storage,port_handling,shipping,cracking,lcoh_production,total_delivered,hex_id,lat,lon,country,scenario
PV,0.7031,0.011546,0.5921,0.6318,0.2107,0.0266,0.0434,0.4599,0.0002,0.0453,0.6209,0.6559,1.5045,3.2867,hex_028,-27.148526095189425,12.957157973787204,Namibia,Optimistic (4%)
PV,0.7512,0.010806,0.5541,0.6318,0.2107,0.0271,0.0321,0.4588,0.0002,0.0453,0.6209,0.6559,1.4558,3.2369,hex_029,-20.803412561090543,12.603421029503629,Namibia,Optimistic (4%)
PV,0.6634,0.014438,0.7403,0.7232,0.2107,0.0318,0.0516,0.5391,0.0002,0.0453,0.6209,0.7117,1.7576,3.6749,hex_000,-19.71252741732844,21.42667018270944,Namibia,De-risked (6%)
PV,0.8468,0.011311,0.58,0.7232,0.2107,0.0308,0.0561,0.5344,0.0002,0.0453,0.6209,0.7117,1.6009,3.5134,hex_001,-23.73345872297537,24.54513625407894,Botswana,De-risked (6%)
PV,0.5817,0.016465,0.8443,0.7232,0.2107,0.0289,0.0091,0.5422,0.0002,0.0453,0.6209,0.7117,1.8163,3.7365,hex_002,-18.69682496106341,15.561555013934129,Namibia,De-risked (6%)
PV,0.7165,0.013368,0.6855,0.7232,0.2107,0.0324,0.0352,0.5375,0.0002,0.0453,0.6209,0.7117,1.687,3.6026,hex_003,-20.631583651287634,16.186435884488162,Namibia,De-risked (6%)
PV,0.7663,0.0125,0.6409,0.7232,0.2107,0.0318,0.0069,0.5362,0.0002,0.0453,0.6209,0.7117,1.6135,3.5278,hex_004,-27.86987182534821,17.57378135786131,Namibia,De-risked (6%)
PV,0.8086,0.011845,0.6074,0.7232,0.2107,0.0319,0.0424,0.5352,0.0002,0.0453,0.6209,0.7117,1.6156,3.5289,hex_005,-17.292531780358928,13.65259902718,Namibia,De-risked (6%)
PV,0.8211,0.011665,0.5981,0.7232,0.2107,0.0273,0.0201,0.535,0.0002,0.0453,0.6209,0.7117,1.5795,3.4926,hex_006,-19.866323576115764,12.818901074696605,Namibia,De-risked (6%)
PV,0.8293,0.011549,0.5922,0.7232,0.2107,0.0272,0.0362,0.5348,0.0002,0.0453,0.6209,0.7117,1.5895,3.5024,hex_007,-19.567228336676557,17.65986896716307,Namibia,De-risked (6%)
PV,0.7151,0.013394,0.6868,0.7232,0.2107,0.0331,0.0389,0.5376,0.0002,0.0453,0.6209,0.7117,1.6928,3.6084,hex_008,-27.46263640789345,14.176730886712376,Namibia,De-risked (6%)
PV,0.7038,0.01361,0.6979,0.7232,0.2107,0.0299,0.0487,0.5379,0.0002,0.0453,0.6209,0.7117,1.7104,3.6264,hex_009,-23.5953687452532,20.377395925555145,Botswana,De-risked (6%)
PV,0.8358,0.01146,0.5876,0.7232,0.2107,0.0291,0.0089,0.5347,0.0002,0.0453,0.6209,0.7117,1.5596,3.4723,hex_010,-24.550423709209024,17.12012686421263,Namibia,De-risked (6%)
PV,0.7309,0.013105,0.672,0.7232,0.2107,0.0304,0.0615,0.5371,0.0002,0.0453,0.6209,0.7117,1.6979,3.6131,hex_011,-17.878820133816777,22.657494744809725,Namibia,De-risked (6%)
PV,0.6224,0.015388,0.7891,0.7232,0.2107,0.0317,0.0216,0.5406,0.0002,0.0453,0.6209,0.7117,1.7763,3.6949,hex_012,-21.273618559032023,20.803711428031487,Namibia,De-risked (6%)
PV,0.6367,0.015044,0.7714,0.7232,0.2107,0.0334,0.0082,0.54,0.0002,0.0453,0.6209,0.7117,1.747,3.6651,hex_013,-19.12686064075004,15.373132979348576,Namibia,De-risked (6%)
PV,0.6581,0.014555,0.7463,0.7232,0.2107,0.0293,0.0381,0.5393,0.0002,0.0453,0.6209,0.7117,1.7476,3.665,hex_014,-23.67902961407203,22.651637219532816,Botswana,De-risked (6%)
PV,0.7997,0.011977,0.6141,0.7232,0.2107,0.033,0.0197,0.5354,0.0002,0.0453,0.6209,0.7117,1.6008,3.5144,hex_015,-26.27313533858268,22.266701004955227,Botswana,De-risked (6%)
PV,0.7642,0.012533,0.6426,0.7232,0.2107,0.0266,0.0577,0.5363,0.0002,0.0453,0.6209,0.7117,1.661,3.5753,hex_016,-22.344982555809985,16.42469730642244,Namibia,De-risked (6%)
PV,0.819,0.011694,0.5996,0.7232,0.2107,0.0307,0.049,0.535,0.0002,0.0453,0.6209,0.7117,1.6133,3.5265,hex_017,-28.23419292674989,15.036593455023418,South Africa,De-risked (6%)
PV,0.7073,0.013542,0.6944,0.7232,0.2107,0.0313,0.0292,0.5378,0.0002,0.0453,0.6209,0.7117,1.6889,3.6048,hex_018,-19.06842593608901,20.554937055649656,Namibia,De-risked (6%)
PV,0.7659,0.012506,0.6413,0.7232,0.2107,0.0271,0.0499,0.5362,0.0002,0.0453,0.6209,0.7117,1.6523,3.5666,hex_019,-21.420027210535224,12.956534770530338,Namibia,De-risked (6%)
PV,0.8126,0.011788,0.6044,0.7232,0.2107,0.0273,0.0231,0.5352,0.0002,0.0453,0.6209,0.7117,1.5889,3.5021,hex_020,-19.902947118975515,13.798714834651516,Namibia,De-risked (6%)
PV,0.7191,0.01332,0.683,0.7232,0.2107,0.03,0.0345,0.5375,0.0002,0.0453,0.6209,0.7117,1.6814,3.597,hex_021,-24.74568838244158,11.103071776514078,Namibia,De-risked (6%)
PV,0.7957,0.012038,0.6173,0.7232,0.2107,0.0333,0.0286,0.5355,0.0002,0.0453,0.6209,0.7117,1.6131,3.5267,hex_022,-17.35162370726116,22.016941285029937,Namibia,De-risked (6%)
PV,0.6838,0.014007,0.7182,0.7232,0.2107,0.0311,0.0569,0.5385,0.0002,0.0453,0.6209,0.7117,1.7402,3.6568,hex_023,-18.282546544133627,20.30791199228845,Namibia,De-risked (6%)
PV,0.7137,0.01342,0.6882,0.7232,0.2107,0.0332,0.0166,0.5376,0.0002,0.0453,0.6209,0.7117,1.6719,3.5876,hex_024,-19.659398035114855,20.87231530076869,Namibia,De-risked (6%)
PV,0.7118,0.013456,0.69,0.7232,0.2107,0.0324,0.0073,0.5377,0.0002,0.0453,0.6209,0.7117,1.6636,3.5793,hex_025,-26.66433550577639,21.93020643430755,Botswana,De-risked (6%)
PV,0.6304,0.015193,0.7791,0.7232,0.2107,0.0304,0.0279,0.5403,0.0002,0.0453,0.6209,0.7117,1.7713,3.6897,hex_026,-23.39934795527559,17.42482085753676,Namibia,De-risked (6%)
PV,0.7987,0.011992,0.6149,0.7232,0.2107,0.0321,0.0589,0.5355,0.0002,0.0453,0.6209,0.7117,1.6399,3.5535,hex_027,-28.47435481055325,18.962376743340517,Botswana,De-risked (6%)
PV,0.7031,0.013623,0.6986,0.7232,0.2107,0.0266,0.0525,0.5379,0.0002,0.0453,0.6209,0.7117,1.7116,3.6276,hex_028,-27.148526095189425,12.957157973787204,Namibia,De-risked (6%)
PV,0.7512,0.01275,0.6538,0.7232,0.2107,0.0271,0.0387,0.5366,0.0002,0.0453,0.6209,0.7117,1.6535,3.5682,hex_029,-20.803412561090543,12.603421029503629,Namibia,De-risked (6%)
PV,0.6634,0.01683,0.863,0.8206,0.2107,0.032,0.0615,0.6241,0.0002,0.0453,0.6209,0.7718,1.9878,4.0502,hex_000,-19.71252741732844,21.42667018270944,Namibia,Base (8%)
PV,0.8468,0.013185,0.6761,0.8206,0.2107,0.031,0.0669,0.6187,0.0002,0.0453,0.6209,0.7718,1.8054,3.8622,hex_001,-23.73345872297537,24.54513625407894,Botswana,Base (8%)
PV,0.5817,0.019194,0.9842,0.8206,0.2107,0.0291,0.0109,0.6277,0.0002,0.0453,0.6209,0.7718,2.0556,4.1215,hex_002,-18.69682496106341,15.561555013934129,Namibia,Base (8%)
PV,0.7165,0.015583,0.7991,0.8206,0.2107,0.0325,0.042,0.6223,0.0002,0.0453,0.6209,0.7718,1.905,3.9654,hex_003,-20.631583651287634,16.186435884488162,Namibia,Base (8%)
PV,0.7663,0.014571,0.7472,0.8206,0.2107,0.0319,0.0082,0.6207,0.0002,0.0453,0.6209,0.7718,1.8186,3.8776,hex_004,-27.86987182534821,17.57378135786131,Namibia,Base (8%)
PV,0.8086,0.013808,0.708,0.8206,0.2107,0.032,0.0505,0.6196,0.0002,0.0453,0.6209,0.7718,1.822,3.8798,hex_005,-17.292531780358928,13.65259902718,Namibia,Base (8%)
PV,0.8211,0.013598,0.6973,0.8206,0.2107,0.0273,0.0241,0.6193,0.0002,0.0453,0.6209,0.7718,1.78,3.8375,hex_006,-19.866323576115764,12.818901074696605,Namibia,Base (8%)
PV,0.8293,0.013463,0.6904,0.8206,0.2107,0.0272,0.0429,0.6191,0.0002,0.0453,0.6209,0.7718,1.7919,3.8492,hex_007,-19.567228336676557,17.65986896716307,Namibia,Base (8%)
PV,0.7151,0.015613,0.8006,0.8206,0.2107,0.0333,0.0462,0.6223,0.0002,0.0453,0.6209,0.7718,1.9114,3.972,hex_008,-27.46263640789345,14.176730886712376,Namibia,Base (8%)
PV,0.7038,0.015866,0.8135,0.8206,0.2107,0.0301,0.0581,0.6227,0.0002,0.0453,0.6209,0.7718,1.9331,3.994,hex_009,-23.5953687452532,20.377395925555145,Botswana,Base (8%)
PV,0.8358,0.013359,0.685,0.8206,0.2107,0.0293,0.0106,0.6189,0.0002,0.0453,0.6209,0.7718,1.7563,3.8134,hex_010,-24.550423709209024,17.12012686421263,Namibia,Base (8%)
PV,0.7309,0.015277,0.7834,0.8206,0.2107,0.0306,0.0735,0.6218,0.0002,0.0453,0.6209,0.7718,1.9188,3.9788,hex_011,-17.878820133816777,22.657494744809725,Namibia,Base (8%)
PV,0.6224,0.017939,0.9198,0.8206,0.2107,0.0319,0.026,0.6258,0.0002,0.0453,0.6209,0.7718,2.009,4.073,hex_012,-21.273618559032023,20.803711428031487,Namibia,Base (8%)
PV,0.6367,0.017538,0.8993,0.8206,0.2107,0.0336,0.0099,0.6252,0.0002,0.0453,0.6209,0.7718,1.9742,4.0376,hex_013,-19.12686064075004,15.373132979348576,Namibia,Base (8%)
PV,0.6581,0.016968,0.87,0.8206,0.2107,0.0294,0.0455,0.6243,0.0002,0.0453,0.6209,0.7718,1.9763,4.0389,hex_014,-23.67902961407203,22.651637219532816,Botswana,Base (8%)
PV,0.7997,0.013962,0.7159,0.8206,0.2107,0.0332,0.0234,0.6198,0.0002,0.0453,0.6209,0.7718,1.8039,3.8619,hex_015,-26.27313533858268,22.266701004955227,Botswana,Base (8%)
PV,0.7642,0.01461,0.7492,0.8206,0.2107,0.0266,0.069,0.6208,0.0002,0.0453,0.6209,0.7718,1.8762,3.9352,hex_016,-22.344982555809985,16.42469730642244,Namibia,Base (8%)
PV,0.819,0.013632,0.699,0.8206,0.2107,0.0309,0.0584,0.6193,0.0002,0.0453,0.6209,0.7718,1.8197,3.8772,hex_017,-28.23419292674989,15.036593455023418,South Africa,Base (8%)
PV,0.7073,0.015787,0.8095,0.8206,0.2107,0.0315,0.0351,0.6226,0.0002,0.0453,0.6209,0.7718,1.9075,3.9682,hex_018,-19.06842593608901,20.554937055649656,Namibia,Base (8%)
PV,0.7659,0.014579,0.7476,0.8206,0.2107,0.0271,0.0592,0.6207,0.0002,0.0453,0.6209,0.7718,1.8653,3.9242,hex_019,-21.420027210535224,12.956534770530338,Namibia,Base (8%)
PV,0.8126,0.013741,0.7046,0.8206,0.2107,0.0273,0.0277,0.6195,0.0002,0.0453,0.6209,0.7718,1.791,3.8488,hex_020,-19.902947118975515,13.798714834651516,Namibia,Base (8%)
PV,0.7191,0.015528,0.7962,0.8206,0.2107,0.0302,0.0411,0.6222,0.0002,0.0453,0.6209,0.7718,1.8989,3.9593,hex_021,-24.74568838244158,11.103071776514078,Namibia,Base (8%)
PV,0.7957,0.014033,0.7196,0.8206,0.2107,0.0334,0.0345,0.6199,0.0002,0.0453,0.6209,0.7718,1.8188,3.877,hex_022,-17.35162370726116,22.016941285029937,Namibia,Base (8%)
PV,0.6838,0.016329,0.8373,0.8206,0.2107,0.0313,0.0678,0.6234,0.0002,0.0453,0.6209,0.7718,1.9677,4.0293,hex_023,-18.282546544133627,20.30791199228845,Namibia,Base (8%)
PV,0.7137,0.015645,0.8022,0.8206,0.2107,0.0334,0.02,0.6223,0.0002,0.0453,0.6209,0.7718,1.8869,3.9475,hex_024,-19.659398035114855,20.87231530076869,Namibia,Base (8%)
PV,0.7118,0.015686,0.8043,0.8206,0.2107,0.0326,0.0088,0.6224,0.0002,0.0453,0.6209,0.7718,1.877,3.9377,hex_025,-26.66433550577639,21.93020643430755,Botswana,Base (8%)
PV,0.6304,0.017712,0.9082,0.8206,0.2107,0.0306,0.0333,0.6254,0.0002,0.0453,0.6209,0.7718,2.0034,4.0671,hex_026,-23.39934795527559,17.42482085753676,Namibia,Base (8%)
PV,0.7987,0.01398,0.7168,0.8206,0.2107,0.0323,0.0701,0.6198,0.0002,0.0453,0.6209,0.7718,1.8506,3.9087,hex_027,-28.47435481055325,18.962376743340517,Botswana,Base (8%)
PV,0.7031,0.015881,0.8144,0.8206,0.2107,0.0266,0.0625,0.6227,0.0002,0.0453,0.6209,0.7718,1.9348,3.9958,hex_028,-27.148526095189425,12.957157973787204,Namibia,Base (8%)
PV,0.7512,0.014863,0.7621,0.8206,0.2107,0.0272,0.0458,0.6212,0.0002,0.0453,0.6209,0.7718,1.8665,3.9259,hex_029,-20.803412561090543,12.603421029503629,Namibia,Base (8%)
PV,0.6634,0.022068,1.1316,1.0313,0.2107,0.0324,0.0831,0.8102,0.0003,0.0453,0.6209,0.903,2.4891,4.8688,hex_000,-19.71252741732844,21.42667018270944,Namibia,High-risk (12%)
PV,0.8468,0.017289,0.8865,1.0313,0.2107,0.0313,0.0905,0.803,0.0003,0.0453,0.6209,0.903,2.2503,4.6228,hex_001,-23.73345872297537,24.54513625407894,Botswana,High-risk (12%)
PV,0.5817,0.025168,1.2905,1.0313,0.2107,0.0295,0.0147,0.8148,0.0003,0.0453,0.6209,0.903,2.5768,4.9612,hex_002,-18.69682496106341,15.561555013934129,Namibia,High-risk (12%)
PV,0.7165,0.020433,1.0477,1.0313,0.2107,0.0329,0.0568,0.8077,0.0003,0.0453,0.6209,0.903,2.3795,4.7567,hex_003,-20.631583651287634,16.186435884488162,Namibia,High-risk (12%)
PV,0.7663,0.019106,0.9797,1.0313,0.2107,0.0323,0.011,0.8057,0.0003,0.0453,0.6209,0.903,2.265,4.6403,hex_004,-27.86987182534821,17.57378135786131,Namibia,High-risk (12%)
PV,0.8086,0.018105,0.9284,1.0313,0.2107,0.0323,0.0683,0.8042,0.0003,0.0453,0.6209,0.903,2.2711,4.6448,hex_005,-17.292531780358928,13.65259902718,Namibia,High-risk (12%)
PV,0.8211,0.01783,0.9143,1.0313,0.2107,0.0273,0.0327,0.8038,0.0003,0.0453,0.6209,0.903,2.2163,4.5896,hex_006,-19.866323576115764,12.818901074696605,Namibia,High-risk (12%)
PV,0.8293,0.017653,0.9052,1.0313,0.2107,0.0273,0.0578,0.8035,0.0003,0.0453,0.6209,0.903,2.2323,4.6053,hex_007,-19.567228336676557,17.65986896716307,Namibia,High-risk (12%)
PV,0.7151,0.020472,1.0498,1.0313,0.2107,0.0337,0.062,0.8078,0.0003,0.0453,0.6209,0.903,2.3875,4.7648,hex_008,-27.46263640789345,14.176730886712376,Namibia,High-risk (12%)
PV,0.7038,0.020803,1.0667,1.0313,0.2107,0.0304,0.0786,0.8083,0.0003,0.0453,0.6209,0.903,2.4178,4.7956,hex_009,-23.5953687452532,20.377395925555145,Botswana,High-risk (12%)
PV,0.8358,0.017517,0.8982,1.0313,0.2107,0.0296,0.0145,0.8033,0.0003,0.0453,0.6209,0.903,2.1843,4.5572,hex_010,-24.550423709209024,17.12012686421263,Namibia,High-risk (12%)
PV,0.7309,0.020031,1.0272,1.0313,0.2107,0.0309,0.0996,0.8071,0.0003,0.0453,0.6209,0.903,2.3997,4.7763,hex_011,-17.878820133816777,22.657494744809725,Namibia,High-risk (12%)
PV,0.6224,0.023521,1.2061,1.0313,0.2107,0.0323,0.0355,0.8123,0.0003,0.0453,0.6209,0.903,2.5159,4.8978,hex_012,-21.273618559032023,20.803711428031487,Namibia,High-risk (12%)
PV,0.6367,0.022995,1.1791,1.0313,0.2107,0.0341,0.0137,0.8115,0.0003,0.0453,0.6209,0.903,2.4689,4.85,hex_013,-19.12686064075004,15.373132979348576,Namibia,High-risk (12%)
PV,0.6581,0.022248,1.1408,1.0313,0.2107,0.0299,0.0616,0.8104,0.0003,0.0453,0.6209,0.903,2.4744,4.8543,hex_014,-23.67902961407203,22.651637219532816,Botswana,High-risk (12%)
PV,0.7997,0.018307,0.9387,1.0313,0.2107,0.0335,0.0314,0.8045,0.0003,0.0453,0.6209,0.903,2.2457,4.6197,hex_015,-26.27313533858268,22.266701004955227,Botswana,High-risk (12%)
PV,0.7642,0.019157,0.9823,1.0313,0.2107,0.0267,0.0936,0.8058,0.0003,0.0453,0.6209,0.903,2.3446,4.7199,hex_016,-22.344982555809985,16.42469730642244,Namibia,High-risk (12%)
PV,0.819,0.017875,0.9166,1.0313,0.2107,0.0312,0.0789,0.8039,0.0003,0.0453,0.6209,0.903,2.2687,4.642,hex_017,-28.23419292674989,15.036593455023418,South Africa,High-risk (12%)
PV,0.7073,0.0207,1.0614,1.0313,0.2107,0.0319,0.0479,0.8081,0.0003,0.0453,0.6209,0.903,2.3833,4.7609,hex_018,-19.06842593608901,20.554937055649656,Namibia,High-risk (12%)
PV,0.7659,0.019116,0.9802,1.0313,0.2107,0.0272,0.0795,0.8057,0.0003,0.0453,0.6209,0.903,2.3289,4.7041,hex_019,-21.420027210535224,12.956534770530338,Namibia,High-risk (12%)
PV,0.8126,0.018018,0.9239,1.0313,0.2107,0.0274,0.0377,0.8041,0.0003,0.0453,0.6209,0.903,2.2311,4.6046,hex_020,-19.902947118975515,13.798714834651516,Namibia,High-risk (12%)
PV,0.7191,0.02036,1.044,1.0313,0.2107,0.0305,0.0557,0.8076,0.0003,0.0453,0.6209,0.903,2.3723,4.7494,hex_021,-24.74568838244158,11.103071776514078,Namibia,High-risk (12%)
PV,0.7957,0.0184,0.9435,1.0313,0.2107,0.0338,0.0473,0.8047,0.0003,0.0453,0.6209,0.903,2.2666,4.6408,hex_022,-17.35162370726116,22.016941285029937,Namibia,High-risk (12%)
PV,0.6838,0.02141,1.0978,1.0313,0.2107,0.0317,0.0915,0.8092,0.0003,0.0453,0.6209,0.903,2.4631,4.8418,hex_023,-18.282546544133627,20.30791199228845,Namibia,High-risk (12%)
PV,0.7137,0.020514,1.0519,1.0313,0.2107,0.0337,0.0273,0.8078,0.0003,0.0453,0.6209,0.903,2.355,4.7323,hex_024,-19.659398035114855,20.87231530076869,Namibia,High-risk (12%)
PV,0.7118,0.020567,1.0546,1.0313,0.2107,0.0329,0.0121,0.8079,0.0003,0.0453,0.6209,0.903,2.3417,4.7192,hex_025,-26.66433550577639,21.93020643430755,Botswana,High-risk (12%)
PV,0.6304,0.023223,1.1908,1.0313,0.2107,0.0311,0.045,0.8119,0.0003,0.0453,0.6209,0.903,2.5089,4.8903,hex_026,-23.39934795527559,17.42482085753676,Namibia,High-risk (12%)
PV,0.7987,0.01833,0.9399,1.0313,0.2107,0.0326,0.0946,0.8046,0.0003,0.0453,0.6209,0.903,2.3092,4.6833,hex_027,-28.47435481055325,18.962376743340517,Botswana,High-risk (12%)
PV,0.7031,0.020824,1.0678,1.0313,0.2107,0.0266,0.0843,0.8083,0.0003,0.0453,0.6209,0.903,2.4208,4.7986,hex_028,-27.148526095189425,12.957157973787204,Namibia,High-risk (12%)
PV,0.7512,0.019488,0.9993,1.0313,0.2107,0.0272,0.0615,0.8063,0.0003,0.0453,0.6209,0.903,2.33,4.7058,hex_029,-20.803412561090543,12.603421029503629,Namibia,High-risk (12%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_000,-19.71252741732844,21.42667018270944,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_001,-23.73345872297537,24.54513625407894,Botswana,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_002,-18.69682496106341,15.561555013934129,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_003,-20.631583651287634,16.186435884488162,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_004,-27.86987182534821,17.57378135786131,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_005,-17.292531780358928,13.65259902718,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_006,-19.866323576115764,12.818901074696605,Namibia,EU baseline (4%)
Wind,0.0,0.047952,2.4588,0.7371,0.2458,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,3.4605,3.4605,hex_007,-19.567228336676557,17.65986896716307,Namibia,EU baseline (4%)
