,phase,annotated_age,state,batch,pseudotime_dynamic
60,S,18.93333333,cycling,1,0.3511277305561519
61,G1,2.666666667,cycling,1,0.14356555942061153
62,G1,1.333333333,cycling,1,0.11998595503801798
63,G1,4.266666667,cycling,1,0.12579718064543288
64,G1,1.8666666669999998,cycling,1,0.05170116587942695
65,S,8.266666667,cycling,1,0.3466116416618231
66,G1,5.8666666670000005,cycling,1,0.13913478859954612
67,G0,8.266666667,arrested,1,0.12557449797364875
68,S,5.333333333,cycling,1,0.2542792579770439
69,G1,3.4666666669999997,unassigned,1,0.1442348753002893
70,G1,5.333333333,cycling,1,0.1300465808408194
71,G1,5.066666667,cycling,1,0.17163537648696778
72,G1,3.2,unassigned,1,0.09480985733089985
73,G1,2.133333333,cycling,1,0.09526048938948656
74,G1,2.933333333,cycling,1,0.1172189397381717
75,G1,2.4,cycling,1,0.1364139701731297
76,S,5.8666666670000005,cycling,1,0.17624853109506966
77,G2,12.53333333,cycling,1,0.5434015782593741
78,G2,15.2,cycling,1,0.4866731518971588
79,S,5.066666667,cycling,1,0.10658384788181141
80,S,5.6,cycling,1,0.23987911833983708
81,S,10.93333333,cycling,1,0.2987699556509887
82,S,6.4,cycling,1,0.1843220689269918
83,S,7.733333332999999,cycling,1,0.21533243068134414
84,G1,4.8,cycling,1,0.1331089780328079
85,G1,1.6,cycling,1,0.09540145654723987
86,S,4.8,cycling,1,0.21236614094701783
87,G0,4.533333333,arrested,1,0.2206789472360968
88,G2,17.86666667,cycling,1,0.3659083489686086
89,G2,14.13333333,cycling,1,0.22837760722279735
90,S,9.333333332999999,cycling,1,0.22661027679896797
91,G1,4.266666667,cycling,1,0.12856462204761002
92,S,6.1333333329999995,cycling,1,0.21309128040027422
93,G1,4.533333333,cycling,1,0.09997803393739575
94,G2,16.26666667,cycling,1,0.37202861100581125
95,S,4.533333333,cycling,1,0.17050247996343418
96,S,5.8666666670000005,cycling,1,0.17329228642670425
97,S,5.333333333,cycling,1,0.16851963819444563
98,S,13.6,cycling,1,0.23851722757647362
99,S,9.866666667,cycling,1,0.20921991461443964
100,S,9.6,cycling,1,0.24279357043352762
101,G1,5.333333333,cycling,1,0.08779503495053279
102,S,6.4,cycling,1,0.22600019844315067
103,G0,1.6,arrested,1,0.13067837909402238
104,G1,1.8666666669999998,cycling,1,0.0959813895409178
105,G1,0.0,cycling,1,0.07187759595150356
106,G2,15.46666667,cycling,1,0.36991366993713554
107,S,20.0,cycling,1,0.2705045973899065
108,G1,2.4,cycling,1,0.12814252358582048
109,G1,4.266666667,cycling,1,0.11855496368504476
110,G0,5.8666666670000005,arrested,1,0.20676923841638847
111,G1,5.066666667,cycling,1,0.15425876680107184
112,G1,3.4666666669999997,cycling,1,0.1349076589855631
113,G1,0.0,cycling,1,0.08153829364331303
114,G0,3.2,arrested,1,0.16403273143505345
115,G2,16.53333333,cycling,1,0.43687612891283967
116,S,7.2,cycling,1,0.2239656308075975
117,S,6.666666667,cycling,1,0.23529299584011953
118,S,5.333333333,cycling,1,0.17522098176830753
119,G1,5.066666667,cycling,1,0.10473823816522775
120,S,9.866666667,cycling,1,0.22178653803884307
121,G2,13.86666667,cycling,1,0.4512658696050859
122,G1,3.4666666669999997,cycling,1,0.12080529053801937
123,G2,15.46666667,cycling,1,0.3887107702193595
124,S,5.333333333,cycling,1,0.1723827539595748
125,G1,1.6,cycling,1,0.08745576037426776
126,G0,3.2,arrested,1,0.25736293404606053
127,G1,1.333333333,unassigned,1,0.09820773322790113
128,G1,2.666666667,cycling,1,0.12735452469071254
129,G1,3.2,cycling,1,0.06280688097605071
130,G0,2.4,arrested,1,0.13883754823095346
131,G1,0.533333333,cycling,1,0.12156672373509485
132,G1,2.933333333,cycling,1,0.08639131444789477
133,G1,2.133333333,cycling,1,0.09816331424367271
134,G1,5.8666666670000005,cycling,1,0.13087005748051347
135,S,7.466666667,cycling,1,0.21906153211714538
136,G1,2.4,cycling,1,0.1084240262690384
137,G1,0.533333333,cycling,1,0.13330551115434777
138,S,10.66666667,cycling,1,0.34551413764396527
139,S,10.93333333,cycling,1,0.24043449149081783
140,S,5.8666666670000005,cycling,1,0.20305218480612539
141,S,8.0,cycling,1,0.3448910215036655
142,G2,17.33333333,cycling,1,0.7342078282271436
143,G1,5.066666667,cycling,1,0.1315531054897652
144,G2,17.86666667,cycling,1,0.5421153093118921
145,G0,0.8,arrested,1,0.051147549226762394
146,S,11.2,cycling,1,0.24877282948621576
147,G0,5.8666666670000005,arrested,1,0.2537689967173269
148,G1,1.8666666669999998,unassigned,1,0.1159337531512283
149,G1,4.8,cycling,1,0.12325182623241983
150,S,6.4,cycling,1,0.25956049297489686
151,G0,2.4,arrested,1,0.12134372699190973
152,S,6.666666667,cycling,1,0.2684083595726872
153,G1,0.0,cycling,1,0.19167334924589172
154,G2,16.8,unassigned,1,0.35403782480173474
155,G0,0.8,arrested,1,0.06753093971737144
156,G1,4.266666667,unassigned,1,0.08280685764534601
157,G1,1.066666667,cycling,1,0.09877476870026508
158,S,9.066666667,cycling,1,0.26102021792443386
159,G2,15.2,cycling,1,0.4852187341051326
160,G0,1.8666666669999998,arrested,1,0.09155982677549288
161,S,8.533333333,cycling,1,0.2013580585309757
162,G0,1.333333333,arrested,1,0.05310532354829413
163,G1,1.333333333,cycling,1,0.07810750872699655
164,S,6.1333333329999995,cycling,1,0.24843407253330235
165,G1,0.0,cycling,1,0.2229486926585496
166,G0,0.533333333,arrested,1,0.17373479097241284
167,S,18.93333333,cycling,1,0.18817124459267193
168,G1,1.066666667,unassigned,1,0.17664955201799018
169,G1,3.733333333,unassigned,1,0.153214350109035
170,S,8.266666667,cycling,1,0.18114244825015802
171,S,9.866666667,cycling,1,0.23806441852827925
172,G1,0.0,cycling,1,0.1662182734697371
173,G1,0.26666666699999997,cycling,1,0.12096738540353182
174,G1,4.266666667,cycling,1,0.11306086557490543
175,S,6.666666667,cycling,1,0.16764957810187525
176,S,5.6,cycling,1,0.16672868051662434
177,G0,1.333333333,arrested,1,0.06178587124760714
178,S,8.0,cycling,1,0.1681011536522579
179,S,18.13333333,cycling,1,0.3225418275124515
180,G0,1.066666667,arrested,1,0.12949327038227793
181,G1,0.0,cycling,1,0.11843385974844349
182,G1,2.4,unassigned,1,0.035757155922033886
183,G1,0.26666666699999997,cycling,1,0.10381992694497973
184,G2,15.73333333,cycling,1,0.24858605405491446
185,G1,14.93333333,cycling,1,0.17755387054972785
186,G0,0.533333333,arrested,1,0.28289413098310745
187,G1,4.0,unassigned,1,0.07558073797966063
188,G1,6.1333333329999995,cycling,1,0.18230762786785132
189,G1,3.2,unassigned,1,0.06437774429797952
190,G0,1.066666667,arrested,1,0.10005155278772664
191,S,10.93333333,cycling,1,0.21487115322881253
192,G1,3.2,cycling,1,0.10768647430162148
193,S,7.466666667,cycling,1,0.19399341861261254
194,S,13.33333333,cycling,1,0.3080935689268958
195,G1,4.266666667,cycling,1,0.09829560005176767
196,S,6.666666667,cycling,1,0.17221548584359367
197,G2,15.73333333,cycling,1,0.5189657632167651
198,S,14.13333333,unassigned,1,0.26945129727364403
199,G1,5.6,cycling,1,0.21097040458258132
200,S,6.666666667,cycling,1,0.11615925490907343
201,S,8.266666667,unassigned,1,0.1429486193131604
202,G1,5.8666666670000005,cycling,1,0.15015063465134257
203,G0,3.2,arrested,1,0.11686000159594946
204,S,12.0,cycling,1,0.2682758718183252
205,G2,14.93333333,cycling,1,0.44066076708572566
206,S,9.866666667,cycling,1,0.23426554483210554
207,S,5.6,cycling,1,0.2125553645503466
208,S,6.666666667,cycling,1,0.19102328431419888
209,G1,6.666666667,cycling,1,0.09159922565022009
210,G1,5.8666666670000005,cycling,1,0.14576224463510984
211,S,9.066666667,cycling,1,0.2719525092639711
212,G1,0.26666666699999997,cycling,1,0.07512834147963342
213,G1,3.733333333,cycling,1,0.11478422679054198
214,G1,2.4,cycling,1,0.11617131703440287
215,S,4.533333333,unassigned,1,0.15248006317522625
216,G2,17.33333333,cycling,1,0.7158092359061332
217,G2,13.6,cycling,1,0.3945892799381901
218,G1,2.933333333,cycling,1,0.08048423398694106
219,G1,0.8,unassigned,1,0.1477562155217276
220,G2,16.26666667,cycling,1,0.4200638763389009
221,G2,18.66666667,cycling,1,0.4633683148509586
222,G0,2.666666667,arrested,1,0.19184177032032837
223,S,8.266666667,cycling,1,0.28549508610338364
224,S,7.466666667,cycling,1,0.20933852927691635
225,S,9.066666667,cycling,1,0.20847044994027106
226,S,7.733333332999999,cycling,1,0.17047814801360833
227,S,10.93333333,cycling,1,0.21374629211066898
228,G2,14.13333333,unassigned,1,0.3448135129380903
229,S,10.93333333,cycling,1,0.2391413823885554
230,G2,16.26666667,cycling,1,0.4280241279645943
231,S,7.2,cycling,1,0.1794428282605919
232,G2,16.53333333,cycling,1,0.4635343361684786
233,G1,0.26666666699999997,cycling,1,0.06326401229157991
234,G0,6.666666667,arrested,1,0.14772324024614422
235,S,5.8666666670000005,cycling,1,0.13796221343305934
236,G0,0.8,arrested,1,0.13028799802225666
237,G2,16.53333333,unassigned,1,0.3085858708508722
238,G1,3.733333333,cycling,1,0.13010745297601395
239,G2,16.26666667,cycling,1,0.5445301753606324
240,G1,3.2,cycling,1,0.14000042850375094
241,S,6.933333332999999,cycling,1,0.17291668054309156
242,S,5.6,cycling,1,0.27005710601327326
243,G2,12.53333333,cycling,1,0.49006855306439656
244,S,9.6,cycling,1,0.34590804835482786
245,G0,2.133333333,arrested,1,0.0912604797761456
246,S,6.933333332999999,cycling,1,0.24249456781144435
247,G1,6.4,cycling,1,0.21855687183377498
248,G2,15.73333333,cycling,1,0.32219778038383873
249,G1,1.066666667,cycling,1,0.20650606605918784
250,G2,20.0,cycling,1,0.4911055780094857
251,G1,3.733333333,cycling,1,0.11044170297832662
252,S,6.666666667,cycling,1,0.20466834740291923
253,S,6.4,cycling,1,0.28204141655968373
254,S,21.6,cycling,1,0.36167820388812366
255,G1,2.4,cycling,1,0.11241214975049162
256,G0,1.066666667,arrested,1,0.12240876662700456
257,S,9.066666667,cycling,1,0.23982912373154067
258,G1,1.066666667,unassigned,1,0.13068316680929631
259,G1,4.533333333,cycling,1,0.11838010008759328
260,S,12.53333333,cycling,1,0.2206332087154621
261,G1,1.8666666669999998,cycling,1,0.138854621226335
262,S,18.93333333,cycling,1,0.2949215905057835
263,G1,2.4,cycling,1,0.07806937903058299
264,G2,16.8,cycling,1,0.4583797018236523
265,G2,16.26666667,cycling,1,0.28996971192582904
266,G1,3.733333333,cycling,1,0.1289262148912721
267,G0,18.93333333,arrested,1,0.2115156685751641
268,S,8.8,cycling,1,0.300306181490882
269,G1,3.733333333,unassigned,1,0.15110785228781393
270,S,6.1333333329999995,cycling,1,0.21612518171787157
271,G1,3.2,cycling,1,0.17017565741681887
272,S,9.066666667,cycling,1,0.27402944910423294
273,G2,13.33333333,cycling,1,0.5102162116579173
274,G1,2.4,unassigned,1,0.12892356845049796
275,G0,1.066666667,arrested,1,0.12379441731343756
276,S,7.2,cycling,1,0.19933824288455745
277,S,6.933333332999999,cycling,1,0.15859510644679287
278,G2,12.53333333,cycling,1,0.37082627742647856
279,G1,0.533333333,cycling,1,0.12240446547518266
280,S,10.93333333,cycling,1,0.2757413897323267
281,G1,0.533333333,cycling,1,0.09694318947557182
282,G0,5.8666666670000005,arrested,1,0.20331727709013134
283,G1,2.4,cycling,1,0.1436091357465578
284,S,8.8,cycling,1,0.2712744729989671
285,G2,17.33333333,cycling,1,0.31821823190144616
286,G1,1.333333333,cycling,1,0.08208247357227132
287,G1,1.6,cycling,1,0.0904783036297642
288,S,8.266666667,cycling,1,0.17399624221582677
289,S,11.73333333,cycling,1,0.33963049293651065
290,S,10.13333333,cycling,1,0.39828776278986805
291,G0,2.133333333,arrested,1,0.16767104751814743
292,S,5.8666666670000005,cycling,1,0.19404503069339235
293,S,9.6,cycling,1,0.259003633398975
294,G1,1.333333333,cycling,1,0.11289782813944353
295,S,5.8666666670000005,cycling,1,0.2787193332263616
296,G1,1.6,cycling,1,0.08440205431365327
297,G1,4.533333333,cycling,1,0.1307410856571149
298,G1,5.6,cycling,1,0.17589536036706271
299,S,15.2,cycling,1,0.28986097578396136
300,G1,2.4,unassigned,1,0.12372017953940814
301,G1,4.533333333,cycling,1,0.09227467441442123
302,G2,12.8,cycling,1,0.3782189778969252
303,G1,1.333333333,cycling,1,0.073599735125111
304,G1,1.8666666669999998,cycling,1,0.09459338597183632
305,S,8.266666667,cycling,1,0.23634261835108336
306,G0,3.4666666669999997,arrested,1,0.15698302571069633
307,G1,6.666666667,cycling,1,0.11603703447982211
308,G0,1.066666667,arrested,1,0.18203836321760591
309,S,5.6,cycling,1,0.16202914636907687
310,G2,17.33333333,cycling,1,0.2873624380295911
311,G0,2.4,arrested,1,0.10470536114909444
312,S,15.2,cycling,1,0.3167179989902019
313,G0,0.8,arrested,1,0.11002573906603777
314,G1,5.8666666670000005,cycling,1,0.12588273514247753
315,S,14.13333333,cycling,1,0.22856879184039683
316,S,8.533333333,cycling,1,0.19734378529204294
317,G1,2.4,cycling,1,0.13385752318557714
318,G1,2.933333333,cycling,1,0.13174838946343653
319,S,10.93333333,cycling,1,0.29137842315237417
320,S,7.733333332999999,cycling,1,0.22871792951024927
321,G1,4.8,cycling,1,0.10755903260307105
322,G1,4.533333333,cycling,1,0.18198884464319834
323,S,14.93333333,cycling,1,0.3122427140055046
324,S,8.8,cycling,1,0.2168720550247894
325,G0,3.4666666669999997,arrested,1,0.1149528010911233
326,G1,2.133333333,cycling,1,0.10089650189094544
327,G1,2.4,cycling,1,0.139541841912351
328,G0,1.066666667,arrested,1,0.12460123849063438
329,G1,1.6,cycling,1,0.089200725409841
330,G2,16.26666667,cycling,1,0.3621014657875611
331,G1,4.533333333,cycling,1,0.05017587773147527
332,S,7.733333332999999,cycling,1,0.16026956317430072
333,S,6.666666667,cycling,1,0.174194272369856
334,G1,2.4,unassigned,1,0.11174977456635331
335,S,17.06666667,cycling,1,0.30140276206394956
336,G1,2.133333333,cycling,1,0.08392548773175693
337,G2,20.0,cycling,1,0.28719497059292154
338,G1,1.066666667,cycling,1,0.07259249614141525
339,G2,15.46666667,cycling,1,0.4210946356886428
340,S,10.93333333,cycling,1,0.22649879124016487
341,G1,3.2,cycling,1,0.10889398243276492
342,S,13.06666667,cycling,1,0.4029144913239602
343,S,16.8,cycling,1,0.32422548383475785
344,G0,1.333333333,arrested,1,0.11959836243327332
345,S,10.13333333,cycling,1,0.2626074822807544
346,S,8.266666667,cycling,1,0.18749061715989288
347,G2,15.2,cycling,1,0.24668883415427537
348,G1,1.8666666669999998,cycling,1,0.07817950449880189
349,G1,2.666666667,cycling,1,0.12483947430365556
350,G0,1.066666667,arrested,1,0.09051359508241048
351,G0,1.6,arrested,1,0.05114262290366025
352,G2,14.66666667,cycling,1,0.2237479101408387
353,G2,16.8,cycling,1,0.3490889846854897
354,S,9.6,cycling,1,0.20097142050688813
355,G2,18.66666667,cycling,1,0.3774181653806689
356,G1,1.6,cycling,1,0.07186766108226512
357,G1,2.4,cycling,1,0.10697938608998099
358,G1,1.066666667,cycling,1,0.06799917417903409
359,G0,6.933333332999999,arrested,1,0.3405175283256911
360,G1,5.066666667,cycling,1,0.08906409908897209
361,G2,14.66666667,cycling,1,0.25341547996970165
362,S,11.46666667,cycling,1,0.1930232937156002
363,G1,4.8,cycling,1,0.16460560836358729
364,S,11.73333333,cycling,1,0.23425915010366663
365,S,8.8,cycling,1,0.1713910604152539
366,S,8.266666667,cycling,1,0.1422482871171481
367,G2,18.13333333,cycling,1,0.3490205520000248
368,G1,6.933333332999999,cycling,1,0.13217069705404325
369,G2,15.73333333,cycling,1,0.24436281019494233
370,S,10.4,cycling,1,0.2576562285911419
371,S,14.4,cycling,1,0.24715727940090335
372,G2,14.13333333,cycling,1,0.223917383874136
373,G2,15.2,cycling,1,0.2780423325318772
374,S,11.46666667,cycling,1,0.2738779491064018
375,G2,18.4,cycling,1,0.3609890076611059
376,G0,2.133333333,arrested,1,0.12160930107613298
377,G0,1.6,arrested,1,0.13553456977041606
378,S,6.933333332999999,cycling,1,0.1592449310351229
379,S,11.46666667,cycling,1,0.2545344557759097
380,G1,4.533333333,cycling,1,0.12775532757774025
381,G0,1.333333333,arrested,1,0.07478180680880182
382,G1,0.0,cycling,1,0.11603649759181218
383,G1,0.533333333,cycling,1,0.02430120459311777
384,S,5.6,cycling,1,0.18940502455849112
385,S,6.1333333329999995,cycling,1,0.21845238340468315
386,S,8.266666667,cycling,1,0.1875999387215258
387,S,5.333333333,cycling,1,0.12120817140100146
388,G0,1.066666667,arrested,1,0.14045214824807215
389,S,4.8,cycling,1,0.13907808413824255
390,S,8.266666667,cycling,1,0.2583853028112076
391,S,7.2,cycling,1,0.16371902771505376
392,G1,2.4,unassigned,1,0.11109759413709118
393,G2,15.2,cycling,1,0.5268346038678574
394,G0,1.333333333,arrested,1,0.10135522355719623
395,S,15.2,cycling,1,0.21300099734557945
396,G1,1.333333333,cycling,1,0.12552463921900942
397,G0,6.666666667,arrested,1,0.13581998171729717
398,G0,13.6,arrested,1,0.15856698515563003
399,G1,0.533333333,cycling,1,0.07033947359804119
400,G0,2.4,arrested,1,0.18889458943668086
401,G2,16.26666667,cycling,1,0.5108457931574826
402,G2,22.13333333,cycling,1,0.5431124481517214
403,G1,2.133333333,cycling,1,0.11879550539918171
404,G0,1.6,arrested,1,0.10739974130094705
405,G2,15.2,cycling,1,0.31620935204621353
406,S,4.8,cycling,1,0.10553160126227414
407,G0,1.066666667,arrested,1,0.05047733465912321
408,G1,1.333333333,unassigned,1,0.15183272406024345
409,G2,16.0,cycling,1,0.35197085089233315
410,G1,3.733333333,cycling,1,0.09804642680534112
411,G1,2.133333333,unassigned,1,0.0769785788616892
412,G1,2.133333333,cycling,1,0.09096098095994398
413,G1,0.26666666699999997,cycling,1,0.11584481221696047
414,S,10.13333333,cycling,1,0.24010131848886843
415,G1,5.333333333,cycling,1,0.08469036423620997
416,G1,1.6,unassigned,1,0.0809645640228613
417,G1,1.6,unassigned,1,0.08317024340707135
418,G2,12.53333333,cycling,1,0.30180652433046223
419,G1,2.933333333,cycling,1,0.09856078906720134
420,G1,3.733333333,cycling,1,0.0810922480722587
421,G1,3.733333333,cycling,1,0.22687805779092554
422,G1,2.666666667,cycling,1,0.1728663107591708
423,G2,15.2,cycling,1,0.33538832118425793
424,G1,4.8,cycling,1,0.09764105902894214
425,G1,1.6,unassigned,1,0.14499302532076336
426,G2,15.2,cycling,1,0.23007914088999992
427,G1,5.6,cycling,1,0.1517157407349736
428,S,13.6,cycling,1,0.14952193031960995
429,G1,2.4,cycling,1,0.08654871708704377
430,G2,12.53333333,cycling,1,0.4149671987792777
431,G1,1.6,unassigned,1,0.06126881428302292
432,G2,15.2,cycling,1,0.35251207865442474
433,G2,16.53333333,cycling,1,0.3722189844990617
434,G0,1.066666667,arrested,1,0.0938148460987765
435,S,13.6,cycling,1,0.2592491864498092
436,S,6.4,cycling,1,0.2684776510647795
437,G1,5.066666667,cycling,1,0.10116223477251281
438,S,12.0,cycling,1,0.2307841144070231
439,G1,3.733333333,cycling,1,0.17518225370554205
440,G1,2.133333333,cycling,1,0.09609973210616005
441,S,11.73333333,cycling,1,0.2982498363190942
442,G1,3.2,unassigned,1,0.1386277738894299
443,S,12.0,cycling,1,0.27746758937160365
444,G2,15.2,cycling,1,0.27582770530351797
445,S,12.0,cycling,1,0.27663757004298695
446,G1,0.8,unassigned,1,0.043935157131278456
447,S,11.46666667,cycling,1,0.24818739176063778
448,S,6.666666667,cycling,1,0.1404378579496313
449,S,10.66666667,cycling,1,0.23645347215547877
450,G0,2.133333333,arrested,1,0.111894051731975
451,G1,2.4,unassigned,1,0.10361613821427723
452,G1,0.8,unassigned,1,0.07414267666130113
453,G2,15.73333333,cycling,1,0.4156860341207199
454,S,10.4,cycling,1,0.22594356534126772
455,G0,0.8,arrested,1,0.07200337221299587
456,G0,0.533333333,arrested,1,0.11156425473414663
457,G1,1.333333333,unassigned,1,0.1402554860320097
458,G2,15.73333333,cycling,1,0.299994136226545
459,S,7.466666667,cycling,1,0.13755503834167424
460,G1,2.133333333,unassigned,1,0.1398389366984787
461,G1,2.4,cycling,1,0.05578063976333699
462,S,4.533333333,cycling,1,0.14494500977901117
463,G1,0.0,cycling,1,0.09909100351428814
464,G0,2.4,arrested,1,0.13484583452989202
465,G1,0.533333333,unassigned,1,0.0778592013875016
466,G1,0.533333333,cycling,1,0.053865917543668575
467,G1,0.533333333,cycling,1,0.06987813807811906
468,S,4.266666667,cycling,1,0.28353827686353683
469,G1,3.4666666669999997,cycling,1,0.11755805094750638
470,G1,0.0,cycling,1,0.09990683114944345
471,G2,22.13333333,cycling,1,0.32407022370864336
472,G2,14.93333333,cycling,1,0.3651546430968207
473,S,5.6,cycling,1,0.1702653013230343
474,G1,1.6,unassigned,1,0.0765641060912762
475,S,13.86666667,unassigned,1,0.17397991076164163
476,G0,0.8,arrested,1,0.1170881430287156
477,S,12.0,cycling,1,0.21087333128285912
478,S,5.333333333,cycling,1,0.3370866477950333
479,G1,0.26666666699999997,cycling,1,0.21800606796531016
480,G0,5.6,arrested,1,0.24521837802227922
481,G1,4.266666667,cycling,1,0.06740433126437893
482,G2,16.0,cycling,1,0.18497830122801695
483,S,10.4,cycling,1,0.20844266648374857
484,G2,22.93333333,cycling,1,0.6790789684475016
485,S,5.6,cycling,1,0.1899752856123327
486,G1,4.266666667,unassigned,1,0.09732365099424364
487,G1,4.0,cycling,1,0.09332551150266269
488,G1,2.133333333,cycling,1,0.13531018727781974
489,G1,2.4,unassigned,1,0.1374331161754619
490,S,8.266666667,cycling,1,0.21327052230849422
491,S,15.2,cycling,1,0.20835707637463532
492,G1,7.2,cycling,1,0.21407958666881474
493,G0,10.93333333,arrested,1,0.21380667946832574
494,G1,3.2,cycling,1,0.0813826051671147
495,S,5.6,cycling,1,0.25645900762553614
496,S,12.0,cycling,1,0.13651794491989502
497,G1,5.066666667,cycling,1,0.1053402336907185
498,S,10.13333333,cycling,1,0.22157490479156328
499,S,5.6,cycling,1,0.12088494528109853
500,G1,2.4,unassigned,1,0.14007896181633694
501,G0,1.6,arrested,1,0.10019015872530021
502,G0,2.666666667,arrested,1,0.267979416349279
503,G2,15.2,cycling,1,0.2926823321903224
504,S,7.2,cycling,1,0.12746154846348898
505,G0,2.666666667,arrested,1,0.10350442137688505
506,S,8.8,cycling,1,0.16815240035522133
507,S,10.13333333,cycling,1,0.1963171542089983
508,G1,4.266666667,cycling,1,0.08715643077743958
509,G1,3.4666666669999997,cycling,1,0.11190902775212597
510,G1,4.266666667,cycling,1,0.16925274534203952
511,G1,1.066666667,cycling,1,0.03754251308414227
512,G0,13.86666667,arrested,1,0.18946248448881156
513,G0,18.66666667,arrested,1,0.15493739565155312
514,S,12.0,cycling,1,0.19889071038840375
515,G1,3.2,cycling,1,0.19590668480719386
516,G1,0.533333333,cycling,1,0.09167538309617801
517,G1,5.066666667,unassigned,1,0.12166768619435814
518,G1,4.266666667,cycling,1,0.13890725185798816
519,S,8.0,cycling,1,0.12112235115036535
520,G0,1.6,arrested,1,0.164263171666882
521,G0,0.533333333,arrested,1,0.0732751019314887
522,G1,4.533333333,cycling,1,0.11429350216005742
523,S,5.6,cycling,1,0.19086164537007844
524,G1,1.066666667,cycling,1,0.03259924567064706
525,G1,4.533333333,cycling,1,0.14230704166865976
526,G1,6.666666667,unassigned,1,0.11662229385771225
527,G2,13.06666667,cycling,1,0.5052021197442478
528,S,5.6,cycling,1,0.25089860686833804
529,G1,0.26666666699999997,cycling,1,0.09509816482199897
530,S,5.6,cycling,1,0.20529832474111998
531,G0,0.8,arrested,1,0.1309610389418485
532,G2,16.26666667,cycling,1,0.2457313248279706
533,G0,10.93333333,arrested,1,0.19837938373665018
534,G1,2.666666667,cycling,1,0.09488031323298457
535,G1,19.73333333,unassigned,1,0.1492565215906736
536,G1,0.26666666699999997,cycling,1,0.08825405564926883
537,S,7.2,cycling,1,0.15810983842010795
538,G1,2.933333333,cycling,1,0.07017788287969878
539,G1,1.066666667,unassigned,1,0.05026839486206762
540,S,12.8,cycling,1,0.2477385781661306
541,S,4.8,cycling,1,0.22314920455256146
542,S,12.8,cycling,1,0.24078867675602492
543,G1,1.6,unassigned,1,0.06563260097140537
544,G1,6.666666667,cycling,1,0.2072734128901618
545,G0,2.666666667,arrested,1,0.1357537054743017
546,G0,2.133333333,arrested,1,0.11038227432407514
547,S,13.6,cycling,1,0.21477841552248442
548,S,15.2,cycling,1,0.271108196967856
549,G1,2.933333333,cycling,1,0.1539761391795741
