ISO3,Country,mangrove_area_ha,mean_composite,mean_slr_mm_yr,mean_tc_norm,very_high_area_ha,high_or_very_high_area_ha,scenario,share_high_or_very_high
USA,United States,231525.0,0.5927501591493218,13.231573333333333,0.4155390279762497,144718.56,228561.48,SSP370,0.9872000000000001
BRA,Brazil,1138408.0,0.25092100424242014,11.32702592642867,0.04136656656220304,17616.1954662685,195168.9024026062,SSP370,0.17144020632550563
BGD,Bangladesh,531711.0,0.2926401666547952,11.512537917087968,0.18826803675728085,125266.59555106168,179745.91607684531,SSP370,0.338051904280418
PNG,Papua New Guinea,461059.0,0.28118714102996634,10.253400354819634,0.40805635603796825,64210.168243642824,155822.12803075108,SSP370,0.33796570076877597
VNM,Viet Nam,186363.0,0.37434604082681133,11.14496487119438,0.2945295070522732,35570.45550351288,130934.19203747076,SSP370,0.7025761124121781
BHS,Bahamas,145902.0,0.3952231656201628,11.090114324142569,0.4065384847428465,28454.324142568927,116074.01882985877,SSP370,0.7955615332885003
TZA,"Tanzania, United Republic of",120155.0,0.45230816531877044,11.917666126418153,0.25375628985770154,14605.551053484605,112560.11345218802,SSP370,0.9367909238249595
COL,Colombia,289936.0,0.2900167623012562,11.74180274330503,0.014853692740690748,4545.045068582625,107566.06662312211,SSP370,0.37099934683213576
NIC,Nicaragua,86057.0,0.651565005763915,11.819777777777778,0.6838468574061658,53164.10222222224,83570.90888888891,SSP370,0.9711111111111114
MYS,Malaysia,579537.0,0.22139298509673186,11.15003335557038,0.037806306331664756,5799.236157438292,74616.83855903934,SSP370,0.1287525016677785
BLZ,Belize,68012.0,0.985197160636572,14.348241206030151,0.9703943212731441,68012.0,68012.0,SSP370,1.0
PAN,Panama,152860.0,0.3236268743230225,11.799560246262093,0.034492378884277024,5108.777484608618,63321.952506596324,SSP370,0.41424802110817954
HND,Honduras,85226.0,0.6575067830637209,12.768734491315136,0.5312946835533504,57945.22084367246,57945.22084367246,SSP370,0.6799007444168735
IDN,Indonesia,2913232.0000000005,0.33562880759181,13.773484500280887,0.16243859750416062,573689.9337112508,1260600.313364997,SSP585,0.43271538736530313
MEX,Mexico,1004711.0,0.5351288576329472,14.250774601789221,0.39846744365032744,426393.8239144665,799735.0486580842,SSP585,0.7959851625572769
AUS,Australia,988391.9999999999,0.5580292624900197,13.869643487469116,0.5598558344676359,585952.8288033886,775397.536180727,SSP585,0.7845040593010941
BGD,Bangladesh,531711.0,0.31994510077880856,14.048904617458712,0.18826803675728085,125266.59555106168,303220.4287158746,SSP585,0.570273003033367
PHL,Philippines,274939.0,0.6269180135873956,15.399908466819223,0.44653032330172304,184467.08192219678,254617.42173913048,SSP585,0.9260869565217393
CUB,Cuba,342417.0,0.4215546989561235,13.288264462809918,0.5141225598346219,118855.48760330578,227523.36198347108,SSP585,0.6644628099173554
PNG,Papua New Guinea,461059.0,0.3611344267869133,13.181845062093435,0.40805635603796825,88476.43140153759,227393.9716144294,SSP585,0.49319929036073346
MOZ,Mozambique,304897.0,0.3713047326237757,13.389091947458594,0.3762791143370965,47885.02284408909,193455.49229011993,SSP585,0.6344945745288406
USA,United States,231525.0,0.5312164275682836,15.022666666666666,0.4155390279762497,134840.15999999997,185590.44,SSP585,0.8016
IND,India,492571.0,0.14157650341653036,12.816819484240689,0.03466526407606905,0.0,129141.10744985669,SSP585,0.26217765042979935
BHS,Bahamas,145902.0,0.33130480988239736,13.091392064559518,0.4065384847428465,16582.002689979825,105967.82784129119,SSP585,0.7262945527908541
VNM,Viet Nam,186363.0,0.30068222251731924,13.038524590163934,0.2945295070522732,10147.39988290398,100164.65690866509,SSP585,0.5374707259953161
MDG,Madagascar,275833.0,0.2686929795800836,13.014763458401305,0.30969578938199044,33522.93393148451,98993.89885807504,SSP585,0.35889070146818924
GAB,Gabon,194197.0,0.26577430308763744,13.835181236673776,0.0,0.0,98133.66524520254,SSP585,0.5053304904051172
COL,Colombia,289936.0,0.1509423409635387,12.883409536250817,0.014853692740690748,4545.045068582625,84651.46440235141,SSP585,0.2919660352710647
MYS,Malaysia,579537.0,0.19015312228098152,13.307038025350234,0.037806306331664756,193.30787191460973,73263.68345563709,SSP585,0.12641761174116076
THA,Thailand,264930.0,0.25819714126309634,14.031898734177217,0.06515190090421576,10395.98734177215,70424.43037974682,SSP585,0.2658227848101265
BLZ,Belize,68012.0,0.985197160636572,16.26532663316583,0.9703943212731441,68012.0,68012.0,SSP585,1.0
BRA,Brazil,1138408.0,0.1378499273243141,13.03021582733813,0.04136656656220304,0.0,61193.10004072214,SSP585,0.05375322383602552
HND,Honduras,85226.0,0.5391516152809063,14.243424317617867,0.5312946835533504,57945.22084367246,57945.22084367246,SSP585,0.6799007444168735
