threshold,coverage_final,coverage_rep0,coverage_rep1,coverage_rep2,coverage_rep3,coverage_rep4,coverage_rep5,coverage_rep6,coverage_rep7,coverage_rep8,coverage_rep9
0.61,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.62,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.63,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.64,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.65,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.66,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.67,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.68,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.6900000000000001,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.7000000000000001,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.71,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.72,0.989,0.99,0.99,0.99,0.98,1.0,0.98,0.99,1.0,0.98,0.99
0.73,0.987,0.99,0.99,0.98,0.98,1.0,0.97,0.99,1.0,0.98,0.99
0.74,0.987,0.99,0.99,0.98,0.98,1.0,0.97,0.99,1.0,0.98,0.99
0.75,0.985,0.99,0.98,0.98,0.97,1.0,0.97,0.99,1.0,0.98,0.99
0.76,0.985,0.99,0.98,0.98,0.97,1.0,0.97,0.99,1.0,0.98,0.99
0.77,0.985,0.99,0.98,0.98,0.97,1.0,0.97,0.99,1.0,0.98,0.99
0.78,0.982,0.98,0.98,0.97,0.97,1.0,0.97,0.99,1.0,0.97,0.99
0.79,0.982,0.98,0.98,0.97,0.97,1.0,0.97,0.99,1.0,0.97,0.99
0.8,0.98,0.98,0.98,0.96,0.97,1.0,0.97,0.99,1.0,0.96,0.99
0.81,0.978,0.98,0.98,0.94,0.97,1.0,0.97,0.99,1.0,0.96,0.99
0.8200000000000001,0.977,0.98,0.98,0.93,0.97,1.0,0.97,0.99,1.0,0.96,0.99
0.8300000000000001,0.975,0.98,0.97,0.93,0.96,1.0,0.97,0.99,1.0,0.96,0.99
0.84,0.967,0.98,0.97,0.88,0.96,0.99,0.96,0.99,1.0,0.95,0.99
0.85,0.958,0.98,0.95,0.86,0.92,0.99,0.96,0.99,1.0,0.94,0.99
0.86,0.951,0.97,0.95,0.82,0.92,0.99,0.96,0.99,1.0,0.92,0.99
0.87,0.935,0.94,0.95,0.77,0.91,0.98,0.95,0.99,1.0,0.87,0.99
0.88,0.918,0.93,0.92,0.71,0.89,0.97,0.95,0.99,1.0,0.83,0.99
0.89,0.903,0.9,0.9,0.66,0.86,0.97,0.95,0.99,1.0,0.81,0.99
0.9,0.887,0.9,0.88,0.6,0.82,0.97,0.95,0.99,1.0,0.78,0.98
0.91,0.855,0.9,0.8,0.5,0.77,0.97,0.93,0.97,1.0,0.73,0.98
0.92,0.809,0.86,0.78,0.32,0.71,0.97,0.88,0.97,0.99,0.64,0.97
0.93,0.768,0.84,0.73,0.25,0.63,0.96,0.84,0.94,0.95,0.6,0.94
0.9400000000000001,0.697,0.77,0.63,0.16,0.52,0.92,0.77,0.9,0.91,0.51,0.88
0.9500000000000001,0.606,0.67,0.44,0.09,0.45,0.88,0.69,0.82,0.83,0.37,0.82
0.96,0.529,0.54,0.34,0.06,0.31,0.86,0.56,0.77,0.79,0.31,0.75
0.97,0.406,0.35,0.25,0.02,0.18,0.78,0.38,0.63,0.64,0.18,0.65
0.98,0.236,0.1,0.09,0.01,0.05,0.6,0.25,0.35,0.45,0.05,0.41
0.99,0.089,0.03,0.01,0.01,0.01,0.28,0.05,0.15,0.18,0.03,0.14
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
