inner,outer,shell_class,shell_index,core_atoms,outer_shell_atoms,cluster_notation,total_atoms,mismatch,mismatch_source,predicted_free_energy
Na,Rb,MC,4,147,162,Na147@Rb162,309,0.22,dataset_compatibility,-5.880800000000002
Rb,Na,MC,4,147,162,Rb147@Na162,309,0.22,dataset_compatibility,-5.880800000000002
Rb,Cs,Ch2,4,147,132,Rb147@Cs132,279,0.06627680311890835,radius_ratio,-5.841308565788522
Cs,Rb,Ch2,4,147,132,Cs147@Rb132,279,0.06627680311890835,radius_ratio,-5.841308565788522
Na,Cs,Ch2,4,147,132,Na147@Cs132,279,0.3503325942350332,radius_ratio,-5.74034846215112
Cs,Na,Ch2,4,147,132,Cs147@Na132,279,0.3503325942350332,radius_ratio,-5.74034846215112
Ag,Na,BG,4,147,122,Ag147@Na122,269,0.25454545454545463,radius_ratio,-5.567274380165287
Na,Ag,BG,4,147,122,Na147@Ag122,269,0.25454545454545463,radius_ratio,-5.567274380165287
Cu,Ni,Ch2,4,147,132,Cu147@Ni132,279,0.032,dataset_compatibility,-5.512717999999999
Ni,Cu,Ch2,4,147,132,Ni147@Cu132,279,0.032,dataset_compatibility,-5.512717999999999
Na,Cu,Ch2,4,147,132,Na147@Cu132,279,0.3694267515923567,radius_ratio,-5.370215016836381
Cu,Na,Ch2,4,147,132,Cu147@Na132,279,0.3694267515923567,radius_ratio,-5.370215016836381
Ni,Cu,MC,3,55,92,Ni55@Cu92,147,0.032,dataset_compatibility,-5.118848
Cu,Ni,MC,3,55,92,Cu55@Ni92,147,0.032,dataset_compatibility,-5.118848
Cu,Ag,Ch1,3,55,72,Cu55@Ag72,127,0.12,dataset_compatibility,-4.9328
Ag,Cu,Ch1,3,55,72,Ag55@Cu72,127,0.12,dataset_compatibility,-4.9328
Ag,Ni,Ch1,3,55,72,Ag55@Ni72,127,0.15,dataset_compatibility,-4.9082
Ni,Ag,Ch1,3,55,72,Ni55@Ag72,127,0.15,dataset_compatibility,-4.9082
Cs,Na,Ch1,4,147,122,Cs147@Na122,269,0.3503325942350332,radius_ratio,-4.874623739312985
Na,Cs,Ch1,4,147,122,Na147@Cs122,269,0.3503325942350332,radius_ratio,-4.874623739312985
Ag,Cu,BG,3,55,72,Ag55@Cu72,127,0.12,dataset_compatibility,-4.847799999999999
Cu,Ag,BG,3,55,72,Cu55@Ag72,127,0.12,dataset_compatibility,-4.847799999999999
Cs,Rb,MC,3,55,92,Cs55@Rb92,147,0.06627680311890835,radius_ratio,-4.846974160330435
Rb,Cs,MC,3,55,92,Rb55@Cs92,147,0.06627680311890835,radius_ratio,-4.846974160330435
Cu,Ag,MC,3,55,92,Cu55@Ag92,147,0.12,dataset_compatibility,-4.838800000000001
Ag,Cu,MC,3,55,92,Ag55@Cu92,147,0.12,dataset_compatibility,-4.838800000000001
Ag,Na,MC,4,147,162,Ag147@Na162,309,0.25454545454545463,radius_ratio,-4.7879107438016515
Na,Ag,MC,4,147,162,Na147@Ag162,309,0.25454545454545463,radius_ratio,-4.7879107438016515
Ni,Na,Ch2,4,147,132,Ni147@Na132,279,0.4000000000000001,radius_ratio,-4.769549999999997
Na,Ni,Ch2,4,147,132,Na147@Ni132,279,0.4000000000000001,radius_ratio,-4.769549999999997
K,Rb,MC,3,55,92,K55@Rb92,147,0.08842105263157893,radius_ratio,-4.7687501385041555
Rb,K,MC,3,55,92,Rb55@K92,147,0.08842105263157893,radius_ratio,-4.7687501385041555
Cu,Ni,BG,3,55,72,Cu55@Ni72,127,0.032,dataset_compatibility,-4.6972879999999995
Ni,Cu,BG,3,55,72,Ni55@Cu72,127,0.032,dataset_compatibility,-4.6972879999999995
Ag,Ni,BG,3,55,72,Ag55@Ni72,127,0.15,dataset_compatibility,-4.6852
Ni,Ag,BG,3,55,72,Ni55@Ag72,127,0.15,dataset_compatibility,-4.6852
Rb,Na,Ch1,3,55,72,Rb55@Na72,127,0.22,dataset_compatibility,-4.6808000000000005
Na,Rb,Ch1,3,55,72,Na55@Rb72,127,0.22,dataset_compatibility,-4.6808000000000005
Na,Rb,Ch2,3,55,72,Na55@Rb72,127,0.22,dataset_compatibility,-4.675949999999999
Rb,Na,Ch2,3,55,72,Rb55@Na72,127,0.22,dataset_compatibility,-4.675949999999999
K,Cs,Ch1,3,55,72,K55@Cs72,127,0.1544715447154471,radius_ratio,-4.656230339083879
Cs,K,Ch1,3,55,72,Cs55@K72,127,0.1544715447154471,radius_ratio,-4.656230339083879
K,Rb,BG,3,55,72,K55@Rb72,127,0.08842105263157893,radius_ratio,-4.599955124653739
Rb,K,BG,3,55,72,Rb55@K72,127,0.08842105263157893,radius_ratio,-4.599955124653739
Rb,Cs,BG,3,55,72,Rb55@Cs72,127,0.06627680311890835,radius_ratio,-4.582336733429849
Cs,Rb,BG,3,55,72,Cs55@Rb72,127,0.06627680311890835,radius_ratio,-4.582336733429849
K,Rb,Ch1,3,55,72,K55@Rb72,127,0.08842105263157893,radius_ratio,-4.572223822714681
Rb,K,Ch1,3,55,72,Rb55@K72,127,0.08842105263157893,radius_ratio,-4.572223822714681
K,Na,Ch1,3,55,72,K55@Na72,127,0.198547215496368,radius_ratio,-4.538864511136256
Na,K,Ch1,3,55,72,Na55@K72,127,0.198547215496368,radius_ratio,-4.538864511136256
Ag,Ni,Ch2,3,55,72,Ag55@Ni72,127,0.15,dataset_compatibility,-4.531549999999999
Ni,Ag,Ch2,3,55,72,Ni55@Ag72,127,0.15,dataset_compatibility,-4.531549999999999
Ni,Ag,MC,3,55,92,Ni55@Ag92,147,0.15,dataset_compatibility,-4.502200000000001
Ag,Ni,MC,3,55,92,Ag55@Ni92,147,0.15,dataset_compatibility,-4.502200000000001
Rb,Cs,Ch1,3,55,72,Rb55@Cs72,127,0.06627680311890835,radius_ratio,-4.446720749024391
Cs,Rb,Ch1,3,55,72,Cs55@Rb72,127,0.06627680311890835,radius_ratio,-4.446720749024391
K,Cs,BG,3,55,72,K55@Cs72,127,0.1544715447154471,radius_ratio,-4.4064955912485955
Cs,K,BG,3,55,72,Cs55@K72,127,0.1544715447154471,radius_ratio,-4.4064955912485955
Na,K,Ch2,3,55,72,Na55@K72,127,0.198547215496368,radius_ratio,-4.399250508298694
K,Na,Ch2,3,55,72,K55@Na72,127,0.198547215496368,radius_ratio,-4.399250508298694
Cu,Ni,Ch1,3,55,72,Cu55@Ni72,127,0.032,dataset_compatibility,-4.390288
Ni,Cu,Ch1,3,55,72,Ni55@Cu72,127,0.032,dataset_compatibility,-4.390288
Cu,Na,Ch1,4,147,122,Cu147@Na122,269,0.3694267515923567,radius_ratio,-4.3681580104669555
Na,Cu,Ch1,4,147,122,Na147@Cu122,269,0.3694267515923567,radius_ratio,-4.3681580104669555
Cu,Ag,Ch2,3,55,72,Cu55@Ag72,127,0.12,dataset_compatibility,-4.35395
Ag,Cu,Ch2,3,55,72,Ag55@Cu72,127,0.12,dataset_compatibility,-4.35395
K,Cs,Ch2,3,55,72,K55@Cs72,127,0.1544715447154471,radius_ratio,-4.303552908321766
Cs,K,Ch2,3,55,72,Cs55@K72,127,0.1544715447154471,radius_ratio,-4.303552908321766
Ag,Na,Ch2,3,55,72,Ag55@Na72,127,0.25454545454545463,radius_ratio,-4.2580789256198335
Na,Ag,Ch2,3,55,72,Na55@Ag72,127,0.25454545454545463,radius_ratio,-4.2580789256198335
K,Cs,MC,3,55,92,K55@Cs92,147,0.1544715447154471,radius_ratio,-4.197560631899003
Cs,K,MC,3,55,92,Cs55@K92,147,0.1544715447154471,radius_ratio,-4.197560631899003
Na,Ag,Ch1,3,55,72,Na55@Ag72,127,0.25454545454545463,radius_ratio,-4.016274380165289
Ag,Na,Ch1,3,55,72,Ag55@Na72,127,0.25454545454545463,radius_ratio,-4.016274380165289
Na,Rb,BG,3,55,72,Na55@Rb72,127,0.22,dataset_compatibility,-3.9998
Rb,Na,BG,3,55,72,Rb55@Na72,127,0.22,dataset_compatibility,-3.9998
K,Na,BG,3,55,72,K55@Na72,127,0.198547215496368,radius_ratio,-3.9994528888602265
Na,K,BG,3,55,72,Na55@K72,127,0.198547215496368,radius_ratio,-3.9994528888602265
K,Rb,Ch2,3,55,72,K55@Rb72,127,0.08842105263157893,radius_ratio,-3.7426369806094173
Rb,K,Ch2,3,55,72,Rb55@K72,127,0.08842105263157893,radius_ratio,-3.7426369806094173
K,Ag,Ch2,4,147,132,K147@Ag132,279,0.4474393530997305,radius_ratio,-3.6228705076975594
Ag,K,Ch2,4,147,132,Ag147@K132,279,0.4474393530997305,radius_ratio,-3.6228705076975594
Na,Ni,Ch1,4,147,122,Na147@Ni122,269,0.4000000000000001,radius_ratio,-3.549199999999998
Ni,Na,Ch1,4,147,122,Ni147@Na122,269,0.4000000000000001,radius_ratio,-3.549199999999998
K,Na,MC,3,55,92,K55@Na92,147,0.198547215496368,radius_ratio,-3.534879038981293
Na,K,MC,3,55,92,Na55@K92,147,0.198547215496368,radius_ratio,-3.534879038981293
Rb,Cs,Ch2,3,55,72,Rb55@Cs72,127,0.06627680311890835,radius_ratio,-3.441308565788523
Cs,Rb,Ch2,3,55,72,Cs55@Rb72,127,0.06627680311890835,radius_ratio,-3.441308565788523
Na,Rb,MC,3,55,92,Na55@Rb92,147,0.22,dataset_compatibility,-3.410800000000001
Rb,Na,MC,3,55,92,Rb55@Na92,147,0.22,dataset_compatibility,-3.410800000000001
Cs,Na,Ch2,3,55,72,Cs55@Na72,127,0.3503325942350332,radius_ratio,-3.34034846215112
Na,Cs,Ch2,3,55,72,Na55@Cs72,127,0.3503325942350332,radius_ratio,-3.34034846215112
Na,Cs,BG,4,147,122,Na147@Cs122,269,0.3503325942350332,radius_ratio,-3.333428617361765
Cs,Na,BG,4,147,122,Cs147@Na122,269,0.3503325942350332,radius_ratio,-3.333428617361765
Ni,Cu,Ch2,3,55,72,Ni55@Cu72,127,0.032,dataset_compatibility,-3.1127179999999997
Cu,Ni,Ch2,3,55,72,Cu55@Ni72,127,0.032,dataset_compatibility,-3.1127179999999997
Ag,Na,BG,3,55,72,Ag55@Na72,127,0.25454545454545463,radius_ratio,-3.1072743801652876
Na,Ag,BG,3,55,72,Na55@Ag72,127,0.25454545454545463,radius_ratio,-3.1072743801652876
Na,Cu,Ch2,3,55,72,Na55@Cu72,127,0.3694267515923567,radius_ratio,-2.970215016836382
Cu,Na,Ch2,3,55,72,Cu55@Na72,127,0.3694267515923567,radius_ratio,-2.970215016836382
Na,Cu,BG,4,147,122,Na147@Cu122,269,0.3694267515923567,radius_ratio,-2.7009414499573996
Cu,Na,BG,4,147,122,Cu147@Na122,269,0.3694267515923567,radius_ratio,-2.7009414499573996
Ni,Cu,MC,2,13,42,Ni13@Cu42,55,0.032,dataset_compatibility,-2.648848
Cu,Ni,MC,2,13,42,Cu13@Ni42,55,0.032,dataset_compatibility,-2.648848
Ag,Cu,Ch1,2,13,32,Ag13@Cu32,45,0.12,dataset_compatibility,-2.4728
Cu,Ag,Ch1,2,13,32,Cu13@Ag32,45,0.12,dataset_compatibility,-2.4728
Ni,Ag,Ch1,2,13,32,Ni13@Ag32,45,0.15,dataset_compatibility,-2.4482
Ag,Ni,Ch1,2,13,32,Ag13@Ni32,45,0.15,dataset_compatibility,-2.4482
Cs,Na,Ch1,3,55,72,Cs55@Na72,127,0.3503325942350332,radius_ratio,-2.414623739312984
Na,Cs,Ch1,3,55,72,Na55@Cs72,127,0.3503325942350332,radius_ratio,-2.414623739312984
Ag,Cu,BG,2,13,42,Ag13@Cu42,55,0.12,dataset_compatibility,-2.3878
Cu,Ag,BG,2,13,42,Cu13@Ag42,55,0.12,dataset_compatibility,-2.3878
Rb,Cs,MC,2,13,42,Rb13@Cs42,55,0.06627680311890835,radius_ratio,-2.376974160330434
Cs,Rb,MC,2,13,42,Cs13@Rb42,55,0.06627680311890835,radius_ratio,-2.376974160330434
Ni,Na,Ch2,3,55,72,Ni55@Na72,127,0.4000000000000001,radius_ratio,-2.3695499999999976
Na,Ni,Ch2,3,55,72,Na55@Ni72,127,0.4000000000000001,radius_ratio,-2.3695499999999976
Cu,Ag,MC,2,13,42,Cu13@Ag42,55,0.12,dataset_compatibility,-2.3688000000000002
Ag,Cu,MC,2,13,42,Ag13@Cu42,55,0.12,dataset_compatibility,-2.3688000000000002
Ag,Na,MC,3,55,92,Ag55@Na92,147,0.25454545454545463,radius_ratio,-2.317910743801651
Na,Ag,MC,3,55,92,Na55@Ag92,147,0.25454545454545463,radius_ratio,-2.317910743801651
Rb,K,MC,2,13,42,Rb13@K42,55,0.08842105263157893,radius_ratio,-2.2987501385041553
K,Rb,MC,2,13,42,K13@Rb42,55,0.08842105263157893,radius_ratio,-2.2987501385041553
Na,Rb,Ch2,2,13,32,Na13@Rb32,45,0.22,dataset_compatibility,-2.27595
Rb,Na,Ch2,2,13,32,Rb13@Na32,45,0.22,dataset_compatibility,-2.27595
Cu,Ni,BG,2,13,42,Cu13@Ni42,55,0.032,dataset_compatibility,-2.2372879999999995
Ni,Cu,BG,2,13,42,Ni13@Cu42,55,0.032,dataset_compatibility,-2.2372879999999995
Ni,Ag,BG,2,13,42,Ni13@Ag42,55,0.15,dataset_compatibility,-2.2252
Ag,Ni,BG,2,13,42,Ag13@Ni42,55,0.15,dataset_compatibility,-2.2252
Rb,Na,Ch1,2,13,32,Rb13@Na32,45,0.22,dataset_compatibility,-2.2208000000000006
Na,Rb,Ch1,2,13,32,Na13@Rb32,45,0.22,dataset_compatibility,-2.2208000000000006
Cs,K,Ch1,2,13,32,Cs13@K32,45,0.1544715447154471,radius_ratio,-2.196230339083878
K,Cs,Ch1,2,13,32,K13@Cs32,45,0.1544715447154471,radius_ratio,-2.196230339083878
Rb,K,BG,2,13,42,Rb13@K42,55,0.08842105263157893,radius_ratio,-2.1399551246537394
K,Rb,BG,2,13,42,K13@Rb42,55,0.08842105263157893,radius_ratio,-2.1399551246537394
Ni,Ag,Ch2,2,13,32,Ni13@Ag32,45,0.15,dataset_compatibility,-2.13155
Ag,Ni,Ch2,2,13,32,Ag13@Ni32,45,0.15,dataset_compatibility,-2.13155
Cs,Rb,BG,2,13,42,Cs13@Rb42,55,0.06627680311890835,radius_ratio,-2.1223367334298486
Rb,Cs,BG,2,13,42,Rb13@Cs42,55,0.06627680311890835,radius_ratio,-2.1223367334298486
K,Rb,Ch1,2,13,32,K13@Rb32,45,0.08842105263157893,radius_ratio,-2.112223822714681
Rb,K,Ch1,2,13,32,Rb13@K32,45,0.08842105263157893,radius_ratio,-2.112223822714681
Na,K,Ch1,2,13,32,Na13@K32,45,0.198547215496368,radius_ratio,-2.078864511136256
K,Na,Ch1,2,13,32,K13@Na32,45,0.198547215496368,radius_ratio,-2.078864511136256
K,Ag,Ch1,4,147,122,K147@Ag122,269,0.4474393530997305,radius_ratio,-2.063803526565486
Ag,K,Ch1,4,147,122,Ag147@K122,269,0.4474393530997305,radius_ratio,-2.063803526565486
Ag,Ni,MC,2,13,42,Ag13@Ni42,55,0.15,dataset_compatibility,-2.0322
Ni,Ag,MC,2,13,42,Ni13@Ag42,55,0.15,dataset_compatibility,-2.0322
Na,K,Ch2,2,13,32,Na13@K32,45,0.198547215496368,radius_ratio,-1.9992505082986944
K,Na,Ch2,2,13,32,K13@Na32,45,0.198547215496368,radius_ratio,-1.9992505082986944
Cs,Na,MC,4,147,162,Cs147@Na162,309,0.3503325942350332,radius_ratio,-1.9984995707985724
Na,Cs,MC,4,147,162,Na147@Cs162,309,0.3503325942350332,radius_ratio,-1.9984995707985724
Rb,Cs,Ch1,2,13,32,Rb13@Cs32,45,0.06627680311890835,radius_ratio,-1.986720749024391
Cs,Rb,Ch1,2,13,32,Cs13@Rb32,45,0.06627680311890835,radius_ratio,-1.986720749024391
Ag,Cu,Ch2,2,13,32,Ag13@Cu32,45,0.12,dataset_compatibility,-1.95395
Cu,Ag,Ch2,2,13,32,Cu13@Ag32,45,0.12,dataset_compatibility,-1.95395
K,Cs,BG,2,13,42,K13@Cs42,55,0.1544715447154471,radius_ratio,-1.9464955912485955
Cs,K,BG,2,13,42,Cs13@K42,55,0.1544715447154471,radius_ratio,-1.9464955912485955
Ni,Cu,Ch1,2,13,32,Ni13@Cu32,45,0.032,dataset_compatibility,-1.9302879999999998
Cu,Ni,Ch1,2,13,32,Cu13@Ni32,45,0.032,dataset_compatibility,-1.9302879999999998
Cu,Na,Ch1,3,55,72,Cu55@Na72,127,0.3694267515923567,radius_ratio,-1.9081580104669555
Na,Cu,Ch1,3,55,72,Na55@Cu72,127,0.3694267515923567,radius_ratio,-1.9081580104669555
K,Cs,Ch2,2,13,32,K13@Cs32,45,0.1544715447154471,radius_ratio,-1.903552908321766
Cs,K,Ch2,2,13,32,Cs13@K32,45,0.1544715447154471,radius_ratio,-1.903552908321766
Ag,Na,Ch2,2,13,32,Ag13@Na32,45,0.25454545454545463,radius_ratio,-1.8580789256198342
Na,Ag,Ch2,2,13,32,Na13@Ag32,45,0.25454545454545463,radius_ratio,-1.8580789256198342
K,Cs,MC,2,13,42,K13@Cs42,55,0.1544715447154471,radius_ratio,-1.7275606318990027
Cs,K,MC,2,13,42,Cs13@K42,55,0.1544715447154471,radius_ratio,-1.7275606318990027
Ni,Na,BG,4,147,122,Ni147@Na122,269,0.4000000000000001,radius_ratio,-1.680199999999998
Na,Ni,BG,4,147,122,Na147@Ni122,269,0.4000000000000001,radius_ratio,-1.680199999999998
Ag,Na,Ch1,2,13,32,Ag13@Na32,45,0.25454545454545463,radius_ratio,-1.5562743801652883
Na,Ag,Ch1,2,13,32,Na13@Ag32,45,0.25454545454545463,radius_ratio,-1.5562743801652883
Rb,Na,BG,2,13,42,Rb13@Na42,55,0.22,dataset_compatibility,-1.5398
Na,Rb,BG,2,13,42,Na13@Rb42,55,0.22,dataset_compatibility,-1.5398
Na,K,BG,2,13,42,Na13@K42,55,0.198547215496368,radius_ratio,-1.539452888860227
K,Na,BG,2,13,42,K13@Na42,55,0.198547215496368,radius_ratio,-1.539452888860227
Rb,K,Ch2,2,13,32,Rb13@K32,45,0.08842105263157893,radius_ratio,-1.342636980609418
K,Rb,Ch2,2,13,32,K13@Rb32,45,0.08842105263157893,radius_ratio,-1.342636980609418
Na,Cu,MC,4,147,162,Na147@Cu162,309,0.3694267515923567,radius_ratio,-1.2552662907217318
Cu,Na,MC,4,147,162,Cu147@Na162,309,0.3694267515923567,radius_ratio,-1.2552662907217318
Ag,K,Ch2,3,55,72,Ag55@K72,127,0.4474393530997305,radius_ratio,-1.22287050769756
K,Ag,Ch2,3,55,72,K55@Ag72,127,0.4474393530997305,radius_ratio,-1.22287050769756
Ni,Na,Ch1,3,55,72,Ni55@Na72,127,0.4000000000000001,radius_ratio,-1.0891999999999986
Na,Ni,Ch1,3,55,72,Na55@Ni72,127,0.4000000000000001,radius_ratio,-1.0891999999999986
K,Na,MC,2,13,42,K13@Na42,55,0.198547215496368,radius_ratio,-1.0648790389812928
Na,K,MC,2,13,42,Na13@K42,55,0.198547215496368,radius_ratio,-1.0648790389812928
Rb,Cs,Ch2,2,13,32,Rb13@Cs32,45,0.06627680311890835,radius_ratio,-1.0413085657885233
Cs,Rb,Ch2,2,13,32,Cs13@Rb32,45,0.06627680311890835,radius_ratio,-1.0413085657885233
Rb,Ag,Ch2,4,147,132,Rb147@Ag132,279,0.5306122448979592,radius_ratio,-0.9823813202832117
Ag,Rb,Ch2,4,147,132,Ag147@Rb132,279,0.5306122448979592,radius_ratio,-0.9823813202832117
Na,Rb,MC,2,13,42,Na13@Rb42,55,0.22,dataset_compatibility,-0.9408000000000004
Rb,Na,MC,2,13,42,Rb13@Na42,55,0.22,dataset_compatibility,-0.9408000000000004
Cs,Na,Ch2,2,13,32,Cs13@Na32,45,0.3503325942350332,radius_ratio,-0.940348462151121
Na,Cs,Ch2,2,13,32,Na13@Cs32,45,0.3503325942350332,radius_ratio,-0.940348462151121
Na,Cs,BG,3,55,72,Na55@Cs72,127,0.3503325942350332,radius_ratio,-0.8734286173617651
Cs,Na,BG,3,55,72,Cs55@Na72,127,0.3503325942350332,radius_ratio,-0.8734286173617651
Cu,Ni,Ch2,2,13,32,Cu13@Ni32,45,0.032,dataset_compatibility,-0.7127180000000001
Ni,Cu,Ch2,2,13,32,Ni13@Cu32,45,0.032,dataset_compatibility,-0.7127180000000001
Na,Ag,BG,2,13,42,Na13@Ag42,55,0.25454545454545463,radius_ratio,-0.6472743801652875
Ag,Na,BG,2,13,42,Ag13@Na42,55,0.25454545454545463,radius_ratio,-0.6472743801652875
Cu,Na,Ch2,2,13,32,Cu13@Na32,45,0.3694267515923567,radius_ratio,-0.5702150168363822
Na,Cu,Ch2,2,13,32,Na13@Cu32,45,0.3694267515923567,radius_ratio,-0.5702150168363822
Cu,Na,BG,3,55,72,Cu55@Na72,127,0.3694267515923567,radius_ratio,-0.24094144995739963
Na,Cu,BG,3,55,72,Na55@Cu72,127,0.3694267515923567,radius_ratio,-0.24094144995739963
Ni,Na,MC,4,147,162,Ni147@Na162,309,0.4000000000000001,radius_ratio,-0.057199999999996365
Na,Ni,MC,4,147,162,Na147@Ni162,309,0.4000000000000001,radius_ratio,-0.057199999999996365
Ni,Na,Ch2,2,13,32,Ni13@Na32,45,0.4000000000000001,radius_ratio,0.030450000000001864
Na,Ni,Ch2,2,13,32,Na13@Ni32,45,0.4000000000000001,radius_ratio,0.030450000000001864
