method,frame,TP,FP,FN,IDSW,mean_iou,n_pred,n_gt
ByteTrack-like,45,61,0,139,45,0.8401274850303472,61,200
ByteTrack-like,46,58,0,142,44,0.8269702785724165,58,200
ByteTrack-like,47,62,0,138,46,0.8302682047080366,62,200
ByteTrack-like,48,65,0,135,53,0.8410178410535423,65,200
ByteTrack-like,49,61,0,139,48,0.836704750197361,61,200
ByteTrack-like,50,57,1,143,42,0.8383916242918725,58,200
ByteTrack-like,51,55,0,145,40,0.8310000916334043,55,200
ByteTrack-like,52,54,0,146,42,0.8318100648994763,54,200
ByteTrack-like,53,55,0,145,45,0.8447055094082692,55,200
ByteTrack-like,54,56,0,144,36,0.8446237287800832,56,200
ByteTrack-like,55,56,0,144,43,0.8495802971093704,56,200
ByteTrack-like,56,46,0,154,30,0.8206349754710567,46,200
ByteTrack-like,57,50,0,150,42,0.8398928455011105,50,200
ByteTrack-like,58,54,0,146,45,0.855190902932168,54,200
ByteTrack-like,59,62,0,138,44,0.8333050994027716,62,200
ByteTrack-like,60,68,0,132,53,0.8429030463845074,68,200
ByteTrack-like,61,68,0,132,44,0.8244682988377569,68,200
ByteTrack-like,62,63,0,137,49,0.834386513572869,63,200
ByteTrack-like,63,55,0,145,46,0.8476326566752796,55,200
ByteTrack-like,64,58,0,142,44,0.8404019493464867,58,200
ByteTrack-like,65,73,0,127,59,0.8501335519124704,73,200
ByteTrack-like,66,63,0,137,43,0.8479798227867077,63,200
ByteTrack-like,67,67,1,133,49,0.8400733012824525,68,200
ByteTrack-like,68,62,0,138,40,0.8398532313501554,62,200
ByteTrack-like,69,63,0,137,46,0.8231556842538071,63,200
ByteTrack-like,70,66,0,134,47,0.8401637053474617,66,200
ByteTrack-like,71,66,0,134,43,0.8269594363530093,66,200
ByteTrack-like,72,63,0,137,36,0.8182113804677991,63,200
ByteTrack-like,73,60,0,140,40,0.8268000305176231,60,200
ByteTrack-like,74,63,0,137,48,0.8332287663921774,63,200
ByteTrack-like,75,60,0,140,46,0.8351748849655187,60,200
ByteTrack-like,76,58,0,142,37,0.8253945062953046,58,200
ByteTrack-like,77,54,0,146,39,0.8398348520369665,54,200
ByteTrack-like,78,54,1,146,37,0.8377884431926903,55,200
ByteTrack-like,79,54,0,146,35,0.8569481464680156,54,200
ByteTrack-like,80,50,0,150,38,0.8181338362533368,50,200
ByteTrack-like,81,52,0,148,40,0.8315867763097214,52,200
ByteTrack-like,82,54,0,146,46,0.8403650052585102,54,200
ByteTrack-like,83,51,0,149,38,0.8354674344484114,51,200
ByteTrack-like,84,52,0,148,43,0.8438722317617263,52,200
ByteTrack-like,85,58,0,142,41,0.834952964468905,58,200
ByteTrack-like,86,68,0,132,49,0.8416613840523511,68,200
ByteTrack-like,87,69,0,131,49,0.8147641030260993,69,200
ByteTrack-like,88,62,0,138,43,0.8347846485760609,62,200
ByteTrack-like,89,65,0,135,47,0.8223950466122625,65,200
ByteTrack-like,90,61,0,139,42,0.8237194498529053,61,200
ByteTrack-like,91,62,0,138,44,0.8369111327181212,62,200
ByteTrack-like,92,62,0,138,49,0.8388584690130592,62,200
ByteTrack-like,93,58,0,142,42,0.8261354889143211,58,200
ByteTrack-like,94,50,0,150,39,0.8183783119320763,50,200
ByteTrack-like,95,56,0,144,48,0.8468449184872694,56,200
ByteTrack-like,96,57,0,143,38,0.8345503655717456,57,200
ByteTrack-like,97,56,0,144,39,0.8276437271984817,56,200
ByteTrack-like,98,66,1,134,56,0.8249787435782512,67,200
ByteTrack-like,99,54,0,146,45,0.8486675487415803,54,200
