method,frame,TP,FP,FN,IDSW,mean_iou,n_pred,n_gt
SparseTrack-inspired,47,77,0,123,56,0.8300549037756019,77,200
SparseTrack-inspired,48,83,0,117,62,0.8458819232797746,83,200
SparseTrack-inspired,49,81,0,119,50,0.8352448029696827,81,200
SparseTrack-inspired,50,82,1,118,61,0.8401863582735654,83,200
SparseTrack-inspired,51,75,0,125,52,0.8365690142499917,75,200
SparseTrack-inspired,52,73,0,127,55,0.833877091883758,73,200
SparseTrack-inspired,53,73,0,127,57,0.8487081462854311,73,200
SparseTrack-inspired,54,71,0,129,54,0.843039825286945,71,200
SparseTrack-inspired,55,68,0,132,53,0.8492979534755757,68,200
SparseTrack-inspired,56,62,0,138,49,0.8267121948563799,62,200
SparseTrack-inspired,57,65,0,135,53,0.8428527341228912,65,200
SparseTrack-inspired,58,69,0,131,55,0.8505287365343848,69,200
SparseTrack-inspired,59,75,0,125,56,0.8385642088584231,75,200
SparseTrack-inspired,60,81,0,119,62,0.8425770420403829,81,200
SparseTrack-inspired,61,73,0,127,45,0.8167117959940379,73,200
SparseTrack-inspired,62,71,0,129,54,0.8466170669089816,71,200
SparseTrack-inspired,63,71,0,129,50,0.842130672560797,71,200
SparseTrack-inspired,64,73,0,127,62,0.8344311329404839,73,200
SparseTrack-inspired,65,77,0,123,61,0.8395939065598566,77,200
SparseTrack-inspired,66,73,0,127,54,0.8447382920857874,73,200
SparseTrack-inspired,67,78,1,122,53,0.8435267643749668,79,200
SparseTrack-inspired,68,78,0,122,49,0.8370028291245705,78,200
SparseTrack-inspired,69,83,0,117,62,0.8250170601224147,83,200
SparseTrack-inspired,70,86,0,114,60,0.8409102893839959,86,200
SparseTrack-inspired,71,88,0,112,60,0.8311574472494221,88,200
SparseTrack-inspired,72,83,0,117,53,0.8298840724355955,83,200
SparseTrack-inspired,73,83,0,117,60,0.8293534318919443,83,200
SparseTrack-inspired,74,84,0,116,58,0.82701241521959,84,200
SparseTrack-inspired,75,89,0,111,61,0.8338819267086164,89,200
SparseTrack-inspired,76,87,0,113,62,0.8287919949495621,87,200
SparseTrack-inspired,77,86,0,114,61,0.8416335213340738,86,200
SparseTrack-inspired,78,77,1,123,56,0.82951080434379,78,200
SparseTrack-inspired,79,76,0,124,53,0.8463779472255579,76,200
SparseTrack-inspired,80,70,0,130,52,0.8277047059112986,70,200
SparseTrack-inspired,81,75,0,125,53,0.829691117355502,75,200
SparseTrack-inspired,82,68,0,132,47,0.8455971937447443,68,200
SparseTrack-inspired,83,70,0,130,52,0.8412803938708103,70,200
SparseTrack-inspired,84,73,0,127,57,0.8464253868125159,73,200
SparseTrack-inspired,85,78,0,122,52,0.8384495348308633,78,200
SparseTrack-inspired,86,87,0,113,65,0.8411826186097835,87,200
SparseTrack-inspired,87,85,0,115,64,0.8197102013778874,85,200
SparseTrack-inspired,88,81,0,119,62,0.8270990369953961,81,200
SparseTrack-inspired,89,82,0,118,59,0.8229573621845526,82,200
SparseTrack-inspired,90,84,0,116,57,0.824698446459915,84,200
SparseTrack-inspired,91,78,0,122,50,0.839781726248977,78,200
SparseTrack-inspired,92,77,0,123,53,0.8408736280477043,77,200
SparseTrack-inspired,93,73,0,127,55,0.8340379209856859,73,200
SparseTrack-inspired,94,68,0,132,54,0.825485301502929,68,200
SparseTrack-inspired,95,76,0,124,58,0.842568111934311,76,200
SparseTrack-inspired,96,71,0,129,50,0.8409420162056838,71,200
SparseTrack-inspired,97,72,0,128,47,0.8313707524357946,72,200
SparseTrack-inspired,98,79,1,121,59,0.8330360711673268,80,200
SparseTrack-inspired,99,76,0,124,53,0.8438013883402509,76,200
