method,frame,TP,FP,FN,IDSW,mean_iou,n_pred,n_gt
ByteTrack-like,45,61,0,139,45,0.8401274850303472,61,200
ByteTrack-like,46,58,0,142,44,0.8269702785724165,58,200
ByteTrack-like,47,62,0,138,46,0.8302682047080366,62,200
ByteTrack-like,48,65,0,135,53,0.8410178410535423,65,200
ByteTrack-like,49,61,0,139,48,0.836704750197361,61,200
ByteTrack-like,50,57,1,143,42,0.8383916242918725,58,200
ByteTrack-like,51,55,0,145,40,0.8310000916334043,55,200
ByteTrack-like,52,54,0,146,42,0.8318100648994763,54,200
ByteTrack-like,53,55,0,145,45,0.8447055094082692,55,200
ByteTrack-like,54,56,0,144,36,0.8446237287800832,56,200
ByteTrack-like,55,56,0,144,43,0.8495802971093704,56,200
ByteTrack-like,56,46,0,154,30,0.8206349754710567,46,200
ByteTrack-like,57,50,0,150,42,0.8398928455011105,50,200
ByteTrack-like,58,54,0,146,45,0.855190902932168,54,200
ByteTrack-like,59,62,0,138,44,0.8333050994027716,62,200
ByteTrack-like,60,68,0,132,53,0.8429030463845074,68,200
ByteTrack-like,61,68,0,132,44,0.8244682988377569,68,200
ByteTrack-like,62,63,0,137,49,0.834386513572869,63,200
ByteTrack-like,63,55,0,145,46,0.8476326566752796,55,200
ByteTrack-like,64,58,0,142,44,0.8404019493464867,58,200
ByteTrack-like,65,73,0,127,59,0.8501335519124704,73,200
ByteTrack-like,66,63,0,137,43,0.8479798227867077,63,200
ByteTrack-like,67,67,1,133,49,0.8400733012824525,68,200
ByteTrack-like,68,62,0,138,40,0.8398532313501554,62,200
ByteTrack-like,69,63,0,137,46,0.8231556842538071,63,200
ByteTrack-like,70,66,0,134,47,0.8401637053474617,66,200
ByteTrack-like,71,66,0,134,43,0.8269594363530093,66,200
ByteTrack-like,72,63,0,137,36,0.8182113804677991,63,200
ByteTrack-like,73,60,0,140,40,0.8268000305176231,60,200
ByteTrack-like,74,63,0,137,48,0.8332287663921774,63,200
ByteTrack-like,75,60,0,140,46,0.8351748849655187,60,200
ByteTrack-like,76,58,0,142,37,0.8253945062953046,58,200
ByteTrack-like,77,54,0,146,39,0.8398348520369665,54,200
ByteTrack-like,78,54,1,146,37,0.8377884431926903,55,200
ByteTrack-like,79,54,0,146,35,0.8569481464680156,54,200
ByteTrack-like,80,50,0,150,38,0.8181338362533368,50,200
ByteTrack-like,81,52,0,148,40,0.8315867763097214,52,200
ByteTrack-like,82,54,0,146,46,0.8403650052585102,54,200
ByteTrack-like,83,51,0,149,38,0.8354674344484114,51,200
ByteTrack-like,84,52,0,148,43,0.8438722317617263,52,200
ByteTrack-like,85,58,0,142,41,0.834952964468905,58,200
ByteTrack-like,86,68,0,132,49,0.8416613840523511,68,200
ByteTrack-like,87,69,0,131,49,0.8147641030260993,69,200
ByteTrack-like,88,62,0,138,43,0.8347846485760609,62,200
ByteTrack-like,89,65,0,135,47,0.8223950466122625,65,200
ByteTrack-like,90,61,0,139,42,0.8237194498529053,61,200
ByteTrack-like,91,62,0,138,44,0.8369111327181212,62,200
ByteTrack-like,92,62,0,138,49,0.8388584690130592,62,200
ByteTrack-like,93,58,0,142,42,0.8261354889143211,58,200
ByteTrack-like,94,50,0,150,39,0.8183783119320763,50,200
ByteTrack-like,95,56,0,144,48,0.8468449184872694,56,200
ByteTrack-like,96,57,0,143,38,0.8345503655717456,57,200
ByteTrack-like,97,56,0,144,39,0.8276437271984817,56,200
ByteTrack-like,98,66,1,134,56,0.8249787435782512,67,200
ByteTrack-like,99,54,0,146,45,0.8486675487415803,54,200
SparseTrack-inspired,0,44,0,156,0,0.8387662485989644,44,200
SparseTrack-inspired,1,60,0,140,0,0.8437682499173568,60,200
SparseTrack-inspired,2,71,0,129,14,0.8443172257687107,71,200
SparseTrack-inspired,3,74,0,126,26,0.8385617588593316,74,200
SparseTrack-inspired,4,68,0,132,34,0.8463352940724886,68,200
SparseTrack-inspired,5,73,0,127,44,0.8441860215280895,73,200
SparseTrack-inspired,6,82,0,118,46,0.8313163653963023,82,200
SparseTrack-inspired,7,82,0,118,48,0.8387304174143929,82,200
SparseTrack-inspired,8,83,0,117,47,0.8305936205128259,83,200
SparseTrack-inspired,9,86,0,114,64,0.8241200832579462,86,200
SparseTrack-inspired,10,76,0,124,57,0.8448695183067331,76,200
SparseTrack-inspired,11,70,0,130,59,0.8361853530850414,70,200
SparseTrack-inspired,12,78,0,122,64,0.8420935792771382,78,200
SparseTrack-inspired,13,72,0,128,57,0.8204212938137158,72,200
SparseTrack-inspired,14,74,0,126,57,0.8364481772889092,74,200
SparseTrack-inspired,15,68,0,132,53,0.8343930625147465,68,200
SparseTrack-inspired,16,67,0,133,53,0.8304453689480533,67,200
SparseTrack-inspired,17,66,1,134,50,0.8338376214562817,67,200
SparseTrack-inspired,18,71,0,129,58,0.8376110746466888,71,200
SparseTrack-inspired,19,68,0,132,52,0.8304859335227449,68,200
SparseTrack-inspired,20,78,0,122,66,0.8462034730094027,78,200
SparseTrack-inspired,21,72,0,128,54,0.8299911588548345,72,200
SparseTrack-inspired,22,69,1,131,52,0.8471828865761442,70,200
SparseTrack-inspired,23,70,0,130,55,0.8380760531238673,70,200
SparseTrack-inspired,24,71,0,129,57,0.8340926875121772,71,200
SparseTrack-inspired,25,67,0,133,47,0.8333022472613527,67,200
SparseTrack-inspired,26,61,0,139,47,0.8276308368577688,61,200
SparseTrack-inspired,27,64,0,136,52,0.843323142028522,64,200
SparseTrack-inspired,28,59,0,141,44,0.8188011198597781,59,200
SparseTrack-inspired,29,70,0,130,55,0.8316235916401028,70,200
SparseTrack-inspired,30,80,0,120,50,0.8513577282600331,80,200
SparseTrack-inspired,31,78,0,122,52,0.8352696045003294,78,200
SparseTrack-inspired,32,75,1,125,50,0.8256174339980338,76,200
SparseTrack-inspired,33,78,0,122,48,0.8351340660327187,78,200
SparseTrack-inspired,34,84,0,116,59,0.8398692458503887,84,200
SparseTrack-inspired,35,81,0,119,57,0.8423955439145787,81,200
SparseTrack-inspired,36,77,0,123,57,0.8360139012219596,77,200
SparseTrack-inspired,37,71,0,129,54,0.835905722707922,71,200
SparseTrack-inspired,38,73,1,127,55,0.8467282600571515,74,200
SparseTrack-inspired,39,76,1,124,55,0.8224511052752724,77,200
SparseTrack-inspired,40,74,0,126,58,0.8449469886231487,74,200
SparseTrack-inspired,41,76,0,124,62,0.8279966169257756,76,200
SparseTrack-inspired,42,72,0,128,56,0.844750401469091,72,200
SparseTrack-inspired,43,72,0,128,57,0.8231995299785988,72,200
SparseTrack-inspired,44,67,0,133,53,0.8303840672705678,67,200
SparseTrack-inspired,45,68,0,132,51,0.8414373924220091,68,200
SparseTrack-inspired,46,73,0,127,52,0.8304077730233992,73,200
SparseTrack-inspired,47,77,0,123,56,0.8300549037756019,77,200
SparseTrack-inspired,48,83,0,117,62,0.8458819232797746,83,200
SparseTrack-inspired,49,81,0,119,50,0.8352448029696827,81,200
SparseTrack-inspired,50,82,1,118,61,0.8401863582735654,83,200
SparseTrack-inspired,51,75,0,125,52,0.8365690142499917,75,200
SparseTrack-inspired,52,73,0,127,55,0.833877091883758,73,200
SparseTrack-inspired,53,73,0,127,57,0.8487081462854311,73,200
SparseTrack-inspired,54,71,0,129,54,0.843039825286945,71,200
SparseTrack-inspired,55,68,0,132,53,0.8492979534755757,68,200
SparseTrack-inspired,56,62,0,138,49,0.8267121948563799,62,200
SparseTrack-inspired,57,65,0,135,53,0.8428527341228912,65,200
SparseTrack-inspired,58,69,0,131,55,0.8505287365343848,69,200
SparseTrack-inspired,59,75,0,125,56,0.8385642088584231,75,200
SparseTrack-inspired,60,81,0,119,62,0.8425770420403829,81,200
SparseTrack-inspired,61,73,0,127,45,0.8167117959940379,73,200
SparseTrack-inspired,62,71,0,129,54,0.8466170669089816,71,200
SparseTrack-inspired,63,71,0,129,50,0.842130672560797,71,200
SparseTrack-inspired,64,73,0,127,62,0.8344311329404839,73,200
SparseTrack-inspired,65,77,0,123,61,0.8395939065598566,77,200
SparseTrack-inspired,66,73,0,127,54,0.8447382920857874,73,200
SparseTrack-inspired,67,78,1,122,53,0.8435267643749668,79,200
SparseTrack-inspired,68,78,0,122,49,0.8370028291245705,78,200
SparseTrack-inspired,69,83,0,117,62,0.8250170601224147,83,200
SparseTrack-inspired,70,86,0,114,60,0.8409102893839959,86,200
SparseTrack-inspired,71,88,0,112,60,0.8311574472494221,88,200
SparseTrack-inspired,72,83,0,117,53,0.8298840724355955,83,200
SparseTrack-inspired,73,83,0,117,60,0.8293534318919443,83,200
SparseTrack-inspired,74,84,0,116,58,0.82701241521959,84,200
SparseTrack-inspired,75,89,0,111,61,0.8338819267086164,89,200
SparseTrack-inspired,76,87,0,113,62,0.8287919949495621,87,200
SparseTrack-inspired,77,86,0,114,61,0.8416335213340738,86,200
SparseTrack-inspired,78,77,1,123,56,0.82951080434379,78,200
SparseTrack-inspired,79,76,0,124,53,0.8463779472255579,76,200
SparseTrack-inspired,80,70,0,130,52,0.8277047059112986,70,200
SparseTrack-inspired,81,75,0,125,53,0.829691117355502,75,200
SparseTrack-inspired,82,68,0,132,47,0.8455971937447443,68,200
SparseTrack-inspired,83,70,0,130,52,0.8412803938708103,70,200
SparseTrack-inspired,84,73,0,127,57,0.8464253868125159,73,200
SparseTrack-inspired,85,78,0,122,52,0.8384495348308633,78,200
SparseTrack-inspired,86,87,0,113,65,0.8411826186097835,87,200
SparseTrack-inspired,87,85,0,115,64,0.8197102013778874,85,200
SparseTrack-inspired,88,81,0,119,62,0.8270990369953961,81,200
SparseTrack-inspired,89,82,0,118,59,0.8229573621845526,82,200
SparseTrack-inspired,90,84,0,116,57,0.824698446459915,84,200
SparseTrack-inspired,91,78,0,122,50,0.839781726248977,78,200
SparseTrack-inspired,92,77,0,123,53,0.8408736280477043,77,200
SparseTrack-inspired,93,73,0,127,55,0.8340379209856859,73,200
SparseTrack-inspired,94,68,0,132,54,0.825485301502929,68,200
SparseTrack-inspired,95,76,0,124,58,0.842568111934311,76,200
SparseTrack-inspired,96,71,0,129,50,0.8409420162056838,71,200
SparseTrack-inspired,97,72,0,128,47,0.8313707524357946,72,200
SparseTrack-inspired,98,79,1,121,59,0.8330360711673268,80,200
SparseTrack-inspired,99,76,0,124,53,0.8438013883402509,76,200
