index,name,channel,kind,pressure_hpa,input_prev_mean,input_curr_mean,forecast_mean,input_curr_std,forecast_std,forecast_minus_latest_mean,forecast_minus_latest_std,forecast_minus_latest_mae,input_tendency_std,forecast_to_latest_corr
32,U400,U,upper_air,400.0,-0.04393734782934189,-0.009937080554664135,-0.022150101140141487,9.972230911254883,9.98220443725586,-0.01221301220357418,14.110916137695312,11.277091979980469,14.140316009521484,-0.0001416502200299874
33,U500,U,upper_air,500.0,0.08730683475732803,-0.009011893533170223,0.05102070793509483,9.979802131652832,9.957218170166016,0.06003256142139435,14.032299995422363,11.219832420349121,14.128235816955566,0.009244196116924286
34,U600,U,upper_air,600.0,-0.023531347513198853,-0.024348096922039986,-0.011352526023983955,10.008576393127441,10.00653076171875,0.012995555065572262,14.185689926147461,11.32021427154541,14.148250579833984,-0.004650699906051159
35,U700,U,upper_air,700.0,-0.013593514449894428,0.012368623167276382,0.02010262757539749,9.992863655090332,10.035545349121094,0.00773399043828249,14.199080467224121,11.328323364257812,14.142871856689453,-0.005207254085689783
36,U850,U,upper_air,850.0,-0.02970990538597107,0.046961139887571335,-0.019658269360661507,10.039735794067383,9.978049278259277,-0.0666194036602974,14.145339965820312,11.290140151977539,14.133289337158203,0.0013332389062270522
37,U925,U,upper_air,925.0,0.028615333139896393,-0.0824323371052742,-0.056273315101861954,9.975653648376465,10.006390571594238,0.026159023866057396,14.138279914855957,11.263254165649414,14.130338668823242,-0.001249276683665812
38,U1000,U,upper_air,1000.0,0.0033472669310867786,0.041592348366975784,0.0047109294682741165,9.97116470336914,10.003872871398926,-0.03688141703605652,14.130128860473633,11.28103256225586,14.11462116241455,-0.0007968438440002501
39,V50,V,upper_air,50.0,0.06420332938432693,0.012066826224327087,-0.015613283030688763,10.003626823425293,10.001102447509766,-0.027680106461048126,14.101692199707031,11.240388870239258,14.068840026855469,0.006181560922414064
40,V100,V,upper_air,100.0,0.023501340299844742,-0.07613283395767212,0.04025449603796005,10.007223129272461,9.961522102355957,0.11638733744621277,14.1141996383667,11.255406379699707,14.1554594039917,0.0008316262392327189
41,V150,V,upper_air,150.0,-0.018856177106499672,-0.06318622082471848,0.01111222431063652,9.994297981262207,9.995482444763184,0.0742984488606453,14.137809753417969,11.253388404846191,14.159394264221191,-0.0004104664840269834
42,V200,V,upper_air,200.0,0.0032473213504999876,-0.017624439671635628,-0.0040975878946483135,10.000831604003906,10.022051811218262,0.013526839204132557,14.167681694030762,11.311269760131836,14.151252746582031,-0.0013222802663221955
43,V250,V,upper_air,250.0,-0.0065027866512537,-0.0511493943631649,0.06349650770425797,9.986133575439453,10.00473403930664,0.11464591324329376,14.115816116333008,11.2492094039917,14.150139808654785,0.002809037221595645
44,V300,V,upper_air,300.0,0.037939172238111496,0.02728315256536007,-0.012124791741371155,10.0157470703125,9.984821319580078,-0.03940794989466667,14.135096549987793,11.264005661010742,14.189275741577148,0.0010544299148023129
45,V400,V,upper_air,400.0,-0.004240591544657946,-0.005663309246301651,0.06876176595687866,9.940979957580566,10.052741050720215,0.07442507892847061,14.114693641662598,11.254225730895996,14.085667610168457,0.0032826291862875223
46,V500,V,upper_air,500.0,-0.02760101854801178,-0.033250078558921814,-0.041843898594379425,10.032491683959961,10.038565635681152,-0.008593834936618805,14.172799110412598,11.297774314880371,14.17441177368164,0.002757583511993289
47,V600,V,upper_air,600.0,0.1273217350244522,0.05795693024992943,-0.00011849166185129434,10.012497901916504,10.000640869140625,-0.058075420558452606,14.167797088623047,11.31615161895752,14.194171905517578,-0.002314789453521371
48,V700,V,upper_air,700.0,0.05395987257361412,-0.015078555792570114,-0.03340739756822586,10.032523155212402,9.984161376953125,-0.018328826874494553,14.122918128967285,11.25394344329834,14.117415428161621,0.0043835085816681385
49,V850,V,upper_air,850.0,-0.05331902951002121,0.03764306381344795,0.016654685139656067,9.960197448730469,9.963435173034668,-0.020988386124372482,14.097447395324707,11.264208793640137,14.181314468383789,-0.0013223171699792147
50,V925,V,upper_air,925.0,0.011131326667964458,-0.03887864574790001,-0.0306768286973238,10.026323318481445,9.964393615722656,0.008201822638511658,14.116615295410156,11.250944137573242,14.134551048278809,0.002689898945391178
51,V1000,V,upper_air,1000.0,0.014285847544670105,0.03349544480443001,0.04392887279391289,9.965506553649902,10.01977825164795,0.010433431714773178,14.129849433898926,11.282293319702148,14.173578262329102,0.00027359233354218304
52,R50,R,upper_air,50.0,0.0038654569070786238,-0.09148338437080383,0.05021030083298683,10.011547088623047,10.017850875854492,0.14169366657733917,14.183235168457031,11.329816818237305,14.184040069580078,-0.002870329190045595
53,R100,R,upper_air,100.0,0.01667853444814682,0.020153384655714035,0.003722110530361533,10.017521858215332,10.022805213928223,-0.016431262716650963,14.204963684082031,11.341794967651367,14.171913146972656,-0.004848410841077566
54,R150,R,upper_air,150.0,0.01995742879807949,-0.051441553980112076,-0.06493566930294037,10.00856876373291,9.985129356384277,-0.01349411066621542,14.182365417480469,11.311640739440918,14.208052635192871,-0.006330051459372044
55,R200,R,upper_air,200.0,-0.0075386702083051205,-0.0195559561252594,-0.005072466097772121,9.95251750946045,9.964570999145508,0.014483485370874405,14.037707328796387,11.196457862854004,14.053359031677246,0.00649416446685791
56,R250,R,upper_air,250.0,0.06144772097468376,0.03105621598660946,0.04492010921239853,9.988726615905762,10.012808799743652,0.013863899745047092,14.137584686279297,11.272507667541504,14.115669250488281,0.0007982676033861935
57,R300,R,upper_air,300.0,-0.026487769559025764,-0.004349313210695982,-0.025566667318344116,9.993865013122559,10.038433074951172,-0.02121737226843834,14.122589111328125,11.26905632019043,14.174222946166992,0.005980432499200106
58,R400,R,upper_air,400.0,-0.09805852174758911,0.030682696029543877,-0.014879454858601093,9.993355751037598,9.999944686889648,-0.04556214064359665,14.073803901672363,11.245453834533691,14.155024528503418,0.008976547047495842
59,R500,R,upper_air,500.0,0.034998390823602676,0.0203084759414196,0.018357329070568085,9.98912525177002,10.022764205932617,-0.0019511653808876872,14.14581298828125,11.303132057189941,14.15506362915039,0.0006711696623824537
60,R600,R,upper_air,600.0,-0.010010573081672192,-0.03578978404402733,0.029222775250673294,10.017434120178223,10.035920143127441,0.06501255184412003,14.109217643737793,11.263365745544434,14.209151268005371,0.00994019489735365
61,R700,R,upper_air,700.0,0.025719959288835526,-0.047025591135025024,-0.042219266295433044,10.02159309387207,10.020256042480469,0.004806330427527428,14.18604850769043,11.321209907531738,14.187459945678711,-0.0020220717415213585
62,R850,R,upper_air,850.0,0.011090060696005821,0.07338117808103561,-0.050005439668893814,10.006590843200684,9.980439186096191,-0.12338660657405853,14.153539657592773,11.307823181152344,14.150361061096191,-0.0029120834078639746
63,R925,R,upper_air,925.0,-0.01192527823150158,-0.02583896927535534,-0.021136539056897163,10.011123657226562,9.962719917297363,0.00470243114978075,14.072803497314453,11.218399047851562,14.042566299438477,0.007191733457148075
64,R1000,R,upper_air,1000.0,0.050165124237537384,-0.05781950801610947,0.03124673292040825,9.998883247375488,10.01163387298584,0.08906624466180801,14.130364418029785,11.250226020812988,14.14903736114502,0.0027133722323924303
65,T2M,T2M,surface,,-0.06707994639873505,0.026625068858265877,0.03913299739360809,9.997865676879883,9.969742774963379,0.012507927604019642,14.174736976623535,11.330135345458984,14.117430686950684,-0.007876013405621052
66,U10,U10,surface,,0.050369005650281906,-0.0358545146882534,-0.026647767052054405,9.997628211975098,10.015897750854492,0.00920675229281187,14.185836791992188,11.329686164855957,14.16742992401123,-0.004829570185393095
67,V10,V10,surface,,-0.01923409476876259,-0.01453864760696888,-0.07164433598518372,9.970691680908203,9.971844673156738,-0.05710568279027939,14.109737396240234,11.270472526550293,14.059260368347168,-0.001168243121355772
68,MSL,MSL,surface,,-0.05037602782249451,-0.015547452494502068,-0.014391899108886719,10.037199020385742,9.964982032775879,0.0011555576929822564,14.166513442993164,11.302837371826172,14.137846946716309,-0.0032187930773943663
69,TP,TP,surface,,7.974716663360596,7.9850172996521,7.982635974884033,6.032466411590576,6.033872604370117,-0.002382148988544941,8.520357131958008,6.611654281616211,8.530660629272461,0.0027718902565538883
