simulation_name,repetition,vaccine,threshold,coverage_ratio,n_cells
100-cells.10x,3,MinSum.budget-10.adaptive,0.5,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.51,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.52,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.53,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.54,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.55,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.56,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.57,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.58,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.59,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.6,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.61,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.62,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.63,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.64,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.65,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.66,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.67,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.68,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.69,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.7,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.71,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.72,0.98,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.73,0.98,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.74,0.98,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.75,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.76,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.77,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.78,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.79,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.8,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.81,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.82,0.97,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.83,0.96,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.84,0.96,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.85,0.92,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.86,0.92,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.87,0.91,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.88,0.89,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.89,0.86,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.9,0.82,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.91,0.77,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.92,0.71,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.93,0.63,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.94,0.52,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.95,0.45,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.96,0.31,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.97,0.18,100
