simulation_name,vaccine,threshold,mean_coverage,sd_coverage,min_coverage,max_coverage
100-cells.10x,MinSum.budget-10.adaptive,0.36,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.37,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.38,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.39,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.4,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.41,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.42,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.43,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.44,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.45,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.46,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.47,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.48,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.49,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.5,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.51,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.52,0.991,0.0073786478737262315,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.53,0.991,0.0073786478737262315,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.54,0.991,0.0073786478737262315,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.55,0.991,0.0073786478737262315,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.56,0.991,0.0073786478737262315,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.57,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.58,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.59,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.6,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.61,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.62,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.63,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.64,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.65,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.66,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.67,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.68,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.69,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.7,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.71,0.99,0.006666666666666673,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.72,0.9890000000000001,0.007378647873726227,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.73,0.9869999999999999,0.009486832980505157,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.74,0.9869999999999999,0.009486832980505157,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.75,0.985,0.010801234497346436,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.76,0.985,0.010801234497346436,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.77,0.985,0.010801234497346436,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.78,0.982,0.012292725943057197,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.79,0.982,0.012292725943057197,0.97,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.8,0.9800000000000001,0.014907119849998611,0.96,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.81,0.978,0.018737959096740288,0.94,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.82,0.977,0.02110818693198339,0.93,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.83,0.975,0.021730674684008827,0.93,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.84,0.967,0.034657049948186754,0.88,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.85,0.958,0.0431534728871527,0.86,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.86,0.951,0.05425249610232999,0.82,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.87,0.9349999999999999,0.0705927286151579,0.77,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.88,0.9179999999999999,0.08991353871606013,0.71,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.89,0.9029999999999999,0.10583530181896351,0.66,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.9,0.8869999999999999,0.1253484033493136,0.6,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.91,0.8550000000000001,0.15728600983205368,0.5,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.92,0.8089999999999999,0.2098915063656565,0.32,0.99
100-cells.10x,MinSum.budget-10.adaptive,0.93,0.768,0.22523074587828565,0.25,0.96
100-cells.10x,MinSum.budget-10.adaptive,0.94,0.6970000000000001,0.24486050450545646,0.16,0.92
100-cells.10x,MinSum.budget-10.adaptive,0.95,0.606,0.25859449164881904,0.09,0.88
100-cells.10x,MinSum.budget-10.adaptive,0.96,0.529,0.266101484400219,0.06,0.86
100-cells.10x,MinSum.budget-10.adaptive,0.97,0.406,0.25465444996875447,0.02,0.78
100-cells.10x,MinSum.budget-10.adaptive,0.98,0.236,0.20597734503257065,0.01,0.6
100-cells.10x,MinSum.budget-10.adaptive,0.99,0.089,0.0932678341599551,0.01,0.28
