level,family,rmse_persistence,rmse_linear,mae_persistence,mae_linear,corr_persistence,corr_linear,increment_mean_abs,input_tendency_mean_abs,linear_rmse_improvement_frac
T500,T,14.167525757127859,24.54095479551353,11.310367912690099,19.59818575723717,-5.6902472816187825e-05,0.00034598709247799517,11.310367912690099,11.315052370403265,-0.7321976480732122
T600,T,14.09406562902935,24.492926487458444,11.26238815235336,19.527262624234954,0.003667979625734994,0.0029793781649219246,11.26238815235336,11.299699437371727,-0.7378183933676813
T700,T,14.11660657584999,24.45851158062329,11.25691490581652,19.50496173890949,-0.004441568629464515,-0.00482784003445428,11.25691490581652,11.273917874592524,-0.7326055981800705
T850,T,14.097301076111096,24.4045469188002,11.247472949869703,19.486268458748583,0.009202247902574468,0.006393040581855009,11.247472949869703,11.248502951190819,-0.7311502951551119
T925,T,14.233365959913653,24.645841278612963,11.35609077474996,19.66679775481598,-0.006942667690114245,-0.002767239380710185,11.35609077474996,11.343625544487296,-0.7315539660839632
U100,U,14.085754255112555,24.397802345847573,11.232522288928777,19.477700596405814,0.011750597436756452,0.009145317385446132,11.232522288928777,11.262680109000659,-0.7320905862738707
U1000,U,14.175784973974416,24.4937002791954,11.320116399624697,19.546716151712314,-0.0031807916613781203,-0.00400242437359744,11.320116399624697,11.259363030562586,-0.7278549529471444
U150,U,14.094798264266466,24.42367409996427,11.250527395313016,19.508054747944385,0.0014468385551192982,0.0033113486577845976,11.250527395313016,11.268962209430272,-0.7328147336371508
U200,U,14.154562792444436,24.513102605303626,11.271310101652489,19.498166082999017,-8.727853690628e-05,-0.0020497389592861555,11.271310101652489,11.27461232316172,-0.7318163029654632
U250,U,14.167272426188067,24.488860073411967,11.306475742132791,19.541938185338534,-0.0021013288571172122,-0.003964134625129691,11.306475742132791,11.205724339251788,-0.7285515049562077
U300,U,14.09309161169701,24.420306358157266,11.215376266745281,19.446057433586407,0.005131931784141977,0.0068216098705741555,11.215376266745281,11.304684349217686,-0.7327856109222234
U400,U,14.118312232528107,24.437316589821307,11.282407591210365,19.515795465337938,-0.0014303900775141922,-0.0026991514062701693,11.282407591210365,11.251757817857799,-0.7308950381135905
U50,U,14.118023387482005,24.472268938498516,11.287295901029719,19.520773497893654,0.007672476520351098,0.005187410440191688,11.287295901029719,11.274881978359021,-0.7334061764054935
U500,U,14.029435925952024,24.3568877214857,11.217472972754015,19.44615863358583,0.010696621897303039,0.007563516885423913,11.217472972754015,11.269460404507715,-0.7361273717662219
U600,U,14.213681488454142,24.540105374561726,11.345910100358653,19.565900852828975,-0.0066608221727714485,-0.003951610783088032,11.345910100358653,11.241363611992442,-0.7265129653071092
U700,U,14.159897662403536,24.509766449519415,11.29629996612002,19.558616449901855,-0.002181155101448271,-0.0035533869128989448,11.29629996612002,11.272652246246553,-0.7309282195305828
U850,U,14.151270263534562,24.480754692901215,11.30499249962639,19.528869185023204,-0.0009012200000476662,0.0021447987224330425,11.30499249962639,11.27929551543382,-0.7299333725527095
U925,U,14.139535979547857,24.463531680939276,11.273892415947909,19.501256880666737,-0.003990842962614908,-0.004645840058808034,11.273892415947909,11.244416804305324,-0.730150955188669
V100,V,14.115311440847641,24.5347923286438,11.250102416859098,19.56893792919213,0.0012709721567821422,0.00029882677178071293,11.250102416859098,11.309081094744373,-0.7381686852224676
V1000,V,14.132819209415015,24.502149879462934,11.290635492049818,19.559812342502582,-0.0007008611596153927,-8.145361992423267e-05,11.290635492049818,11.322918814348155,-0.7337057466312219
V150,V,14.1229763940558,24.467351053089537,11.247424064225456,19.523661564830157,0.002010401674523209,0.004406855040834987,11.247424064225456,11.289867505978668,-0.7324500424278529
V200,V,14.160140242414855,24.551895791911015,11.29933815277385,19.592811443767417,0.0004447070309251076,-0.0006574618792803137,11.29933815277385,11.303790970551985,-0.7338737732532487
V250,V,14.111672704406434,24.48267810231729,11.254066885021075,19.491180405956214,0.0035548137897673557,0.004171059065017306,11.254066885021075,11.295269079473316,-0.7349238899703551
V300,V,14.139424085026652,24.552551048327672,11.264214514658713,19.554890699931757,0.0010124486546399323,-0.0009618793450026757,11.264214514658713,11.30117572572836,-0.7364604739685472
V400,V,14.113315781282106,24.410097170211355,11.251268867649472,19.468724590912736,0.002511743722657065,0.002896663777612931,11.251268867649472,11.239916106188623,-0.7295791824190199
V50,V,14.097702953511284,24.422946993072106,11.24147049167472,19.486114158322287,0.0077809590790895115,0.00639656521676973,11.24147049167472,11.25424033535097,-0.7324061284032897
V500,V,14.184143568423956,24.595040280679108,11.312973962829167,19.603246189778634,0.0010950403654162821,0.0002887736308856886,11.312973962829167,11.32256180470531,-0.7339813406451539
V600,V,14.160202451685828,24.511049892041555,11.301863048333665,19.573729632093315,-0.002046233263336995,-0.0015650537037099712,11.301863048333665,11.286635940377469,-0.73098159971035
V700,V,14.120607533533708,24.48979675724009,11.247740141766501,19.531813238869123,0.003366642158441227,0.0011919046817173112,11.247740141766501,11.25860615720843,-0.7343302474119167
V850,V,14.118667245972555,24.49656991477111,11.27759432676982,19.573013078856636,-0.0044881559011220465,-0.0026614019623908535,11.27759432676982,11.33963883058041,-0.7350483220545426
V925,V,14.09749269328377,24.443837110972026,11.244930967978835,19.528208434432614,0.0021310714196722475,0.0035443413754688217,11.244930967978835,11.274361556220999,-0.7339137989138586
Z100,Z,14.130996485652856,24.5212911521604,11.26895364491743,19.559839257125088,0.0044385312710560265,0.001748738747093495,11.26895364491743,11.304161431348538,-0.7352839325278135
Z1000,Z,14.170846194291672,24.54440974692224,11.292407216797399,19.570424636219947,-0.0002728740826051557,0.0030937618570787344,11.292407216797399,11.324067376605704,-0.7320355757448888
Z150,Z,14.116963312344756,24.42502107007586,11.23468429400699,19.47544131198302,-0.000323053313475162,-0.001078324921794735,11.23468429400699,11.247893096454588,-0.7301894557391881
Z200,Z,14.110382151148661,24.400743375137328,11.26467854254625,19.474617729410657,0.0029721022218268138,0.0006472891374647181,11.26467854254625,11.200141974840317,-0.7292758703314761
Z250,Z,14.15285615714729,24.571992784030364,11.286759321274678,19.600429343723366,0.0012330496470151307,-0.0009325598325821104,11.286759321274678,11.28542057139612,-0.7361861458346933
Z300,Z,14.100285331573758,24.443056637901943,11.230575630884811,19.5180093155438,0.0003830540148149685,0.001630136439981089,11.230575630884811,11.278949021866222,-0.7335150362644335
Z400,Z,14.103636520890438,24.471539588307614,11.256226410635342,19.539140328103063,0.002165685829799957,-0.002253568212394444,11.256226410635342,11.274636474942382,-0.735122679321758
Z50,Z,14.141699122873463,24.486761721795855,11.275498842053755,19.540810719638987,0.004609475760357989,0.005231203768358549,11.275498842053755,11.28899163719666,-0.7315289703901132
Z500,Z,14.153604191555445,24.51713785363033,11.297123813771423,19.623705490273245,-0.006299546109203052,-0.007717746522188628,11.297123813771423,11.292811135263115,-0.7322187000437773
Z600,Z,14.14807825518797,24.479172189242806,11.278342339709829,19.516384373821868,-0.0029112941447189886,0.000296020149150893,11.278342339709829,11.257944605498139,-0.7302118173022205
Z700,Z,14.154508942672434,24.5747585958174,11.282965272968088,19.605577849923016,-3.701335741920654e-05,0.0038980653817932373,11.282965272968088,11.351513223439941,-0.7361788173187996
Z850,Z,14.134899468488891,24.480708449758488,11.293760332016573,19.50449109774679,0.004946784875741819,0.005476415647225921,11.293760332016573,11.27662055757299,-0.7319336797784547
Z925,Z,14.120553453023845,24.577480499244334,11.254725817859782,19.568494582570814,0.004560771583250582,0.0033652135853342686,11.254725817859782,11.317770636010774,-0.7405465430946824
MSL,surface,14.172306014311323,24.553115366266166,11.3066468796753,19.54456856823998,-0.003639970055375595,-0.004310010582719909,11.3066468796753,11.261294067606496,-0.7324714370034212
T2M,surface,14.16083606979253,24.52378453478836,11.3209985378069,19.59932567118969,-0.009654910159547317,-0.010735179614571206,11.3209985378069,11.245798955526906,-0.7318034340572417
TP,surface,8.521091772835927,14.737216104112402,6.61568320709227,11.562141233515703,-0.0015602028007789962,0.0015083062748487677,6.61568320709227,6.596712175295244,-0.7294985779982593
U10,surface,14.200123159841018,24.55495547833218,11.347089492592534,19.5961359225054,-0.008335629937799583,-0.006883890108136716,11.347089492592534,11.280087643611855,-0.7292072189750706
V10,surface,14.10476812310392,24.390615461501366,11.264085477601508,19.46496116235844,-0.00034137059786966916,0.0007288700614794301,11.264085477601508,11.222861399769853,-0.7292461136988847
