UMAP1,UMAP2,annotated_age,state,phase,pseudotime
24.127073,19.718306,10.93333333,cycling,S,0.375396
27.654202,21.479994,4.266666667,cycling,G1,0.49601308
28.197618,20.600447,13.86666667,cycling,G2,0.6491813
22.778624,20.005737,8.266666667,arrested,G0,0.17772414
24.831293,20.996695,7.2,cycling,S,0.2234424
28.363749,20.688173,18.4,cycling,G2,0.7063398
28.660118,18.808643,9.6,cycling,S,0.589462
25.392824,21.42938,5.066666667,cycling,G1,0.20706652
28.121798,22.297472,3.2,cycling,G1,0.6598277
26.937544,19.60109,1.333333333,cycling,G1,0.38871142
24.579403,19.94145,4.266666667,cycling,G1,0.25605866
27.635962,18.676836,5.8666666670000005,cycling,S,0.53232217
28.349121,18.288347,2.133333333,cycling,G1,0.5333041
27.458323,22.042929,14.13333333,cycling,S,0.52039844
27.516815,21.693985,17.33333333,cycling,G2,0.5720234
23.577719,20.158833,9.866666667,cycling,G1,0.14541356
25.010664,20.948572,5.8666666670000005,cycling,S,0.37778834
30.458612,19.273653,9.066666667,cycling,S,0.881699
26.059309,20.684778,16.26666667,cycling,G2,0.4426104
25.027784,19.848104,4.266666667,cycling,G1,0.30760267
26.948885,21.83678,7.2,cycling,S,0.38711402
29.251045,20.826698,20.0,cycling,G2,0.75025326
25.301144,19.905283,4.266666667,cycling,G1,0.30446413
25.993727,21.627497,4.266666667,cycling,G1,0.27363178
27.121859,21.855064,18.93333333,cycling,S,0.43787086
24.45729,18.986078,2.666666667,cycling,G1,0.400755
23.349428,20.112713,1.333333333,cycling,G1,0.19822395
24.818941,19.862358,4.266666667,cycling,G1,0.28855246
22.800934,20.050697,1.8666666669999998,cycling,G1,0.21008532
28.449703,19.560751,8.266666667,cycling,S,0.5324182
24.765768,20.25027,5.8666666670000005,cycling,G1,0.24313812
22.779814,18.439604,8.266666667,arrested,G0,0.2717712
26.253798,21.944323,5.333333333,cycling,S,0.3501384
24.961798,20.020199,3.4666666669999997,nan,G1,0.2940758
24.43443,19.689215,5.333333333,cycling,G1,0.35632437
25.033152,19.776384,5.066666667,cycling,G1,0.29405573
23.777624,20.013802,3.2,nan,G1,0.20132357
24.385492,19.354923,2.133333333,cycling,G1,0.32140625
23.062544,19.640772,2.933333333,cycling,G1,0.21603058
30.15186,18.335262,2.4,cycling,G1,0.8299686
23.7248,19.567705,5.8666666670000005,cycling,S,0.2956135
28.927042,20.406273,12.53333333,cycling,G2,0.7270275
28.913685,20.690409,15.2,cycling,G2,0.7324662
25.304338,19.66273,5.066666667,cycling,S,0.30577236
29.366158,19.408726,5.6,cycling,S,0.6706001
27.622822,18.751709,10.93333333,cycling,S,0.5363701
27.448746,18.709316,6.4,cycling,S,0.47247192
24.544317,19.446873,7.733333332999999,cycling,S,0.34109446
26.8642,20.340025,4.8,cycling,G1,0.41358316
27.45184,18.832632,1.6,cycling,G1,0.4264203
25.844189,19.68694,4.8,cycling,S,0.36163163
29.05178,19.57064,4.533333333,arrested,G0,0.5762146
26.757505,21.770412,17.86666667,cycling,G2,0.47264072
24.463795,20.65558,14.13333333,cycling,G2,0.31358954
26.8279,19.254923,9.333333332999999,cycling,S,0.4887727
27.537222,17.814348,4.266666667,cycling,G1,0.45903262
26.14636,20.53239,6.1333333329999995,cycling,S,0.32774225
24.387432,21.986237,4.533333333,cycling,G1,0.13718382
29.16566,20.307901,16.26666667,cycling,G2,0.6830534
23.779408,18.974731,4.533333333,cycling,S,0.32372785
24.642487,19.959799,5.8666666670000005,cycling,S,0.34324032
24.218355,19.4107,5.333333333,cycling,S,0.3849861
26.135935,21.967436,13.6,cycling,S,0.33692572
25.727276,16.854939,9.866666667,cycling,S,0.48968875
24.661064,19.054039,9.6,cycling,S,0.45649067
23.23311,19.462519,5.333333333,cycling,G1,0.2958247
24.962442,19.063103,6.4,cycling,S,0.4428592
24.573256,19.38915,1.6,arrested,G0,0.3825591
24.980331,20.738554,1.8666666669999998,cycling,G1,0.20510456
23.328043,20.742119,0.0,cycling,G1,0.0
27.34665,21.579678,15.46666667,cycling,G2,0.600753
24.870968,18.74204,20.0,cycling,S,0.46293652
26.434668,17.920265,2.4,cycling,G1,0.44858134
25.775517,21.52514,4.266666667,cycling,G1,0.18099779
29.030396,18.892828,5.8666666670000005,arrested,G0,0.5911822
24.911024,19.719889,5.066666667,cycling,G1,0.30673194
29.849705,18.145374,3.4666666669999997,cycling,G1,0.80684537
22.967474,20.610052,0.0,cycling,G1,0.10036606
25.342539,20.541416,3.2,arrested,G0,0.25608787
26.894773,20.174267,16.53333333,cycling,G2,0.5487699
26.367704,21.874687,7.2,cycling,S,0.32390815
27.615417,22.347305,6.666666667,cycling,S,0.49549004
23.763233,20.854227,5.333333333,cycling,S,0.21591969
26.10724,17.91915,5.066666667,cycling,G1,0.5047757
24.292818,18.902058,9.866666667,cycling,S,0.433262
30.46951,18.688007,13.86666667,cycling,G2,0.87599933
26.484705,17.969862,3.4666666669999997,cycling,G1,0.47216797
27.757154,21.634865,15.46666667,cycling,G2,0.59104615
24.347658,19.144077,5.333333333,cycling,S,0.35438794
24.351284,18.46244,1.6,cycling,G1,0.38353497
30.726326,18.478914,3.2,arrested,G0,0.95107037
23.41744,21.516731,1.333333333,nan,G1,0.12053508
28.883995,16.903875,2.666666667,cycling,G1,0.6420576
23.733892,18.738194,3.2,cycling,G1,0.49442875
23.90117,19.461554,2.4,arrested,G0,0.3052494
30.046432,17.948193,0.533333333,cycling,G1,0.80987966
23.528992,19.316301,2.933333333,cycling,G1,0.24946949
25.542753,21.117315,2.133333333,cycling,G1,0.1842711
23.60403,19.851929,5.8666666670000005,cycling,G1,0.25011066
30.43612,18.993246,7.466666667,cycling,S,0.867882
27.052101,17.5076,2.4,cycling,G1,0.48048708
29.039019,17.01246,0.533333333,cycling,G1,0.6173727
27.570606,22.171038,10.66666667,cycling,S,0.50720006
24.513645,20.232897,10.93333333,cycling,S,0.3707758
26.221313,19.311394,5.8666666670000005,cycling,S,0.38906148
30.144957,18.139881,8.0,cycling,S,0.82971126
28.737724,21.532934,17.33333333,cycling,G2,0.79438996
28.400818,16.881334,5.066666667,cycling,G1,0.51319355
28.188364,21.849094,17.86666667,cycling,G2,0.66633785
23.328901,21.52436,0.8,arrested,G0,0.094060905
26.549274,19.60177,11.2,cycling,S,0.47229788
20.887722,17.090265,5.8666666670000005,arrested,G0,0.60313076
26.901772,21.746637,1.8666666669999998,nan,G1,0.48471323
24.396458,18.54075,4.8,cycling,G1,0.37489623
24.53521,19.7243,6.4,cycling,S,0.39025447
29.856035,18.823917,2.4,arrested,G0,0.7387975
24.462257,20.636095,6.666666667,cycling,S,0.28868842
24.6852,21.483541,0.0,cycling,G1,0.32356137
27.453253,21.32724,16.8,nan,G2,0.5983919
23.55543,20.332418,0.8,arrested,G0,0.26199767
25.930927,17.813885,4.266666667,nan,G1,0.49342552
29.309637,17.180664,1.066666667,cycling,G1,0.7677048
27.128998,18.7446,9.066666667,cycling,S,0.4696202
28.287632,20.783075,15.2,cycling,G2,0.7383542
23.964497,19.460941,1.8666666669999998,arrested,G0,0.32335824
24.013018,18.463263,8.533333333,cycling,S,0.54749477
23.459892,18.656301,1.333333333,arrested,G0,0.52350026
23.172817,19.592623,1.333333333,cycling,G1,0.22033143
24.717455,19.410858,6.1333333329999995,cycling,S,0.4021724
24.868279,21.413654,0.0,cycling,G1,0.2997403
30.793049,17.88882,0.533333333,arrested,G0,0.85145855
25.449312,18.396088,18.93333333,cycling,S,0.5091048
28.217323,21.758944,1.066666667,nan,G1,0.60158896
27.649479,20.868309,3.733333333,nan,G1,0.5762723
24.247902,18.486513,8.266666667,cycling,S,0.45119712
25.76372,18.579819,9.866666667,cycling,S,0.47664908
24.579397,21.349072,0.0,cycling,G1,0.35019332
23.57184,20.271215,0.26666666699999997,cycling,G1,0.19432016
24.28362,18.6045,4.266666667,cycling,G1,0.43419996
25.17322,19.937014,6.666666667,cycling,S,0.27493212
24.607866,18.426855,5.6,cycling,S,0.43417326
23.495966,18.642527,1.333333333,arrested,G0,0.5491873
26.445663,20.90114,8.0,cycling,S,0.28267497
25.297943,20.451527,18.13333333,cycling,S,0.45384976
29.371765,17.07425,1.066666667,arrested,G0,0.4952845
30.7156,17.35689,0.0,cycling,G1,0.7301082
26.520857,17.690378,2.4,nan,G1,0.5417453
23.326895,20.314026,0.26666666699999997,cycling,G1,0.2036708
24.117844,19.120546,15.73333333,cycling,G2,0.419819
26.594149,20.927912,14.93333333,cycling,G1,0.31778726
30.348913,17.762629,0.533333333,arrested,G0,0.81613195
24.124546,18.173807,4.0,nan,G1,0.41861278
28.00395,18.554499,6.1333333329999995,cycling,G1,0.574664
24.322384,17.953686,3.2,nan,G1,0.44781387
30.428421,17.205032,1.066666667,arrested,G0,0.62447286
23.986053,21.300247,10.93333333,cycling,S,0.17709492
23.809626,21.493479,3.2,cycling,G1,0.107005455
27.030762,18.062292,7.466666667,cycling,S,0.5186204
26.567078,21.107893,13.33333333,cycling,S,0.40824735
24.604544,18.260183,4.266666667,cycling,G1,0.4303118
24.124237,21.187822,6.666666667,cycling,S,0.13796832
28.569956,20.623846,15.73333333,cycling,G2,0.7819616
24.260803,19.277733,14.13333333,nan,S,0.43766296
24.706608,18.48028,5.6,cycling,G1,0.3995734
22.925236,18.095428,6.666666667,cycling,S,0.41462097
24.527222,17.465443,8.266666667,nan,S,0.52234983
24.933971,22.080185,5.8666666670000005,cycling,G1,0.3439991
23.115314,19.412622,3.2,arrested,G0,0.24810968
26.796396,21.67073,12.0,cycling,S,0.3410603
28.071608,21.763235,14.93333333,cycling,G2,0.65529066
27.26129,18.018538,9.866666667,cycling,S,0.52858573
26.84411,20.925497,5.6,cycling,S,0.36956465
26.767214,18.908203,6.666666667,cycling,S,0.48327863
22.996775,18.035717,6.666666667,cycling,G1,0.39264396
24.60994,18.148916,5.8666666670000005,cycling,G1,0.4601742
27.946512,20.366034,9.066666667,cycling,S,0.6465876
23.414377,19.932238,0.26666666699999997,cycling,G1,0.23256703
26.802279,20.971556,3.733333333,cycling,G1,0.33480063
29.227493,18.100286,2.4,cycling,G1,0.6406778
24.634418,17.999842,4.533333333,nan,S,0.45679322
28.835075,21.186907,17.33333333,cycling,G2,0.7988553
28.909445,19.792456,13.6,cycling,G2,0.62940574
26.351593,21.044216,2.933333333,cycling,G1,0.2558899
29.448841,17.073473,0.8,nan,G1,0.69998765
28.911882,19.738153,16.26666667,cycling,G2,0.6416357
27.94123,20.116539,18.66666667,cycling,G2,0.6022955
30.344687,18.865881,2.666666667,arrested,G0,0.9092105
28.567335,18.4973,8.266666667,cycling,S,0.56263167
27.683632,18.537325,7.466666667,cycling,S,0.49758378
25.463099,17.853899,9.066666667,cycling,S,0.49721527
24.803753,18.794739,7.733333332999999,cycling,S,0.41132763
24.964725,19.289719,10.93333333,cycling,S,0.37958193
28.415646,19.165178,14.13333333,nan,G2,0.5402853
27.52307,21.481094,10.93333333,cycling,S,0.46486473
28.135513,21.135736,16.26666667,cycling,G2,0.6476553
24.81401,19.06144,7.2,cycling,S,0.4027368
30.944574,17.878334,16.53333333,cycling,G2,0.7841506
23.026018,19.778402,0.26666666699999997,cycling,G1,0.20607094
29.571102,18.622774,6.666666667,arrested,G0,0.69865024
25.342468,18.382568,5.8666666670000005,cycling,S,0.4302568
29.496168,17.885572,0.8,arrested,G0,0.7030485
26.152344,20.115211,16.53333333,nan,G2,0.45143598
24.935564,18.30509,3.733333333,cycling,G1,0.44564998
29.037243,20.698303,16.26666667,cycling,G2,0.81938046
25.919548,20.93081,3.2,cycling,G1,0.29471633
28.966082,17.01547,6.933333332999999,cycling,S,0.6115119
25.278122,20.50589,5.6,cycling,S,0.38770995
31.069563,18.568588,12.53333333,cycling,G2,0.88982016
27.93786,18.902184,9.6,cycling,S,0.5354304
28.31379,17.518217,2.133333333,arrested,G0,0.58576506
28.113588,17.744358,6.933333332999999,cycling,S,0.5270637
29.825869,17.608078,6.4,cycling,G1,0.73715675
27.079468,21.3782,15.73333333,cycling,G2,0.5247499
30.365662,17.543432,1.066666667,cycling,G1,0.7817122
28.238037,20.99077,20.0,cycling,G2,0.71682686
24.492804,18.179379,3.733333333,cycling,G1,0.4240012
24.065683,20.022972,6.666666667,cycling,S,0.3341611
26.482119,20.419361,6.4,cycling,S,0.39809832
28.438446,19.07346,21.6,cycling,S,0.55797076
26.189089,21.027822,2.4,cycling,G1,0.27632812
30.297104,18.264553,1.066666667,arrested,G0,0.83261776
25.971813,20.574251,9.066666667,cycling,S,0.290118
29.08957,16.801683,1.066666667,nan,G1,0.68674475
23.549511,21.303816,4.533333333,cycling,G1,0.11983259
25.4589,20.247492,12.53333333,cycling,S,0.2832283
29.328337,18.07429,1.8666666669999998,cycling,G1,0.67275316
29.449673,19.864285,18.93333333,cycling,S,0.69056356
24.322063,17.757029,2.4,cycling,G1,0.43349844
28.732426,20.703062,16.8,cycling,G2,0.8057629
28.123117,18.174122,16.26666667,cycling,G2,0.5629911
29.65221,17.495909,3.733333333,cycling,G1,0.73029464
26.789633,20.524858,18.93333333,arrested,G0,0.4249162
24.28789,21.164686,8.8,cycling,S,0.24518307
30.243828,18.020657,3.733333333,nan,G1,0.828535
27.995401,18.379314,6.1333333329999995,cycling,S,0.5109885
24.442423,21.264982,3.2,cycling,G1,0.1671901
26.144796,19.992706,9.066666667,cycling,S,0.47231972
29.456842,20.581911,13.33333333,cycling,G2,0.7329088
28.356392,17.10907,2.4,nan,G1,0.57025856
29.9548,17.782925,1.066666667,arrested,G0,0.7670181
25.004835,19.060139,7.2,cycling,S,0.43248147
24.595757,17.133625,6.933333332999999,cycling,S,0.48294225
28.419111,19.272715,12.53333333,cycling,G2,0.59207004
28.619854,16.59283,0.533333333,cycling,G1,0.56733495
24.828348,20.698494,10.93333333,cycling,S,0.2985885
28.948772,16.758347,0.533333333,cycling,G1,0.65546155
29.182476,17.2458,5.8666666670000005,arrested,G0,0.66244996
29.163754,16.954967,2.4,cycling,G1,0.6702412
28.199541,18.16321,8.8,cycling,S,0.5525341
26.60701,18.836594,17.33333333,cycling,G2,0.52672446
22.480242,18.437073,1.333333333,cycling,G1,0.3980242
23.107367,19.398546,1.6,cycling,G1,0.21584865
25.158901,17.54862,8.266666667,cycling,S,0.47980493
26.664959,20.256033,11.73333333,cycling,S,0.49368358
25.68722,20.851854,10.13333333,cycling,S,0.33148295
28.13596,16.914597,2.133333333,arrested,G0,0.5507752
25.230719,19.149643,5.8666666670000005,cycling,S,0.34953234
28.892282,17.595966,9.6,cycling,S,0.6059493
29.230576,17.281363,1.333333333,cycling,G1,0.6684964
25.938517,20.360014,5.8666666670000005,cycling,S,0.4444466
24.055191,17.712208,1.6,cycling,G1,0.42467868
25.294847,19.32752,4.533333333,cycling,G1,0.32826185
28.364412,17.26023,5.6,cycling,G1,0.56748855
25.571215,19.207014,15.2,cycling,S,0.4800794
24.598862,18.42674,2.4,nan,G1,0.4256328
23.847897,20.225792,4.533333333,cycling,G1,0.13778457
28.181385,18.921978,12.8,cycling,G2,0.5525496
25.703485,21.83573,1.333333333,cycling,G1,0.23156402
25.931648,21.247427,1.8666666669999998,cycling,G1,0.25781843
27.957705,18.195175,8.266666667,cycling,S,0.504832
28.815863,16.659348,3.4666666669999997,arrested,G0,0.6322653
24.023788,17.705593,6.666666667,cycling,G1,0.4355174
28.32466,17.529917,1.066666667,arrested,G0,0.61696935
25.28834,17.490461,5.6,cycling,S,0.5203923
28.017366,19.080393,17.33333333,cycling,G2,0.57924503
23.823841,17.400482,2.4,arrested,G0,0.4327751
25.894821,20.03247,15.2,cycling,S,0.4553151
29.399895,17.45865,0.8,arrested,G0,0.7249499
24.727543,16.41894,5.8666666670000005,cycling,G1,0.49848965
24.997492,19.270638,14.13333333,cycling,S,0.44056517
27.654325,18.148039,8.533333333,cycling,S,0.51043904
23.409754,20.821766,2.4,cycling,G1,0.15477128
25.49342,21.30756,2.933333333,cycling,G1,0.41403094
26.142569,17.806557,10.93333333,cycling,S,0.5376457
26.303875,21.599827,7.733333332999999,cycling,S,0.31671506
26.024702,20.788586,4.8,cycling,G1,0.2451871
28.8539,21.82237,4.533333333,cycling,G1,0.7451134
26.195421,20.495863,14.93333333,cycling,S,0.43236586
26.998241,16.90851,8.8,cycling,S,0.5537552
24.622473,16.304983,3.4666666669999997,arrested,G0,0.49116117
25.392742,20.767801,2.133333333,cycling,G1,0.30533165
26.834106,20.566168,2.4,cycling,G1,0.39856085
29.378265,17.517208,1.066666667,arrested,G0,0.6639832
23.270493,18.235107,1.6,cycling,G1,0.35726666
28.019434,19.482101,16.26666667,cycling,G2,0.53635174
22.839855,19.601316,4.533333333,cycling,G1,0.23796026
25.029333,17.310844,7.733333332999999,cycling,S,0.49971938
24.99259,17.41677,6.666666667,cycling,S,0.5032788
27.353296,19.070387,2.4,nan,G1,0.4859559
26.810366,20.53066,17.06666667,cycling,S,0.3936544
25.878927,21.83066,2.133333333,cycling,G1,0.2727559
27.451248,19.179401,20.0,cycling,G2,0.5954219
23.07368,18.72403,1.066666667,cycling,G1,0.31553376
28.744825,20.748703,15.46666667,cycling,G2,0.78477705
26.279028,21.82469,10.93333333,cycling,S,0.33565688
26.776676,20.4566,3.2,cycling,G1,0.3473803
28.356003,19.046795,13.06666667,cycling,S,0.57115364
25.330334,20.401678,16.8,cycling,S,0.41937387
22.752321,18.032999,1.333333333,arrested,G0,0.34944972
26.310236,17.478872,10.13333333,cycling,S,0.5427562
26.618292,20.40666,8.266666667,cycling,S,0.36669827
26.233007,20.301575,15.2,cycling,G2,0.31379607
23.956228,19.932428,1.8666666669999998,cycling,G1,0.1903168
25.699072,19.055695,2.666666667,cycling,G1,0.3800439
27.915142,17.531223,1.066666667,arrested,G0,0.5727238
23.85832,15.640613,1.6,arrested,G0,0.5524343
25.928465,19.990099,14.66666667,cycling,G2,0.4144505
26.39381,19.573025,16.8,cycling,G2,0.56743693
24.312222,17.767715,9.6,cycling,S,0.51741654
28.447985,19.41169,18.66666667,cycling,G2,0.64452296
22.85331,19.756323,1.6,cycling,G1,0.20498605
23.966223,21.490593,2.4,cycling,G1,0.11515586
22.571238,19.388485,1.066666667,cycling,G1,0.22600813
28.351051,20.155022,6.933333332999999,arrested,G0,0.52169394
25.898014,15.603969,5.066666667,cycling,G1,0.5121313
26.000526,21.846233,14.66666667,cycling,G2,0.32416454
27.602678,18.065113,11.46666667,cycling,S,0.51546276
26.922583,17.22796,4.8,cycling,G1,0.5037706
25.302788,17.521427,11.73333333,cycling,S,0.5590075
24.762901,18.77198,8.8,cycling,S,0.4445819
23.765745,18.241194,8.266666667,cycling,S,0.38703135
26.615206,19.914051,18.13333333,cycling,G2,0.5502687
24.378265,21.689224,6.933333332999999,cycling,G1,0.17478152
25.796356,19.958967,15.73333333,cycling,G2,0.4315678
26.103563,22.135685,10.4,cycling,S,0.33621463
26.497272,17.69482,14.4,cycling,S,0.5378747
25.029428,18.987978,14.13333333,cycling,G2,0.47193384
26.576727,16.592417,15.2,cycling,G2,0.52509147
28.177107,17.12205,11.46666667,cycling,S,0.5679984
28.483532,20.099775,18.4,cycling,G2,0.6990959
26.67224,19.65556,2.133333333,arrested,G0,0.3894362
26.48806,15.786205,1.6,arrested,G0,0.53614527
24.991508,17.214508,6.933333332999999,cycling,S,0.52998346
25.98761,17.459679,11.46666667,cycling,S,0.5319375
23.986948,20.48511,4.533333333,cycling,G1,0.2528197
23.304707,17.480259,1.333333333,arrested,G0,0.45045844
30.243906,17.318895,0.0,cycling,G1,0.75444865
22.788027,18.071835,0.533333333,cycling,G1,0.39138645
25.48294,17.371641,5.6,cycling,S,0.5126204
25.624302,17.503088,6.1333333329999995,cycling,S,0.517389
24.197964,20.241606,8.266666667,cycling,S,0.32735947
23.529356,18.246086,5.333333333,cycling,S,0.38947806
28.59212,17.911175,1.066666667,arrested,G0,0.55002546
27.034204,16.632782,4.8,cycling,S,0.51241976
26.850092,22.108862,8.266666667,cycling,S,0.5155852
26.075624,21.835848,7.2,cycling,S,0.3166036
29.112482,16.578444,2.4,nan,G1,0.6780371
29.072886,20.544565,15.2,cycling,G2,0.72201335
24.260853,17.966354,1.333333333,arrested,G0,0.53891784
23.960045,19.487368,15.2,cycling,S,0.3774876
21.324064,19.130497,1.333333333,cycling,G1,0.41200805
29.335855,16.682508,6.666666667,arrested,G0,0.6900377
26.103893,20.411995,13.6,arrested,G0,0.37028152
26.30305,16.109774,0.533333333,cycling,G1,0.50946
30.109339,17.501305,2.4,arrested,G0,0.7558977
29.221626,20.167027,16.26666667,cycling,G2,0.7217245
28.866205,20.893562,22.13333333,cycling,G2,0.76874995
24.371275,16.214024,2.133333333,cycling,G1,0.52380276
26.613207,17.540949,1.6,arrested,G0,0.5226806
26.423695,19.377459,15.2,cycling,G2,0.530606
23.623774,17.275002,4.8,cycling,S,0.4583376
23.291044,21.715601,1.066666667,arrested,G0,0.088375166
28.260927,17.466675,1.333333333,nan,G1,0.6270958
26.15423,18.571342,16.0,cycling,G2,0.55636686
23.519064,20.100574,3.733333333,cycling,G1,0.12000176
23.074648,17.593489,2.133333333,nan,G1,0.43201542
25.674753,15.798002,2.133333333,cycling,G1,0.52731603
29.148756,17.056597,0.26666666699999997,cycling,G1,0.4727166
25.408545,19.603024,10.13333333,cycling,S,0.37343216
23.76666,16.892784,5.333333333,cycling,G1,0.476338
22.876108,19.138103,1.6,nan,G1,0.27487975
22.802214,19.446182,1.6,nan,G1,0.24537145
26.193258,18.231258,12.53333333,cycling,G2,0.5227134
23.22096,19.681456,2.933333333,cycling,G1,0.20059988
23.57033,19.405952,3.733333333,cycling,G1,0.21335988
24.532225,21.176579,3.733333333,cycling,G1,0.28246862
25.53074,20.15992,2.666666667,cycling,G1,0.34042522
28.311523,20.383944,15.2,cycling,G2,0.7114596
23.677252,17.006212,4.8,cycling,G1,0.5427039
23.464146,20.65935,1.6,nan,G1,0.21374018
23.763983,19.312958,15.2,cycling,G2,0.41376314
26.66376,17.435951,5.6,cycling,G1,0.52695906
23.60404,17.511375,13.6,cycling,S,0.4616876
23.337038,19.437492,2.4,cycling,G1,0.29831874
28.402243,19.831001,12.53333333,cycling,G2,0.6623448
23.464819,18.243484,1.6,nan,G1,0.62432075
26.74723,22.235355,15.2,cycling,G2,0.5641943
25.70104,18.543259,16.53333333,cycling,G2,0.5407299
22.498175,17.60045,1.066666667,arrested,G0,0.41349918
24.778719,16.683784,13.6,cycling,S,0.5326931
28.683245,16.838057,6.4,cycling,S,0.66940004
23.273863,19.27712,5.066666667,cycling,G1,0.34117836
25.751665,19.975676,12.0,cycling,S,0.3594811
23.863768,21.440231,3.733333333,cycling,G1,0.124251425
24.329536,17.573444,2.133333333,cycling,G1,0.51607245
24.772827,18.578459,11.73333333,cycling,S,0.5467807
29.140259,16.65394,3.2,nan,G1,0.7648011
27.06322,21.463043,12.0,cycling,S,0.40098998
26.032598,19.337835,15.2,cycling,G2,0.4917465
25.03433,18.581377,12.0,cycling,S,0.47986272
23.749905,18.03215,0.8,nan,G1,0.6414198
24.888214,19.45558,11.46666667,cycling,S,0.37779617
23.179367,19.21697,6.666666667,cycling,S,0.3150093
24.710865,18.78892,10.66666667,cycling,S,0.4327471
23.99519,19.525314,2.133333333,arrested,G0,0.3005757
23.523283,17.56294,2.4,nan,G1,0.48069105
26.230696,17.446465,0.8,nan,G1,0.5111805
27.389729,20.073029,15.73333333,cycling,G2,0.6717922
23.848906,18.742956,10.4,cycling,S,0.43004766
23.254238,18.700357,0.8,arrested,G0,0.3790344
23.98235,17.913485,0.533333333,arrested,G0,0.60579056
26.799372,17.527327,1.333333333,nan,G1,0.5465259
26.415495,19.748049,15.73333333,cycling,G2,0.52900845
23.392042,18.908356,7.466666667,cycling,S,0.3708958
29.492346,18.330494,2.133333333,nan,G1,0.69656086
26.420296,16.588032,2.4,cycling,G1,0.5153462
24.20656,17.935198,4.533333333,cycling,S,0.62671393
29.194502,17.006964,0.0,cycling,G1,0.45034638
29.892744,17.455193,2.4,arrested,G0,0.7630561
23.634365,18.210659,0.533333333,nan,G1,0.6244896
22.901348,19.923626,0.533333333,cycling,G1,0.1786323
23.42845,20.077234,0.533333333,cycling,G1,0.17000817
29.236177,17.175404,4.266666667,cycling,S,0.6942171
23.6157,19.911438,3.4666666669999997,cycling,G1,0.16693324
29.604044,17.32956,0.0,cycling,G1,0.56045675
27.522436,19.275066,22.13333333,cycling,G2,0.5805432
28.28189,20.835321,14.93333333,cycling,G2,0.75172
23.620699,18.950424,5.6,cycling,S,0.44897065
22.828825,19.424082,1.6,nan,G1,0.21711394
25.296146,18.417492,13.86666667,nan,S,0.51143247
28.439125,17.336569,0.8,arrested,G0,0.4549665
24.083595,17.89671,12.0,cycling,S,0.5277283
29.0872,17.037308,5.333333333,cycling,S,0.63958
31.043636,18.63403,0.26666666699999997,cycling,G1,0.9832406
27.249174,20.664444,5.6,arrested,G0,0.47935924
23.2739,17.440166,4.266666667,cycling,G1,0.4967846
24.055212,17.2528,16.0,cycling,G2,0.49371797
25.280184,19.495043,10.4,cycling,S,0.44033426
29.3187,20.680075,22.93333333,cycling,G2,0.75533044
27.059021,18.794233,5.6,cycling,S,0.46329397
26.75945,19.27181,4.266666667,nan,G1,0.41138968
26.270626,15.596443,4.0,cycling,G1,0.5511958
27.206238,16.047094,2.133333333,cycling,G1,0.55687696
27.390484,17.386002,2.4,nan,G1,0.57703006
24.907267,18.19705,8.266666667,cycling,S,0.5377434
25.94326,19.357868,15.2,cycling,S,0.42992875
27.053934,20.912125,7.2,cycling,G1,0.42671424
21.047947,16.859314,10.93333333,arrested,G0,0.6518883
