R_p_n,R_p_p,D_s_n,D_s_p,k_n,k_p,eps_s_n,eps_s_p,eps_e,h,rho_cp,k_SEI,R_SEI_0
8.992113947887423e-06,7.3394164196099085e-06,5.535602525261659e-13,1.7739292176853612e-14,1.817375193228737e-10,9.176759647111146e-11,0.4250982381813024,0.6905759439807114,0.25876608477475044,24.3523315416944,3936655.6934035546,1.9960527321381002e-19,7.893498331070437e-06
9.420432589561575e-06,1.2627633311638722e-05,1.6305200678612013e-14,1.2267218594400485e-14,8.56370566422918e-11,2.103921213777265e-10,0.45196450198009047,0.5098980100798647,0.30279687369271147,7.281051384775453,2855215.99595329,1.2386970569883623e-19,1.379093268673923e-05
1.368185077653305e-05,5.695197994570698e-06,2.5533930816361783e-13,6.640822878697302e-13,8.983941159052538e-10,3.1952941826578197e-10,0.5032272880817188,0.4919456328445699,0.2733798519906184,22.706975384990397,3305833.3771166564,4.9870180553773816e-20,1.777009662425487e-05
7.933018011031385e-06,1.2752463832555058e-05,2.0822573535865603e-13,4.658587319378466e-13,1.6634125801223654e-10,2.1731474007031738e-10,0.6940083130344459,0.6462202792388885,0.3204207703894157,47.01684901411604,2119046.6493698684,1.3235397601005241e-20,1.1365399573045687e-06
1.1566194019162211e-05,7.104410492725638e-06,7.452095195691547e-14,9.837907376986298e-14,1.9668918447469767e-10,6.85092263812922e-11,0.6591972623659926,0.4398456021929669,0.33782656958293145,19.328124593079,2476741.1078202566,1.413322451786803e-19,9.412273713449066e-06
1.4887503677956132e-05,1.1815017018301893e-05,1.8007930512933457e-14,8.184294354542895e-14,1.8624473776651635e-11,6.471073431465829e-10,0.4346804572544103,0.5215415754878062,0.2021123542093946,6.4677791051727995,3122328.213930583,5.4996872381455335e-18,3.4539557351201333e-06
9.328438318506973e-06,6.108188502988278e-06,1.1943213721631e-13,1.4614068337400255e-13,5.956996087558501e-11,2.4550178318762577e-11,0.6847813122800039,0.43167290540183345,0.4111900085964383,27.208109179726474,2581356.290658015,1.0598921184867026e-19,6.3014869906062945e-06
6.020445281973173e-06,6.3628602743688585e-06,5.726427567746682e-14,5.2528625442463587e-14,4.6003862376782687e-10,1.1258693732245534e-10,0.5337505304646871,0.46456492792806137,0.324986345774434,8.786227086193582,3185736.2714585736,3.623359216586443e-20,2.392974584021375e-05
8.559521311787699e-06,7.132140767631074e-06,7.765399155286748e-14,3.1352107305423346e-14,9.540454066718754e-11,9.623086795094462e-10,0.40463897915742536,0.5382852877353026,0.4516943477337465,8.614224390889413,2440431.3182198107,1.6730028841559145e-18,9.313199654413679e-05
7.365686071450925e-06,1.4236955932582395e-05,2.532426974735906e-14,1.8182164207772706e-14,5.589923540878188e-10,4.319875714573387e-11,0.6798810522961761,0.5494568057794347,0.30539384564382194,13.712023791453875,2081923.7332669387,4.440792781460513e-18,3.585507080509077e-05
1.4025639349484222e-05,1.0949305173811944e-05,3.0532991799589945e-14,8.811419526016818e-13,2.939475296973209e-10,6.360830919454418e-11,0.629231232774463,0.6871531939157478,0.3477347370957929,10.062917300312582,3235839.7576826294,1.024475830952094e-18,4.678764952426483e-06
1.4381166111089736e-05,9.382486167662246e-06,1.408828228397852e-14,2.0795755388043575e-13,2.1112904722255772e-10,3.399001388508742e-11,0.4367467772751006,0.6112983387922053,0.3141318628567646,8.879987746529538,2886402.217281932,1.1657621054740812e-17,2.935954527773963e-05
8.687070891276143e-06,9.804164661965394e-06,3.5552943203360255e-14,9.52262522387705e-14,6.847280391082084e-11,3.166503307683003e-11,0.5633672316284942,0.4341948211377462,0.33273390119505375,19.555825011514518,2217096.815465629,9.285342677279287e-20,6.865915564814499e-05
6.622700087490895e-06,8.329305238814885e-06,2.2733805059674918e-14,2.3446340536552884e-13,9.729085147193264e-11,8.13459896231201e-10,0.5287325537549907,0.48751519646639585,0.4779104403396301,21.899767010519223,3063510.806125101,3.08860096922041e-17,5.516432295018256e-05
5.589811711541473e-06,1.3249674008424808e-05,1.486252470168043e-13,9.692049817414949e-14,4.124424882656935e-11,6.75837747440708e-11,0.4216990031032856,0.5466410218770931,0.41436701478810795,6.0809506473400985,3830630.1410601325,2.3478306018938465e-19,3.6569814037750844e-05
1.2086691311397539e-05,9.451998933238705e-06,4.37468344312769e-13,4.009387551011036e-14,6.436956903733119e-11,8.388788048019083e-11,0.49708623734027735,0.5218056012693925,0.22068895629452873,40.49648962038704,2662351.487187136,3.0075363857755987e-17,3.285597735752343e-05
6.695874404047644e-06,1.187164509362731e-05,1.1693419834017197e-13,3.871656343529805e-13,1.6050458834297382e-11,8.864210908009554e-10,0.417076415017184,0.4020148255811609,0.2152809013365874,47.759323881450435,3109702.8753549815,1.813635148123379e-18,4.09807150891714e-06
7.767553650280429e-06,1.3069332389080616e-05,4.469104592614805e-14,2.511101671971184e-14,5.760133118306834e-10,1.1213528240644496e-11,0.44116928797660726,0.4072818776880577,0.43509422812431486,29.264102331618833,2247163.0436422336,3.819772631689409e-17,4.290387098844737e-05
6.530408381504716e-06,1.0522678955678663e-05,2.349946749065268e-14,8.516328191220135e-13,1.215880474202136e-11,2.236104643444098e-10,0.5674498939059001,0.47242350296610036,0.4594262253571937,16.962718823235818,2131390.085167944,1.477346842629024e-18,4.248591074487036e-05
6.940944046647531e-06,1.2801612689946055e-05,3.752655853240771e-13,3.039252850554809e-13,3.940089893746889e-11,6.633101295031835e-10,0.5054415994081737,0.6492043786365763,0.29472571371822737,9.30074062826435,2703966.601151058,1.674383097017287e-20,1.8559541307691565e-05
8.166696260384953e-06,9.185088528903883e-06,3.4894490246320525e-13,1.3580897478259967e-13,3.50880585767213e-10,1.6059363236106038e-11,0.6407594447773984,0.50681145431752,0.2708560371182294,14.082746752127813,3610844.9067884926,2.4229955194187638e-18,8.831308099869203e-06
9.243246022599416e-06,8.848622347555562e-06,1.250909984233452e-13,2.5224112373152713e-14,5.85498387850572e-11,6.295893661580786e-11,0.4496485848577651,0.6634797455751138,0.2973440358897643,14.68165240155178,2067972.9520344234,1.2791005206077283e-18,4.8436235781803494e-05
7.922897347522787e-06,1.3865266834349489e-05,1.1291794280612945e-13,3.9519250323758595e-14,3.66635010484636e-10,3.0237357810020663e-11,0.44690471136739474,0.6790027626000414,0.48443093120124575,5.056588965199183,2010278.7384788601,6.424558200742901e-18,2.8660910212111422e-05
6.580103950764886e-06,7.69874990982002e-06,2.3210722689399652e-14,6.540891292317918e-13,7.218026021338677e-11,1.1618545842443644e-10,0.654613841947506,0.6782333537684668,0.20352081443955955,40.967021654044686,3464083.3563726973,3.680627893759256e-17,6.329581613338058e-06
9.892213859790455e-06,6.558279658018265e-06,9.478619569366242e-13,2.730553027532831e-13,6.745305466353966e-10,2.836603332949988e-11,0.4026976773935266,0.5446016226954968,0.3555556734328561,23.37867104852734,2691741.8231799267,5.652488595819009e-20,4.901273398969574e-06
1.0987812386294613e-05,8.190550147449634e-06,9.18398745840824e-14,2.351024259295416e-14,1.5670720622746417e-10,1.0101506931602546e-10,0.6731256884691146,0.5521888624962863,0.2579999513596689,6.164205583718811,3018951.254123494,5.759554595426181e-18,3.546572601979688e-06
6.036482931266257e-06,1.1272760563704645e-05,8.436624536375418e-14,1.537588527089471e-13,1.580030842467682e-11,2.982309463624182e-10,0.5204218927586818,0.6309362674539294,0.46544346793896346,13.60083480301306,2123489.8137448407,4.2632532257144946e-20,3.9778452453770235e-05
8.435788730113995e-06,9.007498934640893e-06,4.197153484312179e-14,1.165720537581445e-13,5.287168096391485e-11,9.870845231292944e-11,0.47204762324093913,0.5723986590939,0.4965772336607713,20.23967137454286,2038510.0942578914,1.6038701751672103e-17,9.02915410383481e-05
1.2758919130567623e-05,1.2900134124301904e-05,1.9119859720033796e-13,1.8301753721752217e-13,1.4250871838916987e-10,2.6148826388080866e-11,0.4183007336131673,0.4891696112302791,0.23994474675223498,9.101802301369247,3982632.5496503185,5.4960217538167015e-17,4.8067944728805565e-06
8.399352497243856e-06,1.3470889791266814e-05,1.9377235007935478e-14,1.0089704567643998e-13,2.1151546527663356e-11,5.451010188734722e-11,0.5547279311688643,0.6733198280574487,0.2860953693092667,33.62151793150684,2236385.130691075,4.511850198535719e-20,5.986959888233689e-05
6.795641424984208e-06,6.4090880696845915e-06,8.089748254086402e-13,5.184388392770394e-14,8.471996228629552e-10,1.4069269834884711e-10,0.46619442964675967,0.49640191405596995,0.4635708996174559,18.298631946603773,3946063.844521499,7.105635071429384e-20,6.500180270920904e-06
6.363022467534239e-06,1.3309836494432653e-05,4.4340066589644513e-14,9.740641953362232e-13,1.5345644104764275e-10,6.799127447444852e-10,0.5994652948083539,0.4258657232500751,0.3691465737270866,15.12473673921301,2642826.028369855,3.100360000399753e-20,4.389255656919379e-06
1.1800913933932468e-05,1.1918597855489451e-05,3.942416526917746e-14,5.836731726546183e-14,7.953482578982038e-11,7.501665463178743e-11,0.6190577935025859,0.6574264191324735,0.3282418172234693,16.798587942027748,3823009.3063495993,1.979617272444602e-17,1.1035333025500387e-05
5.752702529689874e-06,6.082523307531636e-06,1.2963305680577017e-13,9.141285172786874e-13,4.71116164664576e-11,1.05930071438498e-11,0.6177196797735423,0.5668172856207646,0.23804709046919043,11.702604695667455,3220428.866208166,4.6541381359940326e-17,3.7937987110309676e-05
6.312518200436891e-06,7.879760317465786e-06,8.62234027988462e-13,4.0647338568442965e-13,2.1473051553893413e-11,3.601151953968848e-10,0.4083910491685553,0.4810120452847131,0.32203750776559525,5.981559035749026,3252999.4351177514,2.145868729833157e-18,1.2819641683700753e-06
7.684363737079074e-06,8.241947987406119e-06,1.5242820206880366e-14,1.5917657868210743e-13,5.22984281268209e-11,2.7564778069672e-10,0.42873676857802556,0.621338376503364,0.2922662189642301,37.34108064332856,3852886.369004331,1.3262682512604114e-17,1.950705773119607e-05
1.3615129121306506e-05,1.3190992656852715e-05,2.187994082692631e-14,3.3360439052225565e-13,1.0972515900616766e-10,1.7398697344458712e-11,0.6229017501058478,0.4704104837215591,0.33631684475660606,25.11605674639772,3180496.4626130764,5.390803920597974e-18,2.7051903385105917e-06
1.130068362674339e-05,1.0011407028596923e-05,4.984973596581383e-13,2.50529516031734e-13,1.6841453470659295e-11,6.540675300699842e-11,0.6051604436094592,0.5243775155818653,0.4024461074348857,18.05164125345818,2314461.2227626187,3.005912950076726e-20,1.1823310163076709e-05
7.735429958697256e-06,1.1678511392375097e-05,1.872473749759749e-13,4.698583953408403e-13,4.531540327849468e-10,1.7352045946627938e-10,0.6775146362343313,0.6324205209651561,0.3870828900045496,29.982723736353137,2357376.265341658,5.158448478836718e-19,2.1316143697400415e-05
9.54435181157406e-06,1.4443788216941465e-05,6.240683048864117e-14,3.507423063267831e-14,2.3238892543327416e-11,4.684096542316498e-10,0.43797689034856363,0.405489629844586,0.4990339234480645,30.680973025375007,2484233.52622252,3.749436446208649e-19,1.0585389007624474e-05
5.138359861188178e-06,8.341463252474074e-06,1.8442438009811163e-13,1.9315800764831903e-13,2.393344092572882e-11,3.412363767826007e-10,0.5016636517689593,0.47734263985630604,0.2800687328381587,6.766378876777717,3215288.90014658,8.267946415072274e-20,8.262730007244546e-06
8.592176499586527e-06,1.0353116500484197e-05,2.7796070724405302e-14,1.0087227158372171e-14,1.522502090779755e-11,1.8451140733465896e-11,0.45520501149284764,0.43817293572770966,0.36702928244359884,10.329917038490795,2164574.000417978,7.357870366457529e-17,4.6916471803229714e-05
9.654523469557224e-06,6.32788214004259e-06,5.480477591137797e-13,1.6482896483613738e-13,2.614093855952667e-11,4.477900459804453e-10,0.40087182185477316,0.46242737031985354,0.2770506238952009,9.567267010058993,3407252.297856422,1.5610513868177054e-17,1.1727611087769011e-06
1.030138085676778e-05,1.1303974273015442e-05,6.559131533298714e-13,6.445226661211907e-14,2.0657388913879282e-10,2.3418040105085362e-11,0.6610065931206929,0.6480823223087149,0.41544244739444225,15.375928343265157,3364420.6557994783,1.2187506190159488e-20,2.3033774046179813e-06
1.2251056689336827e-05,1.3895841306032889e-05,5.987706258873769e-13,1.2236764288070266e-13,2.7586142784581445e-10,3.139822268386818e-11,0.5455866116585846,0.42507868897539336,0.35203649078963134,23.761576498395605,2756954.8956889124,7.887266010060289e-20,5.3456729941225585e-05
7.254928613147974e-06,7.512579826223245e-06,1.7534593222387058e-13,1.343330402524344e-14,2.2070788433093728e-10,5.431834989189369e-10,0.47432264341001124,0.45945730459856204,0.4257589876599094,15.451727036946064,2253696.1675426327,1.918443335145654e-18,6.856892602678896e-06
6.4000475296253615e-06,5.971548066507823e-06,3.5297999374055525e-14,4.128924929828848e-14,3.556145009114742e-10,3.83836562351811e-11,0.44539255338999295,0.6052641958991347,0.34379261097797015,6.909846004441176,2570107.195737945,3.3502701649249194e-17,4.141086763664335e-05
1.0653992799094297e-05,1.430324307252233e-05,6.753456264797132e-13,4.4141822314020615e-13,1.3121522667621294e-11,3.7788038071892074e-11,0.6027516891115339,0.4521300591434588,0.3464500952743644,22.310076412207213,2380359.741417777,1.3699655805793407e-18,1.610946773897725e-05
1.2700554186581616e-05,1.0977907409528649e-05,3.017126550128233e-13,3.002917778962977e-14,4.034309702680525e-10,1.4435584647822872e-11,0.6968375373670395,0.4547417262261253,0.44178261048943945,5.221097614416764,2469474.6996946936,8.259509537611915e-18,5.901247656045924e-06
1.4146731932539937e-05,1.4943497522604041e-05,1.0525787416930708e-14,1.076737909487939e-13,2.010204862943794e-10,2.568857352286535e-10,0.44989891438253526,0.47321089731893284,0.2126193746388647,33.98221863741116,2157511.8779435153,2.6432436824366723e-17,1.157196651196366e-05
6.074673922975241e-06,1.2677510895453312e-05,8.573571851656908e-14,1.368888092029239e-14,8.447115835455637e-11,2.567797885124896e-11,0.5927194226868361,0.5643787398781832,0.49295881244864315,44.31828439957598,3486163.8035003915,4.1317169982371867e-19,7.378120286269004e-05
5.774458988511045e-06,1.0705595534825335e-05,3.101018645571471e-14,1.158433225398633e-14,4.839180772647531e-10,6.054080197094438e-10,0.6256500884542657,0.412780860833102,0.3963908807879228,35.223318299273345,2460881.291418532,4.7625046554406795e-18,1.3207421010008285e-06
1.246755984338523e-05,9.07920918415687e-06,1.2112342485935087e-13,1.7102795991054597e-13,7.927302883102891e-11,2.1093631287355153e-11,0.646345548222195,0.40811603510251543,0.2665048812170722,14.870704779027486,3387631.0225481214,7.815020800188314e-17,8.82840282431706e-05
5.071744233754022e-06,1.1556000181716217e-05,9.538443046386565e-14,6.796257406488607e-14,2.843257941553884e-10,3.917278245341589e-10,0.6539412055443103,0.5857146709972679,0.2066565704859604,11.345985980556783,3779219.7459237208,2.6323475560770258e-18,2.1726788709100856e-05
1.4448930073389745e-05,7.5539241682400434e-06,1.7498010972582164e-14,2.0342515208216135e-13,9.896170760179376e-10,4.6316846135227955e-10,0.6447459739218978,0.44033774823558,0.24124027488327104,28.5993296376741,2860582.1736155082,6.05161801978467e-20,2.263616724382795e-06
5.98820527813775e-06,1.0175795944014616e-05,3.668850868284916e-14,2.437286247028771e-13,6.933701118197503e-11,2.0377013931255045e-10,0.4745873392659029,0.40027168317782347,0.42751264615704215,23.644827679135684,2376585.960178493,1.1454223772540152e-20,8.627244750930627e-06
7.548076494575447e-06,1.0221513153360994e-05,6.924398793144004e-13,1.5550339211547402e-14,3.435861175343694e-11,8.154268804345446e-11,0.5380508095726573,0.6291238159678885,0.3620236496488435,12.476766962140823,3442720.169228277,9.114679369699125e-19,2.4629550638921254e-05
1.0262888425540442e-05,1.4553385352459118e-05,5.220380118231322e-13,4.818852194469537e-14,7.49434631422543e-11,3.677539270202874e-11,0.5111972554223991,0.45555255161768365,0.3854395853772837,6.295697708443214,2761416.816694478,4.1130312039944766e-20,1.0031594463680688e-05
6.886483471861658e-06,9.532169346316358e-06,3.1566170848397544e-13,1.4956547748206653e-14,1.8782494910716948e-10,7.601555774947038e-11,0.46464763724984,0.6098598683289206,0.3433113962494972,20.994234027867922,3292301.646619803,2.511717029485467e-19,1.0819839248934117e-05
7.447618209055338e-06,6.377570112770077e-06,8.946869344651338e-14,6.932353067882686e-14,8.186112350835279e-11,7.821904485819087e-10,0.5064089933783072,0.5182418758253383,0.24245333778194708,13.245257208033903,2103637.9127179673,3.118840067564627e-18,6.759537324296882e-05
9.191524935771855e-06,5.233394519549734e-06,2.069060154854062e-14,5.855056195544758e-13,2.4359517971799494e-11,1.6740342507729893e-10,0.5912764054811375,0.49324833267517876,0.2352253114038168,5.8175228574322,2540951.8428725568,5.034527889704627e-17,7.124646215364226e-05
5.153334657057193e-06,1.2987989195934442e-05,7.003261081674946e-14,2.1160376250373983e-13,1.7537948307430229e-10,3.6500431593560576e-10,0.46334415448566924,0.6665271294771177,0.2853741512088864,26.97825095321422,2739372.1894994043,1.635158249119424e-18,1.2257188885174402e-06
1.1640992616158807e-05,5.255508777364377e-06,2.5872025237428038e-14,1.1353086431671442e-14,1.3401547163538292e-11,1.9289810687087936e-10,0.414047909116244,0.5873995592267138,0.34875335292221865,41.81207046407444,3535403.07760368,2.0103703204985197e-17,1.39635987568504e-06
5.035934474684162e-06,8.461594784419973e-06,1.1699596774544943e-14,3.298236769888019e-13,2.4535835789517736e-10,1.892549346869165e-11,0.5145903035675267,0.4198743236986081,0.3221445089364985,28.381939437612804,2304031.2179915127,1.0563780403093256e-18,7.810625477879244e-05
6.282046035311025e-06,6.172178882048443e-06,2.2155917852360306e-13,6.72846718072753e-14,2.634823391795752e-11,1.2850521389370637e-11,0.5718805768064805,0.43524850074565286,0.49044721608872427,5.574257036267707,2295770.1626659725,5.350964088042215e-19,3.0833864297893362e-06
6.147719956361975e-06,1.2351810011547153e-05,2.354923172285908e-13,2.6525801756018055e-13,4.810672419534437e-11,1.5432296140748353e-10,0.5461083031896188,0.6559794442797077,0.2524586390342788,10.547665470907003,2076004.0224012367,1.3776135670653714e-19,3.19007642241898e-06
8.504612369293581e-06,5.8543817048189825e-06,5.2973559800056265e-14,1.584891214788302e-13,4.973454918627104e-11,3.3747474676533445e-10,0.5473979582239324,0.4578267559964616,0.4473093781719182,37.680955885075065,2181652.582222287,1.5643040470574358e-19,2.611261173990262e-06
1.3174031837330818e-05,9.560656275582045e-06,8.146448012293661e-13,2.270008155686058e-14,3.089272685717174e-11,3.494903058105171e-11,0.4266793473875646,0.5260441433875601,0.20836242048755874,5.624271626866388,2967987.8649039143,4.899652971291303e-18,6.1059780435828465e-06
6.216287796283509e-06,6.888103773573287e-06,3.398961092995676e-14,2.173025727553444e-14,4.729113476935564e-10,1.0390255351137459e-11,0.44021637737181457,0.6360804204064833,0.36400259716230154,6.585246060301052,3243256.0334943184,1.314595140610002e-19,1.2546499317024125e-05
1.0206802744023821e-05,8.599417645099987e-06,3.6920284423036e-13,3.1790469270587635e-13,2.544182894446708e-11,3.5773438311479025e-11,0.45362190776204075,0.6758797468884385,0.44483586995825125,10.595916567535955,3280926.4578894074,1.1640190403976239e-20,1.0421761439231219e-05
1.1081572659748336e-05,8.484749524549343e-06,1.0765703199566808e-13,2.0210113930774835e-14,2.8458919913963647e-11,1.2110321891211068e-11,0.6834714245542842,0.6240661149769786,0.3415809205970615,43.14031441817997,2097892.2522258842,2.6101786847647453e-19,1.440422501900694e-06
6.5817474702869016e-06,5.1462172110971376e-06,4.0145656034422865e-14,7.426678767017544e-14,6.553382371580648e-11,1.2453075019947311e-11,0.6506642502905551,0.4098470563391825,0.36456436257484964,39.226167894297355,3433638.1031549163,1.4085344785941326e-20,7.72633475649514e-06
6.841757113531225e-06,1.3560780449366438e-05,3.302091524217978e-14,1.0754647435415719e-14,2.901277357837979e-11,1.9768742856785766e-11,0.643054457550169,0.696054452400676,0.30922936411224333,17.77550010031065,3515535.9860958657,9.319818488699085e-18,2.372056662529908e-06
1.0571310719099138e-05,1.3971332238197144e-05,2.277003852637169e-13,5.5984301764999176e-14,1.8332713411623163e-11,1.3678635963886024e-11,0.49085894927851437,0.536965770154754,0.4194861227033923,18.564694589878187,3903646.670910698,3.4816844227424585e-18,1.4673073117445416e-05
