task_index,task,placeholder,grader,score,llm_value,human_value
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Haining,1.0,bottom layer and top layer,"(+K,bottom), (+K,top), (-K,bottom), (-K,top)"
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Will,2.0,bottom layer and top layer,"(+K,bottom), (+K,top), (-K,bottom), (-K,top)"
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,Yasaman,1.0,bottom layer and top layer,"(+K,bottom), (+K,top), (-K,bottom), (-K,top)"
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Haining,2.0,False,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Will,,False,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,Yasaman,2.0,False,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Haining,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone. The $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), where the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Will,1.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone. The $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), where the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,Yasaman,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone. The $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), where the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
2,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Haining,2.0,$H_{\tau}$,
2,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Will,2.0,$H_{\tau}$,
2,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,Yasaman,2.0,$H_{\tau}$,
2,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Haining,2.0,parabolic,
2,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Will,0.0,parabolic,
2,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,Yasaman,2.0,parabolic,
2,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Haining,0.0,electrons,holes
2,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Will,0.0,electrons,holes
2,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,Yasaman,0.0,electrons,holes
2,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",Haining,2.0,True,
2,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",Will,2.0,True,
2,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",Yasaman,2.0,True,
2,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Haining,1.0,"$\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$",$+\kappa$ and $-\kappa$
2,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Will,0.0,"$\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$",$+\kappa$ and $-\kappa$
2,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,Yasaman,1.0,"$\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$",$+\kappa$ and $-\kappa$
2,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Haining,2.0,\bm{k},
2,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Will,2.0,\bm{k},
2,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,Yasaman,2.0,\bm{k},
2,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Haining,0.0,$\bm{k}-\tau \bm{\kappa}$,"$E_{t,+K}$ and $E_{t,-K}$"
2,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Will,1.0,$\bm{k}-\tau \bm{\kappa}$,"$E_{t,+K}$ and $E_{t,-K}$"
2,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,Yasaman,1.0,$\bm{k}-\tau \bm{\kappa}$,"$E_{t,+K}$ and $E_{t,-K}$"
2,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,Haining,2.0,\bm{r},
2,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,Will,2.0,\bm{r},
2,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,Yasaman,2.0,\bm{r},
2,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,Haining,2.0,$\hat{\mathcal{H}}_0$,
2,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,Will,2.0,$\hat{\mathcal{H}}_0$,
2,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_0$,
2,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,Haining,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the  moir\'e Brillouin zone, the $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$",
2,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,Will,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the  moir\'e Brillouin zone, the $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$",
2,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,Yasaman,1.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the  moir\'e Brillouin zone, the $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$",
2,Define each term in Kinetic Hamiltonian (continuum version),expression_kinetic,Haining,,,"$H_{Kinetic}(r) = \begin{pmatrix} E_{+K,b} & 0 & 0 & 0 \\ 0 & E_{+K,t} & 0 & 0 \\ 0 & 0 & E_{-K,b} & 0 \\ 0 & 0 & 0 & E_{-K,t} \end{pmatrix}$"
2,Define each term in Kinetic Hamiltonian (continuum version),expression_kinetic,Will,,,"$H_{Kinetic}(r) = \begin{pmatrix} E_{+K,b} & 0 & 0 & 0 \\ 0 & E_{+K,t} & 0 & 0 \\ 0 & 0 & E_{-K,b} & 0 \\ 0 & 0 & 0 & E_{-K,t} \end{pmatrix}$"
2,Define each term in Kinetic Hamiltonian (continuum version),expression_kinetic,Yasaman,,,"$H_{Kinetic}(r) = \begin{pmatrix} E_{+K,b} & 0 & 0 & 0 \\ 0 & E_{+K,t} & 0 & 0 \\ 0 & 0 & E_{-K,b} & 0 \\ 0 & 0 & 0 & E_{-K,t} \end{pmatrix}$"
3,Construct Potential Hamiltonian (continuum version),potential_symbol,Haining,2.0,$H_{\tau}$,
3,Construct Potential Hamiltonian (continuum version),potential_symbol,Will,2.0,$H_{\tau}$,
3,Construct Potential Hamiltonian (continuum version),potential_symbol,Yasaman,2.0,$H_{\tau}$,
3,Construct Potential Hamiltonian (continuum version),real|momentum,Haining,0.0,momentum,real
3,Construct Potential Hamiltonian (continuum version),real|momentum,Will,0.0,momentum,real
3,Construct Potential Hamiltonian (continuum version),real|momentum,Yasaman,0.0,momentum,real
3,Construct Potential Hamiltonian (continuum version),single-particle|second-quantized,Haining,0.0,second-quantized,single-particle
3,Construct Potential Hamiltonian (continuum version),single-particle|second-quantized,Will,0.0,second-quantized,single-particle
3,Construct Potential Hamiltonian (continuum version),single-particle|second-quantized,Yasaman,2.0,second-quantized,single-particle
3,Construct Potential Hamiltonian (continuum version),diagonal_potential,Haining,0.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,$\Delta_l(r)$
3,Construct Potential Hamiltonian (continuum version),diagonal_potential,Will,1.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,$\Delta_l(r)$
3,Construct Potential Hamiltonian (continuum version),diagonal_potential,Yasaman,0.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,$\Delta_l(r)$
3,Construct Potential Hamiltonian (continuum version),potential_degrees_of_freedom,Haining,1.0,the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$),$t$ and $b$
3,Construct Potential Hamiltonian (continuum version),potential_degrees_of_freedom,Will,1.0,the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$),$t$ and $b$
3,Construct Potential Hamiltonian (continuum version),potential_degrees_of_freedom,Yasaman,2.0,the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$),$t$ and $b$
3,Construct Potential Hamiltonian (continuum version),offdiagonal_potential,Haining,2.0,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$",
3,Construct Potential Hamiltonian (continuum version),offdiagonal_potential,Will,2.0,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$",
3,Construct Potential Hamiltonian (continuum version),offdiagonal_potential,Yasaman,2.0,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$",
3,Construct Potential Hamiltonian (continuum version),definition_of_variables,Haining,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moir\'e Brillouin zone, the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), and the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
3,Construct Potential Hamiltonian (continuum version),definition_of_variables,Will,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moir\'e Brillouin zone, the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), and the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
3,Construct Potential Hamiltonian (continuum version),definition_of_variables,Yasaman,1.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moir\'e Brillouin zone, the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), and the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
4,Define each term in Potential Hamiltonian (continuum version),potential_symbol,Haining,2.0,$H_{\tau}$,
4,Define each term in Potential Hamiltonian (continuum version),potential_symbol,Will,2.0,$H_{\tau}$,
4,Define each term in Potential Hamiltonian (continuum version),potential_symbol,Yasaman,0.0,$H_{\tau}$,
4,Define each term in Potential Hamiltonian (continuum version),Potential_variables,Haining,1.0,"$\Delta_{\mathfrak{b}}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$, $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$, and $V_{z\mathfrak{t}}$","the intralayer potential $\Delta_l(r)$ and interlayer tunneling $\Delta_{T,\tau}(r)$"
4,Define each term in Potential Hamiltonian (continuum version),Potential_variables,Will,1.0,"$\Delta_{\mathfrak{b}}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$, $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$, and $V_{z\mathfrak{t}}$","the intralayer potential $\Delta_l(r)$ and interlayer tunneling $\Delta_{T,\tau}(r)$"
4,Define each term in Potential Hamiltonian (continuum version),Potential_variables,Yasaman,1.0,"$\Delta_{\mathfrak{b}}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$, $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$, and $V_{z\mathfrak{t}}$","the intralayer potential $\Delta_l(r)$ and interlayer tunneling $\Delta_{T,\tau}(r)$"
4,Define each term in Potential Hamiltonian (continuum version),expression_diag,Haining,1.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,"$\Delta_t(r) = V_{zt}$ and $\Delta_b(r)$ is $2V_b\sum_{j=1,3,5} \cos(g_j \cdot r  +\psi_b)$"
4,Define each term in Potential Hamiltonian (continuum version),expression_diag,Will,2.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,"$\Delta_t(r) = V_{zt}$ and $\Delta_b(r)$ is $2V_b\sum_{j=1,3,5} \cos(g_j \cdot r  +\psi_b)$"
4,Define each term in Potential Hamiltonian (continuum version),expression_diag,Yasaman,1.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,"$\Delta_t(r) = V_{zt}$ and $\Delta_b(r)$ is $2V_b\sum_{j=1,3,5} \cos(g_j \cdot r  +\psi_b)$"
4,Define each term in Potential Hamiltonian (continuum version),expression_offdiag,Haining,1.0,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$","$\Delta_{T,+K}(r)=w(1+\omega^{1}e^{i g_2 \cdot r} + \omega^{2} e^{i g_3 \cdot r})$ and $\Delta_{T,-K}(r)=-w(1+\omega^{-1}e^{-i g_2 \cdot r} + \omega^{-2} e^{-i g_3 \cdot r})$."
4,Define each term in Potential Hamiltonian (continuum version),expression_offdiag,Will,2.0,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$","$\Delta_{T,+K}(r)=w(1+\omega^{1}e^{i g_2 \cdot r} + \omega^{2} e^{i g_3 \cdot r})$ and $\Delta_{T,-K}(r)=-w(1+\omega^{-1}e^{-i g_2 \cdot r} + \omega^{-2} e^{-i g_3 \cdot r})$."
4,Define each term in Potential Hamiltonian (continuum version),expression_offdiag,Yasaman,2.0,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$","$\Delta_{T,+K}(r)=w(1+\omega^{1}e^{i g_2 \cdot r} + \omega^{2} e^{i g_3 \cdot r})$ and $\Delta_{T,-K}(r)=-w(1+\omega^{-1}e^{-i g_2 \cdot r} + \omega^{-2} e^{-i g_3 \cdot r})$."
4,Define each term in Potential Hamiltonian (continuum version),definition_of_variables,Haining,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone, $m_{\mathfrak{b}}$ and $m_{\mathfrak{t}}$ are the effective masses of the bottom and top layer respectively with values $(0.65,0.35)m_e$ where $m_e$ is the rest electron mass, $\Delta_{\mathfrak{b}}(\bm{r})$ and $\Delta_{\text{T},\tau}(\bm{r})$ are the intralayer potential and interlayer tunneling term respectively, $V_{z\mathfrak{t}}$ is a band offset, and $V_{\mathfrak{b}}$ and $w$ are theoretical parameters that can be adjusted to study different phases.",
4,Define each term in Potential Hamiltonian (continuum version),definition_of_variables,Will,2.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone, $m_{\mathfrak{b}}$ and $m_{\mathfrak{t}}$ are the effective masses of the bottom and top layer respectively with values $(0.65,0.35)m_e$ where $m_e$ is the rest electron mass, $\Delta_{\mathfrak{b}}(\bm{r})$ and $\Delta_{\text{T},\tau}(\bm{r})$ are the intralayer potential and interlayer tunneling term respectively, $V_{z\mathfrak{t}}$ is a band offset, and $V_{\mathfrak{b}}$ and $w$ are theoretical parameters that can be adjusted to study different phases.",
4,Define each term in Potential Hamiltonian (continuum version),definition_of_variables,Yasaman,1.0,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone, $m_{\mathfrak{b}}$ and $m_{\mathfrak{t}}$ are the effective masses of the bottom and top layer respectively with values $(0.65,0.35)m_e$ where $m_e$ is the rest electron mass, $\Delta_{\mathfrak{b}}(\bm{r})$ and $\Delta_{\text{T},\tau}(\bm{r})$ are the intralayer potential and interlayer tunneling term respectively, $V_{z\mathfrak{t}}$ is a band offset, and $V_{\mathfrak{b}}$ and $w$ are theoretical parameters that can be adjusted to study different phases.",
4,Define each term in Potential Hamiltonian (continuum version),expression_Potential,Haining,,,"$H_{Potential}(r) = \begin{pmatrix} \Delta_b(r) & \Delta_{T,+K}(r) & 0 & 0 \\ \Delta_{T,+K}^*(r) & \Delta_t(r) & 0 & 0 \\ 0 & 0 & \Delta_b(r) & \Delta_{T,-K}(r) \\ 0 & 0 & \Delta_{T,-K}^*(r) & \Delta_t(r) \end{pmatrix}$"
4,Define each term in Potential Hamiltonian (continuum version),expression_Potential,Will,,,"$H_{Potential}(r) = \begin{pmatrix} \Delta_b(r) & \Delta_{T,+K}(r) & 0 & 0 \\ \Delta_{T,+K}^*(r) & \Delta_t(r) & 0 & 0 \\ 0 & 0 & \Delta_b(r) & \Delta_{T,-K}(r) \\ 0 & 0 & \Delta_{T,-K}^*(r) & \Delta_t(r) \end{pmatrix}$"
4,Define each term in Potential Hamiltonian (continuum version),expression_Potential,Yasaman,,,"$H_{Potential}(r) = \begin{pmatrix} \Delta_b(r) & \Delta_{T,+K}(r) & 0 & 0 \\ \Delta_{T,+K}^*(r) & \Delta_t(r) & 0 & 0 \\ 0 & 0 & \Delta_b(r) & \Delta_{T,-K}(r) \\ 0 & 0 & \Delta_{T,-K}^*(r) & \Delta_t(r) \end{pmatrix}$"
5,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,Haining,2.0,real,
5,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,Will,2.0,real,
5,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,Yasaman,2.0,real,
5,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,Haining,2.0,$\hat{\mathcal{H}}_0$,
5,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,Will,2.0,$\hat{\mathcal{H}}_0$,
5,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,Yasaman,2.0,$\hat{\mathcal{H}}_0$,
5,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,Haining,2.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$,
5,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,Will,1.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$,
5,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,Yasaman,2.0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$,
5,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,Haining,2.0,"$\Delta_{\mathfrak{b},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}^\dag(\bm{r})$, $\Delta_\mathfrak{t,\tau}(\bm{r})$, and $V_{z\mathfrak{t}}$",
5,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,Will,1.0,"$\Delta_{\mathfrak{b},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}^\dag(\bm{r})$, $\Delta_\mathfrak{t,\tau}(\bm{r})$, and $V_{z\mathfrak{t}}$",
5,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,Yasaman,2.0,"$\Delta_{\mathfrak{b},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}^\dag(\bm{r})$, $\Delta_\mathfrak{t,\tau}(\bm{r})$, and $V_{z\mathfrak{t}}$",
5,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,Haining,2.0,$r$,
5,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,Will,2.0,$r$,
5,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,Yasaman,2.0,$r$,
5,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,Haining,0.0,,$\hat{H}^{0}$
5,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,Will,0.0,,$\hat{H}^{0}$
5,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,Yasaman,2.0,,$\hat{H}^{0}$
