n_eff_m2,n_eff_1e11_cm2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,geom_over_conv,hole_over_conv,electron_over_conv,hole_over_geom,electron_over_geom,hole_electron_asymmetry_pct
3163265310000000.0,3.16326531,2592508470.0,11889415900.0,150437589000.0,142915709000.0,4.586066366834281,58.027810030645725,55.1264193169637,12.653068095632856,12.020414644591582,5.128205512794337
3255102040000000.0,3.25510204,2607642110.0,12019097500.0,154495487000.0,146750713000.0,4.609182162654982,59.24719746146452,56.27716795845117,12.8541670454042,12.209794703803675,5.141823531715919
3346938780000000.0,3.34693878,2621604640.0,12143976300.0,158821246000.0,150880184000.0,4.632268388112099,60.58169244009272,57.552607932521816,13.078191366364903,12.424281822750263,5.128204929502585
3438775510000000.0,3.43877551,2634396400.0,12264240600.0,163023454000.0,154872282000.0,4.655427178688826,61.88265896506691,58.788526282529084,13.29258445891872,12.62795529304929,5.128204676516957
3530612240000000.0,3.53061224,2646018000.0,12380073500.0,167471364000.0,159097796000.0,4.678756342549446,63.29184608721483,60.12725385843936,13.527493516092614,12.851118856442977,5.128205002578933
3622448980000000.0,3.62244898,2656470440.0,12491652500.0,171755524000.0,163167748000.0,4.702349520591691,64.6555374431345,61.42276064626565,13.74962391885301,13.062142738921052,5.128205005712473
3714285710000000.0,3.71428571,2665755220.0,12599150400.0,175901845000.0,167106753000.0,4.72629681280339,65.98574530785314,62.68645813624253,13.961405286502494,13.263335042019976,5.128204978698522
3806122450000000.0,3.80612245,2673874350.0,12702734600.0,180239352000.0,171247384000.0,4.750684937757079,67.40756236357927,64.04466387883933,14.189019740678514,13.481143186286833,5.1165333305778
3897959180000000.0,3.89795918,2680830380.0,12802567900.0,184604118000.0,175373912000.0,4.775597887696274,68.86079752647387,65.4177576128483,14.419303958544129,13.69833875280599,5.128205185188663
3989795920000000.0,3.98979592,2686626400.0,12898808000.0,188613997000.0,179183298000.0,4.8011171184798895,70.2047731683125,66.69453482627878,14.622591250292276,13.891461753675223,5.12820465414244
4081632650000000.0,4.08163265,2691266010.0,12991607900.0,192878937000.0,183234991000.0,4.827322104811185,71.66847732008476,68.08505376991701,14.846425360482131,14.104104157884876,5.128204664624916
4173469390000000.0,4.17346939,2694753310.0,13081116000.0,196996621000.0,187146790000.0,4.854290725409666,73.10376807738294,69.44857969206836,15.059618842918296,14.306637904594684,5.1282051015056975
4265306120000000.0,4.26530612,2697092890.0,13167476100.0,201188574000.0,191129146000.0,4.882099592795264,74.59460322851542,70.86487332662836,15.279205557092297,14.51524533239897,5.1282047622014115
4357142860000000.0,4.35714286,2698289810.0,13250827600.0,205285732000.0,195021445000.0,4.910824460327336,76.07994190957568,72.27594466585485,15.492295137852372,14.717680350772959,5.128205333175927
4448979590000000.0,4.44897959,2698349570.0,13331305400.0,209374636000.0,198905904000.0,4.940540524554793,77.5935921452905,73.7139124639066,15.705486425957956,14.920212089657776,5.128205228689078
4540816330000000.0,4.54081633,2697278100.0,13409040400.0,213632989000.0,202951340000.0,4.971322905116828,79.20317485987077,75.24301628371208,15.932011734411658,15.135411181250523,5.12820490662288
4632653060000000.0,4.63265306,2695081740.0,13484159300.0,217696229000.0,206811417000.0,5.003246877402687,80.77537158483364,76.73660280151651,16.144590415807382,15.337360854228413,5.128205393973045
4724489800000000.0,4.7244898,2691767220.0,13556784700.0,221767737000.0,210679350000.0,5.036388213390904,82.38741275703624,78.26804206345896,16.358431730497276,15.540510132907842,5.128205199356563
4816326530000000.0,4.81632653,2687341650.0,13627035600.0,225876875000.0,214583031000.0,5.070823652065229,84.052161733883,79.84955355416011,16.57564283460153,15.746860674525573,5.128205244633549
4908163270000000.0,4.90816327,2681812480.0,13695026800.0,229888452000.0,218394030000.0,5.106631019928731,85.72129994711636,81.43523517348983,16.7862725175536,15.946958935487443,5.12820485365297
5000000000000000.0,5.0,2675187470.0,13760869700.0,233911617000.0,222216036000.0,5.143889859801115,87.43746732635526,83.06559390396666,16.99831639274951,16.14840056221156,5.128205195662628
